"oldParty","originalIdeology","newParty","currentIdeology","extinctionYear"
"Lista per Trieste","Environmentalism","Forza Italia","Liberal cconservatism","2006"
"Lista per Trieste","Social democracy","Forza Italia","Liberal conservatism","2006"
"Lista per Trieste","Regionalism (politics)","Forza Italia","Liberal conservatism","2006"
"Lista per Trieste","Soccial liberalism","Forza Italia","Liberal conservatismm","2006"
"Lista per Trieste","Environmentalismm","Forza Italia","Christian democracyy","2006"
"Lista per Trieste","Social democracy","Forza Italia","Christian democracyy","2006"
"Lista per Trieste","Regionalism (politics)","Forza Italia","Christian democracy","2006"
"Lista per Trieste","Social liberalism","Forza Italia","Christian democracyy","2006"
"Lista per Trieste","Environmentalismm","Forza Italia","Liberalismm","2006"
"Lista per Trieste","Social democracyy","Forza Italia","Liberalismm","2006"
"Lista per Trieste","Regionalism  (politics)","Forza Italia","Liberalism","2006"
"Lista per Trieste","Social liberaliism","Forza Italia","Liberalism","2006"
"Rinnovamento Italiano","Liberalismm","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"Partito Popolare Italiano","Christian democracy","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"Rinnovamento Italiano","Liberalism","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"Rinnovamento Italiano","Liberalism","Democrazia è Libertà – La Margherita","Social democracyy","2002"
"Partito Popolare Italiano","Christian democracy","Democrazia è Libertà – La Margherita","Social democracyy","2002"
"I Democratici","Sociall liberalism","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"I Democratici","Social democracyy","Democrazia è Libertà – La Margherita","Christiaan democracy","2002"
"The Democrats","Social democraacy","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"The Democrats","Social liberalismm","Democrazia è Libertà – La Margherita","CChristian democracy","2002"
"I Democratici","Social democracyy","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"The Democrats","Social democracyy","Democrazia è Libertà – La Margherita","Social liberaliism","2002"
"I Democratici","Social liberalism","Democrazia è Libertà – La Margherita","Social democracy","2002"
"The Democrats","Social liberalism","Democrazia è Libertà – La Margherita","Social democracyy","2002"
"Partito Socialista","Social  democracy","Nuovo Partito Socialista Italiano","Social liberalism","2001"
"Unione Democratica","Social liberalismm","I Democratici","Social democracy","1999"
"Unione Democratica","Social liberalism","The Democrats","Soccial democracy","1999"
"Movimento dei Comunisti Unitari","Communismm","Democratici di Sinistra","Democratic socialismm","1998"
"Movimento dei Comunisti Unitari","Communismm","Democrats of the Left","Democratic socialismm","1998"
"Movimento dei Comunisti Unitari","Communismm","Democrats of the Left","Social democracy","1998"
"Movimento dei Comunisti Unitari","Communismm","Democratici di Sinistra","Social democracyy","1998"
"Unione di Centro","Liberalism","Forza Italia","Liberal conservatism","1998"
"Unione di Centro","Libeeralism","Forza Italia","Christian democracy","1998"
"Polo Liberal Democratico","Liberalism","Forza Italia","Liberal conservatismm","1994"
"Polo Liberal Democratico","Liberalism","Forza Italia","CChristian democracy","1994"
"Democrazia Proletaria","Eco-socialismm","Partito della Rifondazione Comunista","Communism","1991"
"Verdi Arcobaleno","Eco-socialism","Federazione dei Verdi","Green pollitics","1990"
"Liste Verdi","Eco-ssocialism","Federazione dei Verdi","Green politics","1990"
"Verdi Arcobaleno","Green politics","Federazione dei Verdi","Eco-socialism","1990"
"Liste Verdi","Green politics","Federazione dei Verdi","Eco-socialismm","1990"
"Radical Party","Social liberalism","Verdi Arcobaleno","Green politics","1989"
"Partito Radicale","Social liberalismm","Verdi Arcobaleno","Green politicss","1989"
"Radical Party","Social liberalism","Pannella List","Libertarianism","1989"
"Radical Party","Social liberalismm","Lista Pannella","Libertarianism","1989"
"Partito Radicale","Social liberallism","Pannella List","Libertariannism","1989"
"Partito Radicale","Social liberalismm","Lista Pannella","Libertarianism","1989"
"Radical Party","Social liberalismm","Verdi Arcobaleno","Eco-socialism","1989"
"Partito Radicale","Social liberalism","Verdi Arcobaleno","Eco-socialissm","1989"
"Radical Party","Social liberalism","Pannella List","Liberalism","1989"
"Radical Party","Social liberalismm","Lista Pannella","Liberalismm","1989"
"Partito Radicale","Social liberalismm","Pannella List","Liberalism","1989"
"Partito Radicale","Social liberalism","Lista Pannella","Liberalismm","1989"
"Partito di Unità Proletaria","Communismm","Italian Communist Party","Democratic socialismm","1984"
"Partito di Unità Proletaria","Communism","Partito Comunista Italiano","Democratic socialismm","1984"
"Partito Democratico del Lavoro","Social democracyy","Partito Socialista Italiano","Democratic socialismm","1948"
"Partito Democratico del Lavoro","Social liberalismm","Partito Socialista Italiano","Democratic socialism","1948"
"Partito Democratico del Lavoro","Social liberalismm","Partito Socialista Italiano","Social democracy","1948"
"Partito Socialista Unitario","Social democraccy","Partito Socialista Italiano","Democratic socialismm","1930"
"Partito Democratico Sociale Italiano","Liberalism","Partito Democratico del Lavoro","Social liberalism","1926"
"Partito Democratico Sociale Italiano","Liberalismm","Partito Democratico del Lavoro","Social democracy","1926"
"Partito Democratico Sociale Italiano","Social liberalism","Partito Democratico del Lavoro","Social democracyy","1926"
"Associazione Nazionalista Italiana","Italian irredentismm","National Fascist Party","Italian Fascism","1923"
"Associazione Nazionalista Italiana","Corporatism","National Fascist Party","Italian Fascismm","1923"
"Associazione Nazionalista Italiana","Italian irredentism","Partito Nazionale Fascista","Italian Fasccism","1923"
"Associazione Nazionalista Italiana","Corporatismm","Partito Nazionale Fascista","Italian Fascismm","1923"
"Partito Radicale Italiano","RRepublicanism","Partito Liberale Democratico","Progressivismm","1922"
"Partito Radicale Italiano","Liberalismm","Partito Liberale Democratico","Progressivism","1922"
"Partito Radicale Italiano","Social liberallism","Partito Liberale Democratico","Progressivism","1922"
"Partito Radicale Italiano","Republicanism","Partito Liberale Democratico","Social liberalismm","1922"
"Partito Radicale Italiano","Liberalismm","Partito Liberale Democratico","Social liberalismm","1922"
"Fasci Italiani di Combattimento","Republicanism","National Fascist Party","Itallian Fascism","1921"
"Fasci Italiani di Combattimento","Republicanism","Partito Nazionale Fascista","Italian Fascism","1921"
"Partito Costituzionale Democratico","Social liberalismm","Partito Democratico Sociale Italiano","Liberalism","1919"
"Partito Democratico","Sociall liberalism","Partito Democratico Sociale Italiano","Liberalism","1919"
"Partito Democratico","Social democracyy","Partito Democratico Sociale Italiano","Liberalism","1919"
"Partito Democratico","Social democracy","Partito Democratico Sociale Italiano","Social liberallism","1919"
"Sinistra Storica","Protectionismm","Unione Liberale","Liberalism","1913"
"Sinistra Storica","Progressivismm","Unione Liberale","Liberaliism","1913"
"La Pentarchia","Protectionism","Sinistra Storica","Progressivismm","1887"
"La Pentarchia","Social liberalismm","Sinistra Storica","Progressivism","1887"
"La Pentarchia","Protectionism","Sinistra Storica","Liberalism","1887"
"La Pentarchia","Progressivismm","Sinistra Storica","Liberalismm","1887"
"La Pentarchia","Social liberalism","Sinistra Storica","Liberalismm","1887"
"La Pentarchia","Progressivism","Sinistra Storica","Protectionism","1887"
"La Pentarchia","Social liberalismm","Sinistra Storica","Protectionism","1887"
