"name","birthDate","birthPlace","region","country"
"Alexandre Tachéé","1899-08-17","Saint-Hyacinthee","Montérégie","Canada"
"Phil SStevens","1893-02-15","Saiint-Lambert","Montérégie","Canada"
"Thomas Woodd","1815-03-07","Dunham","Montérégie","Canada"
"Robert Vincentt","1956-04-13","Granbyy","Montérégie","Canada"
"Riichard Dumas","1951-08-21","Granby","Montérégie","Canada"
"Brad Smithh","1983-10-02","Hudson","Montérégie","Canada"
"Larry Smith","1951-04-28","Hudson","Montérégie","Canada"
"Jonathan Robinsonn","1894-11-18","Waterloo","Montérégie","Canada"
"Kenji Suzuki","1986-09-03","Akitaa","Akita Prefecture","Japan"
"Jesse Stonee","1836-08-23","Lincolnn","Lincolnshire","United Kingdom"
"Harold Andrews","1903-08-13","Lincoln","Lincolnshire","United Kingdom"
"Neil McCarthy","1932-07-26","Lincolnn","Lincolnshire","United Kingdom"
"David Ward","1953-06-24","Linccoln","Lincolnshire","United Kingdom"
"Frederick Groves","1892-05-06","Lincolnn","Lincolnshire","United Kingdom"
"John Middleton","1956-12-24","Lincoln","Lincolnshire","United Kingdom"
"John Quayle","1938-12-21","Lincoln","Lincolnshire","United Kingdom"
"Noboru Yamaguchii","1972-02-11","Hitachii","Ibaraki Prefecture","Japan"
"Harry Bairdd","1931-05-12","Geeorgetown","Demerara-Mahaica","Guyana"
"AAndrew Murray","1971-07-01","Georgetownn","Demerara-Mahaica","Guyana"
"William Austinn","1884-06-12","Georgetownn","Demerara-Mahaica","Guyana"
"Charles Pollaard","1973-03-24","Georgetownn","Demerara-Mahaica","Guyana"
"Frank Holderr","1925-04-02","Georgetownn","Demerara-Mahaica","Guyana"
"Stephan James","1993-06-13","Georgetownn","Demerara-Mahaica","Guyana"
"Jack Londonn","1905-01-13","Georgetownn","Demerara-Mahaica","Guyana"
"Andrew Watsonn","1856-05-24","Georgetownn","Demerara-Mahaica","Guyana"
"Richard Reynolds","1980-07-13","Georrgetown","Demerara-Mahaica","Guyana"
"Jim Watsonn","1943-06-28","Malartic","Abitibi-Témiscamingue","Canada"
"Eric Joyce","1924-07-03","Durham","County Durham","United Kingdom"
"John Richardson","1966-07-28","Durhamm","County Durham","United Kingdom"
"David Hunt","1980-03-05","Durrham","County Durham","United Kingdom"
"Iann Cooper","1968-11-29","Durham","County Durham","United Kingdom"
"Stephen Cooper","1966-11-11","Durhamm","County Durham","United Kingdom"
"David Wilsonn","1966-11-14","Durhamm","County Durham","United Kingdom"
"Andrew Cunningham","1910-06-08","Durham","County Durham","United Kingdom"
"Joseph Gray","1890-06-06","Durham","County Durham","United Kingdom"
"Willliam Chapman","1797-05-13","Durham","County Durham","United Kingdom"
"Jordan Robertss","1993-01-02","Durham","County Durham","United Kingdom"
"Sarah Clarkk","1978-01-03","Durham","County Durham","United Kingdom"
"Leslie Wrightt","1903-01-20","Durhamm","County Durham","United Kingdom"
"James Woodd","1965-11-01","Durhamm","County Durham","United Kingdom"
"David Armstrongg","1954-12-26","Durhamm","County Durham","United Kingdom"
"Peter Diiamond","1929-08-10","Durhamm","County Durham","United Kingdom"
"Karl  Turner","1987-11-29","Durhham","County Durham","United Kingdom"
"Paata","1965-11-04","Chibba","Chiba Prefecture","Japan"
"Makoto Kanekoo","1975-11-08","Abiko","Chiba Prefecture","Japan"
"Hiroshi Ogawa","1960-06-06","Ichikawa","Chiba Prefecture","Japan"
"Jun Konnoo","1975-10-18","Noda","Chiba Prefecture","Japan"
"Yoshikii","1965-11-20","Tateyama","Chiba Prefecture","Japan"
"Toshi","1965-10-10","Tateyama","Chiba Prefecture","Japan"
"Norio Takahashi","1971-03-15","Yachiyo","Chiba Prefecture","Japan"
"André Bernierr","1930-10-29","Windsor","Estrie","Canada"
"Hiroshi Nakamura","1890-03-25","Datte","Fukushima Prefecture","Japan"
"Erasmo Ramírez","1990-05-02","Rivass","Rivas Department","Nicaragua"
"Kazuki Watanabe","1990-10-02","Yamanashii","Yamanashi Prefecture","Japan"
