"goalkeeper","birthPlace","team","ground"
"Alberto Fontana","Italy","Napoli","San Paolo"
"Alberto Fontana","Italy","Napoli","Stadio San Paolo"
"Alberto Fontana","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Alberto Fontana","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Alberto Fontana","Italy","Juventus","Juventus Stadium"
"Alberto Fontana","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Alberto Maria Fontana","Italy","Juventus","Juventus Stadium"
"Alberto Maria Fontana","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Alberto Rafael da Silva","Brazil","Esteghlal Tehran Football Club","Azadi Stadium"
"Alberto Rafael da Silva","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Alberto Rafael da Silva","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Alberto Rafael da Silva","Brazil","Esteghlal","Azadi Stadium"
"Alberto Rafael da Silva","Brazil","استقلال","Azadi Stadium"
"Alejandro Limia","Argentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Alejandro Limia","Argentina","Huracán","Estadio Tomás A. Ducó"
"Alessandro Beti Rosa","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Alessandro Beti Rosa","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Alex Arancibia","Bolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Alex Arancibia","Bolivia","Wilstermann","Estadio Sudamericano Félix Capriles"
"Alex Arancibia Chavez","Bolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Alex Arancibia Chavez","Bolivia","Wilstermann","Estadio Sudamericano Félix Capriles"
"Alexander Domínguez","Ecuador","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Alexander Domínguez Carabalí","Ecuador","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Alfonso De Lucia","Italy","Napoli","San Paolo"
"Alfonso De Lucia","Italy","Napoli","Stadio San Paolo"
"Alfonso De Lucia","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Alfonso De Lucia","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Alfredo Bodoira","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Alfredo Bodoira","Italy","Juventus","Juventus Stadium"
"Ali Boumnijel","Tunisia","Club Africain","Stade Olympique de Radès"
"Alireza Beiranvand","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Alireza Salimi","Iran","استقلال","Azadi Stadium"
"Alireza Salimi","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Alireza Salimi","Iran","Esteghlal","Azadi Stadium"
"Amir Abedzadeh","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Amrinder Singh","Punjab, India","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Amrinder Singh","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Amrinder Singh","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Amrinder Singh","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singh","Punjab, India","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Amrinder Singh","Punjab, India","Atlético de Kolkata","Salt Lake Stadium"
"Amrinder Singh","Punjab, India","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singh","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Amrinder Singh Sandhu","Punjab, India","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Amrinder Singh Sandhu","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singh Sandhu","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Amrinder Singh Sandhu","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Amrinder Singh Sandhu","Punjab, India","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Amrinder Singh Sandhu","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Amrinder Singh Sandhu","Punjab, India","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singh Sandhu","Punjab, India","Atlético de Kolkata","Salt Lake Stadium"
"Anderson Soares da Silva","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Anderson Soares da Silva","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Andrea Pozzato","Italy","Juventus","Juventus Stadium"
"Andrea Pozzato","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Andres Leandro Castellanos Serrano","Colombia","Santa Fe","Estadio Nemesio Camacho"
"Andres Leandro Castellanos Serrano","Colombia","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"André","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"André","Brazil","Juventude","Estádio Alfredo Jaconi"
"André Campos Moreira","Portugal","Atlético Madrid","Vicente Calderón"
"André Campos Moreira","Portugal","Club Atlético de Madrid, S.A.D.","Vicente Calderón"
"André Campos Moreira","Portugal","Atlético Madrid","Estadio Vicente Calderón"
"André Campos Moreira","Portugal","Club Atlético de Madrid, S.A.D.","Estadio Vicente Calderón"
"André Doring","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"André Doring","Brazil","Juventude","Estádio Alfredo Jaconi"
"André Döring","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"André Döring","Brazil","Juventude","Estádio Alfredo Jaconi"
"André Moreira","Portugal","Atlético Madrid","Vicente Calderón"
"André Moreira","Portugal","Club Atlético de Madrid, S.A.D.","Vicente Calderón"
"André Moreira","Portugal","Atlético Madrid","Estadio Vicente Calderón"
"André Moreira","Portugal","Club Atlético de Madrid, S.A.D.","Estadio Vicente Calderón"
"André-Joël Eboué","Cameroon","Canon Kpakum Yaoundé","Stade Ahmadou Ahidjo"
"Andrés Leandro Castellanos Serrano","Colombia","Santa Fe","Estadio Nemesio Camacho"
"Andrés Leandro Castellanos Serrano","Colombia","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"Angelo Martino Colombo","Italy","Juventus","Juventus Stadium"
"Angelo Martino Colombo","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Angelo Peruzzi","Italy","Juventus","Juventus Stadium"
"Angelo Peruzzi","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Anthony Scribe","France","Football Club Dinamo Tbilisi","Boris Paichadze Dinamo Arena"
"Anthony Scribe","France","Dinamo Tbilisi","Boris Paichadze Dinamo Arena"
"Anton Petrovych Yashkov","Ukraine","Shakhtar Donetsk","Donbass Arena"
"Anton Petrovych Yashkov","Ukraine","Football Club Shakhtar","Donbass Arena"
"Anton Turek","Germany","Fortuna Düsseldorf","ESPRIT arena"
"Anton Turek","Germany","Düsseldorfer Turn- und Sportverein","ESPRIT arena"
"Anton Turek","Germany","Fortuna 1895 e.V.","ESPRIT arena"
"Anton Yashkov","Ukraine","Football Club Shakhtar","Donbass Arena"
"Anton Yashkov","Ukraine","Shakhtar Donetsk","Donbass Arena"
"Antonino Saviano","Italy","Napoli","San Paolo"
"Antonino Saviano","Italy","Napoli","Stadio San Paolo"
"Antonino Saviano","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Antonino Saviano","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Antonio Rosati","Italy","Napoli","Stadio San Paolo"
"Antonio Rosati","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Antonio Rosati","Italy","Napoli","San Paolo"
"Antonio Rosati","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"António Amaral","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"António Amaral","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"António Amaral","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"António Amaral","Portugal","Benfica","Estádio da Luz"
"António Jorge Rodrigues Amaral","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"António Jorge Rodrigues Amaral","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"António Jorge Rodrigues Amaral","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"António Jorge Rodrigues Amaral","Portugal","Benfica","Estádio da Luz"
"Apoula Edel","Cameroon","Atlético de Kolkata","Salt Lake Stadium"
"Apoula Edel","Cameroon","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Apoula Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Apoula Edel","Cameroon","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Apoula Edel","Cameroon","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Apoula Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Apoula Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Apoula Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Apoula Edima Edel Bete","Cameroon","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Apoula Edima Edel Bete","Cameroon","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Apoula Edima Edel Bete","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Apoula Edima Edel Bete","Cameroon","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Apoula Edima Edel Bete","Cameroon","Atlético de Kolkata","Salt Lake Stadium"
"Apoula Edima Edel Bete","Cameroon","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Apoula Edima Edel Bete","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Apoula Edima Edel Bete","Cameroon","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Arianna Criscione","United States","FC Twente","De Grolsch Veste"
"Arindam Bhattacharya","India","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Arindam Bhattacharya","India","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Arindam Bhattacharya","India","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Arindam Bhattacharya","India","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Arnaldo Sentimenti","Italy","Napoli","San Paolo"
"Arnaldo Sentimenti","Italy","Napoli","Stadio San Paolo"
"Arnaldo Sentimenti","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Arnaldo Sentimenti","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Arsen Abrahami Beglaryan","Russia","Krasnodar","Krasnodar Stadium"
"Arsen Abrahami Beglaryan","Russia","Футбольный клуб Краснодар","Krasnodar Stadium"
"Arsen Abrahami Beglaryan","Russia","Футбольный клуб Кубань Краснодар","Kuban Stadium"
"Arsen Abrahami Beglaryan","Russia","Kuban","Kuban Stadium"
"Arsen Beglaryan","Russia","Футбольный клуб Кубань Краснодар","Kuban Stadium"
"Arsen Beglaryan","Russia","Kuban","Kuban Stadium"
"Arsen Beglaryan","Russia","Футбольный клуб Краснодар","Krasnodar Stadium"
"Arsen Beglaryan","Russia","Krasnodar","Krasnodar Stadium"
"Artur Dyson","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Artur Dyson","Portugal","Sporting CP","Estádio José Alvalade"
"Artur Dyson Santos","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Artur Dyson Santos","Portugal","Sporting CP","Estádio José Alvalade"
"Artyom Leonov","Russia","Футбольный клуб Краснодар","Krasnodar Stadium"
"Artyom Leonov","Russia","Krasnodar","Krasnodar Stadium"
"Artyom Petrovich Leonov","Russia","Футбольный клуб Краснодар","Krasnodar Stadium"
"Artyom Petrovich Leonov","Russia","Krasnodar","Krasnodar Stadium"
"Arup Debnath","West Bengal","East Bengal Football Club","Salt Lake Stadium"
"Arup Debnath","West Bengal","East Bengal Football Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Arup Debnath","West Bengal","East Bengal Football Club","Vivekananda Yuva Bharati Krirangan"
"Arup Debnath","West Bengal","East Bengal Football Club","সল্ট লেক স্টেডিয়াম"
"Ashkan Namdari","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Ashkan Namdari","Iran","Esteghlal","Azadi Stadium"
"Ashkan Namdari","Iran","استقلال","Azadi Stadium"
"Attilio Bulgheri","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Attilio Bulgheri","Italy","Juventus","Juventus Stadium"
"Attouga","Tunisia","Club Africain","Stade Olympique de Radès"
"Augusto Amaro","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Augusto Amaro","Portugal","Benfica","Estádio da Luz"
"Augusto Amaro","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Augusto Amaro","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Augusto Marques Rodrigues Amaro","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Augusto Marques Rodrigues Amaro","Portugal","Benfica","Estádio da Luz"
"Augusto Marques Rodrigues Amaro","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Augusto Marques Rodrigues Amaro","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Back Min-Chul","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-Chul","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-Chul","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-chul","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-chul","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-chul","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Bahram Mavaddat","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Balaji Narasimhan","India","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Balaji Narasimhan","India","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Balaji Narasimhan","India","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Balaji Narasimhan","India","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Balaji Narasimhan","Karnataka","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Balaji Narasimhan","Karnataka","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Balaji Narasimhan","Karnataka","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Balaji Narasimhan","Karnataka","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Behzad Gholampour","Iran","استقلال","Azadi Stadium"
"Behzad Gholampour","Iran","Esteghlal","Azadi Stadium"
"Behzad Gholampour","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Beniamino Abate","Italy","Napoli","San Paolo"
"Beniamino Abate","Italy","Napoli","Stadio San Paolo"
"Beniamino Abate","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Beniamino Abate","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Bernd Franke","Germany","Fortuna Düsseldorf","ESPRIT arena"
"Bernd Franke","Germany","Fortuna 1895 e.V.","ESPRIT arena"
"Bernd Franke","Germany","Düsseldorfer Turn- und Sportverein","ESPRIT arena"
"Boubacar Barry","Ivory Coast","ASEC Mimosas","Stade Félix Houphouët-Boigny"
"Boubacar Barry","Ivory Coast","Association Sportive des Employés de Commerce Mimosas","Stade Félix Houphouët-Boigny"
"Boy Waterman","Netherlands","Alemannia 1900 e.V.","Tivoli"
"Boy Waterman","Netherlands","Alemannia Aachen","Tivoli"
"Boy Waterman","Netherlands","Aachener Turn- und Sportverein","Tivoli"
"Branko de Tellería","Argentina","Huracán","Estadio Tomás A. Ducó"
"Branko de Tellería","Argentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Bruno Costa","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Costa","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Costa","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Bruno Costa","Portugal","Benfica","Estádio da Luz"
"Bruno Miguel Guerreiro Costa","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Miguel Guerreiro Costa","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Miguel Guerreiro Costa","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Bruno Miguel Guerreiro Costa","Portugal","Benfica","Estádio da Luz"
"Bréiner Castillo","Colombia","Millonarios Fútbol Club S.A.","Estadio Nemesio Camacho"
"Bréiner Castillo","Colombia","Millonarios","Estadio Nemesio Camacho"
"Bréiner Clemente Castillo Caicedo","Colombia","Millonarios Fútbol Club S.A.","Estadio Nemesio Camacho"
"Bréiner Clemente Castillo Caicedo","Colombia","Millonarios","Estadio Nemesio Camacho"
"Bubai Singh","India","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Bubai Singh","India","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Bubai Singh","India","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Bubai Singh","India","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Bubai Singha","India","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Bubai Singha","India","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Bubai Singha","India","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Bubai Singha","India","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Caio Gobbo Secco","Brazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Caio Gobbo Secco","Brazil","Vitória","Estádio Manoel Barradas"
"Caio Gobbo Secco","Brazil","Esporte Clube Vitória","Barradão"
"Caio Gobbo Secco","Brazil","Vitória","Barradão"
"Caio Secco","Brazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Caio Secco","Brazil","Vitória","Estádio Manoel Barradas"
"Caio Secco","Brazil","Esporte Clube Vitória","Barradão"
"Caio Secco","Brazil","Vitória","Barradão"
"Carlo Mattrel","Italy","Juventus","Juventus Stadium"
"Carlo Mattrel","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Carlos António Gomes","Portugal","Sporting CP","Estádio José Alvalade"
"Carlos António Gomes","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Carlos António do Carmo Costa Gomes","Portugal","Sporting CP","Estádio José Alvalade"
"Carlos António do Carmo Costa Gomes","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Carlos Emilio Lampe Porras","Bolivia","Universitario de Sucre","Estadio Olímpico Patria"
"Carlos Emilio Lampe Porras","Bolivia","Club Deportivo Universitario San Francisco Xavier","Estadio Olímpico Patria"
"Carlos Enrique Vázquez del Mercado","Mexico","Club Deportivo Guadalajara S.A. de C.V.","Estadio Chivas"
"Carlos Gomes","Portugal","Sporting CP","Estádio José Alvalade"
"Carlos Gomes","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Carlos Lampe","Bolivia","Universitario de Sucre","Estadio Olímpico Patria"
"Carlos Lampe","Bolivia","Club Deportivo Universitario San Francisco Xavier","Estadio Olímpico Patria"
"Carmine Biagio Gatti","Italy","Napoli","San Paolo"
"Carmine Biagio Gatti","Italy","Napoli","Stadio San Paolo"
"Carmine Biagio Gatti","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Carmine Biagio Gatti","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Cees Paauwe","Netherlands","Twente","De Grolsch Veste"
"Cees Paauwe","Netherlands","Football Club Twente","De Grolsch Veste"
"Cesare Goffi","Italy","Juventus","Juventus Stadium"
"Cesare Goffi","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Cesare Valinasso","Italy","Juventus","Juventus Stadium"
"Cesare Valinasso","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Cho Jun-Ho","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"Cho Jun-Ho","South Korea","Jeju United","Jeju World Cup Stadium"
"Cho Jun-Ho","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Cho Jun-Ho","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Choi Hyun","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"Choi Hyun","South Korea","Jeju United","Jeju World Cup Stadium"
"Choi Hyun","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Choi Hyun","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Christian Martínez","Mexico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Christian Martínez Cedillo","Mexico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Christian Mathenia","Germany","1. Fußball- und Sport-Verein Mainz 05 e.V.","Opel Arena"
"Christian Mathenia","Germany","Mainz 05","Opel Arena"
"Cipriano","Portugal","Sporting CP","Estádio José Alvalade"
"Cipriano","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Cipriano Nunes dos Santos","Portugal","Sporting CP","Estádio José Alvalade"
"Cipriano Nunes dos Santos","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Cipriano Santos","Portugal","Sporting CP","Estádio José Alvalade"
"Cipriano Santos","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Cléber","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Cléber","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Cléber Luis Alberti","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Cléber Luis Alberti","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Daan Huiskamp","Netherlands","Stichting Betaald Voetbal Vitesse","GelreDome"
"Daan Huiskamp","Netherlands","Vitesse","GelreDome"
"Daniel Alejandro Islas","Argentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Daniel Alejandro Islas","Argentina","Huracán","Estadio Tomás A. Ducó"
