"???O","???[?O","?`?[??","????","?N","??"
"Cesar Cedeno","?m?k","Astros","08-09","1976","2"
"Lyman Bostock","?`?k","Twins","07-24","1976","."
"Mike Phillips","?m?k","Mets","06-25","1976","."
"Larry Hisle","?`?k","Twins","06-04","1976","."
"Tim Foli","?m?k","Expos","04-22","1976","."
"Lou Brock","?m?k","Cardinals","05-27","1975","."
"Richie Zisk","?m?k","Pirates","06-09","1974","."
"Joe Torre","?m?k","Cardinals","06-27","1973","."
"Cesar Tovar","?`?k","Twins","09-19","1972","."
"Bobby Murcer","?`?k","Yankees","08-29","1972","."
"Cesar Cedeno","?m?k","Astros","08-02","1972","1"
"Dave Kingman","?m?k","Giants","04-16","1972","."
"Freddie Patek","?`?k","Royals","07-09","1971","."
"Jim Ray Hart","?m?k","Giants","07-08","1970","."
"Tommie Agee","?m?k","Mets","07-06","1970","."
"Tony Horton","?`?k","Indians","07-02","1970","."
"Rod Carew","?`?k","Twins","05-20","1970","."
"Wes Parker","?m?k","Dodgers","05-07","1970","."
"Jim Fregosi","?`?k","Angels","05-20","1968","2"
"Randy Hundley","?m?k","Cubs","08-11","1966","2"
"Billy Williams","?m?k","Cubs","07-17","1966","2"
"Carl Yastrzemski","?`?k","Red Sox","05-14","1965","2"
"Jim Fregosi","?`?k","Angels","07-28","1964","1"
"Willie Stargell","?m?k","Pirates","07-22","1964","."
"Ken Boyer","?m?k","Cardinals","06-16","1964","2"
"Jim King","?`?k","Senators","05-26","1964","."
"Jim Hickman","?m?k","Mets","08-07","1963","."
"Johnny Callison","?m?k","Phillies","06-27","1963","."
"Lu Clinton","?`?k","Red Sox","07-13","1962","."
"Ken Boyer","?m?k","Cardinals","09-14","1961","1"
"Bill White","?m?k","Cardinals","08-14","1960","."
"Brooks Robinson","?`?k","Orioles","07-15","1960","."
"Frank Robinson","?m?k","Reds","05-02","1959","."
"Mickey Mantle","?`?k","Yankees","07-23","1957","."
"Lee Walls","?m?k","Cubs","07-02","1957","."
"Don Mueller","?m?k","Giants","07-11","1954","."
"Larry Doby","?`?k","Indians","06-04","1952","."
"Gus Bell","?m?k","Pirates","06-04","1951","."
"Hoot Evers","?`?k","Tigers","09-07","1950","."
"Elmer Valo","?`?k","Athletics","08-02","1950","."
"Roy Smalley","?m?k","Cubs","06-28","1950","."
"Ralph Kiner","?m?k","Pirates","06-25","1950","."
"George Kell","?`?k","Tigers","06-02","1950","."
"Stan Musial","?m?k","Cardinals","07-24","1949","."
"Gil Hodges","?m?k","Dodgers","06-25","1949","."
"Wally Westlake","?m?k","Pirates","06-14","1949","2"
"Jackie Robinson","?m?k","Dodgers","08-29","1948","."
"Wally Westlake","?m?k","Pirates","07-30","1948","1"
"Joe DiMaggio","?`?k","Yankees","05-20","1948","2"
"Vic Wertz","?`?k","Tigers","09-14","1947","."
"Bobby Doerr","?`?k","Red Sox","05-13","1947","2"
"Ted Williams","?`?k","Red Sox","07-21","1946","."
"Mickey Vernon","?`?k","Senators","05-19","1946","."
"Bill Salked","?m?k","Pirates","08-04","1945","."
"Bob Elliott","?m?k","Pirates","07-15","1945","."
"Dixie Walker","?m?k","Dodgers","09-02","1944","."
"Bob Johnson","?`?k","Red Sox","07-06","1944","."
"Bobby Doerr","?`?k","Red Sox","05-17","1944","1"
"Leon Culberson","?`?k","Red Sox","07-03","1943","."
"George McQuinn","?`?k","Browns","07-19","1941","."
"Joe Gordon","?`?k","Yankees","09-08","1940","."
"Joe Cronin","?`?k","Red Sox","08-02","1940","2"
"Buddy Rosar","?`?k","Yankees","07-19","1940","."
"Johnny Mize","?m?k","Cardinals","07-13","1940","."
"Harry Danning","?m?k","Giants","06-15","1940","."
"Harry Craft","?m?k","Reds","06-08","1940","."
"Arky Vaughan","?m?k","Pirates","07-19","1939","2"
"Charlie Gehringer","?`?k","Tigers","05-27","1939","."
"Sam Chapman","?`?k","Athletics","05-05","1939","."
"Odell Hale","?`?k","Indians","07-12","1938","."
"Lou Gehrig","?`?k","Yankees","08-01","1937","2"
"Joe DiMaggio","?`?k","Yankees","07-09","1937","1"
"Gee Walker","?`?k","Tigers","04-20","1937","."
"Sam Leslie","?m?k","Giants","05-24","1936","."
"Joe Medwick","?m?k","Cardinals","06-29","1935","."
"Moose Solters","?`?k","Red Sox","08-19","1934","."
"Lou Gehrig","?`?k","Yankees","06-25","1934","."
"Roger Cramer","?`?k","Athletics","06-10","1934","."
"Babe Herman","?m?k","Cubs","09-30","1933","3"
"Earl Averill","?`?k","Indians","08-17","1933","."
"Jimmie Foxx","?`?k","Athletics","08-14","1933","."
"Pinky Higgins","?`?k","Athletics","08-06","1933","."
"Mickey Cochrane","?`?k","Athletics","08-02","1933","2"
"Arky Vaughan","?m?k","Pirates","06-24","1933","1"
"Chuck Klein","?m?k","Phillies","05-26","1933","2"
"Pepper Martin","?m?k","Cardinals","05-05","1933","."
"Mickey Cochrane","?`?k","Athletics","07-22","1932","."
"Tony Lazzeri","?`?k","Yankees","06-03","1932","."
"Babe Herman","?m?k","Dodgers","07-24","1931","2"
"Chuck Klein","?m?k","Phillies","07-01","1931","1"
"Babe Herman","?m?k","Dodgers","05-18","1931","1"
"Chick Hafey","?m?k","Cardinals","08-21","1930","."
"Hack Wilson","?m?k","Cubs","06-23","1930","."
"Freddy Lindstrom","?m?k","Giants","05-08","1930","."
"Joe Cronin","?`?k","Senators","09-02","1929","1"
"Oscar Melillo","?`?k","Browns","05-23","1929","."
"Mel Ott","?m?k","Giants","05-16","1929","."
"Bob Meusel","?`?k","Yankees","07-26","1928","3"
"Bill Terry","?m?k","Giants","05-29","1928","."
"Cy Williams","?m?k","Phillies","08-05","1927","."
"Jim Bottomley","?m?k","Cardinals","07-15","1927","."
"Bob Fothergill","?`?k","Tigers","09-26","1926","."
"Roy Carlyle","?`?k","Red Sox","07-21","1925","."
"Max Carey","?m?k","Pirates","06-20","1925","."
"Kiki Cuyler","?m?k","Pirates","06-04","1925","."
"Goose Goslin","?`?k","Senators","08-28","1924","."
"Baby Doll Jacobson","?`?k","Browns","04-17","1924","."
"Pie Traynor","?m?k","Pirates","07-07","1923","."
"Bob Meusel","?`?k","Yankees","07-03","1922","2"
"Ray Schalk","?`?k","White Sox","06-27","1922","."
"Jimmy Johnston","?m?k","Dodgers","05-25","1922","."
"Ross Youngs","?m?k","Giants","04-29","1922","."
"Dave Robertson","?m?k","Pirates","08-30","1921","."
"George Sisler","?`?k","Browns","08-13","1921","2"
"Dave Bancroft","?m?k","Giants","06-01","1921","."
"Bob Meusel","?`?k","Yankees","05-07","1921","1"
"Bobby Veach","?`?k","Tigers","09-17","1920","."
"George Burns","?m?k","Giants","09-17","1920","."
"George Sisler","?`?k","Browns","08-08","1920","1"
"Cliff Heathcote","?m?k","Cardinals","07-13","1918","."
"Heinie Groh","?m?k","Reds","07-05","1915","."
"Honus Wagner","?m?k","Pirates","08-22","1912","."
"Bert Daniels","?`?k","Yankees","07-25","1912","."
"Chief Meyers","?m?k","Giants","06-10","1912","."
"Tris Speaker","?`?k","Red Sox","06-09","1912","."
"Mike Mitchell","?m?k","Reds","08-19","1911","."
"Frank Baker","?`?k","Athletics","07-03","1911","."
"Bill Collins","?m?k","Braves","10-06","1910","."
"Danny Murphy","?`?k","Athletics","08-25","1910","."
"Owen Wilson","?m?k","Pirates","07-03","1910","."
"Otis Clymer","?`?k","Senators","10-02","1908","."
"John Bates","?m?k","Braves","04-26","1907","."
"Sam Mertes","?m?k","Giants","10-04","1904","."
"Duff Cooley","?m?k","Braves","06-20","1904","."
"Bill Bradley","?`?k","Indians","09-24","1903","."
"Pat Dougherty","?`?k","Red Sox","07-29","1903","."
"Buck Freeman","?`?k","Red Sox","07-21","1903","."
"Fred Clarke","?m?k","Pirates","05-07","1903","2"
"Nap Lajoie","?`?k","Athletics","07-30","1901","."
"Fred Clarke","?m?k","Pirates","07-23","1901","1"
"Harry Davis","?`?k","Athletics","07-10","1901","."
"Bill Joyce","?m?k","Washington","05-30","1896","."
"Herman Long","?m?k","Boston","05-09","1896","."
"Ed Cartwright","?m?k","Washington","09-30","1895","."
"Tom Dowd","?m?k","St. Louis","08-16","1895","."
"Tom Parrett","?m?k","Cincinnati","09-28","1894","."
"Sam Thompson","?m?k","Philadelphia","08-17","1894","."
"Bill Hassamaer","?m?k","Washington","06-13","1894","."
"Lave Cross","?m?k","Philadelphia","04-24","1894","."
"Jimmy Ryan","?m?k","Chicago","07-01","1891","2"
"John Reilly","?m?k","Cincinnati","08-06","1890","."
"Tom Burns","?m?k","Brooklyn","08-01","1890","."
"Larry Twitchell","?m?k","Cleveland","08-15","1889","."
"John Glasscock","?m?k","Indianapolis","08-08","1889","."
"Mike Tiernan","?m?k","New York","08-25","1888","."
"Jimmy Ryan","?m?k","Chicago","07-28","1888","1"
"Fred Carroll","?m?k","Pittsburgh","05-02","1887","."
"John Rowe","?m?k","Detroit","08-21","1886","."
"Fred Dunlap","?m?k","St. Louis","05-24","1886","."
"Bill McQuery","?m?k","Detroit","09-28","1885","."
"George Wood","?m?k","Detroit","06-13","1885","."
"Jim O'Rourke","?m?k","Buffalo","06-16","1884","."
"Charles Foley","?m?k","Buffalo","05-25","1882","."
