"name","birthDate","birthPlace","region","country"
"Preston Jones","1970-07-03","Anderson","South Carolina","United States"
"George Foster","1980-06-09","Macon","Bibb County, Georgia","United States"
"Tony Baker","1964-06-11","High Point","Forsyth County, North Carolina","United States"
"Roy Bennett","1961-07-05","Birmingham","Shelby County, Alabama","United States"
"Tom McNamara","1897-08-31","Worcester","Worcester County, Massachusetts","United States"
"Richard Harvey","1966-09-11","Pascagoula","Mississippi","United States"
"Andrew Brown","1995-12-30","Chesapeake","Virginia","United States"
"Kevin Mitchell","1971-01-01","Harrisburg","Cumberland County, Pennsylvania","United States"
"Kevin Mitchell","1971-01-01","Harrisburg","Pennsylvania","United States"
"John Miller","1934-02-01","Lowell","Middlesex County, Massachusetts","United States"
"Steve Miller","1992-02-28","Canton","Stark County, Ohio","United States"
"John Miller","1934-02-01","Lowell","Massachusetts","United States"
"Eric Hicks","1983-11-27","Greensboro","North Carolina","United States"
"Hugh Douglas","1971-08-23","Mansfield","Richland County, Ohio","United States"
"Eric Alexander","1982-02-08","Tyler","Smith County, Texas","United States"
"Craig James","1961-01-02","Jacksonville","Texas","United States"
"James Whalen","1977-12-11","Portland","Oregon","United States"
"Michael Palmer","1988-01-18","Tucker","Georgia (U.S. state)","United States"
"Kris Wilson","1981-08-22","Harrisburg","Cumberland County, Pennsylvania","United States"
"Richmond McDavid Flowers, Jr.","1947-06-13","Dothan","Alabama","United States"
"Kyle Williams","1988-07-19","San Jose","California","United States"
"Scott Ross","1968-12-07","Sacramento","California","United States"
"Jerry Johnson","1894-03-22","Linn Grove","Iowa","United States"
"James Harris","1982-06-02","Albany","Dougherty County, Georgia","United States"
"Rod Smith","1970-05-15","Texarkana","Miller County, Arkansas","United States"
"Steve Nemeth","1922-12-10","South Bend","Indiana","United States"
"Billy Taylor","1950-07-24","Hoxie","Arkansas","United States"
"James McDonald","1961-03-29","Long Beach","California","United States"
"Jimmy Smith","1960-09-25","Kankakee","Illinois","United States"
"Kevin Johnson","1976-07-15","Trenton","New Jersey","United States"
"Jimmy Smith","1960-09-25","Kankakee","Kankakee County, Illinois","United States"
"Richie Cunningham","1970-08-18","Houma","Terrebonne Parish, Louisiana","United States"
"Paul Collins","1907-10-31","Danbury","Woodbury County, Iowa","United States"
"Tim Harris","1961-06-25","Compton","California","United States"
"Tyrell Johnson","1985-05-19","Rison","Cleveland County, Arkansas","United States"
"Calvin Russell","1983-06-14","Fairburn","Fulton County, Georgia","United States"
"William Hayes","1985-05-02","High Point","Guilford County, North Carolina","United States"
"Malcolm Brown","1993-05-15","Biloxi","Harrison County, Mississippi","United States"
"Bryan Smith","1983-11-29","Newton","Newton County, Texas","United States"
"Brandon Williams","1989-02-21","Kirkwood","St. Louis County, Missouri","United States"
"Brett Williams (American football)","1980-05-02","Kissimmee","Florida","United States"
"Robert Kent","1980-10-06","Indianola","Mississippi","United States"
"Richard Shelton","1966-01-02","Marietta","Georgia (U.S. state)","United States"
"Mike Reilly","1942-03-27","Dubuque","Dubuque County, Iowa","United States"
"Jason Johnson","1979-12-07","Tacoma","Pierce County, Washington","United States"
"Richard Todd","1953-11-19","Birmingham","Shelby County, Alabama","United States"
"John Brewer","1906-04-06","Griffin","Spalding County, Georgia","United States"
"Mark Thomas","1969-05-06","Lilburn","Georgia (U.S. state)","United States"
"Chris Cook","1987-02-15","Lynchburg","Virginia","United States"
"Tony Davis","1953-01-21","Tecumseh","Nebraska","United States"
"Bob Gaudio","1925-07-13","Ashtabula","Ohio","United States"
"Terry Jackson","1955-12-09","Sherman","Grayson County, Texas","United States"
"Tony Davis","1953-01-21","Tecumseh","Johnson County, Nebraska","United States"
"Bill Collins","1901-10-20","Madison","Wisconsin","United States"
"Patrick Johnson","1976-08-10","Gainesville","Georgia (U.S. state)","United States"
"Michael Thompson","1977-02-11","Savannah","Georgia (U.S. state)","United States"
"Colin Brown","1985-08-29","Chillicothe","Missouri","United States"
"Michael Thompson","1977-02-11","Savannah","Chatham County, Georgia","United States"
"Bill Cronin","1943-11-20","Lawrence","Essex County, Massachusetts","United States"
"Chris Jennings","1985-12-12","Yuma","Yuma County, Arizona","United States"
"Bill Cronin","1943-11-20","Lawrence","Massachusetts","United States"
"Andrew Adams","1992-10-28","Fayetteville","Georgia (U.S. state)","United States"
"Terry Owens","1944-07-05","Jasper","Alabama","United States"
"James White","1953-10-26","Hot Springs","Arkansas","United States"
"Jake Scott","1981-04-16","Lewiston","Idaho","United States"
"Randy Scott","1959-01-31","Decatur","DeKalb County, Georgia","United States"
"Gary Walker","1973-02-28","Royston","Hart County, Georgia","United States"
"Derrick Graham","1967-03-18","Groveland","Lake County, Florida","United States"
"Gary Walker","1973-02-28","Royston","Madison County, Georgia","United States"
"Kyle York","1982-07-05","Cameron","Milam County, Texas","United States"
"Chris Brown","1978-01-21","Augusta","Richmond County, Georgia","United States"
"Chris Ellis","1985-02-11","Hampton","Virginia","United States"
"Kevin Murphy","1990-02-16","San Clemente","California","United States"
"Thomas Brown","1957-07-08","Galveston","Galveston County, Texas","United States"
"John Thompson","1957-01-18","Jackson","Rankin County, Mississippi","United States"
"Lee Evans","1981-03-11","Sandusky","Erie County, Ohio","United States"
"Kevin Patterson","1986-04-09","Brunswick","Glynn County, Georgia","United States"
"Carlos Antoine Emmons","1973-09-03","Greenwood","Mississippi","United States"
"Corey Johnson","1973-09-23","Forest Park","Georgia (U.S. state)","United States"
"Troy Davis","1991-01-06","Lawrenceville","Georgia (U.S. state)","United States"
"Kevin Lee","1971-01-01","Mobile","Alabama","United States"
"David Cobb","1993-06-03","Killeen","Bell County, Texas","United States"
"Michael Huey","1988-09-28","Longview","Gregg County, Texas","United States"
"Jack Keenan","1919-06-08","Greensboro","Guilford County, North Carolina","United States"
"Richard Jordan","1974-12-01","Holdenville","Hughes County, Oklahoma","United States"
"Eric Stokes","1973-12-18","Lincoln","Lancaster County, Nebraska","United States"
"Greg Orton","1962-08-09","Nebraska City","Otoe County, Nebraska","United States"
"Michael Huey","1988-09-28","Longview","Texas","United States"
"Reggie Williams","1983-07-23","Lake Charles","Louisiana","United States"
"Tyson Lee","1987-12-19","Columbus","Lowndes County, Mississippi","United States"
"Chris White","1989-01-15","Mobile","Alabama","United States"
"Ian Johnson","1986-10-10","Monrovia","California","United States"
"Eddie Jackson","1980-12-19","Plano","Texas","United States"
"Dustin Long","1981-11-30","Beaumont","Texas","United States"
"Willie Brown","1940-12-02","Yazoo City","Mississippi","United States"
"John Beck","1981-08-21","Hayward","California","United States"
"George Lee","1873-11-02","Leavenworth","Kansas","United States"
"Steve Morrison","1971-12-28","Birmingham","Michigan","United States"
"Wee Willie Smith","1910-07-02","Lexington","Nebraska","United States"
"Edgar Jones","1920-05-06","Scranton","Pennsylvania","United States"
"Willie Williams","1984-09-19","Milledgeville","Baldwin County, Georgia","United States"
"Travis Williams","1892-01-05","Boonville","Warrick County, Indiana","United States"
"Mike James","1991-04-13","Haines City","Florida","United States"
"Ryan Moore","1983-12-08","Orlando","Florida","United States"
"Jim Arnold","1961-01-31","Dalton","Georgia (U.S. state)","United States"
"James Boyd","1977-10-17","Norfolk","Virginia","United States"
"James Richards","1969-11-07","Lancaster","California","United States"
"Hugh White","1876-11-07","Lapeer","Michigan","United States"
"Jim Pederson","1907-10-19","Harvey","North Dakota","United States"
"Cam Newton","1982-05-19","Darlington","South Carolina","United States"
"J. T. Thomas","1951-04-22","Macon","Bibb County, Georgia","United States"
"George Rice","1944-06-20","Liberty","Clay County, Missouri","United States"
"William Gaines","1971-06-20","Jackson","Hinds County, Mississippi","United States"
"George Atkins","1932-04-10","Birmingham","Jefferson County, Alabama","United States"
"Justin Green","1991-02-26","Louisville","Jefferson County, Kentucky","United States"
"John Sawyer","1953-07-26","Brookhaven","Lincoln County, Mississippi","United States"
"John Sawyer","1953-11-26","Brookhaven","Lincoln County, Mississippi","United States"
"J. J. Johnson","1974-04-20","Mobile","Mobile County, Alabama","United States"
"Michael Hicks","1973-02-01","Barnesville","Georgia (U.S. state)","United States"
"Tommy Jones","1979-08-03","Eaton","Ohio","United States"
"Tony Fisher","1979-10-12","Euclid","Ohio","United States"
"Jordan Hill","1991-02-08","Harrisburg","Pennsylvania","United States"
"Bryan Thomas","1979-06-07","Birmingham","Jefferson County, Alabama","United States"
"Tommy Jones","1979-08-03","Eaton","Preble County, Ohio","United States"
"Keith Mitchell","1974-07-24","Garland","Rockwall County, Texas","United States"
"Randy Jackson","1944-03-06","Lake City","Florida","United States"
"John Holt","1959-05-14","Lawton","Oklahoma","United States"
"Terry Allen","1968-02-21","Commerce","Jackson County, Georgia","United States"
"Mark Carrier","1965-10-28","Lafayette","Lafayette Parish, Louisiana","United States"
"Tim Spencer","1960-12-10","Martins Ferry","Belmont County, Ohio","United States"
"Aaron Kelly","1986-04-20","Marietta","Cobb County, Georgia","United States"
"Nick Rogers","1979-05-31","East Point","Fulton County, Georgia","United States"
"Al Richardson","1957-09-23","Abbeville","Henry County, Alabama","United States"
"Anthony Henry","1976-11-03","Fort Myers","Lee County, Florida","United States"
"Willie Anderson","1975-07-11","Mobile","Mobile County, Alabama","United States"
"Jimmy Nelson","1919-07-26","Live Oak","Florida","United States"
"Fred Forsberg","1944-07-04","Tacoma","Washington (state)","United States"
"Trevor Robinson","1990-05-16","Kearney","Nebraska","United States"
"Jackie Simpson","1936-08-20","Corinth","Alcorn County, Mississippi","United States"
"Kevin Brock","1986-04-09","Hackensack","Bergen County, New Jersey","United States"
"Steve Lawson","1949-01-04","Athens","Clarke County, Georgia","United States"
"Wesley Johnson","1991-01-09","Nashville","Davidson County, Tennessee","United States"
"Gerald Harris","1988-04-16","Terrell","Texas","United States"
"Levi Brown","1987-03-11","Mount Juliet","Wilson County, Tennessee","United States"
"Jackie Simpson","1936-08-20","Corinth","Mississippi","United States"
"Ben Davis","1945-10-30","Birmingham","Alabama","United States"
"David King","1963-05-19","Mobile","Alabama","United States"
"Dave Williams","1954-03-10","Minden","Louisiana","United States"
"Brett Maher","1989-11-21","Kearney","Nebraska","United States"
"Brett Maher","1989-11-21","Kearney","Buffalo County, Nebraska","United States"
"Bobby Carpenter","1983-08-01","Lancaster","Fairfield County, Ohio","United States"
"A. J. Johnson","1991-12-24","Gainesville","Hall County, Georgia","United States"
"Ben Davis","1945-10-30","Birmingham","Jefferson County, Alabama","United States"
"David Bruton","1987-07-23","Winchester","Kentucky","United States"
"Mark Simmons","1984-01-16","Bloomington","Minnesota","United States"
"William Moore","1985-05-18","Hayti","Missouri","United States"
"David Lewis","1961-06-08","Portland","Clackamas County, Oregon","United States"
"Matt Hill","1978-11-10","Grangeville","Idaho County, Idaho","United States"
"Pat Hughes","1947-06-02","Everett","Middlesex County, Massachusetts","United States"
"Robert Baker","1976-03-14","Gainesville","Florida","United States"
"David Lewis","1961-06-08","Portland","Oregon","United States"
"Billy Martin","1942-10-27","Gainesville","Georgia (U.S. state)","United States"
"Billy Williams","1971-06-07","Alcoa","Tennessee","United States"
"C. J. Mosley","1992-06-19","Mobile","Alabama","United States"
"Dwight Jones","1989-01-01","Burlington","Alamance County, North Carolina","United States"
"Roy Bennett","1961-07-05","Birmingham","Jefferson County, Alabama","United States"
"Charles Frederick","1982-02-02","Lake Worth","Palm Beach County, Florida","United States"
"Brad Edwards","1966-02-22","Lumberton","Robeson County, North Carolina","United States"
"Steven Black","1986-12-10","Birmingham","Shelby County, Alabama","United States"
"Steven Black","1986-12-11","Birmingham","Shelby County, Alabama","United States"
"Robert Johnson","1982-06-20","Americus","Georgia (U.S. state)","United States"
"Michael Moore","1976-11-01","Fayette","Alabama","United States"
"David Griggs","1967-02-05","Camden","New Jersey","United States"
"Robert Smith","1972-03-04","Euclid","Ohio","United States"
"Kevin Mitchell","1971-01-01","Harrisburg","Dauphin County, Pennsylvania","United States"
"James Jones","1969-02-06","Davenport","Iowa","United States"
"Eric Green","1967-06-22","Savannah","Georgia (U.S. state)","United States"
"Brian Carpenter","1960-11-27","Flint","Michigan","United States"
"Courtney Brown","1978-02-14","Charleston","Berkeley County, South Carolina","United States"
"Craig James","1961-01-02","Jacksonville","Cherokee County, Texas","United States"
"Ben Shaw","1896-08-05","Coshocton","Coshocton County, Ohio","United States"
"George Rose","1942-01-01","Brunswick","Glynn County, Georgia","United States"
"Bob Davis","1927-05-03","Columbus","Muscogee County, Georgia","United States"
"George Crowther","1891-10-03","Fitchburg","Worcester County, Massachusetts","United States"
"Jason Hall","1983-10-31","Marietta","Georgia (U.S. state)","United States"
"Nick Williams","1990-02-21","Birmingham","Alabama","United States"
"Kyle Williams","1983-06-10","Ruston","Louisiana","United States"
"Jason Hall","1983-10-31","Marietta","Cobb County, Georgia","United States"
"Joe Reed","1948-01-08","Newport","Newport County, Rhode Island","United States"
"Nick Williams","1990-02-21","Birmingham","Shelby County, Alabama","United States"
"James Whalen","1977-12-11","Portland","Washington County, Oregon","United States"
"George Roberts","1955-06-10","Lynchburg","Virginia","United States"
"Jack Davis","1933-02-19","Heavener","Oklahoma","United States"
"George Little","1963-06-27","Duquesne","Pennsylvania","United States"
"James Williams","1968-10-10","Natchez","Adams County, Mississippi","United States"
"Richmond McDavid Flowers, Jr.","1947-06-13","Dothan","Henry County, Alabama","United States"
"Jerry Wilson","1936-12-09","Birmingham","Jefferson County, Alabama","United States"
"Stan White","1971-08-14","Birmingham","Jefferson County, Alabama","United States"
"Adam Smith","1990-04-09","Murfreesboro","Rutherford County, Tennessee","United States"
"Robert Woods","1992-04-10","Gardena","California","United States"
"Anthony Davis","1980-03-27","Paterson","New Jersey","United States"
"David Thornton","1978-11-01","Goldsboro","North Carolina","United States"
"Tim Anderson","1980-11-22","Clyde","Ohio","United States"
"Chris Armstrong","1967-08-28","Fayetteville","Cumberland County, North Carolina","United States"
"David Thornton","1978-11-01","Goldsboro","Wayne County, North Carolina","United States"
"Calvin Russell","1983-06-14","Fairburn","Georgia (U.S. state)","United States"
"David Howard","1961-12-08","Enterprise","Alabama","United States"
"Eric Johnson","1976-04-30","Carson","California","United States"
"Bernard Jackson","1980-05-10","Louisville","Kentucky","United States"
"Ben Nelson","1979-08-21","Coon Rapids","Minnesota","United States"
"David Howard","1961-12-08","Enterprise","Dale County, Alabama","United States"
"Ernie Jones","1964-12-15","Elkhart","Elkhart County, Indiana","United States"
"Roger Taylor","1958-01-05","Shawnee","Pottawatomie County, Oklahoma","United States"
"James Shaw","1989-02-27","Birmingham","Shelby County, Alabama","United States"
"Jerry Smith","1943-07-19","Eugene","Oregon","United States"
"Scott Hunter","1947-11-19","Mobile","Alabama","United States"
"Richard Shelton","1966-01-02","Marietta","Cobb County, Georgia","United States"
"Randy Robbins","1962-09-14","Casa Grande","Pinal County, Arizona","United States"
"Aaron Taylor","1975-01-21","Wichita Falls","Wichita County, Texas","United States"
"Cedric Smith","1968-05-27","Enterprise","Alabama","United States"
"Bob Gaudio","1925-07-13","Ashtabula","Ashtabula County, Ohio","United States"
"Brad Johnson","1968-09-13","Marietta","Cobb County, Georgia","United States"
"Josh Thomas","1989-05-03","Cedar Hill","Ellis County, Texas","United States"
"Anthony Armstrong","1983-03-29","Greencastle","Putnam County, Indiana","United States"
"Mike Kirkland","1954-06-29","Pasadena","Texas","United States"
"Richard Wood","1953-05-31","Elizabeth","Union County, New Jersey","United States"
"Gary Anderson","1961-04-18","Columbia","Boone County, Missouri","United States"
"Anthony Armstrong","1983-03-29","Greencastle","Indiana","United States"
"Brandon King","1993-06-08","Alabaster","Alabama","United States"
"Chris Conrad","1975-05-27","Fullerton","California","United States"
"Corey Robinson","1992-05-21","Havelock","North Carolina","United States"
"Larry Beil","1923-10-25","Portland","Clackamas County, Oregon","United States"
"Michael Bishop","1976-05-15","Galveston","Galveston County, Texas","United States"
"Chris Woods","1962-07-19","Birmingham","Jefferson County, Alabama","United States"
"Brandon Reilly","1993-09-24","Lincoln","Lancaster County, Nebraska","United States"
"Brandon King","1993-06-08","Alabaster","Shelby County, Alabama","United States"
"Buddy Baumann","1900-08-04","Racine","Wisconsin","United States"
"Larry Beil","1923-10-25","Portland","Oregon","United States"
"Randy Scott","1959-01-31","Decatur","Georgia (U.S. state)","United States"
"Sean Mannion","1992-04-25","San Jose","California","United States"
"Trumaine Johnson","1990-01-01","Stockton","California","United States"
"Andrew Adams","1992-10-28","Fayetteville","Fayette County, Georgia","United States"
"John Adams","1921-09-22","Charleston","Franklin County, Arkansas","United States"
"Micah Johnson","1988-06-22","Columbus","Muscogee County, Georgia","United States"
"Edwin Baker","1991-06-01","Highland Park","Wayne County, Michigan","United States"
"Kevin Murphy","1965-07-04","Syracuse","New York","United States"
"Simon Fraser","1983-03-27","Upper Arlington","Ohio","United States"
"Kevin Murphy","1965-07-04","Syracuse","Onondaga County, New York","United States"
"Sherman Williams","1973-08-13","Mobile","Alabama","United States"
"Leo Carroll","1944-02-16","Alhambra","California","United States"
"David Archer","1962-02-15","Fayetteville","North Carolina","United States"
"Zach Thomas","1960-09-08","Cocoa","Brevard County, Florida","United States"
"David Archer","1962-02-15","Fayetteville","Cumberland County, North Carolina","United States"
"Dennis Nelson","1946-02-02","Kewanee","Henry County, Illinois","United States"
"Brian Bonner","1984-04-13","Taft","Texas","United States"
"Marcus Johnson","1981-12-01","Greenville","Washington County, Mississippi","United States"
"Justin Anderson","1991-01-16","Foley","Alabama","United States"
"Bob Bryant","1918-06-14","Frederick","Oklahoma","United States"
"Justin Anderson","1991-01-16","Foley","Baldwin County, Alabama","United States"
"Flavio Tosi","1912-04-30","Beverly","Massachusetts","United States"
"Phillip Sims","1992-08-15","Chesapeake","Virginia","United States"
"Mike Wells","1971-06-01","Arnold","Missouri","United States"
"Brian Williams","1979-07-02","High Point","North Carolina","United States"
"Brad Anderson","1961-01-12","Glendale","Maricopa County, Arizona","United States"
"Steve Strachan","1963-03-22","Everett","Middlesex County, Massachusetts","United States"
"Bruce Smith","1920-02-08","Faribault","Rice County, Minnesota","United States"
"Brad Anderson","1961-01-12","Glendale","Arizona","United States"
"Derek Brown","1970-03-31","Fairfax","Virginia","United States"
"Richard Sherman","1988-03-30","Compton","California","United States"
"Derek Brown","1971-04-15","Banning","California","United States"
"Steve Nelson","1951-04-26","Farmington","Minnesota","United States"
"John Hannah","1951-04-04","Canton","Cherokee County, Georgia","United States"
"Walter Lewis","1962-04-26","Brewton","Alabama","United States"
"Wee Willie Smith","1910-07-02","Lexington","Dawson County, Nebraska","United States"
"Russell Davis","1956-09-15","Millen","Jenkins County, Georgia","United States"
"Mike James","1991-04-13","Haines City","Polk County, Florida","United States"
"Dick Todd","1914-10-02","Thrall","Texas","United States"
"James Stone","1992-04-26","Nashville","Tennessee","United States"
"Bryan Thomas","1979-06-07","Birmingham","Alabama","United States"
"Eric Rogers","1991-02-12","Glendora","California","United States"
"Charlie Evans","1948-01-10","Gardena","California","United States"
"Isaiah Ross","1981-11-06","Elk Grove","California","United States"
"Michael Hunt","1956-10-06","Madison","Minnesota","United States"
"Mark Cooper","1960-02-14","Camden","New Jersey","United States"
"Gordon Bell","1953-12-25","Troy","Ohio","United States"
"D. J. Johnson","1985-11-07","Texas City","Galveston County, Texas","United States"
"Chris Davis","1990-11-04","Birmingham","Jefferson County, Alabama","United States"
"Nate Allen","1987-11-30","Fort Myers","Lee County, Florida","United States"
"Fred Perry","1975-01-05","Fort Smith","Sebastian County, Arkansas","United States"
"Derek Anderson","1983-06-15","Portland","Oregon","United States"
"Frank Parker","1939-10-16","Broken Bow","Oklahoma","United States"
"Randy Jackson","1948-11-13","Atlanta","Cass County, Texas","United States"
"Chris Gray","1970-06-19","Birmingham","Shelby County, Alabama","United States"
"A. J. Davis","1989-07-06","Birmingham","Shelby County, Alabama","United States"
"John Clay","1988-01-04","Racine","Wisconsin","United States"
"Alex Brown","1979-06-04","Jasper","Florida","United States"
"Mark Carrier","1968-04-28","Lake Charles","Louisiana","United States"
"Jimmy Hitchcock","1970-11-09","Concord","North Carolina","United States"
"Ken Rice","1939-09-14","Bainbridge","Georgia (U.S. state)","United States"
"Wesley Johnson","1991-01-09","Nashville","Tennessee","United States"
"Ray Phillips","1954-03-18","Fordyce","Arkansas","United States"
"Frank Lewis","1947-07-04","Houma","Louisiana","United States"
"Danny Noonan","1965-07-14","Lincoln","Nebraska","United States"
"Ray Phillips","1954-03-18","Fordyce","Dallas County, Arkansas","United States"
"Mark Campbell","1975-12-06","Clawson","Oakland County, Michigan","United States"
"Harry Holt","1957-12-29","Harlingen","Texas","United States"
"A. J. Johnson","1991-12-24","Gainesville","Georgia (U.S. state)","United States"
"Alex Carter","1994-10-19","Fairfax","Virginia","United States"
"Ernest Jones","1971-04-01","Utica","New York","United States"
"Chris Martin","1960-12-19","Huntsville","Madison County, Alabama","United States"
"Ernest Jones","1971-04-01","Utica","Oneida County, New York","United States"
"George Benson","1919-05-07","Madison","Indiana","United States"
"David Hale","1983-03-03","Plain City","Utah","United States"
"Larry Smith","1974-12-04","Kingsland","Georgia (U.S. state)","United States"
"Marcus Williams","1977-12-12","Oakland","California","United States"
"Mark Green","1967-03-22","Riverside","California","United States"
"John McGovern","1887-09-15","Arlington","Minnesota","United States"
"Joe Harris","1952-12-06","Fayetteville","Cumberland County, North Carolina","United States"
"John Henderson","1979-01-09","Nashville","Davidson County, Tennessee","United States"
"Paul Lacoste","1974-09-03","Jackson","Rankin County, Mississippi","United States"
"Jason Jones","1983-08-30","Forrest City","St. Francis County, Arkansas","United States"
"Pat Hughes","1947-06-02","Everett","Massachusetts","United States"
"Greg Scott","1979-10-02","Franklin","Virginia","United States"
"Adam Kennedy","1991-05-11","Elk Grove","California","United States"
"Lewis Gilbert","1956-05-24","Naples","Florida","United States"
"Larry Hart","1987-07-16","Madison","Mississippi","United States"
"David Stewart","1982-08-28","Decatur","Alabama","United States"
"Charles Johnson","1989-02-27","Elsmere","Kentucky","United States"
"Fred Davis","1918-02-15","Louisville","Jefferson County, Kentucky","United States"
"Randy Phillips","1986-09-14","Belle Glade","Florida","United States"
"Eric Davis","1968-01-26","Anniston","Alabama","United States"
"Ken Brown","1945-11-08","Holdenville","Oklahoma","United States"
"Brian Carpenter","1960-11-27","Flint","Genesee County, Michigan","United States"
"Eric Hicks","1983-11-27","Greensboro","Guilford County, North Carolina","United States"
"Ken Brown","1945-11-08","Holdenville","Hughes County, Oklahoma","United States"
"Robert Johnson","1980-06-20","Montgomery","Montgomery County, Alabama","United States"
"Charles Alexander","1957-07-28","Galveston","Texas","United States"
"Jeremy Johnson","1994-09-23","Montgomery","Alabama","United States"
"Kevin White","1992-06-25","Plainfield","New Jersey","United States"
"Jarvis Williams","1965-05-16","Palatka","Putnam County, Florida","United States"
"Willie Young","1985-09-19","Riviera Beach","Florida","United States"
"Jerry Wilson","1936-12-09","Birmingham","Alabama","United States"
"Joe Rose","1957-06-24","Marysville","California","United States"
"Kevin Butler","1962-07-24","Savannah","Chatham County, Georgia","United States"
"James Allen","1979-11-11","Portland","Clackamas County, Oregon","United States"
"James Logan","1972-12-06","Opp","Covington County, Alabama","United States"
"Anthony Davis","1980-03-27","Paterson","Passaic County, New Jersey","United States"
"Justin Smith","1979-06-05","Lafayette","Tippecanoe County, Indiana","United States"
"James Allen","1979-11-11","Portland","Washington County, Oregon","United States"
"Tom Smith","1949-10-04","Waterloo","Iowa","United States"
"Tim Harris","1964-09-10","Birmingham","Alabama","United States"
"Jim Norton","1938-10-20","Glendale","California","United States"
"Richie Cunningham","1970-08-18","Houma","Louisiana","United States"
"Jerry Smith","1943-07-19","Eugene","Lane County, Oregon","United States"
"Billy Taylor","1950-07-24","Hoxie","Lawrence County, Arkansas","United States"
"Brett Williams (American football)","1980-05-02","Kissimmee","Osceola County, Florida","United States"
"Kevin Williams","1970-02-17","Marshall","Texas","United States"
"Charles Bartlett","1899-06-14","Marlin","Texas","United States"
"John Donaldson","1925-08-22","Jesup","Wayne County, Georgia","United States"
"Bill Cody","1944-08-02","Greenwood","Mississippi","United States"
"Chris Clemons","1981-10-30","Griffin","Georgia (U.S. state)","United States"
"Jack Harris","1902-09-29","Jackson","Michigan","United States"
"Damian Johnson","1962-12-18","Great Bend","Barton County, Kansas","United States"
"Derek Lee","1981-09-26","College Park","Fulton County, Georgia","United States"
"Dean Wells","1970-07-20","Louisville","Jefferson County, Kentucky","United States"
"Warren Williams","1965-07-29","Fort Myers","Lee County, Florida","United States"
"James Washington","1996-04-02","Abilene","Taylor County, Texas","United States"
"John Smith","1954-09-01","Sacramento","California","United States"
"Jeff Carlson","1966-04-23","Long Beach","California","United States"
"Jason Bell","1978-04-01","Long Beach","California","United States"
"Mike Barr","1978-12-08","Lynchburg","Virginia","United States"
"Matt Brown","1891-09-02","Duluth","Minnesota","United States"
"Colin Brown","1985-08-29","Chillicothe","Livingston County, Missouri","United States"
"John Small","1946-11-20","Lumberton","Robeson County, North Carolina","United States"
