"Nation","National anthem","Date adopted","Lyricist","Composer","Audio","Ref."
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","René Djam Afame","René Djam Afame","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Samuel Minkio Bamba","René Djam Afame","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Moïse Nyatte Nko'o","René Djam Afame","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Dr Bernard Fonlon","René Djam Afame","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Canada","""Ô Canada"" (""O Canada"")[b]","1980","Adolphe-Basile Routhier","Calixa Lavallée","""O Canada""","[55][56][57]"
"Canada","""Ô Canada"" (""O Canada"")[b]","1980","Robert Stanley Weir","Calixa Lavallée","""O Canada""","[55][56][57]"
"Cape Verde","""Cântico da Liberdade"" (""Song of Freedom"")","1996","Amílcar Spencer Lopes","Adalberto Higino Tavares Silva","""Cântico da Liberdade""","[58]"
"Central African Republic","""La Renaissance"" (""The Rebirth"")","1960","Barthélémy Boganda","Herbert Pepper [fr]","""La Renaissance""","[59]"
"Chad","""La Tchadienne"" (""People of Chad"")","1960","Louis Gidrol","Paul Villard","""La Tchadienne""","[60]"
"Chile","""Himno Nacional de Chile"" (""National Anthem of Chile"")","1941","Eusebio Lillo","Ramón Carnicer","""Himno Nacional de Chile""","[61]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","1949","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","1982","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","2004","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"Colombia","""Himno Nacional de la República de Colombia"" (""National Anthem of the Republic of Colombia"")","1886","Rafael Núñez","Oreste Sindici","""Himno Nacional de la República de Colombia""","[63]"
"Comoros","""Udzima wa ya Masiwa"" (""The Union of the Great Islands"")","1978","Said Hachim Sidi Abderemane","Said Hachim Sidi Abderemane","""Udzima wa ya Masiwa""","[64]"
"Comoros","""Udzima wa ya Masiwa"" (""The Union of the Great Islands"")","1978","Said Hachim Sidi Abderemane","Kamildine Abdallah","""Udzima wa ya Masiwa""","[64]"
"Democratic Republic of the Congo","""Debout Congolais"" (""Arise Congolese"")","1960","Joseph Lutumba","Simon-Pierre Boka di Mpasi Londi","""Debout Congolais""","[65]"
"Democratic Republic of the Congo","""Debout Congolais"" (""Arise Congolese"")","1997","Joseph Lutumba","Simon-Pierre Boka di Mpasi Londi","""Debout Congolais""","[65]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Jacques Tondra","Jean Royer","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Jacques Tondra","Jean Royer","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Georges Kibanghi","Jean Royer","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Georges Kibanghi","Jean Royer","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Jacques Tondra","Joseph Spadilière","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Jacques Tondra","Joseph Spadilière","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Georges Kibanghi","Joseph Spadilière","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Georges Kibanghi","Joseph Spadilière","""La Congolaise""","[66]"
"Costa Rica","""Himno Nacional de Costa Rica"" (""National Anthem of Costa Rica"")","1853","José María Zeledón Brenes","Manuel María Gutiérrez","""Himno Nacional de Costa Rica""","[67]"
"Croatia","""Lijepa naša domovino"" (""Our Beautiful Homeland"")[d]","1972","Antun Mihanović","Josip Runjanin","""Lijepa naša domovino""","[68][69]"
"Cuba","""El Himno de Bayamo"" (""The Anthem of Bayamo"")","1902","Perucho Figueredo","Perucho Figueredo","""El Himno de Bayamo""","[70]"
"Cyprus","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"")[e][f]","1960","Dionýsios Solomós","Nikolaos Mantzaros","""Ýmnos eis tīn Eleutherían""","[71]"
"Czech Republic","""Kde domov můj"" (""Where My Home is"")[g]","1918","Josef Kajetán Tyl","František Škroup","""Kde domov můj""","[72][73]"
"Denmark","""Kong Christian stod ved højen mast"" (""King Christian stood by the lofty mast"")[h]","1835","Adam Oehlenschläger","Hans Ernst Krøyer","""Kong Christian stod ved højen mast""","[74]"
"Djibouti","""Djibouti""","1977","Aden Elmi","Abdi Robleh","""Djibouti""","[75]"
"Dominica","""Isle of Beauty, Isle of Splendour""","1978","Wilfred Oscar Morgan Pond","Lemuel McPherson Christian","""Isle of Beauty, Isle of Splendour""","[76]"
"Dominican Republic","""Himno Nacional"" (""National Anthem"")","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas","""Himno Nacional""","[77]"
"East Timor","""Pátria"" (""Fatherland"")","2002","Francisco Borja da Costa","Afonso de Araujo","""Pátria""","[78]"
"Ecuador","""Salve, Oh Patria"" (""We Salute You, Our Homeland"")","1948","Juan León Mera","Antonio Neumane","""Salve, Oh Patria""","[79]"
"Egypt","""Bilady, Bilady, Bilady"" (""My Country, My Country, My Country"")","1979","Mohamed Younis Al-Qady","Sayed Darwish","""Bilady, Bilady, Bilady""","[80]"
"El Salvador","""Himno Nacional de El Salvador"" (""National Anthem of El Salvador"")","1879","Juan José Cañas","Juan Aberle","""Himno Nacional de El Salvador""","[81]"
"Equatorial Guinea","""Caminemos pisando las sendas de nuestra inmensa felicidad"" (""Let Us Tread the Path of our Immense Happiness"")","1968","Atanasio Ndongo Miyone","Ramiro Sánchez Lopes","""Caminemos pisando las sendas de nuestra inmensa felicidad""","[82]"
"Eritrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea"")","1993","Solomon Tsehaye Beraki","Isaac Abraham Meharezghi","""Ertra, Ertra, Ertra""","[83]"
"Eritrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea"")","1993","Solomon Tsehaye Beraki","Aron Tekle Tesfatsion","""Ertra, Ertra, Ertra""","[83]"
"Estonia","""Mu isamaa, mu õnn ja rõõm"" (""My Fatherland, My Happiness and Joy"")","1920","Johann Voldemar Jannsen","Fredrik Pacius","""Mu isamaa, mu õnn ja rõõm""","[84][85]"
"Eswatini","""Nkulunkulu Mnikati wetibusiso temaSwati"" (""O Lord our God of the Swazi"")","1968","Andrease Enoke Fanyana Simelane","David Kenneth Rycroft","""Nkulunkulu Mnikati wetibusiso temaSwati""","[86]"
"Ethiopia","""Wodefit Gesgeshi, Widd Innat Ityopp'ya"" (""March Forward, Dear Mother Ethiopia"")","1992","Dereje Melaku Mengesha","Solomon Lulu Mitiku","""Wodefit Gesgeshi, Widd Innat Ityopp'ya""","[87][88]"
"Fiji","""Meda Dau Doka"" (""God Bless Fiji"")","1970","Michael Francis Alexander Prescott","Charles Austin Miles","""Meda Dau Doka""","[89]"
"Finland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land"")","1917","Johan Ludvig Runeberg (Swedish)","Fredrik Pacius","""Maamme""","[90]"
"Finland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land"")","1917","Paavo Cajander (Finnish)","Fredrik Pacius","""Maamme""","[90]"
"France","""La Marseillaise"" (""The Marseillaise"")","1795","Claude Joseph Rouget de Lisle","Claude Joseph Rouget de Lisle","""La Marseillaise""","[10]"
"Gabon","""La Concorde"" (""Concord"")","1960","Georges Aleka Damas","Georges Aleka Damas","""La Concorde""","[91]"
"The Gambia","""For The Gambia Our Homeland""","1965","Virginia Julie Howe","Jeremy Frederick Howe","""For The Gambia Our Homeland""","[92]"
"Georgia","""Tavisupleba"" (""Freedom"")","2004","David Magradze","Zakaria Paliashvili","""Tavisupleda""","[93]"
"Germany","""Lied der Deutschen"" (""Song of the Germans"")[j]","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydn","""Einigkeit und Recht und Freiheit""","[94]"
"Ghana","""God Bless Our Homeland Ghana""","1957","Michael Kwame Gbordzoe","Philip Gbeho","""God Bless Our Homeland Ghana""","[95]"
"Greece","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"" or ""Hymn to Freedom"")[e]","1865","Dionýsios Solomós","Nikolaos Mantzaros","""Ýmnos eis tīn Eleutherían""","[96]"
"Grenada","""Hail Grenada""","1974","Irva Merle Baptiste","Louis Arnold Masanto","""Hail Grenada""","[97]"
"Guatemala","""Himno Nacional de Guatemala"" (""National Anthem of Guatemala"")","1896","José Joaquín Palma","Rafael Álvarez Ovalle","""Himno Nacional de Guatemala""","[98]"
"Guinea","""Liberté"" (""Freedom"")","1958","Unknown","Kodofo Moussa","""Liberté""","[99]"
"Guinea-Bissau","""Esta É a Nossa Pátria Bem Amada"" (""This Is Our Beloved Country"")","1974","Amílcar Cabral","Xiao He","""Esta É a Nossa Pátria Bem Amada""","[100]"
"Guyana","""Dear Land of Guyana, of Rivers and Plains""","1966","Archibald Leonard Luker","Robert Cyril Gladstone Potter","""Dear Land of Guyana, of Rivers and Plains""","[101]"
"Haiti","""La Dessalinienne"" (""Song of Dessalines"")","1904","Justin Lhérisson","Nicolas Geffrard","""La Dessalinienne""","[102]"
"Honduras","""Himno Nacional de Honduras"" (""National Anthem of Honduras"")","1915","Augusto Constancio Coello","Carlos Hartling","""Himno Nacional de Honduras""","[103]"
"Hungary","""Himnusz"" (""Hymn"")","1989","Ferenc Kölcsey","Ferenc Erkel","""Himnusz""","[104][105]"
"Iceland","""Lofsöngur"" (""Hymn"")","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson","""Lofsöngur""","[106]"
"India","""Jana Gana Mana"" (""Hail the ruler of all minds"")","1950","Rabindranath Tagore","Rabindranath Tagore","""Jana Gana Mana""","[107]"
"Indonesia","""Indonesia Raya"" (""Great Indonesia"")","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratman","""Indonesia Raya""","[108]"
"Iran","""Soroud-e Melli-e Jomhouri-e Eslami-e Iran"" (""National Anthem of Iran"")","1990","multiple","Hassan Riyahi","""Mehre Khâvarân""","[109]"
"Iraq","""Mawtini"" (""My Homeland"")","2004","Ibrahim Touqan","Mohammed Flayfel","""Mawtini""","[110]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Peadar Kearney (English)","Peadar Kearney","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Liam Ó Rinn (Irish)","Peadar Kearney","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Peadar Kearney (English)","Patrick Heeney","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Liam Ó Rinn (Irish)","Patrick Heeney","""Amhrán na bhFiann""","[111]"
"Israel","""HaTikvah"" (""The Hope"")","2004","Naftali Herz Imber","Samuel Cohen","""HaTikvah""","[112]"
"Italy","""Il Canto degli Italiani"" (""The Song of the Italians"")","2017","Goffredo Mameli","Michele Novaro","""Il Canto degli Italiani""","[113]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Mathieu Vangah Ekra [fr]","Pierre Marie Coty","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Joachim Bony [fr]","Pierre Marie Coty","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Pierre Marie Coty [fr]","Pierre Marie Coty","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Mathieu Vangah Ekra [fr]","Pierre-Michel Pango [fr]","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Joachim Bony [fr]","Pierre-Michel Pango [fr]","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Pierre Marie Coty [fr]","Pierre-Michel Pango [fr]","""L'Abidjanaise""","[114]"
"Jamaica","""Jamaica, Land We Love""[b]","1962","Hugh Sherlock","Robert Lightbourne","""Jamaica, Land We Love""","[115]"
"Japan","""Kimigayo"" (""His Majesty's Reign"")[116]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Yoshiisa Oku","""Kimi ga Yo""","[117]"
"Japan","""Kimigayo"" (""His Majesty's Reign"")[116]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Akimori Hayashi","""Kimi ga Yo""","[117]"
"Jordan","""Al-salam Al-malaki Al-urdoni"" (""The Royal Anthem of Jordan"")","1946","Abdul Monem Al-Refai","Abdul Qader al-Taneer","""Al-salam Al-malaki Al-urdoni""","[118]"
"Kazakhstan","""Meniñ Qazaqstanım"" (""My Kazakhstan"")","2006","Zhumeken Nazhimedenov (with modifications by Nursultan Nazarbayev)","Shamshi Kaldayakov","""Meniñ Qazaqstanım""","[119]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Graham Hyslop","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","G. W. Senoga-Zake","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Thomas Kalume","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Peter Kibukosya","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Washington Omondi","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kiribati","""Teirake Kaini Kiribati"" (""Stand up, Kiribati"")","1979","Urium Tamuera Ioteba","Urium Tamuera Ioteba","""Teirake Kaini Kiribati""","[121]"
"North Korea","""Aegukka"" (""The Patriotic Song"")","1947","Pak Seyŏng","Kim Wŏn'gyun","""Aegukka""","[122]"
"South Korea","""Aegukga"" (""The Patriotic Song"")","1948","An Chang-ho","Ahn Eak-tae","""Aegukga""","[123]"
"Kuwait","""Al-Nasheed Al-Watani"" (""National Anthem"")","1978","Ahmad Meshari Al-Adwani","Ibrahim Al-Soula","""Al-Nasheed Al-Watani""","[124]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Djamil Sadykov","Nasyr Davlesov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Eshmambet Kuluev","Nasyr Davlesov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Djamil Sadykov","Kalyi Moldobasanov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Eshmambet Kuluev","Kalyi Moldobasanov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Laos","""Pheng Xat Lao"" (""Hymn of the Lao People"")","1947","Sisana Sisane","Thongdy Sounthonevichit","""Pheng Xat Lao""","[126]"
"Latvia","""Dievs, svētī Latviju!"" (""God Bless Latvia"")","1920","Kārlis Baumanis","Kārlis Baumanis","""Dievs, svētī Latviju!""","[127]"
"Lebanon","""Lebanese National Anthem""","1927","Rashid Nakhle","Wadih Sabra","""Lebanese National Anthem""","[128]"
"Lesotho","""Lesotho Fatše La Bontata Rona"" (""Lesotho, Land of Our Fathers"")","1966","François Coillard","Ferdinand-Samuel Laur","""Lesotho Fatše La Bontata Rona""","[129]"
"Liberia","""All Hail, Liberia, Hail!""","1847","Daniel Bashiel Warner","Olmstead Luca","""All Hail, Liberia, Hail!""","[130]"
"Libya","""Libya, Libya, Libya""","2011","Al Bashir Al Arebi","Mohammed Abdel Wahab","""Libya, Libya, Libya!""","[131]"
"Liechtenstein","""Oben am jungen Rhein"" (""High on the young Rhine"")","1963","Jakob Josef Jauch","unknown","""Oben am jungen Rhein""","[132]"
"Lithuania","""Tautiška giesmė"" (""National Song"")","1919","Vincas Kudirka","Vincas Kudirka","""Tautiška giesmė""","[133]"
"Luxembourg","""Ons Heemecht"" (""Our Homeland"")","1993","Michel Lentz","Jean Antoine Zinnen","""Ons Hémécht""","[134]"
"Madagascar","""Ry Tanindrazanay malala ô!"" (""Oh, Beloved Land of our Ancestors"")","1958","Pastor Rahajason","Norbert Raharisoa","""Ry Tanindrazanay malala ô!""","[135]"
"Malawi","""Mulungu dalitsa Malaŵi"" (""God Bless Malawi"")","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka","""Mulungu dalitsa Malaŵi""","[136]"
"Malaysia","""Negaraku"" (""My Country"")","1957","multiple","Pierre-Jean de Béranger","""Negaraku""","[137]"
"Maldives","""Gaumii salaam"" (""National Salute"")","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradeva","""Gaumii salaam""","[138]"
"Mali","""Le Mali"" (""Mali"")","1962","Seydou Badian Kouyate","Banzumana Sissoko","""Le Mali""","[139]"
"Malta","""L-Innu Malti"" (""The Maltese Hymn"")","1964","Dun Karm Psaila","Robert Samut","""L-Innu Malti""","[140]"
"Marshall Islands","""Forever Marshall Islands""","1991","Amata Kabua","Amata Kabua","""Forever Marshall Islands""","[141]"
"Mauritania","""Bilada-l ubati-l hudati-l kiram"" (""Country of the Proud, Guiding Noblemen"")","2017","unknown","Rageh Daoud","""Bilada-l ubati-l hudati-l kiram""","[142]"
"Mauritius","""Motherland""","1968","Jean Georges Prosper","Philippe Gentil","""Motherland""","[143]"
"Mexico","""Himno Nacional Mexicano"" (""Mexican National Anthem"")","1943","Francisco González Bocanegra","Jaime Nunó","""Himno Nacional Mexicano""","[144]"
"Micronesia","""Patriots of Micronesia""","1991","unknown","Traditional German song (Ich hab' mich ergeben)","""Patriots of Micronesia""","[145]"
"Moldova","""Limba noastră"" (""Our Language"")","1994","Alexei Mateevici","Alexandru Cristea","""Limba noastră""","[146]"
"Monaco","""Hymne Monégasque"" (""Monégasque Anthem"")","1848","Louis Notari","Charles Albrecht","""Hymne Monégasque""","[147]"
"Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia"")","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren","""Mongol ulsiin töriin duulal""","[148]"
"Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia"")","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj","""Mongol ulsiin töriin duulal""","[148]"
"Montenegro","""Oj, svijetla majska zoro"" (""O, Bright Dawn of May"")","2004","folk song","Žarko Mirković","""Oj, svijetla majska zoro""","[149]"
"Morocco","""Hymne Chérifien"" (""Cherifian Anthem"")","1956","Ali Squalli Houssaini","Léo Morgan","""Hymne Chérifien""","[150]"
"Mozambique","""Pátria Amada"" (Beloved Homeland"")","2002","Salomão J. Manhiça","Justino Sigaulane Chemane","""Pátria Amada""","[151]"
"Mozambique","""Pátria Amada"" (Beloved Homeland"")","2002","Mia Couto","Justino Sigaulane Chemane","""Pátria Amada""","[151]"
"Myanmar","""Kaba Ma Kyei"" (""Till the End of the World"")","1948","Tsaya Ting","Tsaya Ting","""Kaba Ma Kyei""","[152]"
"Namibia","""Namibia, Land of the Brave""","1991","Axali Doëseb","Axali Doëseb","""Namibia, Land of the Brave""","[153]"
"Nauru","""Nauru Bwiema"" (""Song of Nauru"")","1968","Margaret Hendrie","Laurence Henry Hicks","","[154]"
"Nepal","""Sayaun Thunga Phulka"" (""Made of Hundreds of Flowers"")","2007","Byakul Maila","Amber Gurung","""Sayaun Thunga Phulka""","[155]"
"Netherlands","""Wilhelmus"" (""William"")","1932","Philips of Marnix","Adrianus Valerius","""The Wilhelmus""","[156]"
"Netherlands","""Wilhelmus"" (""William"")","1932","Dirck Coornhert","Adrianus Valerius","""The Wilhelmus""","[156]"
"Netherlands","""Wilhelmus"" (""William"")","1932","Petrus Dathenus","Adrianus Valerius","""The Wilhelmus""","[156]"
"New Zealand","""God Defend New Zealand""[b]","1940","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]","1977","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]","1940","Thomas H. Smith (Māori version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]","1977","Thomas H. Smith (Māori version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"Nicaragua","""Salve a ti, Nicaragua"" (""Hail to Thee, Nicaragua"")","1918","Salomón Ibarra Mayorga","Luis A. Delgadillo","""Salve a ti, Nicaragua""","[158]"
"Niger","""La Nigérienne"" (""The Nigerien"")","1961","Maurice Albert Thiriet","Robert Jacquet","""La Nigérienne""","[159]"
"Niger","""La Nigérienne"" (""The Nigerien"")","1961","Maurice Albert Thiriet","Nicolas Abel François Frionnet","""La Nigérienne""","[159]"
"Nigeria","""Arise, O Compatriots""","1978","John A. Ilechukwu","Nigerian Police Band","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Eme Etim Akpan","Nigerian Police Band","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","B. A. Ogunnaike","Nigerian Police Band","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Sotu Omoigui","Nigerian Police Band","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
