"player","startYear","team","position"
"Arinze Onuaku","2014","Maccabi Tel Aviv B.C.","Center (basketball)"
"Arinze Onuaku","2014","Orlando Magic","Center (basketball)"
"Arinze Onuaku","2014","Minnesota Timberwolves","Center (basketball)"
"Arinze Onuaku","2013","Maccabi Tel Aviv B.C.","Center (basketball)"
"Arinze Onuaku","2013","Orlando Magic","Center (basketball)"
"Arinze Onuaku","2013","Minnesota Timberwolves","Center (basketball)"
"Arinze Onuaku","2012","Maccabi Tel Aviv B.C.","Center (basketball)"
"Arinze Onuaku","2012","Orlando Magic","Center (basketball)"
"Arinze Onuaku","2012","Minnesota Timberwolves","Center (basketball)"
"Arinze Onuaku","2011","Maccabi Tel Aviv B.C.","Center (basketball)"
"Arinze Onuaku","2011","Orlando Magic","Center (basketball)"
"Arinze Onuaku","2011","Minnesota Timberwolves","Center (basketball)"
"Ben Bentil","2016","Boston Celtics","Power forward (basketball)"
"Bryn Forbes","2016","San Antonio Spurs","Guard (basketball)"
"Cheick Diallo","2016","New Orleans Pelicans","Power forward (basketball)"
"Cheick Diallo","2016","New Orleans Pelicans","Center (basketball)"
"Chris Quinn","2012","Miami Heat","Assistant coach"
"Chris Quinn","2011","Miami Heat","Assistant coach"
"Chris Quinn","2010","Miami Heat","Assistant coach"
"Chris Quinn","2009","Miami Heat","Assistant coach"
"Chris Quinn","2006","Miami Heat","Assistant coach"
"Christian Wood","2016","Charlotte Hornets","Power forward (basketball)"
"Christian Wood","2015","Charlotte Hornets","Power forward (basketball)"
"Damion Lee","2016","Boston Celtics","Shooting guard"
"Damjan Rudež","2016","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2015","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2014","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2012","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2011","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2009","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2008","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2006","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2004","Orlando Magic","Forward (basketball)"
"Damjan Rudež","2002","Orlando Magic","Forward (basketball)"
"Danilo Gallinari","2011","Denver Nuggets","Power forward (basketball)"
"Danilo Gallinari","2011","Denver Nuggets","Small forward"
"Danilo Gallinari","2010","Denver Nuggets","Power forward (basketball)"
"Danilo Gallinari","2010","Denver Nuggets","Small forward"
"Danilo Gallinari","2008","Denver Nuggets","Power forward (basketball)"
"Danilo Gallinari","2008","Denver Nuggets","Small forward"
"Danilo Gallinari","2006","Denver Nuggets","Power forward (basketball)"
"Danilo Gallinari","2006","Denver Nuggets","Small forward"
"Danilo Gallinari","2005","Denver Nuggets","Power forward (basketball)"
"Danilo Gallinari","2005","Denver Nuggets","Small forward"
"Danilo Gallinari","2004","Denver Nuggets","Power forward (basketball)"
"Danilo Gallinari","2004","Denver Nuggets","Small forward"
"Dario Šarić","2016","Philadelphia 76ers","Power forward (basketball)"
"Dario Šarić","2014","Philadelphia 76ers","Power forward (basketball)"
"Dario Šarić","2012","Philadelphia 76ers","Power forward (basketball)"
"Dario Šarić","2011","Philadelphia 76ers","Power forward (basketball)"
"Dario Šarić","2010","Philadelphia 76ers","Power forward (basketball)"
"Dario Šarić","2009","Philadelphia 76ers","Power forward (basketball)"
"DeAndre' Bembry","2016","Atlanta Hawks","Small forward"
"DeMar DeRozan","2009","Toronto Raptors","Shooting guard"
"Demetrius Jackson","2016","Boston Celtics","Point guard"
"Denzel Valentine","2016","Chicago Bulls","Shooting guard"
"Diamond Stone","2016","Los Angeles Clippers","Center (basketball)"
"Fred Hoiberg","2003","Chicago Bulls","Head coach"
"Fred Hoiberg","1999","Chicago Bulls","Head coach"
"Fred Hoiberg","1995","Chicago Bulls","Head coach"
"George Hill (basketball)","2016","Utah Jazz","Point guard"
"George Hill (basketball)","2011","Utah Jazz","Point guard"
"George Hill (basketball)","2008","Utah Jazz","Point guard"
"Ish Smith","2015","Detroit Pistons","Point guard"
"Ish Smith","2014","Detroit Pistons","Point guard"
"Ish Smith","2013","Detroit Pistons","Point guard"
"Ish Smith","2012","Detroit Pistons","Point guard"
"Ish Smith","2011","Detroit Pistons","Point guard"
"Ish Smith","2010","Detroit Pistons","Point guard"
"J. J. Redick","2013","Los Angeles Clippers","Shooting guard"
"J. J. Redick","2012","Los Angeles Clippers","Shooting guard"
"J. J. Redick","2006","Los Angeles Clippers","Shooting guard"
"Jalen Jones","2016","Boston Celtics","Small forward"
"Jamal Crawford","2012","Los Angeles Clippers","Shooting guard"
"Jamal Crawford","2012","Los Angeles Clippers","Point guard"
"Jamal Crawford","2011","Los Angeles Clippers","Shooting guard"
"Jamal Crawford","2011","Los Angeles Clippers","Point guard"
"Jamal Crawford","2009","Los Angeles Clippers","Shooting guard"
"Jamal Crawford","2009","Los Angeles Clippers","Point guard"
"Jamal Crawford","2008","Los Angeles Clippers","Shooting guard"
"Jamal Crawford","2008","Los Angeles Clippers","Point guard"
"Jamal Crawford","2004","Los Angeles Clippers","Shooting guard"
"Jamal Crawford","2004","Los Angeles Clippers","Point guard"
"Jamal Crawford","2000","Los Angeles Clippers","Shooting guard"
"Jamal Crawford","2000","Los Angeles Clippers","Point guard"
"Jamal Murray","2016","Denver Nuggets","Shooting guard"
"Jamal Murray","2016","Denver Nuggets","Point guard"
"James Johnson (basketball, born 1987)","2016","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2016","Miami Heat","Small forward"
"James Johnson (basketball, born 1987)","2014","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2014","Miami Heat","Small forward"
"James Johnson (basketball, born 1987)","2013","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2013","Miami Heat","Small forward"
"James Johnson (basketball, born 1987)","2012","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2012","Miami Heat","Small forward"
"James Johnson (basketball, born 1987)","2011","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2011","Miami Heat","Small forward"
"James Johnson (basketball, born 1987)","2010","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2010","Miami Heat","Small forward"
"James Johnson (basketball, born 1987)","2009","Miami Heat","Power forward (basketball)"
"James Johnson (basketball, born 1987)","2009","Miami Heat","Small forward"
"James Jones (basketball player)","2014","Cleveland Cavaliers","Shooting guard"
"James Jones (basketball player)","2014","Cleveland Cavaliers","Small forward"
"James Jones (basketball player)","2008","Cleveland Cavaliers","Shooting guard"
"James Jones (basketball player)","2008","Cleveland Cavaliers","Small forward"
"James Jones (basketball player)","2007","Cleveland Cavaliers","Shooting guard"
"James Jones (basketball player)","2007","Cleveland Cavaliers","Small forward"
"James Jones (basketball player)","2005","Cleveland Cavaliers","Shooting guard"
"James Jones (basketball player)","2005","Cleveland Cavaliers","Small forward"
"James Jones (basketball player)","2003","Cleveland Cavaliers","Shooting guard"
"James Jones (basketball player)","2003","Cleveland Cavaliers","Small forward"
"Jared Dudley","2016","Phoenix Suns","Power forward (basketball)"
"Jared Dudley","2016","Phoenix Suns","Small forward"
"Jared Dudley","2015","Phoenix Suns","Power forward (basketball)"
"Jared Dudley","2015","Phoenix Suns","Small forward"
"Jared Dudley","2014","Phoenix Suns","Power forward (basketball)"
"Jared Dudley","2014","Phoenix Suns","Small forward"
"Jared Dudley","2013","Phoenix Suns","Power forward (basketball)"
"Jared Dudley","2013","Phoenix Suns","Small forward"
"Jared Dudley","2008","Phoenix Suns","Power forward (basketball)"
"Jared Dudley","2008","Phoenix Suns","Small forward"
"Jared Dudley","2007","Phoenix Suns","Power forward (basketball)"
"Jared Dudley","2007","Phoenix Suns","Small forward"
"Jared Sullinger","2016","Toronto Raptors","Power forward (basketball)"
"Jared Sullinger","2016","Toronto Raptors","Center (basketball)"
"Jared Sullinger","2012","Toronto Raptors","Power forward (basketball)"
"Jared Sullinger","2012","Toronto Raptors","Center (basketball)"
"Jarron Collins","2010","Golden State Warriors","Coach (basketball)"
"Jarron Collins","2009","Golden State Warriors","Coach (basketball)"
"Jarron Collins","2001","Golden State Warriors","Coach (basketball)"
"Jodie Meeks","2016","Orlando Magic","Shooting guard"
"Jodie Meeks","2014","Orlando Magic","Shooting guard"
"Jodie Meeks","2012","Orlando Magic","Shooting guard"
"Jodie Meeks","2010","Orlando Magic","Shooting guard"
"Jodie Meeks","2009","Orlando Magic","Shooting guard"
"Joel Bolomboy","2016","Utah Jazz","Power forward (basketball)"
"Joel Bolomboy","2016","Utah Jazz","Center (basketball)"
"John Coker (basketball)","2001","Idaho Stampede","Center (basketball)"
"John Coker (basketball)","2000","Idaho Stampede","Center (basketball)"
"John Coker (basketball)","1998","Idaho Stampede","Center (basketball)"
"John Coker (basketball)","1996","Idaho Stampede","Center (basketball)"
"John Coker (basketball)","1995","Idaho Stampede","Center (basketball)"
"Juan Hernangómez","2016","Denver Nuggets","Forward (basketball)"
"Juan Hernangómez","2012","Denver Nuggets","Forward (basketball)"
"Kemba Walker","2011","Charlotte Hornets","Point guard"
"Kevin Séraphin","2016","Indiana Pacers","Power forward (basketball)"
"Kevin Séraphin","2016","Indiana Pacers","Center (basketball)"
"Kevin Séraphin","2015","Indiana Pacers","Power forward (basketball)"
"Kevin Séraphin","2015","Indiana Pacers","Center (basketball)"
"Kevin Séraphin","2011","Indiana Pacers","Power forward (basketball)"
"Kevin Séraphin","2011","Indiana Pacers","Center (basketball)"
"Kevin Séraphin","2010","Indiana Pacers","Power forward (basketball)"
"Kevin Séraphin","2010","Indiana Pacers","Center (basketball)"
"Kevin Séraphin","2007","Indiana Pacers","Power forward (basketball)"
"Kevin Séraphin","2007","Indiana Pacers","Center (basketball)"
"Livio Jean-Charles","2016","San Antonio Spurs","Forward (basketball)"
"Livio Jean-Charles","2011","San Antonio Spurs","Forward (basketball)"
"Livio Jean-Charles","2009","San Antonio Spurs","Forward (basketball)"
"Malachi Richardson","2016","Sacramento Kings","Shooting guard"
"Malcolm Brogdon","2016","Milwaukee Bucks","Shooting guard"
"Malik Beasley","2016","Denver Nuggets","Guard (basketball)"
"Marcin Gortat","2013","Washington Wizards","Center (basketball)"
"Marcin Gortat","2010","Washington Wizards","Center (basketball)"
"Marcin Gortat","2007","Washington Wizards","Center (basketball)"
"Marcin Gortat","2003","Washington Wizards","Center (basketball)"
"Marcin Gortat","2002","Washington Wizards","Center (basketball)"
"Marco Belinelli","2016","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2016","Charlotte Hornets","Small forward"
"Marco Belinelli","2015","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2015","Charlotte Hornets","Small forward"
"Marco Belinelli","2013","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2013","Charlotte Hornets","Small forward"
"Marco Belinelli","2012","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2012","Charlotte Hornets","Small forward"
"Marco Belinelli","2010","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2010","Charlotte Hornets","Small forward"
"Marco Belinelli","2009","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2009","Charlotte Hornets","Small forward"
"Marco Belinelli","2007","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2007","Charlotte Hornets","Small forward"
"Marco Belinelli","2003","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2003","Charlotte Hornets","Small forward"
"Marco Belinelli","2002","Charlotte Hornets","Shooting guard"
"Marco Belinelli","2002","Charlotte Hornets","Small forward"
"Marcus Georges-Hunt","2016","Boston Celtics","Shooting guard"
"Markel Brown","2016","Cleveland Cavaliers","Shooting guard"
"Markel Brown","2016","Cleveland Cavaliers","Point guard"
"Markel Brown","2015","Cleveland Cavaliers","Shooting guard"
"Markel Brown","2015","Cleveland Cavaliers","Point guard"
"Markel Brown","2014","Cleveland Cavaliers","Shooting guard"
"Markel Brown","2014","Cleveland Cavaliers","Point guard"
"Meyers Leonard","2012","Portland Trail Blazers","Power forward (basketball)"
"Meyers Leonard","2012","Portland Trail Blazers","Center (basketball)"
"Mirza Teletović","2016","Milwaukee Bucks","Power forward (basketball)"
"Mirza Teletović","2015","Milwaukee Bucks","Power forward (basketball)"
"Mirza Teletović","2012","Milwaukee Bucks","Power forward (basketball)"
"Mirza Teletović","2006","Milwaukee Bucks","Power forward (basketball)"
"Mirza Teletović","2004","Milwaukee Bucks","Power forward (basketball)"
"Mirza Teletović","2002","Milwaukee Bucks","Power forward (basketball)"
"Nick Collison","2003","Oklahoma City Thunder","Power forward (basketball)"
"Nick Collison","2003","Oklahoma City Thunder","Center (basketball)"
"Nicolás Laprovíttola","2016","San Antonio Spurs","Point guard"
"Nicolás Laprovíttola","2015","San Antonio Spurs","Point guard"
"Nicolás Laprovíttola","2013","San Antonio Spurs","Point guard"
"Nicolás Laprovíttola","2007","San Antonio Spurs","Point guard"
"Nikola Peković","2011","Minnesota Timberwolves","Center (basketball)"
"Nikola Peković","2010","Minnesota Timberwolves","Center (basketball)"
"Nikola Peković","2008","Minnesota Timberwolves","Center (basketball)"
"Nikola Peković","2005","Minnesota Timberwolves","Center (basketball)"
"Nikola Peković","2003","Minnesota Timberwolves","Center (basketball)"
"P. J. Tucker","2012","Phoenix Suns","Shooting guard"
"P. J. Tucker","2012","Phoenix Suns","Small forward"
"P. J. Tucker","2011","Phoenix Suns","Shooting guard"
"P. J. Tucker","2011","Phoenix Suns","Small forward"
"P. J. Tucker","2010","Phoenix Suns","Shooting guard"
"P. J. Tucker","2010","Phoenix Suns","Small forward"
"P. J. Tucker","2008","Phoenix Suns","Shooting guard"
"P. J. Tucker","2008","Phoenix Suns","Small forward"
"P. J. Tucker","2007","Phoenix Suns","Shooting guard"
"P. J. Tucker","2007","Phoenix Suns","Small forward"
"P. J. Tucker","2006","Phoenix Suns","Shooting guard"
"P. J. Tucker","2006","Phoenix Suns","Small forward"
"Pablo Prigioni","2014","Houston Rockets","Point guard"
"Pablo Prigioni","2014","Los Angeles Clippers","Point guard"
"Pablo Prigioni","2012","Houston Rockets","Point guard"
"Pablo Prigioni","2012","Los Angeles Clippers","Point guard"
"Pablo Prigioni","2011","Houston Rockets","Point guard"
"Pablo Prigioni","2011","Los Angeles Clippers","Point guard"
"Pablo Prigioni","2009","Houston Rockets","Point guard"
"Pablo Prigioni","2009","Los Angeles Clippers","Point guard"
"Pablo Prigioni","2003","Houston Rockets","Point guard"
"Pablo Prigioni","2003","Los Angeles Clippers","Point guard"
"Pablo Prigioni","2001","Houston Rockets","Point guard"
"Pablo Prigioni","2001","Los Angeles Clippers","Point guard"
"Pablo Prigioni","1999","Houston Rockets","Point guard"
"Pablo Prigioni","1999","Los Angeles Clippers","Point guard"
"Pablo Prigioni","1998","Houston Rockets","Point guard"
"Pablo Prigioni","1998","Los Angeles Clippers","Point guard"
"Pablo Prigioni","1996","Houston Rockets","Point guard"
"Pablo Prigioni","1996","Los Angeles Clippers","Point guard"
"Pablo Prigioni","1995","Houston Rockets","Point guard"
"Pablo Prigioni","1995","Los Angeles Clippers","Point guard"
"Patricio Garino","2016","San Antonio Spurs","Shooting guard"
"Patricio Garino","2016","San Antonio Spurs","Small forward"
"Robert Sacre","2016","New Orleans Pelicans","Center (basketball)"
"Robert Sacre","2012","New Orleans Pelicans","Center (basketball)"
"Ronnie Price","2016","Oklahoma City Thunder","Point guard"
"Ronnie Price","2015","Oklahoma City Thunder","Point guard"
"Ronnie Price","2014","Oklahoma City Thunder","Point guard"
"Ronnie Price","2013","Oklahoma City Thunder","Point guard"
"Ronnie Price","2012","Oklahoma City Thunder","Point guard"
"Ronnie Price","2011","Oklahoma City Thunder","Point guard"
"Ronnie Price","2007","Oklahoma City Thunder","Point guard"
"Ronnie Price","2005","Oklahoma City Thunder","Point guard"
"Sean Marks","2010","Brooklyn Nets","General Manager"
"Sean Marks","2008","Brooklyn Nets","General Manager"
"Sean Marks","2006","Brooklyn Nets","General Manager"
"Sean Marks","2003","Brooklyn Nets","General Manager"
"Sean Marks","2001","Brooklyn Nets","General Manager"
"Sean Marks","2000","Brooklyn Nets","General Manager"
"Sean Marks","1998","Brooklyn Nets","General Manager"
"Shaun Livingston","2013","Golden State Warriors","Shooting guard"
"Shaun Livingston","2013","Golden State Warriors","Point guard"
"Shaun Livingston","2012","Golden State Warriors","Shooting guard"
"Shaun Livingston","2012","Golden State Warriors","Point guard"
"Shaun Livingston","2011","Golden State Warriors","Shooting guard"
"Shaun Livingston","2011","Golden State Warriors","Point guard"
"Shaun Livingston","2010","Golden State Warriors","Shooting guard"
"Shaun Livingston","2010","Golden State Warriors","Point guard"
"Shaun Livingston","2009","Golden State Warriors","Shooting guard"
"Shaun Livingston","2009","Golden State Warriors","Point guard"
"Shaun Livingston","2008","Golden State Warriors","Shooting guard"
"Shaun Livingston","2008","Golden State Warriors","Point guard"
"Shaun Livingston","2004","Golden State Warriors","Shooting guard"
"Shaun Livingston","2004","Golden State Warriors","Point guard"
"Terrence Ross","2012","Toronto Raptors","Shooting guard"
"Terrence Ross","2012","Toronto Raptors","Small forward"
"Tyler Ulis","2016","Phoenix Suns","Point guard"
"Wayne Ellington","2016","Miami Heat","Shooting guard"
"Wayne Ellington","2015","Miami Heat","Shooting guard"
"Wayne Ellington","2014","Miami Heat","Shooting guard"
"Wayne Ellington","2013","Miami Heat","Shooting guard"
"Wayne Ellington","2012","Miami Heat","Shooting guard"
"Wayne Ellington","2009","Miami Heat","Shooting guard"
