"city","state"
"Callwel","Texas, TX"
"Calwel","Texas, TX"
"Campbel","California, CA"
"Campbele","California, CA"
"Cannon","Georgia, GA"
"Carbundale","Colorado, CO"
"Carboro","North Carolina, NC"
"Carrborro","North Carolina, NC"
"Cederedge","Colorado, CO"
"Centrel City","Colorado, CO"
"Champaign -Urbana","Illinois, IL"
"Champaigne-Urbana","Illinois, IL"
"Chandlur","Arizona, AZ"
"Charlote","North Carolina, NC"
"Chatanooga","Tennessee, TN"
"Chattanoga","Tennessee, TN"
"Chessire","Connecticut, CT"
"Chicargo","Illinois, IL"
"Checo","California, CA"
"Cheico","California, CA"
"Chiko","California, CA"
"Chewla Vista","California, CA"
"Chuula Vista","California, CA"
"Churobusco","Indiana, IN"
"Cincinati","Ohio, OH"
"Cinsinati","Ohio, OH"
"Cinsinnati","Ohio, OH"
"Sincinnati","Ohio, OH"
"Sinsinati","Ohio, OH"
"Clerk","South Dakota, SD"
"Clarksvile","Tennessee, TN"
"Claxtown","Georgia, GA"
"Clefton","Texas, TX"
"Kloves","California, CA"
"Klovis","California, CA"
"Coachela","California, CA"
"Cochella","California, CA"
"Codee","Wyoming, WY"
"Codi","Wyoming, WY"
"Collonial Beach","Virginia, VA"
"Culquitt","Georgia, GA"
"Clumbia","Maryland, MD"
"Colubia","Maryland, MD"
"Columbea","South Carolina, SC"
"Calumbus","Indiana, IN"
"Colubus","Ohio, OH"
"Columbas","Indiana, IN"
"Compten","California, CA"
"Conaway","Arkansas, AR"
"Connway","Arkansas, AR"
"Cooperston","New York, NY"
"Coperstown","New York, NY"
"Corel Springs","Florida, FL"
"Cornning","California, CA"
"Coricana","Texas, TX"
"Corsikana","Texas, TX"
"Cosad","Nebraska, NE"
"Cozzad","Nebraska, NE"
"Cranferd","New Jersey, NJ"
"Crawferd","Nebraska, NE"
"Crede","Colorado, CO"
"Creed","Colorado, CO"
"Crested But","Colorado, CO"
"Crested Bute","Colorado, CO"
"Crested Butt","Colorado, CO"
"Crisfeild","Maryland, MD"
"Crsytal Lake","Illinois, IL"
"Dawlton","Georgia, GA"
"Dally City","California, CA"
"Dannesborg","Nebraska, NE"
"Danvile","Kentucky, KY"
"Dayvis","California, CA"
"Davisen","Michigan, MI"
"Decalb","Illinois, IL"
"DeeKalb","Illinois, IL"
"Decauter","Alabama, AL"
"Decautur","Alabama, AL"
"Dear Trail","Colorado, CO"
"Daland","Florida, FL"
"Delphis","Ohio, OH"
"Denvar","Colorado, CO"
"Darby","Connecticut, CT"
"Dery","New Hampshire, NH"
"Des Alemands","Louisiana, LA"
"Des Monies","Iowa, IA"
"Dicinson","North Dakota, ND"
"Dinuuba","California, CA"
"Duoglas","Alabama, AL"
"Dove Creak","Colorado, CO"
"Dovar","Delaware, DE"
"Debach","Louisiana, LA"
"Dummas","Arkansas, AR"
"Duncanvile","Texas, TX"
"Dyersvile","Iowa, IA"
"Dyerville","Iowa, IA"
"Aegle Lake","Texas, TX"
"Eu Claire","Michigan, MI"
"Egdewater","Colorado, CO"
"Il Pase","Texas, TX"
"L'Paso","Texas, TX"
"Elberten","Georgia, GA"
"Elbertun","Georgia, GA"
"Elgen","South Carolina, SC"
"Elgen","Texas, TX"
"Lgen","South Carolina, SC"
"Lgin","South Carolina, SC"
"Elkheart","Indiana, IN"
"Emmerson","Arkansas, AR"
"Emetsburg","Iowa, IA"
"Eerie","Pennsylvania, PA"
"Irwin","North Carolina, NC"
"Ufaula","Alabama, AL"
"Eugean","Oregon, OR"
"Ugene","Oregon, OR"
"Fairfeild","Iowa, IA"
"Fallbroock","California, CA"
"Falon","Nevada, NV"
"Farmingten","Maine, ME"
"Faeteville","Arkansas, AR"
"Fayetevile","North Carolina, NC"
"Fayeteville","Arkansas, AR"
"Fayetvile","North Carolina, NC"
"Fayetville","Arkansas, AR"
"Fayetville","North Carolina, NC"
"Fernadina Beach","Florida, FL"
"Fernandena Beach","Florida, FL"
"Fort Colins","Colorado, CO"
"Fort Dogde","Iowa, IA"
"Fort Laderdale","Florida, FL"
"Fort Le","New Jersey, NJ"
"Fort Miers","Florida, FL"
"Fort Waine","Indiana, IN"
"Fort Wayn","Indiana, IN"
"Fort Wort","Texas, TX"
"Fortesceu","New Jersey, NJ"
"Fortescu","New Jersey, NJ"
"Fullton","New York, NY"
"Gainsvile","Florida, FL"
"Gainsvile","Georgia, GA"
"Gallop","New Mexico, NM"
"Galvestin","Texas, TX"
"Gaelord","Michigan, MI"
"Genao","Nevada, NV"
"Gillroy","California, CA"
"Glendeve","Montana, MT"
"Glocester","Massachusetts, MA"
"Glochester","Massachusetts, MA"
"Gonzals","Louisiana, LA"
"Granvile","New York, NY"
"Greley","Colorado, CO"
"Green Forrest","Arkansas, AR"
"Greenfeild","California, CA"
"Greenvile","Alabama, AL"
"Greenwod","South Carolina, SC"
"Grideley","California, CA"
"Grifin","Georgia, GA"
"Grigsville","Illinois, IL"
"Groten","Connecticut, CT"
"Geuydan","Louisiana, LA"
"Haicenda Heights","California, CA"
"Hadly","Massachusetts, MA"
"Hagerston","Maryland, MD"
"Hains","Alaska, AK"
"Haynes","Alaska, AK"
"Hanies City","Florida, FL"
"Haleyvile","Alabama, AL"
"Hamdin","Connecticut, CT"
"Hamelton","Texas, TX"
"Hamondsport","New York, NY"
"Hartsele","Alabama, AL"
"Hatiesburg","Mississippi, MS"
"Haversstraw","New York, NY"
"Haysvile","Kansas, KS"
"Heracles","California, CA"
"Hercales","California, CA"
"Hurshy","Pennsylvania, PA"
"Hialaeh","Florida, FL"
"Hialeh","Florida, FL"
"Holtvile","California, CA"
"Holyoak","Massachusetts, MA"
"Honerker","Virginia, VA"
"Honnolulu","Hawaii, HI"
"Honololu","Hawaii, HI"
"Hoston","Texas, TX"
"Huoston","Texas, TX"
"Huston","Texas, TX"
"Huntly","Illinois, IL"
"Indepandence","Missouri, MO"
"Independance","Missouri, MO"
"Indianna","Pennsylvania, PA"
"Indianaopolis","Indiana, IN"
"Inianapolis","Indiana, IN"
"Indeo","California, CA"
"Enola","Oklahoma, OK"
"Iselton","California, CA"
"Isletun","California, CA"
"Jakson","Mississippi, MS"
"Jacksonvile","Alabama, AL"
"Jameston","North Dakota, ND"
"Jenings","Kansas, KS"
"Jenings","Louisiana, LA"
"Jerom","Arizona, AZ"
"Joeliet","Illinois, IL"
"Jonesburo","Arkansas, AR"
"Jenau","Alaska, AK"
"Junaeu","Alaska, AK"
"Calamazoo","Michigan, MI"
"Kalispel","Montana, MT"
"Kanapolis","North Carolina, NC"
"Kanses City","Missouri, MO"
"Kansus City","Kansas, KS"
"Keansberg","New Jersey, NJ"
"Kenne","New Hampshire, NH"
"Kaiser","Oregon, OR"
"Kaizer","Oregon, OR"
"Keiser","Oregon, OR"
"Kellso","Washington, WA"
"Kenei","Alaska, AK"
"Kenesaw","Georgia, GA"
"Kenten","Tennessee, TN"
"Keokuck","Iowa, IA"
"Kiokuk","Iowa, IA"
"Kechikan","Alaska, AK"
"Ketchekan","Alaska, AK"
"Kewane","Illinois, IL"
"Kircwood","Missouri, MO"
"Kirwen","Kansas, KS"
"Codiak","Alaska, AK"
"Kodiac","Alaska, AK"
"Lafayatt","Louisiana, LA"
"Lake Benten","Minnesota, MN"
"Lake Binton","Minnesota, MN"
"Laramy","Wyoming, WY"
"Las Vagas","Nevada, NV"
"Lathrup","Missouri, MO"
"Lebannon","Tennessee, TN"
"Lecompt","Louisiana, LA"
"Leneksa","Kansas, KS"
"Lenor","Tennessee, TN"
"Loela","South Dakota, SD"
"Lewis","Delaware, DE"
"Lexingtown","Massachusetts, MA"
"Lemon","Colorado, CO"
"Linclon","Alabama, AL"
"Linclon","Nebraska, NE"
"Lindin","California, CA"
"Lindborg","Kansas, KS"
"Lokport","New York, NY"
"Lordy","California, CA"
"Lowdy","California, CA"
"Lomberd","Illinois, IL"
"Lompac","California, CA"
"Lompack","California, CA"
"Lumpac","California, CA"
"Lumpack","California, CA"
"Long Beech","California, CA"
"Los Angleles","California, CA"
"Loop City","Nebraska, NE"
"Lowel","Arkansas, AR"
"Lynchberg","Virginia, VA"
"Madisen","Wisconsin, WI"
"Magie Valley","North Carolina, NC"
"Malverne","Arkansas, AR"
"Machester","New Hampshire, NH"
"Mancester","New Hampshire, NH"
"Manchestar","Connecticut, CT"
"Manferd","Oklahoma, OK"
"Maryon","Indiana, IN"
"Marionvile","Missouri, MO"
"Merseiles","Illinois, IL"
"Merselles","Illinois, IL"
"Mersiles","Illinois, IL"
"Marrysville","California, CA"
"MacAllen","Texas, TX"
"McAlen","Texas, TX"
"McMinville","Tennessee, TN"
"Medfeild","Massachusetts, MA"
"Melborn","Florida, FL"
"Melborne","Florida, FL"
"Melburne","Florida, FL"
"Merked","California, CA"
"Meridith","New Hampshire, NH"
"Mariden","Connecticut, CT"
"Meryden","Connecticut, CT"
"Miame","Florida, FL"
"Myame","Florida, FL"
"Midletown","Connecticut, CT"
"Midlothien","Texas, TX"
"Milinocket","Maine, ME"
"Millinoket","Maine, ME"
"Milepitas","California, CA"
"Milipitas","California, CA"
"Milipiters","California, CA"
"Millipeters","California, CA"
"Millipitas","California, CA"
"Milwake","Wisconsin, WI"
"Milwakee","Wisconsin, WI"
"Mineapolis","Minnesota, MN"
"Minnapolis","Minnesota, MN"
"Minneaoplis","Minnesota, MN"
"Mishawacka","Indiana, IN"
"Missola","Montana, MT"
"Missula","Montana, MT"
"Modisto","California, CA"
"Montery","California, CA"
"Muntgomery","Minnesota, MN"
"Monticelo","Minnesota, MN"
"Morten","Illinois, IL"
"Mount Plaesent","Texas, TX"
"Mount Pleasant","Texas, TX"
"Mountain Veiw","Arkansas, AR"
"Muskigon","Michigan, MI"
"Napervile","Illinois, IL"
"Nashvile","Tennessee, TN"
"Nagatuck","Connecticut, CT"
"Naugatack","Connecticut, CT"
"Naugatauk","Connecticut, CT"
"Nedarland","Colorado, CO"
"Noesho","Missouri, MO"
"New Britin","Connecticut, CT"
"Brunswik","New Jersey, NJ"
"New Castel","Pennsylvania, PA"
"New Havan","Connecticut, CT"
"New Heaven","Connecticut, CT"
"New Roshele","New York, NY"
"New Roshelle","New York, NY"
"New York City","New York, NY"
"New Yurk City","New York, NY"
"nyc","New York, NY"
"Neuark","New Jersey, NJ"
"Newbury","Michigan, MI"
"Newberyport","Massachusetts, MA"
"Newman","Georgia, GA"
"Nuuman","Georgia, GA"
"Niagra Falls","New York, NY"
"North Adums","Massachusetts, MA"
"North Loop","Nebraska, NE"
"Northhampton","Massachusetts, MA"
"Northfeild","Minnesota, MN"
"Norwhich","Connecticut, CT"
"Norwitch","Connecticut, CT"
"O'Fallen","Missouri, MO"
"Oak Rigde","Tennessee, TN"
"Okeland","Nebraska, NE"
"Ocaen City","New Jersey, NJ"
"Ocoei","Florida, FL"
"Okooe","Florida, FL"
"Odgensburg","New York, NY"
"Oceechobe","Florida, FL"
"Oklaoma City","Oklahoma, OK"
"Unaway","Michigan, MI"
"Urem","Utah, UT"
"Orovile","California, CA"
"Oxnerd","California, CA"
"Osark","Alabama, AL"
"Pacifika","California, CA"
"Padukah","Kentucky, KY"
"Palicade","Colorado, CO"
"Plam Springs","California, CA"
"Parsins","Kansas, KS"
"Paesadena","California, CA"
"Patarson","New Jersey, NJ"
"Pautucket","Rhode Island, RI"
"Pearsonvile","California, CA"
"Peorhia","Illinois, IL"
"Perth Amboi","New Jersey, NJ"
"Peruu","Indiana, IN"
"Felps","New York, NY"
"Piladelphia","Pennsylvania, PA"
"Pheonix","Arizona, AZ"
"Pikevile","Kentucky, KY"
"Pitsburg","Kansas, KS"
"Pittsburgh","Kansas, KS"
"Pitsberg","Pennsylvania, PA"
"Pitsburg","Pennsylvania, PA"
"Pittsberg","Pennsylvania, PA"
"Pittsburg","Pennsylvania, PA"
"Planno","Texas, TX"
"Plymoth","Massachusetts, MA"
"Plymuth","Massachusetts, MA"
"Poncatoula","Louisiana, LA"
"Ponchatula","Louisiana, LA"
"Pratvile","Alabama, AL"
"Pratville","Alabama, AL"
"Prescot","Arizona, AZ"
"Preskie Isle","Maine, ME"
"Presqu Isle","Maine, ME"
"Provinceton","Massachusetts, MA"
"Punxutawney","Pennsylvania, PA"
"Persel","Oklahoma, OK"
"Pursel","Oklahoma, OK"
"Kwinter","Kansas, KS"
"Quiteman","Texas, TX"
"Redford","Virginia, VA"
"Randolf","Nebraska, NE"
"Rae","North Dakota, ND"
"Rain","Louisiana, LA"
"Raine","Louisiana, LA"
"Reeding","Pennsylvania, PA"
"Redmund","Washington, WA"
"Redwould","California, CA"
"Reehaboth Beach","Delaware, DE"
"Reehoboth Beach","Delaware, DE"
"Rinfro","Kentucky, KY"
"Rineback","New York, NY"
"Richmend","Virginia, VA"
"Ria Ranco","New Mexico, NM"
"Roanoak","Virginia, VA"
"Ronoke","Virginia, VA"
"Rocester","New York, NY"
"Rosco","New York, NY"
"Roswel","New Mexico, NM"
"Rumnee","New Hampshire, NH"
"Russel Springs","Kansas, KS"
"Rutlend","Vermont, VT"
"Sackramento","California, CA"
"Sackremento","California, CA"
"Salam","Missouri, MO"
"Salam","New Hampshire, NH"
"Salam","Oregon, OR"
"Selem","Massachusetts, MA"
"Salena","Kansas, KS"
"San Angilo","Texas, TX"
"San Deago","California, CA"
"San Diago","California, CA"
"San Francesco","California, CA"
"San Hose","California, CA"
"San Hosey","California, CA"
"Sansum Park","Texas, TX"
"Santa Cruise","California, CA"
"Santa Fae","New Mexico, NM"
"Santa Fay","New Mexico, NM"
"Saraota","Florida, FL"
"Saratuga","Wyoming, WY"
"Sarahtoga Springs","New York, NY"
"Schenactdy","New York, NY"
"Schenctady","New York, NY"
"Scotdale","Arizona, AZ"
"Scotsdale","Arizona, AZ"
"Seeford","Delaware, DE"
"Sellma","California, CA"
"Sentaobia","Mississippi, MS"
"Sentobia","Mississippi, MS"
"Saverance","Colorado, CO"
"Shelbyvile","Tennessee, TN"
"Shellbyvile","Tennessee, TN"
"Shellbyville","Tennessee, TN"
"Silaom Springs","Arkansas, AR"
"Siou City","Iowa, IA"
"Sious City","Iowa, IA"
"Soux Falls","South Dakota, SD"
"Sitca","Alaska, AK"
"Soilders Grave","Wisconsin, WI"
"Spartanberg","South Carolina, SC"
"Spenser","Idaho, ID"
"Spokan","Washington, WA"
"Springfeild","Illinois, IL"
"Springfeild","Massachusetts, MA"
"Spingvile","Utah, UT"
"St. Cluod","Minnesota, MN"
"St Louis","Missouri, MO"
"Statan Island","New York, NY"
"Stilwel","Oklahoma, OK"
"Stocton","California, CA"
"Strongsvile","Ohio, OH"
"Stutgartt","Arkansas, AR"
"Seger Land","Texas, TX"
"Shuger Land","Texas, TX"
"Suger Land","Texas, TX"
"Sumer","Missouri, MO"
"Sumneer","Washington, WA"
"Sun Prarie","Wisconsin, WI"
"Sunyvale","California, CA"
"Takoma","Washington, WA"
"Takomma Park","Maryland, MD"
"Takuma Park","Maryland, MD"
"Talahase","Florida, FL"
"Talahasse","Florida, FL"
"Tallahasee","Florida, FL"
"Terpun Springs","Florida, FL"
"Tauton","Massachusetts, MA"
"Tuton","Massachusetts, MA"
"Telleride","Colorado, CO"
"Terengua","Texas, TX"
"Teringau","Texas, TX"
"Teringua","Texas, TX"
"Tiringua","Texas, TX"
"Texakana","Arkansas, AR"
"Texerkana","Arkansas, AR"
"Texaz City","Texas, TX"
"The Colonny","Texas, TX"
"Tolido","Ohio, OH"
"Toamstone","Arizona, AZ"
"Toner","North Dakota, ND"
"Taverse City","Michigan, MI"
"Travese City","Michigan, MI"
"Troie","New York, NY"
"Tuscon","Arizona, AZ"
"Tuellake","California, CA"
"Telsa","Oklahoma, OK"
"Tuscalosa","Alabama, AL"
"Tucksegee","Alabama, AL"
"Unadila","Nebraska, NE"
"Valdusta","Georgia, GA"
"Valey City","Ohio, OH"
"Valapariso","Indiana, IN"
"Vicksberg","Mississippi, MS"
"Vicoria","Texas, TX"
"Wako","Texas, TX"
"Walace","Idaho, ID"
"Wallis","Idaho, ID"
"Warensburg","Missouri, MO"
"Warrensberg","Missouri, MO"
"Waroad","Minnesota, MN"
"War Trace","Tennessee, TN"
"Wartrase","Tennessee, TN"
"Warwik","Georgia, GA"
"Wasko","California, CA"
"Wosco","California, CA"
"Wosko","California, CA"
"Washingtown","Missouri, MO"
"Watervile","Maine, ME"
"Wayneboro","Georgia, GA"
"Waynesvile","Ohio, OH"
"Wayneville","Ohio, OH"
"Wetherford","Texas, TX"
"Werton","West Virginia, WV"
"West Havan","Connecticut, CT"
"Westfeild","Massachusetts, MA"
"Wetempka","Alabama, AL"
"Wichta","Kansas, KS"
"Wikenburg","Arizona, AZ"
"Wilard","Ohio, OH"
"Williamsberg","Virginia, VA"
"Willamantic","Connecticut, CT"
"Wilits","California, CA"
"Willets","California, CA"
"Wils Point","Texas, TX"
"Willmingten","Delaware, DE"
"Willmington","Delaware, DE"
"Willmington","Illinois, IL"
"Wilmingten","Delaware, DE"
"Wilminton","Illinois, IL"
"Winemuca","Nevada, NV"
"Winemucca","Nevada, NV"
"Winokski","Vermont, VT"
"Winoski","Vermont, VT"
"Winstconstin Dells","Wisconsin, WI"
"Wochester","Massachusetts, MA"
"Worchester","Massachusetts, MA"
"Abbeville","Georgia, GA"
"Adamsville","Tennessee, TN"
"Akron","Ohio, OH"
"Alamosa","Colorado, CO"
"Albany","Oregon, OR"
"Albany","New York, NY"
"Albuquerque","New Mexico, NM"
"Algonquin","Illinois, IL"
"Allentown","Pennsylvania, PA"
"Alma","Arkansas, AR"
"Anderson","South Carolina, SC"
"Ann Arbor","Michigan, MI"
"Anthony","New Mexico, NM"
"Apex","North Carolina, NC"
"Arvada","Colorado, CO"
"Aspen","Colorado, CO"
"Athol","Massachusetts, MA"
"Auburn","Washington, WA"
"Austin","Texas, TX"
"Baltimore","Maryland, MD"
"Bandera","Texas, TX"
"Bangor","Maine, ME"
"Barre","Vermont, VT"
"Bayou La Batre","Alabama, AL"
"Beardstown","Illinois, IL"
"Bellevue","Washington, WA"
"Bemidji","Minnesota, MN"
"Berkeley","California, CA"
"Berlin","New Hampshire, NH"
"Berrien Springs","Michigan, MI"
"Berryville","Arkansas, AR"
"Bessemer","Alabama, AL"
"Biloxi","Mississippi, MS"
"Binghamton","New York, NY"
"Bishop","California, CA"
"Bloomington","Illinois, IL"
"Boone","North Carolina, NC"
"Bothell","Washington, WA"
"Breckenridge","Colorado, CO"
"Brevard","North Carolina, NC"
"Bristol","Virginia, VA"
"Brockton","Massachusetts, MA"
"Brooklyn","New York, NY"
"Brunswick","Missouri, MO"
"Buhl","Idaho, ID"
"Burlington","Vermont, VT"
"Calabash","North Carolina, NC"
"Caldwell","Texas, TX"
"Castroville","California, CA"
"Cawker City","Kansas, KS"
"Chadbourn","North Carolina, NC"
"Champaign-Urbana","Illinois, IL"
"Charleston","South Carolina, SC"
"Chatsworth","California, CA"
"Chattanooga","Tennessee, TN"
"Cherryfield","Maine, ME"
"Cheyenne","Wyoming, WY"
"Chico","California, CA"
"Chula Vista","California, CA"
"Churubusco","Indiana, IN"
"Cincinnati","Ohio, OH"
"Circleville","Ohio, OH"
"Cleveland","Ohio, OH"
"Clifton","Texas, TX"
"Clovis","California, CA"
"Coachella","California, CA"
"Coconut Creek","Florida, FL"
"Collinsville","Illinois, IL"
"Colquitt","Georgia, GA"
"Colville","Washington, WA"
"Compton","California, CA"
"Concord","New Hampshire, NH"
"Cordele","Georgia, GA"
"Corning","New York, NY"
"Corona","California, CA"
"Cottonwood Heights","Utah, UT"
"Cuero","Texas, TX"
"Dalton","Georgia, GA"
"Danbury","Connecticut, CT"
"Dannebrog","Nebraska, NE"
"Davis","California, CA"
"Dawson","Georgia, GA"
"Dayton","Ohio, OH"
"Decatur","Alabama, AL"
"Delphos","Ohio, OH"
"Demopolis","Alabama, AL"
"Denville","New Jersey, NJ"
"Detroit","Michigan, MI"
"Dodge City","Kansas, KS"
"Douglas","Wyoming, WY"
"Drayton","North Dakota, ND"
"Drumright","Oklahoma, OK"
"Duluth","Minnesota, MN"
"Dumas","Arkansas, AR"
"Durango","Colorado, CO"
"Eaton","Colorado, CO"
"El Paso","Texas, TX"
"El Reno","Oklahoma, OK"
"Elizabethton","Tennessee, TN"
"Elkhart","Indiana, IN"
"Emmetsburg","Iowa, IA"
"Enumclaw","Washington, WA"
"Erie","Pennsylvania, PA"
"Eustis","Florida, FL"
"Fayetteville","Arkansas, AR"
"Fayetteville","North Carolina, NC"
"Flagstaff","Arizona, AZ"
"Forestville","California, CA"
"Fort Payne","Alabama, AL"
"Fort Thompson","South Dakota, SD"
"Fruita","Colorado, CO"
"Galilee","Rhode Island, RI"
"Galveston","Texas, TX"
"Gary","Indiana, IN"
"Girard","Kansas, KS"
"Glendale","California, CA"
"Goleta","California, CA"
"Greeley","Colorado, CO"
"Greenville","South Carolina, SC"
"Griggsville","Illinois, IL"
"Grinnell","Iowa, IA"
"Groton","Connecticut, CT"
"Gulfport","Mississippi, MS"
"Hacienda Heights","California, CA"
"Hagerstown","Maryland, MD"
"Haines","Alaska, AK"
"Haines City","Florida, FL"
"Hamilton","Texas, TX"
"Hannibal","Missouri, MO"
"Hartford","Connecticut, CT"
"Hastings","Nebraska, NE"
"Hattiesburg","Mississippi, MS"
"Hershey","Pennsylvania, PA"
"Hialeah","Florida, FL"
"Holyoke","Massachusetts, MA"
"Honaker","Virginia, VA"
"Honolulu","Hawaii, HI"
"Hot Springs","Arkansas, AR"
"Houston","Texas, TX"
"Hueytown","Alabama, AL"
"Huntington Beach","California, CA"
"Huntsville","Alabama, AL"
"Huntsville","Texas, TX"
"Ilwaco","Washington, WA"
"Inola","Oklahoma, OK"
"Isleton","California, CA"
"Jackson","Michigan, MI"
"Jacksonville","Florida, FL"
"Jasper","Arkansas, AR"
"Jersey City","New Jersey, NJ"
"Johnson City","Tennessee, TN"
"Johnstown","Pennsylvania, PA"
"Joliet","Illinois, IL"
"Jonesboro","Arkansas, AR"
"Jonesborough","Tennessee, TN"
"Juneau","Alaska, AK"
"Kalamazoo","Michigan, MI"
"Kalispell","Montana, MT"
"Kaufman","Texas, TX"
"Keene","New Hampshire, NH"
"Keizer","Oregon, OR"
"Kenai","Alaska, AK"
"Kennesaw","Georgia, GA"
"Keokuk","Iowa, IA"
"Ketchikan","Alaska, AK"
"Kewanee","Illinois, IL"
"Kingsville","Texas, TX"
"Kirkland","Washington, WA"
"Kirwin","Kansas, KS"
"Knik","Alaska, AK"
"Knoxville","Tennessee, TN"
"Kokomo","Indiana, IN"
"La Crosse","Kansas, KS"
"Lafayette","Louisiana, LA"
"Lake Oswego","Oregon, OR"
"Lebanon","Tennessee, TN"
"Leola","South Dakota, SD"
"Leoti","Kansas, KS"
"Lewes","Delaware, DE"
"Lexington","Kentucky, KY"
"Lincoln","Alabama, AL"
"Lithonia","Georgia, GA"
"Little Rock","Arkansas, AR"
"Lodi","California, CA"
"Long Beach","California, CA"
"Los Angeles","California, CA"
"Louisville","Kentucky, KY"
"Lowell","Massachusetts, MA"
"Lynchburg","Virginia, VA"
"Malvern","Arkansas, AR"
"Manhattan","Kansas, KS"
"Manhattan","New York, NY"
"Mannford","Oklahoma, OK"
"Marseilles","Illinois, IL"
"Marysville","California, CA"
"Marysville","Kansas, KS"
"Mattoon","Illinois, IL"
"McAllen","Texas, TX"
"McCloud","California, CA"
"McMinnville","Tennessee, TN"
"Memphis","Tennessee, TN"
"Merced","California, CA"
"Meriden","Connecticut, CT"
"Mesick","Michigan, MI"
"Metropolis","Illinois, IL"
"Miami","Florida, FL"
"Midlothian","Texas, TX"
"Milpitas","California, CA"
"Mishawaka","Indiana, IN"
"Missoula","Montana, MT"
"Montgomery","Minnesota, MN"
"Montgomery","Alabama, AL"
"Mount Ida","Arkansas, AR"
"Myrtle Beach","South Carolina, SC"
"Nashua","New Hampshire, NH"
"Nashville","Arkansas, AR"
"Nashville","Georgia, GA"
"Naugatuck","Connecticut, CT"
"New Brunswick","New Jersey, NJ"
"New Orleans","Louisiana, LA"
"New Rochelle","New York, NY"
"New Ulm","Minnesota, MN"
"Newberry","Michigan, MI"
"Newport","Rhode Island, RI"
"Norco","California, CA"
"Norman","Oklahoma, OK"
"North Platte","Nebraska, NE"
"North Tonawanda","New York, NY"
"Northampton","Massachusetts, MA"
"O'Fallon","Missouri, MO"
"O'Neill","Nebraska, NE"
"Ocoee","Florida, FL"
"Ogdensburg","New York, NY"
"Okeechobee","Florida, FL"
"Oklahoma City","Oklahoma, OK"
"Olathe","Kansas, KS"
"Olney","Illinois, IL"
"Omaha","Nebraska, NE"
"Onaway","Michigan, MI"
"Orem","Utah, UT"
"Ormond Beach","Florida, FL"
"Ouray","Colorado, CO"
"Owensboro","Kentucky, KY"
"Pacifica","California, CA"
"Panama City Beach","Florida, FL"
"Pasadena","California, CA"
"Peabody","Massachusetts, MA"
"Pearsonville","California, CA"
"Pensacola","Florida, FL"
"Peoria","Illinois, IL"
"Perth Amboy","New Jersey, NJ"
"Petersburg","West Virginia, WV"
"Philadelphia","Pennsylvania, PA"
"Phoenix","Arizona, AZ"
"Pinehurst","North Carolina, NC"
"Pittsburg","Kansas, KS"
"Pittsburgh","Pennsylvania, PA"
"Placerville","California, CA"
"Plainfield","New Jersey, NJ"
