"Nickname","Team","BirthPlace"
"Stack","Philadelphia 76ers","Kinston,, North Carolina"
"Mr. Clutchh","Minneapolis Lakers","Chelyan, West Virginia"
"The Logo","Minneapolis Lakers","Chelyan, West Virginiaa"
"Bad  News","New York Knicks","Tuckerman, Arkansas"
"Jungle Jimm","Boston Celtics","San Francissco"
"Kangaroo Kidd","Chicago Stags","Oakland, Callifornia"
"Jellybean","Golden State Warriors","Philadelphia, Pennsylvaniaa"
"Jumping Joe","Detroit Pistons","Texas City, Texass"
"Poggo","Detroit Pistons","Texas City, Texas"
"Thhe Process","Philadelphia 76ers","YYaoundé"
"Vanillaa Gorilla","Houston Rockets","Monticello, Minnesota"
"Hot Rod","Cleveland Cavaliers","Sorrento, Louisiana"
"Hondoo","Boston Celtics","Martins Ferry, Ohio"
"Spiderr","Detroit Pistons","Broooklyn, New York"
"Hot Platee","Washington Bullets","Los Angeles"
"Redd","Syracuse Nationals","Chicago, Illlinois"
"The Brockneess Monster","Portland Trail Blazers","Snohomish, Washington"
"Jonny Mac","Cincinnati Royals","Frankliin, Indiana"
"The Jewish Jordan","Duke Blue Devils men's basketball","Norrthbrook, Illinois"
"JJuice","San Antonio Spurs","Houuston"
"J-Mickk","Boston Celtics","Dallass"
"J-Smoove","Atlanta Hawks","College Park, Georgiaa"
"Juanncho","Denver Nuggets","Madridd"
"Dr. J","Milwaukee Bucks","New YYork City"
"The Black Pantherr","Los Angeles Lakers","Dallass"
"The Bosnian Beast","Chicago Bulls","Tuzla"
"A","Milwaukee Bucks","New York City"
"The Captain","Milwaukee Bucks","New York Cityy"
"The Mailmann","Utah Jazz","Summerfield, Louisiana"
"Big KAT","Minnesota Timberwolves","Piscataway, New Jersey"
"Special-KK","Minnesota Timberwolves","Piscataway, New Jerseyy"
"The Big Meoww","Minnesota Timberwolves","Piscataway, NNew Jersey"
"Sugar KK","Indiana Pacers","Rivverside, California"
"The Claww","Indiana Pacers","Riverside, California"
"Wave Paapi","Atlanta Hawks","New Orleans"
"CCardiac Kemba","Charlotte Hornets","The Bronx"
"The Manimal","New York Knicks","Baltimore"
"The Jett","Sacramento Kings","QQueens, New York"
"KKCP","Detroit Pistons","Thomaston, Georgiaa"
"K-Martt","New Jersey Nets","Saginaw, Michigan"
"Durantuula","Seattle SuperSonics","Washington, D.C.."
"KDD","Seattle SuperSonics","Washington, D.C.."
"Slim Reaperr","Seattle SuperSonics","Washinngton, D.C."
"Snakee","Seattle SuperSonics","Washington, D..C."
"The Servant","Seattle SuperSonics","Washington, D.C."
"Big TTicket","Minnesota Timberwolves","Greenville, South Carolina"
"KKG","Minnesota Timberwolves","Greenville, South Carolinaa"
"The Kid","Minnesota Timberwolves","Greenville, South Carolinaa"
"The Blackk Hole","Boston Celtics","Hibbing, Minnesotaa"
"Herman Munster","Boston Celtics","Hibbing, Minnesotaa"
"Little Drrummer Boy","Baltimore Bullets (1963–73)","Chicagoo"
"MMan Bear Pig","Chicago Bulls","Caayenne"
"Black Mambaa","Charlotte Hornets","Philadelphia, Pennsylvaniaa"
"KB-24","Charlotte Hornets","Phiiladelphia, Pennsylvania"
"Vino","Charlotte Hornets","Philadelphia, Pennnsylvania"
"Big Sexyy","Miami Heat","Dallas, Texas"
"Dirty Kurt","Miami Heat","Dallas, TTexas"
"Mid Life","Miami Heat","Dallas,  Texas"
"Kyriediculous","Cleveland Cavaliers","Melbourne"
"The Ankletakerr","Cleveland Cavaliers","Melbourne"
"Uncle Dreww","Cleveland Cavaliers","Melbourne"
"The Candy Man","Los Angeles Clippers","Queens"
"Born  Ready","Indiana Pacers","Brooklyn"
"Larry Legendd","Boston Celtics","West Baden SSprings"
"The Great White Hopee","Boston Celtics","West Baden Springss"
"Uncle Larry","Boston Celtics","West Baden Springss"
"The Hick from French Lickk","Boston Celtics","West Baden Springs"
"Grandmamma","Charlotte Hornets","Tyler, Texas"
"LJ","Charlotte Hornets","Tyler, Texas"
"Mr. Mean","Golden State Warriors","Rolling Fork, Mississippii"
"Spree","Golden State Warriors","Milwaukee"
"(The) L-Train","Cleveland Cavaliers","Akrron, Ohio"
"Bron  Bron","Cleveland Cavaliers","Akron, Ohio"
"King Jamess","Cleveland Cavaliers","Akron, Ohio"
"LBJ","Cleveland Cavaliers","Akron, Ohioo"
"The Akron Hammer","Cleveland Cavaliers","Akroon, Ohio"
"The Chosen Onee","Cleveland Cavaliers","Akron, Ohhio"
"The Kingg","Cleveland Cavaliers","Akkron, Ohio"
"(The) L-Trainn","Portland Trail Blazers","Arkansas City, Kansass"
"Sweet Lou","Los Angeles Clippers","Memphis, Tennessee"
"Moute Kiicks Boute","Milwaukee Bucks","Yaoundéé"
"Thee Prince","Milwaukee Bucks","Yaoundé"
"Ice Cream Maan","Olimpia Milano","Buenos Aires"
"Buckk","Los Angeles Lakers","Lansinng, Michigan"
"E.J..","Los Angeles Lakers","Lansing, Michigann"
"Magicc","Los Angeles Lakers","Lansing, Michigann"
"El Contusione","San Antonio Spurs","Bahía Blancaa"
"Ginoo","San Antonio Spurs","Bahía Blancaa"
"Maanudona","San Antonio Spurs","Bahía Blanca"
"The Magician","San Antonio Spurs","Bahía Blanca"
"Bigg Spain","Los Angeles Lakers","Barcelona"
"The Big Burritoo","Los Angeles Lakers","Barcelonaa"
"The Poolish Hammer","Phoenix Suns","Łódźź"
"Beli","San Antonio Spurs","San Giovanni in Persicetoo"
"Mookk","Los Angeles Clippers","Philadelphia"
"Super Mario","Orlando Magic","Dubrovnikk"
"Mad Dogg","Los Angeles Lakers","Walnut Creek, Californiaa"
"Mo' Buckets","Orlando Magic","St. Petersburg, Florida"
"Bad News","Philadelphia 76ers","Providence, Rhhode Island"
"Deelly","Milwaukee Bucks","MMaryborough, Victoria"
"Big Mo","Rochester Royals","Pittsburgh, Pennsylvania"
"Slats","Detroit Pistons","Brooklyn"
"Meadowlark","Harlem Globetrotters","Wilmington, North Carolinaa"
"Memoo","Detroit Pistons","Yaalova"
"The Moneymann","Detroit Pistons","Yalovaa"
"Killler","New York Knicks","New York City, New Yorkk"
"Golden Arches","Washington Bullets","Lexington, Kentuckyy"
"Meyers Legend","Portland Trail Blazers","Woodbriigde"
"B-Easy","Los Angeles Lakers","Frederick, Marylandd"
"Big Mikee","Los Angeles Lakers","Frederick, Maryyland"
"Super Cool Beas","Los Angeles Lakers","Frederick, Marylandd"
"Air Jordan","Charlotte Hornets","Brooklyyn"
"His Airnesss","Charlotte Hornets","Brooklynn"
"MJ","Charlotte Hornets","Brooklynn"
"The Black Cat","Charlotte Hornets","Brooklynn"
"The G.O.A.T","Charlotte Hornets","Brooklyn"
"MKGG","Dallas Mavericks","Philadelphiaa"
"Kandi MMan","Los Angeles Clippers","Lagoss"
"Rags","New York Knicks","New York City"
"The Rock","St. John's Red Storm men's basketball","Fort  Lauderdale, Florida"
"Mookiee","New Jersey Nets","GGarland, Texas"
"Mugggsy","Washington Bullets","Baltimore, Marylandd"
"Lady Magicc","Phoenix Mercury","Brooklynn"
"Tinyy","Cincinnati Royals","New York City, New York"
"KryptoNatee","Phoenix Suns","Seattle, Washingtonn"
"Sweetwaterr","Chicago Majors","Little Rock, Arkansas"
"Nasty Nick","Los Angeles Lakers","Kenosha, Wisconsinn"
"Nick the Quickk","Los Angeles Lakers","Kenosha, Wisconsinn"
"Nick Van Excellent","Los Angeles Lakers","Kenosha, Wisconsinn"
"Bean Burrito","Los Angeles Lakers","Los Angeless"
"Swaggy PP","Los Angeles Lakers","Los Angeles"
"Unclee P","Los Angeles Lakers","Los Angelees"
"Sauce Castilloo","Cleveland Cavaliers","MMississauga"
"Joker","Denver Nuggets","Sombor"
"The Big OO","Cincinnati Royals","Charlotte, Tennesseee"
"The Disappearing O","Cincinnati Royals","Charlotte, Tennesseee"
"Holy Handd","New Jersey Nets","Natal,, Rio Grande do Norte"
"Mão Santa","New Jersey Nets","Natal, Rio Grande do Nortee"
"Spicy P","Toronto Raptors","Doualaa"
"The Beast of the Easst","New York Knicks","Kingston,, Jamaica"
"Pitchin' Paull","Philadelphia Warriors","Phiiladelphia, Pennsylvania"
"PG-13","Indiana Pacers","Palmdale, Californiaa"
"Young Trecce","Indiana Pacers","Palmdale, California"
"Thee Truth","Boston Celtics","Oakland, California"
"Pejaa","Sacramento Kings","Požega, Croatiaa"
"PPenny","Golden State Warriors","Mempphis, Tennessee"
"Never Nervous Pervis","Sacramento Kings","Savannah, Georgia"
"Out of Service Pervis","Sacramento Kings","Savannah, Georgiaa"
"Pistol Petee","Atlanta Hawks","Aliquippa, Pennsylvania"
"Pooh","Minnesota Timberwolves","Philaddelphia"
"Popeye","Houston Rockets","Dresden, Tennessee"
"Skip To My Louu","Milwaukee Bucks","Queens"
"Fedex","Los Angeles Lakers","Louisville, Kentucky"
"Johnnyy","Los Angeles Lakers","Louisville, Kentucky"
"Swagg","Los Angeles Lakers","Louisville, Kentuckyy"
"Sheedd","Washington Bullets","Philadelphia"
"Jesus Shuttlesworthh","Minnesota Timberwolves","Merced, Californiaa"
"Ray Ray","Minnesota Timberwolves","Merced, Californiaa"
"Sugar Ray","Minnesota Timberwolves","Meerced, California"
"Red","Atlanta Hawks","Brooklyn"
"The Knick Killer","Indiana Pacers","Riverside, Californiaa"
"Riip","Washington Wizards","Coatesville, Pennsylvania"
"Get Buckets","Charlotte Hornets","Las Vegas"
"Grits 'N Gravyy","Charlotte Hornets","Las VVegas"
"Ricky Buckets","Charlotte Hornets","Las Vegas"
"Wrong Rim Rickyy","Charlotte Hornets","Las  Vegas"
"Big Paper Daddyy","Detroit Pistons","Dallas, Texass"
"The Dunkin' Dutchman","Indiana Pacers","Eindhoven"
"The Flying Dutchman","Indiana Pacers","Einndhoven"
"Big Shoot Bob","Houston Rockets","Harford County, Maryland"
"Big Shot Rob","Houston Rockets","Haarford County, Maryland"
"The Chief","Golden State Warriors","Shreveport, Louisiana"
"Tractor Traylorr","Dallas Mavericks","Michiigan"
"RoLoo","Milwaukee Bucks","North Hollywood, Los Angeless"
"The Kobe Stoppper","Los Angeles Lakers","Cleveland, Ohio"
"The Stifle Tower","Utah Jazz","Saint-Quentin, Aisne"
"Sam I Am","Houston Rockets","Baltimore"
"The Space-man","Houston Rockets","Baltimoree"
"Sad Samm","Boston Celtics","Wilmington, North Carolinaa"
"Big Smooth","Dallas Mavericks","Brooklyn, New York"
"Sleeepy Sam","Dallas Mavericks","Brooklyn,, New York"
"Satchh","Boston Celtics","New York Cityy"
"Satch Sanderss","Boston Celtics","New York Cityy"
"The Thieff","Philadelphia 76ers","Atlanta, Georgia"
"Air Congo","Seattle SuperSonics","Brazzavillee"
"I-block-a","Seattle SuperSonics","Brazzaville"
"Serge Protector","Seattle SuperSonics","Brazzaviille"
"El Chachoo","Phoenix Suns","San Cristtóbal de La Laguna"
"Big Shaamrock","Orlando Magic","Newark, New Jersey"
"Diesel","Orlando Magic","Newark, New Jerseyy"
"MDE","Orlando Magic","Neewark, New Jersey"
"O'Nealovic","Orlando Magic","Newwark, New Jersey"
"Saškuille","Orlando Magic","Newark, New Jersey"
"Shaq","Orlando Magic","Newark, New Jersey"
"Shaq Attack","Orlando Magic","Newark, New  Jersey"
"Shaq Daddy","Orlando Magic","Newark, New Jersey"
"Shaq Fuu","Orlando Magic","Newark, New Jerseyy"
"Shaqovicc","Orlando Magic","Newark, New Jerseyy"
"Superman","Orlando Magic","Newarkk, New Jersey"
"The Big Cordially","Orlando Magic","Newark, New Jerseyy"
"The Big Fella","Orlando Magic","Newark,, New Jersey"
"The Big Maravich","Orlando Magic","Newark, New Jersey"
"The Big Shaqtuss","Orlando Magic","Newark, New Jerseyy"
"Wilt Chamberneezyy","Orlando Magic","Newark, New Jersey"
"The Enormous Mormonn","Philadelphia 76ers","Landstuhl, Germanyy"
"The Family Man","Seattle SuperSonics","Elkhart, Indianaa"
"The Reignmann","Seattle SuperSonics","Elkhart, Indiana"
"The Matrix","Phoenix Suns","Waukegan, Illinoiss"
"El Sid","Milwaukee Bucks","Little Rock, Arkansas"
"Sid  the Squid","Milwaukee Bucks","Little Rocck, Arkansas"
"Sir Sid","Milwaukee Bucks","Little Rock, Arkansass"
"Sleepy","New Jersey Nets","Gastonia, North Carolina"
"Scrubb","Étoile Sportive de Radès (basketball)","Brooklyn"
"BBaby Shaq","Los Angeles Clippers","Tikoo"
"Big Sofo","Los Angeles Clippers","Tikoo"
"Speedyy","Philadelphia 76ers","Hempstead (village), New York"
"Spudd","Detroit Pistons","Dallas, Texass"
"Plastic Man","Atlanta Hawks","Pasadena,, California"
"Baby-Faceed Assassin","Golden State Warriors","Akron, Ohio"
"Chef Curry","Golden State Warriors","Akron, Ohioo"
"Stephh","Golden State Warriors","Akron, Ohio"
"The Golden Boy","Golden State Warriors","Akron, Ohio"
"Starburry","Milwaukee Bucks","Brookklyn"
"Stevie Franchisee","Memphis Grizzlies","Takoma Park, Marylandd"
"Hair Canada","Golden State Warriors","Johannesburg"
"Human Victory  Cigar","Cibona Zagabria","Drnniš"
"Strretch","Indianapolis Jets","Marion, Indiana"
"Old Man Riverwalkk","San Antonio Spurs","Christiansted, U.S. Virgin Islandss"
"Slam Duncann","San Antonio Spurs","Christiansted, U.S. Virgin Islands"
"The Big Fundamental","San Antonio Spurs","Christiansted, U.S. Virgin Islands"
"Tobi  & Bobi","Philadelphia 76ers","Islip, New Yorkk"
"Googss","Atlanta Hawks","New York Cityy"
"The Terminatorr","Washington Bullets","Fort Walton Beach, Florida"
"Ack Ack","Boston Celtics","Jersey City, New Jerseyy"
"Heeinie","Boston Celtics","Jersey City, New Jersey"
"Tommy  Gun","Boston Celtics","Jersey City,  New Jersey"
"Croatian Sensation","Chicago Bulls","Socialist Republic of Croatia"
"Euro--Magic","Chicago Bulls","Socialist Republic of Croatia"
"TThe Waiter","Chicago Bulls","Socialist Republic of Croatiaa"
"T-Mac","Toronto Raptors","Bartow, Florrida"
"The Alaskan Assassin","CSKA Moscow","Palo Alto, Californiaa"
"Machine Gun","Los Angeles Lakers","Clayton, Alabama"
"Tree","Atlanta Hawks","Winter Haven, Florida"
"Ariza Greeen","New York Knicks","Miaami"
"Athreeza","New York Knicks","Miamii"
"Cobra","New York Knicks","Miamii"
"Switchblade","New York Knicks","Miamii"
"Truckk","Washington Bullets","Jacksonville, Florida"
"Kill Bill","Dallas Mavericks","Larissaa"
"V-Spann","Dallas Mavericks","Larissaa"
"Air Canada","Golden State Warriors","Daytona Beach, Florida"
"Half Man Half Amazing","Golden State Warriors","Daytona Beachh, Florida"
"Old Man Vincee","Golden State Warriors","Daytona Beacch, Florida"
"VVC","Golden State Warriors","Daytona Beach, Florida"
"Vinnsanity","Golden State Warriors","Daytona Beach, Floridaa"
"Thhe Microwave","Seattle SuperSonics","Brooklyn, New York"
"Ukraiine Train","Cleveland Cavaliers","KKiev"
"Bells","Chicago Packers","New Beern, North Carolina"
"Cllyde","New York Knicks","Atlanta"
"Iron Mann","Dallas Mavericks","San Antonio"
"The Big Dipperr","Philadelphia Warriors","Philadelphia"
