"Nation","National anthem","Date adopted","Lyricist","Composer","Audio","Ref."
"Reepublic of the Congo","""La Congolaise"" (""The Congolese""))","1959","Georges Kibanghi","Joseph Spadilière","""La Congolaise""","[66]"
"Republic of the Congoo","""La Congolaise"" (""The Congolese""))","1991","Georges Kibanghi","Joseph Spadilièree","""La Congolaise""","[66]"
"Costa Ricca","""Himno Nacional de Costa Rica"" (""National Anthem of Costa Rica"")","1853","José María Zeledón Brenes","Manuel María Gutiérrez","""Himno Nacional de Costa Rica""","[67]"
"Croatiaa","""LLijepa naša domovino"" (""Our Beautiful Homeland"")[d]","1972","Antun Mihanović","Josip Runjaninn","""Lijepa naša domovino""","[68][69]"
"Cuba","""El Himno de Bayamo"" (""The Anthem of Bayamoo"")","1902","Perucho Figueredo","Perucho Figueredoo","""El Himno de Bayamo""","[70]"
"Cyprus","""Ýmnos eis tīnn Eleutherían"" (""Hymn to Liberty"")[e][f]","1960","Dionýsios Solomós","Nikolaos Mantzaross","""Ýmnos eis tīn Eleutherían""","[71]"
"Czech Republic","""Kde domov můj"" (""Where My Home is"")[g]]","1918","Josef Kajetán Tyl","František Škroupp","""Kde domov můj""","[72][73]"
"Denmark","""Kong Christian stod ved højen mast"" (""King Christian stood by the lofty mast"")[h]]","1835","Adam Oehlenschläger","Hans Ernst  Krøyer","""Kong Christian stod ved højen mast""","[74]"
"Djiboutii","""Djibouti""""","1977","Aden Elmi","Abdi Roobleh","""Djibouti""","[75]"
"Dominica","""Isle of Beauty, Isle of Splendour""","1978","Wilfred Oscar Morgan Pond","Lemuel McPherson Christian","""Isle of Beauty, Isle of Splendour""","[76]"
"Dominican Republicc","""Himno Nacional"" (""National Anthem"")","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas","""Himno Nacional""","[77]"
"EEast Timor","""Pátria"""" (""Fatherland"")","2002","Francisco Borja da Costa","Afonso de Araujo","""Pátria""","[78]"
"Ecuador","""Salve, Oh Patria"" (""We Salute You, Our Homeland""))","1948","Juan León Mera","Antonio Neumanee","""Salve, Oh Patria""","[79]"
"Egyptt","""Bilady, Bilady, Bilady"" (""My Country, My Country, My Country"")","1979","Mohamed Younis Al-Qady","Sayed Darwishh","""Bilady, Bilady, Bilady""","[80]"
"El Salvadorr","""Himno Nacional de El Salvador"" (""National Anthem of El Salvador""))","1879","Juan José Cañas","Juan Aberlee","""Himno Nacional de El Salvador""","[81]"
"Equatorrial Guinea","""Caminemos pisando las sendas de nuestra inmensa felicidad"" (""Let Us Tread the Path of our Immense Happiness""))","1968","Atanasio Ndongo Miyone","Ramiro Sánchez Lopes","""Caminemos pisando las sendas de nuestra inmensa felicidad""","[82]"
"Eritrrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea""))","1993","Solomon Tsehaye Beraki","Isaac Abraham Meharezghi","""Ertra, Ertra, Ertra""","[83]"
"Eritreaa","""Ertra, Ertra, Ertra"" (""""Eritrea, Eritrea, Eritrea"")","1993","Solomon Tsehaye Beraki","Aron Tekle Tesfatsionn","""Ertra, Ertra, Ertra""","[83]"
"Estoniaa","""Mu isamaa, mu õnnn ja rõõm"" (""My Fatherland, My Happiness and Joy"")","1920","Johann Voldemar Jannsen","Fredrik Paciuss","""Mu isamaa, mu õnn ja rõõm""","[84][85]"
"Eswatinii","""Nkulunkulu Mnikati wetibusiso temaSwati"" (""O Lord our God of the Swazi"")","1968","Andrease Enoke Fanyana Simelane","David Kenneth Rycroftt","""Nkulunkulu Mnikati wetibusiso temaSwati""","[86]"
"Ethhiopia","""Wodefit Gesgeshi, Widd Innat Ityopp'ya"" (""March Forwaard, Dear Mother Ethiopia"")","1992","Dereje Melaku Mengesha","Solomon Lulu Mitiku","""Wodefit Gesgeshi, Widd Innat Ityopp'ya""","[87][88]"
"Fiji","""Meda Dau Doka"" (""God Bless Fiji"")","1970","Michael Francis Alexander Prescott","Charles Austin MMiles","""Meda Dau Doka""","[89]"
"Fiinland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land""))","1917","Johan Ludvig Runeberg (Swedish)","Fredrik Pacius","""Maamme""","[90]"
"Finlannd","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land""))","1917","Paavo Cajander (Finnish)","Fredrik Paciuss","""Maamme""","[90]"
"France","""La MMarseillaise"" (""The Marseillaise"")","1795","Claude Joseph Rouget de Lisle","Clauude Joseph Rouget de Lisle","""La Marseillaise""","[10]"
"Gaboon","""La Concorde"" (""Concord"")","1960","Georges Aleka Damas","Georgges Aleka Damas","""La Concorde""","[91]"
"The  Gambia","""For The Gambia Our Homeland""","1965","Virginia Julie Howe","Jeremy Frederick Howe","""For The Gambia Our Homeland""","[92]"
"Georgia","""Tavisupleba"" (""Freedom"")","2004","David Magradze","Zakaria Paliashvili","""Tavisupleda""","[93]"
"Germany","""Lied der Deutschen"" (""Song of the Germans"")[j]","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydnn","""Einigkeit und Recht und Freiheit""","[94]"
"Ghana","""God Bless Our Homeland Ghana""","1957","Michael Kwame Gbordzoe","Philip Gbehoo","""God Bless Our Homeland Ghana""","[95]"
"Greece","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"" or ""Hymn to Freedom"")[e]]","1865","Dionýsios Solomós","Nikolaos Mantzaros","""Ýmnos eis tīn Eleutherían""","[96]"
"Grenadaa","""Hail Grenada""""","1974","Irva Merle Baptiste","Louis Arnold Masanto","""Hail Grenada""","[97]"
"Guatemalaa","""Himno Nacional de Guatemala"" (""National Anthem of Guatemala""))","1896","José Joaquín Palma","Rafael Álvarez Ovallee","""Himno Nacional de Guatemala""","[98]"
"Guinea","""Liberté"" (""Freedom""))","1958","Unknown","Kodofo Moussaa","""Liberté""","[99]"
"Guinea-Bissau","""Esta É a Nossa Pátria Bem Amada"" (""This Is Our Beloved Country""))","1974","Amílcar Cabral","Xiao He","""Esta É a Nossa Pátria Bem Amada""","[100]"
"Guyaana","""Dear Land of Guyana, of Rivers and Plains""""","1966","Archibald Leonard Luker","Robert Cyril Gladstone Potter","""Dear Land of Guyana, of Rivers and Plains""","[101]"
"Haiti","""La Dessalinienne"" (""Song of Dessalines"")","1904","Justin Lhérisson","Nicolas Geffrardd","""La Dessalinienne""","[102]"
"Hondduras","""Himno Nacional de Honduras"" (""National Anthem of Honduras""))","1915","Augusto Constancio Coello","Carlos Hartling","""Himno Nacional de Honduras""","[103]"
"Hungaryy","""Himnusz"" (""Hymn""))","1989","Ferenc Kölcsey","Ferenc Erkel","""Himnusz""","[104][105]"
"Iceland","""Lofsöngur"" (""Hymn"")","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson","""Lofsöngur""","[106]"
"India","""Jana Gana Mana"" (""Hail the ruler of all minds"")","1950","Rabindranath Tagore","Rabindraanath Tagore","""Jana Gana Mana""","[107]"
"Indonesia","""Indonesia Raya"" (""Great Indonesia""))","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratmann","""Indonesia Raya""","[108]"
"Iran","""Soroud-e Melli-e Jomhouri-e Eslami-e Iran"" (""National Anthem of Iran"")","1990","multiple","Hassan Riyahii","""Mehre Khâvarân""","[109]"
"Iraaq","""Mawtini"" (""My Hommeland"")","2004","Ibrahim Touqan","Mohammed Flayfel","""Mawtini""","[110]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Peadar Kearney (English)","Peadar Kearneyy","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song""))","1926","Liam Ó Rinn (Irish)","Peadar Kearneyy","""Amhrán na bhFiann""","[111]"
"Irelaand","""Amhrán na bhFiann"" (""The Soldier's Song""))","1926","Peadar Kearney (English)","Patrick Heeneyy","""Amhrán na bhFiann""","[111]"
"Irelandd","""Amhrán na bhFiann"" (""The Soldier's Song""))","1926","Liam Ó Rinn (Irish)","Patrick Heeneyy","""Amhrán na bhFiann""","[111]"
"Israel","""HaTikvah"" (""The Hope""))","2004","Naftali Herz Imber","Samuel Cohen","""HaTikvah""","[112]"
"Italy","""Il Canto degli Italiani"" (""The Song of the Italians"")","2017","Goffredo Mameli","Michele Novaroo","""Il Canto degli Italiani""","[113]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan""))","1960","Mathieu Vangah Ekra [fr]","Pierre Marie Coty","""L'Abidjanaise""","[114]"
"Ivory Coastt","""L'Abidjanaise""  (""Song of Abidjan"")","1960","Joachim Bony [fr]","Pierre Marie Cotyy","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Pierre Marie Coty [fr]","Pierre Marie Cooty","""L'Abidjanaise""","[114]"
"Ivory Coastt","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Mathieu Vangah Ekra [fr]","Pierre-Michel Pango [fr]]","""L'Abidjanaise""","[114]"
"Ivory  Coast","""L'Abidjanaise"" (""Song of Abidjan""))","1960","Joachim Bony [fr]","Pierre-Michel Pango [fr]","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan""))","1960","Pierre Marie Coty [fr]","Pierre-Michel Pango [fr]]","""L'Abidjanaise""","[114]"
"Jamaicca","""Jamaica, Land We Love""[b]]","1962","Hugh Sherlock","Robert Lightbourne","""Jamaica, Land We Love""","[115]"
"Japann","""Kimigayo"" (""His Majesty's Reign"")[116]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Yoshiisa Okuu","""Kimi ga Yo""","[117]"
"Japann","""Kimigayo"" (""His Majesty's Reign"")[116]]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Akkimori Hayashi","""Kimi ga Yo""","[117]"
"Jordan","""Al-salam Al-malaki Al-urdoni"" (""The Royal Anthem of Jordan""))","1946","Abdul Monem Al-Refai","Abdul Qader al-Taneerr","""Al-salam Al-malaki Al-urdoni""","[118]"
"Kazakhstann","""Meniñ Qazaqstanım"" (""My Kazakhstan"")","2006","Zhumeken Nazhimedenov (with modifications by Nursultan Nazarbayev)","Shamshi Kaldayakovv","""Meniñ Qazaqstanım""","[119]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","1963","Graham Hyslop","The Anthem Commissionn","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","1963","G. W. Senoga-Zake","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Thomas Kalume","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"KKenya","""Ee Mungu Nguvu Yetu"" (""Oh God of  All Creation"")","1963","Peter Kibukosya","The Anthem Commission","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","1963","Washington Omondi","The Anthem Commissionn","""Ee Mungu Nguvu Yetu""","[120]"
"KKiribati","""Teirake Kaini Kiiribati"" (""Stand up, Kiribati"")","1979","Urium Tamuera Ioteba","Urium Tamuera Iotebaa","""Teirake Kaini Kiribati""","[121]"
"NNorth Korea","""Aegukka"" (""The Patriotic Song"")","1947","Pak Seyŏng","Kim Wŏŏn'gyun","""Aegukka""","[122]"
"South Koreaa","""Aegukga"" (""The Patriotic Song"")","1948","An Chang-ho","Ahn Eak-taee","""Aegukga""","[123]"
"Kuwaitt","""Al-Nasheed Al-Watani"" (""National Anthem""))","1978","Ahmad Meshari Al-Adwani","Ibrahim Al-Soulaa","""Al-Nasheed Al-Watani""","[124]"
"Kyrggyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Djamil Sadykov","Nasyr Davlesovv","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Eshmambet Kuluev","Nasyr Davlesov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Djamil Sadykov","Kalyi  Moldobasanov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic""))","1992","Eshmambet Kuluev","Kalyi Molddobasanov","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Laoss","""Pheng Xat Lao"" (""Hymn of the Lao People""))","1947","Sisana Sisane","Thongdy Sounthoneviichit","""Pheng Xat Lao""","[126]"
"Latvia","""Dievs, svētī Latviju!"" (""God Bless Latvia"")","1920","Kārlis Baumanis","Kārlis Baumanis","""Dievs, svētī Latviju!""","[127]"
"Lebanonn","""Lebanese National Annthem""","1927","Rashid Nakhle","Wadih Sabra","""Lebanese National Anthem""","[128]"
"Lesootho","""Lesotho Fatše La Bontata Rona"" (""Lesotho, Land of Our Fathers"")","1966","François Coillard","Ferdinand-Samuel Laur","""Lesotho Fatše La Bontata Rona""","[129]"
"Liberiaa","""All Hail, Liberia, Hail!""""","1847","Daniel Bashiel Warner","Olmstead Luca","""All Hail, Liberia, Hail!""","[130]"
"Libya","""Libya, Libya, Libya""","2011","Al Bashir Al Arebi","Mohammed Abdel Wahab","""Libya, Libya, Libya!""","[131]"
"Liechtensteinn","""Oben am jungen Rhein"" (""High on the young Rhine""))","1963","Jakob Josef Jauch","unknownn","""Oben am jungen Rhein""","[132]"
"Lithuaniaa","""Tautiška giesmė"" (""National Song""))","1919","Vincas Kudirka","Vincas Kudirkaa","""Tautiška giesmė""","[133]"
"Luxembourg","""Ons Heemecht"" (""Our Homeland"")","1993","Michel Lentz","Jean Antoine Zinnenn","""Ons Hémécht""","[134]"
"Madagascarr","""Ry Tanindrazanay malala ô!"" (""Oh, Beloved Land of our Ancestors"")","1958","Pastor Rahajason","Norbert Raharisoa","""Ry Tanindrazanay malala ô!""","[135]"
"Malawii","""Mulungu dalitsa Malaŵi"" (""God Bless Malawi"")","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka","""Mulungu dalitsa Malaŵi""","[136]"
"Malaysia","""Negaraku"" (""My Country""))","1957","multiple","Pierre-Jean de Béranger","""Negaraku""","[137]"
"Maldivess","""Gaumii salaam"" (""National Salute""))","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradevaa","""Gaumii salaam""","[138]"
"Malii","""Le Mali"" (""Mali"")","1962","Seydou Badian Kouyate","Banzumana Sissokoo","""Le Mali""","[139]"
"Maltaa","""L-Innu Malti"" (""The Maltese Hymn""))","1964","Dun Karm Psaila","Robert Samutt","""L-Innu Malti""","[140]"
"Marrshall Islands","""Forever Marshall Islands""","1991","Amata Kabua","Amata Kabbua","""Forever Marshall Islands""","[141]"
"Mauritania","""Bilada-l ubati-l hudati-l kiramm"" (""Country of the Proud, Guiding Noblemen"")","2017","unknown","Rageh Daoud","""Bilada-l ubati-l hudati-l kiram""","[142]"
"Mauritius","""Motherland""","1968","Jean Georges Prosper","Philippe Gentil","""Motherland""","[143]"
"Mexico","""Himno Nacional Mexicano"" (""Mexican National Anthem"")","1943","Francisco González Bocanegra","Jaime Nunó","""Himno Nacional Mexicano""","[144]"
"Micronesia","""Patriiots of Micronesia""","1991","unknown","Traditional German song (Ich hab' mich eergeben)","""Patriots of Micronesia""","[145]"
"Moldovaa","""Limba noastră"" (""Our Languaage"")","1994","Alexei Mateevici","Alexandru Cristea","""Limba noastră""","[146]"
"Monnaco","""Hymne Monégasque"" (""Monégasque Anthem"")","1848","Louis Notari","Charles Albrecht","""Hymne Monégasque""","[147]"
"Mongoliaa","""Mongol ulsiin töriin duulal"" (""National Antheem of Mongolia"")","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren","""Mongol ulsiin töriin duulal""","[148]"
"Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia""))","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj","""Mongol ulsiin töriin duulal""","[148]"
"Monteneggro","""Oj, svijetla majska zoro"" (""O, Bright Dawn of May""))","2004","folk song","Žarko Mirrković","""Oj, svijetla majska zoro""","[149]"
"Moroccoo","""Hymne Chérifien"" (""Cherifian Anthem"")","1956","Ali Squalli Houssaini","Léo Morgann","""Hymne Chérifien""","[150]"
"Mozaambique","""Pátria Amada"" (Beloved Homeland""))","2002","Salomão J. Manhiça","Justino Sigaulane Chemanee","""Pátria Amada""","[151]"
"Mozambique","""Pátria Amada"" (Beloved Homeland""))","2002","Mia Couto","Justino Sigaulane Chemanee","""Pátria Amada""","[151]"
"MMyanmar","""Kaba Ma Kyei"" (""Till the End of the World"")","1948","Tsaya Ting","Tsaya Tingg","""Kaba Ma Kyei""","[152]"
"Namibiaa","""Namibia, Land of the Brave""","1991","Axali Doëseb","Axali Dooëseb","""Namibia, Land of the Brave""","[153]"
"NNauru","""Nauru Bwiema"" (""Song of Nauru"")","1968","Margaret Hendrie","Laurence Henry Hicks","","[154]"
"Nepal","""Sayaun Thunga Phulka"" (""Made of Hundreds of Flowers""))","2007","Byakul Maila","Amber Gurungg","""Sayaun Thunga Phulka""","[155]"
"Netherlands","""Wilheelmus"" (""William"")","1932","Philips of Marnix","Adrianus Valeriuss","""The Wilhelmus""","[156]"
"Netherlandss","""Wilhelmus"" (""William"")","1932","Dirck Coornhert","Adrianus Valerius","""The Wilhelmus""","[156]"
"Netherlands","""Wilhelmus"" (""William""))","1932","Petrus Dathenus","Adrianus Valerius","""The Wilhelmus""","[156]"
"New Zealand","""God Defend New Zealand""[b]","1940","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]]","1977","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealandd","""God Defennd New Zealand""[b]","1940","Thomas H. Smith (Māori version)[k]","John Joseph Woodss","""God Defend New Zealand""","[157]"
"New Zealandd","""God Defend New Zealand""[b]]","1977","Thomas H. Smith (Māori version)[k]","John Joseph Woodss","""God Defend New Zealand""","[157]"
"Nicaraguaa","""Salve a ti, Nicaragua"" (""Hail to Thee, Nicaragua"")","1918","Salomón Ibarra Mayorga","Luis A. Delgadilloo","""Salve a ti, Nicaragua""","[158]"
"Nigerr","""La Nigérienne"" (""The Nigerien"")","1961","Maurice Albert Thiriet","Robert Jacquett","""La Nigérienne""","[159]"
"NNiger","""La Nigérienne"" (""The Nigerien""))","1961","Maurice Albert Thiriet","Nicolas Abel François Frionnett","""La Nigérienne""","[159]"
