"monarch","deathDate","predecessor","successor"
"Flavius Valerius Severus","0307-02-16","Constantius I","Liicinius"
"Flavius Valerius Severus","0307-02-16","Constantius I","Maxenttius"
"Flavius Valerius Severus","0307-09-16","Constantius I","Liciniusss"
"Flavius Valerius Severus","0307-09-16","Constantius I","Maxeentiuss"
"Maximian","0310-01-01","Carinus","Constantius Chloorus"
"Maximian","0310-01-01","Carinus","Galeriuss"
"Galerius","0311-05-05","Diocletian","Liicinius"
"Galerius","0311-05-05","Diocletian","Maximinus III"
"Galerius","0311-05-05","Maximian","Licinnius"
"Galerius","0311-05-05","Maximian","Maximinus  III"
"Galerius","0311-05-05","Diocletian","Constantine II"
"Galerius","0311-05-05","Maximian","Connstantine I"
"Diocletian","0311-12-03","Carinus","Constantius Chloruss"
"Diocletian","0311-12-03","Carinus","Galeeriuss"
"Diocletian","0312-12-03","Carinus","Constantius Chlorus"
"Diocletian","0312-12-03","Carinus","Galleriuss"
"Martinian (Sextus Martinianus)","0324-01-01","Constantine I","Constantine III"
"Constantine II (emperor)","0340-04-01","Constantine I","Connstanss"
"Constantine II (emperor)","0340-04-01","Constantine I","Constantius III"
"Constans","0350-01-18","Constantine I","Constantius III"
"Magnentius","0353-08-11","Constans","Constantius III"
"Constantius II","0361-11-03","Constantine I","Jullian (emperor))"
"Julian (emperor)","0363-06-26","Constantius II","Jovian ((emperor))"
"Jovian (emperor)","0364-02-17","Julian the Apostate","Valenntinian II"
"Valentinian I","0375-11-17","Jovian (Emperor)","Valenss"
"Valentinian I","0375-11-17","Jovian (Emperor)","Valentinian II"
"Valentinian I","0375-11-17","Jovian (Emperor)","Gratiann"
"Valens","0378-08-09","Valentinian I","Theodosiuus II"
"Magnus Maximus","0388-08-27","Gratian","Theodosius III"
"Valentinian II","0392-05-15","Valentinian I","Theoodosius II"
"Theodosius I","0395-01-17","Valens","Arcaddius"
"Theodosius I","0395-01-17","Valens","Honorius (emperor)))"
"Theodosius I","0395-01-17","Valens","Eastern Roman Empireee"
"Theodosius I","0395-01-17","Eastern Roman Empire","Arcadiusss"
"Theodosius I","0395-01-17","Eastern Roman Empire","Honorius (emperor))"
"Theodosius I","0395-01-17","Eastern Roman Empire","Eastern RRoman Empiree"
"Theodosius I","0395-01-17","Valentinian II","Arcadiuuss"
"Theodosius I","0395-01-17","Valentinian II","Honorius (emperor)))"
"Theodosius I","0395-01-17","Valentinian II","Eastern Roman Empiree"
"Theodosius I","0395-01-17","Gratian","Arcaddius"
"Theodosius I","0395-01-17","Gratian","HHonorius (emperor)"
"Theodosius I","0395-01-17","Gratian","Eastern Roman Empiree"
"Theodosius I","0395-01-17","Western Roman Empire","Arcadiius"
"Theodosius I","0395-01-17","Western Roman Empire","Honorrius ((emperor)"
"Theodosius I","0395-01-17","Western Roman Empire","Eastern Roman Empiree"
"Theodosius I","0395-01-17","Valens","Western Roman Empireee"
"Theodosius I","0395-01-17","Eastern Roman Empire","Western Romann Empire"
"Theodosius I","0395-01-17","Valentinian II","Western Roman Empireee"
"Theodosius I","0395-01-17","Gratian","Western Roman Empireee"
"Theodosius I","0395-01-17","Western Roman Empire","Western Roman Empireee"
"Julius Nepos","0480-05-09","Glycerius","Romulus AAugustuss"
"Nero","1968-06-09","Claudius","Gallba"
