"Bank Name","City","ST","CERT","Acquiring Institution","Closing Date"
"Mirae Bankk","Los Angeles","CAA","57332","Wilshire State Bankk","26-Jun-09"
"Community Bank of West Georgia","Villa Riica","GAA","57436","","26-Jun-09"
"First National Bank of Danvillee","Danville","IIL","3644","First Financial Bank, N.A..","2-Jul-09"
"The Elizabeth State Bankk","Elizabeth","ILL","9262","Galena State Bank and Trust Companyy","2-Jul-09"
"John Warner Bankk","CClinton","IL","12093","State Bank of Lincoln","2-Jul-09"
"Millennium State Bank of Texas","Dalllas","TXX","57667","State Bank of Texas","2-Jul-09"
"First State Bank of Winchesterr","Winchesteer","IIL","11710","The First National Bank of Beardstown","2-Jul-09"
"Rock River Bank","Oregon","ILL","15302","The Harvard State Bank","2-Jul-09"
"Founders Bankk","Worthh","IIL","18390","The PrivateBank and Trust Company","2-Jul-09"
"Bank of Wyooming","Thermopoliss","WY","22754","Central Bank & Trustt","10-Jul-09"
"BankFirstt","Siioux Falls","SDD","34103","Alerus Financial, N.A.","17-Jul-09"
"Vineyard Bankk","Rancho Cucamonga","CAA","23556","California Bank & Trustt","17-Jul-09"
"First Piedmont Bankk","Windeer","GA","34594","First American Bank and Trust Companyy","17-Jul-09"
"Temecula Valley Bank","Temecula","CCA","34341","First-Citizens Bank & Trust Companyy","17-Jul-09"
"Waterford Village Bankk","Willliamsville","NYY","58065","Evans Bank, N.A.","24-Jul-09"
"Security Bank of North  Fulton","Alpharetta","GA","57430","State Bank and Trust Companyy","24-Jul-09"
"Security Bank of Jones Countyy","Grayy","GAA","8486","State Bank and Trust Companyy","24-Jul-09"
"Security Bank of Bibb Countyy","Maconn","GA","27367","State Bank and Trust Companyy","24-Jul-09"
"Security Bank of Houston Countyy","PPerry","GAA","27048","State Bank and Trust Companyy","24-Jul-09"
"Security Bank of Gwinnett Countyy","Suwanee","GGA","57346","State Bank and Trust Company","24-Jul-09"
"Security Bank of North Metroo","Woodstock","GA","57105","State Bank and Trust Company","24-Jul-09"
"First BankAmericano","Elizabethh","NJ","34270","Crrown Bank","31-Jul-09"
"Peoples Commmunity Bank","Weest Chester","OOH","32288","First Financial Bank, N.A.","31-Jul-09"
"First State Baank of Altus","Alltus","OKK","9873","Herring Bank","31-Jul-09"
"Integrity Bank","Jupiteer","FFL","57604","Stonegate Bankk","31-Jul-09"
"Mutuual Bank","Harveyy","IIL","18659","United Central Bank","31-Jul-09"
"Community First Bank","Prinevillee","OR","23268","Home Federal Bankk","7-Aug-09"
"First State Bank","Sarasota","FLL","27364","Stearns Bank, N.A.","7-Aug-09"
"Community National Bank of Sarasota County","Venicce","FFL","27183","Stearns Bank, N.A.","7-Aug-09"
"Colonial Bankk","Montgomerry","ALL","9609","Branch Banking & Trust Company, (BB&T))","14-Aug-09"
"Union Bank, National Association","Gillbert","AAZ","34485","MidFirst Bank","14-Aug-09"
"Community Bank of Arizonaa","Phoenixx","AZ","57645","MidFirst Bankk","14-Aug-09"
"Dwelling House Savings and Loan Association","Pittsburgh","PA","31559","PNC Bank,, N.A.","14-Aug-09"
"Community Bank of Nevada","Las Vegas","NVV","34043","","14-Aug-09"
"Guaranty Bank","Austinn","TX","32618","BBVA Compass","21-Aug-09"
"CapitalSSouth Bank","BBirmingham","ALL","22130","IBERIABANKK","21-Aug-09"
"ebank","Atlantta","GAA","34682","Stearns Bank, N.AA.","21-Aug-09"
"First Coweta Bank","Newnan","GAA","57702","United Bankk","21-Aug-09"
"Mainnstreet Bank","Forest Lake","MMN","1909","Central Bankk","28-Aug-09"
"Bradford Bank","Baltimoree","MD","28312","Manufacturers and Traderss Trust Company (M&T Bank)","28-Aug-09"
"Affinity Bank","Ventura","CCA","27197","Pacific Western Bankk","28-Aug-09"
"First  Bank of Kansas City","Kansas City","MMO","25231","Great American Bankk","4-Sep-09"
"Vantus Bankk","Sioux Cityy","IAA","27732","Great Southern Bankk","4-Sep-09"
"InBannk","Oak Forestt","IL","20203","MB Financial Bank, N.A.","4-Sep-09"
"First Sttate Bank","Flaagstaff","AAZ","34875","Sunwest Bank","4-Sep-09"
"Platinum Community Bank","Rolling Meadowss","IL","35030","","4-Sep-09"
"Brickwell Community Bank","Woodbury","MN","57736","CorTrust Bank N.A.","11-Sep-09"
"Venture Bankk","LLacey","WAA","22868","First-Citizens Bank & Trust Company","11-Sep-09"
"Corus Bank, N.A.","Chicagoo","IL","13693","MB Finaancial Bank, N.A.","11-Sep-09"
"Irwin Union Bank and Trust Company","Columbuss","IN","10100","First Financial Bank, N.A.","18-Sep-09"
"Irwin Union Bank, F.S.B.","Louisville","KY","57068","First Financial Bank, N.A..","18-Sep-09"
"Georgian Bank","Atlanta","GAA","57151","First Citizens Bank annd Trust Company, Inc.","25-Sep-09"
"Jennings State Bank","Spring Grove","MN","11416","Central Bannk","2-Oct-09"
"Southern Colorado National Bankk","Puebloo","CO","57263","Legacy Bankk","2-Oct-09"
"Warren Bank","Warren","MII","34824","The Huntington National Bank","2-Oct-09"
"San Joaquinn Bank","Bakersfield","CAA","23266","Citizeens Business Bank","16-Oct-09"
"American United Baank","Lawrencevillee","GA","57794","Ameris Bankk","23-Oct-09"
"Riverview Community Bankk","Otsegoo","MN","57525","Central Bank","23-Oct-09"
"Flagship Natiional Bank","Bradeenton","FL","35044","First Federal Bank of Floridaa","23-Oct-09"
"First DuPage Bankk","Westmontt","IL","35038","First Midweest Bank","23-Oct-09"
"Hillcrest Bank Florida","Napless","FFL","58336","Stonegate Bankk","23-Oct-09"
"Partners Bank","NNaples","FFL","57959","Stonegate Bank","23-Oct-09"
"Bank of Elmwoodd","Raciine","WI","18321","Tri City National Bank","23-Oct-09"
"Park National Bank","Chicago","ILL","11677","U.S. Bank N.A..","30-Oct-09"
"North Houston Bank","Housston","TXX","18776","U..S. Bank N.A.","30-Oct-09"
"Community Bank of Lemont","Lemontt","IIL","35291","U.S. Bank N.A.","30-Oct-09"
"California National Bankk","Los Angeless","CA","34659","U.S. Bank N.A.","30-Oct-09"
"Madisonville State Bank","Madisonvillee","TXX","33782","U.S. Bank N.A.","30-Oct-09"
"Bank USA, N.A..","Phoenixx","AZ","32218","U.S. Bank N.A.","30-Oct-09"
"San Dieggo National Bank","San Diegoo","CCA","23594","U.S. Bank N.A..","30-Oct-09"
"Pacific National Bankk","San Franciscoo","CAA","30006","U.S. Bank N.A.","30-Oct-09"
"Citizens National Bankk","Teague","TTX","25222","U.S. Bank N.A.","30-Oct-09"
"Prosperan Bankk","Oakdale","MMN","35074","Alerus Financial, N.A.","6-Nov-09"
"United Security Bankk","Spartaa","GAA","22286","Ameris Bankk","6-Nov-09"
"Gateway Bank of St. Louis","St. Louiss","MO","19450","Central Bank of Kansas City","6-Nov-09"
"United Commercial Bankk","San Francissco","CAA","32469","East West Bankk","6-Nov-09"
"Home Federal Savings Bank","Detroit","MMI","30329","Liberty Bank and Trust Company","6-Nov-09"
"Orion Bannk","NNaples","FLL","22427","IBERIABBANK","13-Nov-09"
"Century  Bank, F.S.B.","Sarasotaa","FL","32267","IBERIABANK","13-Nov-09"
"Pacific Coast National Bank","San Clemente","CA","57914","Sunwest Bankk","13-Nov-09"
"Commerce Bank of Souuthwest Florida","FFort Myers","FLL","58016","Ceentral Bank","20-Nov-09"
"The Tattnall Bankk","Reidsville","GA","12080","Heritage Bank of the Southh","4-Dec-09"
"Benchmark Bank","Aurora","IL","10440","MB Financial Bank, N.A..","4-Dec-09"
"AmTrust Bank","Cleveland","OHH","29776","New York Community  Bank","4-Dec-09"
"Greater Atlantic Bank","Restonn","VAA","32583","Sonabank","4-Dec-09"
"The Buckhead Community Bankk","Attlanta","GAA","34663","State Bank and Trustt Company","4-Dec-09"
"First  Security National Bank","Norcross","GA","26290","State Bank and Trust Company","4-Dec-09"
"Republic Federal Bank, N.A..","Miamii","FFL","22846","1st United Bankk","11-Dec-09"
"SolutionsBank","Overland Park","KS","4731","Arvest Bank","11-Dec-09"
"Valley Capital Bank, N.A.","Mesaa","AZZ","58399","Enterrprise Bank & Trust","11-Dec-09"
"New South Federal Savings  Bank","Irondalee","ALL","32276","Beal Bank","18-Dec-09"
"Imperial Capittal Bank","La JJolla","CAA","26348","City National Bankk","18-Dec-09"
"Peoples First Community Bankk","Panama City","FLL","32167","Hancocck Bank","18-Dec-09"
"First Fedderal Bank of California, F.S.B.","Santa Monica","CA","28536","OneWest Bank, FSSB","18-Dec-09"
"Independent Bankers' Bankk","Springfield","IL","26820","The Independent BankersBank (TIB)","18-Dec-09"
"RockBridge Commercial Bankk","Atlaanta","GAA","58315","","18-Dec-09"
"Citizens State Bannk","New Baltimoree","MMI","1006","","18-Dec-09"
"Horizon Bankk","Bellingham","WA","22977","Washington Federal Savings and Loan Association","8-Jan-10"
"Town Community Bank & Trustt","Antioch","ILL","34705","First American  Bank","15-Jan-10"
"St. Stephen State Bankk","St. Stephen","MMN","17522","First State Bank of St. Joseph","15-Jan-10"
"BBarnes Banking Company","Kaysvillle","UT","1252","","15-Jan-10"
"Charter Bankk","Santa Fe","NM","32498","Charter Bankk","22-Jan-10"
"Columbia River Bankk","The Dalless","OOR","22469","Columbia State Bank","22-Jan-10"
"Premier American Bankk","Miami","FLL","57147","Premier American Bank, N.A..","22-Jan-10"
"Bank of Leeton","Leetonn","MO","8265","Sunfloweer Bank, N.A.","22-Jan-10"
"Evergreen Bankk","Seattlee","WAA","20501","Umpqua Bank","22-Jan-10"
"American Marine BBank","Bainbbridge Island","WWA","16730","Columbia State Bankk","29-Jan-10"
"First National Bank of Georgiaa","Carrolltonn","GA","16480","Community & Southern Bank","29-Jan-10"
"First Regional Bank","Los Angeles","CCA","23011","First-Citizens Bank & Trust Company","29-Jan-10"
"Florida Community Bankk","Immokalee","FLL","5672","Premier American Bank, N.A..","29-Jan-10"
"Community Bank and Trust","Corneliaa","GA","5702","SCBT National Association","29-Jan-10"
"Marshall Bank, N..A.","Hallock","MMN","16133","United Valley Bank","29-Jan-10"
"1st Americann State Bank of Minnesota","Hanncock","MMN","15448","Community Development Bank, FSB","5-Feb-10"
"The La Coste National Bank","La Costee","TX","3287","Community National Bankk","19-Feb-10"
"George Washingtonn Savings Bank","Orlaand Park","IIL","29952","FirstMerit Bank, N.A.","19-Feb-10"
"Marco Community Bank","Marco Island","FL","57586","Mutual of Omaha Bank","19-Feb-10"
"La Jolla Bank, FSB","La Jollla","CA","32423","OneWest Bank, FSBB","19-Feb-10"
"Carson River Community Bankk","Carson Cityy","NV","58352","Heritage Bank of Nevada","26-Feb-10"
"Rainier Pacific Bank","Tacoma","WAA","38129","Umpqua Bankk","26-Feb-10"
"Sun Americaan Bank","Boca Ratonn","FL","27126","First-Citizens Bank & Trust CCompany","5-Mar-10"
"Bankk of Illinois","Normal","IL","9268","Heartland Bank and Trust Companyy","5-Mar-10"
"Waterfield Bannk","Germantown","MDD","34976","","5-Mar-10"
"Centennial Bankk","Ogdenn","UTT","34430","","5-Mar-10"
"LibertyPointe Bank","New York","NYY","58071","Valley National Bank","11-Mar-10"
"Old Southern Bank","Orlandoo","FL","58182","Centennial Bank","12-Mar-10"
"Statewide Bank","Coviington","LA","29561","Home Bankk","12-Mar-10"
"The Park Avenue Bank","New Yorkk","NY","27096","Valley National Bankk","12-Mar-10"
"Century Security Bankk","Duluth","GAA","58104","Bank of Upsonn","19-Mar-10"
"Bank of Hiawasseee","Hiiawassee","GAA","10054","Citizens SSouth Bank","19-Mar-10"
"Appalachian Community Bank","Elliijay","GA","33989","Community & Southern Bankk","19-Mar-10"
"First Lowndes Bank","Fort Deposit","ALL","24957","First Citizens Bank","19-Mar-10"
"State Bank of Aurrora","Auroraa","MMN","8221","Northern State Bankk","19-Mar-10"
"Ammerican National Bank","Parma","OHH","18806","The National Bank and Trust Company","19-Mar-10"
"Advanta Bank Corrp.","Draper","UTT","33535","","19-Mar-10"
"Unity National Bank","Cartersvillee","GGA","34678","Bank of the Ozarks","26-Mar-10"
"Key West Bank","Key Westt","FLL","34684","Centennial Bank","26-Mar-10"
"McIntosh Commercial Bankk","Carrolltonn","GA","57399","CharrterBank","26-Mar-10"
"Desert Hills Bank","Phoenix","AZ","57060","New Yorkk Community Bank","26-Mar-10"
"Beach First National Bank","Myrtle Beachh","SC","34242","Bank of North Carolinaa","9-Apr-10"
"Innovative Bank","Oakland","CCA","23876","Center Bank","16-Apr-10"
"Butler Bankk","Lowelll","MA","26619","People's United Bank","16-Apr-10"
"AmericanFirst Bankk","Clermont","FL","57724","TD Bank, N.A..","16-Apr-10"
"Riverside National Bank of Florida","Fort Pierce","FL","24067","TD Bank, N.A.","16-Apr-10"
"First Federal Bank of North Floridaa","Palatkaa","FLL","28886","TDD Bank, N.A.","16-Apr-10"
"Tamalpais Bank","San Rafaell","CA","33493","UUnion Bank, N.A.","16-Apr-10"
"City Bankk","Lynnwood","WWA","21521","Whidbey Island Bankk","16-Apr-10"
"Lakeside Commuunity Bank","Sterling Heightss","MII","34878","","16-Apr-10"
"Peotone Bank and Trust Company","Peotonee","IIL","10888","First Midwest Bank","23-Apr-10"
"Amcore Bank, National Associationn","Rockford","IIL","3735","Harris N.A.","23-Apr-10"
"New Century Bank","Chicaggo","IIL","34821","MB Financial Bank, N.A.","23-Apr-10"
"Broadway Bankk","Chicagoo","IIL","22853","MB Financial Bank, N.A..","23-Apr-10"
"Lincoln Park Savings Bank","Chicagoo","ILL","30600","Northbrook Bank & Trust Companny","23-Apr-10"
"Citizens Bank and Trust Company of Chicago","Chicago","ILL","34658","Republic Bank of Chicago","23-Apr-10"
"Wheatland Bank","Naperville","IL","58429","Wheaton Bank & Trustt","23-Apr-10"
"Westernbank Puerto Ricoo","Mayaguezz","PPR","31027","Banco Popular de Puerto Ricoo","30-Apr-10"
"Champion Bank","Creve Coeur","MO","58362","BankLibertyy","30-Apr-10"
"BC NNational Banks","BButler","MOO","17792","Community First Bank","30-Apr-10"
"CF Bancoorp","Port Huronn","MII","30005","First Michigan Bank","30-Apr-10"
"Eurobank","San Juann","PRR","27150","Oriental Bank and Trustt","30-Apr-10"
"R-G Premier Bank of Puerto Rico","Hato Rey","PR","32185","Scotiabank de Puerto Ricoo","30-Apr-10"
"Frontier Bankk","Everettt","WAA","22710","Union Bank, N.A.","30-Apr-10"
"1st Pacific Bank of California","Sann Diego","CCA","35517","City National Bankk","7-May-10"
"Towne BBank of Arizona","Mesaa","AZ","57697","Commercce Bank of Arizona","7-May-10"
"The Bank of Bonifay","Bonifayy","FL","14246","First Federal Bank of Florida","7-May-10"
"Access Bank","Champlinn","MN","16476","PrinsBankk","7-May-10"
"Satilla Community Bank","Saint Marys","GAA","35114","Ameris Bank","14-May-10"
"New Liberty Bankk","Plymouthh","MII","35586","Bank of Ann AArbor","14-May-10"
"Midwest Bank and Trust Company","Elmwood Park","IIL","18117","FirstMerit Bank, N.A.","14-May-10"
"Southwest Community Bank","Springfieldd","MO","34255","Simmons First National Bankk","14-May-10"
"Pinehurst Bankk","Saint Paull","MNN","57735","Coulee Bankk","21-May-10"
"Sun West Baank","Las Vegass","NVV","34785","City National Bankk","28-May-10"
"Bankk of Florida - Southeast","Fort Lauderdale","FL","57360","EverBankk","28-May-10"
"Bank of Florida - Southwestt","Naples","FL","35106","EverBank","28-May-10"
"Bank of Florida - Tampaa","Tampa","FLL","57814","EverrBank","28-May-10"
"Granite Community Bank, NAA","Granite Bayy","CCA","57315","Tri Counties Bank","28-May-10"
"TierOne Bankk","Linncoln","NE","29341","Great Western Bank","4-Jun-10"
"First National Bank","RRosedale","MMS","15814","The Jefferrson Bank","4-Jun-10"
"Arcola Homestead Savings Bankk","Arcola","ILL","31813","","4-Jun-10"
"Washington First International Baank","Seattle","WAA","32955","East West Bankk","11-Jun-10"
"Nevada Security Bankk","RReno","NV","57110","Umpqua Bank","18-Jun-10"
"High Desert State Bankk","Albuquerquee","NNM","35279","First American Bankk","25-Jun-10"
"Penninsula Bank","Englewoodd","FLL","26563","Premier American Bank, N.A.","25-Jun-10"
"First National Bank","Savannahh","GGA","34152","The Savannah Bank, N.A..","25-Jun-10"
"Bay National Bank","Baltimoree","MD","35462","Bay Bank, FSBB","9-Jul-10"
"USA Bank","Port Chester","NYY","58072","New Century Bank","9-Jul-10"
"Home National Bank","Blackwelll","OK","11636","RCB Bankk","9-Jul-10"
"Ideal Federal Savings Bankk","Baltimoree","MD","32456","","9-Jul-10"
"Woodlands Bankk","Blufftonn","SCC","32571","Bank of the Ozarks","16-Jul-10"
"Olde Cypress Community Bank","Clewiston","FL","28864","CenterState Bank of Florida, N.A.","16-Jul-10"
"Mainstreet Savings Bank, FSBB","Hastings","MII","28136","Commercial Bankk","16-Jul-10"
"Turnberry Bank","Aventuraa","FL","32280","NAFH National Bank","16-Jul-10"
"Metro Bank of Dade Countty","Miami","FLL","25172","NAFH National Bank","16-Jul-10"
"First National Bank of the South","Spartanburgg","SCC","35383","NAFH National Bank","16-Jul-10"
"Williamsburg First National Bankk","Kingstreee","SC","17837","First Citizens Bank and Trust Company, Inc..","23-Jul-10"
"Sterling Bank","Lantana","FLL","32536","IBERIABANKK","23-Jul-10"
"SouthwestUSA Bank","Las Veggas","NV","35434","Plaza Bankk","23-Jul-10"
"Crescent Bank and Trust Companyy","Jasperr","GA","27559","Renasannt Bank","23-Jul-10"
"Community Security Bankk","New Praguee","MMN","34486","Roundbbank","23-Jul-10"
"Home Valley Bankk","Caave Junction","OR","23181","South Valley Bank & Trust","23-Jul-10"
"Thunder Bank","Syylvan Grove","KSS","10506","The Bennington State Bank","23-Jul-10"
"Coastal Community Bank","Panama City Beach","FLL","9619","Ceentennial Bank","30-Jul-10"
"Bayside Savings Bank","Port Saint Joe","FLL","57669","Centennial Bankk","30-Jul-10"
"The Cowlitz Bank","LLongview","WWA","22643","Heritage Bank","30-Jul-10"
"LibertyBankk","Eugenee","OR","31964","Home Federal  Bank","30-Jul-10"
"Northwest Bank & Trustt","Acworthh","GA","57658","State  Bank and Trust Company","30-Jul-10"
"Ravenswood Bankk","CChicago","IIL","34231","Northbrook Bank & Trust Company","6-Aug-10"
"Palos Bank and Trust Companyy","Palos Heightss","ILL","17599","First Midwest Bankk","13-Aug-10"
"Community National Bank at Bartoww","Bartoww","FFL","25266","CenterState Bank of Florida, N.A.","20-Aug-10"
"Independent National Bank","Ocaala","FL","27344","CenterState Bank of Floorida, N.A.","20-Aug-10"
"Los Padres Bankk","Soolvang","CCA","32165","Pacific Western Bankk","20-Aug-10"
"Butte Community Bankk","Chico","CA","33219","Rabobank, N.A..","20-Aug-10"
"Pacific State Bank","Stocktonn","CAA","27090","Rabobank, N.A..","20-Aug-10"
"Imperial SSavings and Loan Association","Martinsville","VAA","31623","River Community Bank, N.A..","20-Aug-10"
"ShoreBank","Chicago","ILL","15640","Urban Partnership Bankk","20-Aug-10"
"Sonoma Valley Bank","Sonomaa","CA","27259","Westamerica  Bank","20-Aug-10"
"Horizon Bank","Bradenton","FL","35061","Bank of the Ozarks","10-Sep-10"
"Firstt Commerce Community Bank","Douglasvville","GAA","57448","Community & Southern Bankk","17-Sep-10"
"Bank of Ellijayy","Ellijayy","GGA","58197","Community &  Southern Bank","17-Sep-10"
"The Peoples Bankk","Windder","GA","182","Community & Southern Bankk","17-Sep-10"
"ISN Bank","Cherry Hill","NNJ","57107","Customers Bankk","17-Sep-10"
"Bramble Savings Bank","Milford","OHH","27808","Foundation Bankk","17-Sep-10"
