"Nation","National anthem (original)","National anthem (English)","Date adopted","Lyricist","Composer"
"South Africa","National anthem of South Africa","","1997","C. J. Langenhoven","Marthinus Lourens de Villiers"
"South Sudan","South Sudan Oyee!","","2011","Students and teachers of Juba University, 2011","Students and teachers of Juba University, 2011"
"Spain","La Marcha Real","The Royal March","1770","",""
"Spain","La Marcha Real","The Royal March","1939","",""
"Sri Lanka","Sri Lanka Matha","Mother Sri Lanka","1951","Ananda Samarakoon","Ananda Samarakoon"
"Sudan","Nahnu Jund Allah Jund Al-watan","We Are the Army of God and of Our Land","1956","Sayyed Ahmed Mohammed Salih","Ahmad Murjan"
"Suriname","God zij met ons Suriname","God Be With Our Suriname","1959","Cornelis Atses Hoekstra","Johannes Corstianus de Puy"
"Suriname","God zij met ons Suriname","God Be With Our Suriname","1959","Henry de Ziel","Johannes Corstianus de Puy"
"Sweden","Du gamla, Du fria","Thou Ancient, Thou Free","","Richard Dybeck",""
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Leonhard Widmer","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Charles Chatelanat","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Camillo Valsangiacomo","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Flurin Camathias","Alberich Zwyssig"
"Syria","Humāt ad-Diyār","Guardians of the Homeland","1936","Khalil Mardam Bey","Mohammed Flayfel"
"Syria","Humāt ad-Diyār","Guardians of the Homeland","1936","Khalil Mardam Bey","Ahmad Salim Flayfel"
"Tajikistan","Surudi Milli","National Anthem","1991","Gulnazar Keldi","Suleiman Yudakov"
"Tanzania","Mungu ibariki Afrika","God Bless Africa","1961","","Enoch Sontonga"
"Thailand","Phleng Chat","National Song","1939","Luang Saranupraphan","Peter Feit"
"Togo","Salut à toi, pays de nos aïeux","Hail to Thee, Land of our Forefathers","1960","Alex Casimir-Dosseh","Alex Casimir-Dosseh"
"Tonga","Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga","Song of the King of the Tonga Islands","1875","Uelingatoni Ngū Tupoumalohi","Carl Gustav Schmitt"
"Trinidad and Tobago","Forged from the Love of Liberty","","1962","Patrick Castagne","Patrick Castagne"
"Tunisia","Humat al-Hima","Defenders of the Homeland","1987","Mustafa Sadiq Al-Rafi'i","Mohammed Abdel Wahab"
"Tunisia","Humat al-Hima","Defenders of the Homeland","1987","Aboul-Qacem Echebbi","Mohammed Abdel Wahab"
"Turkey","İstiklâl Marşı","The March of Independence","1921","Mehmet Akif Ersoy","Osman Zeki Üngör"
"Turkmenistan","Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni","The State Anthem of Independent and Neutral Turkmenistan","2008","","Veli Mukhatov"
"Tuvalu","Tuvalu mo te Atua","Tuvalu for the Almighty","1978","Afaese Manoa","Afaese Manoa"
"Uganda","Oh Uganda, Land of Beauty","","1962","George Wilberforce Kakoma","George Wilberforce Kakoma"
"Ukraine","Shche ne vmerla Ukraina","Ukraine's Glory Has Not Perished","1917","Pavlo Chubynsky","Mykhaylo Verbytsky"
"United Arab Emirates","Ishy Biladi","Long Live my Homeland","1971","Arif Al Sheikh Abdullah Al Hassan","Saad Abdel Wahab"
"United Kingdom","God Save the Queen","","","Henry Carey",""
"United States","The Star-Spangled Banner","","1931","Francis Scott Key","John Stafford Smith"
"Uruguay","Himno Nacional","National Anthem","1848","Francisco Acuña de Figueroa","Francisco José Debali"
"Uzbekistan","O`zbekiston Respublikasining Davlat Madhiyasi","National Anthem of the Republic of Uzbekistan","1991","Abdulla Aripov","Mutal Burhanov"
"Vanuatu","Yumi, Yumi, Yumi","We, We, We","1980","François Vincent Ayssav","François Vincent Ayssav"
"Vatican City","Marche Pontificale","Pontifical Anthem and March","1949","Antonio Allegra","Charles Gounod"
"Venezuela","Gloria al Bravo Pueblo","Glory to the Brave People","1881","Vicente Salias","Juan José Landaeta"
"Vietnam","Tiến Quân Ca","Marching Song","1945","Văn Cao","Văn Cao"
"Yemen","National anthem of Yemen","","1990","Abdallah Abdulwahab Noman","Ayoob Tarish"
"Zambia","Stand and Sing of Zambia, Proud and Free","","1964","","Enoch Sontonga"
"Zimbabwe","Simudzai Mureza WeZimbabwe","O Lift High The Banner Of Zimbabwe","1994","Solomon Mutswairo","Fred Changundega"
