"Nickname","Team","BirthPlace"
"Bizzy Bo","Orlando Magic","Lubumbashi"
"The Acrobatic from the Democratic (Republic of the Congo)","Orlando Magic","Lubumbashi"
"Blue","Utah Jazz","Washington, D.C."
"Cooz","Tri-Cities Blackhawks","Manhattan, New York"
"The Houdini of the Hardwood","Tri-Cities Blackhawks","Manhattan, New York"
"Bobby D","Milwaukee Bucks","Richmond, Virginia"
"Butterbean","Cincinnati Royals","Bastrop, Louisiana"
"Tea Time","Utah Jazz","Val d’Oise"
"The Natural","Minnesota Timberwolves","Seattle, Washington"
"Bones","Denver Nuggets","Hempstead (village), New York"
"The Custodian","Detroit Pistons","Tolono, Illinois"
"The White Mamba","New Jersey Nets","Long Beach, California"
"Splash Mountain","Brooklyn Nets","North Hollywood, Los Angeles"
"Big Country","Vancouver Grizzlies","Fort Smith, Arkansas"
"Buddy Love","New Orleans Pelicans","Freeport, Bahamas"
"Butch","Atlanta Hawks","Hardinsburg, Kentucky"
"Cadillac","San Antonio Spurs","Houston"
"Captain America","Portland Trail Blazers","Brooklyn"
"Hoodie Melo","Portland Trail Blazers","Brooklyn"
"Melo","Portland Trail Blazers","Brooklyn"
"The Patriot","Portland Trail Blazers","Brooklyn"
"Cornbread","Boston Celtics","Kinston, North Carolina"
"Boy Gorge","Houston Rockets","Leeds, Alabama"
"Chuck","Houston Rockets","Leeds, Alabama"
"Leaning Tower of Pizza","Houston Rockets","Leeds, Alabama"
"Pillsbury Dough Boy","Houston Rockets","Leeds, Alabama"
"Prince Charles","Houston Rockets","Leeds, Alabama"
"Sir Charles","Houston Rockets","Leeds, Alabama"
"The Crisco Kid","Houston Rockets","Leeds, Alabama"
"The Flying Coke Machine","Houston Rockets","Leeds, Alabama"
"The Human Refrigerator","Houston Rockets","Leeds, Alabama"
"The Round Mound of Rebound","Houston Rockets","Leeds, Alabama"
"Mr. Big Shot","Boston Celtics","Denver"
"Birdman","Cleveland Cavaliers","Long Beach, California"
"CB4","Miami Heat","Dallas"
"The Boshtrich","Miami Heat","Dallas"
"CP3","New Orleans Hornets","Winston-Salem, North Carolina"
"C-Webb","Orlando Magic","Detroit, Michigan"
"The Rifleman","Indiana Pacers","Brantley, Alabama"
"Clyde the Glide","Portland Trail Blazers","New Orleans"
"The Hawk","Atlanta Hawks","Brooklyn"
"Rhino","Minnesota Timberwolves","Inglewood, California"
"Curly","Harlem Globetrotters","Greensboro, North Carolina"
"DLo","Los Angeles Lakers","Louisville, Kentucky"
"Dame Dolla","Portland Trail Blazers","Oakland, California"
"Logo Lillard","Portland Trail Blazers","Oakland, California"
"Sub Zero","Portland Trail Blazers","Oakland, California"
"The World's Greatest Shooter","Cleveland Cavaliers","Galveston, Texas"
"The Flying Dutchman","Milwaukee Bucks","The Hague"
"Thunder Dan","Phoenix Suns","Traverse City, Michigan"
"Boobie","Cleveland Cavaliers","Houston"
"Il Gallo","New York Knicks","Sant'Angelo Lodigiano"
"The Rooster","New York Knicks","Sant'Angelo Lodigiano"
"The Human Victory Cigar","Detroit Pistons","Novi Sad"
"Dr. Dunk","Golden State Warriors","Sacramento, California"
"Dr. Dunkenstein","Utah Jazz","Louisville, Kentucky"
"Chocolate Thunder","Philadelphia 76ers","Orlando, Florida"
"The Rave","New York Knicks","Dallas, Texas"
"The Admiral","San Antonio Spurs","Key West, Florida"
"The Skywalker","Atlanta Hawks","Shelby, North Carolina"
"The Dream","New York Knicks","Walterboro, South Carolina"
"Deebo","Toronto Raptors","Compton, California"
"Boogie","Sacramento Kings","Mobile, Alabama"
"The Worm","Detroit Pistons","Trenton, New Jersey"
"3D","Orlando Magic","Hagerstown, Maryland"
"Zel","Chicago Bulls","Lansing, Michigan"
"D-Fish","Los Angeles Lakers","Little Rock, Arkansas"
"D-Will","Utah Jazz","Parkersburg, West Virginia"
"Band-Aid","Houston Rockets","New York City, New York"
"D-Rose","Detroit Pistons","Chicago"
"Windy City Assassin","Detroit Pistons","Chicago"
"Fall Back Baby","Syracuse Nationals","Gary, Indiana"
"Tricky Dick","New York Knicks","The Bronx, New York"
"The Original Sun","New York Knicks","Indianapolis, Indiana"
"Mt. Mutombo","Denver Nuggets","Republic of the Congo (Leopoldville)"
"3D","Panathinaikos Athens","Kastoria"
"Bavarian Bomber","Milwaukee Bucks","Würzburg"
"Dirk Diggler","Milwaukee Bucks","Würzburg"
"Dirk Savage","Milwaukee Bucks","Würzburg"
"Dirty","Milwaukee Bucks","Würzburg"
"German Wunderkind","Milwaukee Bucks","Würzburg"
"Tall Baller From The G","Milwaukee Bucks","Würzburg"
"The Berlin Tall","Milwaukee Bucks","Würzburg"
"The Big German","Milwaukee Bucks","Würzburg"
"The German Racecar","Milwaukee Bucks","Würzburg"
"The Germinator","Milwaukee Bucks","Würzburg"
"Doc","Atlanta Hawks","Chicago"
"Sabas Jr.","Orlando Magic","Portland, Oregon"
"The Human Highlight Film","Utah Jazz","Paris"
"Day-Day","Golden State Warriors","Saginaw, Michigan"
"Dray","Golden State Warriors","Saginaw, Michigan"
"The Dancing Bear","Golden State Warriors","Saginaw, Michigan"
"D12","Orlando Magic","Atlanta"
"Foul on You","Orlando Magic","Atlanta"
"Superman","Orlando Magic","Atlanta"
"D-Wade","Miami Heat","Chicago"
"Flash","Miami Heat","Chicago"
"The Goat","","Charleston, South Carolina"
"Black Jesus","Baltimore Bullets (1963–73)","Philadelphia"
"Black Magic","Baltimore Bullets (1963–73)","Philadelphia"
"Earl the Pearl","Baltimore Bullets (1963–73)","Philadelphia"
"Easy","St. Louis Bombers (NBA)","St. Louis, Missouri"
"Easy Ed","St. Louis Bombers (NBA)","St. Louis, Missouri"
"Socks","Los Angeles Clippers","Memphis, Tennessee"
"E","San Diego Rockets","Rayville, Louisiana"
"The Big E","San Diego Rockets","Rayville, Louisiana"
"The Bledshow","Milwaukee Bucks","Birmingham, Alabama"
"Ghostface Ilya","Milwaukee Bucks","Eskişehir"
"Turkish Thunder","Milwaukee Bucks","Eskişehir"
"Fat","Portland Trail Blazers","Pine Bluff, Arkansas"
"The French Prince","Strasbourg IG","Ixelles"
"Downtown Freddie","Seattle SuperSonics","Milwaukee, Wisconsin"
"The Mayor","Minnesota Timberwolves","Lincoln, Nebraska"
"Furk the Turk","Philadelphia 76ers","Bakırköy"
"GP","Seattle SuperSonics","Oakland, California"
"The Glove","Seattle SuperSonics","Oakland, California"
"Ice","Phoenix Suns","Detroit"
"Iceberg Slim","Phoenix Suns","Detroit"
"The Iceman","Phoenix Suns","Detroit"
"The Blind Bomber","Grand Rapids Hornets","Johnstown, Pennsylvania"
"Mr. Basketball","Minneapolis Lakers","Joliet, Illinois"
"The Big Number","Minneapolis Lakers","Joliet, Illinois"
"Crash","Sacramento Kings","Sylacauga, Alabama"
"G-Force","Sacramento Kings","Sylacauga, Alabama"
"Greek Freak","Milwaukee Bucks","Athens"
"The Alphabet","Milwaukee Bucks","Athens"
"Agent Zero","Golden State Warriors","Tampa, Florida"
"Black President","Golden State Warriors","Tampa, Florida"
"Gil","Golden State Warriors","Tampa, Florida"
"High-Noon","Golden State Warriors","Tampa, Florida"
"Nacho","Golden State Warriors","Tampa, Florida"
"The Gambler","Golden State Warriors","Tampa, Florida"
"The Hibachi","Golden State Warriors","Tampa, Florida"
"Big Baby","Seattle SuperSonics","Baton Rouge, Louisiana"
"Uno-Uno","Seattle SuperSonics","Baton Rouge, Louisiana"
"Big Dog","Milwaukee Bucks","Gary, Indiana"
"Goose","Harlem Globetrotters","El Dorado, Arkansas"
"Gold Dragon","Miami Heat","SR Slovenia"
"The Dragon","Miami Heat","SR Slovenia"
"G","Detroit Pistons","Dallas"
"G-money","Detroit Pistons","Dallas"
"Special K","Detroit Pistons","Panama City, Florida"
"Moose","Detroit Pistons","New Orleans, Louisiana"
"The Dancing Bear","Boston Celtics","Dreux"
"Honeycomb","Baltimore Bullets (1963–73)","Akron, Ohio"
"The Dream","Houston Rockets","Lagos"
"Happy","Sacramento Kings","Winston-Salem, North Carolina"
"Baby Jordan","Miami Heat","Inglewood, California"
"The Black Falcon","Sacramento Kings","Ames, Iowa"
"The Horse","New York Knicks","Roxana, Illinois"
"Lickface","Utah Jazz","Baltimore, Maryland"
"Hot Rod","Cincinnati Royals","Charleston, West Virginia"
"Shump","New York Knicks","Oak Park, Illinois"
"Cuts","Detroit Pistons","Chicago"
"The Baby-Faced Assassin","Detroit Pistons","Chicago"
"Zeke","Detroit Pistons","Chicago"
"JR Swish","New Orleans Hornets","Freehold Borough, New Jersey"
"Big J","Philadelphia 76ers","Fort Smith, Arkansas"
"Jah","Philadelphia 76ers","Fort Smith, Arkansas"
"Little Sully","Philadelphia 76ers","Fort Smith, Arkansas"
"Silk","Golden State Warriors","Berkeley, California"
"Crawssover Crawford","Phoenix Suns","Seattle"
"J Crossover","Phoenix Suns","Seattle"
"L.A.'s Dance Instructor","Phoenix Suns","Seattle"
"Mr And-One","Phoenix Suns","Seattle"
"The Blue Arrow","Denver Nuggets","Kitchener, Ontario"
"Crib Midget","Denver Nuggets","Chester, Pennsylvania"
"Mighty Mouse","Denver Nuggets","Chester, Pennsylvania"
"El Chapo","Houston Rockets","Los Angeles"
"The Beard","Houston Rockets","Los Angeles"
"Captain Late","Houston Rockets","Tallulah, Louisiana"
"The Late Mr. Silas","Houston Rockets","Tallulah, Louisiana"
"The Snake","Houston Rockets","Tallulah, Louisiana"
"Big Game James","Los Angeles Lakers","Gastonia, North Carolina"
"J-Kidd","New York Knicks","San Francisco"
"JET","Milwaukee Bucks","Seattle"
"White Chocolate","Sacramento Kings","Belle, West Virginia"
"Iron Man","Houston Rockets","Cheverly, Maryland"
"Uncle Jeff","Houston Rockets","Cheverly, Maryland"
"J.O","Portland Trail Blazers","Columbia, South Carolina"
"Junkyard Dog","Detroit Pistons","Washington, D.C."
"Hound","New York Guard","Pennsylvania"
"House","Philadelphia 76ers","Kinston, North Carolina"
"Stack","Philadelphia 76ers","Kinston, North Carolina"
"Mr. Clutch","Minneapolis Lakers","Chelyan, West Virginia"
"The Logo","Minneapolis Lakers","Chelyan, West Virginia"
"Bad News","New York Knicks","Tuckerman, Arkansas"
"Jungle Jim","Boston Celtics","San Francisco"
"Kangaroo Kid","Chicago Stags","Oakland, California"
"Jellybean","Golden State Warriors","Philadelphia, Pennsylvania"
"Jumping Joe","Detroit Pistons","Texas City, Texas"
"Pogo","Detroit Pistons","Texas City, Texas"
"The Process","Philadelphia 76ers","Yaoundé"
"Vanilla Gorilla","Houston Rockets","Monticello, Minnesota"
"Hot Rod","Cleveland Cavaliers","Sorrento, Louisiana"
"Hondo","Boston Celtics","Martins Ferry, Ohio"
"Spider","Detroit Pistons","Brooklyn, New York"
"Hot Plate","Washington Bullets","Los Angeles"
"Red","Syracuse Nationals","Chicago, Illinois"
"The Brockness Monster","Portland Trail Blazers","Snohomish, Washington"
"Jonny Mac","Cincinnati Royals","Franklin, Indiana"
"The Jewish Jordan","Duke Blue Devils men's basketball","Northbrook, Illinois"
"Juice","San Antonio Spurs","Houston"
"J-Mick","Boston Celtics","Dallas"
"J-Smoove","Atlanta Hawks","College Park, Georgia"
"Juancho","Denver Nuggets","Madrid"
"Dr. J","Milwaukee Bucks","New York City"
"The Black Panther","Los Angeles Lakers","Dallas"
"The Bosnian Beast","Chicago Bulls","Tuzla"
"A","Milwaukee Bucks","New York City"
"The Captain","Milwaukee Bucks","New York City"
"The Mailman","Utah Jazz","Summerfield, Louisiana"
"Big KAT","Minnesota Timberwolves","Piscataway, New Jersey"
"Special-K","Minnesota Timberwolves","Piscataway, New Jersey"
"The Big Meow","Minnesota Timberwolves","Piscataway, New Jersey"
"Sugar K","Indiana Pacers","Riverside, California"
"The Claw","Indiana Pacers","Riverside, California"
"Wave Papi","Atlanta Hawks","New Orleans"
"Cardiac Kemba","Charlotte Hornets","The Bronx"
"The Manimal","New York Knicks","Baltimore"
"The Jet","Sacramento Kings","Queens, New York"
"KCP","Detroit Pistons","Thomaston, Georgia"
"K-Mart","New Jersey Nets","Saginaw, Michigan"
"Durantula","Seattle SuperSonics","Washington, D.C."
"KD","Seattle SuperSonics","Washington, D.C."
"Slim Reaper","Seattle SuperSonics","Washington, D.C."
"Snake","Seattle SuperSonics","Washington, D.C."
"The Servant","Seattle SuperSonics","Washington, D.C."
"Big Ticket","Minnesota Timberwolves","Greenville, South Carolina"
"KG","Minnesota Timberwolves","Greenville, South Carolina"
"The Kid","Minnesota Timberwolves","Greenville, South Carolina"
"The Black Hole","Boston Celtics","Hibbing, Minnesota"
"Herman Munster","Boston Celtics","Hibbing, Minnesota"
"Little Drummer Boy","Baltimore Bullets (1963–73)","Chicago"
"Man Bear Pig","Chicago Bulls","Cayenne"
"Black Mamba","Charlotte Hornets","Philadelphia, Pennsylvania"
"KB-24","Charlotte Hornets","Philadelphia, Pennsylvania"
"Vino","Charlotte Hornets","Philadelphia, Pennsylvania"
"Big Sexy","Miami Heat","Dallas, Texas"
"Dirty Kurt","Miami Heat","Dallas, Texas"
"Mid Life","Miami Heat","Dallas, Texas"
"Kyriediculous","Cleveland Cavaliers","Melbourne"
"The Ankletaker","Cleveland Cavaliers","Melbourne"
"Uncle Drew","Cleveland Cavaliers","Melbourne"
"The Candy Man","Los Angeles Clippers","Queens"
"Born Ready","Indiana Pacers","Brooklyn"
"Larry Legend","Boston Celtics","West Baden Springs"
"The Great White Hope","Boston Celtics","West Baden Springs"
"Uncle Larry","Boston Celtics","West Baden Springs"
"The Hick from French Lick","Boston Celtics","West Baden Springs"
"Grandmama","Charlotte Hornets","Tyler, Texas"
"LJ","Charlotte Hornets","Tyler, Texas"
"Mr. Mean","Golden State Warriors","Rolling Fork, Mississippi"
"Spree","Golden State Warriors","Milwaukee"
"(The) L-Train","Cleveland Cavaliers","Akron, Ohio"
"Bron Bron","Cleveland Cavaliers","Akron, Ohio"
"King James","Cleveland Cavaliers","Akron, Ohio"
"LBJ","Cleveland Cavaliers","Akron, Ohio"
"The Akron Hammer","Cleveland Cavaliers","Akron, Ohio"
"The Chosen One","Cleveland Cavaliers","Akron, Ohio"
"The King","Cleveland Cavaliers","Akron, Ohio"
"(The) L-Train","Portland Trail Blazers","Arkansas City, Kansas"
"Sweet Lou","Los Angeles Clippers","Memphis, Tennessee"
"Moute Kicks Boute","Milwaukee Bucks","Yaoundé"
"The Prince","Milwaukee Bucks","Yaoundé"
"Ice Cream Man","Olimpia Milano","Buenos Aires"
"Buck","Los Angeles Lakers","Lansing, Michigan"
"E.J.","Los Angeles Lakers","Lansing, Michigan"
"Magic","Los Angeles Lakers","Lansing, Michigan"
"El Contusione","San Antonio Spurs","Bahía Blanca"
"Gino","San Antonio Spurs","Bahía Blanca"
"Manudona","San Antonio Spurs","Bahía Blanca"
"The Magician","San Antonio Spurs","Bahía Blanca"
"Big Spain","Los Angeles Lakers","Barcelona"
"The Big Burrito","Los Angeles Lakers","Barcelona"
"The Polish Hammer","Phoenix Suns","Łódź"
"Beli","San Antonio Spurs","San Giovanni in Persiceto"
"Mook","Los Angeles Clippers","Philadelphia"
"Super Mario","Orlando Magic","Dubrovnik"
"Mad Dog","Los Angeles Lakers","Walnut Creek, California"
"Mo' Buckets","Orlando Magic","St. Petersburg, Florida"
"Bad News","Philadelphia 76ers","Providence, Rhode Island"
"Delly","Milwaukee Bucks","Maryborough, Victoria"
"Big Mo","Rochester Royals","Pittsburgh, Pennsylvania"
"Slats","Detroit Pistons","Brooklyn"
"Meadowlark","Harlem Globetrotters","Wilmington, North Carolina"
"Memo","Detroit Pistons","Yalova"
"The Moneyman","Detroit Pistons","Yalova"
"Killer","New York Knicks","New York City, New York"
"Golden Arches","Washington Bullets","Lexington, Kentucky"
"Meyers Legend","Portland Trail Blazers","Woodbrigde"
"B-Easy","Los Angeles Lakers","Frederick, Maryland"
"Big Mike","Los Angeles Lakers","Frederick, Maryland"
"Super Cool Beas","Los Angeles Lakers","Frederick, Maryland"
"Air Jordan","Charlotte Hornets","Brooklyn"
"His Airness","Charlotte Hornets","Brooklyn"
"MJ","Charlotte Hornets","Brooklyn"
"The Black Cat","Charlotte Hornets","Brooklyn"
"The G.O.A.T","Charlotte Hornets","Brooklyn"
"MKG","Dallas Mavericks","Philadelphia"
"Kandi Man","Los Angeles Clippers","Lagos"
"Rags","New York Knicks","New York City"
"The Rock","St. John's Red Storm men's basketball","Fort Lauderdale, Florida"
"Mookie","New Jersey Nets","Garland, Texas"
"Muggsy","Washington Bullets","Baltimore, Maryland"
"Lady Magic","Phoenix Mercury","Brooklyn"
"Tiny","Cincinnati Royals","New York City, New York"
"KryptoNate","Phoenix Suns","Seattle, Washington"
"Sweetwater","Chicago Majors","Little Rock, Arkansas"
"Nasty Nick","Los Angeles Lakers","Kenosha, Wisconsin"
"Nick the Quick","Los Angeles Lakers","Kenosha, Wisconsin"
"Nick Van Excellent","Los Angeles Lakers","Kenosha, Wisconsin"
"Bean Burrito","Los Angeles Lakers","Los Angeles"
"Swaggy P","Los Angeles Lakers","Los Angeles"
"Uncle P","Los Angeles Lakers","Los Angeles"
"Sauce Castillo","Cleveland Cavaliers","Mississauga"
"Joker","Denver Nuggets","Sombor"
"The Big O","Cincinnati Royals","Charlotte, Tennessee"
"The Disappearing O","Cincinnati Royals","Charlotte, Tennessee"
"Holy Hand","New Jersey Nets","Natal, Rio Grande do Norte"
"Mão Santa","New Jersey Nets","Natal, Rio Grande do Norte"
"Spicy P","Toronto Raptors","Douala"
"The Beast of the East","New York Knicks","Kingston, Jamaica"
"Pitchin' Paul","Philadelphia Warriors","Philadelphia, Pennsylvania"
"PG-13","Indiana Pacers","Palmdale, California"
"Young Trece","Indiana Pacers","Palmdale, California"
"The Truth","Boston Celtics","Oakland, California"
"Peja","Sacramento Kings","Požega, Croatia"
"Penny","Golden State Warriors","Memphis, Tennessee"
"Never Nervous Pervis","Sacramento Kings","Savannah, Georgia"
"Out of Service Pervis","Sacramento Kings","Savannah, Georgia"
"Pistol Pete","Atlanta Hawks","Aliquippa, Pennsylvania"
"Pooh","Minnesota Timberwolves","Philadelphia"
"Popeye","Houston Rockets","Dresden, Tennessee"
"Skip To My Lou","Milwaukee Bucks","Queens"
"Fedex","Los Angeles Lakers","Louisville, Kentucky"
"Johnny","Los Angeles Lakers","Louisville, Kentucky"
"Swag","Los Angeles Lakers","Louisville, Kentucky"
"Sheed","Washington Bullets","Philadelphia"
"Jesus Shuttlesworth","Minnesota Timberwolves","Merced, California"
"Ray Ray","Minnesota Timberwolves","Merced, California"
"Sugar Ray","Minnesota Timberwolves","Merced, California"
"Red","Atlanta Hawks","Brooklyn"
"The Knick Killer","Indiana Pacers","Riverside, California"
"Rip","Washington Wizards","Coatesville, Pennsylvania"
"Get Buckets","Charlotte Hornets","Las Vegas"
"Grits 'N Gravy","Charlotte Hornets","Las Vegas"
"Ricky Buckets","Charlotte Hornets","Las Vegas"
"Wrong Rim Ricky","Charlotte Hornets","Las Vegas"
"Big Paper Daddy","Detroit Pistons","Dallas, Texas"
"The Dunkin' Dutchman","Indiana Pacers","Eindhoven"
"The Flying Dutchman","Indiana Pacers","Eindhoven"
"Big Shot Bob","Houston Rockets","Harford County, Maryland"
"Big Shot Rob","Houston Rockets","Harford County, Maryland"
"The Chief","Golden State Warriors","Shreveport, Louisiana"
"Tractor Traylor","Dallas Mavericks","Michigan"
"RoLo","Milwaukee Bucks","North Hollywood, Los Angeles"
"The Kobe Stopper","Los Angeles Lakers","Cleveland, Ohio"
"The Stifle Tower","Utah Jazz","Saint-Quentin, Aisne"
"Sam I Am","Houston Rockets","Baltimore"
"The Space-man","Houston Rockets","Baltimore"
"Sad Sam","Boston Celtics","Wilmington, North Carolina"
"Big Smooth","Dallas Mavericks","Brooklyn, New York"
"Sleepy Sam","Dallas Mavericks","Brooklyn, New York"
"Satch","Boston Celtics","New York City"
"Satch Sanders","Boston Celtics","New York City"
"The Thief","Philadelphia 76ers","Atlanta, Georgia"
"Air Congo","Seattle SuperSonics","Brazzaville"
"I-block-a","Seattle SuperSonics","Brazzaville"
"Serge Protector","Seattle SuperSonics","Brazzaville"
"El Chacho","Phoenix Suns","San Cristóbal de La Laguna"
"Big Shamrock","Orlando Magic","Newark, New Jersey"
"Diesel","Orlando Magic","Newark, New Jersey"
"MDE","Orlando Magic","Newark, New Jersey"
"O'Nealovic","Orlando Magic","Newark, New Jersey"
"Saškuille","Orlando Magic","Newark, New Jersey"
"Shaq","Orlando Magic","Newark, New Jersey"
"Shaq Attack","Orlando Magic","Newark, New Jersey"
"Shaq Daddy","Orlando Magic","Newark, New Jersey"
"Shaq Fu","Orlando Magic","Newark, New Jersey"
"Shaqovic","Orlando Magic","Newark, New Jersey"
"Superman","Orlando Magic","Newark, New Jersey"
"The Big Cordially","Orlando Magic","Newark, New Jersey"
"The Big Fella","Orlando Magic","Newark, New Jersey"
"The Big Maravich","Orlando Magic","Newark, New Jersey"
"The Big Shaqtus","Orlando Magic","Newark, New Jersey"
"Wilt Chamberneezy","Orlando Magic","Newark, New Jersey"
"The Enormous Mormon","Philadelphia 76ers","Landstuhl, Germany"
"The Family Man","Seattle SuperSonics","Elkhart, Indiana"
"The Reignman","Seattle SuperSonics","Elkhart, Indiana"
"The Matrix","Phoenix Suns","Waukegan, Illinois"
"El Sid","Milwaukee Bucks","Little Rock, Arkansas"
"Sid the Squid","Milwaukee Bucks","Little Rock, Arkansas"
"Sir Sid","Milwaukee Bucks","Little Rock, Arkansas"
"Sleepy","New Jersey Nets","Gastonia, North Carolina"
"Scrub","Étoile Sportive de Radès (basketball)","Brooklyn"
"Baby Shaq","Los Angeles Clippers","Tiko"
"Big Sofo","Los Angeles Clippers","Tiko"
"Speedy","Philadelphia 76ers","Hempstead (village), New York"
"Spud","Detroit Pistons","Dallas, Texas"
"Plastic Man","Atlanta Hawks","Pasadena, California"
"Baby-Faced Assassin","Golden State Warriors","Akron, Ohio"
"Chef Curry","Golden State Warriors","Akron, Ohio"
"Steph","Golden State Warriors","Akron, Ohio"
"The Golden Boy","Golden State Warriors","Akron, Ohio"
"Starbury","Milwaukee Bucks","Brooklyn"
"Stevie Franchise","Memphis Grizzlies","Takoma Park, Maryland"
"Hair Canada","Golden State Warriors","Johannesburg"
"Human Victory Cigar","Cibona Zagabria","Drniš"
"Stretch","Indianapolis Jets","Marion, Indiana"
"Old Man Riverwalk","San Antonio Spurs","Christiansted, U.S. Virgin Islands"
"Slam Duncan","San Antonio Spurs","Christiansted, U.S. Virgin Islands"
"The Big Fundamental","San Antonio Spurs","Christiansted, U.S. Virgin Islands"
"Tobi & Bobi","Philadelphia 76ers","Islip, New York"
"Googs","Atlanta Hawks","New York City"
"The Terminator","Washington Bullets","Fort Walton Beach, Florida"
"Ack Ack","Boston Celtics","Jersey City, New Jersey"
"Heinie","Boston Celtics","Jersey City, New Jersey"
"Tommy Gun","Boston Celtics","Jersey City, New Jersey"
"Croatian Sensation","Chicago Bulls","Socialist Republic of Croatia"
"Euro-Magic","Chicago Bulls","Socialist Republic of Croatia"
"The Waiter","Chicago Bulls","Socialist Republic of Croatia"
"T-Mac","Toronto Raptors","Bartow, Florida"
"The Alaskan Assassin","CSKA Moscow","Palo Alto, California"
"Machine Gun","Los Angeles Lakers","Clayton, Alabama"
"Tree","Atlanta Hawks","Winter Haven, Florida"
"Ariza Green","New York Knicks","Miami"
"Athreeza","New York Knicks","Miami"
"Cobra","New York Knicks","Miami"
"Switchblade","New York Knicks","Miami"
"Truck","Washington Bullets","Jacksonville, Florida"
"Kill Bill","Dallas Mavericks","Larissa"
"V-Span","Dallas Mavericks","Larissa"
"Air Canada","Golden State Warriors","Daytona Beach, Florida"
"Half Man Half Amazing","Golden State Warriors","Daytona Beach, Florida"
"Old Man Vince","Golden State Warriors","Daytona Beach, Florida"
"VC","Golden State Warriors","Daytona Beach, Florida"
"Vinsanity","Golden State Warriors","Daytona Beach, Florida"
"The Microwave","Seattle SuperSonics","Brooklyn, New York"
"Ukraine Train","Cleveland Cavaliers","Kiev"
"Bells","Chicago Packers","New Bern, North Carolina"
"Clyde","New York Knicks","Atlanta"
"Iron Man","Dallas Mavericks","San Antonio"
"The Big Dipper","Philadelphia Warriors","Philadelphia"
"Wilt the Stilt","Philadelphia Warriors","Philadelphia"
"The Prince of Midair","Philadelphia 76ers","Atlanta"
"World","Philadelphia 76ers","Atlanta"
"World B. Free","Philadelphia 76ers","Atlanta"
"The X-Man","Seattle SuperSonics","Columbia, South Carolina"
"Chairman Yao","Houston Rockets","Shanghai"
"Ming Dynasty","Houston Rockets","Shanghai"
"Shaquie Chan","Houston Rockets","Shanghai"
"The Great Wall of China","Houston Rockets","Shanghai"
"Z-Bo","Sacramento Kings","Marion, Indiana"
"Big Z","Cleveland Cavaliers","Kaunas"
"Ice Trae","Atlanta Hawks","Lubbock"
"Jimmy Buckets","Miami Heat","Houston"
"Red Velvet","Atlanta Hawks","Albany"
"Time Lord","Boston Celtics","Shreveport"
