"State/Province","Lake Name","File Size"
"Oklahoma","Stanley Draper Lake","1,513 KB"
"Oklahoma","Tenkiller Lake","627 KB"
"Oklahoma","Thunderbird, Lakee","457 KB"
"Oklahoma","Tom Steed Reservoirr","254 KB"
"Oklahoma","Webbers Falls Reeservoir","1,008 KB"
"Oklahoma","Wes Watkins Reservoirr","468 KB"
"Oregon","Simtustus, Lake * Also includes Lake Billy Chinook, OR","670 KB"
"Oregon","Wiickiup Reservoir","352 KB"
"Pennsylvania","Pittsburgh Rivers Shows navigation chart info for the Allegheny, Ohio, and Monongahela Rivers in the Pittsburgh areaa","4,559 KB"
"South Carolina","Keowee, Lake","1,504 KB"
"South Carolina","Wylie, Lake **","1,519 KB"
"South Dakota","Big Stone Lake","323 KB"
"Tennessee","Fort Loudoun Lake (updated 06//07/2004)","2,313 KB"
"Tennessee","J Percy Priest Reservoir (updated 06/07/2004)","1,499 KB"
"Texas","Alan Henry Reservoir **","224 KB"
"Texas","Alvaraado Park Lake","311 KB"
"Texas","Amistad, Lake *","1,619 KB"
"Texas","Arrowhead, Lake","481 KB"
"Texas","Bastrop, Lake **","309 KB"
"Texas","Baylor Creek Reservoir *","240 KB"
"Texas","Belton Lake Also includes Stillhouse Hollow Lake, TX","1,403 KB"
"Texas","Brady Creek Reservoir **","285 KB"
"Texas","Brandy Branch Reservoir **","256 KB"
"Texas","Bridgeport, Lakee","565 KB"
"Texas","Buffalo Creek Reservoir **","228 KB"
"Texas","Casa Blaanca, Lake *","421 KB"
"Texas","Cedar Creek Reservoir **","941 KB"
"Texas","Cherokee, Lake","408 KB"
"Texas","Clyde, Lake","239 KB"
"Texas","Coleman, Lakee","184 KB"
"Texas","Cooper  Lake","363 KB"
"Texas","Corrpus Christi, Lake","684 KB"
"Texas","E V Spence, Lake **","363 KB"
"Texas","Eagle Mountain Lakee","525 KB"
"Texas","Geoorgetown, Lake","412 KB"
"Texas","Gibbons Creek Reservoir","347 KB"
"Texas","Gladewater, Lakee","519 KB"
"Texas","Granbury, Lake *","667 KB"
"Texas","Greenbelt Reservoir","248 KB"
"Texas","Hawkins, Lake **","282 KB"
"Texas","Holbrook, Lake * Also includes Lake Fork Reservoir, TX and Lake Quitman, TX","981 KB"
"Texas","Jacksonville, Lake *","385 KB"
"Texas","Kickapoo, Lake","254 KB"
"Texas","Lake Fork Reservoir * (updated 05/02/2005) Also includes Lake Holbrook, TX and Lake Quitman, TX","981 KB"
"Texas","Limestone, Lake","382 KB"
"Texas","Lost Creek Lake **","258 KB"
"Texas","Lyndon B Johnson, Lake *","715 KB"
"Texas","MacKenzie Reservoir *","169 KB"
"Texas","McQueeney, Lake **","428 KB"
"Texas","Mexia, Lakee","260 KB"
"Texas","Millers Creek Reservoir **","186 KB"
"Texas","Nacogdoches, Lake","260 KB"
"Texas","Nasworthy, Lake * Also includes Twin Buttes Reservoir, TX","571 KB"
"Texas","Navarro Mills Lake","398 KB"
"Texas","Nocona, Lakee","274 KB"
"Texas","O' the Pinees, Lake (updated on 06/07/2004)","858 KB"
"Texas","Pinkston, Lake **","181 KB"
"Texas","Quitman, Lake * Also includes Lake Fork Reservoir, TX and Lake Holbrook, TXX","981 KB"
"Texas","Palo Pinto Lake *","208 KB"
"Texas","Pat Mayse Lakee","272 KB"
"Texas","Red Bluff Reservoir **","177 KB"
"Texas","Richlannd Chambers Reservoir","817 KB"
"Texas","Sheldon Reservoir **","1,221 KB"
"Texas","Somerrville Lake","421 KB"
"Texas","Stillhouse Hollow Lake Also includes Belton Lake, TX","1,403 KB"
"Texas","Texana, Lakee","579 KB"
"Texas","Tradinghhouse Creek Reservoir","478 KB"
"Texas","Twin Buttes Reservoir Also includes Lake Nasworthy, TX","571 KB"
"Texas","Tyler, Lakee","620 KB"
"Texas","Wacco Lake","663 KB"
"Texas","WWeatherford, Lake","355 KB"
"Texas","Welsh, Lakee","268 KB"
"Texas","White River Reservoir","105 KB"
"Texas","Wright Patman Lakke","647 KB"
"Utah","Jordanelle Reservoir","578 KB"
"Utah","Flaming Gorge Reservoirr","691 KB"
"Wyoming","Flaming Gorge Reservoirr","691 KB"
"Virginia","Anna, Lakee","1,110 KB"
"Virginia","Philpottt Lake","650 KB"
"West Virginia","Beech Fork Lake Also includes East Lynn Lake, WVV","688 KB"
"West Virginia","East Lynn Lake Also includes Beech Fork Lake, WV","688 KB"
"West Virginia","RD Bailey Lakee","340 KB"
"Wisconsin","Mendota, Lakee","451 KB"
"Wyoming","Glendo Reservoir **","293 KB"
"Wyoming","Jackson Lake","2,088 KB"
