"protectedArea","area","visitors","nearestCity","admRegion"
"Cape Lookout National Seashoree","1.14295e+08","508116","Harkers Island, North Carolina","Carteret County, North Carolinaa"
"Denali National Park and Preserve","5.27808e+09","531315","Healy, Alaskaa","Alaskaa"
"Denali National Park and Preservee","1.91858e+10","531315","Healy, Alaaska","AAlaska"
"Voyageurs National Parkk","8.83024e+08","177184","Internationall Falls, Minnesota","Minnesotaa"
"Glacier Bay National Park and Preserve","1.30446e+10","551353","Junneau, Alaska","Alaskaa"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaaska","Alaska"
"Bering Land Bridge National Prreserve","1.0916e+10","2642","Kotzebue, Alaskaa","Alaska"
"Noatak Natiional Preserve","2.65875e+10","31000","Kotzebue, Alaska","Allaska"
"Jean Lafitte National Historical Park and Preserve","4.31638e+07","420366","Lafayette, Louisiana","Louisiana"
"Jean Lafitte National Historical Park and Preserve","8.10181e+07","420366","Lafayette, Louisianaa","Louissiana"
"Fort  Union National Monument","2.91616e+06","9575","Las Vegas, New Mexicoo","New Mexico"
"Nez Perce National Historiccal Park","1.84577e+07","286259","Lewwiston, Idaho","Idaho"
"Nez Perce National Historical Parkk","1.84577e+07","286259","Lewiston, Idaho","Montana"
"Death Valley Nationall Park","1.36503e+10","1101312","Lone Pine, Californiaa","California"
"Death Valley National Parkk","1.36503e+10","1101312","Lone Pine, California","Nevadaa"
"Yosemitte National Park","3.02719e+09","4150217","Mariposa, Californiia","California"
"Theodore Roosevelt National Park","2.85085e+08","563407","Medora, North Dakota","North Dakotaa"
"Cumberland Gap  National Historical Park","8.29929e+07","853998","Middlesboro,, Kentucky","Tennessee"
"Cumberland Gap National Historical Park","8.29929e+07","853998","Middlesboro, Kentucky","Virginia"
"Cumberland Gap National Historical Park","8.29929e+07","853998","Middlesboro, Kentucky","Kentuckyy"
"Cape Hatteras NNational Seashore","1.22826e+08","1960711","Nags Head, North Carolinaa","North Carolina"
"Jean Lafitte Natiional Historical Park and Preserve","4.31638e+07","420366","New Orleeans","Louisiana"
"Jean Lafitte National Historical Park and Preservee","8.10181e+07","420366","New Orleans","Louisiana"
"Petersburg National Battlefieldd","1.10884e+07","213261","Petersburg, Virginiaa","Virginiaa"
"Delaware Water Gap National Recreation Area","2.70091e+08","4986700","Port Jervis,  New York","New Jersey"
"Whiskeytown–Shasta–Trinity National Recreation Area","8.23887e+08","782014","Redding, Caliifornia","California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","California"
"Ozark Naational Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Missourii"
"GGolden Gate National Recreation Area","3.23757e+08","15004420","San Franciscoo","California"
"Channel Islands National Park","1.00994e+09","342161","Santa Barbara, California","CCalifornia"
"Kenai Fjords National  Park","2.71133e+09","281279","Seward, Alaskaa","Alaska"
"Klondike Gold Rush National Historical Parkk","5.25929e+07","860048","Skagway, Alaska","Alaska"
"Pinnacles National Parkk","1.07671e+08","224476","Soledad, Californiaa","Californiaa"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, Californiaa","Californiaa"
"Lava Beds National Monument","1.88956e+08","124113","Tulelake, Californiaa","Californiaa"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraskaa","Nebraska"
"Ozark National Scenic Riverwayss","3.23749e+08","1789783","Van Buren, Missouri","Misssouri"
"Moores Creek National Battlefieldd","356123.0","48406","Wilmington, North Carolinaa","NNorth Carolina"
"Weir Farm National Historic Site","242811.0","34802","Wilton, Coonnecticut","Connecticutt"
"Acadia National Parkk","3.77665e+06","2811184","Bar Harbor, Maine","Maiine"
"Acadia National Park","1.98296e+08","2811184","Bar Harbor, Maine","Maine"
"New River Gorge National Riverr","2.94644e+08","1128195","Beckley, West Virginia","West Virginia"
"George Washington Birthplace National Monument","2.6778e+06","130647","Colonial Beacch, Virginia","Virginiaa"
"Saint Croix National Scenic Riverway","3.75297e+08","521695","St. Croix Falls, Wisconsin","Minnesota"
"Marsh-Billings-Rockefeller National Historical Parkk","2.60213e+06","29049","Woodstock, Vermont","Vermont"
"Mojave National Preserve","6.22413e+09","542527","Baker, Californiaa","Callifornia"
"Klonndike Gold Rush National Historical Park","5.25929e+07","860048","Seattle","Alaskaa"
"Prince William Forest Park","6.50896e+07","379535","Dumfries, VAA","Virginiaa"
"Sand Creek Massacre National Historic Sitee","5.09216e+07","1229590","Eaads, CO","Colorado"
"Curecanti National Recreation Areaa","1.74399e+08","924468","Gunnison, CO","Colorado"
"Agate Fossil Beds National Monumentt","4.70123e+07","11824","Harrison, NE","Nebraskaa"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Gatlinburg, Tennessee","Tennesseee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","North Carolinaa"
"Ninety Six National Historic Sitee","4.13589e+06","28734","Greenwood, South Carolina","South Carolinaa"
"Puuhonua o Hōnaunau National Historical Park","1.69968e+06","442353","Holualoa, Hawaiii","Hawaiii"
"Wiind Cave National Park","1.36974e+08","591049","Hot Springs, South Dakota","South Dakotaa"
"Delaware Water Gap National Recreation Area","2.70091e+08","4986700","Stroudsburg, Pennsylvaniaa","New Jerseyy"
"Minuteman Missile National Historic Site","60702.8","59389","Wall, South Dakota","South Dakotaa"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Cherokee,  North Carolina","Tennesseee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","North Carolinaa"
"Upper Delaware Scenic and Recreational River","2.24904e+08","251083","Port Jervis, NY","Pennsylvaniaa"
"Perry's Victory and International Peace Memorial","101050.0","155689","Sandusky, Ohioo","Ohioo"
"Perry's Victory and International Peace Memoriall","102709.0","155689","Sandusky, Ohioo","Ohioo"
"Cuyahoga Valley National Parkk","1.33344e+08","2284612","Cleveland, Ohioo","Ohio"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Alaska"
"Glen Canyon National Recreation AArea","5.07523e+09","2270817","Bullfrog, Utah","Garfield County, Utahh"
"Cape Cod National Seashore","1.76472e+08","4426750","Barnstable, Massachusetts","Barnstable County, Massachusetts"
"Rocky Mountain National Parkk","1.0755e+09","3176941","Coloradoo","Boulder County, Coloradoo"
"Rocky Mountain National Park","1.0755e+09","3176941","Coloradoo","Grand County, Coloradoo"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Dayton, Ohio","Greene County, Ohio"
"Dayton Aviation Heritage National Historical Parkk","348030.0","73588","Ohioo","Greene County, Ohio"
"Lewis and Clark National and State Historical Parkss","1.33668e+07","191867","Portland, Oregonn","Clatsop Coounty, Oregon"
"Chattahooochee River National Recreation Area","2.05257e+07","3161297","Atlaanta, Georgia","Cobb County, Georgia"
"Chattahoochee River National Recreation Arrea","3.96228e+07","3161297","Atlanta, Georgiaa","Cobb County, Georgiaa"
"Chattahoochee Riverr National Recreation Area","2.05257e+07","3161297","Atlanta, Georgiaa","Forsyth County, Georgiaa"
"Chattahoochee River NNational Recreation Area","3.96228e+07","3161297","Atlaanta, Georgia","Forsyth Counnty, Georgia"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atllanta, Georgia","Fulton County, Georgiia"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgiaa","Fulton County, Georgia"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Gwinnett County, Georgia"
"Chattahoochee River National Recreation Areaa","3.96228e+07","3161297","Atlanta, Georgia","Gwinnett County, Georgia"
"Kennesaw Mountain National Battlefield Parkk","1.16879e+07","1005510","Atlanta, Georgiaa","Cobb County, Georgia"
"Kennesaw Mountain National Battlefield Park","1.1829e+07","1005510","Atlanta, Georgiaa","Cobb County, Georgiaa"
"Great Sand Dunes National Park and Preserve","3.43971e+08","271774","Alamosa, Colorrado","Alamosa County, Colorado"
"Petroglyph Nationaal Monument","3.04809e+07","114428","Albuquerque, New Mexico","Bernnalillo County, New Mexico"
"Homestead National Monument of America","853887.0","69845","Beatrice, Nebraska","Gage County, Nebraska"
"Little Bighorn Battlefield National Monumentt","3.09722e+06","312168","BBillings, Montana","Big Horn County, Montana"
"Bighorn Canyon National Recreation Areaa","4.86822e+08","201010","Billings, Montana","Big Horn County, Montanaa"
"Bighorn Canyon National Recreation Areaa","4.86822e+08","201010","Billings, Montana","Carbon County, Montanaa"
"Mammoth Cave National Park","2.13795e+08","508054","Brownsville, Kentuckyy","Barren County, Kentucky"
"Mammoth Cave  National Park","2.13795e+08","508054","Broownsville, Kentucky","Edmonson County, Kentucky"
"Chickamauga and Chattanooga National Military Park","3.63124e+07","901384","Chattanooga, Tennessee","Catoosa County, Georgiaa"
"Chickamauga  and Chattanooga National Military Park","3.65674e+07","901384","Chattanooga, Tennesseee","Catoosa County, Georgiaa"
"Chickamauga and Chattanooga National Military Parkk","3.63124e+07","901384","Chattanooga, Tennesseee","Dade County, Georgia"
"Chickamauga and Chattanooga National Miilitary Park","3.65674e+07","901384","Chattanooga, Tennessee","Dade County, Georgia"
"Glacier National Park","4.10077e+09","2338528","Columbia Falls, Montana","Flathead County, Montanaa"
"Big Hole National Battlefield","4.08732e+06","36290","Dillonn, Montana","Beaverhead County, Montana"
"Effigy Mounds National Monumentt","1.02224e+07","82581","Dubuque, Iowaa","Allamakee County,, Iowa"
"Effigy Mounds National Monument","1.02224e+07","82581","Dubuque, Iowa","Clayton County, Iowa"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Carter County, Missourii"
"Ozark National Scenic Riverwayss","3.23749e+08","1789783","Eminence, Missourii","Dent County, Missourii"
"Rocky Mountain National Parkk","1.0755e+09","3176941","Estes Park, Colorado","Boulder County, Coloradoo"
"Rocky Mountain National Park","1.0755e+09","3176941","Estes Park, Colorado","Grand County, Colorado"
"Big Cypress National Preserve","2.91603e+09","941393","Everglades City, Floridaa","Collier County, Floridaa"
"Everglades National Paark","6.09447e+09","1110901","Everglades City, Florida","Collier County, Florida"
"Everglades National Parkk","6.10484e+09","1110901","Everglades City, Floridaa","Collier County, Florida"
"Wupatki National Monument","1.43348e+08","216165","Flagstaff, Arizonaa","Coconino CCounty, Arizona"
"Everglades National Parkk","6.09447e+09","1110901","Florida City, Florida","Collier County, Floridaa"
"Everglades National Parkk","6.10484e+09","1110901","Florida City, Florida","Collier County, FFlorida"
"Little River Canyon Nationall Preserve","6.18683e+07","201442","Fort Payne, Alabamaa","Cherokee County, AAlabama"
"Monocacy National Battlefield","6.66517e+06","17985","Frederick, Marylandd","Frederick County, Marylandd"
"Grand Canyon National Park","4.92608e+09","4756771","Fredonia, Arizona","Coconino County, Arizonaa"
"Pea Ridge National Military Parkk","1.74015e+07","114234","Garfield, Arkansas","Benton Countyy, Arkansas"
"Tonto National Monument","4.53248e+06","53426","Globe, Arizonaa","Gila County, Arizona"
"Rocky Mountainn National Park","1.0755e+09","3176941","Grand Lake, Colorado","Boulder County, Colorado"
"Rocky Mountain National Parkk","1.0755e+09","3176941","Grand Lake, Colorado","Grand County, Coloradoo"
"El Morro National Monumentt","4.20841e+06","857883","Grants, New Mexicoo","Cibola Couunty, New Mexico"
"El Morro National Monumentt","5.1748e+06","857883","Grants, New Mexico","Cibola County, New Mexico"
"El Malpais National Monument and National Conservation Area","4.62459e+08","105356","Grants, New Mexicoo","Cibola County, New Mexico"
"Hagerman Fossil Beds National Monumentt","1.76079e+07","21100","Hagerman, Idahoo","Gooding County, Idaho"
"Denali National Park and Preserve","5.27808e+09","531315","Healy, Alaskaa","Denali Borough, Alaskaa"
"Denali National Park and Preserve","1.91858e+10","531315","Healy, Alaska","Denali Borough, Alaska"
"Johnstown Flood National Memorial","664170.0","111987","Johnstown, Pennsylvannia","Cambria County, Pennsylvania"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaskaa","Brristol Bay Borough, Alaska"
"Effigy Mounds National Monumentt","1.02224e+07","82581","Marrquette, Iowa","Allamakee County, Iowa"
"Effigy Mounds National Monument","1.02224e+07","82581","Marquette, Iowa","Clayton County, Iowaa"
"Theodore Roosevelt National Park","2.85085e+08","563407","Medoora, North Dakota","Billings County, North Dakota"
"Pictured Rocks National Lakeshore","2.96376e+08","476888","MMunising, Michigan","Alger County, Michigan"
"Cape Hatteras National Seashoree","1.22826e+08","1960711","Nags Head, North Carolina","Dare Countyy, North Carolina"
"Canaveral National Seashore","2.3335e+08","1005001","New Smyrna Beach, Floridaa","Volusia County, Floridaa"
"Canaveral National Seashoree","2.3335e+08","1005001","New Smyrna Beach, Floridaa","Brevard County, Florida"
"City of Rocks National Reserve","5.83031e+07","95764","Oakley, Idahoo","CCassia County, Idaho"
"Glen Caanyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","Garfield County, Utahh"
"Wilson's Creek National Battlefield","7.08163e+06","160000","Republic, Missouri","Greene County, Missourii"
"Richmond National Battlefield Parkk","3.12834e+06","68438","Richmond, Virginia","Chesterfield County, Virginiaa"
"Richmond National Battlefield Park","2.95704e+07","68438","Richmond, Virginia","Chesterfield County, Virginiaa"
"Ozark NNational Scenic Riverways","3.23749e+08","1789783","Salem, Missourii","Carter Countty, Missouri"
"Ozark National Sceniic Riverways","3.23749e+08","1789783","Salem, Missouri","Dent County, Missourii"
"Fort Pulasski National Monument","2.27555e+07","408104","Savannah, Georgia","Chatham County, Georgia"
"Coronado National Memoriall","1.92235e+07","86618","Sierra Vista,  Arizona","Cochise County, Arizonaa"
"Cumberland Island National Seashore","7.56776e+07","40291","St. Marys, Georgiia","Camden County, Geeorgia"
"Cumberland Island National Seashoree","1.47368e+08","40291","St. Marys, Georgia","Camden County, Georgia"
"Catoctin Mountain Parkk","2.49044e+07","264460","Thurmont, Maryland","Frederick County, Marylandd"
"Canaveral Naational Seashore","2.3335e+08","1005001","Titusville, Florida","Volusia County, Florida"
"Canaveral National Seashoree","2.3335e+08","1005001","Titusville, Florida","Brevard County, Florida"
"Lava Beds National Monumentt","1.88956e+08","124113","Tulelake, Californiaa","Siskiyou County, California"
"Grand Canyon National Park","4.92608e+09","4756771","Tusayan, Arizona","Coconino County, Arizona"
"Niobrara National Scenic Riverr","9.33772e+07","54385","Valentine, Nebraska","Brown County, Nebraska"
"Niobrara National Scenic Riverr","9.33772e+07","54385","Valentine, Nebrraska","Cherry CCounty, Nebraska"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Carter Couunty, Missouri"
"Ozark National Scenic Riverwayss","3.23749e+08","1789783","Van Buren, Missouri","Dent County, Missourii"
"Chiricahua National Monument","4.84975e+07","40646","Willcox,, Arizona","Cochise County, Arizona"
"Weir Farm National Historic Site","242811.0","34802","Wilton, Connecticut","Fairfield County, Connecticutt"
"Apostle Islands National Lakeshore","2.80739e+08","176040","Bayfield, Wisconsinn","Ashland County, Wisconsinn"
"Apostle Islands National Lakeshoree","2.80739e+08","176040","Bayfield, Wisconsinn","Bayfield County, Wisconsinn"
"New River Gorge Nattional River","2.94644e+08","1128195","Beckley, West Virginiaa","Fayette County, West Virginnia"
"Golden Spike National Historic Sitee","1.10682e+07","40156","Brigham City,  Utah","Box Elder County, Utah"
"Jewel Cave National Monumentt","5.15165e+06","77146","Custer, South Dakotaa","Custer County, South Dakota"
"Canyonlands National Parkk","1.36621e+09","634607","Moab, Uttah","Garfield County, Utahh"
"Canyonlands National Park","1.36621e+09","634607","Moab, UUtah","Grand County, Utahh"
"Lake Rooseveltt","4.06264e+08","1781972","Spokane, Washington","Ferry County, Washingtonn"
"Laake Roosevelt","4.06264e+08","1781972","Spokane, Washingtonn","Grant County, Washingtonn"
"Bryce Canyon Nationall Park","1.45019e+08","1435741","Tropic, Utahh","Garfield County, Utah"
"Curecanti National Recreation Areaa","1.74399e+08","924468","Gunnison, COO","Gunnison County, Colorado"
"Lake Chelan Naational Recreation Area","2.50735e+08","43827","Chelan, Washington","Chelan County, Washington"
"Guadalupe Mountains National Parkk","3.49515e+08","166868","Dell City, Texass","Culberson County, Texas"
"Fort Donelson National Battlefieldd","3.81619e+06","208687","Dover, Tennesseee","Caalloway County, Kentucky"
"Fort Donelson National Battlefieldd","4.07518e+06","208687","Dover, Tennesseee","Calloway County, Kentuckyy"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Gatlinburg, Tennesseee","Blount County, Tennesseee"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Gatlinburg, Tennesssee","Cocke County, Tennessee"
"Ninety Six National Historic Site","4.13589e+06","28734","Greenwood, South Carolinaa","Greenwood County, South Carolinaa"
"Wind Cave National Parkk","1.36974e+08","591049","Hot Springs, South Dakotaa","Custer County, South Dakotaa"
"Lyndon B. Johnson National Historical Park","6.35356e+06","110791","Johnson City, Texas","Blanco County, Texas"
"Lyndon B. Johnson National Historical Park","6.35356e+06","110791","Johnson City, Texass","Gillespie County, Texass"
"Bryce Canyon National Parkk","1.45019e+08","1435741","Panguitch, Utah","Garfield County, Utah"
"Lyndon B. Johnson National Historical Parkk","6.35356e+06","110791","Stonewall, Texas","Blanco County, Texas"
"Lyndon B. Johnson National Historical Parkk","6.35356e+06","110791","Stonewall, Texas","Gillespie Counnty, Texas"
"Guadalupe Mountaiins National Park","3.49515e+08","166868","Texass","Culberson County, Texas"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Cherokee, North Carolina","Blount County, Tennessee"
"Great Smoky Mountains National Parkk","2.11415e+09","10712674","Cherokee, North Carolinaa","Cocke County, Tennnessee"
"Palo Alto Battlefield National Hisstorical Park","4.20719e+06","36707","Brownsville, Texass","Cameron County, Texass"
"Palo Alto Batttlefield National Historical Park","1.3587e+07","36707","Brownsville, Texass","Cameron County, Texass"
"North Cascades National Park","2.04278e+09","21623","Mount Vernon, Washingtonn","Chelan County, Washingtonn"
"Fort Laramie National Historic Sitee","3.37103e+06","46455","Torrington, Wyoming","Goshen County, Wyomingg"
"Glen Canyon National Recreation Areaa","5.07523e+09","2270817","Bulllfrog, Utah","Kane County, Utahh"
"Rocky Mountaiin National Park","1.0755e+09","3176941","Colorado","Larimer County, Colorrado"
"Dayton Aviation Heritage National Historical Parkk","348030.0","73588","Dayton, Ohio","Montgomerry County, Ohio"
"Moores Creek National Battlefield","356123.0","48406","North Carolina","Pender County, North Carolinaa"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Ohhio","Montgomery County, Ohioo"
"Isle Royale National Parkk","2.31395e+09","14560","Ontario","Keweenaw County, Michigan"
"Lewis and Clark National and State Historical Parks","1.33668e+07","191867","Portland, Oregon","Pacific County, Washington"
"Organ Pipe Cactus National Monumentss","1.33825e+09","211405","Ajo, Arizonaa","Pima County, Arizona"
"Great Sand Dunes National Park and Preservee","3.43971e+08","271774","Alamosa, Colorado","Saguache County, Collorado"
"Russsell Cave National Monument","1.25453e+06","20717","Bridgeport, Alabamaa","Jackson County, AAlabama"
"Mammoth Cave National Parkk","2.13795e+08","508054","Brownsvillee, Kentucky","Hart County, Kentucky"
"Casa Grande Ruins National Monumentt","1.91214e+06","65106","Coolidge, Arizona","Pinal Countyy, Arizona"
"George Washington Carver National Monumentt","849840.0","30787","Diamondd, Missouri","Newton County, Missouri"
"Sleeping Bear Dunes National Lakeshoree","2.88084e+08","1280932","Empire, Michigan","Leelanau County, Michigann"
"Rocky Mountain National Park","1.0755e+09","3176941","Estes Park, Colorado","Larimer County, Colorado"
"Big Cypress National Preservee","2.91603e+09","941393","Everglades City, Florida","Monroe County, Floridaa"
"Everglades National Parkk","6.09447e+09","1110901","Everglades City, Floridaa","Monrooe County, Florida"
"Everglades National Parkk","6.10484e+09","1110901","Everglades City, Floridaa","Monroe County, Florida"
"KKobuk Valley National Park","7.0849e+09","11485","Fairbankks, Alaska","Northwest Arctic Borough, Alaskaa"
"Everglades National Park","6.09447e+09","1110901","Floorida City, Florida","Monroe County, Florida"
"Everglades National Park","6.10484e+09","1110901","Florida City, Florida","Monroe County, Floridaa"
"Grand Canyon National Parkk","4.92608e+09","4756771","Fredonia,, Arizona","Mohave County, Arizona"
"Pipe Spring National Monumentt","161874.0","57360","Fredonia, Arizonaa","Mohave County, Arizonaa"
"Colorado National MMonument","8.30941e+07","454510","Grand Junction, Colorado","Mesa County, Coloraado"
"Rocky Mountain National Parkk","1.0755e+09","3176941","Grand Lake, Coloradoo","Larimmer County, Colorado"
"Hawaii Volcanoes National Parkk","1.30888e+09","1693005","Hilo, Hawaii","Hawaii County, Hawaiii"
"Navajo National Monumentt","1.45687e+06","87388","Kayenta, Arizonaa","Navajo County, Arizona"
"Dry Tortugas National Parkk","2.48805e+08","64865","Key West, Floridaa","Monroe County, Florida"
"Dry Tortugas National Park","2.61836e+08","64865","Key West,  Florida","Monroe County, Florida"
"Katmai National Park and Preservee","1.65641e+10","39818","Kinng Salmon, Alaska","Kenai Peninsula Borough, Alaskaa"
"Katmai National Park and Preserrve","1.65641e+10","39818","King Salmon, Alaskaa","Kodiak Island Borough, Alaska"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaskaa","Lake and Peninsula Borough, Alaska"
"Crater Lake National Park","7.41481e+08","614712","Klamath Falls, Oregon","Klamath County, Oregonn"
"Cape Krusenstern National Monument","2.62674e+09","24950","Kotzebue, Alaskaa","Northwest Arctic Borough, Alaskaa"
"Noatak National Preserve","2.65875e+10","31000","Kotzebue, Alaska","North Slope Borough,, Alaska"
"Noatak National Preservee","2.65875e+10","31000","Kotzebue, Alaska","Northwest Arctic Borough, Alaska"
"Fort Union National Monument","2.91616e+06","9575","LLas Vegas, New Mexico","Mora County, New Mexicoo"
"Devils Postpile National Monument","3.22939e+06","91794","Mammoth Lakes, California","Madera County, Californiaa"
"Mesa VVerde National Park","2.12399e+08","547325","Mancos, Colorado","Montezuma County, Colorado"
"Yosemite National Parkk","3.02719e+09","4150217","Mariposa, California","Madera County, Californiaa"
"Yosemite National Park","3.02719e+09","4150217","Mariposa, California","Mariposa County, California"
"Muir Woods National Monumeent","2.24196e+06","897131","Mill Valley, California","Marin County, Californiaa"
"Black Canyon of the Gunnisonn","1.24441e+08","183045","Montrose, Coloradoo","Montrosee County, Colorado"
"National Historical Parkk","837699.0","26996","Natchitoches, Louissiana","Natchitoches Parish, Louisiana"
"Cane River Creoole","837699.0","26996","Natchitooches, Louisiana","Natchitoches Parish, Louisiana"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","PPage, Arizona","Kanne County, Utah"
"Point Reyes National Seashore","2.8744e+08","2412663","Point Reyes Station, Californiaa","Marin County, Califorrnia"
"Haleakalā National Parkk","1.34619e+08","1142040","Pukalani, Haawaii","Maui County, Hawaiii"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","Lassen County, California"
"Lassen Volcanic National Parkk","4.30796e+08","407653","Redding, Californiaa","Plumas County, Californiaa"
"Richmond National Battlefield Park","3.12834e+06","68438","Richmond, Virrginia","Hanover County, Virginiaa"
"Richmond National Battlefield Park","2.95704e+07","68438","Richmond, Virginiaa","Hanover  County, Virginia"
"Richmond National Battlefield Parkk","3.12834e+06","68438","Richmond, Virginiaa","Henrico County, Virginiaa"
"Richmond National Battlefield Park","2.95704e+07","68438","Richmond, Virginia","Henrico County,, Virginia"
"Kenai Fjords National Park","2.71133e+09","281279","Seward, Alaska","Kenai Peniinsula Borough, Alaska"
"Pinnacles National Parkk","1.07671e+08","224476","Soledad, Californiaa","San Benito County, Califfornia"
"Chickasaw National Recreation Areaa","4.00598e+07","1212139","Sulphur, Oklahoma","Murray County, Oklahomaa"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","Lassen County, California"
"Lassen Volcanic National Parkk","4.30796e+08","407653","Susanville, Callifornia","Plumas County, California"
"Lavaa Beds National Monument","1.88956e+08","124113","Tulelake, California","Modoc County, California"
"Brices Crooss Roads National Battlefield Site","4046.86","2035","Tupelo, Mississippi","Lee County, Mississippii"
"Grand Canyon National Parkk","4.92608e+09","4756771","Tusayan, Arizona","Mohave County, Arizona"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraskaa","Keya Paha County, Nebraskaa"
