"Country","Region","City"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Santa Luciaa"
"Italy","Tuscany","Santa Lucia"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Santa Lucía"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucíaa"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santta Lucía"
"Honduras","Francisco Morazan","Santa Lucíaa"
"Ecuador","Guayas","Santta Lucía"
"Cuba","Holguin","Santa Lucíaa"
"Honduras","Ocotepeque","Santa Lucía"
"Peru","Puno","Santa Luccía"
"Argentina","San Juan","Santa Lucía"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingoo"
"Philippines","Cagayan Valley","Santo Domingoo"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Santo Doomingo"
"Panama","Chiriqui","Santo Domingoo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Santo Domingoo"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","Santo Domingo"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Santo Domingo"
"Mexico","San Luis Potosi","Santo DDomingo"
"Cuba","Villa Clara","Santo Domingoo"
"Australia","Queensland","Springfieldd"
"Chile","Araucania","Victoria"
"Romania","Botosani","Victoriaa"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","VVictoria"
"El Salvador","Cabanas","Victorria"
"Philippines","Calabarzon","Victoriaa"
"Colombia","Caldas","Victoriaa"
"Philippines","Central Luzon","Victoriaa"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoriaa"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoriia"
"Romania","Iasi","Victoria"
"Malaysia","Labuan","VVictoria"
"Philippines","Mimaropa","Victoria"
"Grenada","Saint Mark","Victoria"
"Malta","Gozo","Victooria"
"United Kingdom","Wales","Victoriaa"
"Honduras","Yoro","Victtoria"
