"Rank","Name","Countries with shoreline","Area","Length","Maximum depth","Water volume"
"37","Khanka","Russia","4,190 km2 (1,620 sq mi)","90 km (56 mi)","10.6 m (35 ft)","18.3 km3 (4.4 cu mi)"
"38","Sarygamysh","Uzbekistan","3,955 km2 (1,527 sq mi)","125 km (78 mi)","40 m (130 ft)","68.56 km3 (16.45 cu mi)"
"38","Sarygamysh","Turkmenistan","3,955 km2 (1,527 sq mi)","125 km (78 mi)","40 m (130 ft)","68.56 km3 (16.45 cu mi)"
"39","Dubawnt","Canada","3,833 km2 (1,480 sq mi)","","",""
"40","Van","Turkey","3,755 km2 (1,450 sq mi)","119 km (74 mi)","451 m (1,480 ft)","607 km3 (146 cu mi)"
"41","Peipus","Estonia","3,555 km2 (1,373 sq mi)","","15.3 m (50 ft)","25 km3 (6.0 cu mi)"
"41","Peipus","Russia","3,555 km2 (1,373 sq mi)","","15.3 m (50 ft)","25 km3 (6.0 cu mi)"
"42","Uvs","Mongolia","3,350 km2 (1,290 sq mi)","84 km (52 mi)","",""
"43","Poyang","China","3,210 km2 (1,240 sq mi)","170 km (110 mi)","25.1 m (82 ft)","25.2 km3 (6.0 cu mi)"
"44","Tana","Ethiopia","3,200 km2 (1,200 sq mi)","84 km (52 mi)","15 m (49 ft)",""
"45","Amadjuak","Canada","3,115 km2 (1,203 sq mi)","","",""
"46","Melville","Canada","3,069 km2 (1,185 sq mi)","","",""
"47","Bangweulu","Zambia","3,000 km2 (1,200 sq mi)","75 km (47 mi)","4 m (13 ft)",""
