"Country","Region","City"
"Mexico","Baja California Sur","San Francisco"
"Philippines","Bicol","San Francisco"
"Philippines","Calabarzon","San Francisco"
"United States","California","San Francisco"
"Philippines","Caraga","San Francisco"
"Philippines","Central Luzon","San Francisco"
"Philippines","Central Visayas","San Francisco"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Francisco"
"Philippines","Eastern Visayas","San Francisco"
"Mexico","Guerrero","San Francisco"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San Francisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","San Francisco"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","San Francisco"
"Venezuela","Zulia","San Francisco"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Jose"
"Philippines","Calabarzon","San Jose"
"United States","California","San Jose"
"Philippines","Caraga","San Jose"
"Philippines","Central Luzon","San Jose"
"Philippines","Central Visayas","San Jose"
"Philippines","Eastern Visayas","San Jose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","San Jose"
"Philippines","Western Visayas","San Jose"
"Costa Rica","Alajuela","San José"
"Spain","Andalusia","San José"
"Paraguay","Caaguazu","San José"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San José"
"Mexico","Hidalgo","San José"
"Honduras","La Paz","San José"
"Peru","Lambayeque","San José"
"Panama","Los Santos","San José"
"Argentina","Misiones","San José"
"Colombia","Narino","San José"
"Panama","Panama Oeste","San José"
"Guatemala","Peten","San José"
"Mexico","Puebla","San José"
"Costa Rica","San Jose","San José"
"Panama","Veraguas","San José"
"Honduras","Yoro","San José"
"Philippines","Calabarzon","Santa Lucia"
"Italy","Campania","Santa Lucia"
"Philippines","Central Luzon","Santa Lucia"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Santa Lucia"
"Italy","Tuscany","Santa Lucia"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Santa Lucía"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucía"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santa Lucía"
"Honduras","Francisco Morazan","Santa Lucía"
"Ecuador","Guayas","Santa Lucía"
"Cuba","Holguin","Santa Lucía"
"Honduras","Ocotepeque","Santa Lucía"
"Peru","Puno","Santa Lucía"
"Argentina","San Juan","Santa Lucía"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingo"
"Philippines","Cagayan Valley","Santo Domingo"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Santo Domingo"
"Panama","Chiriqui","Santo Domingo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Santo Domingo"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","Santo Domingo"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Santo Domingo"
"Mexico","San Luis Potosi","Santo Domingo"
"Cuba","Villa Clara","Santo Domingo"
"United States","Georgia","Sparta"
"United States","Illinois","Sparta"
"United States","Michigan","Sparta"
"United States","Missouri","Sparta"
"United States","North Carolina","Sparta"
"United States","Tennessee","Sparta"
"United States","Wisconsin","Sparta"
"United States","Colorado","Springfield"
"United States","Florida","Springfield"
"United States","Georgia","Springfield"
"United States","Illinois","Springfield"
"United States","Kentucky","Springfield"
"United States","Massachusetts","Springfield"
"United States","Michigan","Springfield"
"United States","Minnesota","Springfield"
"United States","Missouri","Springfield"
"United States","Nebraska","Springfield"
"United States","New Hampshire","Springfield"
"United States","New Jersey","Springfield"
"United States","New York","Springfield"
"United States","Ohio","Springfield"
"United States","Oregon","Springfield"
"United States","Pennsylvania","Springfield"
"Australia","Queensland","Springfield"
"United States","South Dakota","Springfield"
"United States","Tennessee","Springfield"
"United States","Vermont","Springfield"
"United States","Virginia","Springfield"
"Chile","Araucania","Victoria"
"Romania","Botosani","Victoria"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","Victoria"
"El Salvador","Cabanas","Victoria"
"Philippines","Calabarzon","Victoria"
"Colombia","Caldas","Victoria"
"Philippines","Central Luzon","Victoria"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoria"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoria"
"Romania","Iasi","Victoria"
"United States","Kansas","Victoria"
"Malaysia","Labuan","Victoria"
"Philippines","Mimaropa","Victoria"
"United States","Minnesota","Victoria"
"Grenada","Saint Mark","Victoria"
"United States","Texas","Victoria"
"Malta","Gozo","Victoria"
"United States","Virginia","Victoria"
"United Kingdom","Wales","Victoria"
"Honduras","Yoro","Victoria"
