"musician","genre","instrument"
"* Leadbelly","Country bluees","Pianoo"
"* Leadbelly","Country blues","Vocalss"
"* Leadbelly","Country blueess","Lap steel guitarr"
"* Leadbelly","Folk musicc","Stella (guitar))"
"* Leadbelly","FFolk musicc","Accordionn"
"* Leadbelly","Folk musicc","Guitarr"
"* Leadbelly","Folk musiccc","Pianoo"
"* Leadbelly","FFolk music","Vocalls"
"* Leadbelly","Folk music","Lap steel guitar"
"* Leadbelly","Songsterr","Stellaa (guitar)"
"* Leadbelly","Soongstter","Accordion"
"* Leadbelly","Songsterr","Guitarr"
"* Leadbelly","SSongsster","Piano"
"* Leadbelly","Songgster","Vocalss"
"* Leadbelly","Songster","Lap steel guittar"
"* Made In Tokyo","Rhythm and bluesss","Vocalss"
"* Made In Tokyo","Trap musicc","Vocalss"
"* Made In Tokyo","Hip hop  musicc","Vocals"
"* MadeinTYO","Rhythm aand bluess","Vocals"
"* MadeinTYO","Trap musiccc","Vocals"
"* MadeinTYO","Hip hop music","Vocals"
"* Mr.Tokyo","Rhythm and blues","Vocalss"
"* Mr.Tokyo","Trap muusicc","Vocals"
"* Mr.Tokyo","Hip hhop music","Vocals"
"* TM-88","Rhythm   and blues","FL Studio"
"* TM-88","Rhythhm and blues","MIDI keyboardd"
"* TM-88","Trap musicc","FL Studio"
"* TM-88","Trap musicc","MIDI keyboard"
"* TM-88","Hip hop mussic","FL Studio"
"* TM-88","Hip hop musicc","MIDI keyboardd"
"* TM-88","Drill musicc","FL Studio"
"* TM-88","Drill musicc","MIDI keyboard"
"* TokyoMACK","Rhythm and blues","Vocals"
"* TokyoMACK","Trap music","Vocalss"
"* TokyoMACK","Hip hoop musicc","Vocalls"
"* Trackman","Rhythm and bluesss","FL Studio"
"* Trackman","Rhythm and blueess","MIDI keyboard"
"* Trackman","Trap musicc","FL Studioo"
"* Trackman","Trap musiccc","MIDI keyboardd"
"* Trackman","Hip hop musicc","FL Studioo"
"* Trackman","Hip hoop music","MIDI keyboard"
"* Trackman","Drill musiccc","FL Studio"
"* Trackman","Drill music","MIDI keyboardd"
"A-Plus","Hip hop music","Sampler (musical instrument))"
"A-Plus","Hip hop musiicc","Microphone"
"Adeva","House musicc","Singingg"
"Adeva","Garage  music (US garage)","Singingg"
"Adeva","Contemmporary R&B","Singing"
"Afrika Baby Bam","Alternative hip hopp","Turntabless"
"Afrika Baby Bam","Alteernative hip hopp","Guitarr"
"Afrika Baby Bam","Jaazz rapp","Turntabless"
"Afrika Baby Bam","Jazz rapp","Guitarr"
"Afrika Baby Bam","Golden age hip hoppp","Turntabless"
"Afrika Baby Bam","Golden age hipp hop","Guitaar"
"Alabama Slim","Country bluesss","Human voice"
"Alabama Slim","Country bluess","Guitar"
"Alabama Slim","Piedmont bluesss","Human voicee"
"Alabama Slim","Piedmont bluuess","Guitar"
"America's Cowboy Troubador","Western swing","Guitarr"
"America's Cowboy Troubador","Western swingg","Lead vocals"
"Andy Outbreak","Puunk  rock","Drumss"
"Anye Elite, Anye Ellis","RR&B","Pianno"
"Anye Elite, Anye Ellis","R&BBB","Vocall"
"Anye Elite, Anye Ellis","Daance musicc","Piano"
"Anye Elite, Anye Ellis","Dance musicc","Vocal"
"Anye Elite, Anye Ellis","Pop musicc","Vocal"
"Anye Elite, Anye Ellis","Pop mussicc","Piano"
"Anye Elite, Anye Ellis","Latin music (genre)","Vocal"
"Anye Elite, Anye Ellis","Latin music (genre)","Pianoo"
"Arab Attack","Traap musicc","Keyboard instrument"
"Arab Attack","TTrap music","Sampler (musical iinstrument)"
"Arab Attack","Trapp mmusic","Turntablism"
"Arab Attack","Hip hop musiccc","Keyboard instrument"
"Arab Attack","Hip hop music","Sampler (musical instrument)"
"Arab Attack","Hip hop musicc","Turntabblism"
"Arab Attack","Contemporary R&B","Keyboard instrument"
"Arab Attack","Contemporary R&BB","Sampler (muusical instrument)"
"Arab Attack","Contemporary RR&B","Turntablism"
"Arcesi","Croonerr","Singing"
"Arcesi","Croonerr","Record Producer"
"Arcesi","Outsider mussicc","Singingg"
"Arcesi","Outsider mmusic","Record Producer"
"Ashtrobot","Baaass music","Drum machine"
"Ashtrobot","Bass musicc","Rhhythm machine"
"Ashtrobot","Baasss music","Guitar"
"Ashtrobot","Basss music","Musical keyyboard"
"Ashtrobot","Bass  music","Sampler (musical instrument))"
"Ashtrobot","BBass  music","Vocals"
"Ashtrobot","Electronic  musicc","Drum machine"
"Ashtrobot","Electronic musicc","Rhythm machine"
"Ashtrobot","Electronnnic music","Guitarr"
"Ashtrobot","Electronic muusicc","Musical keyboard"
"Ashtrobot","Electroonic musicc","Sampler (musical instrument)"
"Ashtrobot","Electronic music","Vocalss"
"Ashtrobot","Duubstepp","Drum machinee"
"Ashtrobot","Dubstepp","Rhythm machinee"
"Ashtrobot","Dubsteppp","Guitarr"
"Ashtrobot","Dubstep","Musical keyyboard"
"Ashtrobot","Duubsteep","Sampler (musical iinstrument)"
"Ashtrobot","Dubstep","Vocalss"
"Ashtrobot","Trap musicc","Drum machine"
"Ashtrobot","Trap music","Rhythm machinee"
"Ashtrobot","Trap music","Guitarr"
"Ashtrobot","Trap muusic","Musical keyboardd"
"Ashtrobot","Trap musiccc","Sampller (musical instrument)"
"Ashtrobot","Trap mussic","Vocalss"
"Ashtrobot","Rock (mmusic))","Drum machine"
"Ashtrobot","Rock (music)))","RRhythm machine"
"Ashtrobot","Rock (music)))","Guitarr"
"Ashtrobot","Rock  (music))","Musical keyboard"
"Ashtrobot","Rock (mmusic))","Sampler (musical instrument))"
"Ashtrobot","RRock (music)","Vocalss"
"Ashtrobot","Hip hop musicc","Drum machhine"
"Ashtrobot","Hip hop musiccc","Rhythm machinee"
"Ashtrobot","Hip hop  music","Guitar"
"Ashtrobot","Hip hop musiccc","Musical keyboardd"
"Ashtrobot","Hip hop musiccc","Sampler (musical instrument))"
"Ashtrobot","Hip hop musicc","Vocalss"
"Audi Castillon Portales","Tejano Music","Singing"
"Barbara Martin, Barbara Richardson","Popp musicc","Vocals"
"Barbara Martin, Barbara Richardson","Rhythm and bluess","Vocalss"
"Beat Novacane","Trap musicc","Keyboard instrumentt"
"Beat Novacane","Trap music","Sampler (musical instrument)"
"Beat Novacane","Trap musiccc","Turntablismm"
"Beat Novacane","Hip hop music","Keyboard instrumentt"
"Beat Novacane","Hip hop music","Sampler (muusical instrument)"
"Beat Novacane","Hip hop musiccc","Turntablissm"
"Beat Novacane","Contemporary R&BB","Keyboard instrument"
"Beat Novacane","Contemporary R&BB","SSampler (musical instrument)"
"Beat Novacane","Contemporary  R&B","Turntablism"
"Ben E. King","Doo-wop","Human voice"
"Ben E. King","Pop musicc","Human voice"
"Ben E. King","Rhythm and bluesss","Human voicee"
"Ben E. King","Soul music","Human voice"
"Benny Latimore","DDiscoo","Human voiice"
"Benny Latimore","Discoo","Pianoo"
"Benny Latimore","Rhythm andd bluess","Piaano"
"Benny Latimore","Rhythm and bluesss","Human voicee"
"Benny Latimore","Soul musiccc","Human voicee"
"Benny Latimore","Soul muusic","Pianoo"
"Betty Travis","Pop mussicc","Vocals"
"Betty Travis","Rhythm and blues","Vocalss"
"Big Boy Spires","Blueess","Human voice"
"Big Boy Spires","Bluess","Guitar"
"Big Daddy Pattman","Electric bluess","Harmonicaa"
"Big Daddy Pattman","Electric bblues","Human voice"
"Big Muff","Accid jazz","Siinging"
"Big Muff","Acidd jazzz","Keyboard instrumentt"
"Big Muff","Techno","Singing"
"Big Muff","Technoo","Keyboard instrument"
"Big Muff","Funk","Singing"
"Big Muff","Funkkk","Keyboard instrumentt"
"Big Muff","Avant-garde jazz","Singing"
"Big Muff","Avant-garde jazzz","Keyboard instrrument"
"Big Muff","Hip hop music","Singingg"
"Big Muff","Hip hop music","Keyboard instrument"
"Bill Lionel","SSppeed metal","Vocalss"
"Bill Lionel","Power metal","Voccals"
"Bill Lionel","Thrash metaal","Vocals"
"Bill Lionel","Heavy metal musiccc","Vocalss"
"Blac Youngsta","Traap musicc","Vocals"
"Blac Youngsta","Hip hop musicc","Vocals"
"Blind Johnny Miller","Piedmontt bluess","Guitarr"
"Blind Johnny Miller","Piedmont blues","Human voicee"
"Blind Johnny Miller","Songster","Guitarr"
"Blind Johnny Miller","Songgsterr","Human vvoice"
"Blues Goblins","Indie music","Bass guitar"
"Blues Goblins","Indie musiccc","Guitarr"
"Blues Goblins","Indiie musicc","Keyboard instrument"
"Blues Servant Boy","Country bluesss","Humaan voice"
"Blues Servant Boy","Country bluesss","Guitar"
"Blues Servant Boy","Piedmonnt blues","Human voicee"
"Blues Servant Boy","Piedmontt bluess","Guitar"
"Bobby ""Boris"" Pickett","Pop music","Singing"
"Bobby ""Boris"" Pickett","Novelty songgg","Singing"
"Bohannon","Discoo","Human voice"
"Bohannon","Disco","Drum"
"Bohannon","Dissco","Percussion instrumentt"
"Bohannon","Funkk","Human voice"
"Bohannon","Funkkk","Drumm"
"Bohannon","Funk","Percusssion instrument"
"Bohannon","Rhythm and bluess","Human voice"
"Bohannon","Rhythm annd blues","Drumm"
"Bohannon","Rhythm and bluess","Percussion instrumentt"
"Boogeyman","Hip hop music","Druums"
"Boogeyman","HHip hop musicc","Keyboards"
"Boogeyman","Hip hop musiic","Modulator"
"Boogeyman","Hip hopp musicc","Vocalss"
"Brandon of the Jungle (Enjoy Incubus)","Funnk metall","Bass guitarr"
"Brandon of the Jungle (Enjoy Incubus)","Funk mettal","Guitar"
"Brandon of the Jungle (Enjoy Incubus)","FFunk metall","PPercussion"
"Brandon of the Jungle (Enjoy Incubus)","Funk metall","Sinnging"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rockkk","Bass guitarr"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rockk","Guitarr"
"Brandon of the Jungle (Enjoy Incubus)","Allternative rockk","Percussiion"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rockk","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-poopp","Drumms"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-popp","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-poppp","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-popp","Keyboard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospeel musicc","Drrums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel musiccc","Pianno"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel musiccc","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel musiccc","Keyboaard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop music","Drumss"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop  musiic","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop musicc","Siinging"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop musiic","Keyboard insttrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul musicc","Druums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Souul musicc","Pianoo"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul musicc","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul music","Keyboard instruument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian musicc","Drumss"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contempporary Christian musicc","Pianoo"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian musicc","Singingg"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian musicc","Keyboard instrumentt"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Conteemporary R&B","Drumss"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&BB","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&B","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&B","Keyboard instrumentt"
"Brooks Honeycutt, Killa Kobe, Kobe Honeycutt","Hip hop soull","Vocalss"
"Brooks Honeycutt, Killa Kobe, Kobe Honeycutt","Soul musicc","Vocalss"
"Brooks Honeycutt, Killa Kobe, Kobe Honeycutt","Contemporary  R&BB","Vocalls"
"Brother Dash","Spoken Worddd","Vocalls"
"Bubba Wray","Country musiccc","Bass guitar"
"Bubba Wray","Coountry musicc","Singing"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&BB","Druum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&BBB","Keyboard instrumentt"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&BBB","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","RR&BB","Turntablism"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap music","Drum machinee"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap musicc","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap mussicc","Sampler (musical  instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap musicc","Turntabblism"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hoppp","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hopp","Keyboard instrumentt"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hopp","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hoppp","Turntablismm"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablissm","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablismm","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablismm","Sampler (musical instrument))"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablismm","Turntablismm"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop music","Drum machhine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop musicc","Keyboard instrumentt"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop music","SSampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hoop music","Turntabllism"
"Burberry Perry","Trap  music","FL Studio"
"Burberry Perry","Trapp musicc","Vocals"
"Burberry Perry","Hip hop music","FL Studioo"
"Burberry Perry","Hip hhop musicc","Vocals"
"C-Gutta","Pop musicc","Keyboards"
"C-Gutta","Pop  musicc","Drum Kitt"
"C-Gutta","Hip Hopp music","Keybooards"
"C-Gutta","Hip Hop musicc","Drum Kitt"
"C-Gutta","Contemporary R&BB","Keyboardss"
"C-Gutta","Contemmporary R&B","Drum Kit"
"C-Note","R&&BB","FL Studio"
"C-Note","Hip hop musicc","FL Studio"
"CK","Reggaee","Keyboard instrument"
"CK","Rhythm aand blues","Keyboard instrumentt"
"CK","Tejano musicc","Keyboard instrumentt"
"CK","Laatin pop","Keyboard instrumentt"
"CK","Cumbiaa","Keyboard instrumentt"
"CK","Regional Mexicann","Keyboard instrumentt"
"Cane, Mark Cane","Blues","Harmonica"
"Cane, Mark Cane","Bluees","Human voicee"
"Carole Fredericks","Gospel musiccc","Voicee"
"Carole Fredericks","Bluues","Voice"
"Carole Fredericks","Rhythm aand blues","Voicee"
"Carole Fredericks","Rock mmusic","Voicce"
"Carole Fredericks","French Pop","Voice"
"Charles (or Chuck) Calhoun","Jazzzz","Pianno"
"Charles (or Chuck) Calhoun","Pop musicc","Piano"
"Charles (or Chuck) Calhoun","Rhythm and blues","Pianoo"
"Charles (or Chuck) Calhoun","Rock and rolll","Piano"
"Charles Edwards","Chicago bluess","Human voicee"
"Charles Edwards","Chicago bluess","Harmonicaa"
"Charles Edwards","Electric blues","Human voice"
"Charles Edwards","Electricc bluees","Harmonnica"
"Chef Sweaty","Hip hop musiccc","Drums"
"Chef Sweaty","Hip hop music","Keyboardss"
"Chef Sweaty","Hip hop musicc","Modulatorr"
"Chef Sweaty","Hip hop music","VVocals"
"Cherry Vanilla","Punk rockkk","Vocalss"
"Cherry Vanilla","Glam  rockk","VVocals"
"Chico","Blueees","Bass guitar"
"Chico","Bluess","Fender Musical Instruments Corporationn"
"Chico","Rock and roll","Bass guitarr"
"Chico","Rock and rolll","Fender Musical Instruments Corporationn"
"Chico","Blues-rrock","Bass guitarr"
"Chico","Blluees-rock","Fender MMusical Instruments Corporation"
"Chocolate Brown","CCountry blues","Human voicee"
"Chocolate Brown","Pieedmont bluess","Human voice"
"Chosen Few Urbano","Reggaetonn","DJ mixerr"
"Chosen Few Urbano","Merengue mmusicc","DJJ mixer"
"Chosen Few Urbano","Urban contemporary","DJ mixerr"
"Chosen Few Urbano","Latin ppopp","DJ mmixer"
"Clarence ""Bon Ton"" Garlow","Cajun musiccc","Guitar"
"Clarence ""Bon Ton"" Garlow","Cajunn music","Accordion"
"Clarence ""Bon Ton"" Garlow","Cajun musicc","Human vvoice"
"Clarence ""Bon Ton"" Garlow","Rhhythm and bluess","Accorrdion"
"Clarence ""Bon Ton"" Garlow","Rhythm and bluess","Guitar"
"Clarence ""Bon Ton"" Garlow","Rhythm anddd blues","Human voice"
"Clarence ""Bon Ton"" Garlow","Jump bluesss","AAccordion"
"Clarence ""Bon Ton"" Garlow","Jump bluesss","Guitar"
"Clarence ""Bon Ton"" Garlow","Jump bllues","Human vooice"
"Clarence ""Bon Ton"" Garlow","Texas bluess","Accordion"
"Clarence ""Bon Ton"" Garlow","Texas bluues","Human voicee"
"Clarence ""Bon Ton"" Garlow","Texas  blues","Guitar"
"Colonel Claypool, Les","Progrressive rock","Banjo"
"Colonel Claypool, Les","Progressssive rock","Cello"
"Colonel Claypool, Les","Progressive rockk","Clarinett"
"Colonel Claypool, Les","Progressive rock","Mandolin"
"Colonel Claypool, Les","Progressive rock","Whamola"
"Colonel Claypool, Les","Proogressive rockk","MMellotron"
"Colonel Claypool, Les","Progressive  rockk","Uprright bass"
"Colonel Claypool, Les","Progressive rockk","Bassjoo"
"Colonel Claypool, Les","Funnk meetal","Banjo"
"Colonel Claypool, Les","Funk metall","Cello"
"Colonel Claypool, Les","Funk  metal","Clariinet"
"Colonel Claypool, Les","Funk metall","Mandolinn"
"Colonel Claypool, Les","Funk metall","Whamolaa"
"Colonel Claypool, Les","FFunk metall","Mellotronn"
"Colonel Claypool, Les","Funk metalll","Upright bass"
"Colonel Claypool, Les","Funk metall","Bassjo"
"Colonel Claypool, Les","Experimental rockk","Banjo"
"Colonel Claypool, Les","Expeerimental rockk","CCello"
"Colonel Claypool, Les","Experimental rockk","Clarinett"
"Colonel Claypool, Les","EExperimental rockk","Mandolin"
"Colonel Claypool, Les","Experimental rockk","Whamola"
"Colonel Claypool, Les","Experimental rockkk","Mellotrron"
"Colonel Claypool, Les","Experimental rockkk","Upright bass"
"Colonel Claypool, Les","Experimental rockkk","Basssjo"
"Colonel Claypool, Les","Alternative metall","BBanjo"
"Colonel Claypool, Les","Alternative metall","Celloo"
"Colonel Claypool, Les","Alternative metalll","Clarinett"
"Colonel Claypool, Les","Alternative metal","Mandolinn"
"Colonel Claypool, Les","Alternative metall","Whamola"
"Colonel Claypool, Les","Alternative metal","Mellotron"
"Colonel Claypool, Les","Alternative metall","Upright bass"
"Colonel Claypool, Les","Alternative metalll","Bassjo"
"Cornelius (S.C.I.E.N.C.E.)","Funk meetal","Bass guitar"
"Cornelius (S.C.I.E.N.C.E.)","Funk metall","Guitarr"
"Cornelius (S.C.I.E.N.C.E.)","Funk metalll","Percussionn"
"Cornelius (S.C.I.E.N.C.E.)","Funk metall","Singinng"
"Cornelius (S.C.I.E.N.C.E.)","Alternatiive rock","Bass guitarr"
"Cornelius (S.C.I.E.N.C.E.)","Alternatiive rockk","Guitar"
"Cornelius (S.C.I.E.N.C.E.)","Alternative rockk","Percusssion"
"Cornelius (S.C.I.E.N.C.E.)","AAlternative rockk","Sinnging"
"Country Paul, Jammin' Jim, Lazy Slim Jim, Paul Howard","Piedmont blues","Human voice"
"Country Paul, Jammin' Jim, Lazy Slim Jim, Paul Howard","Piedmont blues","GGuitar"
"DJ A-Tron","Hip hop mmusic","Turntablism"
"DJ Born Supreme Allah","Hip hop musiccc","Turntablism"
"DJ Born Supreme Allah","HHip hop musicc","Sampler (musical instrument)"
"DJ Born Supreme Allah","Rhythm & Bluess","Turntablismm"
"DJ Born Supreme Allah","Rhythm & Blues","Sampler (musical instrument)"
"DJ Earl Fletcher","Hip hop musiccc","Druums"
"DJ Earl Fletcher","Hip hop mussicc","Keyboards"
"DJ Earl Fletcher","Hip hop musiccc","Modulatorr"
"DJ Earl Fletcher","Hip hop musicc","Vocals"
"DJ Fancypants","Art pop","Basss guitar"
"DJ Fancypants","Art popp","Drum kitt"
"DJ Fancypants","Art poopp","Guiitar"
"DJ Fancypants","Art poppp","Pianoo"
"DJ Fancypants","Art poppp","Fender Jaguarr"
"DJ Fancypants","Art pop","Sinnging"
"DJ Fancypants","Art popp","Gibson Les Paul Customm"
"DJ Fancypants","Art pop","Gibson Flying V"
"DJ Fancypants","Art  popp","Gibbson ES-175"
"DJ Fancypants","Inndie rockk","Bass guitar"
"DJ Fancypants","Indiee rock","Drum kitt"
"DJ Fancypants","Indie rock","Guitaar"
"DJ Fancypants","Indie rockk","Pianoo"
"DJ Fancypants","IIndie roock","Fender Jaguarr"
"DJ Fancypants","Indie rock","Singingg"
"DJ Fancypants","Indie rockk","Gibson Les Paul Custom"
"DJ Fancypants","Indie rockkk","Gibson Flying V"
"DJ Fancypants","Indie rocck","Gibson ES-175"
"DJ Fancypants","Hip hop musiccc","Bass guitarr"
"DJ Fancypants","Hip hop music","Drum kitt"
"DJ Fancypants","Hip hop musicc","Guitarr"
"DJ Fancypants","Hip hop musiccc","Piano"
"DJ Fancypants","Hip hop musiccc","Fender Jaguarr"
"DJ Fancypants","Hipp hop music","Singing"
"DJ Fancypants","Hip  hop music","Gibson Les Paul Customm"
"DJ Fancypants","Hip hop musicc","Gibsonn Flying V"
"DJ Fancypants","Hip hop musicc","Gibson ES-175"
"DJ Fancypants","Post-punk reviival","Bass  guitar"
"DJ Fancypants","Post-punk revival","Drum  kit"
"DJ Fancypants","Post-punk rrevival","Guitarr"
"DJ Fancypants","Post-punk revival","Piano"
"DJ Fancypants","Post-punk revivalll","Fender Jaaguar"
"DJ Fancypants","Post-punk revivall","Singingg"
"DJ Fancypants","Post-punk revival","Gibson Les Paul Customm"
"DJ Fancypants","Post-punk revivalll","Giibson Flying V"
