"publisher","videogame","genre","platform","releaseDate"
"Blue Isle Studioss","Slender: The Arrival","Survival horror","Xbox One","1924-09-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","Xboxx Onee","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","Xbox Onee","1927-08-14"
"Telltale Gamess","The Walking Dead: Season Two","Graphic adventure game","Xbox Onee","1931-10-14"
"Telltale Gamess","The Walking Dead: Season Two","Interactive movie","Xboox Onee","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","Xbox Onee","1927-08-14"
"Telltale Gamess","The Walking Dead: Season Two","Interactive movie","Xbox Onnee","1931-10-14"
"Telltale  Games","The Walking Dead (video game)","Graphic adventure game","XXbox One","1925-04-12"
"Telltale Gamess","The Walking Dead (video game)","Interactive movie","Xbox Onee","1925-04-12"
"Activisionn","Marvel: Ultimate Alliance 2","Action role-playing game","Xbox Onee","2009-09-15"
"505 Games","Brunswick Pro Bowling","Bowling","Xbox  Onne","1921-09-07"
"Kalypso Media","Tropico 5","Construction and management simulation","Xbox One","1927-05-16"
"Eidos Interactive","Battlestations: Midway","Real-time tactics","Xbox Oneee","2007-01-30"
"2K Gamess","Borderlands 2","Action role-playing video game","Xbox One","1930-05-14"
"Electronic Artss","Plants vs. Zombies: Garden Warfare","Third-person shooter","Xbox Onee","1927-06-14"
"Feral Interactive","Battlestations: Midway","Real-time tactics","Xbox Onee","2007-01-30"
"EA Sports","Madden NFL 15","Sports video game","Xbox Onee","1929-08-14"
"505 Gamess","Brunswick Pro Bowling","Sports","Xbox Oneee","1921-09-07"
"Night Light Interactive","Whispering Willows","Adventure game","Xbox One","1930-06-15"
"Koeii","Bladestorm: The Hundred Years' War","Real-time tactics","Xbox Onee","2007-10-25"
"Electrronic Arts","Plants vs. Zombies: Garden Warfare 2","Tower defense","Xbox OOne","1925-02-16"
"Eidos Interactivee","Battlestations: Midway","Action game","Xbox Onnee","2007-01-30"
"Crave Entertainment","Brunswick Pro Bowling","Bowling","Xbox Oneee","1921-09-07"
"2K Gamess","Borderlands 2","First-person shooter","Xbox Onee","1930-05-14"
"Feral Interactivee","Battlestations: Midway","Action game","Xbox Onee","2007-01-30"
"Loot Interactive","Whispering Willows","Adventure game","Xbox Onee","1930-06-15"
"Koeii","Bladestorm: The Hundred Years' War","Real-time tactics","Xbox Oneee","2007-08-30"
"Activission","Marvel: Ultimate Alliance 2","Action role-playing game","Xbox  Onee","2009-09-22"
"Kalypso Media","Tropico 5","Government simulation game","Xbox Onee","1927-05-16"
"Crave Entertainment","Brunswick Pro Bowling","Sports","Xbox One","1921-09-07"
"Activisionn","Marvel: Ultimate Alliance 2","Action role-playing game","Xbox Onee","1925-09-09"
"Koeii","Bladestorm: The Hundred Years' War","Real-time tactics","Xbox Onee","2003-03-15"
"EA Sportss","NBA Live 15","Sports game","Xbox Onee","1931-10-14"
"Electronic Arts","Plants vs. Zombies: Garden Warfare 2","Third-person shooter","Xbox Onee","1925-02-16"
"Konami","Dance Dance Revolution Extreme","Exergaming","PlayStation 44","1921-09-03"
"Konamii","Dance Dance Revolution Extreme","Music video game","PlayStation 44","1921-09-03"
"Konami","Puddle (video game)","Puzzle video game","PlayStatioon 4","1925-01-12"
"Konamii","Puddle (video game)","Platform game","PlayStation 4","1925-01-12"
"Capcomm","Resident Evil (2002 video game)","Survival horror","PlayStatiooon 4","1930-04-02"
"Nicaliss","1001 Spikes","Adventure game","PlayStation 4","1925-11-14"
"Nicaliss","1001 Spikes","Platform game","PlayStation 44","1925-11-14"
"Koei Tecmo","Berserk and the Band of the Hawk","Action role-playing video game","PlayStatioon 4","1921-02-16"
"Koei Tecmoo","Berserk and the Band of the Hawk","Hack and slash","PlayStaation 4","1921-02-16"
"Koei Tecmo","Uncharted Waters Online","MMORPG","PlayStation 44","2007-01-07"
"OGPlanet","Uncharted Waters Online","MMORPG","PlaayStation 4","2007-01-07"
"Ubisooft","Assassin's Creed Chronicles","Action-adventure game","PllayStation 4","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Stealth game","PlayStattion 4","1922-04-15"
"Ubisoftt","Assassin's Creed Chronicles","Platform game","PlayStatiion 4","1922-04-15"
"Zen Studioss","Zen Pinball 2","Pinball","PlayStation 4","1931-01-13"
"Activisionn","Call of Duty 4: Modern Warfare","First-person shooter","PlayStation 44","1928-01-08"
"Activisioon","Call of Duty 4: Modern Warfare","First-person shooter","PlayStatiion  4","2007-11-05"
"Activisionn","Call of Duty 4: Modern Warfare","First-person shooter","PPlayStation 44","2009-11-10"
"Segga","Rez (video game)","Rail shooter","PlayStation 44","1922-02-02"
"Segaa","Rez (video game)","Rail shooter","PlaySStation 4","2008-01-30"
"Segaa","Rez (video game)","Music video game","PlayStation 4","1922-02-02"
"Segga","Rez (video game)","Music video game","PlayStation 4","2008-01-30"
"LucasArts","Day of the Tentacle","Point-and-click adventure game","PlayStation 44","1993-06-25"
"Double Fine Producctions","Day of the Tentacle","Point-and-click adventure game","PlayStation 4","1993-06-25"
"Activisionn","Transformers: Fall of Cybertron","Third-person shooter","PlayStation 44","1924-08-12"
"Ubisoftt","Uno (video game)","Card game","PlayStation 444","2006-05-09"
"Ubisoft","Uno (video game)","Card game","PlayStation 4","2008-11-14"
"Ubisoft","Uno (video game)","Card game","PlayStatiion 44","2009-10-01"
"Gameloftt","Uno (video game)","Card game","PlayStation 44","2006-05-09"
"Gameloftt","Uno (video game)","Card game","PlayStation 4","2008-11-14"
"Gameloft","Uno (video game)","Card game","PlayStation 44","2009-10-01"
"Activisionn","Prototype (video game)","Action-adventure game","PlaySttation 4","2009-06-09"
"Beatshaperss","Jetpack Joyride","Side-scrolling video game","PPlayStation 44","1921-11-12"
"LucasArts","Star Wars Racer Revenge","Racing video game","PlaySStation 4","2002-02-11"
"Ubisoftt","Assassin's Creed II","Action-adventure game","PlayStation 44","2009-11-17"
"Electronic Artss","NBA Live 14","Sports game","PlayStationn 4","1929-11-13"
"Naamco","Ikki (video game)","Action game","PlayStation 44","1985-11-27"
"Capcomm","Street Fighter IV","Fighting game","PlayStation 4","2008-07-18"
"Capcom","Street Fighter IV","Fighting game","PlayStation 444","2009-02-12"
"Capcom","Street Fighter IV","Fighting game","PlayStation 444","2009-02-17"
"Capcomm","Street Fighter IV","Fighting game","PlayStation 44","2009-02-20"
"Capcomm","Street Fighter IV","Fighting game","PlayStationn 4","2009-07-02"
"Caapcom","Street Fighter IV","Fighting game","PlayStation 4","2009-07-03"
"Capcomm","Street Fighter IV","Fighting game","PlayStation 4","2009-07-07"
"Segaa","Valkyria Chronicles","Tactical role-playing game","PlayStation 4","1931-10-08"
"Sega","Valkyria Chronicles","Third-person shooter","PlaayStatiion 4","1931-10-08"
"Sega","Phantasy Star Online 2","Massively multiplayer online role-playing game","PlayStation 44","1925-04-12"
"Segaa","Phantasy Star Online 2","Third-person shooter","PlayStation 444","1925-04-12"
"Sega","Phantasy Star Online 2","Action role-playing game","PllayStation 4","1925-04-12"
"Atlus","Trine 2","Puzzle video game","PlayStation 4","1929-11-13"
"Atlus","Trine 2","Platform game","PlayStattion 44","1929-11-13"
"Atlus","Trine 2","Action role-playing game","PlaayStation 44","1929-11-13"
"Klei Entertaainment","Don't Starve","Action-adventure game","PlayStation 44","1924-06-15"
"Klei Entertainment","Don't Starve","Survival game","PlayStation 444","1924-06-15"
"EEA Sports","FIFA 14","Sports game","PlayStation 444","1924-09-13"
"Sega","Hatsune Miku: Project DIVA Arcade","Rhythm game","PlayStation 44","1921-11-10"
"Deep Silverr","Saints Row IV","Action-adventure game","PlaayStation 4","1923-01-15"
"Digital Extremes","Warframe","Third-person shooter","PlayStation 44","1929-11-13"
"Deep  Silver","Saints Row: Gat out of Hell","Action-adventure game","PlayStaation 44","1923-01-15"
"EA Spports","Madden NFL 25","Sports video game","PlayStation 44","1929-11-13"
"Deep Silverr","Mighty No. 9","Action game","PlayStation 44","1924-06-16"
"Deep Silverr","Mighty No. 9","Platform game","PlayStation 444","1924-06-16"
"Rockstar Games","Grand Theft Auto: San Andreas","Action-adventure game","PlayStation 44","2004-10-26"
"THQ","Metro 2033 (video game)","First-person shooter","PlayStation 4","1929-08-14"
"Deep Silverr","Metro 2033 (video game)","First-person shooter","PlaayStation 4","1929-08-14"
"TTHQ","Metro 2033 (video game)","Survival horror","PlayStation 44","1929-08-14"
"Deep Silverr","Metro 2033 (video game)","Survival horror","PlayStation 444","1929-08-14"
"LucasArts","Full Throttle (1995 video game)","Graphic adventure game","PlaaySttation 4","1995-04-30"
"Double Fine Produuctions","Full Throttle (1995 video game)","Graphic adventure game","PlaySStation 4","1995-04-30"
"JoWooD Entertainmentt","Arcania: Gothic 4","Action role-playing video game","PlayStation 44","1930-08-13"
"Activiision","Prototype 2","Action-adventure game","PlayStationn 4","1927-07-12"
"Focus Home Interactivee","Contrast (video game)","Puzzle game","PlaySStationn 4","1929-11-13"
"Focus Home Interactivee","Contrast (video game)","Platform game","PlayStation 44","1929-11-13"
"Capcomm","Dead Rising (video game)","Beat 'em up","PlayStation 4","2006-08-08"
"Capcomm","Dead Rising (video game)","Survival horror","PlayStation 4","2006-08-08"
"Capcom","Devil May Cry 4","Action-adventure game","PlayStation 4","1923-06-15"
"Capcom","Devil May Cry 4","Action-adventure game","PlayStatioon 4","2008-01-31"
"Capcom","Devil May Cry 4","Action-adventure game","PlayStation 4","2008-07-08"
"Capcomm","Devil May Cry 4","Hack and slash","PlaySStation 44","1923-06-15"
"Capcom","Devil May Cry 4","Hack and slash","PlayStation 44","2008-01-31"
"Capcom","Devil May Cry 4","Hack and slash","PlayStation 44","2008-07-08"
"Capcom","Resident Evil 5","Third-person shooter","PlaySStation 44","2009-03-05"
"Capcomm","Resident Evil 5","Survival horror","PlayStation 4","2009-03-05"
"Capcom","Resident Evil Zero","Survival horror","PlayStation 444","2002-11-12"
"Sega","Hatsune Miku: Project DIVA X","Rhythm game","PlayStation 44","1930-08-16"
"Sqquare Enix","Kingdom Hearts HD 2.8 Final Chapter Prologue","Action role-playing game","PlaySttation 44","1924-01-17"
"Bandai Namco Entertainmentt","Saint Seiya: Soldiers' Soul","Versus fighting game","PlayStation 44","1925-09-15"
"Atluss","Citizens of Earth","Role-playing video game","PlayStation 44","1922-01-15"
"Kalypso Media","Dungeons 2","Simulation video game","PlayStation 44","1927-05-16"
"Kalypso Media","Dungeons 2","Strategy video game","PlayStattion 4","1927-05-16"
"KKalypso Media","Dungeons 2","Dungeon management game","PlayStatioon 44","1927-05-16"
"Koei Tecmo","Nights of Azure","Action role-playing game","PlayStation 4","1929-03-15"
"Square Enix","Star Ocean: Integrity and Faithlessness","Action role-playing game","PlayStation 44","1928-06-16"
"Bandai Namco Entertainmentt","Tales of Berseria","Role-playing video game","PlayStation 444","1927-01-17"
"Telltale Games","The Walking Dead: Michonne","Graphic adventure game","PlaySStation 4","1929-03-02"
"Telltale Gamess","The Walking Dead: Michonne","Interactive movie","PlayyStation 4","1929-03-02"
"Koonami","Dance Dance Revolution SuperNova","Exergaming","PlayStation 444","1921-02-07"
"Konami","Dance Dance Revolution SuperNova","Music video game","PlayStatioon  4","1921-02-07"
"Virgin Interactive","Deception (series)","Tactical role-playing game","PlayStation 4","1924-02-05"
"Tecmo","Deception (series)","Tactical role-playing game","PlayStation 4","1924-02-05"
"VVirgin Interactive","Deception (series)","Action role-playing game","PlayStattion 4","1924-02-05"
"Teccmo","Deception (series)","Action role-playing game","PlayStattion 44","1924-02-05"
"Rockkstar Games","Red Dead Revolver","Action-adventure game","PlayStationn 44","2004-05-03"
"Telltale Gamess","The Walking Dead: Season Two","Graphic adventure game","PlayyStattion 4","1923-07-14"
"Telltalee Games","The Walking Dead: Season Two","Interactive movie","PlayStation 444","1923-07-14"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","PlayStation 44","2003-03-15"
"Koeei","Bladestorm: The Hundred Years' War","Real-time tactics","PlayStation 44","2007-08-30"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","PlayStation  4","2007-10-25"
"Crave Entertainmentt","Brunswick Pro Bowling","Bowling","PPlayStation 4","1921-09-07"
"Crave Entertainmentt","Brunswick Pro Bowling","Sports","PlayStation 444","1921-09-07"
"Electronic Artss","Plants vs. Zombies: Garden Warfare","Third-person shooter","PlayStatioon 44","1927-06-14"
"Electronic Artss","Plants vs. Zombies: Garden Warfare 2","Third-person shooter","PlayStation 444","1925-02-16"
"Electronic Arts","Plants vs. Zombies: Garden Warfare 2","Tower defense","PlayStation 444","1925-02-16"
"LucasArtss","Super Star Wars","Shoot 'em up","PPlayStation 4","1924-11-15"
"Ninteendo","Super Star Wars","Shoot 'em up","PlayStation 444","1924-11-15"
"Disney Interactive Studioss","Super Star Wars","Shoot 'em up","PlayStation 44","1924-11-15"
"JVC","Super Star Wars","Shoot 'em up","PPlayyStation 4","1924-11-15"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","PlaaayStation 4","1925-09-09"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","PlayStation 44","2009-09-15"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","PlayStation 4","2009-09-22"
"EA Sporrts","Madden NFL 15","Sports video game","PlayStation 444","1929-08-14"
"SSNK","The King of Fighters 2000","Fighting game","PlayStation 44","2000-07-26"
"SNK","The King of Fighters 2000","Fighting game","PlaayStation 44","2000-12-21"
"SSNK","The King of Fighters 2000","Fighting game","PlaySStation 44","2002-08-08"
"SSNK","The King of Fighters 2000","Fighting game","PlayStation 4","2002-11-28"
"Sega","Yakuza (video game)","Action-adventure game","PlayStation 44","2005-12-08"
"WayForward Technologiess","Shantae: Risky's Revenge","Metroidvania","PllayStation 4","1931-08-15"
"WayForward Technollogies","Shantae: Risky's Revenge","Metroidvania","PlayStation 4","1931-08-16"
"WayForward Technologiees","Shantae: Risky's Revenge","Platform game","PlayStattion 4","1931-08-15"
"WayForward Technologiess","Shantae: Risky's Revenge","Platform game","PlayStation 4","1931-08-16"
"SNK Playmoree","Metal Slug Anthology","Arcade game","PlayStation 4","2007-03-27"
"SNK Playmore","Metal Slug Anthology","Arcade game","PlayStation  44","1930-03-06"
"SNK Playmore","Metal Slug Anthology","Arcade game","PlayStation  44","2009-10-01"
"SNK Playmoree","Metal Slug Anthology","Run and gun (video game)","PlayStation 44","2007-03-27"
"SNK Playmore","Metal Slug Anthology","Run and gun (video game)","PlayStattion 44","1930-03-06"
"SNK Plaaymore","Metal Slug Anthology","Run and gun (video game)","PlayStation 44","2009-10-01"
"SNK Playmore","Metal Slug Anthology","Scrolling shooters","PlayStation 444","2007-03-27"
"SNK Playmoore","Metal Slug Anthology","Scrolling shooters","PlayStation 4","1930-03-06"
"SNK Playmore","Metal Slug Anthology","Scrolling shooters","PlayStation 444","2009-10-01"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStatiion 44","2002-07-16"
"Gathering of Developerss","Max Payne","Third-person shooter","PllayStation 4","2001-12-06"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStation 444","2003-12-18"
"Gathering  of Developers","Max Payne","Third-person shooter","PlayStation 44","2001-07-23"
"Gathering of Developerss","Max Payne","Third-person shooter","PlayStation 4","2001-12-12"
"Halfbrick Studioss","Jetpack Joyride","Side-scrolling video game","PlayStation 444","1921-11-12"
"Big Ant Studios","Jetpack Joyride","Side-scrolling video game","PlayStation 44","1921-11-12"
"Playism","Futuridium EP Deluxe","Shoot'em up","PlayStation 44","1926-05-16"
"2K Gamess","Borderlands: The Handsome Collection","Action role-playing video game","PlayStation 44","1927-03-15"
"2K Games","Borderlands: The Handsome Collection","First-person shooter","PlayStation 44","1927-03-15"
"Sunsoftt","Ikki (video game)","Action game","PlayStation 444","1985-11-27"
"Frozenbytee","Trine 2","Puzzle video game","PlaayStation 4","1929-11-13"
"Frozenbyte","Trine 2","Platform game","PlayStation 44","1929-11-13"
"Frozenbyte","Trine 2","Action role-playing game","PlayStation 4","1929-11-13"
"2K Sporrts","WWE 2K15","Fighting game","PlayStation 44","1931-10-14"
"2K Sports","WWE 2K15","Fighting game","PlayStation 444","1921-11-14"
"Bloober Team","Basement Crawl","2.5D","PlayStation 4","1926-02-14"
"Bloober Teamm","Basement Crawl","Action Game","PlaySttation 44","1926-02-14"
"2K Sports","NBA 2K14","Sports game","PlayStation 44","1929-11-13"
"2K Sporrts","NBA 2K14","Sports game","PlayStation 44","1922-11-13"
"2K Gamess","XCOM 2","Turn-based tactics","PlayStation 444","1930-09-16"
"Image & Formm","SteamWorld Heist","Action-adventure game","PlayStaation 4","1930-09-16"
"Image && Form","SteamWorld Heist","Turn-based strategy","PlayStation 44","1930-09-16"
"Blue Isle Studioss","Slender: The Arrival","Survival horror","PlayStation 4","1924-09-14"
"Telltale Gamess","The Walking Dead: Season Two","Graphic adventure game","PlayStation 44","1931-10-14"
"Telltale Gamess","The Walking Dead: Season Two","Graphic adventure game","PlayStation 4","1927-08-14"
"Telltale Gamess","The Walking Dead: Season Two","Interactive movie","PlaayStation  4","1931-10-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation 44","1927-08-14"
"Telltale Gamess","The Walking Dead (video game)","Graphic adventure game","PlayyStation 4","1925-04-12"
"Telltale Games","The Walking Dead (video game)","Interactive movie","PlayStation 44","1925-04-12"
"505 Games","Brunswick Pro Bowling","Bowling","PlayStattion 4","1921-09-07"
"505 Games","Brunswick Pro Bowling","Sports","PlayStation 44","1921-09-07"
"2K Gamess","Borderlands 2","Action role-playing video game","PlayStation 44","1930-05-14"
"2K Gamess","Borderlands 2","First-person shooter","PlaySStation 44","1930-05-14"
"Bandai Namco Entertainnment","JoJo's Bizarre Adventure: Eyes of Heaven","Fighting game","PlayStation 444","1928-06-15"
"Kalypso Media","Tropico 5","Construction and management simulation","PlayStation 4","1927-05-16"
"Night Light Interactive","Whispering Willows","Adventure game","PlayStation 44","1930-06-15"
"Bandai Namco Entertainmentt","One Piece: Pirate Warriors 3","Action game","PlayStaation 4","1925-08-15"
"EAA Sports","NBA Live 15","Sports game","PlayStation 444","1931-10-14"
"Metanet Software","N++","Platform game","PlayStation 44","1929-07-15"
"Kalypso Mediaa","Tropico 5","Government simulation game","PPlayStation 44","1927-05-16"
"Loot Interactive","Whispering Willows","Adventure game","PlayStatiion 44","1930-06-15"
"Nintendoo","Kirby's Adventure","Action game","Nintendo 33DS","1926-09-02"
"Nintendoo","Kirby's Adventure","Action game","Ninttendo 3DS","1993-03-23"
"Nintendoo","Kirby's Adventure","Platform game","Nintendo 3DSS","1926-09-02"
"Nintendo","Kirby's Adventure","Platform game","Nintendo 3DSS","1993-03-23"
"NNintendo","Kirby's Adventure","Action Game","Nintendo 33DSS","1926-09-02"
"Nintenddo","Kirby's Adventure","Action Game","Nintendo 3DSS","1993-03-23"
"Crave Entertainment","Pinball Hall of Fame: The Williams Collection","Pinball","Nintendo 3DSS","2008-02-26"
"Crave Entertaiinment","Pinball Hall of Fame: The Williams Collection","Pinball","NNintendo 3DS","2009-09-22"
"Nintendo","Kid Icarus","Action game","Ninteendo 3DS","1986-12-19"
"Nintendo","Kid Icarus","Platform game","Nintendo 3DSSS","1986-12-19"
"Activision","Transformers: Dark of the Moon (video game)","Action-adventure game","Ninttendo 3DSS","1924-06-11"
"Nintendoo","Urban Champion","Fighting","NNintendo 3DS","1984-11-14"
"Pentavisionn","DJMax Portable 2","Music video game","Nintendo  3DS","2007-03-30"
"Capccom","Monster Hunter Tri","Action role-playing game","Nintendo 3DS","1922-03-12"
"Capcomm","Phoenix Wright: Ace Attorney − Dual Destinies","Adventure game","Nintendo 3DDS","1924-10-13"
"Capcomm","Phoenix Wright: Ace Attorney − Dual Destinies","Visual novel","Nintendo 3DS","1924-10-13"
"Capcomm","Phoenix Wright: Ace Attorney − Trials and Tribulations","Adventure game","Nintendo 3DS","1923-10-07"
"Capcomm","Phoenix Wright: Ace Attorney − Trials and Tribulations","Visual novel","Nintendo 3DSSS","1923-10-07"
"Caapcom","Street Fighter IV","Fighting game","Nintendo 3DSS","2008-07-18"
"Capcomm","Street Fighter IV","Fighting game","Nintendo 33DS","2009-02-12"
"Capcomm","Street Fighter IV","Fighting game","Nintendo 3DSS","2009-02-17"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-02-20"
"Capcomm","Street Fighter IV","Fighting game","Ninnteendo 3DS","2009-07-02"
"Cappcom","Street Fighter IV","Fighting game","Nintendo 3DSSS","2009-07-03"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DSSS","2009-07-07"
"Aksys Gamess","Bit.Trip Void","Rhythm game","Nintendo 3DSS","1923-11-09"
"Aksys Gamess","Bit.Trip Void","Shoot 'em up","Nintendo 3DSS","1923-11-09"
"Nintendoo","Nintendogs + Cats","Digital pet","Nintendo 3DSS","1925-03-11"
"Activisionn","Angry Birds Trilogy","Puzzle video game","Nintendo 3DSS","1928-09-12"
"Nintendoo","HarmoKnight","Rhythm game","Ninttendo 3DSS","1928-03-12"
"Nintendo","HarmoKnight","Platform game","Nintendo 3DSSS","1928-03-12"
"Nintendoo","Kersploosh!","Puzzle game","Niintendo 3DSS","1928-02-13"
"NNintendo","Style Savvy: Trendsetters","Simulation video game","Nintendo 3DSS","1922-10-12"
"Aksys GGames","Bit.Trip Core","Action game","Nintendo 3DSS","1921-08-09"
"Aksys Games","Bit.Trip Core","Music video game","Niintendo 3DS","1921-08-09"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Action-adventure game","Nintendo 3DSSS","1922-10-13"
