"musician","genre","instrument"
"* Leadbelly","Songster","Guitar"
"* Leadbelly","Songster","Piano"
"* Leadbelly","Songster","Vocals"
"* Leadbelly","Songster","Lap steel guitar"
"* Made In Tokyo","Rhythm and blues","Vocals"
"* Made In Tokyo","Trap music","Vocals"
"* Made In Tokyo","Hip hop music","Vocals"
"* MadeinTYO","Rhythm and blues","Vocals"
"* MadeinTYO","Trap music","Vocals"
"* MadeinTYO","Hip hop music","Vocals"
"* Mr.Tokyo","Rhythm and blues","Vocals"
"* Mr.Tokyo","Trap music","Vocals"
"* Mr.Tokyo","Hip hop music","Vocals"
"* TM-88","Rhythm and blues","FL Studio"
"* TM-88","Rhythm and blues","MIDI keyboard"
"* TM-88","Trap music","FL Studio"
"* TM-88","Trap music","MIDI keyboard"
"* TM-88","Hip hop music","FL Studio"
"* TM-88","Hip hop music","MIDI keyboard"
"* TM-88","Drill music","FL Studio"
"* TM-88","Drill music","MIDI keyboard"
"* TokyoMACK","Rhythm and blues","Vocals"
"* TokyoMACK","Trap music","Vocals"
"* TokyoMACK","Hip hop music","Vocals"
"* Trackman","Rhythm and blues","FL Studio"
"* Trackman","Rhythm and blues","MIDI keyboard"
"* Trackman","Trap music","FL Studio"
"* Trackman","Trap music","MIDI keyboard"
"* Trackman","Hip hop music","FL Studio"
"* Trackman","Hip hop music","MIDI keyboard"
"* Trackman","Drill music","FL Studio"
"* Trackman","Drill music","MIDI keyboard"
"A-Plus","Hip hop music","Sampler (musical instrument)"
"A-Plus","Hip hop music","Microphone"
"Adeva","House music","Singing"
"Adeva","Garage music (US garage)","Singing"
"Adeva","Contemporary R&B","Singing"
"Afrika Baby Bam","Alternative hip hop","Turntables"
"Afrika Baby Bam","Alternative hip hop","Guitar"
"Afrika Baby Bam","Jazz rap","Turntables"
"Afrika Baby Bam","Jazz rap","Guitar"
"Afrika Baby Bam","Golden age hip hop","Turntables"
"Afrika Baby Bam","Golden age hip hop","Guitar"
"Alabama Slim","Country blues","Human voice"
"Alabama Slim","Country blues","Guitar"
"Alabama Slim","Piedmont blues","Human voice"
"Alabama Slim","Piedmont blues","Guitar"
"America's Cowboy Troubador","Western swing","Guitar"
"America's Cowboy Troubador","Western swing","Lead vocals"
"Andy Outbreak","Punk rock","Drums"
"Anye Elite, Anye Ellis","R&B","Piano"
"Anye Elite, Anye Ellis","R&B","Vocal"
"Anye Elite, Anye Ellis","Dance music","Piano"
"Anye Elite, Anye Ellis","Dance music","Vocal"
"Anye Elite, Anye Ellis","Pop music","Vocal"
"Anye Elite, Anye Ellis","Pop music","Piano"
"Anye Elite, Anye Ellis","Latin music (genre)","Vocal"
"Anye Elite, Anye Ellis","Latin music (genre)","Piano"
"Arab Attack","Trap music","Keyboard instrument"
"Arab Attack","Trap music","Sampler (musical instrument)"
"Arab Attack","Trap music","Turntablism"
"Arab Attack","Hip hop music","Keyboard instrument"
"Arab Attack","Hip hop music","Sampler (musical instrument)"
"Arab Attack","Hip hop music","Turntablism"
"Arab Attack","Contemporary R&B","Keyboard instrument"
"Arab Attack","Contemporary R&B","Sampler (musical instrument)"
"Arab Attack","Contemporary R&B","Turntablism"
"Arcesi","Crooner","Singing"
"Arcesi","Crooner","Record Producer"
"Arcesi","Outsider music","Singing"
"Arcesi","Outsider music","Record Producer"
"Ashtrobot","Bass music","Drum machine"
"Ashtrobot","Bass music","Rhythm machine"
"Ashtrobot","Bass music","Guitar"
"Ashtrobot","Bass music","Musical keyboard"
"Ashtrobot","Bass music","Sampler (musical instrument)"
"Ashtrobot","Bass music","Vocals"
"Ashtrobot","Electronic music","Drum machine"
"Ashtrobot","Electronic music","Rhythm machine"
"Ashtrobot","Electronic music","Guitar"
"Ashtrobot","Electronic music","Musical keyboard"
"Ashtrobot","Electronic music","Sampler (musical instrument)"
"Ashtrobot","Electronic music","Vocals"
"Ashtrobot","Dubstep","Drum machine"
"Ashtrobot","Dubstep","Rhythm machine"
"Ashtrobot","Dubstep","Guitar"
"Ashtrobot","Dubstep","Musical keyboard"
"Ashtrobot","Dubstep","Sampler (musical instrument)"
"Ashtrobot","Dubstep","Vocals"
"Ashtrobot","Trap music","Drum machine"
"Ashtrobot","Trap music","Rhythm machine"
"Ashtrobot","Trap music","Guitar"
"Ashtrobot","Trap music","Musical keyboard"
"Ashtrobot","Trap music","Sampler (musical instrument)"
"Ashtrobot","Trap music","Vocals"
"Ashtrobot","Rock (music)","Drum machine"
"Ashtrobot","Rock (music)","Rhythm machine"
"Ashtrobot","Rock (music)","Guitar"
"Ashtrobot","Rock (music)","Musical keyboard"
"Ashtrobot","Rock (music)","Sampler (musical instrument)"
"Ashtrobot","Rock (music)","Vocals"
"Ashtrobot","Hip hop music","Drum machine"
"Ashtrobot","Hip hop music","Rhythm machine"
"Ashtrobot","Hip hop music","Guitar"
"Ashtrobot","Hip hop music","Musical keyboard"
"Ashtrobot","Hip hop music","Sampler (musical instrument)"
"Ashtrobot","Hip hop music","Vocals"
"Audi Castillon Portales","Tejano Music","Singing"
"Barbara Martin, Barbara Richardson","Pop music","Vocals"
"Barbara Martin, Barbara Richardson","Rhythm and blues","Vocals"
"Beat Novacane","Trap music","Keyboard instrument"
"Beat Novacane","Trap music","Sampler (musical instrument)"
"Beat Novacane","Trap music","Turntablism"
"Beat Novacane","Hip hop music","Keyboard instrument"
"Beat Novacane","Hip hop music","Sampler (musical instrument)"
"Beat Novacane","Hip hop music","Turntablism"
"Beat Novacane","Contemporary R&B","Keyboard instrument"
"Beat Novacane","Contemporary R&B","Sampler (musical instrument)"
"Beat Novacane","Contemporary R&B","Turntablism"
"Ben E. King","Doo-wop","Human voice"
"Ben E. King","Pop music","Human voice"
"Ben E. King","Rhythm and blues","Human voice"
"Ben E. King","Soul music","Human voice"
"Benny Latimore","Disco","Human voice"
"Benny Latimore","Disco","Piano"
"Benny Latimore","Rhythm and blues","Piano"
"Benny Latimore","Rhythm and blues","Human voice"
"Benny Latimore","Soul music","Human voice"
"Benny Latimore","Soul music","Piano"
"Betty Travis","Pop music","Vocals"
"Betty Travis","Rhythm and blues","Vocals"
"Big Boy Spires","Blues","Human voice"
"Big Boy Spires","Blues","Guitar"
"Big Daddy Pattman","Electric blues","Harmonica"
"Big Daddy Pattman","Electric blues","Human voice"
"Big Muff","Acid jazz","Singing"
"Big Muff","Acid jazz","Keyboard instrument"
"Big Muff","Techno","Singing"
"Big Muff","Techno","Keyboard instrument"
"Big Muff","Funk","Singing"
"Big Muff","Funk","Keyboard instrument"
"Big Muff","Avant-garde jazz","Singing"
"Big Muff","Avant-garde jazz","Keyboard instrument"
"Big Muff","Hip hop music","Singing"
"Big Muff","Hip hop music","Keyboard instrument"
"Bill Lionel","Speed metal","Vocals"
"Bill Lionel","Power metal","Vocals"
"Bill Lionel","Thrash metal","Vocals"
"Bill Lionel","Heavy metal music","Vocals"
"Blac Youngsta","Trap music","Vocals"
"Blac Youngsta","Hip hop music","Vocals"
"Blind Johnny Miller","Piedmont blues","Guitar"
"Blind Johnny Miller","Piedmont blues","Human voice"
"Blind Johnny Miller","Songster","Guitar"
"Blind Johnny Miller","Songster","Human voice"
"Blues Goblins","Indie music","Bass guitar"
"Blues Goblins","Indie music","Guitar"
"Blues Goblins","Indie music","Keyboard instrument"
"Blues Servant Boy","Country blues","Human voice"
"Blues Servant Boy","Country blues","Guitar"
"Blues Servant Boy","Piedmont blues","Human voice"
"Blues Servant Boy","Piedmont blues","Guitar"
"Bobby ""Boris"" Pickett","Pop music","Singing"
"Bobby ""Boris"" Pickett","Novelty song","Singing"
"Bohannon","Disco","Human voice"
"Bohannon","Disco","Drum"
"Bohannon","Disco","Percussion instrument"
"Bohannon","Funk","Human voice"
"Bohannon","Funk","Drum"
"Bohannon","Funk","Percussion instrument"
"Bohannon","Rhythm and blues","Human voice"
"Bohannon","Rhythm and blues","Drum"
"Bohannon","Rhythm and blues","Percussion instrument"
"Boogeyman","Hip hop music","Drums"
"Boogeyman","Hip hop music","Keyboards"
"Boogeyman","Hip hop music","Modulator"
"Boogeyman","Hip hop music","Vocals"
"Brandon of the Jungle (Enjoy Incubus)","Funk metal","Bass guitar"
"Brandon of the Jungle (Enjoy Incubus)","Funk metal","Guitar"
"Brandon of the Jungle (Enjoy Incubus)","Funk metal","Percussion"
"Brandon of the Jungle (Enjoy Incubus)","Funk metal","Singing"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rock","Bass guitar"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rock","Guitar"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rock","Percussion"
"Brandon of the Jungle (Enjoy Incubus)","Alternative rock","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-pop","Drums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-pop","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-pop","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","K-pop","Keyboard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel music","Drums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel music","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel music","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Gospel music","Keyboard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop music","Drums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop music","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop music","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Pop music","Keyboard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul music","Drums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul music","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul music","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Soul music","Keyboard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian music","Drums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian music","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian music","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary Christian music","Keyboard instrument"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&B","Drums"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&B","Piano"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&B","Singing"
"Brian G. Joo, Brian Minkyu Joo, Joo Min-kyoo (주민규)","Contemporary R&B","Keyboard instrument"
"Brooks Honeycutt, Killa Kobe, Kobe Honeycutt","Hip hop soul","Vocals"
"Brooks Honeycutt, Killa Kobe, Kobe Honeycutt","Soul music","Vocals"
"Brooks Honeycutt, Killa Kobe, Kobe Honeycutt","Contemporary R&B","Vocals"
"Brother Dash","Spoken Word","Vocals"
"Bubba Wray","Country music","Bass guitar"
"Bubba Wray","Country music","Singing"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&B","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&B","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&B","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","R&B","Turntablism"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap music","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap music","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap music","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Rap music","Turntablism"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hop","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hop","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hop","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Underground Hip Hop","Turntablism"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablism","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablism","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablism","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Turntablism","Turntablism"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop music","Drum machine"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop music","Keyboard instrument"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop music","Sampler (musical instrument)"
"Bull Of Tha Industry, Tha Bull, Mr. Luxury Tax, Papa A&R,","Hip hop music","Turntablism"
"Burberry Perry","Trap music","FL Studio"
"Burberry Perry","Trap music","Vocals"
"Burberry Perry","Hip hop music","FL Studio"
"Burberry Perry","Hip hop music","Vocals"
"C-Gutta","Pop music","Keyboards"
"C-Gutta","Pop music","Drum Kit"
"C-Gutta","Hip Hop music","Keyboards"
"C-Gutta","Hip Hop music","Drum Kit"
"C-Gutta","Contemporary R&B","Keyboards"
"C-Gutta","Contemporary R&B","Drum Kit"
"C-Note","R&B","FL Studio"
"C-Note","Hip hop music","FL Studio"
"CK","Reggae","Keyboard instrument"
"CK","Rhythm and blues","Keyboard instrument"
"CK","Tejano music","Keyboard instrument"
"CK","Latin pop","Keyboard instrument"
"CK","Cumbia","Keyboard instrument"
"CK","Regional Mexican","Keyboard instrument"
"Cane, Mark Cane","Blues","Harmonica"
"Cane, Mark Cane","Blues","Human voice"
"Carole Fredericks","Gospel music","Voice"
"Carole Fredericks","Blues","Voice"
"Carole Fredericks","Rhythm and blues","Voice"
"Carole Fredericks","Rock music","Voice"
"Carole Fredericks","French Pop","Voice"
"Charles (or Chuck) Calhoun","Jazz","Piano"
"Charles (or Chuck) Calhoun","Pop music","Piano"
"Charles (or Chuck) Calhoun","Rhythm and blues","Piano"
"Charles (or Chuck) Calhoun","Rock and roll","Piano"
"Charles Edwards","Chicago blues","Human voice"
"Charles Edwards","Chicago blues","Harmonica"
"Charles Edwards","Electric blues","Human voice"
"Charles Edwards","Electric blues","Harmonica"
"Chef Sweaty","Hip hop music","Drums"
"Chef Sweaty","Hip hop music","Keyboards"
"Chef Sweaty","Hip hop music","Modulator"
"Chef Sweaty","Hip hop music","Vocals"
"Cherry Vanilla","Punk rock","Vocals"
"Cherry Vanilla","Glam rock","Vocals"
"Chico","Blues","Bass guitar"
"Chico","Blues","Fender Musical Instruments Corporation"
"Chico","Rock and roll","Bass guitar"
"Chico","Rock and roll","Fender Musical Instruments Corporation"
"Chico","Blues-rock","Bass guitar"
"Chico","Blues-rock","Fender Musical Instruments Corporation"
"Chocolate Brown","Country blues","Human voice"
"Chocolate Brown","Piedmont blues","Human voice"
"Chosen Few Urbano","Reggaeton","DJ mixer"
"Chosen Few Urbano","Merengue music","DJ mixer"
"Chosen Few Urbano","Urban contemporary","DJ mixer"
"Chosen Few Urbano","Latin pop","DJ mixer"
"Clarence ""Bon Ton"" Garlow","Cajun music","Guitar"
"Clarence ""Bon Ton"" Garlow","Cajun music","Accordion"
"Clarence ""Bon Ton"" Garlow","Cajun music","Human voice"
"Clarence ""Bon Ton"" Garlow","Rhythm and blues","Accordion"
"Clarence ""Bon Ton"" Garlow","Rhythm and blues","Guitar"
"Clarence ""Bon Ton"" Garlow","Rhythm and blues","Human voice"
"Clarence ""Bon Ton"" Garlow","Jump blues","Accordion"
"Clarence ""Bon Ton"" Garlow","Jump blues","Guitar"
"Clarence ""Bon Ton"" Garlow","Jump blues","Human voice"
"Clarence ""Bon Ton"" Garlow","Texas blues","Accordion"
"Clarence ""Bon Ton"" Garlow","Texas blues","Human voice"
"Clarence ""Bon Ton"" Garlow","Texas blues","Guitar"
"Colonel Claypool, Les","Progressive rock","Banjo"
"Colonel Claypool, Les","Progressive rock","Cello"
"Colonel Claypool, Les","Progressive rock","Clarinet"
"Colonel Claypool, Les","Progressive rock","Mandolin"
"Colonel Claypool, Les","Progressive rock","Whamola"
"Colonel Claypool, Les","Progressive rock","Mellotron"
"Colonel Claypool, Les","Progressive rock","Upright bass"
"Colonel Claypool, Les","Progressive rock","Bassjo"
"Colonel Claypool, Les","Funk metal","Banjo"
"Colonel Claypool, Les","Funk metal","Cello"
"Colonel Claypool, Les","Funk metal","Clarinet"
"Colonel Claypool, Les","Funk metal","Mandolin"
"Colonel Claypool, Les","Funk metal","Whamola"
"Colonel Claypool, Les","Funk metal","Mellotron"
"Colonel Claypool, Les","Funk metal","Upright bass"
"Colonel Claypool, Les","Funk metal","Bassjo"
"Colonel Claypool, Les","Experimental rock","Banjo"
"Colonel Claypool, Les","Experimental rock","Cello"
"Colonel Claypool, Les","Experimental rock","Clarinet"
"Colonel Claypool, Les","Experimental rock","Mandolin"
"Colonel Claypool, Les","Experimental rock","Whamola"
"Colonel Claypool, Les","Experimental rock","Mellotron"
"Colonel Claypool, Les","Experimental rock","Upright bass"
"Colonel Claypool, Les","Experimental rock","Bassjo"
"Colonel Claypool, Les","Alternative metal","Banjo"
"Colonel Claypool, Les","Alternative metal","Cello"
"Colonel Claypool, Les","Alternative metal","Clarinet"
"Colonel Claypool, Les","Alternative metal","Mandolin"
"Colonel Claypool, Les","Alternative metal","Whamola"
"Colonel Claypool, Les","Alternative metal","Mellotron"
"Colonel Claypool, Les","Alternative metal","Upright bass"
"Colonel Claypool, Les","Alternative metal","Bassjo"
"Cornelius (S.C.I.E.N.C.E.)","Funk metal","Bass guitar"
"Cornelius (S.C.I.E.N.C.E.)","Funk metal","Guitar"
"Cornelius (S.C.I.E.N.C.E.)","Funk metal","Percussion"
"Cornelius (S.C.I.E.N.C.E.)","Funk metal","Singing"
"Cornelius (S.C.I.E.N.C.E.)","Alternative rock","Bass guitar"
"Cornelius (S.C.I.E.N.C.E.)","Alternative rock","Guitar"
"Cornelius (S.C.I.E.N.C.E.)","Alternative rock","Percussion"
"Cornelius (S.C.I.E.N.C.E.)","Alternative rock","Singing"
"Country Paul, Jammin' Jim, Lazy Slim Jim, Paul Howard","Piedmont blues","Human voice"
"Country Paul, Jammin' Jim, Lazy Slim Jim, Paul Howard","Piedmont blues","Guitar"
"DJ A-Tron","Hip hop music","Turntablism"
"DJ Born Supreme Allah","Hip hop music","Turntablism"
"DJ Born Supreme Allah","Hip hop music","Sampler (musical instrument)"
"DJ Born Supreme Allah","Rhythm & Blues","Turntablism"
"DJ Born Supreme Allah","Rhythm & Blues","Sampler (musical instrument)"
"DJ Earl Fletcher","Hip hop music","Drums"
"DJ Earl Fletcher","Hip hop music","Keyboards"
"DJ Earl Fletcher","Hip hop music","Modulator"
"DJ Earl Fletcher","Hip hop music","Vocals"
"DJ Fancypants","Art pop","Bass guitar"
"DJ Fancypants","Art pop","Drum kit"
"DJ Fancypants","Art pop","Guitar"
"DJ Fancypants","Art pop","Piano"
"DJ Fancypants","Art pop","Fender Jaguar"
"DJ Fancypants","Art pop","Singing"
"DJ Fancypants","Art pop","Gibson Les Paul Custom"
"DJ Fancypants","Art pop","Gibson Flying V"
"DJ Fancypants","Art pop","Gibson ES-175"
"DJ Fancypants","Indie rock","Bass guitar"
"DJ Fancypants","Indie rock","Drum kit"
"DJ Fancypants","Indie rock","Guitar"
"DJ Fancypants","Indie rock","Piano"
"DJ Fancypants","Indie rock","Fender Jaguar"
"DJ Fancypants","Indie rock","Singing"
"DJ Fancypants","Indie rock","Gibson Les Paul Custom"
"DJ Fancypants","Indie rock","Gibson Flying V"
"DJ Fancypants","Indie rock","Gibson ES-175"
"DJ Fancypants","Hip hop music","Bass guitar"
"DJ Fancypants","Hip hop music","Drum kit"
"DJ Fancypants","Hip hop music","Guitar"
"DJ Fancypants","Hip hop music","Piano"
"DJ Fancypants","Hip hop music","Fender Jaguar"
"DJ Fancypants","Hip hop music","Singing"
"DJ Fancypants","Hip hop music","Gibson Les Paul Custom"
"DJ Fancypants","Hip hop music","Gibson Flying V"
"DJ Fancypants","Hip hop music","Gibson ES-175"
"DJ Fancypants","Post-punk revival","Bass guitar"
"DJ Fancypants","Post-punk revival","Drum kit"
"DJ Fancypants","Post-punk revival","Guitar"
"DJ Fancypants","Post-punk revival","Piano"
"DJ Fancypants","Post-punk revival","Fender Jaguar"
"DJ Fancypants","Post-punk revival","Singing"
"DJ Fancypants","Post-punk revival","Gibson Les Paul Custom"
"DJ Fancypants","Post-punk revival","Gibson Flying V"
"DJ Fancypants","Post-punk revival","Gibson ES-175"
"DJ Gina Turner, Nouveau Yorican, Staccato","Dance music","Reason (software)"
"DJ Gina Turner, Nouveau Yorican, Staccato","Dance music","Ableton"
"DJ Gina Turner, Nouveau Yorican, Staccato","Dance music","FL Studio"
"DJ Gina Turner, Nouveau Yorican, Staccato","Dance music","Logic Pro"
"DJ Gina Turner, Nouveau Yorican, Staccato","Dance music","Pro Tools"
"DJ Gina Turner, Nouveau Yorican, Staccato","Electro house","Reason (software)"
"DJ Gina Turner, Nouveau Yorican, Staccato","Electro house","Logic Pro"
"DJ Gina Turner, Nouveau Yorican, Staccato","Electro house","Pro Tools"
"DJ Gina Turner, Nouveau Yorican, Staccato","Electro house","FL Studio"
"DJ Gina Turner, Nouveau Yorican, Staccato","Electro house","Ableton"
"DJ Gina Turner, Nouveau Yorican, Staccato","House music","Reason (software)"
"DJ Gina Turner, Nouveau Yorican, Staccato","House music","Ableton"
"DJ Gina Turner, Nouveau Yorican, Staccato","House music","FL Studio"
"DJ Gina Turner, Nouveau Yorican, Staccato","House music","Logic Pro"
"DJ Gina Turner, Nouveau Yorican, Staccato","House music","Pro Tools"
"DJ Kane","Dance music","Conga"
"DJ Kane","Dance music","Vocals"
"DJ Kane","Reggae","Conga"
"DJ Kane","Reggae","Vocals"
"DJ Kane","Tejano music","Conga"
"DJ Kane","Tejano music","Vocals"
"DJ Kane","Latin pop","Conga"
"DJ Kane","Latin pop","Vocals"
"DJ Kane","Contemporary R&B","Conga"
"DJ Kane","Contemporary R&B","Vocals"
"DJ Kane","Cumbia","Conga"
"DJ Kane","Cumbia","Vocals"
"DJ Sorryyouwastedyourmoneytobehere","Pop music","Final Cut Pro"
"DJ Sorryyouwastedyourmoneytobehere","Rhythm and blues","Final Cut Pro"
