"protectedArea","area","visitors","nearestCity","admRegion"
"Kennesaw Mountain National Battlefield Park","1.1829e+07","1005510","Atlanta, Georgia","Cobb County, Georgia"
"Great Sand Dunes National Park and Preserve","3.43971e+08","271774","Alamosa, Colorado","Alamosa County, Colorado"
"Petroglyph National Monument","3.04809e+07","114428","Albuquerque, New Mexico","Bernalillo County, New Mexico"
"Homestead National Monument of America","853887.0","69845","Beatrice, Nebraska","Gage County, Nebraska"
"Little Bighorn Battlefield National Monument","3.09722e+06","312168","Billings, Montana","Big Horn County, Montana"
"Bighorn Canyon National Recreation Area","4.86822e+08","201010","Billings, Montana","Big Horn County, Montana"
"Bighorn Canyon National Recreation Area","4.86822e+08","201010","Billings, Montana","Carbon County, Montana"
"Mammoth Cave National Park","2.13795e+08","508054","Brownsville, Kentucky","Barren County, Kentucky"
"Mammoth Cave National Park","2.13795e+08","508054","Brownsville, Kentucky","Edmonson County, Kentucky"
"Chickamauga and Chattanooga National Military Park","3.63124e+07","901384","Chattanooga, Tennessee","Catoosa County, Georgia"
"Chickamauga and Chattanooga National Military Park","3.65674e+07","901384","Chattanooga, Tennessee","Catoosa County, Georgia"
"Chickamauga and Chattanooga National Military Park","3.63124e+07","901384","Chattanooga, Tennessee","Dade County, Georgia"
"Chickamauga and Chattanooga National Military Park","3.65674e+07","901384","Chattanooga, Tennessee","Dade County, Georgia"
"Glacier National Park","4.10077e+09","2338528","Columbia Falls, Montana","Flathead County, Montana"
"Big Hole National Battlefield","4.08732e+06","36290","Dillon, Montana","Beaverhead County, Montana"
"Effigy Mounds National Monument","1.02224e+07","82581","Dubuque, Iowa","Allamakee County, Iowa"
"Effigy Mounds National Monument","1.02224e+07","82581","Dubuque, Iowa","Clayton County, Iowa"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Carter County, Missouri"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Dent County, Missouri"
"Rocky Mountain National Park","1.0755e+09","3176941","Estes Park, Colorado","Boulder County, Colorado"
"Rocky Mountain National Park","1.0755e+09","3176941","Estes Park, Colorado","Grand County, Colorado"
"Big Cypress National Preserve","2.91603e+09","941393","Everglades City, Florida","Collier County, Florida"
"Everglades National Park","6.09447e+09","1110901","Everglades City, Florida","Collier County, Florida"
"Everglades National Park","6.10484e+09","1110901","Everglades City, Florida","Collier County, Florida"
"Wupatki National Monument","1.43348e+08","216165","Flagstaff, Arizona","Coconino County, Arizona"
"Everglades National Park","6.09447e+09","1110901","Florida City, Florida","Collier County, Florida"
"Everglades National Park","6.10484e+09","1110901","Florida City, Florida","Collier County, Florida"
"Little River Canyon National Preserve","6.18683e+07","201442","Fort Payne, Alabama","Cherokee County, Alabama"
"Monocacy National Battlefield","6.66517e+06","17985","Frederick, Maryland","Frederick County, Maryland"
"Grand Canyon National Park","4.92608e+09","4756771","Fredonia, Arizona","Coconino County, Arizona"
"Pea Ridge National Military Park","1.74015e+07","114234","Garfield, Arkansas","Benton County, Arkansas"
"Tonto National Monument","4.53248e+06","53426","Globe, Arizona","Gila County, Arizona"
"Rocky Mountain National Park","1.0755e+09","3176941","Grand Lake, Colorado","Boulder County, Colorado"
"Rocky Mountain National Park","1.0755e+09","3176941","Grand Lake, Colorado","Grand County, Colorado"
"El Morro National Monument","4.20841e+06","857883","Grants, New Mexico","Cibola County, New Mexico"
"El Morro National Monument","5.1748e+06","857883","Grants, New Mexico","Cibola County, New Mexico"
"El Malpais National Monument and National Conservation Area","4.62459e+08","105356","Grants, New Mexico","Cibola County, New Mexico"
"Hagerman Fossil Beds National Monument","1.76079e+07","21100","Hagerman, Idaho","Gooding County, Idaho"
"Denali National Park and Preserve","5.27808e+09","531315","Healy, Alaska","Denali Borough, Alaska"
"Denali National Park and Preserve","1.91858e+10","531315","Healy, Alaska","Denali Borough, Alaska"
"Johnstown Flood National Memorial","664170.0","111987","Johnstown, Pennsylvania","Cambria County, Pennsylvania"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaska","Bristol Bay Borough, Alaska"
"Effigy Mounds National Monument","1.02224e+07","82581","Marquette, Iowa","Allamakee County, Iowa"
"Effigy Mounds National Monument","1.02224e+07","82581","Marquette, Iowa","Clayton County, Iowa"
"Theodore Roosevelt National Park","2.85085e+08","563407","Medora, North Dakota","Billings County, North Dakota"
"Pictured Rocks National Lakeshore","2.96376e+08","476888","Munising, Michigan","Alger County, Michigan"
"Cape Hatteras National Seashore","1.22826e+08","1960711","Nags Head, North Carolina","Dare County, North Carolina"
"Canaveral National Seashore","2.3335e+08","1005001","New Smyrna Beach, Florida","Volusia County, Florida"
"Canaveral National Seashore","2.3335e+08","1005001","New Smyrna Beach, Florida","Brevard County, Florida"
"City of Rocks National Reserve","5.83031e+07","95764","Oakley, Idaho","Cassia County, Idaho"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","Garfield County, Utah"
"Wilson's Creek National Battlefield","7.08163e+06","160000","Republic, Missouri","Greene County, Missouri"
"Richmond National Battlefield Park","3.12834e+06","68438","Richmond, Virginia","Chesterfield County, Virginia"
"Richmond National Battlefield Park","2.95704e+07","68438","Richmond, Virginia","Chesterfield County, Virginia"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Carter County, Missouri"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Dent County, Missouri"
"Fort Pulaski National Monument","2.27555e+07","408104","Savannah, Georgia","Chatham County, Georgia"
"Coronado National Memorial","1.92235e+07","86618","Sierra Vista, Arizona","Cochise County, Arizona"
"Cumberland Island National Seashore","7.56776e+07","40291","St. Marys, Georgia","Camden County, Georgia"
"Cumberland Island National Seashore","1.47368e+08","40291","St. Marys, Georgia","Camden County, Georgia"
"Catoctin Mountain Park","2.49044e+07","264460","Thurmont, Maryland","Frederick County, Maryland"
"Canaveral National Seashore","2.3335e+08","1005001","Titusville, Florida","Volusia County, Florida"
"Canaveral National Seashore","2.3335e+08","1005001","Titusville, Florida","Brevard County, Florida"
"Lava Beds National Monument","1.88956e+08","124113","Tulelake, California","Siskiyou County, California"
"Grand Canyon National Park","4.92608e+09","4756771","Tusayan, Arizona","Coconino County, Arizona"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraska","Brown County, Nebraska"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraska","Cherry County, Nebraska"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Carter County, Missouri"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Dent County, Missouri"
"Chiricahua National Monument","4.84975e+07","40646","Willcox, Arizona","Cochise County, Arizona"
"Weir Farm National Historic Site","242811.0","34802","Wilton, Connecticut","Fairfield County, Connecticut"
"Apostle Islands National Lakeshore","2.80739e+08","176040","Bayfield, Wisconsin","Ashland County, Wisconsin"
"Apostle Islands National Lakeshore","2.80739e+08","176040","Bayfield, Wisconsin","Bayfield County, Wisconsin"
"New River Gorge National River","2.94644e+08","1128195","Beckley, West Virginia","Fayette County, West Virginia"
"Golden Spike National Historic Site","1.10682e+07","40156","Brigham City, Utah","Box Elder County, Utah"
"Jewel Cave National Monument","5.15165e+06","77146","Custer, South Dakota","Custer County, South Dakota"
"Canyonlands National Park","1.36621e+09","634607","Moab, Utah","Garfield County, Utah"
"Canyonlands National Park","1.36621e+09","634607","Moab, Utah","Grand County, Utah"
"Lake Roosevelt","4.06264e+08","1781972","Spokane, Washington","Ferry County, Washington"
"Lake Roosevelt","4.06264e+08","1781972","Spokane, Washington","Grant County, Washington"
"Bryce Canyon National Park","1.45019e+08","1435741","Tropic, Utah","Garfield County, Utah"
"Curecanti National Recreation Area","1.74399e+08","924468","Gunnison, CO","Gunnison County, Colorado"
"Lake Chelan National Recreation Area","2.50735e+08","43827","Chelan, Washington","Chelan County, Washington"
"Guadalupe Mountains National Park","3.49515e+08","166868","Dell City, Texas","Culberson County, Texas"
"Fort Donelson National Battlefield","3.81619e+06","208687","Dover, Tennessee","Calloway County, Kentucky"
"Fort Donelson National Battlefield","4.07518e+06","208687","Dover, Tennessee","Calloway County, Kentucky"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","Blount County, Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","Cocke County, Tennessee"
"Ninety Six National Historic Site","4.13589e+06","28734","Greenwood, South Carolina","Greenwood County, South Carolina"
"Wind Cave National Park","1.36974e+08","591049","Hot Springs, South Dakota","Custer County, South Dakota"
"Lyndon B. Johnson National Historical Park","6.35356e+06","110791","Johnson City, Texas","Blanco County, Texas"
"Lyndon B. Johnson National Historical Park","6.35356e+06","110791","Johnson City, Texas","Gillespie County, Texas"
"Bryce Canyon National Park","1.45019e+08","1435741","Panguitch, Utah","Garfield County, Utah"
"Lyndon B. Johnson National Historical Park","6.35356e+06","110791","Stonewall, Texas","Blanco County, Texas"
"Lyndon B. Johnson National Historical Park","6.35356e+06","110791","Stonewall, Texas","Gillespie County, Texas"
"Guadalupe Mountains National Park","3.49515e+08","166868","Texas","Culberson County, Texas"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","Blount County, Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","Cocke County, Tennessee"
"Palo Alto Battlefield National Historical Park","4.20719e+06","36707","Brownsville, Texas","Cameron County, Texas"
"Palo Alto Battlefield National Historical Park","1.3587e+07","36707","Brownsville, Texas","Cameron County, Texas"
"North Cascades National Park","2.04278e+09","21623","Mount Vernon, Washington","Chelan County, Washington"
"Fort Laramie National Historic Site","3.37103e+06","46455","Torrington, Wyoming","Goshen County, Wyoming"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utah","Kane County, Utah"
"Rocky Mountain National Park","1.0755e+09","3176941","Colorado","Larimer County, Colorado"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Dayton, Ohio","Montgomery County, Ohio"
"Moores Creek National Battlefield","356123.0","48406","North Carolina","Pender County, North Carolina"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Ohio","Montgomery County, Ohio"
"Isle Royale National Park","2.31395e+09","14560","Ontario","Keweenaw County, Michigan"
"Lewis and Clark National and State Historical Parks","1.33668e+07","191867","Portland, Oregon","Pacific County, Washington"
"Organ Pipe Cactus National Monuments","1.33825e+09","211405","Ajo, Arizona","Pima County, Arizona"
"Great Sand Dunes National Park and Preserve","3.43971e+08","271774","Alamosa, Colorado","Saguache County, Colorado"
"Russell Cave National Monument","1.25453e+06","20717","Bridgeport, Alabama","Jackson County, Alabama"
"Mammoth Cave National Park","2.13795e+08","508054","Brownsville, Kentucky","Hart County, Kentucky"
"Casa Grande Ruins National Monument","1.91214e+06","65106","Coolidge, Arizona","Pinal County, Arizona"
"George Washington Carver National Monument","849840.0","30787","Diamond, Missouri","Newton County, Missouri"
"Sleeping Bear Dunes National Lakeshore","2.88084e+08","1280932","Empire, Michigan","Leelanau County, Michigan"
"Rocky Mountain National Park","1.0755e+09","3176941","Estes Park, Colorado","Larimer County, Colorado"
"Big Cypress National Preserve","2.91603e+09","941393","Everglades City, Florida","Monroe County, Florida"
"Everglades National Park","6.09447e+09","1110901","Everglades City, Florida","Monroe County, Florida"
"Everglades National Park","6.10484e+09","1110901","Everglades City, Florida","Monroe County, Florida"
"Kobuk Valley National Park","7.0849e+09","11485","Fairbanks, Alaska","Northwest Arctic Borough, Alaska"
"Everglades National Park","6.09447e+09","1110901","Florida City, Florida","Monroe County, Florida"
"Everglades National Park","6.10484e+09","1110901","Florida City, Florida","Monroe County, Florida"
"Grand Canyon National Park","4.92608e+09","4756771","Fredonia, Arizona","Mohave County, Arizona"
"Pipe Spring National Monument","161874.0","57360","Fredonia, Arizona","Mohave County, Arizona"
"Colorado National Monument","8.30941e+07","454510","Grand Junction, Colorado","Mesa County, Colorado"
"Rocky Mountain National Park","1.0755e+09","3176941","Grand Lake, Colorado","Larimer County, Colorado"
"Hawaii Volcanoes National Park","1.30888e+09","1693005","Hilo, Hawaii","Hawaii County, Hawaii"
"Navajo National Monument","1.45687e+06","87388","Kayenta, Arizona","Navajo County, Arizona"
"Dry Tortugas National Park","2.48805e+08","64865","Key West, Florida","Monroe County, Florida"
"Dry Tortugas National Park","2.61836e+08","64865","Key West, Florida","Monroe County, Florida"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaska","Kenai Peninsula Borough, Alaska"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaska","Kodiak Island Borough, Alaska"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaska","Lake and Peninsula Borough, Alaska"
"Crater Lake National Park","7.41481e+08","614712","Klamath Falls, Oregon","Klamath County, Oregon"
"Cape Krusenstern National Monument","2.62674e+09","24950","Kotzebue, Alaska","Northwest Arctic Borough, Alaska"
"Noatak National Preserve","2.65875e+10","31000","Kotzebue, Alaska","North Slope Borough, Alaska"
"Noatak National Preserve","2.65875e+10","31000","Kotzebue, Alaska","Northwest Arctic Borough, Alaska"
"Fort Union National Monument","2.91616e+06","9575","Las Vegas, New Mexico","Mora County, New Mexico"
"Devils Postpile National Monument","3.22939e+06","91794","Mammoth Lakes, California","Madera County, California"
"Mesa Verde National Park","2.12399e+08","547325","Mancos, Colorado","Montezuma County, Colorado"
"Yosemite National Park","3.02719e+09","4150217","Mariposa, California","Madera County, California"
"Yosemite National Park","3.02719e+09","4150217","Mariposa, California","Mariposa County, California"
"Muir Woods National Monument","2.24196e+06","897131","Mill Valley, California","Marin County, California"
"Black Canyon of the Gunnison","1.24441e+08","183045","Montrose, Colorado","Montrose County, Colorado"
"National Historical Park","837699.0","26996","Natchitoches, Louisiana","Natchitoches Parish, Louisiana"
"Cane River Creole","837699.0","26996","Natchitoches, Louisiana","Natchitoches Parish, Louisiana"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Page, Arizona","Kane County, Utah"
"Point Reyes National Seashore","2.8744e+08","2412663","Point Reyes Station, California","Marin County, California"
"Haleakalā National Park","1.34619e+08","1142040","Pukalani, Hawaii","Maui County, Hawaii"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","Lassen County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","Plumas County, California"
"Richmond National Battlefield Park","3.12834e+06","68438","Richmond, Virginia","Hanover County, Virginia"
"Richmond National Battlefield Park","2.95704e+07","68438","Richmond, Virginia","Hanover County, Virginia"
"Richmond National Battlefield Park","3.12834e+06","68438","Richmond, Virginia","Henrico County, Virginia"
"Richmond National Battlefield Park","2.95704e+07","68438","Richmond, Virginia","Henrico County, Virginia"
"Kenai Fjords National Park","2.71133e+09","281279","Seward, Alaska","Kenai Peninsula Borough, Alaska"
"Pinnacles National Park","1.07671e+08","224476","Soledad, California","San Benito County, California"
"Chickasaw National Recreation Area","4.00598e+07","1212139","Sulphur, Oklahoma","Murray County, Oklahoma"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","Lassen County, California"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","Plumas County, California"
"Lava Beds National Monument","1.88956e+08","124113","Tulelake, California","Modoc County, California"
"Brices Cross Roads National Battlefield Site","4046.86","2035","Tupelo, Mississippi","Lee County, Mississippi"
"Grand Canyon National Park","4.92608e+09","4756771","Tusayan, Arizona","Mohave County, Arizona"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraska","Keya Paha County, Nebraska"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraska","Rock County, Nebraska"
"Moores Creek National Battlefield","356123.0","48406","Wilmington, North Carolina","Pender County, North Carolina"
"Lake Meredith National Recreation Area","1.8202e+08","502457","Amarillo, Texas","Hutchinson County, Texas"
"Lake Meredith National Recreation Area","1.8202e+08","502457","Amarillo, Texas","Potter County, Texas"
"Alibates Flint Quarries National Monument","5.54824e+06","3282","Amarillo, Texas","Potter County, Texas"
"Acadia National Park","3.77665e+06","2811184","Bar Harbor, Maine","Hancock County, Maine"
"Acadia National Park","1.98296e+08","2811184","Bar Harbor, Maine","Hancock County, Maine"
"Acadia National Park","3.77665e+06","2811184","Bar Harbor, Maine","Knox County, Maine"
"Acadia National Park","1.98296e+08","2811184","Bar Harbor, Maine","Knox County, Maine"
"New River Gorge National River","2.94644e+08","1128195","Beckley, West Virginia","Raleigh County, West Virginia"
"Zion National Park","5.93257e+08","3662220","Cedar City, Utah","Iron County, Utah"
"Zion National Park","5.93257e+08","3662220","Cedar City, Utah","Kane County, Utah"
"Harry S. Truman National Historic Site","42451.5","31316","Independence, Missouri","Jackson County, Missouri"
"Fossil Butte National Monument","3.31761e+07","16552","Kemmerer, Wyoming","Lincoln County, Wyoming"
"Zion National Park","5.93257e+08","3662220","Orderville, Utah","Iron County, Utah"
"Zion National Park","5.93257e+08","3662220","Orderville, Utah","Kane County, Utah"
"Lake Roosevelt","4.06264e+08","1781972","Spokane, Washington","Lincoln County, Washington"
"Zion National Park","5.93257e+08","3662220","Springdale, Utah","Iron County, Utah"
"Zion National Park","5.93257e+08","3662220","Springdale, Utah","Kane County, Utah"
