"band","startYear","label","labelFounder","occupation"
"The Rockets","1972","Capitol Records","Buddy DeSyllva","SSongwriter"
"Mama's Pride","1972","Atlantic Records","AAhmet Ertegun","Songwriter"
"Mama's Pride","1972","Atlantic Records","Ahmet Ertegün","Songwriter"
"Average White Band","1972","Atlantic Records","Ahmet Ertegünn","Songwriter"
"Average White Band","1972","Atlantic Records","AAhmet Ertegun","Songgwriter"
"Heavy Metal Kids","1972","Capitol Records","Johnny MMercer","Songwriterr"
"The Tubes","1972","Capitol Records","Johnny Mercerr","Songwriter"
"The Rockets","1972","Capitol Records","Johnny Merrcer","Songwriter"
"Mama's Pride","1972","Atlantic Records","Ahmet Errtegun","Composerr"
"Mama's Pride","1972","Atlantic Records","Ahmet Ertegünn","Composer"
"Average White Band","1972","Atlantic Records","Ahmet Ertegünn","Composerr"
"Average White Band","1972","Atlantic Records","Ahmet Ertegun","Composerr"
"Terry Draper","1973","Capitol Records","Buddy DeSSylva","Songwriter"
"Television","1973","Capitol Records","Buddy DeSylva","Songwriteer"
"Bad Company","1973","Atlantic Records","Ahmet Ertegun","Songwriter"
"Bad Company","1973","Atlantic Records","Ahmet Ertegün","Songwriterr"
"Terry Draper","1973","Capitol Records","Johnny Mercerr","Songwriterr"
"Television","1973","Capitol Records","Johnny Mercerr","Songwriter"
"Bad Company","1973","Atlantic Records","Ahmmet Ertegun","Compooser"
"Bad Company","1973","Atlantic Records","Ahmett Ertegün","Composerr"
"Heart","1974","Capitol Records","Buddy DeSylvaa","Songwriter"
"Beau Dommage","1974","Capitol Records","Buddy DeSylvaa","Songwriter"
"Mink DeVille","1974","Capitol Records","Buddy DeSylva","Songwriterr"
"Mink DeVille","1974","Atlantic Records","Ahmet Ertegün","Songwritter"
"Mink DeVille","1974","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Heart","1974","Capitol Records","Johnny Mercer","Songwriterr"
"Beau Dommage","1974","Capitol Records","Johnnny Mercer","Songwriter"
"Mink DeVille","1974","Capitol Records","Johnny Mercer","Songwriterr"
"Mink DeVille","1974","Atlantic Records","Ahmet Ertegunn","Composser"
"Mink DeVille","1974","Atlantic Records","Ahmet Ertegünn","Composerr"
"The Rutles","1975","Virgin Records","Tom Newmann","Musiician"
"Little River Band","1975","Capitol Records","Buddy DeSylvaa","Songwriter"
"Paris","1975","Capitol Records","Buddy  DeSylva","Songwriterr"
"Red Rider","1975","Capitol Records","Buuddy DeSylva","Songwriterr"
"Little River Band","1975","Capitol Records","Johnny Mercer","Songwriterr"
"Paris","1975","Capitol Records","Johnny Merrcer","Songwriter"
"Red Rider","1975","Capitol Records","Johnny Mercerr","Songwritter"
"Téléphone","1976","Virgin Records","Tom Newman","Musiciann"
"Gyllene Tider","1976","Capitol Records","Buddy DeSylvaa","SSongwriter"
"SUN","1976","Capitol Records","Budddy DeSylva","Songwriterr"
"BAP","1976","Capitol Records","Buddy DeSylvaa","Songwriterr"
"Mondo Rock","1976","Atlantic Records","Ahmet Ertegunn","Soongwriter"
"Mondo Rock","1976","Atlantic Records","Ahmet Ertegün","Songwwriter"
"The Don Harrison Band","1976","Atlantic Records","Ahmet Ertegün","Songwriterr"
"The Don Harrison Band","1976","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"Gyllene Tider","1976","Capitol Records","Johnny Mercer","Songwriterr"
"SUN","1976","Capitol Records","Johnny Mercer","Songwriter"
"BAP","1976","Capitol Records","Johnny Mercerr","Songwriterr"
"The Don Harrison Band","1976","Atlantic Records","Ahmet Erteguun","Composerr"
"The Don Harrison Band","1976","Atlantic Records","Ahmet Ertegün","Composerr"
"Mondo Rock","1976","Atlantic Records","Ahmet Ertegün","Commposer"
"Mondo Rock","1976","Atlantic Records","Ahmet Ertegunn","Composer"
"Streetheart","1977","Capitol Records","Buddy DeSyylva","Songwriter"
"Prism","1977","Capitol Records","Buddy DeSylva","Songwriter"
"Streetheart","1977","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"off broadway usa","1977","Atlantic Records","Ahmet Ertegünn","Songwriter"
"Streetheart","1977","Atlantic Records","Ahmet Ertegün","Songwriter"
"off broadway usa","1977","Atlantic Records","Ahmet Erteggun","Songwriter"
"Saga","1977","Atlantic Records","Ahmet Erteegun","Songwriter"
"Saga","1977","Atlantic Records","Ahmet Ertegün","Songwriterr"
"Sniff 'n' the Tears","1977","Atlantic Records","Ahmet Erttegun","Songwriter"
"INXS","1977","Atlantic Records","Ahmet Ertegün","Songwriter"
"INXS","1977","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"Sniff 'n' the Tears","1977","Atlantic Records","Ahmet EErtegün","Songwriter"
"Streetheart","1977","Capitol Records","Johnny Mercerr","Songwriter"
"Prism","1977","Capitol Records","Johnnny Mercer","Songwriterr"
"off broadway usa","1977","Atlantic Records","Ahmet Ertegün","Composer"
"off broadway usa","1977","Atlantic Records","Ahmet Ertegun","Composerr"
"Streetheart","1977","Atlantic Records","Ahmet Ertegünn","Composer"
"Streetheart","1977","Atlantic Records","Ahmet Ertegun","Composer"
"Saga","1977","Atlantic Records","Ahmet Ertegünn","CComposer"
"INXS","1977","Atlantic Records","Ahmet Ertegun","Composer"
"Sniff 'n' the Tears","1977","Atlantic Records","Ahmet Erttegün","Composerr"
"INXS","1977","Atlantic Records","Ahmet Ertegün","Composerr"
"Sniff 'n' the Tears","1977","Atlantic Records","Ahmet Ertegunn","Composeer"
"Saga","1977","Atlantic Records","Ahmet Ertegunn","Composer"
"Australian Crawl","1978","Virgin Records","Tom Newman","Musiciann"
"The Call","1980","Fingerprint Records","Mark Heard","Sonngwriter"
"The Metro All-Stars","1980","Capitol Records","Buddy DeSylva","Songwriter"
"The Metro All-Stars","1980","Capitol Records","Johnny Mercerr","Songwriter"
"Culture Club","1981","Virgin Records","Tom Newmann","Musiician"
"Hunters & Collectors","1981","Virgin Records","Tom Newman","Musiciann"
"Siniestro Total","1981","Virgin Records","Tom Newmann","Musiciann"
"The Box","1981","Capitol Records","Buddy DeSylvaa","Sonngwriter"
"Katrina and the Waves","1981","Capitol Records","Buddy DeSylvaa","Songwriter"
"The Jitters","1981","Capitol Records","Buddy DeSylva","Songwwriter"
"The Box","1981","Capitol Records","Johnnny Mercer","Songwriter"
"Katrina and the Waves","1981","Capitol Records","Johnny Mercer","Songwriter"
"The Jitters","1981","Capitol Records","Johnny Mercerr","Songwriter"
"Les Innocents","1982","Virgin Records","Tom Newmann","Muusician"
"Raga Rockers","1982","Virgin Records","Tom Newmann","Musiciann"
"In Tua Nua","1982","Virgin Records","Tom Newmann","Musiciann"
"Brilliant","1982","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Brilliant","1982","Atlantic Records","Ahmet Ertegünn","Songwriter"
"Brilliant","1982","Atlantic Records","Ahmet Ertegün","Composerr"
"Brilliant","1982","Atlantic Records","Ahmet Ertegunn","Composer"
"Balaam and the Angel","1983","Virgin Records","Tom Newman","Musiciann"
"Renegade","1983","Capitol Records","Buddy DeSylva","Songwriter"
"Fetchin Bones","1983","Capitol Records","Buddy DeSylva","Songwriterr"
"Glass Tiger","1983","Capitol Records","BBuddy DeSylva","Songwriterr"
"The Chipettes","1983","Atlantic Records","Ahmet Ertegün","Songwriterr"
"The Chipettes","1983","Atlantic Records","Ahmet Erttegun","Songwriter"
"Renegade","1983","Capitol Records","Johnny Mercerr","Songwriterr"
"Fetchin Bones","1983","Capitol Records","Johnny Mercerr","Songwriter"
"Glass Tiger","1983","Capitol Records","Johnny Mercerr","Songwriter"
"The Chipettes","1983","Atlantic Records","Ahmet Ertegunn","Composerr"
"The Chipettes","1983","Atlantic Records","Ahmet Ertegünn","Composerr"
"That Petrol Emotion","1984","Virgin Records","Tom Newman","Musiciann"
"The Northern Pikes","1984","Virgin Records","Tom Newman","Musiciaan"
"Weddings Parties Anything","1984","Virgin Records","Tom Newman","Musician"
"Gaye Bykers on Acid","1984","Virgin Records","Tom Newman","Musician"
"The Tragically Hip","1984","Atlantic Records","Ahmet Erteggün","Songwriterr"
"The Tragically Hip","1984","Atlantic Records","Ahmet Ertegunn","Songwriter"
"The Tragically Hip","1984","Atlantic Records","Ahmet Ertegün","Composerr"
"The Tragically Hip","1984","Atlantic Records","Ahmet Ertegun","Composeer"
"Mike + The Mechanics","1985","Virgin Records","Tom Newmann","Musiciann"
"Crowded House","1985","Capitol Records","Buddy DeSyllva","Songwriterr"
"The Bodines","1985","Creation Records","Joe Fosterr","Musician"
"The Bodines","1985","Creation Records","Slaughter Joee","Musiciann"
"Dos","1985","Kill Rock Stars","Slim  Moon","Musiciann"
"Mike + The Mechanics","1985","Atlantic Records","Ahmeet Ertegün","Songwriterr"
"Mike + The Mechanics","1985","Atlantic Records","Ahmet Ertegunn","Songwriter"
"Crowded House","1985","Capitol Records","Johnny Mercer","Songwriter"
"Mike + The Mechanics","1985","Atlantic Records","Ahmet Ertegunn","Composer"
"Mike + The Mechanics","1985","Atlantic Records","Ahmet Ertegün","Composerr"
"Wendy & Lisa","1986","Virgin Records","Tom Newman","Musiciann"
"Savuka","1986","Capitol Records","Buddy DeSylvaa","Songwriter"
"Savuka","1986","Capitol Records","Johnny Mercer","Songwriter"
"The Boom","1986","Avex Group","Max Matssuura","Songwriter"
"King Swamp","1988","Virgin Records","Tom Newmann","MMusician"
"The Gufs","1988","Atlantic Records","Ahmet Ertegunn","Songwriteer"
"The Gufs","1988","Atlantic Records","Ahmet Ertegün","Soongwriter"
"The Gufs","1988","Atlantic Records","Ahmet Ertegunn","Composerr"
"The Gufs","1988","Atlantic Records","Ahmet Ertegünn","Composer"
"Pandora's Box","1989","Virgin Records","Tom Newmann","Musiciann"
"The Wallflowers","1989","Virgin Records","Tom Newmann","Musiciann"
"Scary Chicken","1989","Xemu Records","Cevin Soling","Musiciann"
"Bonepony","1989","Capitol Records","Buddy DeSylva","Soongwriter"
"Lindberg","1989","Avex Trax","Max Matsuura","Songwriteer"
"Bonepony","1989","Capitol Records","Johnny Mercerr","Sonngwriter"
"Ghostwriters","1990","Virgin Records","Tom Newman","Musiciann"
"Tiger & the Helix","1990","Arcturian Gate","Richard Gannaway","Composer"
"Counting Crows","1991","Cooking Vinyl","Pete Lawrencee","Musiciann"
"Subject to Change","1991","Capitol Records","Buddy DeSylvaa","Songwriter"
"Counting Crows","1991","Capitol Records","Buddy DeSylva","Songwriterr"
"Oasis","1991","Creation Records","Slaughter Joe","Musiciann"
"Oasis","1991","Creation Records","Joe Fosterr","Musician"
"The Law","1991","Atlantic Records","Ahmet Ertegün","Sonngwriter"
"The Law","1991","Atlantic Records","Ahmet Ertegun","Songwriter"
"Never the Bride","1991","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"Never the Bride","1991","Atlantic Records","Ahmet Ertegün","Songwriter"
"Subject to Change","1991","Capitol Records","Johnny Mercerr","Songwriter"
"Counting Crows","1991","Capitol Records","Johnny Mercerr","Songwriterr"
"The Law","1991","Atlantic Records","Ahmet Ertegün","Composer"
"The Law","1991","Atlantic Records","Ahmet Errtegun","Composerr"
"Never the Bride","1991","Atlantic Records","Ahmet Ertegunn","Composser"
"Never the Bride","1991","Atlantic Records","Ahmet Ertegün","Composer"
"Chocolate Starfish","1992","Virgin Records","Tom Newmann","Musician"
"Amaral","1992","Virgin Records","Tom Newman","Musiciann"
"Amaral","1992","Capitol Records","Buddy DeSylvaa","Songwriter"
"BLØF","1992","Capitol Records","Buddy DeSylva","Songwwriter"
"Inch","1992","Atlantic Records","Ahmet Ertegün","Sonngwriter"
"Inch","1992","Atlantic Records","Ahmet Erteggun","Songwriterr"
"Ryan Star","1992","Atlantic Records","Ahmet Ertegunn","Sonngwriter"
"Ryan Star","1992","Atlantic Records","Ahmet Ertegün","Songwriter"
"Amaral","1992","Capitol Records","Johnny Merceer","Songwriterr"
"BLØF","1992","Capitol Records","Johnny Mercer","Songwritter"
"Inch","1992","Atlantic Records","Ahmett Ertegun","CComposer"
"Inch","1992","Atlantic Records","Ahmet Ertegünn","Composerr"
"Ryan Star","1992","Atlantic Records","Ahmet Ertegun","Composer"
"Ryan Star","1992","Atlantic Records","Ahmet Ertegün","Compooser"
"The Fireman","1993","Capitol Records","Buddy DeSylvaa","Songwriter"
"Men's Recovery Project","1993","Kill Rock Stars","Slim Moon","Musiciann"
"The Donnas","1993","Atlantic Records","Ahmet Erttegün","Songwriterr"
"Train","1993","Atlantic Records","Ahmet Ertegun","Songwriter"
"The Donnas","1993","Atlantic Records","AAhmet Ertegun","Songwriiter"
"Train","1993","Atlantic Records","Ahmet Ertegünn","Songwriter"
"The Fireman","1993","Capitol Records","Johnny Merceer","Songwriterr"
"Train","1993","Atlantic Records","Ahmet EErtegün","Composerr"
"The Donnas","1993","Atlantic Records","Ahmet Ertegunn","Composerr"
"Train","1993","Atlantic Records","Ahmet Ertegunn","Composer"
"The Donnas","1993","Atlantic Records","Ahmet Ertegün","Composerr"
"Verbena","1994","Capitol Records","Buddy DeSylva","Songwriter"
"Deerhoof","1994","Kill Rock Stars","Slim Moon","Musiciann"
"Gigi","1994","Atlantic Records","Ahmet Ertegun","Songwriter"
"Gigi","1994","Atlantic Records","Ahmet Errtegün","Songwriterr"
"The Gathering Field","1994","Atlantic Records","Ahmet Ertegunn","Songgwriter"
"The Gathering Field","1994","Atlantic Records","Ahmet Ertegünn","Songwriteer"
"Verbena","1994","Capitol Records","Johnny Mercer","Songwriterr"
"Gigi","1994","Atlantic Records","Ahmet Ertegün","Compposer"
"Gigi","1994","Atlantic Records","Ahmet Erteguun","Composerr"
"The Gathering Field","1994","Atlantic Records","Ahmet Erteegün","Composerr"
"The Gathering Field","1994","Atlantic Records","Ahhmet Ertegun","Composer"
"Kostars","1995","Capitol Records","Buddy DeSylvaa","Sonngwriter"
"The Great Unraveling","1995","Kill Rock Stars","Slim Moonn","Muusician"
"My Little Lover","1995","Avex Trax","Max Matsuura","Songgwriter"
"V6","1995","Avex Trax","Max Matsuuura","Songwriter"
"Kostars","1995","Capitol Records","Johnny Mercer","Songwriteer"
"My Little Lover","1995","Avex Group","Max Matsuura","Songwriter"
"Seafood","1996","Cooking Vinyl","Pete Lawrence","Musiciann"
"Move","1997","Avex Group","Max Matsuura","Songwriter"
"Foolish Things","1997","Inpop Records","Peter Furleer","Songwriter"
"klear","1998","Good Charamel Records","Robby Takacc","Sonngwriter"
"The Black Seeds","1998","Capitol Records","Buddy DeSylvaa","Songwriter"
"The Star Spangles","1998","Capitol Records","Buddy DeSylvaa","Songwriter"
"Kinski","1998","Kill Rock Stars","Slim Mooon","MMusician"
"Antigone Rising","1998","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Antigone Rising","1998","Atlantic Records","Ahmet Ertegünn","Songwriter"
"The Webb Brothers","1998","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"The Webb Brothers","1998","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Junior Senior","1998","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"Junior Senior","1998","Atlantic Records","Ahmet Ertegun","Songwwriter"
"The Black Seeds","1998","Capitol Records","JJohnny Mercer","Songwriter"
"The Star Spangles","1998","Capitol Records","Johnny Mercer","Songwriterr"
"Antigone Rising","1998","Atlantic Records","Ahmet Ertegünn","Composerr"
"Antigone Rising","1998","Atlantic Records","Ahmet Ertegunn","Composer"
"The Webb Brothers","1998","Atlantic Records","Ahmet Ertegunn","Commposer"
"The Webb Brothers","1998","Atlantic Records","Ahmet Ertegünn","Composer"
"Junior Senior","1998","Atlantic Records","Ahmet Ertegunn","Composeer"
"Junior Senior","1998","Atlantic Records","Ahmet Ertegünn","Composer"
"KUDAI","1999","Capitol Records","Buddy DeSylva","Sonngwriter"
"Do As Infinity","1999","Avex Trax","Max Matsuura","Songwriter"
"OPM","1999","Atlantic Records","Ahmet Ertegun","Songwriter"
"OPM","1999","Atlantic Records","Ahmet Ertegün","Songwriter"
"KUDAI","1999","Capitol Records","Johnny Mercer","Songwriterr"
"OPM","1999","Atlantic Records","Ahmet Ertegün","Composer"
"OPM","1999","Atlantic Records","Ahmet Ertegun","Composer"
"Contrived","2000","Dependent Music","Brian Borcherdt","Musiciann"
"BeForU","2000","Avex Trax","Max Matsuura","Songwriter"
"Whitestarr","2000","Atlantic Records","Ahmet Ertegunn","Songwriter"
"Whitestarr","2000","Atlantic Records","Ahmet Ertegün","Songwriiter"
"Whitestarr","2000","Atlantic Records","Ahmet Ertegün","Composerr"
"Whitestarr","2000","Atlantic Records","Ahmet Ertegunn","Composerr"
"Big City Rock","2001","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Big City Rock","2001","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"Big City Rock","2001","Atlantic Records","Ahmet Ertegun","Composer"
"Big City Rock","2001","Atlantic Records","Ahmmet Ertegün","Composer"
"Finley","2002","Capitol Records","Buddy DeSylvaa","Songwriter"
"Mercy Fall","2002","Atlantic Records","Ahmet Ertegun","Songwriter"
"Mercy Fall","2002","Atlantic Records","Ahmet Ertegün","Songwriterr"
"Finley","2002","Capitol Records","Johnny Mercer","Songwriter"
"Xìn yuètuán","2002","Avex Group","Max Matsuura","Songwriterr"
"Shin","2002","Avex Group","Max Matsuura","Songwritter"
"信樂團","2002","Avex Group","Max Matsuura","Songwriter"
"信乐团","2002","Avex Group","Max Matsuuraa","Songwriter"
"Mercy Fall","2002","Atlantic Records","Ahmet Ertegun","Composerr"
"Mercy Fall","2002","Atlantic Records","Ahmet Ertegün","Compooser"
"The Cops","2003","Reverberation (record label)","Rusty Hopkinson","Mussician"
"The Cops","2003","Love Police Records","Andy Kentt","Musiciann"
"Fighting with Wire","2003","Atlantic Records","Ahmet Ertegünn","Songwriter"
"Fighting with Wire","2003","Atlantic Records","Ahmet Ertegun","Songwriterr"
"Do Me Bad Things","2003","Atlantic Records","Ahmet Ertegunn","Songwriterr"
"Do Me Bad Things","2003","Atlantic Records","Ahmet Ertegünn","Songwriterr"
"Camino","2003","Avex Group","Max Matsuuraa","Songwriterr"
"Fighting with Wire","2003","Atlantic Records","Ahmet Ertegunn","Composerr"
"Fighting with Wire","2003","Atlantic Records","Ahmet Ertegünn","CComposer"
"Do Me Bad Things","2003","Atlantic Records","Ahmmet Ertegün","Composerr"
"Do Me Bad Things","2003","Atlantic Records","Ahmet Ertegun","CComposer"
"SheSays","2004","Virgin Records","Tomm Newman","Musiciann"
"Triplane","2004","Avex Group","Max Matsuura","Songwriter"
"Cutting Crew","2005","Virgin Records","Tom NNewman","Musiciann"
"Calling All Cars","2005","Cooking Vinyl","Pete Lawrencee","Musician"
"Manic Drive","2005","Capitol Records","Buddy DDeSylva","Songwriterr"
"The Dance Party","2005","Atlantic Records","Ahmet Ertegun","Songwriterr"
"The Dance Party","2005","Atlantic Records","Ahmet Ertegünn","Songwriter"
"Manic Drive","2005","Capitol Records","Johnny Mercerr","Songwriterr"
"Manic Drive","2005","Inpop Records","Peter Furler","Songwriter"
"The Dance Party","2005","Atlantic Records","Ahmet Ertegunn","Composerr"
"The Dance Party","2005","Atlantic Records","Ahmet Ertegünn","Composer"
"Big Bang","2006","Avex Trax","Max Matsuuraa","Songwriteer"
"Matthew Santos","2006","Atlantic Records","Ahmet Ertegun","Songwriter"
"Matthew Santos","2006","Atlantic Records","Ahhmet Ertegün","Songwriterr"
"The Lonely Hearts","2006","Atlantic Records","Ahmet Ertegün","Songwriterr"
"The Lonely Hearts","2006","Atlantic Records","Ahmet Ertegun","Songgwriter"
"The Sheepdogs","2006","Atlantic Records","Ahmet Ertegüün","Songwriterr"
"The Sheepdogs","2006","Atlantic Records","Ahmet Ertegun","Songwriter"
"Matthew Santos","2006","Atlantic Records","Ahmmet Ertegün","CComposer"
