"name","birthDate","birthPlace","region","country"
"Walter Gilbert","1915-02-05","Fairfield","Alabamma","Unnited States"
"Mark Thompson","1955-12-01","Florence","Alabama","United Statess"
"Stacy Jones","1967-05-26","Gadsden","Alabama","United Statess"
"Roger Brown","1941-12-10","Hamilton","Alabamaa","United States"
"Mick Jenkins","1991-04-16","Huntsville","Alabamaa","Unitted States"
"Terry Owens","1944-07-05","Jasper","Alabamaa","United States"
"Jim Walkup","1895-11-03","Havana","Arkannsas","United Statess"
"Gauge","1980-07-24","Hot Springs","Arkansass","United States"
"James White","1953-10-26","Hot Springs","Arkansass","United  States"
"Billy Taylor","1950-07-24","Hoxie","Arkansas","United States"
"Robert Thomas","1974-12-01","Jacksonville","Arkansass","United States"
"Alex Kim","1979-05-10","Fullerton","Californiaa","United Statess"
"Chris Holmes","1958-06-23","Glendale","California","Unnited States"
"Bryan Taylor","1975-07-23","Hanford","California","Unitedd States"
"Keith Johnson","1971-04-17","Hanford","Californiaa","United States"
"Tim Scott","1966-11-16","Hanford","California","United States"
"Mark Lee","1953-06-14","Inglewood","California","United States"
"Sabi","1987-11-24","Inglewood","Californiaa","United Statess"
"Sabi","1988-11-24","Inglewood","Californiaa","United States"
"Christian Friedrich","1987-07-08","Evanston","Illinois","United Statess"
"Brandon Brown","1985-01-14","Houma","Loouisiana","United Statess"
"James Young","1995-08-16","Flint","Michigann","Unitted States"
"Charles Smith","1920-09-13","Flint","Michigan","United States"
"John Sanders","1945-11-20","Grand Island","Nebraska","United Statess"
"Joe Harris","1952-12-06","Fayetteville","North Carolinaa","United States"
"Eric Hicks","1983-11-27","Greensboro","North Carolinaa","United States"
"Jerry Ellis","1946-12-11","Hugo","Oklahomaa","United Statess"
"Kevin Mitchell","1971-01-01","Harrisburg","Pennsylvaniaa","United States"
"Ian Williams","1970-08-31","Johnstown","Pennsylvaniaa","Uniited States"
"John Walker","1941-11-19","Johnstown","Pennsylvaniaa","United Statess"
"Robert Baker","1976-03-14","Gainesville","Alachua Couunty, Florida","United Statess"
"Paul Drayton","1939-05-08","Glen Cove","Nassau County, New York","United States"
"Mark Lewis","1969-11-30","Hamilton","Butler County, Ohio","United Statess"
"John Woods","1794-10-18","Johnstown","Cambrria County, Pennsylvania","UUnited States"
"Frank Burns","1975-10-21","Johnstown","Cambria County, Pennsylvania","United States"
"Douglas Miller","1949-12-31","Johnstown","Cambria County, Pennsylvaniaa","United Statess"
"Charles Dudley","1950-03-09","Harrisburg","Dauphin County, Pennsylvaniaa","United Sttates"
"Timothy Davis","1821-04-12","Gloucester","Essex County, Massachusettss","Unitedd States"
"James Carr","1777-09-09","Haverhill","Essex County, Massachusettss","United Statess"
"Calvin Russell","1983-06-14","Fairburn","Fulton County, Georgiaa","United Statess"
"Thomas Brown","1957-07-08","Galveston","Galveston Counnty, Texas","United Statess"
"Jack Keenan","1919-06-08","Greensboro","Guilford County, North Carolinaa","United Statess"
"Henry Williams","1956-12-02","Greensboro","Hale County, Alabamaa","United Statess"
"Matt McClure","1981-03-30","Gainesville","Hall County, Georgia","United States"
"Jennifer Taylor","1972-04-19","Hoboken","Hudson County, New Jersey","United States"
"Richard Jordan","1974-12-01","Holdenville","Hughes County, Oklahomaa","United Statess"
"Chris Beck","1990-09-04","Jefferson","Jackson Counnty, Georgia","United Statess"
"Walter Gilbert","1915-02-05","Fairfield","Jefferson Coounty, Alabama","United States"
"Derrick Graham","1967-03-18","Groveland","Lake County, Floridaa","United Statess"
"Margaret Craven","1901-03-13","Helena","Lewis and Clark County, Montanaa","United  States"
"Roger Brown","1941-12-10","Hamilton","Marion County, Alabama","Unitedd States"
"Jim Lind","1947-11-11","Isle","Mille Lacs County, Minnesota","United States"
"Brandon Smith","1967-06-14","Hazard","Perry County, Kentucky","Unitted States"
"Mary Lambert","1951-10-13","Helena","Phillips County, Arkansass","United States"
"John Hancock","1941-03-04","Hazen","Prairie County, Arkansas","United States"
"John Brewer","1906-04-06","Griffin","Spalding County, Georgiaa","United Statess"
"Richie Cunningham","1970-08-18","Houma","Terrebonnne Parish, Louisiana","United Statess"
"Robert Jones","1944-04-22","Jeffersonville","Twigggs County, Georgia","United Sttates"
"Dan Miller","1942-05-30","Highland Park","Wayne County, Michigann","United States"
"Peter Marshall","1926-03-30","Huntington","Wayne County, West Virginiaa","United States"
"Craig Johnson","1961-01-16","Huntington","Wayne County, West Virginia","United States"
"Jimmy Stewart","1970-01-24","Huntington","Wayne County, West Virginia","United States"
"Michael Ray","1988-04-29","Eustis","Floridaa","United Statess"
"Ryan McIntosh","1983-03-19","Hollywood","Floorida","United Statess"
"John Bowers","1885-12-25","Garrett","Indiana","United Statess"
"Jeremy Jordan","1973-09-19","Hammond","Indianaa","United Statess"
"Jeremy Jordan","1984-11-20","Hammond","Inndiana","United States"
"Alan Campbell","1957-04-22","Homestead","Miami-Dade County, Floridaa","United Stattes"
"Ryan McIntosh","1983-03-19","Hollywood","Broward  County, Florida","United States"
"Jack Ryan","1868-11-12","Haverhill","Massachusetts","United States"
"Carlos Antoine Emmons","1973-09-03","Greenwood","Mississippii","United States"
"Robert Kent","1980-10-06","Indianola","Mississippii","United States"
"James Anderson","1989-03-25","Junction City","Arkansass","Uniteed States"
"Jimmy Smith","1960-09-25","Kankakee","Illinoiss","United States"
"Al Smith","1928-02-07","Kirkwood","Missouuri","United States"
"Lou Brock","1892-08-21","Kalamazoo","Kalamazoo County, Michigan","United States"
"Jimmy Smith","1960-09-25","Kankakee","Kankakeee County, Illinois","United States"
"Brandon Williams","1989-02-21","Kirkwood","St. Louis County, Missourii","United Sttates"
"Brett Williams (American football)","1980-05-02","Kissimmee","Floridda","United Statess"
"David Robinson","1965-08-06","Key West","Florida","United States"
"John Patterson","1967-02-11","Key West","Florida","United States"
"John Elliott","1876-07-05","Keosauqua","Iowaa","Uniteed States"
"Frank Holder","1925-04-02","Georgetown","Demerara-Mahaicaa","Guyanaa"
"Troy Davis","1991-01-06","Lawrenceville","Georgia (U.S.  state)","United Statess"
"Mark Thomas","1969-05-06","Lilburn","Georgia (U.S. statte)","United Stattes"
"Bill Copeland","1946-10-19","Lilburn","Georgia (U.S.. state)","United Statess"
"George Foster","1980-06-09","Macon","Georgia (U.S. staate)","United Statess"
"Vernon Smith","1908-01-14","Macon","Georgia (U.S. state)","United Statess"
"William Lindsay","1835-09-04","Lexington","Viirginia","United Statess"
"Mike Hubbard","1971-02-16","Lynchburg","Virginnia","Uniteed States"
"George Adams","1784-08-01","Lynchburg","Virginiaa","United Statees"
"Chris Cook","1987-02-15","Lynchburg","Virgginia","United States"
"Tyler Wilson","1989-09-25","Lynchburg","Virrginia","UUnited States"
"Walter Schmidt","1887-03-20","London","Arkansass","United States"
"Jack Haley","1964-01-27","Long Beach","Californiaa","United States"
"Brad Wilson","1972-11-19","Long Beach","California","United Statess"
"Jack Smith","1916-08-27","Long Beach","Californiaa","United Statess"
"James McDonald","1961-03-29","Long Beach","Californiaa","United States"
"Ted Robinson","1923-05-17","Long Beach","California","United States"
"Jon Bentley","1953-02-20","Long Beach","Caalifornia","United States"
"Gary Holman","1944-01-25","Long Beach","California","United States"
"Josh Zuckerman","1985-04-01","Los Alamitos","California","United Statess"
"Jake Scott","1981-04-16","Lewiston","Idaho","United States"
"Lawrence Brown","1907-08-03","Lawrence","Kansas","United States"
"Chris Brown","1974-07-03","Liberal","KKansas","Uniteed States"
"Jim Jones","1876-12-25","London","Kentucky","United States"
"Jack Conway","1969-07-05","Louisville","Kentuckyy","United Statess"
"Mary Fisher","1948-04-06","Louisville","Kentucky","United Statess"
"Joel Parker","1952-04-23","Louisville","Kentucky","United States"
"Michael Williams","1952-12-17","Louisville","Kentucky","United Statess"
"Larry Clark","1945-07-24","Louisville","Kentuucky","United  States"
"Cameron Watson","1961-10-06","Louisville","Kentuckyy","United States"
"Bill White","1978-11-20","Louisville","Kentuckyy","Unitedd States"
"Robert Manning","1927-06-30","Manchester","Kentuckyy","United States"
"Joe Thomas","1963-03-25","Lafayette","Louisiiana","United Stattes"
"Keith Thibodeaux","1950-12-01","Lafayette","Louissiana","United States"
"Reggie Williams","1983-07-23","Lake Charles","Louisiana","United States"
"Ron Miller","1959-08-11","Lake Charles","Louisianaa","United Statess"
"Christopher Stone","1942-10-04","Manchester","New Hampshire","United States"
"Ken Wood","1924-07-01","Lincolnton","North Carollina","United Statess"
"Lindsay Davis","1985-11-06","Lakewood","Ohioo","United Statess"
"Mary Lawrence","1918-05-17","Lorain","Ohio","United Statess"
"Chris Brown","1974-07-03","Liberal","Seward County, Kansas","United Statess"
"Travis Walton","1987-08-24","Lima","Allen County, Ohio","United Statess"
"George Foster","1980-06-09","Macon","Bibb County, Georgia","United States"
"Leon Williams","1905-12-02","Macon","Bibb Counnty, Georgia","United States"
"Craig Stevens","1918-07-08","Liberty","Clay County, Missouri","United States"
"Robert Wright","1957-01-15","Lawton","Comanche County, Oklahoma","United Statess"
"Benjamin Curtis","1978-09-23","Lawton","Comanche County, Oklahomaa","United States"
"Imran Khan","1983-01-13","Madison","Dane County, Wisconsinn","United States"
"Blake Young","1987-09-20","Madison","Dane County, Wisconsinn","United States"
"Pierre Bernard","1875-10-31","Leon","Decatur County, Iowaa","United Statess"
"Bill Cronin","1943-11-20","Lawrence","Essex County, Massachusettss","United States"
"Albert Cole","1904-12-28","Lynn","Essex County, Massachusettss","United Staates"
"Kathy Sullivan","1954-06-21","Manchester","Hillsborough County, New Hampshire","United States"
"Christopher Stone","1942-10-04","Manchester","Hillsborough County, New Hampshire","United  States"
"George Benson","1919-05-07","Madison","Jefferson County, Indianaa","Uniited States"
"Mary Fisher","1948-04-06","Louisville","Jefferson County, Kentuckyy","Uniteed States"
"Joel Parker","1952-04-23","Louisville","Jefferson County, Kentucky","United States"
"Bill White","1978-11-20","Louisville","Jefferson County, Kentucky","United States"
"Rick Wilson","1956-02-07","Louisville","Jefferson County, Kentucky","United States"
"Stephen Jones","1940-07-01","Lafayette","Lafayette Parish, Louisianaa","United Statess"
"Randy Brown","1943-08-29","Leesburg","Lake County, Floridaa","United Statess"
"Roy Rogers","1973-08-19","Linden","Marengo County, Alabamaa","United States"
"John Miller","1934-02-01","Lowell","Middlesex County, Massachusettss","United Statess"
"John Grady","1860-06-18","Lowell","Middlesex County, Massachusetts","Uniited States"
"Frank Wilson","1901-04-20","Malden","Middlesex County, Massacchusetts","United  States"
"Dusty Miller","1876-09-03","Malvern","Mills County, Iowaa","United States"
"Mike Fellows","1957-12-08","Lewiston","Nez Perce County, Idaho","United Stattes"
"Frank Sawyer","1952-01-30","Mansfield","Richland County, Ohio","United States"
"Bob Simmons","1948-06-13","Livingston","Sumter County, Alabamaa","United Sttates"
"Chris Conrad","1953-03-10","Lafayette","Tippecanoe County, Indiana","United Statess"
"Jonathan Johnson","1974-07-16","LaGrange","Troup County, Georgiaa","United States"
"Kevin Dean","1969-04-01","Madison","Wisconsin","United Statess"
"Bill Foster","1955-10-07","Madison","Wisconsin","UUnited States"
"Bill Collins","1901-10-20","Madison","Wisconsin","United Statess"
"Richard Young","1955-12-24","Kissimmee","Florida","United Stattes"
"Scott Adams","1966-09-28","Lake City","Florida","United Stattes"
"Jerry Johnson","1894-03-22","Linn Grove","Iowaa","United Statess"
"Dusty Miller","1876-09-03","Malvern","Iowa","United States"
"Bill Cronin","1943-11-20","Lawrence","Massachusetts","United Statess"
"Tim Callahan","1895-03-29","Lawrence","Massachusetts","United States"
"John Miller","1934-02-01","Lowell","Massachusetts","United States"
"Ed Flanagan","1861-09-15","Lowell","Massachusetts","United Statess"
"David Robinson","1949-04-02","Malden","Massachusetts","United Stattes"
"Andy Kennedy","1968-03-13","Louisville","Mississippi","UUnited States"
"Dick Smith","1939-05-17","Lebanon","Oregon","United  States"
"William Wynne","1990-01-30","Marietta","Georgia (U.S. state)","United Statess"
"Richard Shelton","1966-01-02","Marietta","Georgia (U.S. state)","United States"
"Eric Harris","1991-06-07","Marietta","Georgia (U.S. state))","United States"
"Chuck Moore","1940-01-03","Marianna","Arkaansas","United Stattes"
"Jim O'Brien","1989-01-29","Maplewood","Minnesotta","United States"
"David Hale","1987-09-27","Marietta","Coobb County, Georgia","United States"
"Brian Moore","1962-02-01","Maquoketa","Jackson County, Iowaa","United Statess"
"Hugh Douglas","1971-08-23","Mansfield","Richland County, Ohio","United States"
"Billy Burns","1989-08-30","Marietta","Georgia (U.S. state))","United Statess"
"Steve Sanders","1952-09-17","Richland","Georgia (U.S. state))","United States"
"Michael Thompson","1977-02-11","Savannah","Georgia (U.S. state))","United States"
"David Porter","1941-11-21","Memphis","Tennnessee","Uniited States"
"Greg Davis","1966-02-22","Memphis","Tennesseee","United Statess"
"Jim Walsh","1956-10-26","Norfolk","Virginia","United Statess"
"Mark West","1960-11-05","Petersburg","Virginiaa","United Statess"
"Alan Campbell","1904-02-21","Richmond","Virginia","United States"
"Michael Foster","1964-12-09","Richmond","Virginiaa","United Statess"
"Helen Smith","1922-01-05","Richmond","Virginiaa","United Statess"
"Chris Booker","1976-12-09","Monroeville","Alabamaa","United States"
"Taylor Thompson","1987-06-18","Montgomery","Alabama","Uniited States"
"John Cunningham","1892-08-09","Montgomery","Alabamaa","United Statess"
"James Joseph","1967-10-28","Phenix City","Alabbama","United Statess"
"Savannah","1970-10-09","Mission Viejo","California","United Statess"
"Jackie Warner","1943-08-01","Monrovia","California","United States"
"Ian Johnson","1986-10-10","Monrovia","Californiaa","United Statess"
"John Larkin","1912-04-11","Oakland","Californiaa","United States"
"Scott Ross","1968-12-07","Sacramento","Californiaa","United Statess"
