"product","company","industry","location","revenue","country"
"Telecommunications cable","Prysmian Group","Manufacturing","Milan","7.273E9","Italy"
"Biofuel","Südzucker","Food processing","Mannheim","7.735E9","Germany"
"Fruit","Südzucker","Food processing","Mannheim","7.735E9","Germany"
"Pizza","Südzucker","Food processing","Mannheim","7.735E9","Germany"
"Starch","Südzucker","Food processing","Mannheim","7.735E9","Germany"
"Sugar","Südzucker","Food processing","Mannheim","7.735E9","Germany"
"Frozen food","Südzucker","Food processing","Mannheim","7.735E9","Germany"
"Heat shield","ElringKlinger","Manufacturing","Dettingen an der Erms","7.957E8","Germany"
"Exhaust system","ElringKlinger","Manufacturing","Dettingen an der Erms","7.957E8","Germany"
"Auto parts","ElringKlinger","Manufacturing","Dettingen an der Erms","7.957E8","Germany"
"Folding bicycle","Brompton Bicycle","Manufacturing","Brentford","1.0E7","United Kingdom"
"Duvet","Dreams (bed retailer)","Manufacturing","High Wycombe","194.0","United Kingdom"
"Duvet","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdom"
"Duvet","Dreams (bed retailer)","Manufacturing","Buckinghamshire","194.0","United Kingdom"
"Bedstead","Dreams (bed retailer)","Manufacturing","High Wycombe","194.0","United Kingdom"
"Bedstead","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdom"
"Bedstead","Dreams (bed retailer)","Manufacturing","Buckinghamshire","194.0","United Kingdom"
"Bed","Dreams (bed retailer)","Manufacturing","High Wycombe","194.0","United Kingdom"
"Bed","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdom"
"Bed","Dreams (bed retailer)","Manufacturing","Buckinghamshire","194.0","United Kingdom"
"Futon","Dreams (bed retailer)","Manufacturing","High Wycombe","194.0","United Kingdom"
"Futon","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdom"
"Futon","Dreams (bed retailer)","Manufacturing","Buckinghamshire","194.0","United Kingdom"
"Pillows","Dreams (bed retailer)","Manufacturing","High Wycombe","194.0","United Kingdom"
"Pillows","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdom"
"Pillows","Dreams (bed retailer)","Manufacturing","Buckinghamshire","194.0","United Kingdom"
"Mattress","Dreams (bed retailer)","Manufacturing","High Wycombe","194.0","United Kingdom"
"Mattress","Dreams (bed retailer)","Manufacturing","Loudwater, Buckinghamshire","194.0","United Kingdom"
"Mattress","Dreams (bed retailer)","Manufacturing","Buckinghamshire","194.0","United Kingdom"
"AVEVA","Aveva","Computer-aided manufacturing","Cambridge","2.087E8","United Kingdom"
"Health care industry","Devro","Food processing","Chryston","2.323E8","United Kingdom"
"Health care industry","Devro","Food processing","Moodiesburn","2.323E8","United Kingdom"
"Collagen","Devro","Food processing","Chryston","2.323E8","United Kingdom"
"Collagen","Devro","Food processing","Moodiesburn","2.323E8","United Kingdom"
"Cosmetics","Devro","Food processing","Chryston","2.323E8","United Kingdom"
"Cosmetics","Devro","Food processing","Moodiesburn","2.323E8","United Kingdom"
"Rubber","Avon Rubber","Manufacturing","Melksham","5.5E7","United Kingdom"
"Rubber","Avon Rubber","Manufacturing","Wiltshire","5.5E7","United Kingdom"
"Furniture","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Furniture","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Beanbags","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Beanbags","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Mirror","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Mirror","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Carpet","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Carpet","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Crafts","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Crafts","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Quilt","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Quilt","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Blinds","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Blinds","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Dining","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Dining","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Decor","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Decor","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Pictures","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Pictures","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Lighting","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Lighting","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Bathroom","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Bathroom","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Fabrics","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Fabrics","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Pillows","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Pillows","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Flowers","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Flowers","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Pets","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Pets","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Duvets","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Duvets","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Cushions","Dunelm Group","Manufacturing","Syston","8.358E8","United Kingdom"
"Cushions","Dunelm Group","Manufacturing","Leicestershire","8.358E8","United Kingdom"
"Automotive industry","Senior plc","Manufacturing","Hertfordshire","8.495E8","United Kingdom"
"Automotive industry","Senior plc","Manufacturing","Rickmansworth","8.495E8","United Kingdom"
"Aerospace manufacturer","Senior plc","Manufacturing","Hertfordshire","8.495E8","United Kingdom"
"Aerospace manufacturer","Senior plc","Manufacturing","Rickmansworth","8.495E8","United Kingdom"
"Energy development","Senior plc","Manufacturing","Hertfordshire","8.495E8","United Kingdom"
"Energy development","Senior plc","Manufacturing","Rickmansworth","8.495E8","United Kingdom"
"Truck","Leyland Trucks","Manufacturing","Leyland, Lancashire","8.5E8","United Kingdom"
"Door","Assa Abloy","Manufacturing","Stockholm","6.8099E10","Sweden"
"Lock (security device)","Assa Abloy","Manufacturing","Stockholm","6.8099E10","Sweden"
"Rolling-element bearing","SKF","Manufacturing","Gothenburg","7.0975E10","Sweden"
"Grease (lubricant)","SKF","Manufacturing","Gothenburg","7.0975E10","Sweden"
"Seal (mechanical)","SKF","Manufacturing","Gothenburg","7.0975E10","Sweden"
"Automatic lubrication system","SKF","Manufacturing","Gothenburg","7.0975E10","Sweden"
"Condition Monitoring","SKF","Manufacturing","Gothenburg","7.0975E10","Sweden"
"Coating","Oerlikon Balzers","Manufacturing","Balzers","5.11E8","Liechtenstein"
"Confectionery","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Ice cream","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Pet foods","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Dairy products","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Bottled water","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Baby food","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Coffee","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Breakfast cereals","Nestlé","Food processing","Vevey","8.88E10","Switzerland"
"Salmon","Cermaq","Food processing","Oslo","1.1634E10","Norway"
"Trout","Cermaq","Food processing","Oslo","1.1634E10","Norway"
"Coho","Cermaq","Food processing","Oslo","1.1634E10","Norway"
"Fish feed","Cermaq","Food processing","Oslo","1.1634E10","Norway"
"Salmon","Marine Harvest","Food processing","Bergen","2.788E10","Norway"
"Trout","Marine Harvest","Food processing","Bergen","2.788E10","Norway"
"Distribution (business)","Marine Harvest","Food processing","Bergen","2.788E10","Norway"
"Berry","Gartnerhallen","Food processing","Oslo","9.0E8","Norway"
"Fruit","Gartnerhallen","Food processing","Oslo","9.0E8","Norway"
"Potato","Gartnerhallen","Food processing","Oslo","9.0E8","Norway"
"Vegetable","Gartnerhallen","Food processing","Oslo","9.0E8","Norway"
"Buses","Grivița (vehicle manufacturer)","Bus manufacturing","Chitila","2.4986575E7","Romania"
