"lake","area","location","state"
"Boot Pond (Plymouth, Massachusetts)","307561.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Boot Pond (Plymouth, Massachusetts)","307561.0","Plymouth, Massachusetts","Massachusetts"
"Bouquet Reservoir","2.54143e+06","Los Angeles County, California","California"
"Bridgeport Reservoir","1.26464e+07","Mono County, California","California"
"Briggs Reservoir (Manomet, Massachusetts)","113312.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Briggs Reservoir (Manomet, Massachusetts)","113312.0","Plymouth, Massachusetts","Massachusetts"
"Briggs Reservoir (Plymouth, Massachusetts)","68796.6","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Briggs Reservoir (Plymouth, Massachusetts)","68796.6","Plymouth, Massachusetts","Massachusetts"
"Brock Reservoir","1.96273e+06","Gordons Well, California","California"
"Brock Reservoir","1.96273e+06","Imperial County, California","California"
"Browning Pond","360170.0","Oakham, Massachusetts","Massachusetts"
"Browning Pond","360170.0","Spencer, Massachusetts","Massachusetts"
"Bucks Lake","7.39361e+06","Plumas County, California","California"
"Buena Vista Lake","6e+07","Kern County, California","California"
"Buena Vista Lake","6e+07","San Joaquin Valley","California"
"Buffumville Lake","809371.0","Charlton, Massachusetts","Massachusetts"
"Calero Reservoir","1.36379e+06","Santa Clara County, California","California"
"Camanche Reservoir","3.11608e+07","San Joaquin County, California","California"
"Camanche Reservoir","3.11608e+07","Amador County, California","California"
"Camanche Reservoir","3.11608e+07","Calaveras County, California","California"
"Canyon Lake (California)","2.1246e+06","Riverside County, California","California"
"Castac Lake","1.61874e+06","Lebec, California","California"
"Castac Lake","1.61874e+06","Kern County, California","California"
"Castle Lake (California)","190202.0","Siskiyou County, California","California"
"Cedar Lake (California)","12140.6","San Bernardino County, California","California"
"Charge Pond","93077.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Charge Pond","93077.7","Plymouth, Massachusetts","Massachusetts"
"Cherry Lake","6.21192e+06","Tuolumne County, California","California"
"Christina Lake (Florida)","109225.0","Lakeland Highlands, Florida","Florida"
"Clear Lake (California)","1.76119e+08","Lake County, California","California"
"Clear Lake (Orlando, Florida)","1.44473e+06","Orlando, Florida","Florida"
"Clear Lake Reservoir","1.04247e+08","Modoc County, California","California"
"Clifton Court Forebay","1.01171e+07","Contra Costa County, California","California"
"College Pond","214483.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"College Pond","214483.0","Plymouth, Massachusetts","Massachusetts"
"Collins Lake","3.55e+06","Yuba County, California","California"
"Cooks Pond (Plymouth, Massachusetts)","93077.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Cooks Pond (Plymouth, Massachusetts)","93077.7","Plymouth, Massachusetts","Massachusetts"
"Copco Lake","4.04686e+06","Siskiyou County, California","California"
"Coyote Lake (Santa Clara County, California)","2.56975e+06","Santa Clara County, California","California"
"Crossman Pond","60702.8","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Crossman Pond","60702.8","Kingston, Massachusetts","Massachusetts"
"Crowley Lake","2.14483e+07","Mono County, California","California"
"Crystal Lake (Lakeland, Florida)","111612.0","Lakeland, Florida","Florida"
"Crystal Lake (Newton, Massachusetts)","133546.0","Newton, Massachusetts","Massachusetts"
"Crystal Lake (south Winter Haven, Florida)","145404.0","Winter Haven, Florida","Florida"
"Crystal Springs Reservoir","5.35399e+06","San Mateo County, California","California"
"Curlew Pond","174015.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Curlew Pond","174015.0","Plymouth, Massachusetts","Massachusetts"
"Deer Pond (Plymouth, Massachusetts)","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Deer Pond (Plymouth, Massachusetts)","44515.4","Plymouth, Massachusetts","Massachusetts"
"Diamond Valley Lake","1.82109e+07","Riverside County, California","California"
"Dinner Lake","1.69968e+06","Sebring, Florida","Florida"
"Dodge Reservoir","1.98701e+06","Ravendale, California","California"
"Dodge Reservoir","1.98701e+06","Lassen County, California","California"
"Don Pedro Reservoir","5.26091e+07","Tuolumne County, California","California"
"Donner Lake","1.31e+06","Nevada County, California","California"
"Dry Canyon Reservoir","4.45154e+06","Los Angeles County, California","California"
"Dug Pond","194249.0","Natick, Massachusetts","Massachusetts"
"Dunham Pond (Carver, Massachusetts)","182109.0","Carver, Massachusetts","Plymouth County, Massachusetts"
"Dunham Pond (Carver, Massachusetts)","182109.0","Carver, Massachusetts","Massachusetts"
"Eagle Lake (Florida)","2.61832e+06","Eagle Lake, Florida","Florida"
"Eagle Lake (Lassen County)","9.71246e+07","Lassen County, California","California"
"East Head Reservoir","372311.0","Carver, Massachusetts","Plymouth County, Massachusetts"
"East Head Reservoir","372311.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"East Head Reservoir","372311.0","Carver, Massachusetts","Massachusetts"
"East Head Reservoir","372311.0","Plymouth, Massachusetts","Massachusetts"
"Eastman Lake","7.2034e+06","Madera County, California","California"
"Eastman Lake","7.2034e+06","Mariposa County, California","California"
"Edward Medard Park and Reservoir","3.11608e+06","Plant City, Florida","Florida"
"Elbow Pond (Plymouth, Massachusetts)","64749.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Elbow Pond (Plymouth, Massachusetts)","64749.7","Plymouth, Massachusetts","Massachusetts"
"Elderberry Forebay","1.82109e+06","Los Angeles County, California","California"
"Engineers Lake","49169.3","Haines City, Florida","Florida"
"Englebright Lake","3.29819e+06","Nevada County, California","California"
"Englebright Lake","3.29819e+06","Yuba County, California","California"
"Ezekiel Pond (Massachusetts)","145687.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Ezekiel Pond (Massachusetts)","145687.0","Plymouth, Massachusetts","Massachusetts"
"Fawn Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Fawn Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Massachusetts"
"Fearing Pond","97124.6","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Fearing Pond","97124.6","Plymouth, Massachusetts","Massachusetts"
"Federal Pond","522044.0","Carver, Massachusetts","Plymouth County, Massachusetts"
"Federal Pond","522044.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Federal Pond","522044.0","Carver, Massachusetts","Massachusetts"
"Federal Pond","522044.0","Plymouth, Massachusetts","Massachusetts"
"Five Mile Pond (Plymouth, Massachusetts)","117359.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Five Mile Pond (Plymouth, Massachusetts)","117359.0","Plymouth, Massachusetts","Massachusetts"
"Folsom Lake","4.63365e+07","Northern California","California"
"Forge Pond (Plymouth, Massachusetts)","56656.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Forge Pond (Plymouth, Massachusetts)","56656.0","Plymouth, Massachusetts","Massachusetts"
"Fountaingrove Lake","133546.0","Sonoma County, California","California"
"Frenchman Lake (California)","6.39403e+06","Plumas County, California","California"
"Fresh Meadow Pond","238765.0","Carver, Massachusetts","Plymouth County, Massachusetts"
"Fresh Meadow Pond","238765.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Fresh Meadow Pond","238765.0","Carver, Massachusetts","Massachusetts"
"Fresh Meadow Pond","238765.0","Plymouth, Massachusetts","Massachusetts"
"Fresh Pond (Cambridge, Massachusetts)","627263.0","Cambridge, Massachusetts","Massachusetts"
"Fresh Pond (Plymouth, Massachusetts)","250905.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Fresh Pond (Plymouth, Massachusetts)","250905.0","Plymouth, Massachusetts","Massachusetts"
"Fuller Street Pond","84984.0","Carver, Massachusetts","Plymouth County, Massachusetts"
"Fuller Street Pond","84984.0","Middleborough, Massachusetts","Plymouth County, Massachusetts"
"Fuller Street Pond","84984.0","Carver, Massachusetts","Massachusetts"
"Fuller Street Pond","84984.0","Middleborough, Massachusetts","Massachusetts"
"Furnace Pond (Pembroke, Massachusetts)","433014.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Furnace Pond (Pembroke, Massachusetts)","433014.0","Pembroke, Massachusetts","Massachusetts"
"Gallows Pond","174015.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Gallows Pond","174015.0","Plymouth, Massachusetts","Massachusetts"
"Glen Charlie Pond","748668.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Glen Charlie Pond","748668.0","Wareham, Massachusetts","Massachusetts"
"Goose Lake (Oregon–California)","3.80728e+08","Modoc County, California","California"
"Grassy Lake (Florida)","2.14447e+06","Lake Placid, Florida","Florida"
"Great Herring Pond","1.52162e+06","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Great Herring Pond","1.52162e+06","Bourne, Massachusetts","Massachusetts"
"Great Herring Pond","1.52162e+06","Plymouth, Massachusetts","Massachusetts"
"Great Island Pond","311608.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Great Island Pond","311608.0","Plymouth, Massachusetts","Massachusetts"
"Great Quittacas Pond","4.79552e+06","Lakeville, Massachusetts","Plymouth County, Massachusetts"
"Great Quittacas Pond","4.79552e+06","Middleborough, Massachusetts","Plymouth County, Massachusetts"
"Great Quittacas Pond","4.79552e+06","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Great Quittacas Pond","4.79552e+06","Middleborough, Massachusetts","Massachusetts"
"Great Quittacas Pond","4.79552e+06","Lakeville, Massachusetts","Massachusetts"
"Great Quittacas Pond","4.79552e+06","Rochester, Massachusetts","Massachusetts"
"Great Sandy Bottom Pond","441107.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Great Sandy Bottom Pond","441107.0","Pembroke, Massachusetts","Massachusetts"
"Great South Pond","1.18168e+06","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Great South Pond","1.18168e+06","Plymouth, Massachusetts","Massachusetts"
"Guadalupe Reservoir","299467.0","Santa Clara County, California","California"
"Gunners Exchange Pond","117359.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Gunners Exchange Pond","117359.0","Plymouth, Massachusetts","Massachusetts"
"Halfway Pond (Massachusetts)","938871.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Halfway Pond (Massachusetts)","938871.0","Plymouth, Massachusetts","Massachusetts"
"Hardy Pond","169968.0","Waltham, Massachusetts","Massachusetts"
"Harrobs Corner Bog Pond","64749.7","Plympton, Massachusetts","Plymouth County, Massachusetts"
"Harrobs Corner Bog Pond","64749.7","Plympton, Massachusetts","Massachusetts"
"Hedges Pond (Plymouth, Massachusetts)","105218.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Hedges Pond (Plymouth, Massachusetts)","105218.0","Plymouth, Massachusetts","Massachusetts"
"Hernandez Reservoir","2.38765e+06","San Benito County, California","California"
"Hocomonco Pond","109265.0","Westborough, Massachusetts","Massachusetts"
"Honey Lake","2.22739e+08","Lassen County, California","California"
"Horn Pond (Massachusetts)","412779.0","Woburn, Massachusetts","Massachusetts"
"Houghton's Pond","97124.6","Milton, Massachusetts","Massachusetts"
"Howard Lake (Mendocino County)","80937.1","Mendocino County, California","California"
"Hoyts Pond (Massachusetts)","64749.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Hoyts Pond (Massachusetts)","64749.7","Plymouth, Massachusetts","Massachusetts"
"Hume Lake","352077.0","Fresno County, California","California"
"Huntington Lake","5.83152e+06","Fresno County, California","California"
"Imperial Reservoir","2.8e+07","Imperial County, California","California"
"Indian Head Pond (Massachusetts)","489670.0","Hanson, Massachusetts","Plymouth County, Massachusetts"
"Indian Head Pond (Massachusetts)","489670.0","Hanson, Massachusetts","Massachusetts"
"Indian Pond (Kingston, Massachusetts)","267093.0","Plympton, Massachusetts","Plymouth County, Massachusetts"
"Indian Pond (Kingston, Massachusetts)","267093.0","Kingston, Massachusetts","Plymouth County, Massachusetts"
"Indian Pond (Kingston, Massachusetts)","267093.0","Plympton, Massachusetts","Massachusetts"
"Indian Pond (Kingston, Massachusetts)","267093.0","Kingston, Massachusetts","Massachusetts"
"Indian Tom Lake","2.02343e+06","Siskiyou County, California","California"
"Indian Valley Reservoir","1.61874e+07","Lake County, California","California"
"Irvine Lake","2.8328e+06","Orange County, California","California"
"Island Creek Pond","174015.0","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Island Creek Pond","174015.0","Duxbury, Massachusetts","Massachusetts"
"Island Pond (Cedarville, Massachusetts)","311608.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Island Pond (Cedarville, Massachusetts)","311608.0","Plymouth, Massachusetts","Massachusetts"
"Island Pond (Plymouth, Massachusetts)","48562.3","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Island Pond (Plymouth, Massachusetts)","48562.3","Plymouth, Massachusetts","Massachusetts"
"Ivanpah Lake","3.4e+07","San Bernardino County, California","California"
"Jacobs Pond (Norwell, Massachusetts)","238765.0","Norwell, Massachusetts","Plymouth County, Massachusetts"
"Jacobs Pond (Norwell, Massachusetts)","238765.0","Norwell, Massachusetts","Massachusetts"
"Keene Pond","52609.1","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Keene Pond","52609.1","Duxbury, Massachusetts","Massachusetts"
"Kelly Lake (Florida)","27397.2","Lakeland, Florida","Florida"
"Kent Lake","1.7442e+06","Marin County, California","California"
"Kings Pond (Plymouth, Massachusetts)","84984.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Kings Pond (Plymouth, Massachusetts)","84984.0","Plymouth, Massachusetts","Massachusetts"
"Laguna Niguel Lake","178062.0","Laguna Niguel, California","California"
"Lake Alpine","724387.0","Alpine County, California","California"
"Lake Amador","1.55804e+06","Amador County, California","California"
"Lake Anza","40468.6","Contra Costa County, California","California"
"Lake Arrowhead Reservoir","3.15655e+06","San Bernardino County, California","California"
"Lake Attitash","1.45687e+06","Merrimac, Massachusetts","Massachusetts"
"Lake Attitash","1.45687e+06","Amesbury, Massachusetts","Massachusetts"
"Lake August","210963.0","Placid Lakes, Florida","Florida"
"Lake Berryessa","8.37699e+07","Napa County, California","California"
"Lake Boon","659638.0","Stow, Massachusetts","Massachusetts"
"Lake Boon","659638.0","Hudson, Massachusetts","Massachusetts"
"Lake Buckeye","284251.0","Winter Haven, Florida","Florida"
"Lake Buel","793184.0","New Marlborough, Massachusetts","Massachusetts"
"Lake Buel","793184.0","Monterey, Massachusetts","Massachusetts"
"Lake Butler (Polk County, Florida)","69848.7","Haines City, Florida","Florida"
"Lake Cachuma","1.25453e+07","Santa Barbara County, California","California"
"Lake Calero","445154.0","Sacramento County, California","California"
"Lake Cannon","1.3476e+06","Winter Haven, Florida","Florida"
"Lake Canyon","42532.5","Lakeland, Florida","Florida"
"Lake Casitas","4.45154e+06","Ventura County, California","California"
"Lake Chabot","1.27476e+06","Alameda County, California","California"
"Lake Charlotte (Florida)","816210.0","Sebring, Florida","Florida"
"Lake Chaubunagungamaug","5.83557e+06","Webster, Massachusetts","Massachusetts"
"Lake Clay","1.42988e+06","Lake Placid, Florida","Florida"
"Lake Cuyamaca","445154.0","San Diego County, California","California"
"Lake Daisy","530138.0","Winter Haven, Florida","Florida"
"Lake Davis","1.62926e+07","Plumas County, California","California"
"Lake Dexter","671778.0","Winter Haven, Florida","Florida"
"Lake Dot (Orlando lake)","21934.0","Orlando, Florida","Florida"
"Lake Echo (Polk County, Florida)","278909.0","Lake Alfred, Florida","Florida"
"Lake Effie","424920.0","Lake Wales, Florida","Florida"
"Lake Elbert","696059.0","Winter Haven, Florida","Florida"
"Lake Eleanor","3.85665e+06","Tuolumne County, California","California"
"Lake Elizabeth (Florida)","3682.64","Winter Haven, Florida","Florida"
"Lake Elizabeth (Fremont, California)","335889.0","Fremont, California","California"
"Lake Ella","48562.3","Tallahassee, Florida","Florida"
"Lake Elsman","388498.0","Santa Clara County, California","California"
"Lake Eola Park","93077.7","Downtown Orlando","Florida"
"Lake Eva (Lake Alfred, Florida)","82960.6","Lake Alfred, Florida","Florida"
"Lake Evans (California)","348030.0","Kern County, California","California"
"Lake Fannie","3.24558e+06","Winter Haven, Florida","Florida"
"Lake Florence (Florida)","293761.0","Winter Haven, Florida","Florida"
"Lake Fox","220432.0","Winter Haven, Florida","Florida"
"Lake Gem (Florida)","12747.6","Winter Haven, Florida","Florida"
"Lake Gibson (Florida)","1.95463e+06","Lakeland, Florida","Florida"
"Lake Gross","350336.0","Winter Haven, Florida","Florida"
"Lake Hart (Winter Haven, Florida)","274579.0","Winter Haven, Florida","Florida"
"Lake Hartridge","1.75229e+06","Winter Haven, Florida","Florida"
"Lake Hemet","1.90202e+06","Riverside County, California","California"
"Lake Hennessey","3.19702e+06","Napa County, California","California"
"Lake Henry (Polk County, Florida)","3.43173e+06","Winter Haven, Florida","Florida"
"Lake Henshaw","4.61342e+06","San Diego County, California","California"
"Lake Hollingsworth","1.4164e+06","Lakeland, Florida","Florida"
"Lake Hunter","376358.0","Lakeland, Florida","Florida"
"Lake Idyl","76849.8","Winter Haven, Florida","Florida"
"Lake Idylwild","386394.0","Winter Haven, Florida","Florida"
"Lake Isabella","4.45154e+07","Kern County, California","California"
"Lake Jackson (Sebring, Florida)","3.72796e+07","Sebring, Florida","Florida"
"Lake Jennings","343983.0","Lakeside, California","California"
"Lake Jessie (Winter Haven, Florida)","764856.0","Winter Haven, Florida","Florida"
"Lake Josephine (Florida)","5.054e+06","Lake Placid, Florida","Florida"
"Lake Josephine (Florida)","5.054e+06","Sebring, Florida","Florida"
"Lake June in Winter","1.5079e+07","Lake Placid, Florida","Florida"
"Lake Lachard","72398.3","Lake Placid, Florida","Florida"
"Lake Lagunitas","89030.8","Marin County, California","California"
"Lake Lashaway","1.18573e+06","North Brookfield, Massachusetts","Massachusetts"
"Lake Lashaway","1.18573e+06","East Brookfield, Massachusetts","Massachusetts"
"Lake Link (Florida)","105906.0","Winter Haven, Florida","Florida"
"Lake Manly","2.6e+08","Inyo County, California","California"
"Lake Mariam","809371.0","Winter Haven, Florida","Florida"
"Lake Martha (Florida)","341474.0","Winter Haven, Florida","Florida"
"Lake Massapoag","1.42854e+06","Sharon, Massachusetts","Massachusetts"
"Lake Maude","221889.0","Winter Haven, Florida","Florida"
"Lake May (Florida)","198579.0","Winter Haven, Florida","Florida"
"Lake McCloud","2.10437e+06","Shasta County, California","California"
"Lake McCoy","205702.0","Lake Placid, Florida","Florida"
"Lake McLeod (Florida)","1.65921e+06","Eagle Lake, Florida","Florida"
"Lake Mendocino","7.77806e+06","Mendocino County, California","California"
"Lake Merced","2.63046e+06","San Francisco","California"
"Lake Merritt","566560.0","Oakland, California","California"
"Lake Ming","420873.0","Kern County, California","California"
"Lake Mirror (Winter Haven)","497763.0","Winter Haven, Florida","Florida"
"Lake Mission Viejo","505857.0","Mission Viejo, California","California"
"Lake Nippenicket","1.43259e+06","Bridgewater, Massachusetts","Plymouth County, Massachusetts"
"Lake Nippenicket","1.43259e+06","Bridgewater, Massachusetts","Massachusetts"
"Lake Norconian","242811.0","Riverside County, California","California"
"Lake Otis (Florida)","582747.0","Winter Haven, Florida","Florida"
"Lake Palmdale","2.373e+06","Los Angeles County, California","California"
"Lake Pansy (Winter Haven, Florida)","204043.0","Winter Haven, Florida","Florida"
"Lake Parker (Florida)","8.82623e+06","Lakeland, Florida","Florida"
"Lake Parker (Lake Wales, Florida)","542279.0","Lake Wales, Florida","Florida"
"Lake Pillsbury","8.09371e+06","Lake County, California","California"
"Lake Piru","5.0181e+06","Ventura County, California","California"
"Lake Placid (Highlands County, Florida)","1.37837e+07","Lake Placid, Florida","Florida"
"Lake Poinsett (Florida)","1.75391e+07","Cocoa, Florida","Florida"
"Lake Quinsigamond","3.12417e+06","Shrewsbury, Massachusetts","Massachusetts"
"Lake Quinsigamond","3.12417e+06","Worcester, Massachusetts","Massachusetts"
"Lake Ralphine","76890.3","Sonoma County, California","California"
"Lake Reed","68432.3","Winter Haven, Florida","Florida"
"Lake Rico","671778.0","Taunton, Massachusetts","Massachusetts"
"Lake Ring","13354.6","Winter Haven, Florida","Florida"
"Lake Rochelle","2.34718e+06","Lake Alfred, Florida","Florida"
"Lake Rochelle","2.34718e+06","Winter Haven, Florida","Florida"
"Lake Sabrina","744622.0","Inyo County, California","California"
"Lake San Antonio","2.3148e+07","Monterey County, California","California"
"Lake San Antonio","2.3148e+07","San Luis Obispo County, California","California"
"Lake Shipp","1.11693e+06","Winter Haven, Florida","Florida"
"Lake Sirena","578093.0","Lake Placid, Florida","Florida"
"Lake Siskiyou","1.74015e+06","Siskiyou County, California","California"
"Lake Smart","1.12098e+06","Winter Haven, Florida","Florida"
"Lake Sonoma","1.09265e+07","Sonoma County, California","California"
"Lake Thomas A Edison","7.6e+06","Fresno County, California","California"
"Lake Tuendae","5600.0","Zzyzx, California","California"
"Lake Tuendae","5600.0","San Bernardino County, California","California"
"Lake Van Arsdale","659638.0","Mendocino County, California","California"
"Lake Verona","165921.0","Avon Park, Florida","Florida"
"Lake Webb (California)","4.03876e+06","Kern County, California","California"
"Lake Wimauma","437060.0","Wimauma, Florida","Florida"
"Lake Winder","6.0541e+06","Viera, Florida","Florida"
"Lake Wire","89718.8","Lakeland, Florida","Florida"
"Lake Wyola","517998.0","Shutesbury, Massachusetts","Massachusetts"
"Lake Yosemite","2.02343e+06","Merced County, California","California"
"Leonards Pond (Rochester, Massachusetts)","218530.0","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Leonards Pond (Rochester, Massachusetts)","218530.0","Rochester, Massachusetts","Massachusetts"
"Lewiston Lake","3.03514e+06","Trinity County, California","California"
"Lexington Reservoir","1.82109e+06","Santa Clara County, California","California"
"Little Grass Valley Reservoir","5.79915e+06","Plumas County, California","California"
"Little Herring Pond","364217.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little Herring Pond","364217.0","Plymouth, Massachusetts","Massachusetts"
"Little Lake Bonny","97124.6","Lakeland, Florida","Florida"
"Little Lake Hamilton","1.4852e+06","Haines City, Florida","Florida"
"Little Lake Jackson","554419.0","Sebring, Florida","Florida"
"Little Long Pond (Plymouth, Massachusetts)","76890.3","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little Long Pond (Plymouth, Massachusetts)","76890.3","Plymouth, Massachusetts","Massachusetts"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Wareham, Massachusetts","Plymouth County, Massachusetts"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Wareham, Massachusetts","Massachusetts"
"Little Long Pond (Wareham, Massachusetts)","182109.0","Plymouth, Massachusetts","Massachusetts"
"Little Pond (Massachusetts)","174015.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little Pond (Massachusetts)","174015.0","Plymouth, Massachusetts","Massachusetts"
"Little Quittacas Pond","1.20192e+06","Lakeville, Massachusetts","Plymouth County, Massachusetts"
"Little Quittacas Pond","1.20192e+06","Rochester, Massachusetts","Plymouth County, Massachusetts"
"Little Quittacas Pond","1.20192e+06","Lakeville, Massachusetts","Massachusetts"
"Little Quittacas Pond","1.20192e+06","Rochester, Massachusetts","Massachusetts"
"Little Rocky Pond (Massachusetts)","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little Rocky Pond (Massachusetts)","44515.4","Plymouth, Massachusetts","Massachusetts"
"Little Sandy Bottom Pond","218530.0","Pembroke, Massachusetts","Plymouth County, Massachusetts"
"Little Sandy Bottom Pond","218530.0","Pembroke, Massachusetts","Massachusetts"
"Little Sandy Pond","93077.7","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Little Sandy Pond","93077.7","Plymouth, Massachusetts","Massachusetts"
