"monarch","deathDate","predecessor","successor"
"Pupienus and Balbinus","0238-07-29","Gordian I","Gordian III"
"Balbinus","0238-07-29","Gordian I","Gordian III"
"Pupienus","0238-07-29","Gordian II","Gordian III"
"Balbinus","0238-07-29","Gordian II","Gordian III"
"Pupienus and Balbinus","0238-07-29","Gordian II","Gordian III"
"Gordian III","0244-02-11","Balbinus","Philip the Arab"
"Gordian III","0244-02-11","Pupienus","Philip the Arab"
"Philip the Arab","0249-01-01","Gordian III","Herennius Etruscus"
"Philip the Arab","0249-01-01","Gordian III","Decius"
"Herennius Etruscus","0251-07-01","Philip the Arab","Trebonianus Gallus"
"Herennius Etruscus","0251-07-01","Philip the Arab","Hostilian"
"Decius","0251-07-01","Philip the Arab","Trebonianus Gallus"
"Decius","0251-07-01","Philip the Arab","Hostilian"
"Hostilian","0251-11-01","Herennius Etruscus","Volusianus"
"Hostilian","0251-11-01","Herennius Etruscus","Trebonianus Gallus"
"Hostilian","0251-11-01","Decius","Volusianus"
"Hostilian","0251-11-01","Decius","Trebonianus Gallus"
"Aemilianus","0253-01-01","Volusianus","Valerian (emperor)"
"Aemilianus","0253-01-01","Trebonianus Gallus","Valerian (emperor)"
"Volusianus","0253-08-01","Herennius Etruscus","Aemilian"
"Volusianus","0253-08-01","Decius","Aemilian"
"Trebonianus Gallus","0253-08-01","Herennius Etruscus","Aemilianus"
"Trebonianus Gallus","0253-08-01","Decius","Aemilianus"
"Saloninus","0260-01-01","Gallienus","Gallienus"
"Quintillus","0270-01-01","Claudius II","Aurelian"
"Claudius Gothicus","0270-07-01","Gallienus","Quintillus"
"Tacitus (emperor)","0276-06-01","Aurelian","Florianus"
"Florianus","0276-08-01","Marcus Claudius Tacitus","Marcus Aurelius Probus"
"Marcus Aurelius Probus","0282-01-01","Florianus","Carus"
"Carus","0283-01-01","Marcus Aurelius Probus","Carinus"
"Numerian","0284-11-01","Carus","Diocletian"
"Numerian","0284-11-20","Carus","Diocletian"
"Carinus","0285-07-01","Carus","Diocletian"
"Flavius Valerius Severus","0307-02-16","Constantius I","Licinius"
"Flavius Valerius Severus","0307-02-16","Constantius I","Maxentius"
"Flavius Valerius Severus","0307-09-16","Constantius I","Licinius"
"Flavius Valerius Severus","0307-09-16","Constantius I","Maxentius"
"Maximian","0310-01-01","Carinus","Constantius Chlorus"
"Maximian","0310-01-01","Carinus","Galerius"
"Galerius","0311-05-05","Diocletian","Licinius"
"Galerius","0311-05-05","Diocletian","Maximinus II"
"Galerius","0311-05-05","Maximian","Licinius"
"Galerius","0311-05-05","Maximian","Maximinus II"
"Galerius","0311-05-05","Diocletian","Constantine I"
"Galerius","0311-05-05","Maximian","Constantine I"
"Diocletian","0311-12-03","Carinus","Constantius Chlorus"
"Diocletian","0311-12-03","Carinus","Galerius"
"Diocletian","0312-12-03","Carinus","Constantius Chlorus"
"Diocletian","0312-12-03","Carinus","Galerius"
"Martinian (Sextus Martinianus)","0324-01-01","Constantine I","Constantine I"
"Constantine II (emperor)","0340-04-01","Constantine I","Constans"
"Constantine II (emperor)","0340-04-01","Constantine I","Constantius II"
"Constans","0350-01-18","Constantine I","Constantius II"
"Magnentius","0353-08-11","Constans","Constantius II"
"Constantius II","0361-11-03","Constantine I","Julian (emperor)"
"Julian (emperor)","0363-06-26","Constantius II","Jovian (emperor)"
"Jovian (emperor)","0364-02-17","Julian the Apostate","Valentinian I"
"Valentinian I","0375-11-17","Jovian (Emperor)","Valens"
"Valentinian I","0375-11-17","Jovian (Emperor)","Valentinian II"
"Valentinian I","0375-11-17","Jovian (Emperor)","Gratian"
"Valens","0378-08-09","Valentinian I","Theodosius I"
"Magnus Maximus","0388-08-27","Gratian","Theodosius I"
"Valentinian II","0392-05-15","Valentinian I","Theodosius I"
"Theodosius I","0395-01-17","Valens","Arcadius"
"Theodosius I","0395-01-17","Valens","Honorius (emperor)"
"Theodosius I","0395-01-17","Valens","Eastern Roman Empire"
"Theodosius I","0395-01-17","Eastern Roman Empire","Arcadius"
"Theodosius I","0395-01-17","Eastern Roman Empire","Honorius (emperor)"
"Theodosius I","0395-01-17","Eastern Roman Empire","Eastern Roman Empire"
"Theodosius I","0395-01-17","Valentinian II","Arcadius"
"Theodosius I","0395-01-17","Valentinian II","Honorius (emperor)"
"Theodosius I","0395-01-17","Valentinian II","Eastern Roman Empire"
"Theodosius I","0395-01-17","Gratian","Arcadius"
"Theodosius I","0395-01-17","Gratian","Honorius (emperor)"
"Theodosius I","0395-01-17","Gratian","Eastern Roman Empire"
"Theodosius I","0395-01-17","Western Roman Empire","Arcadius"
"Theodosius I","0395-01-17","Western Roman Empire","Honorius (emperor)"
"Theodosius I","0395-01-17","Western Roman Empire","Eastern Roman Empire"
"Theodosius I","0395-01-17","Valens","Western Roman Empire"
"Theodosius I","0395-01-17","Eastern Roman Empire","Western Roman Empire"
"Theodosius I","0395-01-17","Valentinian II","Western Roman Empire"
"Theodosius I","0395-01-17","Gratian","Western Roman Empire"
"Theodosius I","0395-01-17","Western Roman Empire","Western Roman Empire"
"Julius Nepos","0480-05-09","Glycerius","Romulus Augustus"
"Nero","1968-06-09","Claudius","Galba"
