"driver","team","gp","year"
"Alain Prost","McLaren","1988 Monaco Grand Prix","1988"
"Alain Prost","McLaren","1984 Dutch Grand Prix","1984"
"Alain Prost","McLaren","1984 German Grand Prix","1984"
"Alain Prost","McLaren","1985 Austrian Grand Prix","1985"
"Alain Prost","McLaren","1985 British Grand Prix","1985"
"Alain Prost","McLaren","1985 Italian Grand Prix","1985"
"Alain Prost","McLaren","1986 Austrian Grand Prix","1986"
"Alain Prost","McLaren","1987 Belgian Grand Prix","1987"
"Alain Prost","McLaren","1987 Brazilian Grand Prix","1987"
"Alain Prost","McLaren","1987 Portuguese Grand Prix","1987"
"Alain Prost","McLaren","1988 Australian Grand Prix","1988"
"Alain Prost","McLaren","1988 French Grand Prix","1988"
"Alain Prost","McLaren","1988 Mexican Grand Prix","1988"
"Alain Prost","McLaren","1988 Portuguese Grand Prix","1988"
"Alain Prost","McLaren","1989 British Grand Prix","1989"
"Alain Prost","Williams Grand Prix Engineering","1993 German Grand Prix","1993"
"Alain Prost","Williams Grand Prix Engineering","1993 San Marino Grand Prix","1993"
"Alain Prost","Scuderia Ferrari","1990 Brazilian Grand Prix","1990"
"Alain Prost","Scuderia Ferrari","1990 British Grand Prix","1990"
"Alain Prost","Scuderia Ferrari","1990 French Grand Prix","1990"
"Alain Prost","Scuderia Ferrari","1990 Mexican Grand Prix","1990"
"Alain Prost","Scuderia Ferrari","1990 Spanish Grand Prix","1990"
"Lewis Hamilton","McLaren","2009 Singapore Grand Prix","2009"
"Lewis Hamilton","McLaren","2010 Turkish Grand Prix","2010"
"Lewis Hamilton","McLaren","2011 Chinese Grand Prix","2011"
"Lewis Hamilton","McLaren","2011 German Grand Prix","2011"
"Lewis Hamilton","McLaren","2012 Hungarian Grand Prix","2012"
"Lewis Hamilton","McLaren","2012 Italian Grand Prix","2012"
"Lewis Hamilton","McLaren","2008 German Grand Prix","2008"
"Lewis Hamilton","McLaren","2011 Abu Dhabi Grand Prix","2011"
"Lewis Hamilton","McLaren","2008 Australian Grand Prix","2008"
"Lewis Hamilton","McLaren","2010 Belgian Grand Prix","2010"
"Lewis Hamilton","McLaren","2010 Canadian Grand Prix","2010"
"Lewis Hamilton","McLaren","2009 Hungarian Grand Prix","2009"
"Lewis Hamilton","McLaren","2012 United States Grand Prix","2012"
"Lewis Hamilton","Mercedes-Benz in Formula One","2013 Hungarian Grand Prix","2013"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Abu Dhabi Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Bahrain Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Italian Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Japanese Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Malaysian Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Russian Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Singapore Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Spanish Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 United States Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Bahrain Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Belgian Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Chinese Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Italian Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Japanese Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Russian Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 United States Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 Chinese Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2014 British Grand Prix","2014"
"Lewis Hamilton","Mercedes-Benz in Formula One","2016 British Grand Prix","2016"
"Lewis Hamilton","Mercedes-Benz in Formula One","2016 Canadian Grand Prix","2016"
"Lewis Hamilton","Mercedes-Benz in Formula One","2016 German Grand Prix","2016"
"Lewis Hamilton","Mercedes-Benz in Formula One","2016 Hungarian Grand Prix","2016"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 British Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Canadian Grand Prix","2015"
"Lewis Hamilton","Mercedes-Benz in Formula One","2016 Austrian Grand Prix","2016"
"Lewis Hamilton","Mercedes-Benz in Formula One","2016 Monaco Grand Prix","2016"
"Lewis Hamilton","Mercedes-Benz in Formula One","2015 Australian Grand Prix","2015"
"Mario Andretti","Scuderia Ferrari","1971 South African Grand Prix","1971"
"Ayrton Senna","McLaren","1988 Detroit Grand Prix","1988"
"Ayrton Senna","McLaren","1989 Monaco Grand Prix","1989"
"Ayrton Senna","McLaren","1990 Monaco Grand Prix","1990"
"Ayrton Senna","McLaren","1990 United States Grand Prix","1990"
"Ayrton Senna","McLaren","1991 Monaco Grand Prix","1991"
"Ayrton Senna","McLaren","1992 Monaco Grand Prix","1992"
"Ayrton Senna","McLaren","1993 Monaco Grand Prix","1993"
"Ayrton Senna","McLaren","1988 Belgian Grand Prix","1988"
"Ayrton Senna","McLaren","1988 British Grand Prix","1988"
"Ayrton Senna","McLaren","1988 Canadian Grand Prix","1988"
"Ayrton Senna","McLaren","1988 German Grand Prix","1988"
"Ayrton Senna","McLaren","1988 Hungarian Grand Prix","1988"
"Ayrton Senna","McLaren","1988 Japanese Grand Prix","1988"
"Ayrton Senna","McLaren","1988 San Marino Grand Prix","1988"
"Ayrton Senna","McLaren","1989 German Grand Prix","1989"
"Ayrton Senna","McLaren","1989 Mexican Grand Prix","1989"
"Ayrton Senna","McLaren","1989 San Marino Grand Prix","1989"
"Ayrton Senna","McLaren","1990 Belgian Grand Prix","1990"
"Ayrton Senna","McLaren","1990 Canadian Grand Prix","1990"
"Ayrton Senna","McLaren","1990 German Grand Prix","1990"
"Ayrton Senna","McLaren","1990 Italian Grand Prix","1990"
"Ayrton Senna","McLaren","1991 Brazilian Grand Prix","1991"
"Ayrton Senna","McLaren","1991 San Marino Grand Prix","1991"
"Ayrton Senna","McLaren","1993 Australian Grand Prix","1993"
"Ayrton Senna","McLaren","1993 Japanese Grand Prix","1993"
"Stirling Moss","Mercedes-Benz in Formula One","1955 British Grand Prix","1955"
"Sebastian Vettel","Red Bull Racing","2009 British Grand Prix","2009"
"Sebastian Vettel","Red Bull Racing","2010 Japanese Grand Prix","2010"
"Sebastian Vettel","Red Bull Racing","2011 Indian Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2011 Italian Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2011 Singapore Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2011 Turkish Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2012 Japanese Grand Prix","2012"
"Sebastian Vettel","Red Bull Racing","2012 Singapore Grand Prix","2012"
"Sebastian Vettel","Red Bull Racing","2013 Abu Dhabi Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Bahrain Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Belgian Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Brazilian Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Canadian Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 German Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Indian Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Italian Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Japanese Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Malaysian Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 Singapore Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2013 United States Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2009 Japanese Grand Prix","2009"
"Sebastian Vettel","Red Bull Racing","2011 Monaco Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2011 Spanish Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2013 Korean Grand Prix","2013"
"Sebastian Vettel","Red Bull Racing","2011 Malaysian Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2009 Abu Dhabi Grand Prix","2009"
"Sebastian Vettel","Red Bull Racing","2010 Abu Dhabi Grand Prix","2010"
"Sebastian Vettel","Red Bull Racing","2010 European Grand Prix","2010"
"Sebastian Vettel","Red Bull Racing","2010 Malaysian Grand Prix","2010"
"Sebastian Vettel","Red Bull Racing","2011 Australian Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2011 Belgian Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2012 Bahrain Grand Prix","2012"
"Sebastian Vettel","Red Bull Racing","2012 Korean Grand Prix","2012"
"Sebastian Vettel","Red Bull Racing","2012 Indian Grand Prix","2012"
"Sebastian Vettel","Red Bull Racing","2009 Chinese Grand Prix","2009"
"Sebastian Vettel","Red Bull Racing","2010 Brazilian Grand Prix","2010"
"Sebastian Vettel","Red Bull Racing","2011 European Grand Prix","2011"
"Sebastian Vettel","Red Bull Racing","2011 Korean Grand Prix","2011"
"Sebastian Vettel","Scuderia Ferrari","2015 Hungarian Grand Prix","2015"
"Sebastian Vettel","Scuderia Ferrari","2015 Malaysian Grand Prix","2015"
"Sebastian Vettel","Scuderia Ferrari","2015 Singapore Grand Prix","2015"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1954 French Grand Prix","1954"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1954 German Grand Prix","1954"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1954 Italian Grand Prix","1954"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1954 Swiss Grand Prix","1954"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1955 Argentine Grand Prix","1955"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1955 Belgian Grand Prix","1955"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1955 Dutch Grand Prix","1955"
"Juan Manuel Fangio","Mercedes-Benz in Formula One","1955 Italian Grand Prix","1955"
"Juan Manuel Fangio","Scuderia Ferrari","1952 Buenos Aires Grand Prix (I)","1952"
"Juan Manuel Fangio","Scuderia Ferrari","1956 Buenos Aires Grand Prix","1956"
"Juan Manuel Fangio","Scuderia Ferrari","1956 Syracuse Grand Prix","1956"
"Juan Manuel Fangio","Scuderia Ferrari","1950 Chilean Grand Prix","1950"
"Juan Manuel Fangio","Scuderia Ferrari","1956 Argentine Grand Prix","1956"
"Juan Manuel Fangio","Scuderia Ferrari","1956 British Grand Prix","1956"
"Juan Manuel Fangio","Scuderia Ferrari","1956 German Grand Prix","1956"
"Juan Manuel Fangio","Scuderia Ferrari","1952 Buenos Aires Grand Prix (II)","1952"
"Fernando Alonso","Scuderia Ferrari","2010 German Grand Prix","2010"
"Fernando Alonso","Scuderia Ferrari","2010 Italian Grand Prix","2010"
"Fernando Alonso","Scuderia Ferrari","2011 British Grand Prix","2011"
"Fernando Alonso","Scuderia Ferrari","2012 German Grand Prix","2012"
"Fernando Alonso","Scuderia Ferrari","2013 Spanish Grand Prix","2013"
"Fernando Alonso","Scuderia Ferrari","2010 Singapore Grand Prix","2010"
"Fernando Alonso","Scuderia Ferrari","2013 Chinese Grand Prix","2013"
"Fernando Alonso","Scuderia Ferrari","2010 Korean Grand Prix","2010"
"Fernando Alonso","Scuderia Ferrari","2012 European Grand Prix","2012"
"Fernando Alonso","Scuderia Ferrari","2012 Malaysian Grand Prix","2012"
"Fernando Alonso","Scuderia Ferrari","2010 Bahrain Grand Prix","2010"
"Emerson Fittipaldi","McLaren","Grande Premio Presidente Emilio Medici","1974"
"Emerson Fittipaldi","McLaren","1974 Belgian Grand Prix","1974"
"Emerson Fittipaldi","McLaren","1974 Brazilian Grand Prix","1974"
"Emerson Fittipaldi","McLaren","1975 Argentine Grand Prix","1975"
"Emerson Fittipaldi","McLaren","1975 British Grand Prix","1975"
"Nico Rosberg","Mercedes-Benz in Formula One","2012 Chinese Grand Prix","2012"
"Nico Rosberg","Mercedes-Benz in Formula One","2014 Austrian Grand Prix","2014"
"Nico Rosberg","Mercedes-Benz in Formula One","2014 Brazilian Grand Prix","2014"
"Nico Rosberg","Mercedes-Benz in Formula One","2014 German Grand Prix","2014"
"Damon Hill","Williams Grand Prix Engineering","1995 Australian Grand Prix","1995"
"Damon Hill","Williams Grand Prix Engineering","1996 San Marino Grand Prix","1996"
"Nico Rosberg","Mercedes-Benz in Formula One","2014 Monaco Grand Prix","2014"
"Nico Rosberg","Mercedes-Benz in Formula One","2015 Abu Dhabi Grand Prix","2015"
"Nico Rosberg","Mercedes-Benz in Formula One","2015 Austrian Grand Prix","2015"
"Nico Rosberg","Mercedes-Benz in Formula One","2015 Brazilian Grand Prix","2015"
"Nico Rosberg","Mercedes-Benz in Formula One","2015 Mexican Grand Prix","2015"
"Nico Rosberg","Mercedes-Benz in Formula One","2015 Spanish Grand Prix","2015"
"Nico Rosberg","Mercedes-Benz in Formula One","2013 British Grand Prix","2013"
"Nico Rosberg","Mercedes-Benz in Formula One","2014 Australian Grand Prix","2014"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Belgian Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Italian Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Japanese Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Russian Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Singapore Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Australian Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2015 Monaco Grand Prix","2015"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Bahrain Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 Chinese Grand Prix","2016"
"Nico Rosberg","Mercedes-Benz in Formula One","2013 Monaco Grand Prix","2013"
"Nico Rosberg","Mercedes-Benz in Formula One","2016 European Grand Prix","2016"
"Niki Lauda","McLaren","1982 United States Grand Prix West","1982"
"Niki Lauda","McLaren","1982 British Grand Prix","1982"
"Niki Lauda","McLaren","1984 British Grand Prix","1984"
"Niki Lauda","McLaren","1985 Dutch Grand Prix","1985"
"Niki Lauda","Scuderia Ferrari","1975 Monaco Grand Prix","1975"
"Niki Lauda","Scuderia Ferrari","1976 Monaco Grand Prix","1976"
"Niki Lauda","Scuderia Ferrari","1975 BRDC International Trophy","1975"
"Niki Lauda","Scuderia Ferrari","1974 Dutch Grand Prix","1974"
"Niki Lauda","Scuderia Ferrari","1974 Spanish Grand Prix","1974"
"Niki Lauda","Scuderia Ferrari","1975 Belgian Grand Prix","1975"
"Niki Lauda","Scuderia Ferrari","1975 French Grand Prix","1975"
"Niki Lauda","Scuderia Ferrari","1975 Swedish Grand Prix","1975"
"Niki Lauda","Scuderia Ferrari","1975 United States Grand Prix","1975"
"Niki Lauda","Scuderia Ferrari","1976 Belgian Grand Prix","1976"
"Niki Lauda","Scuderia Ferrari","1976 Brazilian Grand Prix","1976"
"Niki Lauda","Scuderia Ferrari","1976 British Grand Prix","1976"
"Niki Lauda","Scuderia Ferrari","1976 South African Grand Prix","1976"
"Niki Lauda","Scuderia Ferrari","1977 Dutch Grand Prix","1977"
"Niki Lauda","Scuderia Ferrari","1977 German Grand Prix","1977"
"Niki Lauda","Scuderia Ferrari","1977 South African Grand Prix","1977"
"Mika Häkkinen","McLaren","1998 Spanish Grand Prix","1998"
"Mika Häkkinen","McLaren","2000 Austrian Grand Prix","2000"
"Mika Häkkinen","McLaren","2000 Belgian Grand Prix","2000"
"Mika Häkkinen","McLaren","2000 Hungarian Grand Prix","2000"
"Mika Häkkinen","McLaren","2000 Spanish Grand Prix","2000"
"Mika Häkkinen","McLaren","2001 United States Grand Prix","2001"
"Mika Häkkinen","McLaren","1997 European Grand Prix","1997"
"Mika Häkkinen","McLaren","1998 Australian Grand Prix","1998"
"Mika Häkkinen","McLaren","1998 Austrian Grand Prix","1998"
"Mika Häkkinen","McLaren","1998 Brazilian Grand Prix","1998"
"Mika Häkkinen","McLaren","1998 German Grand Prix","1998"
"Mika Häkkinen","McLaren","1998 Luxembourg Grand Prix","1998"
"Mika Häkkinen","McLaren","1999 Brazilian Grand Prix","1999"
"Mika Häkkinen","McLaren","1999 Canadian Grand Prix","1999"
"Mika Häkkinen","McLaren","1999 Japanese Grand Prix","1999"
"Mika Häkkinen","McLaren","1999 Spanish Grand Prix","1999"
"Bruce McLaren","McLaren","1968 Race of Champions","1968"
"Jacky Ickx","Scuderia Ferrari","1971 Jochen Rindt Gedächtnisrennen","1971"
"Jacky Ickx","Scuderia Ferrari","1968 French Grand Prix","1968"
"Jacky Ickx","Scuderia Ferrari","1970 Austrian Grand Prix","1970"
"Jacky Ickx","Scuderia Ferrari","1970 Canadian Grand Prix","1970"
"Jacky Ickx","Scuderia Ferrari","1970 Mexican Grand Prix","1970"
"Jacky Ickx","Scuderia Ferrari","1971 Dutch Grand Prix","1971"
"Jacky Ickx","Scuderia Ferrari","1972 German Grand Prix","1972"
"David Coulthard","McLaren","2002 Monaco Grand Prix","2002"
"David Coulthard","McLaren","2003 Australian Grand Prix","2003"
"David Coulthard","McLaren","1997 Australian Grand Prix","1997"
"David Coulthard","McLaren","1997 Italian Grand Prix","1997"
"David Coulthard","McLaren","1998 San Marino Grand Prix","1998"
"David Coulthard","McLaren","1999 Belgian Grand Prix","1999"
"David Coulthard","McLaren","1999 British Grand Prix","1999"
"David Coulthard","McLaren","2000 British Grand Prix","2000"
"David Coulthard","McLaren","2000 French Grand Prix","2000"
"Alberto Ascari","Scuderia Ferrari","1949 Italian Grand Prix","1949"
"Alberto Ascari","Scuderia Ferrari","1951 San Remo Grand Prix","1951"
"Alberto Ascari","Scuderia Ferrari","1951 German Grand Prix","1951"
"Alberto Ascari","Scuderia Ferrari","1951 Italian Grand Prix","1951"
"Alberto Ascari","Scuderia Ferrari","1952 Belgian Grand Prix","1952"
"Alberto Ascari","Scuderia Ferrari","1952 British Grand Prix","1952"
"Alberto Ascari","Scuderia Ferrari","1952 Dutch Grand Prix","1952"
"Alberto Ascari","Scuderia Ferrari","1952 French Grand Prix","1952"
"Alberto Ascari","Scuderia Ferrari","1952 German Grand Prix","1952"
"Alberto Ascari","Scuderia Ferrari","1952 Italian Grand Prix","1952"
"Alberto Ascari","Scuderia Ferrari","1953 Argentine Grand Prix","1953"
"Alberto Ascari","Scuderia Ferrari","1953 Belgian Grand Prix","1953"
"Alberto Ascari","Scuderia Ferrari","1953 British Grand Prix","1953"
"Alberto Ascari","Scuderia Ferrari","1953 Dutch Grand Prix","1953"
"Alberto Ascari","Scuderia Ferrari","1953 Swiss Grand Prix","1953"
"Alberto Ascari","Scuderia Ferrari","1949 Buenos Aires Grand Prix (III)","1949"
"Alberto Ascari","Scuderia Ferrari","1949 Swiss Grand Prix","1949"
"Denny Hulme","McLaren","1968 BRDC International Trophy","1968"
"Chris Amon","Scuderia Ferrari","1968 New Zealand Grand Prix","1968"
"Chris Amon","Scuderia Ferrari","1969 New Zealand Grand Prix","1969"
"Chris Amon","Scuderia Ferrari","1969 Australian Grand Prix","1969"
"Maurice Trintignant","Scuderia Ferrari","1955 Monaco Grand Prix","1955"
"Jenson Button","McLaren","2010 Chinese Grand Prix","2010"
"Jenson Button","McLaren","2011 Hungarian Grand Prix","2011"
"Jenson Button","McLaren","2011 Japanese Grand Prix","2011"
"Jenson Button","McLaren","2010 Australian Grand Prix","2010"
"Jenson Button","McLaren","2012 Australian Grand Prix","2012"
"Jenson Button","McLaren","2012 Belgian Grand Prix","2012"
"Jenson Button","McLaren","2011 Canadian Grand Prix","2011"
"Jenson Button","McLaren","2012 Brazilian Grand Prix","2012"
"Phil Hill","Scuderia Ferrari","1960 Italian Grand Prix","1960"
"Phil Hill","Scuderia Ferrari","1961 Belgian Grand Prix","1961"
"Phil Hill","Scuderia Ferrari","1961 Italian Grand Prix","1961"
"Mike Parkes","Scuderia Ferrari","1967 Syracuse Grand Prix","1967"
"Louis Chiron","Scuderia Ferrari","1934 Moroccan Grand Prix","1934"
"Peter Revson","McLaren","1973 British Grand Prix","1973"
"Gerhard Berger","McLaren","1991 Japanese Grand Prix","1991"
"Gerhard Berger","McLaren","1992 Australian Grand Prix","1992"
"Gerhard Berger","McLaren","1992 Canadian Grand Prix","1992"
"Felipe Massa","Scuderia Ferrari","2008 Bahrain Grand Prix","2008"
"Felipe Massa","Scuderia Ferrari","2008 Belgian Grand Prix","2008"
"Felipe Massa","Scuderia Ferrari","2008 Brazilian Grand Prix","2008"
"Felipe Massa","Scuderia Ferrari","2008 European Grand Prix","2008"
"Felipe Massa","Scuderia Ferrari","2008 French Grand Prix","2008"
"Felipe Massa","Scuderia Ferrari","2008 Turkish Grand Prix","2008"
"Felipe Massa","Scuderia Ferrari","2007 Bahrain Grand Prix","2007"
"Felipe Massa","Scuderia Ferrari","2007 Spanish Grand Prix","2007"
"Felipe Massa","Scuderia Ferrari","2007 Turkish Grand Prix","2007"
"Felipe Massa","Scuderia Ferrari","2006 Brazilian Grand Prix","2006"
"Felipe Massa","Scuderia Ferrari","2006 Turkish Grand Prix","2006"
"Gerhard Berger","Scuderia Ferrari","1987 Australian Grand Prix","1987"
"Gerhard Berger","Scuderia Ferrari","1987 Japanese Grand Prix","1987"
"Gerhard Berger","Scuderia Ferrari","1988 Italian Grand Prix","1988"
"Gerhard Berger","Scuderia Ferrari","1989 Portuguese Grand Prix","1989"
"Gerhard Berger","Scuderia Ferrari","1994 German Grand Prix","1994"
"James Hunt","McLaren","1976 BRDC International Trophy","1976"
"James Hunt","McLaren","1976 Race of Champions","1976"
"James Hunt","McLaren","1977 Race of Champions","1977"
"James Hunt","McLaren","1976 Dutch Grand Prix","1976"
"James Hunt","McLaren","1976 French Grand Prix","1976"
