"manufacturer","manufacturerCountry","automobile","assemblyPlace","year","sold"
"Peugeot","France","Peugeot 206","Los Andes, Chile","2004","795000"
"Peugeot","France","Peugeot 206","Barra de Carrasco","2004","795000"
"Peugeot","Francce","Peugeot 307","El Palomar, Buenos Aires","2004","583700"
"Peugeot","Frrance","Peugeot 307","Villa Bosch","2004","583700"
"Ford Motor Company","United Statess","Ford Five Hundred","Chicago","2004","14106"
"General Motors","United States","Pontiac Aztek","Ramos Arizpe","2004","20588"
"General Motors","United States","Buick Rendezvous","Ramos Arizpe","2004","60039"
"Cadillac","United Statess","Cadillac STS","Kaliningrad","2004","9484"
"Cadillac","United Staates","Cadillac STS","Kaliningrad Oblast","2004","9484"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Tehran","2004","58954"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Pekan District","2004","58954"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Graz","2004","58954"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","6th of October City","2004","58954"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Bogor","2004","58954"
"Daimler AG","Germmany","Mercedes-Benz E-Class (W211)","Johor Bahru","2004","58954"
"Daimler AG","Geermany","Mercedes-Benz E-Class (W211)","Santiago Tianguistenco","2004","58954"
"Peugeot","France","Peugeot 206","Jakarta","2005","676500"
"Peugeot","Frannce","Peugeot 206","Kuala Lumpur","2005","676500"
"Peugeot","Francee","Peugeot 206","Tehran","2005","676500"
"Peugeot","France","Peugeot 206","Buenos Aires","2005","676500"
"Mercedes-Benz","Germany","Mercedes-Benz R-Class","Vance, Alabama","2005","4959"
"Peugeot","Francee","Peugeot 107","Kolín","2005","34600"
"Peugeot","Frrance","Peugeot 206","Ryton-on-Dunsmore","2005","676500"
"Peugeot","Frrance","Peugeot 206","Los Andes, Chile","2005","676500"
"Peugeot","FFrance","Peugeot 307","Villa Bosch","2005","520400"
"Peugeot","Francee","Peugeot 206","Barra de Carrasco","2005","676500"
"Peugeot","Francce","Peugeot 307","El Palomar, Buenos Aires","2005","520400"
"Ford Motor Company","United Statees","Ford Five Hundred","Chicago","2005","107932"
"General Motors","Unnited States","Buick Rendezvous","Ramos Arizpe","2005","60589"
"General Motors","United States","Pontiac Aztek","Ramos Arizpe","2005","5020"
"Cadillac","United Statess","Cadillac STS","Kaliningrad","2005","33497"
"Cadillac","United States","Cadillac STS","Kaliningrad Oblast","2005","33497"
"Lincoln Motor Company","Uniited States","Lincoln Mark LT","Cuautitlán","2005","10274"
"Daimler AG","GGermany","Mercedes-Benz E-Class (W211)","Graz","2005","50383"
"Daimler AG","Geermany","Mercedes-Benz E-Class (W211)","Pekan District","2005","50383"
"Daimler AG","Gerrmany","Mercedes-Benz E-Class (W211)","Tehran","2005","50383"
"Daimler AG","Germmany","Mercedes-Benz E-Class (W211)","Johor Bahru","2005","50383"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","6th of October City","2005","50383"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Bogor","2005","50383"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Santiago Tianguistenco","2005","50383"
"Peugeot","Fraance","Peugeot 206","Jakarta","2006","475100"
"Peugeot","France","Peugeot 206","Kuala Lumpur","2006","475100"
"Peugeot","France","Peugeot 206","Tehran","2006","475100"
"Peugeot","France","Peugeot 206","Buenos Aires","2006","475100"
"Mercedes-Benz","Germanyy","Mercedes-Benz R-Class","Vance, Alabama","2006","18168"
"Peugeot","France","Peugeot 107","Kolín","2006","101700"
"Peugeot","France","Peugeot 206","Ryton-on-Dunsmore","2006","475100"
"Peugeot","France","Peugeot 206","Los Andes, Chile","2006","475100"
"Peugeot","Frannce","Peugeot 206","Barra de Carrasco","2006","475100"
"Ford Motor Company","United Statess","Ford Five Hundred","Chicago","2006","84218"
"Peugeot","France","Peugeot 307","Villa Bosch","2006","447000"
"Peugeot","Francee","Peugeot 307","El Palomar, Buenos Aires","2006","447000"
"General Motors","United Statess","Pontiac Aztek","Ramos Arizpe","2006","347"
"General Motors","United States","Buick Rendezvous","Ramos Arizpe","2006","45954"
"Cadillac","United States","Cadillac STS","Kaliningrad Oblast","2006","25676"
"Cadillac","United States","Cadillac STS","Kaliningrad","2006","25676"
"Lincoln Motor Company","United Sttates","Lincoln Mark LT","Cuautitlán","2006","12753"
"Daimler AG","Germaany","Mercedes-Benz E-Class (W211)","Pekan District","2006","50195"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Graz","2006","50195"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Tehran","2006","50195"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","6th of October City","2006","50195"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Johor Bahru","2006","50195"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Bogor","2006","50195"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Santiago Tianguistenco","2006","50195"
"Peugeot","Francee","Peugeot 206","Kuala Lumpur","2007","308200"
"Peugeot","Francee","Peugeot 206","Jakarta","2007","308200"
"Peugeot","France","Peugeot 206","Tehran","2007","308200"
"Peugeot","Francce","Peugeot 206","Buenos Aires","2007","308200"
"Mercedes-Benz","Germanyy","Mercedes-Benz R-Class","Vance, Alabama","2007","13031"
"Peugeot","Francee","Peugeot 107","Kolín","2007","104400"
"Peugeot","Francee","Peugeot 206","Ryton-on-Dunsmore","2007","308200"
"Peugeot","Francee","Peugeot 206","Los Andes, Chile","2007","308200"
"Peugeot","France","Peugeot 206","Barra de Carrasco","2007","308200"
"Ford Motor Company","United States","Ford Five Hundred","Chicago","2007","35146"
"Peugeot","France","Peugeot 307","Villa Bosch","2007","369100"
"Peugeot","Francee","Peugeot 307","El Palomar, Buenos Aires","2007","369100"
"General Motors","United States","Buick Rendezvous","Ramos Arizpe","2007","15295"
"General Motors","United Statess","Pontiac Aztek","Ramos Arizpe","2007","69"
"Cadillac","United Statess","Cadillac STS","Kaliningrad Oblast","2007","20873"
"Cadillac","United States","Cadillac STS","Kaliningrad","2007","20873"
"Lincoln Motor Company","United Sttates","Lincoln Mark LT","Cuautitlán","2007","8382"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Pekan District","2007","48950"
"Daimler AG","Germaany","Mercedes-Benz E-Class (W211)","Graz","2007","48950"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Johor Bahru","2007","48950"
"Daimler AG","GGermany","Mercedes-Benz E-Class (W211)","Bogor","2007","48950"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","6th of October City","2007","48950"
"Daimler AG","Gerrmany","Mercedes-Benz E-Class (W211)","Tehran","2007","48950"
"Daimler AG","Germanyy","Mercedes-Benz E-Class (W211)","Santiago Tianguistenco","2007","48950"
"Peugeot","France","Peugeot 4007","Okazaki, Aichi","2007","6300"
"Peugeot","France","Peugeot 4007","Kaluga","2007","6300"
"Citroën","France","Citroën C3 Picasso","Trnava","2008","0"
"Peugeot","Francee","Peugeot 206","Kuala Lumpur","2008","292300"
"Peugeot","France","Peugeot 206","Jakarta","2008","292300"
"Peugeot","Francee","Peugeot 206","Tehran","2008","292300"
"Peugeot","Francee","Peugeot 206","Buenos Aires","2008","292300"
"Mercedes-Benz","Germany","Mercedes-Benz R-Class","Vance, Alabama","2008","7733"
"Peugeot","France","Peugeot 107","Kolín","2008","106500"
"Peugeot","France","Peugeot 206","Ryton-on-Dunsmore","2008","292300"
"Peugeot","Francee","Peugeot 206","Los Andes, Chile","2008","292300"
"Peugeot","Frannce","Peugeot 206","Barra de Carrasco","2008","292300"
"Peugeot","Frannce","Peugeot 307","Villa Bosch","2008","142300"
"Peugeot","Francee","Peugeot 307","El Palomar, Buenos Aires","2008","142300"
"Cadillac","Unnited States","Cadillac STS","Kaliningrad Oblast","2008","14790"
"Cadillac","United Statess","Cadillac STS","Kaliningrad","2008","14790"
"Lincoln Motor Company","UUnited States","Lincoln Mark LT","Cuautitlán","2008","4631"
"Ford Motor Company","United States","Ford Flex","Oakville, Ontario","2008","14457"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Pekan District","2008","38576"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Graz","2008","38576"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Bogor","2008","38576"
"Daimler AG","Germaany","Mercedes-Benz E-Class (W211)","6th of October City","2008","38576"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Tehran","2008","38576"
"Daimler AG","Germmany","Mercedes-Benz E-Class (W211)","Johor Bahru","2008","38576"
"Daimler AG","Germany","Mercedes-Benz E-Class (W211)","Santiago Tianguistenco","2008","38576"
"Lincoln Motor Company","United Statess","Lincoln MKS","Chicago","2008","12982"
"Peugeot","France","Peugeot 4007","Okazaki, Aichi","2008","13700"
"Peugeot","France","Peugeot 4007","Kaluga","2008","13700"
"Citroën","Francee","Citroën Xantia","Tehran","2009","12500"
"Peugeot","Fraance","Peugeot RCZ","Graz","2009","100"
"Citroën","France","Citroën Elysée","Vigo","2009","75500"
"Honda","Japann","Honda Crosstour","Guangzhou","2009","2564"
"Citroën","Francee","Citroën C3 Picasso","Trnava","2009","86500"
"Peugeot","Francee","Peugeot 206","Jakarta","2009","370800"
"Peugeot","Francee","Peugeot 206","Kuala Lumpur","2009","370800"
"Peugeot","Fraance","Peugeot 206","Tehran","2009","370800"
"Peugeot","Frannce","Peugeot 206","Buenos Aires","2009","370800"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","Ho Chi Minh City","2009","21944"
"Mercedes-Benz","Germany","Mercedes-Benz R-Class","Vance, Alabama","2009","2825"
"Peugeot","Francee","Peugeot 107","Kolín","2009","118600"
"Peugeot","France","Peugeot 206","Ryton-on-Dunsmore","2009","370800"
"Peugeot","France","Peugeot 206","Los Andes, Chile","2009","370800"
"Peugeot","Francee","Peugeot 206","Barra de Carrasco","2009","370800"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","6th of October City","2009","21944"
"Citroën","Frrance","Citroën Xsara Picasso","Cairo","2009","54000"
"Citroën","Francee","Citroën ZX","Vigo","2009","75500"
"Citroën","France","Citroën C-Crosser","Okazaki, Aichi","2009","9400"
"Citroën","France","Citroën C-Crosser","Kaluga","2009","9400"
"Citroën","Francee","Citroën ZX","Barra de Carrasco","2009","75500"
"Citroën","France","Citroën Xsara Picasso","Vigo","2009","54000"
"Peugeot","Francee","Peugeot 307","Villa Bosch","2009","93600"
"Peugeot","Francee","Peugeot 307","El Palomar, Buenos Aires","2009","93600"
"Cadillac","United Statess","Cadillac STS","Kaliningrad Oblast","2009","6037"
"Cadillac","United States","Cadillac STS","Kaliningrad","2009","6037"
"GMC (automobile)","United States","GMC Terrain","Ingersoll, Ontario","2009","14033"
"Lincoln Motor Company","Unitedd States","Lincoln Mark LT","Cuautitlán","2009","147"
"Lincoln Motor Company","United Statess","Lincoln MKT","Oakville, Ontario","2009","2580"
"Ford Motor Company","United Statess","Ford Flex","Oakville, Ontario","2009","38717"
"Lincoln Motor Company","United Statess","Lincoln MKS","Chicago","2009","17174"
"Peugeot","Francee","Peugeot 4007","Kaluga","2009","9400"
"Peugeot","France","Peugeot 4007","Okazaki, Aichi","2009","9400"
"Citroën","Francee","Citroën Xantia","Tehran","2010","4000"
"Peugeot","Francee","Peugeot RCZ","Graz","2010","16600"
"Citroën","Francee","Citroën Elysée","Vigo","2010","71800"
"Honda","Japann","Honda Crosstour","Guangzhou","2010","28851"
"Citroën","France","Citroën C3 Picasso","Trnava","2010","83700"
"Peugeot","France","Peugeot 206","Kuala Lumpur","2010","472800"
"Peugeot","Frannce","Peugeot 206","Jakarta","2010","472800"
"Peugeot","France","Peugeot 206","Tehran","2010","472800"
"Peugeot","France","Peugeot 206","Buenos Aires","2010","472800"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","Ho Chi Minh City","2010","20946"
"Mercedes-Benz","Germany","Mercedes-Benz R-Class","Vance, Alabama","2010","2937"
"Peugeot","France","Peugeot 107","Kolín","2010","111900"
"Peugeot","Francee","Peugeot 206","Ryton-on-Dunsmore","2010","472800"
"Peugeot","Francee","Peugeot 206","Los Andes, Chile","2010","472800"
"Peugeot","Francee","Peugeot 206","Barra de Carrasco","2010","472800"
"Mercedes-Benz","Gerrmany","Mercedes-Benz GLK-Class","6th of October City","2010","20946"
"Citroën","Francee","Citroën Xsara Picasso","Cairo","2010","38200"
"Citroën","France","Citroën ZX","Vigo","2010","71800"
"Citroën","France","Citroën C-Crosser","Okazaki, Aichi","2010","8500"
"Citroën","France","Citroën C-Crosser","Kaluga","2010","8500"
"Citroën","France","Citroën ZX","Barra de Carrasco","2010","71800"
"Citroën","France","Citroën Xsara Picasso","Vigo","2010","38200"
"Peugeot","FFrance","Peugeot 307","Villa Bosch","2010","86900"
"Peugeot","Francee","Peugeot 307","El Palomar, Buenos Aires","2010","86900"
"Cadillac","United Statess","Cadillac STS","Kaliningrad Oblast","2010","4473"
"Cadillac","United States","Cadillac STS","Kaliningrad","2010","4473"
"GMC (automobile)","United Statess","GMC Terrain","Ingersoll, Ontario","2010","60519"
"Lincoln Motor Company","United States","Lincoln MKT","Oakville, Ontario","2010","7435"
"Ford Motor Company","United States","Ford Flex","Oakville, Ontario","2010","34227"
"Lincoln Motor Company","United Statess","Lincoln MKS","Chicago","2010","14417"
"Peugeot","Fraance","Peugeot 4007","Kaluga","2010","8400"
"Peugeot","Francee","Peugeot 4007","Okazaki, Aichi","2010","8400"
"Peugeot","Frrance","Peugeot RCZ","Graz","2011","18828"
"Citroën","France","Citroën Elysée","Vigo","2011","65545"
"Honda","Japaan","Honda Crosstour","Guangzhou","2011","17974"
"Citroën","France","Citroën C3 Picasso","Trnava","2011","101612"
"Peugeot","Francee","Peugeot 206","Jakarta","2011","445038"
"Peugeot","Fraance","Peugeot 206","Kuala Lumpur","2011","445038"
"Peugeot","Francee","Peugeot 206","Tehran","2011","445038"
"Peugeot","Francee","Peugeot 206","Buenos Aires","2011","445038"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","Ho Chi Minh City","2011","24310"
"Peugeot","France","Peugeot 107","Kolín","2011","92093"
"Peugeot","France","Peugeot 206","Ryton-on-Dunsmore","2011","445038"
"Peugeot","France","Peugeot 206","Los Andes, Chile","2011","445038"
"Peugeot","Francee","Peugeot 206","Barra de Carrasco","2011","445038"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","6th of October City","2011","24310"
"Citroën","France","Citroën Xsara Picasso","Cairo","2011","8444"
"Citroën","France","Citroën C-Crosser","Okazaki, Aichi","2011","7460"
"Citroën","France","Citroën C-Crosser","Kaluga","2011","7460"
"Citroën","Frrance","Citroën ZX","Vigo","2011","65545"
"Citroën","France","Citroën ZX","Barra de Carrasco","2011","65545"
"Citroën","Francee","Citroën Xsara Picasso","Vigo","2011","8444"
"Peugeot","France","Peugeot 307","Villa Bosch","2011","71531"
"Peugeot","Francee","Peugeot 307","El Palomar, Buenos Aires","2011","71531"
"Peugeot","Francee","Peugeot 208","Jakarta","2011","631"
"Cadillac","Uniited States","Cadillac STS","Kaliningrad Oblast","2011","3338"
"Cadillac","United Statess","Cadillac STS","Kaliningrad","2011","3338"
"Peugeot","France","Peugeot 208","Trnava","2011","631"
"GMC (automobile)","United States","GMC Terrain","Ingersoll, Ontario","2011","83179"
"Lincoln Motor Company","United Statees","Lincoln MKT","Oakville, Ontario","2011","5024"
"Ford Motor Company","United Statess","Ford Flex","Oakville, Ontario","2011","27428"
"Volkswagen","Germanyy","Volkswagen Up","Bratislava","2011","4582"
"Volkswagen","Germanyy","Volkswagen Up","Taubaté","2011","4582"
"Renault","Francee","Renault Fluence Z.E.","Bursa","2011","762"
"Renault","France","Renault Fluence Z.E.","Busan","2011","762"
"Lincoln Motor Company","United States","Lincoln MKS","Chicago","2011","12217"
"Peugeot","France","Peugeot 4007","Okazaki, Aichi","2011","7387"
"Peugeot","Francee","Peugeot 4007","Kaluga","2011","7387"
"Volkswagen","Germanyy","Volkswagen Passat NMS","Chattanooga, Tennessee","2011","22779"
"Peugeot","France","Peugeot 4008","Kaluga","2012","9300"
"Peugeot","Francce","Peugeot 4008","Okazaki, Aichi","2012","9300"
"Peugeot","Francee","Peugeot RCZ","Graz","2012","11118"
"Citroën","France","Citroën Elysée","Vigo","2012","55600"
"Honda","Japaan","Acura ILX","Marysville, Ohio","2012","12251"
"Honda","Japann","Acura ILX","Greensburg, Indiana","2012","12251"
"Honda","JJapan","Honda Crosstour","Guangzhou","2012","20848"
"Citroën","Francee","Citroën C3 Picasso","Trnava","2012","84700"
"Peugeot","France","Peugeot 206","Jakarta","2012","199900"
"Peugeot","France","Peugeot 206","Kuala Lumpur","2012","199900"
"Peugeot","Frrance","Peugeot 206","Tehran","2012","199900"
"Peugeot","France","Peugeot 206","Buenos Aires","2012","199900"
"Mercedes-Benz","Gerrmany","Mercedes-Benz GLK-Class","Ho Chi Minh City","2012","29364"
"Peugeot","Fraance","Peugeot 107","Kolín","2012","76400"
"Peugeot","France","Peugeot 206","Ryton-on-Dunsmore","2012","199900"
"Peugeot","Fraance","Peugeot 206","Los Andes, Chile","2012","199900"
"Peugeot","France","Peugeot 206","Barra de Carrasco","2012","199900"
"Mercedes-Benz","Germany","Mercedes-Benz GLK-Class","6th of October City","2012","29364"
"Citroën","Francee","Citroën Xsara Picasso","Cairo","2012","4000"
"Citroën","Francee","Citroën C-Crosser","Kaluga","2012","3300"
"Citroën","France","Citroën C-Crosser","Okazaki, Aichi","2012","3300"
"Dodge","Uniited States","Dodge Dart (PF)","Changsha","2012","25304"
"Citroën","France","Citroën ZX","Vigo","2012","55600"
"Citroën","Francee","Citroën ZX","Barra de Carrasco","2012","55600"
"Citroën","Fraance","Citroën Xsara Picasso","Vigo","2012","4000"
"Peugeot","Francce","Peugeot 307","Villa Bosch","2012","103000"
"Peugeot","France","Peugeot 307","El Palomar, Buenos Aires","2012","103000"
"Peugeot","FFrance","Peugeot 208","Jakarta","2012","220800"
"Cadillac","United States","Cadillac STS","Kaliningrad Oblast","2012","164"
"Cadillac","United Statess","Cadillac STS","Kaliningrad","2012","164"
"Peugeot","Francee","Peugeot 208","Trnava","2012","220800"
"GMC (automobile)","United Statess","GMC Terrain","Ingersoll, Ontario","2012","97786"
"Lincoln Motor Company","United Statess","Lincoln MKT","Oakville, Ontario","2012","7094"
"Ford Motor Company","United Statess","Ford Flex","Oakville, Ontario","2012","28224"
"Volkswagen","Germanyy","Volkswagen Up","Taubaté","2012","113827"
"Volkswagen","Germanyy","Volkswagen Up","Bratislava","2012","113827"
"Renault","Francee","Renault Fluence Z.E.","Bursa","2012","2086"
"Renault","France","Renault Fluence Z.E.","Busan","2012","2086"
"Lincoln Motor Company","United SStates","Lincoln MKS","Chicago","2012","12524"
"Peugeot","France","Peugeot 4007","Kaluga","2012","2700"
"Peugeot","Frannce","Peugeot 4007","Okazaki, Aichi","2012","2700"
"Volkswagen","Germany","Volkswagen Passat NMS","Chattanooga, Tennessee","2012","117023"
"Peugeot","France","Peugeot RCZ","Graz","2013","9249"
"Honda","Japan","Acura ILX","Greensburg, Indiana","2013","20430"
"Honda","Japann","Honda Crosstour","Guangzhou","2013","16847"
"Honda","Japann","Acura ILX","Marysville, Ohio","2013","20430"
"Citroën","France","Citroën Elysée","Vigo","2013","55900"
"Citroën","Francee","Citroën C3 Picasso","Trnava","2013","90000"
"Mercedes-Benz","Germany","Mercedes-Benz GLK-Class","Ho Chi Minh City","2013","32553"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","6th of October City","2013","32553"
"Dodge","United Statess","Dodge Dart (PF)","Changsha","2013","83388"
"Citroën","Frannce","Citroën ZX","Vigo","2013","55900"
"Citroën","France","Citroën ZX","Barra de Carrasco","2013","55900"
"Peugeot","France","Peugeot 208","Jakarta","2013","334439"
"Peugeot","Francee","Peugeot 208","Trnava","2013","334439"
"GMC (automobile)","United States","GMC Terrain","Ingersoll, Ontario","2013","99525"
"Lincoln Motor Company","United Statess","Lincoln MKT","Oakville, Ontario","2013","6014"
"Ford Motor Company","United States","Ford Flex","Oakville, Ontario","2013","25953"
"Volkswagen","Germany","Volkswagen Up","Bratislava","2013","130039"
"Volkswagen","Germany","Volkswagen Up","Taubaté","2013","130039"
"Renault","France","Renault Fluence Z.E.","Bursa","2013","796"
"Renault","France","Renault Fluence Z.E.","Busan","2013","796"
"Lincoln Motor Company","United Statess","Lincoln MKS","Chicago","2013","10793"
"Volkswagen","Germany","Volkswagen Passat NMS","Chattanooga, Tennessee","2013","109652"
"Peugeot","Frrance","Peugeot RCZ","Graz","2014","6994"
"Honda","Jappan","Honda Crosstour","Guangzhou","2014","11802"
"Honda","Japan","Acura ILX","Marysville, Ohio","2014","17854"
"Honda","Japan","Acura ILX","Greensburg, Indiana","2014","17854"
"Citroën","Frannce","Citroën C3 Picasso","Trnava","2014","65300"
"Mercedes-Benz","Germanyy","Mercedes-Benz GLK-Class","Ho Chi Minh City","2014","35000"
"Mercedes-Benz","Germany","Mercedes-Benz GLK-Class","6th of October City","2014","35000"
"Dodge","United States","Dodge Dart (PF)","Changsha","2014","83858"
"Honda","Japaan","Acura TLX","Marysville, Ohio","2014","19127"
"GMC (automobile)","Unitted States","GMC Terrain","Ingersoll, Ontario","2014","105016"
"Lincoln Motor Company","United Statess","Lincoln MKT","Oakville, Ontario","2014","4800"
"Ford Motor Company","United States","Ford Flex","Oakville, Ontario","2014","23822"
"Volkswagen","Germany","Volkswagen Up","Bratislava","2014","124845"
"Volkswagen","Germanyy","Volkswagen Up","Taubaté","2014","124845"
"Lincoln Motor Company","United Stattes","Lincoln MKS","Chicago","2014","8160"
"Volkswagen","Germanyy","Volkswagen Passat NMS","Chattanooga, Tennessee","2014","96649"
"Peugeot","Francee","Peugeot RCZ","Graz","2015","4558"
"Honda","Japaan","Honda Crosstour","Guangzhou","2015","9104"
"Honda","Japan","Acura ILX","Marysville, Ohio","2015","18531"
"Honda","Japan","Acura ILX","Greensburg, Indiana","2015","18531"
"Dodge","United States","Dodge Dart (PF)","Changsha","2015","87392"
"Honda","Japann","Acura TLX","Marysville, Ohio","2015","47080"
"GMC (automobile)","United States","GMC Terrain","Ingersoll, Ontario","2015","112030"
"Lincoln Motor Company","United States","Lincoln MKT","Oakville, Ontario","2015","4696"
"Ford Motor Company","United Statess","Ford Flex","Oakville, Ontario","2015","19570"
"Lincoln Motor Company","United States","Lincoln MKS","Chicago","2015","6877"
"Volkswagen","Germany","Volkswagen Passat NMS","Chattanooga, Tennessee","2015","78207"
"Peugeot","France","Peugeot RCZ","Graz","2016","155"
"Dodge","United Statess","Dodge Dart (PF)","Changsha","2016","37267"
