"publisher","videogame","genre","platform","releaseDate"
"Image & Form","SteamWorld Heist","Turn-based strategy","Xbox One","1930-09-16"
"Telltale Games","The Walking Dead: Michonne","Graphic adventure game","Xbox One","1929-03-02"
"Telltale Games","The Walking Dead: Michonne","Interactive movie","Xbox One","1929-03-02"
"Microsoft Studios","Hexic","Puzzle video game","Xbox One","2005-11-16"
"Microsoft Studios","Hexic","Puzzle video game","Xbox One","2009-03-27"
"Blue Isle Studios","Slender: The Arrival","Survival horror","Xbox One","1924-09-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","Xbox One","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","Xbox One","1927-08-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","Xbox One","1931-10-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","Xbox One","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","Xbox One","1927-08-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","Xbox One","1931-10-14"
"Telltale Games","The Walking Dead (video game)","Graphic adventure game","Xbox One","1925-04-12"
"Telltale Games","The Walking Dead (video game)","Interactive movie","Xbox One","1925-04-12"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","Xbox One","2009-09-15"
"505 Games","Brunswick Pro Bowling","Bowling","Xbox One","1921-09-07"
"Kalypso Media","Tropico 5","Construction and management simulation","Xbox One","1927-05-16"
"Eidos Interactive","Battlestations: Midway","Real-time tactics","Xbox One","2007-01-30"
"2K Games","Borderlands 2","Action role-playing video game","Xbox One","1930-05-14"
"Electronic Arts","Plants vs. Zombies: Garden Warfare","Third-person shooter","Xbox One","1927-06-14"
"Feral Interactive","Battlestations: Midway","Real-time tactics","Xbox One","2007-01-30"
"EA Sports","Madden NFL 15","Sports video game","Xbox One","1929-08-14"
"505 Games","Brunswick Pro Bowling","Sports","Xbox One","1921-09-07"
"Night Light Interactive","Whispering Willows","Adventure game","Xbox One","1930-06-15"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","Xbox One","2007-10-25"
"Electronic Arts","Plants vs. Zombies: Garden Warfare 2","Tower defense","Xbox One","1925-02-16"
"Eidos Interactive","Battlestations: Midway","Action game","Xbox One","2007-01-30"
"Crave Entertainment","Brunswick Pro Bowling","Bowling","Xbox One","1921-09-07"
"2K Games","Borderlands 2","First-person shooter","Xbox One","1930-05-14"
"Feral Interactive","Battlestations: Midway","Action game","Xbox One","2007-01-30"
"Loot Interactive","Whispering Willows","Adventure game","Xbox One","1930-06-15"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","Xbox One","2007-08-30"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","Xbox One","2009-09-22"
"Kalypso Media","Tropico 5","Government simulation game","Xbox One","1927-05-16"
"Crave Entertainment","Brunswick Pro Bowling","Sports","Xbox One","1921-09-07"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","Xbox One","1925-09-09"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","Xbox One","2003-03-15"
"EA Sports","NBA Live 15","Sports game","Xbox One","1931-10-14"
"Electronic Arts","Plants vs. Zombies: Garden Warfare 2","Third-person shooter","Xbox One","1925-02-16"
"Konami","Dance Dance Revolution Extreme","Exergaming","PlayStation 4","1921-09-03"
"Konami","Dance Dance Revolution Extreme","Music video game","PlayStation 4","1921-09-03"
"Konami","Puddle (video game)","Puzzle video game","PlayStation 4","1925-01-12"
"Konami","Puddle (video game)","Platform game","PlayStation 4","1925-01-12"
"Capcom","Resident Evil (2002 video game)","Survival horror","PlayStation 4","1930-04-02"
"Nicalis","1001 Spikes","Adventure game","PlayStation 4","1925-11-14"
"Nicalis","1001 Spikes","Platform game","PlayStation 4","1925-11-14"
"Koei Tecmo","Berserk and the Band of the Hawk","Action role-playing video game","PlayStation 4","1921-02-16"
"Koei Tecmo","Berserk and the Band of the Hawk","Hack and slash","PlayStation 4","1921-02-16"
"Koei Tecmo","Uncharted Waters Online","MMORPG","PlayStation 4","2007-01-07"
"OGPlanet","Uncharted Waters Online","MMORPG","PlayStation 4","2007-01-07"
"Ubisoft","Assassin's Creed Chronicles","Action-adventure game","PlayStation 4","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Stealth game","PlayStation 4","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Platform game","PlayStation 4","1922-04-15"
"Zen Studios","Zen Pinball 2","Pinball","PlayStation 4","1931-01-13"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","PlayStation 4","1928-01-08"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","PlayStation 4","2007-11-05"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","PlayStation 4","2009-11-10"
"Sega","Rez (video game)","Rail shooter","PlayStation 4","1922-02-02"
"Sega","Rez (video game)","Rail shooter","PlayStation 4","2008-01-30"
"Sega","Rez (video game)","Music video game","PlayStation 4","1922-02-02"
"Sega","Rez (video game)","Music video game","PlayStation 4","2008-01-30"
"LucasArts","Day of the Tentacle","Point-and-click adventure game","PlayStation 4","1993-06-25"
"Double Fine Productions","Day of the Tentacle","Point-and-click adventure game","PlayStation 4","1993-06-25"
"Activision","Transformers: Fall of Cybertron","Third-person shooter","PlayStation 4","1924-08-12"
"Ubisoft","Uno (video game)","Card game","PlayStation 4","2006-05-09"
"Ubisoft","Uno (video game)","Card game","PlayStation 4","2008-11-14"
"Ubisoft","Uno (video game)","Card game","PlayStation 4","2009-10-01"
"Gameloft","Uno (video game)","Card game","PlayStation 4","2006-05-09"
"Gameloft","Uno (video game)","Card game","PlayStation 4","2008-11-14"
"Gameloft","Uno (video game)","Card game","PlayStation 4","2009-10-01"
"Activision","Prototype (video game)","Action-adventure game","PlayStation 4","2009-06-09"
"Beatshapers","Jetpack Joyride","Side-scrolling video game","PlayStation 4","1921-11-12"
"LucasArts","Star Wars Racer Revenge","Racing video game","PlayStation 4","2002-02-11"
"Ubisoft","Assassin's Creed II","Action-adventure game","PlayStation 4","2009-11-17"
"Electronic Arts","NBA Live 14","Sports game","PlayStation 4","1929-11-13"
"Namco","Ikki (video game)","Action game","PlayStation 4","1985-11-27"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2008-07-18"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2009-02-12"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2009-02-17"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2009-02-20"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2009-07-02"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2009-07-03"
"Capcom","Street Fighter IV","Fighting game","PlayStation 4","2009-07-07"
"Sega","Valkyria Chronicles","Tactical role-playing game","PlayStation 4","1931-10-08"
"Sega","Valkyria Chronicles","Third-person shooter","PlayStation 4","1931-10-08"
"Sega","Phantasy Star Online 2","Massively multiplayer online role-playing game","PlayStation 4","1925-04-12"
"Sega","Phantasy Star Online 2","Third-person shooter","PlayStation 4","1925-04-12"
"Sega","Phantasy Star Online 2","Action role-playing game","PlayStation 4","1925-04-12"
"Atlus","Trine 2","Puzzle video game","PlayStation 4","1929-11-13"
"Atlus","Trine 2","Platform game","PlayStation 4","1929-11-13"
"Atlus","Trine 2","Action role-playing game","PlayStation 4","1929-11-13"
"Klei Entertainment","Don't Starve","Action-adventure game","PlayStation 4","1924-06-15"
"Klei Entertainment","Don't Starve","Survival game","PlayStation 4","1924-06-15"
"EA Sports","FIFA 14","Sports game","PlayStation 4","1924-09-13"
"Sega","Hatsune Miku: Project DIVA Arcade","Rhythm game","PlayStation 4","1921-11-10"
"Deep Silver","Saints Row IV","Action-adventure game","PlayStation 4","1923-01-15"
"Digital Extremes","Warframe","Third-person shooter","PlayStation 4","1929-11-13"
"Deep Silver","Saints Row: Gat out of Hell","Action-adventure game","PlayStation 4","1923-01-15"
"EA Sports","Madden NFL 25","Sports video game","PlayStation 4","1929-11-13"
"Deep Silver","Mighty No. 9","Action game","PlayStation 4","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","PlayStation 4","1924-06-16"
"Rockstar Games","Grand Theft Auto: San Andreas","Action-adventure game","PlayStation 4","2004-10-26"
"THQ","Metro 2033 (video game)","First-person shooter","PlayStation 4","1929-08-14"
"Deep Silver","Metro 2033 (video game)","First-person shooter","PlayStation 4","1929-08-14"
"THQ","Metro 2033 (video game)","Survival horror","PlayStation 4","1929-08-14"
"Deep Silver","Metro 2033 (video game)","Survival horror","PlayStation 4","1929-08-14"
"LucasArts","Full Throttle (1995 video game)","Graphic adventure game","PlayStation 4","1995-04-30"
"Double Fine Productions","Full Throttle (1995 video game)","Graphic adventure game","PlayStation 4","1995-04-30"
"JoWooD Entertainment","Arcania: Gothic 4","Action role-playing video game","PlayStation 4","1930-08-13"
"Activision","Prototype 2","Action-adventure game","PlayStation 4","1927-07-12"
"Focus Home Interactive","Contrast (video game)","Puzzle game","PlayStation 4","1929-11-13"
"Focus Home Interactive","Contrast (video game)","Platform game","PlayStation 4","1929-11-13"
"Capcom","Dead Rising (video game)","Beat 'em up","PlayStation 4","2006-08-08"
"Capcom","Dead Rising (video game)","Survival horror","PlayStation 4","2006-08-08"
"Capcom","Devil May Cry 4","Action-adventure game","PlayStation 4","1923-06-15"
"Capcom","Devil May Cry 4","Action-adventure game","PlayStation 4","2008-01-31"
"Capcom","Devil May Cry 4","Action-adventure game","PlayStation 4","2008-07-08"
"Capcom","Devil May Cry 4","Hack and slash","PlayStation 4","1923-06-15"
"Capcom","Devil May Cry 4","Hack and slash","PlayStation 4","2008-01-31"
"Capcom","Devil May Cry 4","Hack and slash","PlayStation 4","2008-07-08"
"Capcom","Resident Evil 5","Third-person shooter","PlayStation 4","2009-03-05"
"Capcom","Resident Evil 5","Survival horror","PlayStation 4","2009-03-05"
"Capcom","Resident Evil Zero","Survival horror","PlayStation 4","2002-11-12"
"Sega","Hatsune Miku: Project DIVA X","Rhythm game","PlayStation 4","1930-08-16"
"Square Enix","Kingdom Hearts HD 2.8 Final Chapter Prologue","Action role-playing game","PlayStation 4","1924-01-17"
"Bandai Namco Entertainment","Saint Seiya: Soldiers' Soul","Versus fighting game","PlayStation 4","1925-09-15"
"Atlus","Citizens of Earth","Role-playing video game","PlayStation 4","1922-01-15"
"Kalypso Media","Dungeons 2","Simulation video game","PlayStation 4","1927-05-16"
"Kalypso Media","Dungeons 2","Strategy video game","PlayStation 4","1927-05-16"
"Kalypso Media","Dungeons 2","Dungeon management game","PlayStation 4","1927-05-16"
"Koei Tecmo","Nights of Azure","Action role-playing game","PlayStation 4","1929-03-15"
"Square Enix","Star Ocean: Integrity and Faithlessness","Action role-playing game","PlayStation 4","1928-06-16"
"Bandai Namco Entertainment","Tales of Berseria","Role-playing video game","PlayStation 4","1927-01-17"
"Telltale Games","The Walking Dead: Michonne","Graphic adventure game","PlayStation 4","1929-03-02"
"Telltale Games","The Walking Dead: Michonne","Interactive movie","PlayStation 4","1929-03-02"
"Konami","Dance Dance Revolution SuperNova","Exergaming","PlayStation 4","1921-02-07"
"Konami","Dance Dance Revolution SuperNova","Music video game","PlayStation 4","1921-02-07"
"Virgin Interactive","Deception (series)","Tactical role-playing game","PlayStation 4","1924-02-05"
"Tecmo","Deception (series)","Tactical role-playing game","PlayStation 4","1924-02-05"
"Virgin Interactive","Deception (series)","Action role-playing game","PlayStation 4","1924-02-05"
"Tecmo","Deception (series)","Action role-playing game","PlayStation 4","1924-02-05"
"Rockstar Games","Red Dead Revolver","Action-adventure game","PlayStation 4","2004-05-03"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation 4","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation 4","1923-07-14"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","PlayStation 4","2003-03-15"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","PlayStation 4","2007-08-30"
"Koei","Bladestorm: The Hundred Years' War","Real-time tactics","PlayStation 4","2007-10-25"
"Crave Entertainment","Brunswick Pro Bowling","Bowling","PlayStation 4","1921-09-07"
"Crave Entertainment","Brunswick Pro Bowling","Sports","PlayStation 4","1921-09-07"
"Electronic Arts","Plants vs. Zombies: Garden Warfare","Third-person shooter","PlayStation 4","1927-06-14"
"Electronic Arts","Plants vs. Zombies: Garden Warfare 2","Third-person shooter","PlayStation 4","1925-02-16"
"Electronic Arts","Plants vs. Zombies: Garden Warfare 2","Tower defense","PlayStation 4","1925-02-16"
"LucasArts","Super Star Wars","Shoot 'em up","PlayStation 4","1924-11-15"
"Nintendo","Super Star Wars","Shoot 'em up","PlayStation 4","1924-11-15"
"Disney Interactive Studios","Super Star Wars","Shoot 'em up","PlayStation 4","1924-11-15"
"JVC","Super Star Wars","Shoot 'em up","PlayStation 4","1924-11-15"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","PlayStation 4","1925-09-09"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","PlayStation 4","2009-09-15"
"Activision","Marvel: Ultimate Alliance 2","Action role-playing game","PlayStation 4","2009-09-22"
"EA Sports","Madden NFL 15","Sports video game","PlayStation 4","1929-08-14"
"SNK","The King of Fighters 2000","Fighting game","PlayStation 4","2000-07-26"
"SNK","The King of Fighters 2000","Fighting game","PlayStation 4","2000-12-21"
"SNK","The King of Fighters 2000","Fighting game","PlayStation 4","2002-08-08"
"SNK","The King of Fighters 2000","Fighting game","PlayStation 4","2002-11-28"
"Sega","Yakuza (video game)","Action-adventure game","PlayStation 4","2005-12-08"
"WayForward Technologies","Shantae: Risky's Revenge","Metroidvania","PlayStation 4","1931-08-15"
"WayForward Technologies","Shantae: Risky's Revenge","Metroidvania","PlayStation 4","1931-08-16"
"WayForward Technologies","Shantae: Risky's Revenge","Platform game","PlayStation 4","1931-08-15"
"WayForward Technologies","Shantae: Risky's Revenge","Platform game","PlayStation 4","1931-08-16"
"SNK Playmore","Metal Slug Anthology","Arcade game","PlayStation 4","2007-03-27"
"SNK Playmore","Metal Slug Anthology","Arcade game","PlayStation 4","1930-03-06"
"SNK Playmore","Metal Slug Anthology","Arcade game","PlayStation 4","2009-10-01"
"SNK Playmore","Metal Slug Anthology","Run and gun (video game)","PlayStation 4","2007-03-27"
"SNK Playmore","Metal Slug Anthology","Run and gun (video game)","PlayStation 4","1930-03-06"
"SNK Playmore","Metal Slug Anthology","Run and gun (video game)","PlayStation 4","2009-10-01"
"SNK Playmore","Metal Slug Anthology","Scrolling shooters","PlayStation 4","2007-03-27"
"SNK Playmore","Metal Slug Anthology","Scrolling shooters","PlayStation 4","1930-03-06"
"SNK Playmore","Metal Slug Anthology","Scrolling shooters","PlayStation 4","2009-10-01"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStation 4","2002-07-16"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStation 4","2001-12-06"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStation 4","2003-12-18"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStation 4","2001-07-23"
"Gathering of Developers","Max Payne","Third-person shooter","PlayStation 4","2001-12-12"
"Halfbrick Studios","Jetpack Joyride","Side-scrolling video game","PlayStation 4","1921-11-12"
"Big Ant Studios","Jetpack Joyride","Side-scrolling video game","PlayStation 4","1921-11-12"
"Playism","Futuridium EP Deluxe","Shoot'em up","PlayStation 4","1926-05-16"
"2K Games","Borderlands: The Handsome Collection","Action role-playing video game","PlayStation 4","1927-03-15"
"2K Games","Borderlands: The Handsome Collection","First-person shooter","PlayStation 4","1927-03-15"
"Sunsoft","Ikki (video game)","Action game","PlayStation 4","1985-11-27"
"Frozenbyte","Trine 2","Puzzle video game","PlayStation 4","1929-11-13"
"Frozenbyte","Trine 2","Platform game","PlayStation 4","1929-11-13"
"Frozenbyte","Trine 2","Action role-playing game","PlayStation 4","1929-11-13"
"2K Sports","WWE 2K15","Fighting game","PlayStation 4","1931-10-14"
"2K Sports","WWE 2K15","Fighting game","PlayStation 4","1921-11-14"
"Bloober Team","Basement Crawl","2.5D","PlayStation 4","1926-02-14"
"Bloober Team","Basement Crawl","Action Game","PlayStation 4","1926-02-14"
"2K Sports","NBA 2K14","Sports game","PlayStation 4","1929-11-13"
"2K Sports","NBA 2K14","Sports game","PlayStation 4","1922-11-13"
"2K Games","XCOM 2","Turn-based tactics","PlayStation 4","1930-09-16"
"Image & Form","SteamWorld Heist","Action-adventure game","PlayStation 4","1930-09-16"
"Image & Form","SteamWorld Heist","Turn-based strategy","PlayStation 4","1930-09-16"
"Blue Isle Studios","Slender: The Arrival","Survival horror","PlayStation 4","1924-09-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation 4","1931-10-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation 4","1927-08-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation 4","1931-10-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation 4","1927-08-14"
"Telltale Games","The Walking Dead (video game)","Graphic adventure game","PlayStation 4","1925-04-12"
"Telltale Games","The Walking Dead (video game)","Interactive movie","PlayStation 4","1925-04-12"
"505 Games","Brunswick Pro Bowling","Bowling","PlayStation 4","1921-09-07"
"505 Games","Brunswick Pro Bowling","Sports","PlayStation 4","1921-09-07"
"2K Games","Borderlands 2","Action role-playing video game","PlayStation 4","1930-05-14"
"2K Games","Borderlands 2","First-person shooter","PlayStation 4","1930-05-14"
"Bandai Namco Entertainment","JoJo's Bizarre Adventure: Eyes of Heaven","Fighting game","PlayStation 4","1928-06-15"
"Kalypso Media","Tropico 5","Construction and management simulation","PlayStation 4","1927-05-16"
"Night Light Interactive","Whispering Willows","Adventure game","PlayStation 4","1930-06-15"
"Bandai Namco Entertainment","One Piece: Pirate Warriors 3","Action game","PlayStation 4","1925-08-15"
"EA Sports","NBA Live 15","Sports game","PlayStation 4","1931-10-14"
"Metanet Software","N++","Platform game","PlayStation 4","1929-07-15"
"Kalypso Media","Tropico 5","Government simulation game","PlayStation 4","1927-05-16"
"Loot Interactive","Whispering Willows","Adventure game","PlayStation 4","1930-06-15"
"Nintendo","Kirby's Adventure","Action game","Nintendo 3DS","1926-09-02"
"Nintendo","Kirby's Adventure","Action game","Nintendo 3DS","1993-03-23"
"Nintendo","Kirby's Adventure","Platform game","Nintendo 3DS","1926-09-02"
"Nintendo","Kirby's Adventure","Platform game","Nintendo 3DS","1993-03-23"
"Nintendo","Kirby's Adventure","Action Game","Nintendo 3DS","1926-09-02"
"Nintendo","Kirby's Adventure","Action Game","Nintendo 3DS","1993-03-23"
"Crave Entertainment","Pinball Hall of Fame: The Williams Collection","Pinball","Nintendo 3DS","2008-02-26"
"Crave Entertainment","Pinball Hall of Fame: The Williams Collection","Pinball","Nintendo 3DS","2009-09-22"
"Nintendo","Kid Icarus","Action game","Nintendo 3DS","1986-12-19"
"Nintendo","Kid Icarus","Platform game","Nintendo 3DS","1986-12-19"
"Activision","Transformers: Dark of the Moon (video game)","Action-adventure game","Nintendo 3DS","1924-06-11"
"Nintendo","Urban Champion","Fighting","Nintendo 3DS","1984-11-14"
"Pentavision","DJMax Portable 2","Music video game","Nintendo 3DS","2007-03-30"
"Capcom","Monster Hunter Tri","Action role-playing game","Nintendo 3DS","1922-03-12"
"Capcom","Phoenix Wright: Ace Attorney − Dual Destinies","Adventure game","Nintendo 3DS","1924-10-13"
"Capcom","Phoenix Wright: Ace Attorney − Dual Destinies","Visual novel","Nintendo 3DS","1924-10-13"
"Capcom","Phoenix Wright: Ace Attorney − Trials and Tribulations","Adventure game","Nintendo 3DS","1923-10-07"
"Capcom","Phoenix Wright: Ace Attorney − Trials and Tribulations","Visual novel","Nintendo 3DS","1923-10-07"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2008-07-18"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-02-12"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-02-17"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-02-20"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-07-02"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-07-03"
"Capcom","Street Fighter IV","Fighting game","Nintendo 3DS","2009-07-07"
"Aksys Games","Bit.Trip Void","Rhythm game","Nintendo 3DS","1923-11-09"
"Aksys Games","Bit.Trip Void","Shoot 'em up","Nintendo 3DS","1923-11-09"
"Nintendo","Nintendogs + Cats","Digital pet","Nintendo 3DS","1925-03-11"
"Activision","Angry Birds Trilogy","Puzzle video game","Nintendo 3DS","1928-09-12"
"Nintendo","HarmoKnight","Rhythm game","Nintendo 3DS","1928-03-12"
"Nintendo","HarmoKnight","Platform game","Nintendo 3DS","1928-03-12"
"Nintendo","Kersploosh!","Puzzle game","Nintendo 3DS","1928-02-13"
"Nintendo","Style Savvy: Trendsetters","Simulation video game","Nintendo 3DS","1922-10-12"
"Aksys Games","Bit.Trip Core","Action game","Nintendo 3DS","1921-08-09"
"Aksys Games","Bit.Trip Core","Music video game","Nintendo 3DS","1921-08-09"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Action-adventure game","Nintendo 3DS","1922-10-13"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Third-person shooter","Nintendo 3DS","1922-10-13"
"Activision","SpongeBob SquarePants: Plankton's Robotic Revenge","Platform game","Nintendo 3DS","1922-10-13"
"Nintendo","The Legend of Zelda: The Minish Cap","Action-adventure game","Nintendo 3DS","2004-11-04"
"Aksys Games","Bit.Trip Beat","Action game","Nintendo 3DS","1928-04-09"
"Aksys Games","Bit.Trip Beat","Music video game","Nintendo 3DS","1928-04-09"
"2K Play","Nicktoons MLB","Baseball game","Nintendo 3DS","1921-10-11"
"Nintendo","Nintendo Video","Video","Nintendo 3DS","1921-07-11"
"Nintendo","WarioWare: Touched!","Rhythm game","Nintendo 3DS","1931-03-16"
"Nintendo","WarioWare: Touched!","Action game","Nintendo 3DS","1931-03-16"
"Nintendo","Animal Crossing: Happy Home Designer","Sandbox game","Nintendo 3DS","1925-09-15"
"The Pokémon Company","Pokémon Rumble World","Action role-playing game","Nintendo 3DS","1922-01-15"
"Capcom","Toki Tori","Puzzle video game","Nintendo 3DS","2001-09-12"
"Capcom","Toki Tori","Platform game","Nintendo 3DS","2001-09-12"
