"primeMinister","party","country"
"Zlatko Mateša","Croatian Democratic Union","Croatia"
"Hans Hedtoft","Social Democrats (Denmark)","Denmark"
"Anker Jørgensen","Social Democrats (Denmark)","Denmark"
"Poul Nyrup Rasmussen","Social Democrats (Denmark)","Denmark"
"Helle Thorning-Schmidt","Social Democrats (Denmark)","Denmark"
"Vilhelm Buhl","Social Democrats (Denmark)","Denmark"
"Jens Otto Krag","Social Democrats (Denmark)","Denmark"
"Erik Scavenius","Danish Social Liberal Party","Denmark"
"Hans Christian Hansen","Social Democrats (Denmark)","Denmark"
"H. C. Hansen","Social Democrats (Denmark)","Denmark"
"Thorvald Stauning","Social Democrats (Denmark)","Denmark"
"Johan Henrik Deuntzer","Danish Social Liberal Party","Denmark"
"Viggo Kampmann","Social Democrats (Denmark)","Denmark"
"Mogens Lykketoft","Social Democrats (Denmark)","Denmark"
"Siim Kallas","Estonian Reform Party","Estonia"
"Mart Laar","Pro Patria and Res Publica Union","Estonia"
"Juhan Parts","Pro Patria and Res Publica Union","Estonia"
"Andrus Ansip","Estonian Reform Party","Estonia"
"Taavi Rõivas","Estonian Reform Party","Estonia"
"Urho Kekkonen","Centre Party (Finland)","Finland"
"Kyösti Kallio","Centre Party (Finland)","Finland"
"Ahti Karjalainen","Centre Party (Finland)","Finland"
"Mari Kiviniemi","Centre Party (Finland)","Finland"
"Reino Kuuskoski","Centre Party (Finland)","Finland"
"Esko Aho","Centre Party (Finland)","Finland"
"Johannes Virolainen","Centre Party (Finland)","Finland"
"Matti Vanhanen","Centre Party (Finland)","Finland"
"Juha Sipilä","Centre Party (Finland)","Finland"
"Anneli Jäätteenmäki","Centre Party (Finland)","Finland"
"Martti Miettunen","Centre Party (Finland)","Finland"
"Jacques Chirac","The Republicans (France)","France"
"Raymond Barre","Union for French Democracy","France"
"Joseph Laniel","National Centre of Independents and Peasants","France"
"Paul Reynaud","National Centre of Independents and Peasants","France"
"Charles de Gaulle","National Centre of Social Republicans","France"
"Jean-Pierre Raffarin","The Republicans (France)","France"
"Jacques Chaban-Delmas","National Centre of Social Republicans","France"
"François Fillon","The Republicans (France)","France"
"Antoine Pinay","National Centre of Independents and Peasants","France"
"Bidzina Ivanishvili","Georgian Dream","Georgia (country)"
"Irakli Garibashvili","Georgian Dream","Georgia (country)"
"Irakli Gharibashvili","Georgian Dream","Georgia (country)"
"Vano Merabishvili","United National Movement (Georgia)","Georgia (country)"
"Vano Merabishvili","Union of Citizens of Georgia","Georgia (country)"
"Giorgi Kvirikashvili","Georgian Dream","Georgia (country)"
"Helmut Kohl","Christian Democratic Union of Germany","Germany"
"Otto Grotewohl","Independent Social Democratic Party of Germany","Germany"
"Konrad Adenauer","Christian Democratic Union of Germany","Germany"
"Horst Sindermann","Communist Party of Germany","Germany"
"Willi Stoph","Communist Party of Germany","Germany"
"Georgios Rallis","New Democracy (Greece)","Greece"
"Antonis Samaras","New Democracy (Greece)","Greece"
"George Papandreou","Movement of Democratic Socialists","Greece"
"Alexis Tsipras","Communist Party of Greece","Greece"
"Alexis Tsipras","Syriza","Greece"
"Konstantinos Mitsotakis","Party of New Liberals","Greece"
"Konstantinos Mitsotakis","New Democracy (Greece)","Greece"
"Konstantinos Karamanlis","New Democracy (Greece)","Greece"
"Konstantinos Karamanlis","Greek Rally","Greece"
"Kostas Karamanlis","New Democracy (Greece)","Greece"
"Tzannis Tzannetakis","New Democracy (Greece)","Greece"
"Markos Vafiadis","Communist Party of Greece","Greece"
"Gyula Gömbös","Unity Party (Hungary)","Hungary"
"József Antall","Hungarian Democratic Forum","Hungary"
"Gyula Gömbös","Independent Smallholders, Agrarian Workers and Civic Party","Hungary"
"László Bárdossy","Party of Hungarian Life","Hungary"
"Béla Imrédy","Party of Hungarian Life","Hungary"
"Viktor Orbán","Fidesz","Hungary"
"Károly Grósz","Hungarian Communist Party","Hungary"
"Károly Grósz","Hungarian Working People's Party","Hungary"
"Péter Boross","Hungarian Democratic Forum","Hungary"
"Miklós Kállay","Party of Hungarian Life","Hungary"
"Dr. Miklós Kállay","Party of Hungarian Life","Hungary"
"Miklós Kállay","Unity Party (Hungary)","Hungary"
"Dr. Miklós Kállay","Unity Party (Hungary)","Hungary"
"György Lázár","Hungarian Communist Party","Hungary"
"György Lázár","Hungarian Working People's Party","Hungary"
"Antonio Segni","Christian Democracy (Italy)","Italy"
"Antonio di Rudinì","Historical Right","Italy"
"Antonio Starabba, Marquess of Rudinì","Historical Right","Italy"
"Arnaldo Forlani","Christian Democracy (Italy)","Italy"
"Fernando Tambroni","Christian Democracy (Italy)","Italy"
"Adone Zoli","Christian Democracy (Italy)","Italy"
"Agostino Depretis","Historical Left","Italy"
"Luigi Luzzatti","Historical Right","Italy"
"Fernando Tambroni","National Fascist Party","Italy"
"Giovanni Leone","Christian Democracy (Italy)","Italy"
"Giulio Andreotti","Christian Democracy (Italy)","Italy"
"Ferruccio Parri","Action Party (Italy)","Italy"
"Francesco Crispi","Dissident left-wing","Italy"
"Francesco Crispi","Historical Left","Italy"
"Francesco Cossiga","Christian Democracy (Italy)","Italy"
"Silvio Berlusconi","Forza Italia (2013)","Italy"
"Giuseppe Pella","Christian Democracy (Italy)","Italy"
"Giovanni Goria","Christian Democracy (Italy)","Italy"
"Luigi Facta","Historical Left","Italy"
"Giovanni Lanza","Historical Right","Italy"
"Alcide De Gasperi","Christian Democracy (Italy)","Italy"
"Amintore Fanfani","Christian Democracy (Italy)","Italy"
"Ciriaco De Mita","Christian Democracy (Italy)","Italy"
"Amintore Fanfani","National Fascist Party","Italy"
"Mario Scelba","Christian Democracy (Italy)","Italy"
"Antonio Salandra","Historical Right","Italy"
"Benito Mussolini","National Fascist Party","Italy"
"Romano Prodi","Christian Democracy (Italy)","Italy"
"Romano Prodi","The Democrats (Italy)","Italy"
"Giovanni Giolitti","Historical Left","Italy"
"Sidney Sonnino","Historical Right","Italy"
"Aldo Moro","Christian Democracy (Italy)","Italy"
"Enrico Letta","Christian Democracy (Italy)","Italy"
"Alessandro Fortis","Historical Left","Italy"
"Emilio Colombo","Christian Democracy (Italy)","Italy"
"Urbano Rattazzi","Historical Left","Italy"
"Vittorio Emanuele Orlando","Historical Left","Italy"
"Vittorio Emanuele Orlando","Democratic Liberal Party (Italy)","Italy"
"Benedetto Cairoli","Historical Left","Italy"
"Carlo Azeglio Ciampi","Action Party (Italy)","Italy"
"Mariano Rumor","Christian Democracy (Italy)","Italy"
"Pier Ferdinando Casini","Christian Democracy (Italy)","Italy"
"Vincenzo Scotti","Christian Democracy (Italy)","Italy"
"Franca Falcucci","Christian Democracy (Italy)","Italy"
"Giuseppe Zanardelli","Dissident left-wing","Italy"
"Giuseppe Zanardelli","Historical Left","Italy"
"Marco Minghetti","Historical Right","Italy"
"Luigi Carlo Farini","Historical Right","Italy"
"Carlo Bon Compagni di Mombello","Historical Right","Italy"
"Carlo Bon Compagni","Historical Right","Italy"
"Alfredo Rocco","Italian Radical Party","Italy"
"Vasco Errani","Italian Communist Party","Italy"
"Nilde Iotti","Italian Communist Party","Italy"
"Leonilde Iotti","Italian Communist Party","Italy"
"Pietro Ingrao","Italian Communist Party","Italy"
"Costanzo Ciano","National Fascist Party","Italy"
"Alfredo Rocco","National Fascist Party","Italy"
"Antonio Casertano","National Fascist Party","Italy"
"Dino Grandi","National Fascist Party","Italy"
"Mario Beccaria","Christian Democracy (Italy)","Italy"
"Tina Anselmi","Christian Democracy (Italy)","Italy"
"Antonio Gava","Christian Democracy (Italy)","Italy"
"Beniamino Andreatta","Christian Democracy (Italy)","Italy"
"Paolo Emilio Taviani","Christian Democracy (Italy)","Italy"
"Iles Braghetto","Christian Democracy (Italy)","Italy"
"Illes BraghettoMEP","Christian Democracy (Italy)","Italy"
"Francesco Rutelli","The Democrats (Italy)","Italy"
"Irene Pivetti","Lega Nord","Italy"
"Roberto Castelli","Lega Nord","Italy"
"Nichi Vendola","Italian Communist Party","Italy"
"Deborah Bergamini","Forza Italia (2013)","Italy"
"Sergio Berlato","Forza Italia (2013)","Italy"
"Sergio BerlatoMEP","Forza Italia (2013)","Italy"
"Pietro Badoglio","National Fascist Party","Italy"
"(The 1stDuke of Addis Abeba)","National Fascist Party","Italy"
"Giacomo Acerbo","National Fascist Party","Italy"
"Giovanni Giuriati","National Fascist Party","Italy"
"Giovanni Giurati","National Fascist Party","Italy"
"Enrico Costa","New Centre-Right","Italy"
"Roberto Formigoni","New Centre-Right","Italy"
"Rosy Bindi","Christian Democracy (Italy)","Italy"
"Maria Rosaria ""Rosy"" Bindi","Christian Democracy (Italy)","Italy"
"Giuseppe Medici","Christian Democracy (Italy)","Italy"
"Francesco Saverio Nitti","The Extreme","Italy"
"Luigi Federico Menabrea","Historical Right","Italy"
"Francesco Saverio Nitti","Italian Radical Party","Italy"
"Umberto Bossi","Lega Nord","Italy"
"Roberto Cota","Lega Nord","Italy"
"Teresa Noce","Italian Communist Party","Italy"
"Sandro Bondi","Italian Communist Party","Italy"
"Adriana Seroni","Italian Communist Party","Italy"
"Carlo Cattaneo","Action Party (Italy, 1848)","Italy"
"Giancarlo Galan","Forza Italia (2013)","Italy"
"Maurizio Gasparri","Forza Italia (2013)","Italy"
"Franco Carraro","Forza Italia (2013)","Italy"
"Sandro Bondi","Forza Italia (2013)","Italy"
"Karim Massimov","Nur Otan","Kazakhstan"
"كەرىم  مەسىموۋ","Nur Otan","Kazakhstan"
"Kassym-Jomart Tokayev","Nur Otan","Kazakhstan"
"Serik Akhmetov","Nur Otan","Kazakhstan"
"Nurlan Balgimbayev","People's Union of Kazakhstan Unity","Kazakhstan"
"Bakhytzhan Sagintayev","Nur Otan","Kazakhstan"
"Hashim Thaçi","Democratic Party of Kosovo","Kosovo"
"Bajram Kosumi","Democratic Party of Kosovo","Kosovo"
"Isa Mustafa","Democratic League of Kosovo","Kosovo"
"Kaqusha Jashari","League of Communists of Kosovo","Kosovo"
"Agim Çeku","Democratic Party of Kosovo","Kosovo"
"Agim Çeku","Alliance for the Future of Kosovo","Kosovo"
"Riza Sapunxhiu","League of Communists of Kosovo","Kosovo"
"Bajram Rexhepi","Democratic Party of Kosovo","Kosovo"
"Ramush Haradinaj","Alliance for the Future of Kosovo","Kosovo"
"Guntars Krasts","For Fatherland and Freedom/LNNK","Latvia"
"Ivars Godmanis","Latvia's First Party/Latvian Way","Latvia"
"Einars Repše","New Era Party","Latvia"
"Einars Repše","Latvian Development","Latvia"
"Māris Kučinskis","Liepāja Party","Latvia"
"Valdis Dombrovskis","New Era Party","Latvia"
"Adrian Hasler","Progressive Citizens' Party","Liechtenstein"
"Klaus Tschütscher","Patriotic Union (Liechtenstein)","Liechtenstein"
"Mario Frick","Patriotic Union (Liechtenstein)","Liechtenstein"
"Otmar Hasler","Progressive Citizens' Party","Liechtenstein"
"Andrius Kubilius","Homeland Union","Lithuania"
"Algirdas Brazauskas","Communist Party of Lithuania","Lithuania"
"Algirdas Brazauskas","Social Democratic Party of Lithuania","Lithuania"
"Algirdas Butkevičius","Social Democratic Party of Lithuania","Lithuania"
"Zigmantas Balčytis","Social Democratic Party of Lithuania","Lithuania"
"Rolandas Paksas","Communist Party of Lithuania","Lithuania"
"Rolandas Paksas","Homeland Union","Lithuania"
"Rolandas Paksas","Order and Justice","Lithuania"
"Gediminas Kirkilas","Social Democratic Party of Lithuania","Lithuania"
"Antanas Merkys","Lithuanian Nationalist Union","Lithuania"
"Karmenu Mifsud Bonnici","Labour Party (Malta)","Malta"
"Lawrence Gonzi","Nationalist Party (Malta)","Malta"
"Eddie Fenech Adami","Nationalist Party (Malta)","Malta"
"Edward Fenech Adami","Nationalist Party (Malta)","Malta"
"Joseph Muscat","Labour Party (Malta)","Malta"
"Alfred Sant","Labour Party (Malta)","Malta"
"Ugo Pasquale Mifsud","Nationalist Party (Malta)","Malta"
"Ugo Mifsud","Nationalist Party (Malta)","Malta"
"Paul Boffa","Labour Party (Malta)","Malta"
"Paul (Pawlu) Boffa","Labour Party (Malta)","Malta"
"Enrico Mizzi","Nationalist Party (Malta)","Malta"
"Vlad Filat","Liberal Democratic Party of Moldova","Moldova"
"Iurie Leancă","Liberal Democratic Party of Moldova","Moldova"
"Iurie Leancă","European People's Party of Moldova","Moldova"
"Vasile Tarlev","Party of Communists of the Republic of Moldova","Moldova"
"Vasile Petru Tarlev","Party of Communists of the Republic of Moldova","Moldova"
"Ion Ustian","Communist Party of Moldova","Moldova"
"Nicolae Coval","Communist Party of Moldova","Moldova"
"Petru Pascari","Communist Party of Moldova","Moldova"
"Tihon Konstantinov","Communist Party of Moldova","Moldova"
"Chiril Gaburici","Liberal Democratic Party of Moldova","Moldova"
"Serafim Urechean","Liberal Democratic Party of Moldova","Moldova"
"Vitalie Pîrlog","Party of Communists of the Republic of Moldova","Moldova"
"Natalia Gherman","Liberal Democratic Party of Moldova","Moldova"
"Valeriu Streleț","Liberal Democratic Party of Moldova","Moldova"
"Gherasim Rudi","Communist Party of Moldova","Moldova"
"Zinaida Greceanîi","Party of Socialists of the Republic of Moldova","Moldova"
"Zinaida Greceanîi","Party of Communists of the Republic of Moldova","Moldova"
"Semion Grossu","Communist Party of Moldova","Moldova"
"Alexandru Diordiță","Communist Party of Moldova","Moldova"
"Ivan Calin","Communist Party of Moldova","Moldova"
"Nikita Salogor","Communist Party of Moldova","Moldova"
"Zinovie Serdiuk","Communist Party of Moldova","Moldova"
"Ilie Ilașcu","Christian-Democratic People's Party (Moldova)","Moldova"
"Piotr Borodin","Communist Party of Moldova","Moldova"
"Grigore Eremei","Communist Party of Moldova","Moldova"
"Dumitru Braghiș","Social Democratic Party (Moldova)","Moldova"
"Milo Đukanović","Democratic Party of Socialists of Montenegro","Montenegro"
"Zoran Žižić","Democratic Party of Unity","Montenegro"
"Зоран Жижић","Democratic Party of Unity","Montenegro"
"Драгиша Пешић","Democratic Party of Socialists of Montenegro","Montenegro"
"Dragiša Pešić","Democratic Party of Socialists of Montenegro","Montenegro"
"Dragiša Pešić","Socialist People's Party of Montenegro","Montenegro"
"Драгиша Пешић","Socialist People's Party of Montenegro","Montenegro"
"Filip Vujanović","Democratic Party of Socialists of Montenegro","Montenegro"
"Momir Bulatović","Democratic Party of Socialists of Montenegro","Montenegro"
"Момир Булатовић","Democratic Party of Socialists of Montenegro","Montenegro"
"Radoje Kontić","Democratic Party of Socialists of Montenegro","Montenegro"
"Радоје Контић","Democratic Party of Socialists of Montenegro","Montenegro"
"Momir Bulatović","Socialist People's Party of Montenegro","Montenegro"
"Момир Булатовић","Socialist People's Party of Montenegro","Montenegro"
"Željko Šturanović","Democratic Party of Socialists of Montenegro","Montenegro"
"Жељко Штурановић","Democratic Party of Socialists of Montenegro","Montenegro"
"Igor Lukšić","Democratic Party of Socialists of Montenegro","Montenegro"
"Vidkun Quisling","Nasjonal Samling","Norway"
"Kjell Magne Bondevik","Christian Democratic Party (Norway)","Norway"
"Christian Michelsen","Liberal Party (Norway)","Norway"
"Johan Ludwig Mowinckel","Liberal Party (Norway)","Norway"
"Jens Hundseid","Nasjonal Samling","Norway"
"Wojciech Jaruzelski","Polish Workers' Party","Poland"
"Kost Levytsky","Ukrainian National Democratic Alliance","Poland"
"(Кость Леви́цький)","Ukrainian National Democratic Alliance","Poland"
"Jan Krzysztof Bielecki","Freedom Union (Poland)","Poland"
"Jan Krzysztof Bielecki","Solidarity Citizens' Committee","Poland"
"Hanna Suchocka","Solidarity (Polish trade union)","Poland"
"Hanna Suchocka","Freedom Union (Poland)","Poland"
"Tadeusz Mazowiecki","Freedom Union (Poland)","Poland"
"Włodzimierz Cimoszewicz","Social Democracy of the Republic of Poland","Poland"
"Ignacy Daszyński","Polish Socialist Party","Poland"
"Artur Śliwiński","Polish Socialist Party","Poland"
"Edward Osóbka-Morawski","Polish Socialist Party","Poland"
"Tadeusz Mazowiecki","Solidarity Citizens' Committee","Poland"
"Hanna Suchocka","Democratic Union (Poland)","Poland"
"Tadeusz Mazowiecki","Democratic Union (Poland)","Poland"
"Józef Piłsudski","Polish Socialist Party","Poland"
"Janusz Jędrzejewicz","Polish Socialist Party","Poland"
"Józef Oleksy","Social Democracy of the Republic of Poland","Poland"
"Leszek Miller","Social Democracy of the Republic of Poland","Poland"
"Jerzy Buzek","Solidarity Electoral Action","Poland"
"Donald Tusk","Freedom Union (Poland)","Poland"
"Władysław Grabski","National-Democratic Party (Poland)","Poland"
"Jan Olszewski","Solidarity Citizens' Committee","Poland"
"Władysław Grabski","Popular National Union","Poland"
"Stanisław Mikołajczyk","People's Party (Poland)","Poland"
"Piotr Jaroszewicz","Polish Workers' Party","Poland"
"Ewa Kopacz","Freedom Union (Poland)","Poland"
"Antoni Ponikowski","Polish Christian Democratic Party","Poland"
"Antoni Ponikowski","National-Democratic Party (Poland)","Poland"
"Marian Zyndram-Kościałkowski","Polish People's Party ""Wyzwolenie""","Poland"
"Jędrzej Moraczewski","Polish Socialist Party","Poland"
"Aleksander Prystor","Polish Socialist Party","Poland"
"Walery Sławek","Polish Socialist Party","Poland"
"Tomasz Arciszewski","Polish Socialist Party","Poland"
"António de Oliveira Salazar","National Union (Portugal)","Portugal"
"José Manuel Barroso","Portuguese Workers' Communist Party","Portugal"
"Marcelo Caetano","National Union (Portugal)","Portugal"
"Marcello Caetano","National Union (Portugal)","Portugal"
"Óscar Carmona","National Union (Portugal)","Portugal"
"Petru Groza","Ploughmen's Front","Romania"
"Petru Groza","People's Party (interwar Romania)","Romania"
"Chivu Stoica","Romanian Communist Party","Romania"
"Alexandru Vaida-Voevod","National Peasants' Party","Romania"
"Alexandru Averescu","People's Party (interwar Romania)","Romania"
"Alexandru Marghiloman","Conservative Party (Romania, 1880–1918)","Romania"
"Iuliu Maniu","National Peasants' Party","Romania"
"Ion Gheorghe Maurer","Romanian Communist Party","Romania"
"Constantin Dăscălescu","Romanian Communist Party","Romania"
"Gheorghe Mironescu","National Peasants' Party","Romania"
"Nicolae Iorga","Democratic Nationalist Party (Romania)","Romania"
"Armand Călinescu","National Peasants' Party","Romania"
"Henric Streitman","People's Party (interwar Romania)","Romania"
"Henric Ștefan Streitman","People's Party (interwar Romania)","Romania"
"Armand Călinescu","National Renaissance Front","Romania"
"Manea Mănescu","Romanian Communist Party","Romania"
"Ion Gigurtu","People's Party (interwar Romania)","Romania"
"Octavian Goga","People's Party (interwar Romania)","Romania"
"Ion Gigurtu","National Renaissance Front","Romania"
"Ion Gigurtu","National Christian Party","Romania"
"Octavian Goga","National Christian Party","Romania"
"Lascăr Catargiu","Conservative Party (Romania, 1880–1918)","Romania"
"Constantin Argetoianu","National Renaissance Front","Romania"
"Gheorghe Tătărescu","National Renaissance Front","Romania"
"Teohari Georgescu","Romanian Communist Party","Romania"
"Petre P. Carp","Conservative Party (Romania, 1880–1918)","Romania"
"(Petrache Carp)","Conservative Party (Romania, 1880–1918)","Romania"
"Vladimir Putin","Our Home – Russia","Russia"
"Yevgeny Primakov","Fatherland – All Russia","Russia"
"(Евгений Примаков)","Fatherland – All Russia","Russia"
"Georgy Lvov","Constitutional Democratic Party","Russia"
"(Георгий Львов)","Constitutional Democratic Party","Russia"
"Sergey Kiriyenko","Union of Right Forces","Russia"
"(Серге́й Кирие́нко)","Union of Right Forces","Russia"
"Ahmad Matin-Daftari","Monarchist Party","Russia"
"Mikhail Kasyanov","People's Freedom Party ""For Russia without Lawlessness and Corruption""","Russia"
"(Михаил Касьянов)","People's Freedom Party ""For Russia without Lawlessness and Corruption""","Russia"
"Viktor Zubkov","Our Home – Russia","Russia"
"(Ви́ктор Зубко́в)","Our Home – Russia","Russia"
"Fedir Lyzohub","Union of October 17","Russia"
"Viktor Chernomyrdin","Our Home – Russia","Russia"
"Zoran Đinđić","Democratic Party (Serbia)","Serbia"
"Nikola Šainović","Socialist Party of Serbia","Serbia"
"(Никола Шаиновић)","Socialist Party of Serbia","Serbia"
"Aleksandar Mitrović","Socialist Party of Serbia","Serbia"
"Mirko Marjanović","Socialist Party of Serbia","Serbia"
"Aleksandar Vučić","Serbian Progressive Party","Serbia"
"Zoran Živković","Democratic Party (Serbia)","Serbia"
"Zoran Živković","New Party (Serbia)","Serbia"
"Vojislav Koštunica","Democratic Party (Serbia)","Serbia"
"Dragutin Zelenović","Socialist Party of Serbia","Serbia"
"(Драгутин Зеленовић)","Socialist Party of Serbia","Serbia"
"Radoman Božović","Socialist Party of Serbia","Serbia"
"(Радоман Божовић)","Socialist Party of Serbia","Serbia"
"Ivica Dačić","Socialist Party of Serbia","Serbia"
"Milomir Minić","Socialist Party of Serbia","Serbia"
"(Миломир Минић)","Socialist Party of Serbia","Serbia"
"Bojan Pajtić","Democratic Party (Serbia)","Serbia"
"Бојан Пајтић","Democratic Party (Serbia)","Serbia"
"Igor Mirović","Serbian Progressive Party","Serbia"
"Игор Мировић","Serbian Progressive Party","Serbia"
"Robert Fico","Party of the Democratic Left (Slovakia)","Slovakia"
"Jozef Moravčík","People's Party – Movement for a Democratic Slovakia","Slovakia"
"Vladimír Mečiar","People's Party – Movement for a Democratic Slovakia","Slovakia"
"Milan Čič","People's Party – Movement for a Democratic Slovakia","Slovakia"
"Mikuláš Dzurinda","Christian Democratic Movement","Slovakia"
"Ján Čarnogurský","Christian Democratic Movement","Slovakia"
"Borut Pahor","League of Communists of Slovenia","Slovenia"
"Janez Janša","League of Communists of Slovenia","Slovenia"
"Carlos Arias Navarro","People's Party (Spain)","Spain"
"( The Marquis of Arias-Navarro )","People's Party (Spain)","Spain"
"José María Aznar","People's Alliance (Spain)","Spain"
"José María Aznar","People's Party (Spain)","Spain"
"Artur Mas","Catalan European Democratic Party","Spain"
"Francisco Largo Caballero","Spanish Socialist Workers' Party","Spain"
"Felipe González","Spanish Socialist Workers' Party","Spain"
"Felipe González Márquez","Spanish Socialist Workers' Party","Spain"
"Leopoldo Calvo-Sotelo","Union of the Democratic Centre (Spain)","Spain"
"The Marquis of the Ría of Ribadeo","Union of the Democratic Centre (Spain)","Spain"
"José Luis Rodríguez Zapatero","Spanish Socialist Workers' Party","Spain"
"Juan Negrín","Spanish Socialist Workers' Party","Spain"
"Mariano Rajoy","People's Alliance (Spain)","Spain"
"Mariano Rajoy","People's Party (Spain)","Spain"
"Hasan Saka","Republican People's Party (Turkey)","Turkey"
"Refik Saydam","Republican People's Party (Turkey)","Turkey"
"Sadi Irmak","Republican People's Party (Turkey)","Turkey"
"Mustafa Bülent Ecevit","Republican People's Party (Turkey)","Turkey"
"Bülent Ecevit","Republican People's Party (Turkey)","Turkey"
"Yıldırım Akbulut","Motherland Party (Turkey)","Turkey"
"İsmet İnönü","Republican People's Party (Turkey)","Turkey"
"Mustafa İsmet İnönü","Republican People's Party (Turkey)","Turkey"
"Nihat Erim","Republican People's Party (Turkey)","Turkey"
"Ismail Nihat Erim","Republican People's Party (Turkey)","Turkey"
"Fethi Okyar","Republican People's Party (Turkey)","Turkey"
"Ali Fethi Okyar","Republican People's Party (Turkey)","Turkey"
"Recep Tayyip Erdoğan","Welfare Party","Turkey"
"Recep Tayyip Erdoğan","Justice and Development Party (Turkey)","Turkey"
"Mustafa Kemal Atatürk","Republican People's Party (Turkey)","Turkey"
"Recep Tayyip Erdoğan","National Salvation Party","Turkey"
