"country","capital","most_populated_city","maxPop"
"Kosovo","City of Pristina","Pristina","211129"
"Kosovo","City of Pristina","City of Pristina","211129"
"Montenegro","Podgorica","Podgorica","187085"
"Crna Gora","Podgorica","Podgorica","187085"
"Црна Гора","Podgorica","City of Podgorica","187085"
"Црна Гора","City of Podgorica","City of Podgorica","187085"
"Montenegro","Podgorica","City of Podgorica","187085"
"Montenegro","City of Podgorica","City of Podgorica","187085"
"Montenegro","City of Podgorica","Podgorica","187085"
"Црна Гора","Podgorica","Podgorica","187085"
"Crna Gora","City of Podgorica","Podgorica","187085"
"Црна Гора","City of Podgorica","Podgorica","187085"
"Crna Gora","City of Podgorica","City of Podgorica","187085"
"Crna Gora","Podgorica","City of Podgorica","187085"
"Denmark","Copenhagen","Odense","175245"
"Georgia","Kutaisi","Batumi","152839"
"Georgia","Tbilisi","Batumi","152839"
"Georgia","თბილისი","Batumi","152839"
"Georgia","ქუთაისი","Batumi","152839"
"Cyprus","Nicosia","Limassol","101000"
"Cyprus","Nicosia","Λεμεσός / Limasol","101000"
"Bosnia and Herzegovina","Sarajevo","Тузла","80570"
"Bosnia and Herzegovina","Сарајево","Тузла","80570"
"Bosna i Hercegovina","Sarajevo","Тузла","80570"
"Bosna i Hercegovina","Sarajevo","Tuzla","80570"
"Босна и Херцеговина","Сарајево","Тузла","80570"
"Bosna i Hercegovina","Сарајево","Tuzla","80570"
"Bosnia and Herzegovina","Sarajevo","Tuzla","80570"
"Bosna i Hercegovina","Сарајево","Тузла","80570"
"Босна и Херцеговина","Сарајево","Tuzla","80570"
"Босна и Херцеговина","Sarajevo","Тузла","80570"
"Bosnia and Herzegovina","Сарајево","Tuzla","80570"
"Босна и Херцеговина","Sarajevo","Tuzla","80570"
"Switzerland","Berne","Luzern","80501"
"Switzerland","Bern","Luzern","80501"
"Malta","Valletta","Ħal Qormi","16779"
"Malta","Valletta","Qormi","16779"
"Malta","Il-Belt Valletta","Qormi","16779"
"Malta","Il-Belt Valletta","Ħal Qormi","16779"
"Republic of Macedonia","City of Skopje","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Град Скопје","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Skopje","Арачиново","7315"
"Republic of Macedonia","Skopje","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Град Скопје","Haraçinë","7315"
"Republic of Macedonia","City of Skopje","Haraçinë","7315"
"Republic of Macedonia","Град Скопје","Арачиново","7315"
"Republic of Macedonia","Скопје","Haraçinë","7315"
"Republic of Macedonia","City of Skopje","Арачиново","7315"
"Republic of Macedonia","Скопје","Aračinovo / Arachinovo","7315"
"Republic of Macedonia","Скопје","Арачиново","7315"
"Republic of Macedonia","Skopje","Haraçinë","7315"
"San Marino","City of San Marino","Dogana","7000"
"San Marino","Città di San Marino","Dogana","7000"
"Andorra","Andorra la Vella","Arinsal","1722"
"Liechtenstein","Vaduz","Nendeln","1357"
