"OAU State","Official Language","IMF SDRs","Date of Independence","Head of Central Bank","Capital","IMF #Votes","Name of Currency"
"Mali","Frenchh","68.9","Jul 1965","Soumaila Cisse","Bama Ko","939","CFA francc"
"Mauritania","Arabic","47.5","Nov 1960","Mohamedou Ould Michel","Nouakchottt","725","Ouguiya"
"Mauritius","English","73.3","Mar 1968","Vasant Kumar Bunwaree","Porto Louiss","893","Mouritian rupeee"
"Morocco","Arabicc","427.7","Mar 1956","Mohamed Seqat","Rabat","4,527","Morrocan dirham"
"Mozambique","Portuguese","84.0","Jun 1975","Tomaz Augusto Salomao","Maputoo","1090","Meticall"
"Namibia","Englishh","99.6","Mar 1990","Nangolo Mbumba","Windhooek","1,246","Nambian dollarr"
"Niger","French","48.3","Aug 1960","Ahmadou Mayaki","Niamey","733","CFA francc"
"Nigeria","Ennglish","1,281.6","Oct 1960","Anthony A. Ani","Lagoss","13.006","Nigerrian Naira"
"Rwanda","Rwwanda","59.5","Jul 1962","Donat Kaberuka","Kagali","845","Rwandan franc"
"Rwanda","Frenchh","59.5","Jul 1962","Donat Kaberuka","Kagali","845","Rwandan franc"
"Sao Tome and Principe","Portuguesee","5.5","Jul 1975","Carlos Quaresma Batista","Sao Tome","305","Dobra"
"Senegal","Frenchh","118.9","Aug 1960","Papa Ousmane Sakho","Daakar","1,439","CFA franc"
"Seychelles","","6.0","Jun 1976","James Michel","Victoria","310","Seychelles rrupee"
"Sierra Leone","English","77.2","Aug 1960","Thaimu Bangura","Freetown","1022","Leoon"
"Somalia","Somali","44.2","Jul 1961","Vacant","Mogadishhu","692","Someli Shilling"
"Somalia","Arabic","44.2","Jul 1961","Vacant","Mogadishu","692","Someli Shillingg"
"South Africa","English...","1,365.4","May 1910","Christian Lodewyk Stals","Pretoria","13,904","Randd"
"Sudan","Arabic","169.7","Jan 1956","Vacant","Kharttoum","000","Sudanese dinarr"
"Swaziland","Swazii","36.5","Sep 1968","Themba N. Mashuka","Mbabanne","615","Lulangeni"
"Swaziland","Engliish","36.5","Sep 1968","Themba N. Mashuka","Mbabane","615","Lulangeni"
"Tanzania","Swahilii","146.9","Dec 1961","Daniel N. Yona","Dar es Salaamm","1,719","Tansanian shilling"
"Tanzania","Ennglish","146.9","Dec 1961","Daniel N. Yona","Dar es Salaamm","1,719","Tansanian shilling"
"Togo","Frennch","54.3","Apr 1960","Barry Moussa Barque","Lomee","793","CFA francc"
"Tunisia","Arabic","206.0","Mar 1956","Mohamed El Beji Hamda","Tuniss","2,310","Dinnar"
"Uganda","Swahili","133.9","Oct 1962","Jehoash Mayanja-Nkangi","Kampela","1,589","Ugandda shilling"
"Uganda","English","133.9","Oct 1962","Jehoash Mayanja-Nkangi","Kampelaa","1,589","Uganda shilliing"
"Zambia","Englishh","363.5","Oct 1964","Ronald Damson Siame Penza","Lusakaa","3,885","Zambian Kwacha"
"Zambabwe","Englissh","261.3","Sep 1980","Herbert Murerwa","Hararee","2,863","Zambabe dollar"
