"goalkeeper","birthPlace","team","ground"
"Albberto Fontanaa","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Alberto Fonttana","Itally","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Albertoo Fontana","Italy","Juventus","Juventus Stadium"
"Alberto Foontanaa","Itally","Juventus Football ClubS.p.A.","Juventus Stadium"
"Albberto Maria Fontana","Italyy","Juventus","Juventus Stadium"
"Albertto Maria Fontana","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Alberto Rafael da Silvaa","Brazill","Esteghlal Tehran Football Club","Azadi Stadium"
"Alberto Rafael da Silvaaa","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Alberto Rafael da Silvaa","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Alberto Rafael da Silvaa","Brazil","Esteghlal","Azadi Stadium"
"Albberto Rafael da Silvaa","Brazil","استقلال","Azadi Stadium"
"Alejandro Limia","Argentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Alejandro Limiaa","Argentinaa","Huracán","Estadio Tomás A. Ducó"
"Alessandro Beti Rosa","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Alessaandro Beti Rosaa","Braziil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Alex AArancibiaa","Bolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Alex Aranciibia","Boliviaa","Wilstermann","Estadio Sudamericano Félix Capriles"
"Alex Arancibia  Chavez","Bolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Alex AArancibia Chavezz","Boliviaa","Wilstermann","Estadio Sudamericano Félix Capriles"
"Alexander Domínguez","Ecuador","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Alexander Domínnguez Carabalíí","Ecuaddor","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Alfonso De Luciaa","Italyy","Napoli","San Paolo"
"Alfonsoo De Luciaa","Italyy","Napoli","Stadio San Paolo"
"Alfonso De LLuciaa","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Alfonso De Lucia","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Alfrredo Bodoira","Ittaly","Juventus Football ClubS.p.A.","Juventus Stadium"
"Alfredo Bodoira","Italyy","Juventus","Juventus Stadium"
"Alii Boumnnijel","Tunisiaa","Club Africain","Stade Olympique de Radès"
"AAlireza Beiranvandd","Irann","Persepolis Tehran Football Club","Azadi Stadium"
"Alireza Salimiii","Iran","استقلال","Azadi Stadium"
"Alireza Salimi","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Alireza Salimiii","Iran","Esteghlal","Azadi Stadium"
"Amir Abedzadeh","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Ammrinder  Singh","Punjab, India","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"AAmrinder Singhh","Punjab, Indiaa","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Amrinder SSingh","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Amrinder Singhh","Punjabb, India","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singgh","Punjab, Indiaa","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Amrinder Singhh","Punjab,  India","Atlético de Kolkata","Salt Lake Stadium"
"Amrinder Singhh","Punnjab, India","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singhh","Punjab, Indiaa","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Amrinder  Singh Sandhuu","Punjab, India","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Amrinder Singh Sandhu","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singh Sandhuu","Punjab, India","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Amrinder Singh Sandhuu","Punjab, Inndia","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Amrinder Sinngh Sandhu","Punjab, Indiaa","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Amrinder Singh Sandhu","Punjab, Indiaa","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"AAmrinder Singh SSandhu","Punjab, Indiaa","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Amrinder Singh Sandhu","Punjab, India","Atlético de Kolkata","Salt Lake Stadium"
"Anderson Soares daa Silva","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Anderson Soares da Silvaa","BBrazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Andrrea Pozzato","Italyy","Juventus","Juventus Stadium"
"Andrea Pozzatoo","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Andrres Leandro Castellanos Serrrano","Colombiaa","Santa Fe","Estadio Nemesio Camacho"
"Andres Leandro CCastellannos Serrano","Coloombia","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"Andrééé","Brazill","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Andddré","Braazil","Juventude","Estádio Alfredo Jaconi"
"Anddré Campos Moreiraa","Portugall","Atlético Madrid","Vicente Calderón"
"André Campos Moreirraa","Portugal","Club Atlético de Madrid, S.A.D.","Vicente Calderón"
"André Campos Moreiraaa","Portugaal","Atlético Madrid","Estadio Vicente Calderón"
"Anddré Campoos Moreira","Portugal","Club Atlético de Madrid, S.A.D.","Estadio Vicente Calderón"
"André Doringg","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Andrré Doring","Brazil","Juventude","Estádio Alfredo Jaconi"
"Anddré Döringg","Brazill","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"André Döringg","Brazil","Juventude","Estádio Alfredo Jaconi"
"André Moreiraaa","Portugall","Atlético Madrid","Vicente Calderón"
"André Moreiraa","Portugall","Club Atlético de Madrid, S.A.D.","Vicente Calderón"
"André Moreira","Portugal","Atlético Madrid","Estadio Vicente Calderón"
"André Moreiraaa","Portugall","Club Atlético de Madrid, S.A.D.","Estadio Vicente Calderón"
"André-Jooël Eboué","Cameroonn","Canon Kpakum Yaoundé","Stade Ahmadou Ahidjo"
"Andrés Leandro Castelllanos Serrano","Colombia","Santa Fe","Estadio Nemesio Camacho"
"Andréss Leandro Castellanos Serrano","Colombiaa","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"Angelo Martino Colomboo","Italyy","Juventus","Juventus Stadium"
"Angelo Martino Colomboo","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Angelo Peruzzzi","Italyy","Juventus","Juventus Stadium"
"Angelo Peruzzzi","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Anthony Scribeee","Francee","Football Club Dinamo Tbilisi","Boris Paichadze Dinamo Arena"
"Anthony Scrribe","Francee","Dinamo Tbilisi","Boris Paichadze Dinamo Arena"
"Anton Petrovych Yashkov","Ukrainee","Shakhtar Donetsk","Donbass Arena"
"Anton Petrovych Yashkovv","Ukrainee","Football Club Shakhtar","Donbass Arena"
"Anton Turekk","GGermany","Fortuna Düsseldorf","ESPRIT arena"
"Anton Turek","Germany","Düsseldorfer Turn- und Sportverein","ESPRIT arena"
"Anton Turekk","Germanyy","Fortuna 1895 e.V.","ESPRIT arena"
"Anton Yashkovv","Ukraine","Football Club Shakhtar","Donbass Arena"
"Antton Yashkovv","Ukraine","Shakhtar Donetsk","Donbass Arena"
"Antonino Saaviano","Italy","Napoli","San Paolo"
"Antonino Savianoo","Italy","Napoli","Stadio San Paolo"
"Antonnino Savianoo","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Antonino Savianoo","Italyy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Antonio Rosati","Italy","Napoli","Stadio San Paolo"
"Antonio Rosatti","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Antonio Rosatii","Italyy","Napoli","San Paolo"
"Antonio RRosaati","Ittaly","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"António Amaralll","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Antóónio Amaral","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"António Amaral","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Antónioo Amaral","Poortugal","Benfica","Estádio da Luz"
"António Jorge Rodrigues Amaralll","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"António Jorge Rodrigues Amaral","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"António Jorge Rodrigues Amarall","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"António Jorge Rodrigues Amarall","Portugall","Benfica","Estádio da Luz"
"Apouula Edel","Cameroonn","Atlético de Kolkata","Salt Lake Stadium"
"Apoulla Edel","Cameroonn","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Apouula Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Apoulla Edel","Camerooon","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Apoula Edel","Cameroon","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Apoula EEdel","Cameroonn","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Apoula Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Apoula  Edel","Cameroon","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Apoula Edima Edel Betee","Cameroon","অ্যাটলেটিকো ডি কলকাতা","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Apoulla Edima Edel Bete","Cameroon","Atlético de Kolkata","Vivekananda Yuva Bharati Krirangan"
"Apoula Edima Edel Bete","Cameroonn","অ্যাটলেটিকো ডি কলকাতা","Salt Lake Stadium"
"Apoula Edima Edeel Betee","Cameroon","অ্যাটলেটিকো ডি কলকাতা","সল্ট লেক স্টেডিয়াম"
"Apoula Edima Edel Betee","Cameroon","Atlético de Kolkata","Salt Lake Stadium"
"AApoula Edima Edel Betee","Cameroon","Atlético de Kolkata","সল্ট লেক স্টেডিয়াম"
"Apoula Edimaa Edel Betee","Cameroon","অ্যাটলেটিকো ডি কলকাতা","Vivekananda Yuva Bharati Krirangan"
"Apoula Edima Edel Betee","Cameroonn","Atlético de Kolkata","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Ariannna Criscione","United States","FC Twente","De Grolsch Veste"
"Arindam Bhattacharyaa","IIndia","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Arindam Bhattachharyaa","India","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Arinddam Bhattacharya","IIndia","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Arindam Bhattacharyaa","India","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Arnaldo Sentimentiii","Italyy","Napoli","San Paolo"
"Arnaldo Sentimentiii","Italy","Napoli","Stadio San Paolo"
"Arnaldo Sentimentii","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Arnaldo Sentimentii","Itaaly","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Arsen Abrahami BBeglaryan","Russia","Krasnodar","Krasnodar Stadium"
"Arsen Abrahaami Beglaryann","Russiaa","Футбольный клуб Краснодар","Krasnodar Stadium"
"Arsen Abrahami Beglaryann","Russia","Футбольный клуб Кубань Краснодар","Kuban Stadium"
"Arsen Abrahami Beglaryannn","Russia","Kuban","Kuban Stadium"
"Arsen Beglaryann","Russiaa","Футбольный клуб Кубань Краснодар","Kuban Stadium"
"Arsen Beglaryan","Russia","Kuban","Kuban Stadium"
"Arsen Beglaryannn","Russiaa","Футбольный клуб Краснодар","Krasnodar Stadium"
"Arsen Beglaryannn","Russiaa","Krasnodar","Krasnodar Stadium"
"Artur Dysonnn","Portugall","Sporting Clube de Portugal","Estádio José Alvalade"
"AArtur Dyson","Portugall","Sporting CP","Estádio José Alvalade"
"Artur Dyson Santoss","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Artur Dyson Santos","Porrtugal","Sporting CP","Estádio José Alvalade"
"Artyom Leonooov","Russia","Футбольный клуб Краснодар","Krasnodar Stadium"
"Artyom Leonovvv","Russiaa","Krasnodar","Krasnodar Stadium"
"Artyom Petrovich Leonovv","Russia","Футбольный клуб Краснодар","Krasnodar Stadium"
"Arttyom Petrovich Leonovv","Russiaa","Krasnodar","Krasnodar Stadium"
"Arup Debnathh","West Bengall","East Bengal Football Club","Salt Lake Stadium"
"Arup Debnathh","West Bengal","East Bengal Football Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Arup Debnathh","West Bengall","East Bengal Football Club","Vivekananda Yuva Bharati Krirangan"
"Arupp Debnath","West Bengal","East Bengal Football Club","সল্ট লেক স্টেডিয়াম"
"Ashkan Nammdarii","Irann","Esteghlal Tehran Football Club","Azadi Stadium"
"Ashkan Namdariii","Iran","Esteghlal","Azadi Stadium"
"Ashkan NNamdari","Irann","استقلال","Azadi Stadium"
"Attilio Bulgheri","Itally","Juventus Football ClubS.p.A.","Juventus Stadium"
"Attilio Bulgherii","Italy","Juventus","Juventus Stadium"
"Attoougaa","Tunisia","Club Africain","Stade Olympique de Radès"
"Augustto Amaro","Portugall","Sport Lisboa e Benfica","Estádio da Luz"
"Augusto Amaroo","Portuugal","Benfica","Estádio da Luz"
"Augusto Amaroo","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Augusto Amaroo","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Augusto Marques Rodrigues Amaro","Portuugal","Sport Lisboa e Benfica","Estádio da Luz"
"Augusto Marques Rodrigues Amaroo","Porttugal","Benfica","Estádio da Luz"
"Augusto Marques Rodrigues Amaro","Porrtugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Augusto Marquess Rodrigues AAmaro","Portugall","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Back Min-Chulll","Souuth Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"BBack Min-Chull","SSouth Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-Chulll","South Koreea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-chull","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Back MMin-chull","Southh Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Back Min-chuull","South Koreaa","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Bahram Mavaddatt","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Balaji Narasimhann","India","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Balaji  Narasimhann","India","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Balaji Narasimhann","India","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Balaji Narasimhan","India","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Balaji Narasimhann","Karnatakaa","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Balaji NNarasimhan","Karnataka","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Balaji Narasimhannn","Karnatakaa","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Ballaji Narasimhan","Karnataka","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Behzad Gholampourrr","Irann","استقلال","Azadi Stadium"
"Behzad Gholampourrr","Iran","Esteghlal","Azadi Stadium"
"Behzad Gholampouurr","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Beniamino Abatee","Italyy","Napoli","San Paolo"
"Beniamino Abatee","Italy","Napoli","Stadio San Paolo"
"Beniamino  Abatee","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Beniamino Abateee","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Bernd Frankee","Germanyy","Fortuna Düsseldorf","ESPRIT arena"
"Bernd Frankee","Germany","Fortuna 1895 e.V.","ESPRIT arena"
"Bernd Frannnke","Germanyy","Düsseldorfer Turn- und Sportverein","ESPRIT arena"
"Boubacar Barryy","Ivory Coast","ASEC Mimosas","Stade Félix Houphouët-Boigny"
"Boubacar Barrry","Ivoory Coast","Association Sportive des Employés de Commerce Mimosas","Stade Félix Houphouët-Boigny"
"Boy Watermann","Netherlands","Alemannia 1900 e.V.","Tivoli"
"Boy Waterman","Netherlandss","Alemannia Aachen","Tivoli"
"Boy Watermann","Netherlands","Aachener Turn- und Sportverein","Tivoli"
"Branko de Telleríaa","Argentinaa","Huracán","Estadio Tomás A. Ducó"
"Branko de Telleríaa","AArgentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Bruno Costaa","Portugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Costa","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Cossta","Porttugal","Sport Lisboa e Benfica","Estádio da Luz"
"Bruno Costaa","Porrtugal","Benfica","Estádio da Luz"
"Bruno Miguel Guuerrreiro Costa","Portugall","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Miguel Guerreiro Costaaa","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"Bruno Miguel Guerreiro Costaa","Portugal","Sport Lisboa e Benfica","Estádio da Luz"
"Bruno Miguel Guerreiro Costaa","Portugal","Benfica","Estádio da Luz"
"Bréiner Castilllo","Coolombia","Millonarios Fútbol Club S.A.","Estadio Nemesio Camacho"
"Bréiner Casttillo","Colombiaa","Millonarios","Estadio Nemesio Camacho"
"Bréiner Clemente Castiillo Caicedo","Collombia","Millonarios Fútbol Club S.A.","Estadio Nemesio Camacho"
"Bréiner Clemente Castillo Caicedoo","Colombia","Millonarios","Estadio Nemesio Camacho"
"Bubai Singhhh","India","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Bubai SSingh","Inddia","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Bubai Singhh","Indiia","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Bubai Siiingh","Inddia","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Bubai Singhaa","IIndia","Mohun Bagan Athletic Club","সল্ট লেক স্টেডিয়াম"
"Bubai Singhaa","India","Mohun Bagan Athletic Club","Vivekananda Yuva Bharati Krirangan"
"Bubaii Singhaa","Indiaa","Mohun Bagan Athletic Club","(বিবেকানন্দ যুবভারতী ক্রীড়াঙ্গন)"
"Bubai Singhaa","Indiia","Mohun Bagan Athletic Club","Salt Lake Stadium"
"Caio Gobbbo Secco","Brazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Caio Gobbbo Seccoo","Brazill","Vitória","Estádio Manoel Barradas"
"Caio Gobbo Seccoo","Brazill","Esporte Clube Vitória","Barradão"
"Caio Gobboo Seccoo","BBrazil","Vitória","Barradão"
"Caio Seccooo","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Caio Secco","Brazill","Vitória","Estádio Manoel Barradas"
"Caio Secccoo","Brazill","Esporte Clube Vitória","Barradão"
"Caio Seccooo","Brazill","Vitória","Barradão"
"Carlo Mattrelll","Itaaly","Juventus","Juventus Stadium"
"Carlo Mattrell","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Carlos António Gomes","Portugall","Sporting CP","Estádio José Alvalade"
"Carlos António Gomesss","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Carlos António do Carmo Costa Gommes","Porttugal","Sporting CP","Estádio José Alvalade"
"Carlos Anttónio do Carmo Costa Gomess","Portugal","Sporting Clube de Portugal","Estádio José Alvalade"
"Carlos Emilio Lampe Porrass","Boliviaa","Universitario de Sucre","Estadio Olímpico Patria"
"Carlos Emilio Lampe Porrass","Boliviaa","Club Deportivo Universitario San Francisco Xavier","Estadio Olímpico Patria"
"Carlos Enrique Vázquez del Mercadoo","Meexico","Club Deportivo Guadalajara S.A. de C.V.","Estadio Chivas"
"Carlos Gomeess","Portugall","Sporting CP","Estádio José Alvalade"
"Carlos Gomes","Portugall","Sporting Clube de Portugal","Estádio José Alvalade"
"Carlos Lampe","Boliviaa","Universitario de Sucre","Estadio Olímpico Patria"
"Carloos LLampe","Boolivia","Club Deportivo Universitario San Francisco Xavier","Estadio Olímpico Patria"
"Carmine Biaggio Gatti","Italyy","Napoli","San Paolo"
"Carmine Biagio Gattiii","Ittaly","Napoli","Stadio San Paolo"
"Carmine Biagio Gattii","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Caarmine Biagio Gattii","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Cees Paauwee","Netherlands","Twente","De Grolsch Veste"
"Cees Paauwee","Netherlandss","Football Club Twente","De Grolsch Veste"
"Cesare Goffi","Italyy","Juventus","Juventus Stadium"
"Cesare Goffii","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Cesare Valinasso","Italy","Juventus","Juventus Stadium"
"Cesare Valinassoo","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Cho JJun-Hoo","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"Cho Jun-Hoo","South Koreaa","Jeju United","Jeju World Cup Stadium"
"Cho Jun--Ho","Soutth Korea","제주 유나이티드","Jeju World Cup Stadium"
"Choo Jun-Ho","South Koreaa","Jeju United Football Club","Jeju World Cup Stadium"
"Choi Hyunnn","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Choi   Hyun","Southh Korea","Jeju United","Jeju World Cup Stadium"
"Choi Hyun","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Choi Hyun","South Koreea","Jeju United Football Club","Jeju World Cup Stadium"
"Christiaan Martínezz","Mexico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Christian Martínez Cedilloo","Mexico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Christian Mattheniaa","Germanyy","1. Fußball- und Sport-Verein Mainz 05 e.V.","Opel Arena"
"Christian Matheniaaa","Germany","Mainz 05","Opel Arena"
