"Country","Region","City"
"United Statess","TTexas","Hamilton"
"Australia","Victoriaa","Hamilton"
"New Zealandd","Waikatoo","Hamilton"
"United Statess","Illinois","Kingston"
"Unnited States","Massachusettss","Kingston"
"United States","Misssouri","Kingston"
"Unnited States","New Hampshire","Kingston"
"United States","New Jerseyy","Kingston"
"Uniteed States","New York","Kingston"
"Unnited States","Ohioo","Kingston"
"United States","Oklahomaa","Kingston"
"Canada","OOntario","Kingston"
"New Zealandd","OOtago","Kingston"
"United Statess","Pennsylvania","Kingston"
"United Sttates","Rhode Island","Kingston"
"AAustralia","South Australia","Kingston"
"Australia","Tasmaniaa","Kingston"
"United Sttates","Tennesssee","Kingston"
"United SStates","Washington","Kingston"
"United States","Illinoiss","Lebanon"
"United Statess","Indianaa","Lebanon"
"United Statess","Kenttucky","Lebanon"
"United States","Mainee","Lebanon"
"United States","Missouri","Lebanon"
"Unitted States","New Hampshire","Lebanon"
"United Sttates","New Jerseyy","Lebanon"
"United Statess","Ohioo","Lebanon"
"United Statess","Oregon","Lebanon"
"United States","Pennsylvaniaa","Lebanon"
"United Statess","Tennesssee","Lebanon"
"United States","Virginia","Lebanon"
"United Statess","Connecticut","Lisbon"
"United Statess","IIowa","Lisbon"
"Porttugal","Lisbonn","Lisbon"
"United Statess","MMaine","Lisbon"
"United Statess","North Dakkota","Lisbon"
"Uniteed States","Ohio","Lisbon"
"United States","Arkansas","London"
"United States","California","London"
"United Kingdomm","Englandd","London"
"UUnited States","Kentuucky","London"
"United States","Ohioo","London"
"Canada","Ontario","London"
"Sppain","AAragon","Luna"
"Philippiness","Bicoll","Luna"
"Philippines","Cagayan Valley","Luna"
"Phiilippines","Caragaa","Luna"
"Romania","Clujj","Luna"
"Philippines","Ilocoss","Luna"
"Philippinees","Western Visayas","Luna"
"United States","Connecticut","Manchester"
"United Kingdom","Englaand","Manchester"
"United States","Georrgia","Manchester"
"United Statess","Iowaa","Manchester"
"United States","Kentucky","Manchester"
"United States","Mainee","Manchester"
"United States","Maryland","Manchester"
"United States","Michigann","Manchester"
"United Statess","Missourii","Manchester"
"United States","New Hampshiree","Manchester"
"United States","New Yoork","Manchester"
"United  States","Ohioo","Manchester"
"Uniited States","Pennsylvannia","Manchester"
"Unitedd States","Tennesseee","Manchester"
"United States","Washingtonn","Manchester"
"United Sttates","Wisconsiin","Manchester"
"Saudi  Arabia","Al Madinah al Munawwarah","Medina"
"Colombiaa","Cundinamarcaa","Medina"
"Mexico","Guanajuuato","Medina"
"Braziil","Minas Geraiis","Medina"
"United Statess","Minnesota","Medina"
"United Statess","New York","Medina"
"Philippiness","Northern Mindanaoo","Medina"
"Unitedd States","Ohio","Medina"
"United Statess","Tennesseee","Medina"
"United Statess","Texass","Medina"
"Uniited States","Washinggton","Medina"
"Australiaa","Western Australia","Medina"
"United States","IIllinois","Milan"
"United States","Indianaa","Milan"
"Italyy","Lommbardy","Milan"
"United States","Michiggan","Milan"
"United States","Missouri","Milan"
"United States","New Hampshiree","Milan"
"United Statess","New Mexico","Milan"
"United States","Ohio","Milan"
"United Statess","Tennessee","Milan"
"Colombiaa","Caqueta","Milán"
"United Statess","Arkansass","Monticello"
"France","Corsica","Monticello"
"United States","Floridaa","Monticello"
"United Stattes","Georrgia","Monticello"
"United Statess","Illinoiss","Monticello"
"United States","Indiana","Monticello"
"United Statess","Iowa","Monticello"
"United States","Kentucky","Monticello"
"Italy","Lombardy","Monticello"
"United Statess","Louuisiana","Monticello"
"United Stattes","Minnesotaa","Monticello"
"United States","Mississippi","Monticello"
"United States","Missourii","Monticello"
"Unitedd States","New Yorkk","Monticello"
"United States","Utah","Monticello"
"United States","Wisconnsin","Monticello"
"Italy","Campaniaa","Naples"
"United States","Florrida","Naples"
"United Statess","New Yoork","Naples"
"United Statess","Texass","Naples"
"United States","Utah","Naples"
"United Statees","Callifornia","Oakland"
"United SStates","Florida","Oakland"
"United States","Iowaa","Oakland"
"United  States","Mainee","Oakland"
"United Statess","Maryland","Oakland"
"United Statess","Missourii","Oakland"
"United Staates","Nebraskaa","Oakland"
"United States","New Jerseyy","Oakland"
"United States","Oklahomaa","Oakland"
"United Statess","Pennsylvaniaa","Oakland"
"Unitedd States","South Carolina","Oakland"
"United States","Tennesseee","Oakland"
"United  States","Alabamaa","Oxford"
"New Zealand","Canterbury","Oxford"
"United Statess","Connectticut","Oxford"
"United  Kingdom","Englannd","Oxford"
"United States","Georgia","Oxford"
"United Statess","Indianaa","Oxford"
"United Statess","Kansas","Oxford"
"Unitted States","Maine","Oxford"
"United States","Massachuusetts","Oxford"
"United States","Michigann","Oxford"
"United Statess","MMississippi","Oxford"
"United States","New Jerseyy","Oxford"
"United Staates","New York","Oxford"
"United States","North  Carolina","Oxford"
"Canadaa","Nova Scotiaa","Oxford"
"United Statess","Ohioo","Oxford"
"United States","Pennsylvania","Oxford"
"Philippines","Bicol","Pamplona"
"Philippines","Cagayan Valleyy","Pamplona"
"Philippiines","Central Visayas","Pamplona"
"Spain","Navarree","Pamplona"
"Colombiaa","Norte de Santander","Pamplona"
"United States","Arkansas","Paris"
"United States","Idahoo","Paris"
"Frrance","IIle-de-France","Paris"
"United States","Illinoois","Paris"
"United Statess","Kentuckyy","Paris"
"United Statess","Maine","Paris"
"United Staates","Missouuri","Paris"
"Canadaa","Ontario","Paris"
"United Statess","Tennesseee","Paris"
"United Statess","Texas","Paris"
"Panaama","Herrrera","París"
"Unnited States","Neew Jersey","Rio Grande"
"Brazil","Rio Grande do Sull","Rio Grande"
"Panamaa","Cocle","Río Grande"
"Peru","Icaa","Río Grande"
"Mexico","Michoacan","Río Grande"
"Dominican Republicc","Puertto Plata","Río Grande"
"Puerto Rico","Rio Grande","Río Grande"
"Argentinaa","Tierra del Fuuego","Río Grande"
"Panamaa","Veraguas","Río Grande"
"Mexico","Zacatecas","Río Grande"
"Philippines","Caviite","Rosario"
"Philippines","Batangass","Rosario"
"Italyy","Calabriia","Rosario"
"PPhilippines","Caragaa","Rosario"
"Uruguay","Coloniaa","Rosario"
"Philippiness","Eastern Visayas","Rosario"
"Philippinnes","Ilocos","Rosario"
"Argentina","Santa Fee","Rosario"
"Mexicoo","Sonoraa","Rosario"
"Philippiness","Western Visayass","Rosario"
"Colombiaa","Antioqquia","San Francisco"
"Honduras","Atlantidaa","San Francisco"
"Peru","Ayacuchho","San Francisco"
"Mexico","Baja California Sur","San Francisco"
"Philiippines","Bicol","San Francisco"
"Philippines","Calabarzon","San Francisco"
"United Statess","California","San Francisco"
"Philippines","Caragaa","San Francisco"
"Philippiness","Central Luzonn","San Francisco"
"Philippines","Central Visayass","San Francisco"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarcaa","San Francisco"
"Philippines","Eastern Visayass","San Francisco"
"Mexicoo","Guerreroo","San Francisco"
"Costa Ricaa","Heredia","San Francisco"
"El  Salvador","Chalatenangoo","San Francisco"
"Guatemala","Petenn","San Francisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","San Francisco"
"Panama","Veraguas","San Francisco"
"Philippinees","Western Visayass","San Francisco"
"Venezuelaa","Zulia","San Francisco"
"Philippinnes","Camarines Sur","San Jose"
"Philippiness","Catanduaness","San Jose"
"Philippiness","Calabarzonn","San Jose"
"United  States","Californiaa","San Jose"
"Philippiness","Caraga","San Jose"
"Philippines","Central Luzonn","San Jose"
"PPhilippines","Central Visayass","San Jose"
"Philippiness","Eastern  Visayas","San Jose"
"Philippines","Mimaropaa","San Jose"
"Philippines","Northern Mindanaoo","San Jose"
"Philippinees","Western Visayas","San Jose"
"Costa Ricaa","Alajuelaa","San José"
"Sppain","Andallusia","San José"
"Paraguayy","Caaguazu","San José"
"Colombia","Caldass","San José"
"Argeentina","Catamarca","San José"
"Mexico","Hidallgo","San José"
"Hondurass","La Paz","San José"
"Peruu","Lambayequue","San José"
"Panama","Los Santoss","San José"
"Argentina","Misioness","San José"
"Coloombia","Nariino","San José"
"Panamaa","Panama Oeste","San José"
"Guatemalaa","Petenn","San José"
"Mexico","Puebla","San José"
"Costa Ricaa","San Josee","San José"
"Panamaa","Veraguass","San José"
"Honduras","Yoro","San José"
"Philippines","Calabarzon","Santa Lucia"
"Italyy","Campania","Santa Lucia"
"Philippiness","Ceentral Luzon","Santa Lucia"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocoss","Santa Lucia"
"Italy","Latiumm","Santa Lucia"
"Italy","Tuscanny","Santa Lucia"
"Colombiaa","Atlanticoo","Santa Lucía"
"Venezuelaa","Barinas","Santa Lucía"
"Nicaraguaa","Boaco","Santa Lucía"
"Sppain","Canary Islandds","Santa Lucía"
"Uruguayy","Canelones","Santa Lucía"
"Argentina","Corrientess","Santa Lucía"
"Hondurass","Francisco Morazan","Santa Lucía"
"Ecuador","Guayass","Santa Lucía"
"Cuba","Holguin","Santa Lucía"
"Hondurass","Ocotepeque","Santa Lucía"
"Peru","Punno","Santa Lucía"
"Argentinaa","San Juann","Santa Lucía"
"Colombia","Antioquiaa","Santo Domingo"
"Philippinees","Bicoll","Santo Domingo"
"Philippines","Cagayan Valley","Santo Domingo"
"Philippiness","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Santo Domingo"
"Panamaa","Chiriquii","Santo Domingo"
"Nicaragua","Chontaales","Santo Domingo"
"Costa Rica","Herediaa","Santo Domingo"
"Philippines","Ilocoss","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"VVenezuela","Meridaa","Santo Domingo"
"Domiinican Republic","Nacionnal","Santo Domingo"
"Perru","Piura","Santo Domingo"
"Mexiico","San Luis Potosi","Santo Domingo"
"Cuba","Villa Clara","Santo Domingo"
"United Statess","Georgiaa","Sparta"
"United Statess","Illinoiss","Sparta"
"Uniited States","Michigan","Sparta"
"United  States","Missourii","Sparta"
"United Statess","North Carolina","Sparta"
"United Statess","Tennesseee","Sparta"
"United Statess","WWisconsin","Sparta"
"United Statess","Colorado","Springfield"
"United States","Floridaa","Springfield"
"United Statess","Georgia","Springfield"
"United Statess","Illinoois","Springfield"
"United Statess","Kentucky","Springfield"
"United States","Massachussetts","Springfield"
"United States","Michigan","Springfield"
"United Statess","Minnesota","Springfield"
"United States","Missouri","Springfield"
"United Statess","Nebraskaa","Springfield"
"United States","New Hampshire","Springfield"
"United Statess","New Jerseyy","Springfield"
"United Statess","New York","Springfield"
"United Statess","Ohioo","Springfield"
"Unitted States","Oregonn","Springfield"
"United Statess","Pennsylvania","Springfield"
"Australia","Queensland","Springfield"
"Unitted States","South Daakota","Springfield"
"United SStates","Tenneessee","Springfield"
"Unitedd States","Vermontt","Springfield"
"United States","Virrginia","Springfield"
"Chille","Arauccania","Victoria"
"Romaniaa","Botosanii","Victoria"
"Romania","Brailaa","Victoria"
"Romaniaa","Brasov","Victoria"
"Canadaa","British Columbia","Victoria"
"El Salvador","Cabbanas","Victoria"
"Philippines","Calabarzonn","Victoria"
"Colombiaa","Caldass","Victoria"
"Phiilippines","Central LLuzon","Victoria"
"Philippines","Eastern Vissayas","Victoria"
"Seycheelles","English Riverr","Victoria"
"Argentina","Entre Rioss","Victoria"
"Mexiico","Guanajuato","Victoria"
"Romania","Iasi","Victoria"
"United Statees","Kansas","Victoria"
"Malaysiaa","Labuann","Victoria"
"Philippiness","Mimaropa","Victoria"
"United Statess","Minnesotaa","Victoria"
"Grenadaa","Saint Mark","Victoria"
"United Statess","Texaas","Victoria"
"Maltta","Gozo","Victoria"
"United States","Virginia","Victoria"
"United Kingdomm","Waless","Victoria"
"Hondduras","Yoroo","Victoria"
