"name","birthDate","birthPlace","region","country"
"Charles Davisss","1958-10-05","Nashvillee","Davidson County, Tennesseee","United States"
"Russ Freemann","1960-02-11","Nashvillee","Davidson County, Tennesseee","United States"
"Chriss Porterr","1978-05-09","Abbeeville","Henry County, Alabamaa","United States"
"Billl Latham","1960-08-29","Birmingham","Jefferson County, Alabamma","United States"
"Ricky Joness","1955-03-09","Birmingham","Jefferson County, Alabamaa","United States"
"Albeert  Hall","1958-03-07","Birminghamm","Jefferson County, Alabamaa","United States"
"Nick Williamss","1990-02-21","Birmingham","Jefferson County, Alabamaa","United States"
"Sttan White","1971-08-14","Birminghamm","Jefferson County, Alabama","United States"
"William Barrnes","1919-12-29","Birminghaam","Jefferson County, Alabamaa","United States"
"David Dahlll","1994-04-01","BBirmingham","Jefferson County, Alabama","United States"
"Howard Murphyy","1882-01-01","Birmingham","Jefferson County, Alabamaa","United States"
"Ed Shawww","1895-08-07","Tecumsehh","Johnson County, Nebraskaa","United States"
"TTony Davis","1953-01-21","Tecumseh","Johnson County, Nebraskaa","United States"
"David Landisss","1948-06-10","Lincolnn","Lancaster County, Nebraska","United States"
"Jerry Smiithh","1943-07-19","Eugenee","Lane County, Oregon","United States"
"Greg Gaaary","1970-02-14","Anderson","Madison County, Indianaa","United States"
"Joe Courtneyyy","1969-10-17","Jackson","Madison County, Mississippii","United States"
"Aaroon Harper","1981-03-12","Jaackson","Madisoon County, Mississippi","United States"
"James Robinsonnn","1970-08-31","JJackson","Madison Counnty, Mississippi","United States"
"James Laangg","1983-10-17","Mobile","Mobile County, Alabamaa","United States"
"Kevin Leee","1971-01-01","Mobille","Mobile County, Alabamaa","United States"
"John  Harmss","1940-02-17","Bayardd","Morrill County, Nebraskaa","United States"
"Robert Marxxx","1956-09-25","Portland","Multnomah Coounty, Oregon","United States"
"Chris Garrett","1973-12-26","Portlandd","Multnomah County, Orregon","United States"
"Johhn Robinsonn","1985-10-25","Portlandd","Multnomah County, Oregon","United States"
"Robert Murrayyy","1959-06-29","Bangorr","Penobscot County, Mainee","United States"
"James Robinsonnn","1970-08-31","Jacksonn","Rankin County, Mississippi","United States"
"Glen CCollins","1959-07-10","Jacksonn","Rankin County, Mississippi","United States"
"James  Jones","1969-02-06","Daveenport","Scott County, Iowa","United States"
"Harry Hansenn","1884-12-26","Davenport","SScott County, Iowa","United States"
"Bob Fergusonn","1919-04-18","Birmingham","Shelby County, Alabama","United States"
"MMichael Mortonn","1960-02-06","Birminghamm","Shelby County, Alabama","United States"
"RRichard Todd","1953-11-19","Birmingham","Shelby County, Alabama","United States"
"Paul Williamsss","1939-07-02","Birminghamm","Shelby County, Alabamaa","United States"
"Jefff Smithh","1974-06-07","Akrron","Summit County, Ohio","United States"
"Chris Martinnn","1986-06-02","Arlington","Texass","United States"
"Seth Jonesss","1994-10-03","Arlingtonn","Texass","United States"
"Don Johnsonn","1926-11-12","Portlandd","Washinngton County, Oregon","United States"
"James Allennn","1979-11-11","Portlandd","Washington County, Oregonn","United States"
"Berrt Hall","1889-10-15","Porttland","Washington County, Oregonn","United States"
"Thomas Mannn","1991-09-27","Portland","Washington County, Oregon","United States"
"George Evanns","1963-01-23","Bloomington","Indianaa","United States"
"Hal Smithh","1902-06-30","Creston","Iowa","United States"
"John Dunlopp","1874-04-23","Cambridgee","Massachusetts","United States"
"Terry Dobbsonn","1937-06-09","Cammbridge","Massachusettss","United States"
"Bobby Carppenter","1963-07-13","Beverly","Massachusettss","United States"
"David Morsee","1953-10-11","Beverly","Massachusettss","United States"
"Ian Crawforddd","1988-09-29","Eugenee","Oregonn","United States"
"Jerry Smithhh","1943-07-19","Eugene","Oreegon","United States"
"Bob Steeleee","1907-01-23","Portland","Oreegon","United States"
"Jammes Whalen","1977-12-11","Portlandd","Oregonn","United States"
"Rod Millerr","1940-01-16","Portlaand","Oregon","United States"
"Cindy Brownn","1965-03-16","Portlland","Orregon","United States"
"David Brooksss","1915-09-24","Portland","Oreggon","United States"
"John Robinson","1985-10-25","Portland","Oregoon","United States"
"Mark Hudsson","1951-08-23","Portland","Oregon","United States"
"Henry Marshalll","1954-08-09","Broxton","Georgia (U.S. state)","United States"
"Tony Pierce","1946-01-29","Bruunswick","Georgia (U.S. state)","United States"
"BBlowfly","1939-02-14","Coochran","Georgia (U.S.. state)","United States"
"Joee","1973-07-05","Columbus","Georgia (U.S. state)","United States"
"Jusstin Lewis","1986-03-20","Douglass","Georgia (U.S. state)","United States"
"Andrew Brownnn","1995-12-30","Chesapeakee","Virginiaa","United States"
"David Wilson","1991-06-15","Danville","Virginia","United States"
"Jake Reedd","1967-09-28","Covington","Newton County, Georgia","United States"
"Kevin CCampbell","1964-12-06","Des Arcc","Arkansas","United States"
"Sean McNamaraa","1962-05-09","Burbank","Californiaa","United States"
"Sam Willliams","1980-07-28","Clayton","Californiaa","United States"
"Yo-Yooo","1971-08-04","Comptonn","California","United States"
"Ron Stoonee","1942-09-09","Corning","Californnia","United States"
"Parnell Hall","1944-10-31","Culver City","Californiaa","United States"
"Adam Keennedy","1991-05-11","Elk Grove","California","United States"
"Brad  Little","1954-02-15","Emmettt","Idaho","United States"
"Kevin Martinnn","1969-04-09","EElgin","Illinois","United States"
"Stuart Lancaster","1920-11-30","Evanstonn","Illinois","United States"
"John Portterr","1935-06-01","Evanstonn","Illinnois","United States"
"Christiian Friiedrich","1987-07-08","Evanstonn","Illinoiss","United States"
"Damon Joness","1974-09-18","Evanston","Illinnois","United States"
"Donald Fergusonn","1931-04-28","Evanstonn","Illinois","United States"
"Nick Holmess","1981-08-14","Dodge City","Kansas","United States"
"Jack Marshallll","1921-11-23","El Doradoo","Kansass","United States"
"Paul Rudolphh","1918-10-23","Elktton","Kentucky","United States"
"Paul Martin","1981-03-05","Elk River","Minnesotta","United States"
"Collin Brownn","1985-08-29","Chillicothe","Missouri","United States"
"Jason Cookk","1980-09-13","Camden","New Jersey","United States"
"John Moyerr","1969-05-01","Camdenn","New Jerseyy","United States"
"Jaasonn Thompson","1986-07-21","Camden","New Jerseyy","United States"
"John Morrisss","1926-10-18","Elizabethh","New Jersey","United States"
"James Manninggg","1738-10-22","Elizabethh","New Jersey","United States"
"Richard Woodd","1953-05-31","Elizabeth","New Jersey","United States"
"Joseph Hardyy","1929-03-08","Carlsbadd","New Mexico","United States"
"Jessica MMooree","1982-05-22","Burlington","North Carolina","United States"
"Lesster Smith","1970-08-16","Cooncord","North Carolinaa","United States"
"Mark Slaterr","1955-02-01","Crosbyy","North Dakota","United States"
"CChris Carppenter","1985-12-26","Bryan","Ohioo","United States"
"Lisa Howardd","1930-04-24","Cambridge","Ohio","United States"
"Andrew Brown","1981-02-17","Chardon","Ohioo","United States"
"Wayne Steveens","1936-06-19","Chillicothe","Ohioo","United States"
"Stan Whitee","1949-10-24","Doverr","Ohio","United States"
"BBen Aldrridge","1926-10-24","Duncann","Oklahomaa","United States"
"Peter Fitzgeraldd","1960-10-20","Elgin","Kane Countty, Illinois","United States"
"David  Smith","1906-03-09","Decatur","Adams County, Indianaa","United States"
"Harry Clarkee","1916-12-01","Cumberlandd","Allegany County, Maryland","United States"
"S. John Rosss","1971-07-15","Cumberrland","Allegany County, Maryland","United States"
"Mark Wagnerr","1954-03-04","Conneautt","Ashtabula County, Ohioo","United States"
"Dan  Jennings","1960-09-16","Daphhne","Balddwin County, Alabama","United States"
"Robert Millss","1927-04-15","Englewoodd","Bergeen County, New Jersey","United States"
"Anthony Johnnson","1974-10-02","Charleston","Berkeley County, South Carolinaa","United States"
"John Brownn","1939-06-09","Camden","Camden County, New Jerseyy","United States"
"Joe Thommas","1948-03-09","Canton","Cherokee County, Georgiaa","United States"
"Moniicaa","1980-10-24","College Parkk","Clayton County,  Georgia","United States"
"David Howardd","1961-12-08","Enterprisse","Coffee County, Alabama","United States"
"David Hoowardd","1961-12-08","Enterprise","Dale County, Alabama","United States"
"Jason Moore","1978-04-04","Decaturr","DeKalb Coounty, Georgia","United States"
"David Shaferrr","1965-04-29","Dunwooddy","DeKalb County, Georgia","United States"
"Roberrt  Byrne","1930-05-22","Dubuque","Dubuque County, Iowaa","United States"
"Eric Turnerr","1963-02-07","Elkhart","Elkhart County, Indianaa","United States"
"Archie Clarkk","1941-07-15","Conway","Faulkner County, Arkansass","United States"
"Monica","1980-10-24","College Paark","Fulton County, Georgiaa","United States"
"Jasson Rogerss","1988-03-13","East Point","Fulton County, Georgiaa","United States"
"Todd Lambb","1971-10-19","Enid","Garfield County, Oklahoma","United States"
"Karen Dalton","1937-07-19","EEnid","Garfield County, Oklahoma","United States"
"Jeff Chaapmann","1959-07-14","Brunswick","Glynn County, Georggia","United States"
"Michael Andreww","1999-04-18","Ediina","Heennepin County, Minnesota","United States"
"Richmond McDavid Flowers, Jr...","1947-06-13","DDothan","Houston County, Alabamaa","United States"
"Eugene Bennett","1921-12-20","Central Point","Jackson Countty, Oregon","United States"
"Joseph Fischerr","1954-11-14","Covington","Kenton County, Keentucky","United States"
"Charles Johnsonn","1989-02-27","Elssmere","Kenton County, Kentucky","United States"
"James Bailey","1957-05-02","Dublinn","Laurens CCounty, Georgia","United States"
"Frrank Thomas","1968-05-27","Columbus","Muscogee County, Georgia","United States"
"Robert Steellee","1956-08-02","Columbus","Muscogee County, Georgiaa","United States"
"Joeee","1973-07-05","Columbus","Muscogee County, Georgiaa","United States"
"Corey Williamss","1980-08-17","Camden","Ouachita County, Arkansass","United States"
"George Campbell","1996-10-27","Clearwaterr","Pinellas County, Floridaa","United States"
"John Bennettt","1865-05-14","Chillicothe","Ross County, Ohioo","United States"
"Tim Andersonn","1980-11-22","Clydee","Sandusky County, Ohio","United States"
"Michael Hawkkins","1972-10-28","Canton","Stark County, Ohio","United States"
"Al Jones","1959-02-10","Charleston","Tallahatchie County, Mississipppi","United States"
"Kenneth Dixon","1994-01-21","El Doradoo","Union County, Arkansas","United States"
"Don Harris","1954-02-08","Elizabethh","Union County, New Jerseyy","United States"
"William Martin","1866-05-13","Elizabethh","Union County, Neew Jersey","United States"
"Bob Odelll","1922-03-05","Corningg","IIowa","United States"
"Tom Jenkinss","1898-04-10","Cammden","Wilcox County, Alabamaa","United States"
"Jim Wilsonn","1960-12-29","Corvalliss","Oregon","United States"
"Ken WWilliams","1954-10-30","Evansville","Vanderburgh County,  Indiana","United States"
"Willie Brownn","1900-08-06","Clarkksdale","Mississippi","United States"
"Aaron Kelly","1993-04-02","Daavenport","Floridaa","United States"
"EEdwin Denbyy","1870-02-18","Evansvillee","Vanderburgh County, Indianaa","United States"
"Horace Allenn","1899-06-11","DeLandd","Florida","United States"
"John Smitth","1944-05-24","Columbuss","Mississippii","United States"
"JJessicaa Smith","1983-10-14","Dearborn","Wayne County, Michigann","United States"
"Mark Wilsonnn","1943-05-13","Cottage Grovee","Oregon","United States"
"Terry Taylor","1964-07-28","Crestvieww","Floridaa","United States"
"Al Jooness","1959-02-10","Charlestonn","Mississiippi","United States"
"Chrristian Taylorr","1990-06-18","Fayettevillee","Georgia (U.S. state))","United States"
"Charlie Stonee","1948-01-12","Fitzgeraldd","Georgia (U.S. state))","United States"
"A. J. Johhnson","1991-12-24","Gainesville","Geoorgia (U.S. state)","United States"
"Billy Martinn","1942-10-27","Gainesviille","Georgia (U.S. sstate)","United States"
"Jody Davis","1956-11-12","Gainesvillee","Georgia (U.S. state))","United States"
"Jim O'Brienn","1951-11-07","Falls Church","Virginia","United States"
"Evan Jenkins","1960-09-12","Huntington","West Virginiaa","United States"
"Peter Marshalll","1926-03-30","Huntington","West Virginia","United States"
"JJimmy Stewartt","1970-01-24","Huntingtonn","West Virginia","United States"
"Richard Sanderss","1940-08-23","Harrisburg","Cumberland County, Pennsylvania","United States"
"Jennnifer Brady","1995-04-12","Harrisburgg","Cumberland County, Pennsylvaniaa","United States"
"Jack  O'Connelll","1951-10-08","Glen Covve","New Yorkk","United States"
"Ashanti","1980-10-13","Glen Covee","New Yorkk","United States"
"Michael Moooree","1976-11-01","Fayette","Alabamaa","United States"
"Mark Thhompsson","1955-12-01","Florence","Alabamaa","United States"
"Henry Williamss","1956-12-02","Greensboro","Alabama","United States"
"Roger Brrownn","1941-12-10","Hamilton","Alabama","United States"
"Jason Mooree","1970-10-12","Fayettevillee","Arkansass","United States"
"Jasson Mooree","1970-10-22","Fayetteville","Arrkansas","United States"
"Jason Jonnes","1983-08-30","Forrest City","Arkansass","United States"
"Tyler Wilsonnn","1989-08-16","Fort Smmith","Arkannsas","United States"
"Gaugeee","1980-07-24","Hot Springs","Arrkansas","United States"
"Robert Thomass","1974-12-01","Jacksonvillee","Arkansass","United States"
"Tony Johnson","1991-09-21","FFolsom","California","United States"
"Frank Charlesss","1969-02-23","Fontana","Callifornia","United States"
"Randy JJoness","1950-01-12","FFullerton","Califfornia","United States"
"Chris Conrad","1975-05-27","Fullertonn","CCalifornia","United States"
"Michael McDonaldd","1964-12-31","Fullertonn","Californiaa","United States"
"Gary Walker","1942-03-09","Gleendale","CCalifornia","United States"
"Mark Leeee","1958-03-20","Hanfordd","California","United States"
"John Blue","1966-02-19","Huntington Beachh","Californiaa","United States"
"Craaig Smithh","1983-11-10","Inglewoodd","California","United States"
"José Solanooo","1971-02-22","Inglewood","Califfornia","United States"
"Frank Grifffithh","1872-11-18","Gilmann","Illinois","United States"
"Dennis Nellsonn","1946-02-02","Kewaneee","Illinoiss","United States"
"Damian Johnsonnn","1962-12-18","Great Bend","Kansass","United States"
"Dan Johhnsonn","1936-08-18","Hayss","Kansas","United States"
"Bill Schwartzzz","1864-04-03","Jamestown","Kenttucky","United States"
"John Nelsonn","1791-06-01","Frederickk","MMaryland","United States"
"Bob Johnsonnn","1948-11-12","Farmingtonn","Michigann","United States"
"Frank Millss","1891-01-26","Kalamazooo","Michigan","United States"
"Lou Brrock","1892-08-21","Kalamazoo","Michigan","United States"
"Stephanie Edwardss","1943-11-08","Kenyon","Minnesota","United States"
"William Mooree","1985-05-18","Hayti","Missourri","United States"
"Margaret Cravenn","1901-03-13","Helena","Montana","United States"
"Jack Leee","1920-04-08","Fremont","Nebraska","United States"
"Grant Sullivan","1924-06-30","Fremont","Nebraska","United States"
"Jefff Richardson","1965-08-26","Grand Islandd","Nebraskaa","United States"
"Brad Millerr","1953-05-19","Fayetteville","North Carolinaa","United States"
"Chris Armstrongg","1967-08-28","Fayettevillee","North Carolinaa","United States"
"Aaron Curryy","1986-04-06","Fayetteville","North Carolinaa","United States"
"Perry Williamss","1961-05-12","Haamlet","North Carolina","United States"
"John Woodsss","1794-10-18","JJohnstown","Pennsylvaniaa","United States"
"John Waalker","1941-11-19","Johnstown","Pennsylvania","United States"
"Willie Jacksonnn","1971-08-16","Gainesvillee","Alachua County, Florida","United States"
"John Wellls","1922-11-25","Junction City","Geary County, Kansass","United States"
"Scott Hasstingss","1960-06-03","Independence","Montgomery County, Kansass","United States"
"JJack O'Connelll","1951-10-08","Glen Covee","Nassau County, New Yorkk","United States"
"Brett Mahher","1989-11-21","Kearney","Buffalo County, Nebraska","United States"
"William Alllenn","1827-08-13","Hamiltonn","Butler County, Ohioo","United States"
"Jimmy Stewart","1970-01-24","Huntingtonn","Cabell County, West Virginia","United States"
"John Wallker","1941-11-19","Johnstown","Cambria County, Pennsylvania","United States"
"Grant Sullivann","1924-06-30","Fremontt","Dodge Couunty, Nebraska","United States"
"Jeff Stonee","1960-12-26","Kennettt","Dunklin County, Missourii","United States"
"Alan Thompsonn","1927-05-17","Geneva","Franklin County, Iowa","United States"
"Thomas Brownn","1957-07-08","Galvestonn","Galveston County, Texas","United States"
"Stephanie Edwardsss","1943-11-08","Kenyon","Goodhue County,  Minnesota","United States"
"Walter Daviss","1911-03-01","Grenadaa","Grenada County, Mississippii","United States"
"Allen Websterrr","1990-02-10","Greeensboro","Guilford County, North Caarolina","United States"
"Jeff Davisss","1960-01-26","Greensboro","Guilford County, North Caarolina","United States"
"Georgee Page","1935-03-31","Hartwell","Hart County, Georgiaa","United States"
"Ben Carter","1910-02-10","Fairfieldd","Jefferson County, Iowaa","United States"
"Chris Martinn","1960-12-19","Huntsville","Limestone County, Alabama","United States"
"Pat Hughhess","1947-06-02","Everett","Middlesex County, Massachusettss","United States"
"Steve Strachann","1963-03-22","Everett","Middlesex County, Massachusetts","United States"
"Jim Lind","1947-11-11","Isle","Mille Lacs County, Minnesotaa","United States"
"David Abbottt","1863-09-22","Falls City","Richardson County, Nebraska","United States"
"Brian MMaartin","1962-08-18","Fort Smithh","Sebastian County, Arkansass","United States"
"Bob BBryant","1918-06-14","Frederick","Tillman County, Oklahomaa","United States"
"RRobert Joness","1944-04-22","Jeffersonville","Twiggs County,  Georgia","United States"
"Jasonn Mooree","1970-10-12","Fayetteville","Washington County, Arkansas","United States"
"Jasonn Moore","1970-10-22","Fayettevillee","Washington County, Arkansass","United States"
"Edwin Bakerrr","1991-06-01","Highland Park","Wayne County, Michigann","United States"
"Davvid Thorntonn","1978-11-01","Golldsboro","Wayne County, North Carolina","United States"
"George Crowtherr","1891-10-03","FFitchburg","Massacchusetts","United States"
"Greg Brrown","1949-07-02","Fairfield","Iowa","United States"
"Bill Codyyy","1944-08-02","Greennwood","Mississippi","United States"
"Bob Flannigann","1926-08-22","Greencastle","Indiana","United States"
"Greg Williamss","1959-08-01","Greenvillee","Mississiippi","United States"
"Ryan McIntosh","1983-03-19","Hollywoodd","Broward County, Floridaa","United States"
"Art Smith","1960-03-01","Jasperr","Florida","United States"
"Bob Priestleyy","1920-01-05","Everett","Massachussetts","United States"
"Marcus Johnsoonn","1981-12-01","Greenville","Miississippi","United States"
"Bob  Haak","1916-03-26","Hammond","Indianaa","United States"
"David Gunn","1972-03-02","Gresham","Oregon","United States"
"John EElliott","1876-07-05","Keosauquaa","Iowa","United States"
"Brian Dempsey","1966-09-30","Haverhilll","Massachusettts","United States"
"Brian Wesstt","1978-06-10","LaGrange","Georgia (U.S. state))","United States"
"Craig  Campbell","1979-02-10","Lyonss","Georgia (U.S.. state)","United States"
"Nikki Randallll","1964-08-11","Macon","Georgia (U.S. state)","United States"
"Jason Jones","1976-10-17","Mariettaa","Georgia (U.S. state)","United States"
"PPip","1992-04-26","Mariettaa","Georgia (U.S. state)","United States"
"Brad  Johnson","1968-09-13","Mariettta","Georgia (U.S. state))","United States"
"Richard Howelll","1990-09-26","Mariettta","Georgia (U.S. state)","United States"
"David Porterrr","1941-11-21","Memphiis","Tennesseee","United States"
"Andrew Loveee","1941-11-21","Memphiss","Tennesseee","United States"
"Cedric Hendersonn","1975-03-11","Memphhis","Tennesseee","United States"
"Roobert Ridgway","1823-04-21","Lynchburg","Virginia","United States"
"David Hobbss","1949-04-25","Lynchburg","Virginiaa","United States"
"Christopher ""Chhris"" Collinss","1971-03-22","Lynchburgg","Virginia","United States"
"Mike Barrr","1978-12-08","Lynchburg","Virginia","United States"
"Tyler Wilsonn","1989-09-25","Lynchburrg","Virginiaa","United States"
"Ryan Martinn","1989-03-23","Lake Foresst","California","United States"
"Bradd Wilson","1972-11-19","Long Beach","CCalifornia","United States"
"Michael Wileyy","1957-10-16","Loong Beach","California","United States"
"Richard Cromwelll","1910-01-08","Long Beachh","Californiaa","United States"
"Ted Robiinsonn","1923-05-17","Long Beach","Californiaa","United States"
"Luis Aguilar","1984-01-29","Long BBeach","Caalifornia","United States"
"Walter Hill","1942-01-10","Long Beeach","Californiaa","United States"
"Ernie Barrberr","1914-04-18","Mantecaa","Californiaa","United States"
"Jake Scottt","1981-04-16","Leewiston","Idaho","United States"
"Bernard Jacksonn","1980-05-10","Louisvillee","Kentuckyy","United States"
"Rick Wilsonn","1956-02-07","Louisvillee","Kenttucky","United States"
"Chris Seelbach","1979-11-14","Louisville","Kentuckyy","United States"
"Dale Williamss","1855-10-06","Ludloww","Keentucky","United States"
"Robert Manningg","1927-06-30","Manchester","Kentuckyy","United States"
"Joe Thomass","1963-03-25","Lafayettee","Louisianaa","United States"
"Patriicia BBrown","1928-10-01","Lafayettee","Louisiana","United States"
"Dave Campbelll","1942-01-14","Manisteee","Michigann","United States"
"Wally Grantt","1927-12-08","Leonidass","Minnesotaa","United States"
"Chriis Paappas","1980-06-04","Manchesterr","New Hampshire","United States"
"Bob Beattiee","1933-01-24","Manchesterr","New Hampshiree","United States"
"Don Walker","1907-10-28","Lambertville","Neew Jersey","United States"
"Jason Ryann","1976-01-21","Long Branchh","New Jerssey","United States"
"Bob Davis","1945-09-15","Long Branchh","New Jersey","United States"
"Dicck Smith","1944-08-25","Lincolntonn","North Carolinaa","United States"
"Ron  Jacobss","1942-12-27","Marion","North Carolina","United States"
"Jack Comppton","1882-03-09","Lancasterr","OOhio","United States"
"Frrank Sawyerr","1952-01-30","Mansfield","Ohioo","United States"
"Jacckie Allenn","1947-09-24","Lawtonn","Oklahoma","United States"
"Benjamin Curtisss","1978-09-23","LLawton","Oklahoma","United States"
"Danny Doylee","1917-01-24","McLoud","OOklahoma","United States"
"Jamees Wright","1927-12-13","Martins Ferrry","Belmont County, Ohio","United States"
"George FFoster","1980-06-09","Macon","Bibb County, Georgiaa","United States"
"Hugh  Robertsonn","1989-09-15","Maconn","Bibb County, Georgia","United States"
"Johnny Allen","1904-09-30","Lenoir","Caldwell County, North Carolinaa","United States"
"Hall Erickson","1898-03-10","Maynardd","Chippewa County, Minnesota","United States"
"Craig Stevenss","1918-07-08","Liberty","Clay County, Missouri","United States"
"Brad Johnsoonn","1968-09-13","Mariettta","Cobb County, Georgia","United States"
"Adam Morgan","1990-02-27","Maarietta","Cobb County, Georgia","United States"
"Biilly Burnss","1989-08-30","Marietta","Cobb County, Georgia","United States"
"Jackiee Allen","1947-09-24","Lawtonn","Comanche County, Oklahomaa","United States"
"Benjamin  Curtiss","1978-09-23","Lawton","Comanche County, Oklahomaa","United States"
"Albert Colle","1904-12-28","Lynnn","Essex County, Massachusetts","United States"
"George Hood","1794-08-28","Lynnn","Essex County, Massachusettts","United States"
"Brian Mooree","1962-02-01","Maquoketa","Jackson County, Iowa","United States"
"John Milton","1807-04-20","Louisville","Jeefferson County, Georgia","United States"
"George Bensonn","1919-05-07","Maddison","Jefferson County, Indiana","United States"
"Mark Colee","1958-06-06","Louisvillee","Jefferson County, Kentucky","United States"
"Bernard Jacksonnn","1980-05-10","Louuisville","Jefferson County, Kentuckyy","United States"
"John Marshalll","1856-05-24","Louisville","Jefferson County, Kentuckyy","United States"
"Jack Pierceee","1948-06-02","Laurell","Jones County, Mississippi","United States"
"Chris Banks","1973-04-04","Lexington","Lafayette County, Missouri","United States"
"Roy Williamss","1950-08-01","Marionn","McDowell County, North Caarolina","United States"
"John A. Johnsonn","1883-07-09","Litcchfield","Meeker County, Minnesotaa","United States"
"John Firth","1855-05-06","Lowwell","Middlesex County, Massachusettss","United States"
"Joe Saccco","1969-02-04","Medford","Middlesex County, Massachusetts","United States"
"Joe Coleeman","1922-07-30","Medfordd","Middlesex County, Massachusettss","United States"
"Tim Burke","1955-05-29","Melroose","Middlesex County, Massachusettss","United States"
"Tomm Price","1933-05-28","Long Branch","Monmouth County, New Jersey","United States"
"Scott Smithh","1948-10-21","Key Wesst","Monroe County, Florida","United States"
"Michhael Jones","1975-08-13","Lake Oswego","Multnnomah County, Oregon","United States"
"Jake Scotttt","1981-04-16","Lewiston","Nez Perce County, Idahoo","United States"
"Miike Fellowss","1957-12-08","Lewiston","Nez Perce County, Idaho","United States"
"Joe Loonney","1990-08-31","Lake Worthh","Palm Beach County, Florida","United States"
"Adrian Brown","1974-02-07","McComb","Pike County, Mississippi","United States"
"William Bedfordd","1963-12-14","Memphiss","Shelbby County, Tennessee","United States"
"David Myers","1961-12-31","Magee","Simpson County, Mississippii","United States"
"Huueyy","1986-09-12","Kinlochh","St. Louis County, Missouri","United States"
"Brandon Williamss","1989-02-21","Kirkwood","St. Louis County, Missouri","United States"
"Tommy Brown","1931-05-27","Lumpkin","Stewart County, Georgia","United States"
"Joe Perryyy","1950-09-10","Lawrence","Maassachusetts","United States"
"Christian Thompson","1990-06-14","Melbourne","Floorida","United States"
"John Bradyy","1954-09-17","McComb","Mississippi","United States"
"Scott Smithh","1948-10-21","Key West","Florida","United States"
"David Robinsonn","1949-04-02","Maalden","Massachusetts","United States"
"Pierre Bernard","1875-10-31","Leonn","Ioowa","United States"
"Craig Campbbell","1979-02-10","Lyonss","Toombs County, Georgia","United States"
"Frank MccManuss","1875-09-21","Lawrencce","Massachusettss","United States"
"Doug Jonesss","1957-06-24","Lebanon","Indiana","United States"
"Anthony Allen","1959-06-29","McComb","Mississippii","United States"
"Brett Williams (American football))","1980-05-02","Kissimmee","Florida","United States"
"Jerry Johnson","1894-03-22","Linn Grove","Iowa","United States"
"Daniel  Baker","1791-08-17","Midwayy","Georgia ((U.S. state)","United States"
"Larry Turnerrr","1982-12-29","Milledgeville","Georgia (U.S. state))","United States"
"John Cooper","1975-04-07","Memphiss","Tennessee","United States"
"Larry  Riley","1953-06-20","Memphis","Tennnessee","United States"
"Wiillie Mitchelll","1928-03-01","Memphis","Tennesseee","United States"
"David Johnsonn","1991-12-16","Memphhis","Tennesseee","United States"
"Eric Maartin","1981-11-12","Norfolkk","Virginiaa","United States"
"Barbaara Perryy","1923-06-22","Norfolk","Virgginia","United States"
"James  Murphy","1967-07-30","Portsmouth","Virginiaa","United States"
"Charles Anthonyy","1798-03-31","Richhmond","Virginia","United States"
"Anne Georgee","1927-12-04","Monntgomery","Alabamaa","United States"
"Mike Championn","1955-02-10","Montgomeryy","AAlabama","United States"
"Steve Forrestt","1986-09-25","Moddesto","Californiaa","United States"
