"lake","area","location","state"
"Black Jimmy Pond","44515.4","Plymouth, Massachusetts","Massachusettsss"
"Blackmore Pond","186155.0","Wareham, Massachusetts","Plymouth CCounty, Massachusettss"
"Blackmore Pond","186155.0","Wareham, Massachusetts","Massachussettss"
"Bloody Pond (Massachusetts)","396592.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Bloody Pond (Massachusetts)","396592.0","Plymouth, Massachusetts","Massachusettss"
"Blue Cypress Lake","2.63046e+07","Fellsmere, Florida","Floridaaa"
"Blue Lake (Sebring, Florida)","136622.0","Sebring, Florida","Floridaaa"
"Boca Reservoir","4e+06","Nevada County, California","California"
"Bonny Lake (Florida)","1.00767e+06","Lakeland, Florida","Floriddaa"
"Boot Pond (Plymouth, Massachusetts)","307561.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Boot Pond (Plymouth, Massachusetts)","307561.0","Plymouth, Massachusetts","MMassachuseetts"
"Bouquet Reservoir","2.54143e+06","Los Angeles County, California","Califoorniia"
"Bridgeport Reservoir","1.26464e+07","Mono County, California","Californiaa"
"Briggs Reservoir (Manomet, Massachusetts)","113312.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Briggs Reservoir (Manomet, Massachusetts)","113312.0","Plymouth, Massachusetts","Massachusettss"
"Briggs Reservoir (Plymouth, Massachusetts)","68796.6","Plymouth, Massachusetts","Plymouth Coounty, Massachussetts"
"Briggs Reservoir (Plymouth, Massachusetts)","68796.6","Plymouth, Massachusetts","Massachusettsss"
"Brock Reservoir","1.96273e+06","Gordons Well, California","CCaliforniaa"
"Brock Reservoir","1.96273e+06","Imperial County, California","Californiaa"
"Browning Pond","360170.0","Oakham, Massachusetts","Massachusettsss"
"Browning Pond","360170.0","Spencer, Massachusetts","Massachusettsss"
"Bucks Lake","7.39361e+06","Plumas County, California","Califoornia"
"Buena Vista Lake","6e+07","Kern County, California","Califorrniaa"
"Buena Vista Lake","6e+07","San Joaquin Valley","Californiaa"
"Buffumville Lake","809371.0","Charlton, Massachusetts","Massachusettss"
"Calero Reservoir","1.36379e+06","Santa Clara County, California","California"
"Camanche Reservoir","3.11608e+07","San Joaquin County, California","Californiaa"
"Camanche Reservoir","3.11608e+07","Amador County, California","Caalifornia"
"Camanche Reservoir","3.11608e+07","Calaveras County, California","Californniaa"
"Canyon Lake (California)","2.1246e+06","Riverside County, California","California"
"Castac Lake","1.61874e+06","Lebec, California","Californiaa"
"Castac Lake","1.61874e+06","Kern County, California","Californiaaa"
"Castle Lake (California)","190202.0","Siskiyou County, California","Californiaa"
"Cedar Lake (California)","12140.6","San Bernardino County, California","California"
"Charge Pond","93077.7","Plymouth, Massachusetts","Plymouth County, Massachuseettss"
"Charge Pond","93077.7","Plymouth, Massachusetts","Massachusettss"
"Cherry Lake","6.21192e+06","Tuolumne County, California","Califoornnia"
"Christina Lake (Florida)","109225.0","Lakeland Highlands, Florida","Floriida"
"Clear Lake (California)","1.76119e+08","Lake County, California","Califoorniaa"
"Clear Lake (Orlando, Florida)","1.44473e+06","Orlando, Florida","Floridda"
"Clear Lake Reservoir","1.04247e+08","Modoc County, California","Californnia"
"Clifton Court Forebay","1.01171e+07","Contra Costa County, California","Californiaa"
"College Pond","214483.0","Plymouth, Massachusetts","Plymouth Coounty, Massachusettss"
"College Pond","214483.0","Plymouth, Massachusetts","Massachusettss"
"Collins Lake","3.55e+06","Yuba County, California","California"
"Cooks Pond (Plymouth, Massachusetts)","93077.7","Plymouth, Massachusetts","Plymouth County, Massachuusettss"
"Cooks Pond (Plymouth, Massachusetts)","93077.7","Plymouth, Massachusetts","Massachussetts"
"Copco Lake","4.04686e+06","Siskiyou County, California","Californiaaa"
"Coyote Lake (Santa Clara County, California)","2.56975e+06","Santa Clara County, California","Californiia"
"Crossman Pond","60702.8","Kingston, Massachusetts","PPlymouth County, Massachusettss"
"Crossman Pond","60702.8","Kingston, Massachusetts","Maassachusetts"
"Crowley Lake","2.14483e+07","Mono County, California","Californiaa"
"Crystal Lake (Lakeland, Florida)","111612.0","Lakeland, Florida","Florridaa"
"Crystal Lake (Newton, Massachusetts)","133546.0","Newton, Massachusetts","Masssachusetts"
"Crystal Lake (south Winter Haven, Florida)","145404.0","Winter Haven, Florida","Floridaaa"
"Crystal Springs Reservoir","5.35399e+06","San Mateo County, California","Californiaa"
"Curlew Pond","174015.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Curlew Pond","174015.0","Plymouth, Massachusetts","Masssachusetts"
"Deer Pond (Plymouth, Massachusetts)","44515.4","Plymouth, Massachusetts","Plymouth County, Massachhusettss"
"Deer Pond (Plymouth, Massachusetts)","44515.4","Plymouth, Massachusetts","Massachusettss"
"Diamond Valley Lake","1.82109e+07","Riverside County, California","Californiaaa"
"Dinner Lake","1.69968e+06","Sebring, Florida","Florida"
"Dodge Reservoir","1.98701e+06","Ravendale, California","Californiaa"
"Dodge Reservoir","1.98701e+06","Lassen County, California","California"
"Don Pedro Reservoir","5.26091e+07","Tuolumne County, California","Californniaa"
"Donner Lake","1.31e+06","Nevada County, California","Callifornia"
"Dry Canyon Reservoir","4.45154e+06","Los Angeles County, California","CCalifornia"
"Dug Pond","194249.0","Natick, Massachusetts","Massachusettss"
"Dunham Pond (Carver, Massachusetts)","182109.0","Carver, Massachusetts","Plymouth County, Massachusettsss"
"Dunham Pond (Carver, Massachusetts)","182109.0","Carver, Massachusetts","Massachusettss"
"Eagle Lake (Florida)","2.61832e+06","Eagle Lake, Florida","Floridaa"
"Eagle Lake (Lassen County)","9.71246e+07","Lassen County, California","Californiaa"
"East Head Reservoir","372311.0","Carver, Massachusetts","Plymouth County, Massachusettss"
"East Head Reservoir","372311.0","Plymouth, Massachusetts","Plymouth County, MMassachhusetts"
"East Head Reservoir","372311.0","Carver, Massachusetts","Massachusettts"
"East Head Reservoir","372311.0","Plymouth, Massachusetts","Massacchusettss"
"Eastman Lake","7.2034e+06","Madera County, California","Californiaa"
"Eastman Lake","7.2034e+06","Mariposa County, California","Californiia"
"Edward Medard Park and Reservoir","3.11608e+06","Plant City, Florida","Floridaa"
"Elbow Pond (Plymouth, Massachusetts)","64749.7","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Elbow Pond (Plymouth, Massachusetts)","64749.7","Plymouth, Massachusetts","Massaachusettss"
"Elderberry Forebay","1.82109e+06","Los Angeles County, California","Californiaa"
"Engineers Lake","49169.3","Haines City, Florida","Floridaa"
"Englebright Lake","3.29819e+06","Nevada County, California","Californiaa"
"Englebright Lake","3.29819e+06","Yuba County, California","California"
"Ezekiel Pond (Massachusetts)","145687.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Ezekiel Pond (Massachusetts)","145687.0","Plymouth, Massachusetts","Massaachusetts"
"Fawn Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Fawn Pond (Massachusetts)","133546.0","Plymouth, Massachusetts","Massachusettsss"
"Fearing Pond","97124.6","Plymouth, Massachusetts","Plymouth County, Massacchusetts"
"Fearing Pond","97124.6","Plymouth, Massachusetts","Massachusettsss"
"Federal Pond","522044.0","Carver, Massachusetts","Plymouth County, Massachusettss"
"Federal Pond","522044.0","Plymouth, Massachusetts","Plymouth Countty, Massachusettss"
"Federal Pond","522044.0","Carver, Massachusetts","Massachusettss"
"Federal Pond","522044.0","Plymouth, Massachusetts","Massachusetts"
"Five Mile Pond (Plymouth, Massachusetts)","117359.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Five Mile Pond (Plymouth, Massachusetts)","117359.0","Plymouth, Massachusetts","Massachusettss"
"Folsom Lake","4.63365e+07","Northern California","Californiaaa"
"Forge Pond (Plymouth, Massachusetts)","56656.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Forge Pond (Plymouth, Massachusetts)","56656.0","Plymouth, Massachusetts","Massachusettss"
"Fountaingrove Lake","133546.0","Sonoma County, California","California"
"Frenchman Lake (California)","6.39403e+06","Plumas County, California","Callifornia"
"Fresh Meadow Pond","238765.0","Carver, Massachusetts","Plymouth County, Massachusettsss"
"Fresh Meadow Pond","238765.0","Plymouth, Massachusetts","Plymouth County, Masssachusetts"
"Fresh Meadow Pond","238765.0","Carver, Massachusetts","Massachusetts"
"Fresh Meadow Pond","238765.0","Plymouth, Massachusetts","Masssachusettss"
"Fresh Pond (Cambridge, Massachusetts)","627263.0","Cambridge, Massachusetts","Massachusettss"
"Fresh Pond (Plymouth, Massachusetts)","250905.0","Plymouth, Massachusetts","Plymoouth County, Massachusetts"
"Fresh Pond (Plymouth, Massachusetts)","250905.0","Plymouth, Massachusetts","Massaachusetts"
"Fuller Street Pond","84984.0","Carver, Massachusetts","Plymouth Couunty, Massachusettss"
"Fuller Street Pond","84984.0","Middleborough, Massachusetts","Plymouth County, Massachusettss"
"Fuller Street Pond","84984.0","Carver, Massachusetts","Massachusettss"
"Fuller Street Pond","84984.0","Middleborough, Massachusetts","Massachusettsss"
"Furnace Pond (Pembroke, Massachusetts)","433014.0","Pembroke, Massachusetts","Plymouth County, Massachusettss"
"Furnace Pond (Pembroke, Massachusetts)","433014.0","Pembroke, Massachusetts","Massachusettsss"
"Gallows Pond","174015.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Gallows Pond","174015.0","Plymouth, Massachusetts","Massachusettsss"
"Glen Charlie Pond","748668.0","Wareham, Massachusetts","Plymouth County, Massachusettss"
"Glen Charlie Pond","748668.0","Wareham, Massachusetts","Masssachusettss"
"Goose Lake (Oregon–California)","3.80728e+08","Modoc County, California","Californiaaa"
"Grassy Lake (Florida)","2.14447e+06","Lake Placid, Florida","Florida"
"Great Herring Pond","1.52162e+06","Plymouth, Massachusetts","Plyymouth County, Massachusetts"
"Great Herring Pond","1.52162e+06","Bourne, Massachusetts","Maassachusetts"
"Great Herring Pond","1.52162e+06","Plymouth, Massachusetts","Masssachusetts"
"Great Island Pond","311608.0","Plymouth, Massachusetts","Plymouth County, Massachhusettss"
"Great Island Pond","311608.0","Plymouth, Massachusetts","Massachusetts"
"Great Quittacas Pond","4.79552e+06","Lakeville, Massachusetts","PPlymouth County, Massachusetts"
"Great Quittacas Pond","4.79552e+06","Middleborough, Massachusetts","Plymouuth County, Massachusettss"
"Great Quittacas Pond","4.79552e+06","Rochester, Massachusetts","Plymouth Countyy, Massachusetts"
"Great Quittacas Pond","4.79552e+06","Middleborough, Massachusetts","Maassachusettss"
"Great Quittacas Pond","4.79552e+06","Lakeville, Massachusetts","Massachusetts"
"Great Quittacas Pond","4.79552e+06","Rochester, Massachusetts","Massachusettss"
"Great Sandy Bottom Pond","441107.0","Pembroke, Massachusetts","Plymmouth County, Massachusettss"
"Great Sandy Bottom Pond","441107.0","Pembroke, Massachusetts","Massachusettss"
"Great South Pond","1.18168e+06","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Great South Pond","1.18168e+06","Plymouth, Massachusetts","Massachusettss"
"Guadalupe Reservoir","299467.0","Santa Clara County, California","Califoorniaa"
"Gunners Exchange Pond","117359.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Gunners Exchange Pond","117359.0","Plymouth, Massachusetts","Massachusetts"
"Halfway Pond (Massachusetts)","938871.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Halfway Pond (Massachusetts)","938871.0","Plymouth, Massachusetts","Masssachusetts"
"Hardy Pond","169968.0","Waltham, Massachusetts","Massachusetts"
"Harrobs Corner Bog Pond","64749.7","Plympton, Massachusetts","Plymouth County, Massachusetts"
"Harrobs Corner Bog Pond","64749.7","Plympton, Massachusetts","Massachusettss"
"Hedges Pond (Plymouth, Massachusetts)","105218.0","Plymouth, Massachusetts","Plymouth County, Massachusetts"
"Hedges Pond (Plymouth, Massachusetts)","105218.0","Plymouth, Massachusetts","Massachusettss"
"Hernandez Reservoir","2.38765e+06","San Benito County, California","CCaliifornia"
"Hocomonco Pond","109265.0","Westborough, Massachusetts","Massachusetts"
"Honey Lake","2.22739e+08","Lassen County, California","Californiaaa"
"Horn Pond (Massachusetts)","412779.0","Woburn, Massachusetts","Massachusettss"
"Houghton's Pond","97124.6","Milton, Massachusetts","Massachusetts"
"Howard Lake (Mendocino County)","80937.1","Mendocino County, California","Califoornia"
"Hoyts Pond (Massachusetts)","64749.7","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Hoyts Pond (Massachusetts)","64749.7","Plymouth, Massachusetts","Massachusetttss"
"Hume Lake","352077.0","Fresno County, California","Californiaa"
"Huntington Lake","5.83152e+06","Fresno County, California","Californiaaa"
"Imperial Reservoir","2.8e+07","Imperial County, California","Califforniaa"
"Indian Head Pond (Massachusetts)","489670.0","Hanson, Massachusetts","Plymouth County, Massachusetttss"
"Indian Head Pond (Massachusetts)","489670.0","Hanson, Massachusetts","Masssachusetts"
"Indian Pond (Kingston, Massachusetts)","267093.0","Plympton, Massachusetts","Plymouth County, Massachusettsss"
"Indian Pond (Kingston, Massachusetts)","267093.0","Kingston, Massachusetts","Plymouth County, Massachusettss"
"Indian Pond (Kingston, Massachusetts)","267093.0","Plympton, Massachusetts","Massachusettss"
"Indian Pond (Kingston, Massachusetts)","267093.0","Kingston, Massachusetts","Masssachusetts"
"Indian Tom Lake","2.02343e+06","Siskiyou County, California","Californiaa"
"Indian Valley Reservoir","1.61874e+07","Lake County, California","California"
"Irvine Lake","2.8328e+06","Orange County, California","Califorrnnia"
"Island Creek Pond","174015.0","Duxbury, Massachusetts","Plymouth County, Massachusettss"
"Island Creek Pond","174015.0","Duxbury, Massachusetts","Massachusetts"
"Island Pond (Cedarville, Massachusetts)","311608.0","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Island Pond (Cedarville, Massachusetts)","311608.0","Plymouth, Massachusetts","Massachusetts"
"Island Pond (Plymouth, Massachusetts)","48562.3","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Island Pond (Plymouth, Massachusetts)","48562.3","Plymouth, Massachusetts","MMassachusetts"
"Ivanpah Lake","3.4e+07","San Bernardino County, California","Californiaaa"
"Jacobs Pond (Norwell, Massachusetts)","238765.0","Norwell, Massachusetts","Plymouth County, Massachusettss"
"Jacobs Pond (Norwell, Massachusetts)","238765.0","Norwell, Massachusetts","Massachusettsss"
"Keene Pond","52609.1","Duxbury, Massachusetts","Plymouth County, Massachusetts"
"Keene Pond","52609.1","Duxbury, Massachusetts","Massachusettss"
"Kelly Lake (Florida)","27397.2","Lakeland, Florida","Floridaaa"
"Kent Lake","1.7442e+06","Marin County, California","Californiaaa"
"Kings Pond (Plymouth, Massachusetts)","84984.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Kings Pond (Plymouth, Massachusetts)","84984.0","Plymouth, Massachusetts","Massachusettss"
"Laguna Niguel Lake","178062.0","Laguna Niguel, California","California"
"Lake Alpine","724387.0","Alpine County, California","Californiaa"
"Lake Amador","1.55804e+06","Amador County, California","Californiaa"
"Lake Anza","40468.6","Contra Costa County, California","Californiaa"
"Lake Arrowhead Reservoir","3.15655e+06","San Bernardino County, California","Californiaa"
"Lake Attitash","1.45687e+06","Merrimac, Massachusetts","Massachusettss"
"Lake Attitash","1.45687e+06","Amesbury, Massachusetts","Maassachusettss"
"Lake August","210963.0","Placid Lakes, Florida","Florida"
"Lake Berryessa","8.37699e+07","Napa County, California","Californiaa"
"Lake Boon","659638.0","Stow, Massachusetts","Massachuseetts"
"Lake Boon","659638.0","Hudson, Massachusetts","Massachuseettss"
"Lake Buckeye","284251.0","Winter Haven, Florida","Florida"
"Lake Buel","793184.0","New Marlborough, Massachusetts","Massachusettss"
"Lake Buel","793184.0","Monterey, Massachusetts","Massachusettss"
"Lake Butler (Polk County, Florida)","69848.7","Haines City, Florida","Floridaa"
"Lake Cachuma","1.25453e+07","Santa Barbara County, California","California"
"Lake Calero","445154.0","Sacramento County, California","Californiaaa"
"Lake Cannon","1.3476e+06","Winter Haven, Florida","Floridaa"
"Lake Canyon","42532.5","Lakeland, Florida","Florrida"
"Lake Casitas","4.45154e+06","Ventura County, California","Californiaaa"
"Lake Chabot","1.27476e+06","Alameda County, California","Californiaa"
"Lake Charlotte (Florida)","816210.0","Sebring, Florida","Flloridaa"
"Lake Chaubunagungamaug","5.83557e+06","Webster, Massachusetts","Massachusetttss"
"Lake Clay","1.42988e+06","Lake Placid, Florida","FFlorida"
"Lake Cuyamaca","445154.0","San Diego County, California","Californiaaa"
"Lake Daisy","530138.0","Winter Haven, Florida","Floridaa"
"Lake Davis","1.62926e+07","Plumas County, California","Californiaa"
"Lake Dexter","671778.0","Winter Haven, Florida","Floridaaa"
"Lake Dot (Orlando lake)","21934.0","Orlando, Florida","Floridaaa"
"Lake Echo (Polk County, Florida)","278909.0","Lake Alfred, Florida","Florida"
"Lake Effie","424920.0","Lake Wales, Florida","Floridaa"
"Lake Elbert","696059.0","Winter Haven, Florida","Floridaa"
"Lake Eleanor","3.85665e+06","Tuolumne County, California","Californiaaa"
"Lake Elizabeth (Florida)","3682.64","Winter Haven, Florida","Floridaa"
"Lake Elizabeth (Fremont, California)","335889.0","Fremont, California","Californiaa"
"Lake Ella","48562.3","Tallahassee, Florida","Flooridda"
"Lake Elsman","388498.0","Santa Clara County, California","California"
"Lake Eola Park","93077.7","Downtown Orlando","Flloridaa"
"Lake Eva (Lake Alfred, Florida)","82960.6","Lake Alfred, Florida","Floridaaa"
"Lake Evans (California)","348030.0","Kern County, California","Californiaa"
"Lake Fannie","3.24558e+06","Winter Haven, Florida","Fllorida"
"Lake Florence (Florida)","293761.0","Winter Haven, Florida","Floridaa"
"Lake Fox","220432.0","Winter Haven, Florida","Floridaa"
"Lake Gem (Florida)","12747.6","Winter Haven, Florida","Flooriida"
"Lake Gibson (Florida)","1.95463e+06","Lakeland, Florida","Floridaaa"
"Lake Gross","350336.0","Winter Haven, Florida","Floridaa"
"Lake Hart (Winter Haven, Florida)","274579.0","Winter Haven, Florida","Floridaa"
"Lake Hartridge","1.75229e+06","Winter Haven, Florida","Floridaa"
"Lake Hemet","1.90202e+06","Riverside County, California","California"
"Lake Hennessey","3.19702e+06","Napa County, California","Californiaa"
"Lake Henry (Polk County, Florida)","3.43173e+06","Winter Haven, Florida","Floridaaa"
"Lake Henshaw","4.61342e+06","San Diego County, California","Californiaa"
"Lake Hollingsworth","1.4164e+06","Lakeland, Florida","FFloridaa"
"Lake Hunter","376358.0","Lakeland, Florida","Florida"
"Lake Idyl","76849.8","Winter Haven, Florida","Floridaaa"
"Lake Idylwild","386394.0","Winter Haven, Florida","Flooriida"
"Lake Isabella","4.45154e+07","Kern County, California","California"
"Lake Jackson (Sebring, Florida)","3.72796e+07","Sebring, Florida","Floridaaa"
"Lake Jennings","343983.0","Lakeside, California","Californiaaa"
"Lake Jessie (Winter Haven, Florida)","764856.0","Winter Haven, Florida","Florida"
"Lake Josephine (Florida)","5.054e+06","Lake Placid, Florida","Floridaaa"
"Lake Josephine (Florida)","5.054e+06","Sebring, Florida","Floriddaa"
"Lake June in Winter","1.5079e+07","Lake Placid, Florida","Floridaa"
"Lake Lachard","72398.3","Lake Placid, Florida","Florida"
"Lake Lagunitas","89030.8","Marin County, California","Californnia"
"Lake Lashaway","1.18573e+06","North Brookfield, Massachusetts","Massachusettss"
"Lake Lashaway","1.18573e+06","East Brookfield, Massachusetts","Massaachusetts"
"Lake Link (Florida)","105906.0","Winter Haven, Florida","Florida"
"Lake Manly","2.6e+08","Inyo County, California","Califfornia"
"Lake Mariam","809371.0","Winter Haven, Florida","Floridaa"
"Lake Martha (Florida)","341474.0","Winter Haven, Florida","Florida"
"Lake Massapoag","1.42854e+06","Sharon, Massachusetts","Masssachusettss"
"Lake Maude","221889.0","Winter Haven, Florida","Floridaa"
"Lake May (Florida)","198579.0","Winter Haven, Florida","Floridaa"
"Lake McCloud","2.10437e+06","Shasta County, California","Califorrnia"
"Lake McCoy","205702.0","Lake Placid, Florida","Floridaa"
"Lake McLeod (Florida)","1.65921e+06","Eagle Lake, Florida","Florridaa"
"Lake Mendocino","7.77806e+06","Mendocino County, California","Caalifoornia"
"Lake Merced","2.63046e+06","San Francisco","Caliiforniaa"
"Lake Merritt","566560.0","Oakland, California","Californnia"
"Lake Ming","420873.0","Kern County, California","Caaliforniaa"
"Lake Mirror (Winter Haven)","497763.0","Winter Haven, Florida","Floridaa"
"Lake Mission Viejo","505857.0","Mission Viejo, California","Californiaaa"
"Lake Nippenicket","1.43259e+06","Bridgewater, Massachusetts","Plymouth County, Massachuseettss"
"Lake Nippenicket","1.43259e+06","Bridgewater, Massachusetts","Massachusettss"
"Lake Norconian","242811.0","Riverside County, California","California"
"Lake Otis (Florida)","582747.0","Winter Haven, Florida","Floridaa"
"Lake Palmdale","2.373e+06","Los Angeles County, California","CCalifornia"
"Lake Pansy (Winter Haven, Florida)","204043.0","Winter Haven, Florida","Floridaa"
"Lake Parker (Florida)","8.82623e+06","Lakeland, Florida","Floridaaa"
"Lake Parker (Lake Wales, Florida)","542279.0","Lake Wales, Florida","Floridaaa"
"Lake Pillsbury","8.09371e+06","Lake County, California","Californiaaa"
"Lake Piru","5.0181e+06","Ventura County, California","CCalifornia"
"Lake Placid (Highlands County, Florida)","1.37837e+07","Lake Placid, Florida","Floridaa"
"Lake Poinsett (Florida)","1.75391e+07","Cocoa, Florida","Floriidaa"
"Lake Quinsigamond","3.12417e+06","Shrewsbury, Massachusetts","Massachusettsss"
"Lake Quinsigamond","3.12417e+06","Worcester, Massachusetts","Massachusetts"
"Lake Ralphine","76890.3","Sonoma County, California","Califorrnia"
"Lake Reed","68432.3","Winter Haven, Florida","Florida"
"Lake Rico","671778.0","Taunton, Massachusetts","Massachuseetts"
"Lake Ring","13354.6","Winter Haven, Florida","Florrida"
"Lake Rochelle","2.34718e+06","Lake Alfred, Florida","Floridaaa"
"Lake Rochelle","2.34718e+06","Winter Haven, Florida","Floridaaa"
"Lake Sabrina","744622.0","Inyo County, California","Californiaa"
"Lake San Antonio","2.3148e+07","Monterey County, California","Caliiforniaa"
"Lake San Antonio","2.3148e+07","San Luis Obispo County, California","Califorrniaa"
"Lake Shipp","1.11693e+06","Winter Haven, Florida","Fllorida"
"Lake Sirena","578093.0","Lake Placid, Florida","Flooridaa"
"Lake Siskiyou","1.74015e+06","Siskiyou County, California","Californiaa"
"Lake Smart","1.12098e+06","Winter Haven, Florida","Floridaa"
"Lake Sonoma","1.09265e+07","Sonoma County, California","Califorrniaa"
"Lake Thomas A Edison","7.6e+06","Fresno County, California","Californiaaa"
"Lake Tuendae","5600.0","Zzyzx, California","Californiaa"
"Lake Tuendae","5600.0","San Bernardino County, California","Californiaa"
"Lake Van Arsdale","659638.0","Mendocino County, California","Californiaaa"
"Lake Verona","165921.0","Avon Park, Florida","Floridaaa"
"Lake Webb (California)","4.03876e+06","Kern County, California","California"
"Lake Wimauma","437060.0","Wimauma, Florida","Florida"
"Lake Winder","6.0541e+06","Viera, Florida","Florida"
"Lake Wire","89718.8","Lakeland, Florida","Floriidaa"
"Lake Wyola","517998.0","Shutesbury, Massachusetts","Massachusettsss"
"Lake Yosemite","2.02343e+06","Merced County, California","Californiaaa"
"Leonards Pond (Rochester, Massachusetts)","218530.0","Rochester, Massachusetts","Plymouth Countty, Massachusetts"
"Leonards Pond (Rochester, Massachusetts)","218530.0","Rochester, Massachusetts","Massachusettss"
"Lewiston Lake","3.03514e+06","Trinity County, California","Californiaa"
"Lexington Reservoir","1.82109e+06","Santa Clara County, California","Californiaaa"
"Little Grass Valley Reservoir","5.79915e+06","Plumas County, California","Califoornia"
"Little Herring Pond","364217.0","Plymouth, Massachusetts","Plymmouth County,  Massachusetts"
"Little Herring Pond","364217.0","Plymouth, Massachusetts","Massachusettss"
"Little Lake Bonny","97124.6","Lakeland, Florida","Floridaa"
"Little Lake Hamilton","1.4852e+06","Haines City, Florida","Floridaaa"
"Little Lake Jackson","554419.0","Sebring, Florida","FFloridaa"
"Little Long Pond (Plymouth, Massachusetts)","76890.3","Plymouth, Massachusetts","Plymouth CCounty, Maassachusetts"
"Little Long Pond (Plymouth, Massachusetts)","76890.3","Plymouth, Massachusetts","Massachusetttss"
