col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
11,12,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,SVNIFDK,0,,
12,13,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,QDIESNLQYDAGDK,0,,
13,14,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,HYMQK,0,,
14,15,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,EIYEQPNAIK,0,,
15,16,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,NTLTGR,0,,
16,17,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,ISHGQVDLSELGPNADELLSK,1,,
17,18,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,VEHIQILACGTSYNSGMVSR,1,,
18,19,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,YWFESLAGIPCDVEIASEFR,1,,
19,20,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,NSLMITLSQSGETADTLAGLR,1,,
20,21,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,ELGYLGSLAICNVPGSSLVR,1,,
21,22,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,ESDLALMTNAGTEIGVASTK,0,,
22,23,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,AFTTQLTVLLMLVAK,0,,
23,24,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,GLDASIEHDIVHGLQALPSR,1,,
24,25,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,IEQMLSQDK,0,,
25,26,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,IEALAEDFSDK,0,,
26,27,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,HHALFLGR,0,,
27,28,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,GDQYPIALEGALK,1,,
28,29,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,EISYIHAEAYAAGELK,1,,
29,30,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,HGPLALIDADMPVIVVAPNNELLEK,1,,
30,31,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,SNIEEVR,0,,
31,32,2021-05-25 22:47:23,2021-05-25 22:47:23,1,sp|P17169|GLMS_ECOLI Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) OX=83333 GN=glmS PE=1 SV=4,GTDVDQPR,0,,
