col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92
GO-52162/2010,VERITA,GO,GOIAS,PR,0,,JOSE SERRA,49.3,DILMA,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,PR,1,,JOSE SERRA,50.9,DILMA,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,G,0,,MARCONI PERILLO,49.2,IRIS REZENDE,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-52162/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,50.7,IRIS REZENDE,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,PR,0,,JOSE SERRA,47.2,DILMA,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,PR,1,,JOSE SERRA,49.0,DILMA,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,G,0,,MARCONI PERILLO,50.0,IRIS REZENDE,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-54134/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,50.8,IRIS REZENDE,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,PR,0,,DILMA,26.8,JOSE SERRA,36.8,MARINA SILVA,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,PR,1,,DILMA,37.46,JOSE SERRA,31.44,MARINA SILVA,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,S,0,,AECIO NEVES,55.76,ITAMAR FRANCO,16.47,PIMENTEL,8.82,MIGUEL MARTINI,6.42,MINEIRINHO,1.93,EFRAIM MOURA,1.55,BETAO,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,S,1,,AECIO NEVES,52.82,ITAMAR FRANCO,25.56,PIMENTEL,12.74,MIGUEL MARTINI,2.17,MARILDA RIBEIRO,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,G,0,,HELIO COSTA,18.6,ANTONIO ANASTASIA,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-58362/2010,VERITA,MG,MINAS GERAIS,G,1,,HELIO COSTA,42.8,ANTONIO ANASTASIA,24.52,VANESSA PORTUGAL,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-76660/2010,VERITA,MG,MINAS GERAIS,S,1,,AECIO NEVES,73.8,PIMENTEL,35.1,ITAMAR FRANCO,48.1,MARILDA RIBEIRO,1.4,MIGUEL MARTINI,1.2,ZITO VIEIRA,3.4,JOSE JOAO DA SILVA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-76660/2010,VERITA,MG,MINAS GERAIS,G,1,,ANTONIO ANASTASIA,48.3,HELIO COSTA,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-76660/2010,VERITA,MG,MINAS GERAIS,PR,1,,DILMA,46.2,JOSE SERRA,27.2,MARINA SILVA,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
