col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,06-Apr-12,2012,4,14,6,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,5,10,5,1,8,9,2,0,1,5,3,4,8,4,3,0,4
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,02-Mar-12,2012,3,9,2,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,10,5,0,1,6,6,9,0,1,4,10,1,8,2,1,9
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,02-Dec-11,2011,12,49,2,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,1,10,0,8,3,10,5,5,4,3,7,2,10,0,1,1,10
10566,15-Oct-13,15-Oct-14,52_weeks,Target,UA022,15-Oct-14,2014,10,42,15,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,1,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,9,5,8,3,6,9,3,4,2,9,6,8,6,0,4,7,4
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,15-Oct-13,2013,10,42,15,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,4,151 - 200,SCHEDULED,3,1,4,4,5,5,2,2,1,3,8,5,9,7,1,3,10,5,6,8,8,8,0,8
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,14-Oct-13,2013,10,42,14,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,1,6,1,2,4,4,9,9,5,5,5,5,10,8,10,5,8
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,13-Oct-13,2013,10,42,13,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,4,151 - 200,SCHEDULED,3,1,4,4,5,5,2,9,9,7,9,3,3,3,3,1,9,2,9,4,6,3,4,2
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,12-Oct-13,2013,10,41,12,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,1,3,6,151 - 200,SCHEDULED,3,1,4,4,5,5,2,0,4,4,10,6,7,3,8,10,7,7,9,4,2,2,1,1
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,10-Oct-13,2013,10,41,10,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,4,151 - 200,SCHEDULED,3,1,4,4,5,5,2,7,4,7,0,8,5,8,5,4,4,9,2,6,4,10,0,10
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,09-Oct-13,2013,10,41,9,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,2,4,4,1,4,10,5,9,8,7,10,3,2,6,10,6,3
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,02-Oct-13,2013,10,40,2,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,9,1,4,2,9,3,0,4,1,3,10,10,5,5,7,0,6
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,25-Sep-13,2013,9,39,25,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,6,0,7,9,7,1,9,9,9,6,4,7,9,0,8,8,7
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,18-Sep-13,2013,9,38,18,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,4,6,151 - 200,SCHEDULED,3,1,4,4,5,5,2,1,4,7,3,8,8,3,9,7,4,8,7,3,6,8,3,7
