col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73
2038,122.0,141,2014-02-10,1,453.0,1,453.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,0,0,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2043,123.0,142,2014-11-10,0,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2048,124.0,143,2014-02-20,8,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2053,125.0,144,2014-07-17,1,1108.0,0,,0,,1,456.0,0,,0,,0,,0,,0,,0,,0,,1,652.0,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,0,99,1,99,0,99,1,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2380,166.0,200,2014-10-14,1,1500.0,1,1500.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,,1,0,99,0,99,0,99,1,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-06-28 00:00:00,2015-06-28 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2823,194.0,236,2014-10-29,1,1084.0,1,1084.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2828,194.63,237,2014-10-29,0,0.0,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2833,194.64,238,2014-10-29,0,0.0,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,1,0,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2840,195.0,239,2014-08-01,1,1175.0,1,1175.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,0,1,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2845,195.65,240,2014-08-01,0,0.0,99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,1,0,1,0,0,0,0,0,0,,1,1,99,0,99,0,99,0,99,0,99,0,99,0,99,99,,99,99,99,99,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
