col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47
7d262f2b,gamificado,2.966666667,2.0,3.5,3.25,3.0,3.5,2.2,3.0,2.75,3.5,1,5,1,1,5,2,4,3,4,2,5,2,3,2,5,2,5,1,3,5,2,2,3,4,1,5,1,5,5,1,4,1,5,1,3,5
91a35aee,não gamificado,2.916666667,2.75,3.0,3.75,2.5,2.25,3.0,4.25,1.75,3.0,4,5,1,1,2,5,3,2,4,1,5,5,3,1,4,2,2,4,1,2,3,5,1,3,4,4,5,4,2,1,2,2,2,5,3,2
4c35836b,gamificado,4.161111111,4.25,5.0,4.25,4.25,4.25,4.2,4.5,3.5,3.25,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,3,4,5,5,3,4,3,5,3,5,3,5,5,4,3,3,4,3,4,3,3
f1ffefa5,gamificado,2.633333333,2.25,1.75,2.75,2.0,3.75,3.2,1.5,4.25,2.25,1,5,1,2,1,3,2,1,3,2,1,5,1,3,3,1,5,2,4,4,3,5,1,4,2,1,2,1,4,4,4,5,1,2,5,1
2c693620,não gamificado,3.972222222,3.25,3.75,3.75,4.0,4.75,4.0,3.75,4.5,4.0,5,1,3,4,2,5,4,4,5,4,4,2,4,3,5,4,5,5,5,4,5,3,4,4,1,5,5,4,4,5,5,4,5,5,1,5
511a3078,gamificado,2.838888889,3.25,1.5,2.0,3.75,2.75,3.8,2.25,3.25,3.0,4,5,2,2,1,2,2,1,2,3,2,1,4,5,4,2,4,2,3,2,3,2,4,4,1,1,4,3,5,2,1,5,5,4,1,2
8c8ce9fd,não gamificado,4.272222222,3.75,4.5,4.5,4.25,4.0,4.2,5.0,4.25,4.0,1,5,5,4,4,5,5,4,4,5,4,5,5,4,3,5,3,3,5,5,3,5,5,4,5,5,5,5,5,4,3,5,5,4,4,3
31468533,gamificado,2.666666667,3.0,3.25,2.0,1.5,2.5,3.0,1.75,3.75,3.25,1,2,4,5,2,1,5,5,4,1,1,2,2,1,2,1,4,3,1,2,3,3,3,5,2,3,1,1,5,4,5,1,1,4,4,4
ecd05cb6,não gamificado,3.077777778,2.5,2.0,3.5,3.5,2.5,3.2,3.75,3.25,3.5,3,1,3,3,4,2,1,1,3,2,4,5,4,5,4,1,1,3,1,5,3,3,3,2,2,4,4,5,3,3,2,5,3,5,1,5
cba08983,não gamificado,2.361111111,2.25,1.5,4.5,2.75,2.0,2.0,2.25,2.5,1.5,3,2,1,3,3,1,1,1,5,5,5,3,4,1,1,5,1,1,3,3,2,2,2,2,2,3,2,2,4,2,2,2,1,1,2,2
a0b0f6ae,gamificado,2.027777778,1.75,2.25,1.5,2.0,2.75,2.0,2.0,2.5,1.5,1,1,3,2,2,2,2,3,1,2,1,2,3,1,3,1,3,3,3,2,2,2,1,2,1,1,3,3,5,2,1,2,2,1,2,1
0cacbb98,gamificado,3.714285714,3.25,2.25,3.0,3.0,4.0,3.75,2.75,1.75,2.25,4,1,2,2,3,2,3,2,4,4,2,4,4,5,5,1,2,2,4,2,2,2,4,4,3,2,2,1,4,4,4,4,4,4,1,1
d13a621d,não gamificado,2.6,2.5,2.25,2.25,2.75,2.25,3.4,3.5,2.0,2.5,3,2,2,3,4,2,1,2,2,1,1,5,2,3,5,1,4,1,1,3,4,3,4,5,5,2,4,3,3,2,1,2,3,2,1,4
6cf00ed3,não gamificado,4.094444444,4.0,4.75,4.5,4.0,4.25,3.6,3.25,4.5,4.0,3,4,4,5,4,5,5,5,5,4,5,4,5,5,5,1,3,4,5,5,4,3,1,4,1,4,5,3,5,4,5,4,2,5,4,5
b166d756,gamificado,3.361111111,3.0,2.5,4.25,2.5,3.75,4.0,3.75,3.5,3.0,4,1,2,5,3,2,1,4,4,4,5,4,1,4,2,3,5,2,4,4,5,1,1,4,4,5,5,1,1,3,5,5,5,3,2,2
cc15d10e,não gamificado,3.983333333,4.25,4.25,4.75,4.5,4.0,2.6,3.75,4.25,3.5,4,4,5,4,4,4,5,4,5,5,4,5,5,5,3,5,2,5,5,4,3,5,5,5,4,5,3,3,3,5,5,4,4,4,3,3
dc9e6a2e,gamificado,2.205555556,2.0,2.0,3.25,2.75,3.0,1.6,1.75,2.0,1.5,3,1,1,3,3,2,2,1,2,4,4,3,3,1,2,5,5,2,3,2,1,2,2,1,1,2,1,3,5,1,1,1,1,1,3,1
1183088b,gamificado,3.85,3.25,4.25,4.25,4.0,3.75,4.4,3.75,3.5,3.5,1,4,4,4,4,4,5,4,4,4,5,4,5,5,2,4,3,4,3,5,4,3,4,5,5,4,3,3,5,3,3,3,4,3,3,4
ac496445,gamificado,1.905555556,2.25,1.75,1.5,2.75,1.5,2.4,1.75,1.5,1.75,2,2,3,2,1,2,1,3,1,1,3,1,5,2,2,2,3,1,1,1,1,3,2,2,1,2,2,2,1,2,1,2,2,2,2,1
71dfbdc0,não gamificado,4.055555556,3.25,4.5,4.5,3.25,3.75,4.0,4.5,4.5,4.25,1,2,5,5,3,5,5,5,4,5,5,4,2,5,3,3,3,4,5,3,4,5,4,3,4,5,4,5,5,4,5,4,5,4,3,5
56af68f5,não gamificado,3.811111111,2.75,4.5,4.25,4.25,3.75,2.8,4.0,4.5,3.5,2,4,2,3,3,5,5,5,5,5,5,2,4,3,5,5,3,4,3,5,4,3,4,4,4,4,4,4,4,5,4,5,4,3,3,4
8b39b170,gamificado,2.605555556,1.75,1.5,3.25,4.0,2.25,4.2,2.25,2.25,2.0,1,1,2,3,2,2,1,1,2,3,4,4,5,3,3,5,3,3,2,1,3,1,3,2,2,3,2,2,4,1,2,2,1,1,3,3
ddc3f0f6,não gamificado,3.066666667,2.75,3.75,2.0,2.5,2.5,3.6,3.5,3.5,3.5,4,2,3,2,5,3,3,4,2,1,4,1,1,5,2,2,3,2,2,3,2,4,4,3,3,5,1,5,5,4,4,1,5,2,5,2
69611158,gamificado,3.244444444,4.0,3.0,3.75,2.25,3.25,3.2,3.75,3.0,3.0,3,5,4,4,4,5,2,1,1,4,5,5,3,1,2,3,5,1,3,4,5,3,1,3,3,4,4,4,1,5,3,3,5,1,3,3
b4f7c8dd,não gamificado,3.466666667,3.25,3.25,4.0,3.75,3.5,3.2,2.75,4.0,3.5,5,2,3,3,3,3,4,3,5,3,5,3,5,2,3,5,5,5,2,2,1,2,3,5,3,3,2,3,5,4,5,2,5,1,3,5
093da413,não gamificado,3.194444444,3.0,3.25,3.25,4.75,2.75,3.0,2.75,3.25,2.75,3,1,3,5,3,2,5,3,3,4,4,2,5,4,5,5,2,3,4,2,2,3,5,5,1,2,4,4,3,3,2,5,2,3,2,4
d4ab7d96,gamificado,4.1,3.75,4.25,4.5,4.0,4.0,4.4,4.75,3.5,3.75,1,5,5,4,5,4,4,4,5,4,4,5,4,4,3,5,4,5,4,3,5,3,5,5,5,5,4,5,5,3,3,3,4,5,3,3
a9d87bce,gamificado,3.988888889,3.25,4.0,4.0,2.5,4.25,4.4,4.5,4.75,4.25,4,4,1,4,2,4,5,5,5,4,5,2,1,3,3,3,4,5,5,3,3,5,5,4,5,4,5,4,5,4,5,5,3,5,4,5
744ea24b,gamificado,2.338888889,2.75,1.75,3.75,2.5,3.25,1.8,2.25,2.0,1.0,3,2,3,3,2,1,2,2,3,3,5,4,2,1,4,3,5,3,3,2,1,2,3,3,3,1,2,3,3,2,2,1,1,1,1,1
c984ce85,não gamificado,4.428571429,3.25,4.0,4.0,3.25,2.75,3.5,3.5,3.25,3.5,3,4,4,3,2,4,4,4,4,3,4,4,4,2,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,3,4
14121700,gamificado,2.244444444,2.75,1.75,2.75,3.0,2.25,2.2,1.75,2.0,1.75,3,2,3,3,1,1,2,3,1,2,5,3,4,1,3,4,1,3,2,3,3,3,2,3,3,1,1,2,3,2,2,1,2,1,1,3
3362c235,gamificado,2.638888889,4.0,3.0,1.5,3.5,2.0,1.0,3.0,3.25,2.5,5,3,3,5,2,1,4,5,1,2,1,2,3,3,5,3,2,1,4,1,2,4,1,3,1,2,4,5,5,2,2,4,1,5,3,1
eef41bb0,gamificado,3.15,2.25,3.75,4.0,3.75,3.0,2.6,2.5,3.75,2.75,3,4,1,1,3,4,5,3,5,4,3,4,4,2,5,4,4,3,1,4,4,5,3,2,2,3,2,3,4,5,2,4,4,3,2,2
00552973,não gamificado,2.227777778,2.25,2.0,2.5,2.75,1.5,2.8,2.25,2.5,1.5,3,1,2,3,3,1,2,2,4,4,1,1,4,2,1,4,3,1,1,1,1,1,3,1,3,2,1,3,5,1,2,2,1,1,3,1
f46ef02e,não gamificado,2.688888889,3.5,2.5,2.25,2.0,3.0,3.2,2.0,3.25,2.5,5,3,5,1,1,1,5,3,3,1,1,4,1,3,1,3,1,1,5,5,1,1,4,4,5,1,1,1,1,4,5,3,5,2,2,1
29f829ab,não gamificado,2.627777778,2.0,2.5,2.75,1.5,3.5,3.4,3.5,2.0,2.5,2,1,2,3,3,2,2,3,2,1,3,5,3,1,1,1,3,4,2,5,4,4,3,5,3,3,5,3,4,1,1,2,5,1,3,1
0ec7e6c2,gamificado,3.283333333,3.0,3.0,4.0,3.5,3.25,3.8,3.25,3.0,2.75,5,3,1,3,1,4,4,3,4,2,5,5,4,5,3,2,1,5,4,3,5,3,1,5,3,4,2,4,4,1,2,5,3,4,2,2
94324565,gamificado,2.011111111,1.25,1.25,2.25,2.5,2.75,1.6,2.25,1.5,2.75,2,1,1,1,1,2,1,1,4,1,1,3,5,3,1,1,4,3,2,2,2,1,2,2,1,3,2,3,2,2,1,1,2,2,5,2
be4d70e5,não gamificado,3.094444444,3.75,2.5,3.25,4.75,3.0,1.6,4.0,3.25,1.75,4,3,3,5,1,4,1,4,4,1,5,3,5,4,5,5,3,3,1,5,4,1,3,4,5,2,4,5,3,4,3,3,2,2,1,2
49a49ce0,gamificado,3.666666667,1.0,4.0,4.25,4.0,3.5,4.0,4.5,4.25,3.5,1,1,1,1,1,5,5,5,5,4,5,3,4,4,5,3,4,3,4,3,3,5,3,5,5,4,4,5,4,4,5,4,3,4,3,4
3b4ccbc1,gamificado,4.094444444,4.25,4.5,4.5,2.75,4.0,4.6,4.0,4.0,4.25,3,4,5,5,5,5,4,4,4,5,4,5,5,4,1,1,3,5,5,3,4,3,5,3,5,4,3,4,4,3,4,5,4,5,4,4
34d79ab8,não gamificado,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2.0,1.5,1.5,1,2,1,1,2,3,3,3,5,1,5,4,1,3,3,2,2,3,1,3,1,3,2,1,2,2,2,2,1,2,1,2,2,1,1,2
bd9f45bd,não gamificado,2.8,3.0,3.0,3.25,2.75,3.0,2.2,2.5,3.25,2.25,4,2,2,4,3,4,2,3,2,5,4,2,4,3,1,3,2,5,1,4,1,3,1,2,1,2,4,3,5,2,1,5,2,3,3,1
35c5b93b,não gamificado,2.172222222,2.25,1.25,3.25,3.25,1.25,1.8,2.75,1.5,2.25,3,1,3,2,1,1,1,2,2,4,5,2,4,3,5,1,2,1,1,1,1,1,2,3,3,3,2,3,1,2,2,1,2,2,2,3
60099c38,não gamificado,2.316666667,1.75,3.0,3.25,4.25,2.5,1.6,1.75,1.5,1.25,1,2,3,1,3,3,3,3,5,4,1,3,4,5,5,3,2,3,3,2,3,3,3,1,1,2,3,1,2,1,2,1,2,1,1,1
4779490d,não gamificado,4.011111111,4.5,5.0,4.25,4.25,3.5,3.6,4.0,3.5,3.5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,2,3,5,4,5,3,4,5,3,5,3,5,3,4,3,4,3,3,3,5
