col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101
12/2/19 7:24,12/2/19 7:37,0,100,782,1,12/2/19 7:37,R_3e5fbLTxHDJRber,anonymous,EN,163,18,2,2,4,2,1,3,3,3,3,3,3,3,3,3,3,4,3,1,3,4,3,3,1,3,3,1,3,3,1,3,22,20,17,17,76,2,2,2,2,2,2,3,3,3,3,24,2,3,1,2,2,2,3,2,2,2,3,2,4,2,3,2,3,3,1,2,2,1,3,3,2,3,2,2,3,6,6,3,4,6,6,6,5,6,6,6,5,23,59,6571888
12/3/19 8:51,12/3/19 9:19,0,100,1673,1,12/3/19 9:19,R_bxUDPDJxI4AUp69,anonymous,EN,164,19,2,2,2,1,1,4,0,2,4,3,3,2,2,3,3,4,3,1,3,4,3,4,2,3,2,0,1,2,0,1,23,14,13,13,63,2,2,2,2,2,2,2,3,3,2,22,1,2,2,2,2,3,3,2,2,2,2,3,2,2,2,4,2,3,4,2,2,2,3,2,3,2,1,2,2,5,6,4,5,6,6,6,5,6,6,6,6,24,62,6203211
12/4/19 7:20,12/4/19 7:41,0,100,1270,1,12/4/19 7:41,R_3qRm6h8hRBWRjVL,anonymous,EN,165,18,1,1,2,3,1,3,1,1,3,2,3,1,3,4,2,3,1,2,1,3,2,2,3,2,1,0,2,3,0,3,19,16,15,7,57,2,2,1,2,1,1,2,3,2,1,17,2,2,1,2,2,3,2,2,2,2,2,3,4,3,3,1,2,3,2,2,3,2,3,3,2,3,3,2,3,4,5,7,7,6,6,7,5,5,5,6,6,24,65,3335417
12/10/19 7:24,12/10/19 7:34,0,100,609,1,12/10/19 7:34,R_3HnAoTJcuO0iZ56,anonymous,EN,166,18,2,2,2,2,1,4,3,3,4,2,1,2,3,3,3,4,3,0,3,4,4,2,2,2,0,3,0,2,2,1,19,14,12,20,65,2,2,2,2,2,2,3,3,3,2,23,1,2,2,2,3,3,3,3,2,2,3,4,3,2,3,3,2,2,4,3,2,1,3,1,3,2,1,2,1,6,6,7,7,6,6,5,6,6,6,6,6,23,67,8357823
12/10/19 8:26,12/10/19 9:14,0,100,2875,1,12/10/19 9:14,R_290sYRGuf0zMBFw,anonymous,EN,167,19,2,2,3,3,0,3,2,3,4,2,2,3,2,4,4,4,4,3,2,4,4,2,2,3,2,3,2,3,3,2,21,21,14,22,78,2,2,3,3,3,3,3,3,3,2,27,2,1,2,1,1,2,4,2,1,4,3,4,3,2,1,4,2,2,2,1,1,1,3,1,2,3,2,4,4,6,7,6,4,7,6,5,4,4,7,7,4,19,61,1898778
12/10/19 10:06,12/10/19 10:17,0,100,661,1,12/10/19 10:17,R_1F9WH9atEph9ZlO,anonymous,EN,168,23,1,1,3,1,3,1,1,4,1,1,3,4,2,1,3,3,3,0,2,1,3,2,1,3,2,1,0,3,3,3,14,11,13,20,58,3,3,3,3,3,3,2,4,3,2,29,3,3,4,2,3,3,4,1,3,3,2,2,3,2,1,2,3,2,2,3,3,1,2,2,3,3,2,3,1,3,2,5,6,2,2,5,6,2,3,6,4,13,43,6729121
12/11/19 8:19,12/11/19 8:43,0,100,1440,1,12/11/19 8:43,R_2B57pa5aJatea6C,anonymous,EN,169,18,2,2,4,4,0,4,3,0,3,4,4,1,2,4,0,4,1,2,2,4,1,3,3,3,3,1,1,3,0,4,26,22,15,5,68,1,1,2,2,1,2,2,3,2,2,18,2,2,1,2,2,1,2,2,3,2,3,4,2,3,4,3,2,2,2,2,3,1,3,2,2,3,3,2,3,7,7,7,7,7,7,7,7,7,7,7,7,28,77,1755234
12/11/19 9:34,12/11/19 9:53,0,100,1127,1,12/11/19 9:53,R_1QgSVxPI56vsTTq,anonymous,EN,170,19,2,2,4,4,0,4,3,2,3,4,4,3,3,3,3,4,4,2,1,4,3,3,4,4,2,0,3,2,1,3,27,19,21,13,80,2,2,2,2,2,2,3,2,3,2,22,2,4,2,3,1,2,2,2,2,1,3,4,4,3,2,2,3,4,3,1,3,2,4,2,1,4,1,2,2,6,6,4,4,6,6,5,4,6,6,6,6,23,59,7097497
1/28/20 7:16,1/28/20 7:33,0,100,1038,1,1/28/20 7:33,R_1QlIpxGyjfgUs7T,anonymous,EN,171,19,2,2,1,2,1,1,3,0,3,4,3,0,4,3,3,3,1,1,3,3,0,1,4,2,2,0,3,3,4,4,15,16,21,10,62,2,1,2,2,2,1,2,3,2,1,18,3,4,1,4,2,1,1,1,1,2,2,2,4,2,1,3,1,4,2,1,3,3,3,3,2,4,3,3,1,2,3,3,1,6,6,4,1,5,6,2,5,20,42,4398192
1/28/20 10:12,1/28/20 10:27,0,100,905,1,1/28/20 10:27,R_poMjRmQN24O9FXr,anonymous,EN,172,18,2,2,1,1,0,4,0,2,4,3,2,2,3,2,3,4,3,0,1,4,2,1,3,3,1,0,3,0,0,3,19,8,18,10,55,2,2,2,3,2,2,2,3,3,2,23,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,4,6,6,5,5,6,4,5,6,6,6,6,6,21,61,9609453
1/30/20 7:10,1/30/20 7:35,0,100,1499,1,1/30/20 7:35,R_DioL86A53pJYNeF,anonymous,EN,173,23,2,2,3,3,1,1,4,1,4,3,4,3,3,4,2,3,3,1,0,4,1,3,3,3,3,0,3,2,0,3,21,21,19,7,68,2,2,2,2,2,3,3,3,3,3,25,2,3,1,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,5,5,3,2,6,5,5,3,5,6,4,5,20,49,4065182
1/30/20 10:32,1/30/20 11:06,0,100,2020,1,1/30/20 11:06,R_2dS03eTR1udy3Rx,anonymous,EN,174,21,2,2,3,4,0,4,4,3,4,4,4,3,4,4,2,4,3,3,3,4,2,4,4,2,4,2,1,4,1,4,26,26,20,16,88,4,4,4,3,4,4,4,4,4,4,39,2,2,2,3,1,3,3,1,3,2,3,4,4,2,2,3,3,4,3,3,2,3,4,3,1,3,2,2,1,7,7,1,1,7,7,6,1,7,7,2,7,27,53,4172186
