col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
20,23,0.0,45,2,2,5,5,3,4,6,3,3,5,2,2,6,3,3,5,1,4,5,6,4,6,4,4,16|4|19|12|20|15|2|8|17|18|3|5|1|21|14|6|11|10|13|7|9,3,2,5,2,2,Disgustsensitivity|Knowledge
32,23,0.0,3,2,2,2,3,3,3,5,2,2,3,2,2,4,2,2,4,3,3,2,3,2,3,2,2,9|5|16|17|3|8|15|4|2|10|12|13|21|1|19|20|18|7|11|14|6,2,2,3,4,2,Disgustsensitivity|Knowledge
18,22,0.0,54,1,2,4,3,3,5,6,1,4,4,2,4,6,3,2,4,3,5,3,3,4,4,5,3,11|10|2|20|6|4|1|18|14|5|12|3|13|16|19|7|15|9|8|21|17,5,2,5,2,2,Knowledge|Disgustsensitivity
31,23,0.23,11,2,1,2,3,3,4,4,1,2,4,2,4,4,3,3,4,2,3,3,4,1,4,2,2,19|16|8|11|14|12|1|20|10|4|18|9|2|3|15|17|21|6|7|5|13,2,2,4,2,5,Knowledge|Disgustsensitivity
17,23,0.0,19,2,2,5,3,4,3,5,1,3,4,3,4,6,3,2,5,3,3,3,6,5,3,6,5,18|5|10|2|3|19|6|1|17|7|21|8|13|14|16|11|9|4|12|20|15,3,2,5,2,4,Disgustsensitivity|Knowledge
29,23,0.0,43,2,1,2,4,3,4,5,6,3,4,5,3,6,5,1,6,3,5,5,6,2,5,4,4,20|7|17|12|21|10|14|11|1|2|8|16|13|15|19|3|9|6|18|5|4,3,2,5,2,2,Disgustsensitivity|Knowledge
16,23,0.0,21,1,2,3,4,1,2,5,2,1,4,1,2,6,1,1,4,2,3,5,1,2,6,2,3,17|1|20|15|7|18|19|16|10|11|9|12|2|6|14|5|8|21|4|13|3,3,2,5,2,3,Disgustsensitivity|Knowledge
24,23,0.0,58,2,2,4,6,2,6,6,2,5,4,2,5,6,5,2,4,4,5,6,5,2,6,4,5,2|8|10|7|5|14|12|13|4|20|15|16|3|6|1|18|19|21|17|11|9,1,2,5,2,2,Knowledge|Disgustsensitivity
19,23,0.0,66,1,2,4,6,4,6,6,4,6,6,2,3,6,3,5,6,2,5,6,6,4,6,4,2,18|21|9|3|4|13|17|20|2|7|14|12|6|5|16|8|10|11|1|19|15,4,2,5,2,2,Knowledge|Disgustsensitivity
14,23,0.0,27,2,2,4,4,3,6,5,3,5,5,6,3,6,4,5,4,3,4,4,5,5,5,4,3,15|16|11|18|20|4|17|6|10|14|2|5|13|21|19|8|9|12|1|7|3,4,2,1,2,2,Knowledge|Disgustsensitivity
13,23,0.01,28,2,2,5,3,3,4,5,2,2,4,3,2,5,3,2,5,2,4,2,6,3,4,2,3,20|10|11|6|2|18|1|3|15|8|4|14|16|19|13|17|12|7|21|5|9,3,2,5,2,4,Knowledge|Disgustsensitivity
12,23,0.0,20,2,2,5,2,2,3,5,2,5,5,3,3,6,5,4,5,2,4,6,5,6,4,2,5,13|11|21|16|4|6|1|12|15|18|14|3|19|10|9|17|8|7|20|5|2,3,2,5,2,2,Knowledge|Disgustsensitivity
11,23,0.0,38,3,2,2,3,2,3,4,2,4,2,2,2,3,3,2,4,3,3,3,2,2,4,3,3,18|15|21|7|11|20|10|9|16|12|6|2|3|14|1|8|4|5|13|17|19,4,2,5,2,3,Knowledge|Disgustsensitivity
8,23,0.023,42,1,2,4,3,1,6,6,1,5,2,1,3,6,5,5,5,1,5,6,1,1,3,2,6,8|16|4|11|15|6|10|17|19|7|2|18|5|3|12|21|14|20|9|13|1,3,2,5,2,3,Knowledge|Disgustsensitivity
10,23,0.0,57,2,2,5,3,2,3,5,4,3,3,5,3,5,5,1,5,4,3,2,4,1,2,6,2,19|11|1|14|12|21|10|20|16|3|2|8|6|17|4|7|15|9|13|5|18,5,2,5,2,2,Disgustsensitivity|Knowledge
6,23,0.0,21,1,2,5,3,3,4,5,1,3,4,2,1,4,1,1,4,3,3,3,3,2,3,4,2,4|8|6|1|20|15|14|11|13|10|19|9|16|3|18|21|17|2|12|5|7,3,2,5,2,2,Disgustsensitivity|Knowledge
9,23,0.0,12,2,2,5,3,1,4,5,1,4,4,1,3,5,2,4,4,2,4,4,3,4,5,1,3,7|2|21|9|19|17|6|15|18|4|1|20|3|12|14|11|8|13|5|10|16,1,2,5,2,4,Knowledge|Disgustsensitivity
4,23,0.0,47,1,2,2,5,2,4,5,3,2,4,2,3,6,1,4,4,2,3,2,3,1,5,3,3,2|12|4|7|9|21|8|5|6|18|15|10|17|13|14|1|19|16|11|3|20,4,2,5,2,2,Knowledge|Disgustsensitivity
7,23,0.0,22,1,2,5,2,2,4,4,1,3,5,1,3,6,1,4,6,1,5,5,4,2,4,4,5,21|9|13|5|3|7|1|19|17|2|10|6|11|15|12|16|8|14|20|18|4,4,2,5,2,2,Disgustsensitivity|Knowledge
2,23,0.0,26,1,2,4,4,5,5,5,6,5,2,5,4,4,2,6,4,5,2,5,3,2,5,5,4,6|19|13|11|10|5|7|2|9|20|14|21|4|18|1|3|16|12|15|17|8,5,2,2,2,2,Knowledge|Disgustsensitivity
5,23,0.0,47,1,2,5,2,2,4,4,5,5,4,2,2,6,5,1,4,3,3,4,2,3,5,6,5,21|19|20|9|2|8|3|16|4|5|1|17|15|14|13|10|6|12|7|11|18,3,2,5,2,2,Disgustsensitivity|Knowledge
3,23,0.0,50,2,2,4,2,3,3,6,4,4,3,4,3,6,2,1,6,3,4,6,4,1,3,6,2,4|13|21|6|16|9|11|2|14|20|7|10|17|18|3|1|15|5|12|8|19,3,2,1,2,2,Knowledge|Disgustsensitivity
1,23,0.0,25,1,2,4,2,2,5,6,1,1,4,1,2,6,1,1,2,1,2,4,5,5,6,1,6,9|14|11|12|19|18|13|1|6|16|20|17|2|5|3|21|7|10|8|15|4,3,2,5,5,2,Disgustsensitivity|Knowledge
45,23,0.0,40,1,2,4,6,2,4,6,1,3,4,3,2,6,3,2,5,1,5,5,2,2,4,2,1,13|3|4|11|14|1|10|5|21|9|17|18|2|6|16|15|19|7|8|12|20,3,2,1,2,2,Disgustsensitivity|Knowledge
43,23,0.0,8,2,1,4,2,1,3,3,1,2,2,1,1,3,2,2,3,1,3,4,6,2,2,1,2,17|7|20|10|12|6|8|18|11|13|3|4|21|16|14|2|5|1|15|9|19,1,5,2,2,4,Knowledge|Disgustsensitivity
41,23,0.0,19,2,2,5,2,3,6,5,1,4,2,4,4,5,3,2,1,2,6,5,6,4,3,5,6,20|17|21|14|12|13|5|3|18|6|1|2|4|7|16|9|11|10|19|15|8,4,2,5,2,2,Knowledge|Disgustsensitivity
38,23,0.0,18,2,1,4,6,4,6,6,1,6,6,1,4,6,1,4,6,4,5,6,5,2,6,1,6,11|5|9|2|1|3|6|8|14|17|21|12|18|7|19|4|13|16|20|15|10,3,2,4,2,2,Disgustsensitivity|Knowledge
36,23,0.0,10,2,1,4,3,4,3,5,4,2,3,5,2,5,2,1,4,5,2,5,5,2,4,6,5,9|19|5|12|16|18|6|3|11|10|7|1|8|17|21|4|2|13|20|14|15,5,2,5,2,4,Knowledge|Disgustsensitivity
44,23,0.0,53,2,2,5,2,3,3,5,2,3,3,2,3,5,3,3,5,2,3,3,4,3,4,1,3,10|8|6|11|2|13|20|16|18|12|15|7|19|17|9|4|5|21|14|1|3,1,2,5,2,2,Disgustsensitivity|Knowledge
40,23,0.0,39,2,2,5,4,1,3,6,1,2,6,1,2,6,3,1,5,5,4,4,4,3,6,2,4,16|9|20|11|10|19|3|13|1|12|4|6|21|7|15|17|8|2|14|18|5,3,2,5,2,3,Disgustsensitivity|Knowledge
39,23,0.0,43,1,2,5,3,2,5,6,4,3,5,2,3,6,5,2,4,5,3,5,3,2,5,2,4,15|3|17|11|1|6|2|16|8|9|19|5|14|10|7|21|13|4|18|20|12,4,2,5,2,2,Knowledge|Disgustsensitivity
37,23,0.0,7,2,1,2,1,2,4,3,1,3,1,1,2,4,1,1,2,2,4,2,2,1,4,1,1,20|21|1|6|12|8|18|11|9|13|7|15|4|10|5|2|14|16|19|17|3,3,2,5,2,4,Disgustsensitivity|Knowledge
35,23,0.0,9,1,2,4,6,2,5,5,2,4,4,2,3,6,2,4,5,2,4,4,5,4,4,5,5,3|1|18|12|19|4|15|8|11|14|10|2|5|13|17|7|16|21|20|9|6,3,2,5,2,4,Disgustsensitivity|Knowledge
34,22,0.0,8,2,1,2,4,3,4,5,2,6,4,2,3,5,3,4,4,2,6,5,5,4,5,4,5,21|16|8|1|9|18|11|7|13|12|2|19|5|10|3|14|20|17|15|6|4,4,2,5,2,1,Disgustsensitivity|Knowledge
42,23,0.0,15,2,1,5,3,2,3,4,1,2,3,2,2,6,3,2,3,1,1,5,5,6,4,3,1,19|4|12|15|10|8|1|11|14|9|20|5|2|13|6|18|3|16|21|17|7,3,2,5,2,2,Knowledge|Disgustsensitivity
