col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37
Nether,Vyroxeres,Ore,,,,903:4,904:1,904:14,27100,3,2.0,3.0,300.0,3.0,7.0,16.0,3.0,6.0,5.0,4.0,18.0,23.0,0.0,0.0,4.0,7.0,0.0,128.0,100.0,100.0,-1,3.0,4.0,4.0,907.0,908.0,909.0
Nether,Ceruclase,Ore,,,,903:5,904:2,904:15,27150,3,2.0,3.0,500.0,3.0,7.0,18.0,3.0,6.0,5.0,4.0,18.0,25.0,0.0,0.0,4.0,4.0,0.0,128.0,100.0,100.0,-1,5.0,6.0,6.0,907.0,908.0,909.0
Nether,Alduorite,Catalyst,,,,903:6,904:3,905:0,27200,3,2.0,,,,,,,,,,,,0.0,0.0,3.0,4.0,0.0,128.0,100.0,100.0,-1,9.0,12.0,12.0,907.0,908.0,909.0
Nether,Kalendrite,Ore,,,,903:7,904:4,905:1,27250,4,3.0,4.0,1000.0,3.0,8.0,20.0,4.0,6.0,5.0,4.0,19.0,28.0,0.0,0.0,3.0,4.0,0.0,128.0,100.0,100.0,-1,4.0,5.0,5.0,907.0,908.0,909.0
Nether,Vulcanite,Ore,,,,903:8,904:5,905:2,27300,5,4.0,5.0,1500.0,3.0,10.0,20.0,4.0,7.0,6.0,4.0,21.0,34.0,0.0,0.0,2.0,3.0,0.0,128.0,100.0,100.0,-1,8.0,11.0,11.0,907.0,908.0,909.0
Nether,Sanguinite,Ore,,,,903:9,904:6,905:3,27350,6,5.0,6.0,1750.0,4.0,12.0,25.0,5.0,7.0,6.0,4.0,22.0,36.0,0.0,0.0,2.0,3.0,0.0,128.0,100.0,100.0,-1,7.0,9.0,9.0,907.0,908.0,909.0
Nether,Shadow Steel,Alloy,,,"""Shadow Iron"" ""Lemurite""",903:10,904:7,905:4,27400,4,1.0,2.0,400.0,3.0,6.0,5.0,3.0,6.0,5.0,4.0,18.0,20.0,0.0,0.0,,,,,,,,,2.0,2.0,,908.0,909.0
Nether,Inolashite,Alloy,,,"""Alduorite"" ""Ceruclase""",903:11,904:8,905:5,27450,6,3.0,4.0,900.0,3.0,8.0,25.0,4.0,7.0,5.0,4.0,20.0,30.0,0.0,0.0,,,,,,,,,7.0,7.0,,908.0,909.0
Nether,Amordrine,Alloy,,,"""Kalendrite"" ""Platinum""",903:12,904:9,905:6,27500,24,3.0,4.0,1300.0,3.0,14.0,50.0,4.0,7.0,5.0,4.0,20.0,32.0,0.0,0.0,,,,,,,,,10.0,10.0,,908.0,909.0
Utility,Sulfur,Drop,"""Sulfur""",2-5,,905:7,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,0.0,,,910.0,,
Utility,Phosphorite,Drop,"""Phosphorus""",2-5,,905:8,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,1.0,,,910.0,,
Utility,Saltpeter,Drop,"""Saltpeter""",2-5,,905:9,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,2.0,,,910.0,,
Utility,Magnesium,Drop,"""Magnesium""",2-5,,905:10,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,4.0,,,910.0,,
Utility,Bitumen,Drop,"""Bitumen""",2-5,,905:11,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,3.0,,,910.0,,
Utility,Potash,Drop,"""Potash""",2-5,,905:12,,,,,1.0,,,,,,,,,,,,,,4.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,5.0,,,910.0,,
Fantasy,Prometheum,Ore,,,,906:0,907:0,908:0,27550,1,1.0,1.0,200.0,1.0,4.0,16.0,2.0,3.0,2.0,1.0,8.0,9.0,0.0,0.0,5.0,6.0,0.0,128.0,100.0,100.0,0 2-100000,5.0,7.0,7.0,911.0,912.0,913.0
Fantasy,Deep Iron,Ore,,,,906:1,907:1,908:1,27600,2,1.0,2.0,250.0,2.0,6.0,14.0,2.0,6.0,5.0,2.0,15.0,14.0,0.0,0.0,5.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,4.0,6.0,6.0,911.0,912.0,913.0
Fantasy,Infuscolium,Catalyst,,,,906:2,907:2,908:2,27650,2,1.0,,,,,,,,,,,,0.0,0.0,5.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,0.0,0.0,0.0,911.0,912.0,913.0
Fantasy,Black Steel,Alloy,,,"""Infuscolium"" ""Deep Iron""",906:3,907:3,908:3,27700,4,1.0,2.0,500.0,2.0,8.0,17.0,3.0,6.0,5.0,3.0,17.0,14.0,0.0,0.0,,,,,,,,,8.0,8.0,,912.0,913.0
Fantasy,Oureclase,Ore,,,,906:4,907:4,908:4,27750,3,2.0,3.0,750.0,2.0,8.0,18.0,3.0,6.0,5.0,4.0,18.0,22.0,0.0,0.0,4.0,3.0,0.0,128.0,100.0,100.0,0 2-100000,9.0,14.0,14.0,911.0,912.0,913.0
Fantasy,Astral Silver,Ore,,,,906:5,907:5,908:5,27800,11,3.0,4.0,35.0,1.0,12.0,30.0,2.0,6.0,5.0,2.0,15.0,10.0,0.0,0.0,4.0,3.0,0.0,128.0,100.0,100.0,0 2-100000,7.0,10.0,10.0,911.0,912.0,913.0
Fantasy,Carmot,Ore,,,,906:6,907:6,908:6,27850,15,3.0,4.0,50.0,1.0,12.0,40.0,3.0,6.0,5.0,3.0,17.0,12.0,0.0,0.0,3.0,3.0,0.0,128.0,100.0,100.0,0 2-100000,10.0,15.0,15.0,911.0,912.0,913.0
Fantasy,Mithril,Ore,,,,906:7,907:7,908:7,27900,4,3.0,4.0,1000.0,3.0,9.0,18.0,4.0,6.0,5.0,4.0,19.0,28.0,0.0,0.0,3.0,3.0,0.0,128.0,100.0,100.0,0 2-100000,8.0,12.0,12.0,911.0,912.0,913.0
Fantasy,Rubracium,Catalyst,,,,906:8,907:8,908:8,27950,2,3.0,,,,,,,,,,,,0.0,0.0,2.0,3.0,0.0,128.0,100.0,100.0,0 2-100000,1.0,1.0,1.0,911.0,912.0,913.0
Fantasy,Quicksilver,Alloy,,,"""Mithril"" ""Silver""",906:9,907:9,908:9,28000,9,3.0,4.0,1100.0,3.0,14.0,20.0,4.0,7.0,5.0,4.0,20.0,30.0,0.0,0.0,,,,,,,,,4.0,4.0,,912.0,913.0
Fantasy,Haderoth,Alloy,,,"""Mithril"" ""Rubracium""",906:10,907:10,908:10,28050,6,3.0,4.0,1250.0,3.0,12.0,19.0,4.0,7.0,5.0,4.0,20.0,32.0,0.0,0.0,,,,,,,,,11.0,11.0,,912.0,913.0
Fantasy,Orichalcum,Ore,,,,906:11,907:11,908:11,28100,5,4.0,5.0,1350.0,3.0,9.0,20.0,4.0,7.0,6.0,4.0,21.0,35.0,0.0,0.0,2.0,4.0,0.0,128.0,100.0,100.0,0 2-100000,6.0,9.0,9.0,911.0,912.0,913.0
Fantasy,Celenegil,Alloy,,,"""Orichalcum"" ""Platinum""",906:12,907:12,908:12,28150,25,4.0,5.0,1600.0,3.0,14.0,50.0,5.0,7.0,6.0,4.0,22.0,36.0,0.0,0.0,,,,,,,,,3.0,3.0,,912.0,913.0
Fantasy,Adamantine,Ore,,,,906:13,907:13,908:13,28200,6,5.0,6.0,1550.0,4.0,10.0,22.0,5.0,7.0,6.0,4.0,22.0,38.0,0.0,0.0,2.0,3.0,0.0,128.0,50.0,100.0,0 2-100000,2.0,2.0,2.0,911.0,912.0,913.0
Fantasy,Atlarus,Ore,,,,906:14,907:14,908:14,28250,7,5.0,6.0,1750.0,4.0,10.0,22.0,5.0,7.0,6.0,4.0,22.0,40.0,0.0,0.0,2.0,3.0,0.0,128.0,50.0,100.0,0 2-100000,3.0,5.0,5.0,911.0,912.0,913.0
Fantasy,Tartarite,Alloy,,,"""Adamantine"" ""Atlarus""",906:15,907:15,908:15,28300,13,6.0,7.0,3000.0,5.0,14.0,25.0,5.0,7.0,6.0,5.0,23.0,42.0,0.0,0.0,,,,,,,,,13.0,13.0,,912.0,913.0
Ender,Eximite,Ore,,,,900:5,900:8,900:11,28350,6,3.0,3.0,1000.0,3.0,8.0,25.0,4.0,6.0,5.0,4.0,19.0,24.0,0.0,0.0,6.0,4.0,0.0,128.0,100.0,100.0,1,0.0,0.0,0.0,914.0,915.0,916.0
Ender,Meutoite,Catalyst,,,,900:6,900:9,900:12,28400,6,3.0,,,,,,,,,,,,0.0,0.0,3.0,3.0,0.0,128.0,100.0,100.0,1,1.0,1.0,1.0,914.0,915.0,916.0
Ender,Desichalkos,Alloy,,,"""Eximite"" ""Meutoite""",900:7,900:10,900:13,28450,6,4.0,4.0,1800.0,4.0,10.0,30.0,4.0,7.0,5.0,4.0,20.0,30.0,0.0,0.0,,,,,,,,,2.0,2.0,,915.0,916.0
