col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66
Data,2,record,timestamp,702940949,s,position_lat,495280441.0,semicircles,position_long,-872696702.0,semicircles,distance,0.21,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940950,s,position_lat,495280448.0,semicircles,position_long,-872696711.0,semicircles,distance,0.28,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940951,s,position_lat,495280454.0,semicircles,position_long,-872696718.0,semicircles,distance,0.35,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940952,s,position_lat,495280458.0,semicircles,position_long,-872696724.0,semicircles,distance,0.41,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940953,s,position_lat,495280503.0,semicircles,position_long,-872696812.0,semicircles,distance,1.14,m,altitude,278.2,m,speed,0.0,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940954,s,position_lat,495280525.0,semicircles,position_long,-872696908.0,semicircles,distance,1.85,m,altitude,278.2,m,speed,0.092,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940955,s,position_lat,495280558.0,semicircles,position_long,-872697028.0,semicircles,distance,2.75,m,altitude,278.2,m,speed,0.152,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940956,s,position_lat,495280588.0,semicircles,position_long,-872697129.0,semicircles,distance,3.51,m,altitude,278.2,m,speed,0.209,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940957,s,position_lat,495280554.0,semicircles,position_long,-872697223.0,semicircles,distance,4.22,m,altitude,278.2,m,speed,0.262,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940958,s,position_lat,495280479.0,semicircles,position_long,-872697203.0,semicircles,distance,4.93,m,altitude,278.2,m,speed,0.307,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,702940959,s,position_lat,495280402.0,semicircles,position_long,-872697257.0,semicircles,distance,5.73,m,altitude,278.2,m,speed,0.368,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,event,timestamp,702940959,s,timer_trigger,15075103.0,,event,0.0,,event_type,0.0,,event_group,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,3,lap,timestamp,1,,start_time,1.0,,start_position_lat,1.0,,start_position_long,1.0,,end_position_lat,1.0,,end_position_long,1.0,,total_elapsed_time,1.0,,total_timer_time,1.0,,total_distance,1.0,,message_index,1.0,,total_calories,1.0,,total_fat_calories,1.0,,avg_speed,1.0,,max_speed,1.0,,total_ascent,1.0,,total_descent,1.0,,event,1.0,,event_type,1.0,,lap_trigger,1.0,,sport,1.0,,,,,
Data,3,lap,timestamp,702941091,s,start_time,702940946.0,,start_position_lat,495280430.0,semicircles,start_position_long,-872696681.0,semicircles,end_position_lat,495280402.0,semicircles,end_position_long,-872697257.0,semicircles,total_elapsed_time,13.749,s,total_timer_time,13.749,s,total_distance,5.73,m,message_index,0.0,,total_calories,0.0,kcal,total_fat_calories,0.0,kcal,avg_speed,0.417,m/s,max_speed,0.368,m/s,total_ascent,0.0,m,total_descent,0.0,m,event,9.0,,event_type,1.0,,lap_trigger,7.0,,sport,1.0,,,,,
Definition,1,event,timestamp,1,,data,1.0,,event,1.0,,event_type,1.0,,event_group,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,event,timestamp,702941091,s,data,1.0,,event,8.0,,event_type,9.0,,event_group,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,session,timestamp,1,,start_time,1.0,,start_position_lat,1.0,,start_position_long,1.0,,total_elapsed_time,1.0,,total_timer_time,1.0,,total_distance,1.0,,message_index,1.0,,total_calories,1.0,,total_fat_calories,1.0,,avg_speed,1.0,,max_speed,1.0,,total_ascent,1.0,,total_descent,1.0,,first_lap_index,1.0,,num_laps,1.0,,event,1.0,,event_type,1.0,,sport,1.0,,sub_sport,1.0,,trigger,1.0,,
Data,4,session,timestamp,702941091,s,start_time,702940946.0,,start_position_lat,495280430.0,semicircles,start_position_long,-872696681.0,semicircles,total_elapsed_time,13.749,s,total_timer_time,13.749,s,total_distance,5.73,m,message_index,0.0,,total_calories,0.0,kcal,total_fat_calories,0.0,kcal,avg_speed,0.417,m/s,max_speed,0.368,m/s,total_ascent,0.0,m,total_descent,0.0,m,first_lap_index,0.0,,num_laps,1.0,,event,9.0,,event_type,1.0,,sport,1.0,,sub_sport,0.0,,trigger,0.0,,
Definition,5,activity,timestamp,1,,total_timer_time,1.0,,local_timestamp,1.0,,num_sessions,1.0,,type,1.0,,event,1.0,,event_type,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,activity,timestamp,702941091,,total_timer_time,13.749,s,local_timestamp,702926691.0,,num_sessions,1.0,,type,0.0,,event,26.0,,event_type,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
