col0,col1,col2,col3,col4,col5,col6,col7,col8
metabat1500.072,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR37,
metabat1500.113,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV55;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,UBA10450,AV55,
metabat1500.115,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV55;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,UBA10450,AV55,
metabat1500.117,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Palsa-892;s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Palsa-892,
metabat1500.127,d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__,Bacteria,Chloroflexota,Ellin6529,CSP1-4,CSP1-4,,
metabat1500.139,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,,
metabat1500.148,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__FEN-1250;s__,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,FEN-1250,
metabat1500.171,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,,
metabat1500.173,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,,,
metabat1500.191,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__GWA2-73-35;g__AR37;s__,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR37,
metabat2500.011,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__Gp7-AA6;g__;s__,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,Gp7-AA6,,
metabat2500.017,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__,Bacteria,Desulfobacterota_B,Binatia,UBA9968,UBA9968,DP-20,
metabat2500.019,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,70-9,VAYN01,
metabat2500.020,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__UBA6156;s__,Bacteria,Proteobacteria,Alphaproteobacteria,UBA1280,UBA6156,UBA6156,
metabat2500.049,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax_D;s__Acidovorax_D sp002754175,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax_D,Acidovorax_D sp002754175
metabat2500.056,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria_A;o__Fen-336;f__Fen-336;g__;s__,Bacteria,Acidobacteriota,Vicinamibacteria_A,Fen-336,Fen-336,,
metabat2500.079,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter enzymogenes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes
metabat2500.091,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,,,
metabat2500.094,d__Bacteria;p__Chloroflexota;c__Ellin6529;o__QHBO01;f__QHBO01;g__CF-167;s__,Bacteria,Chloroflexota,Ellin6529,QHBO01,QHBO01,CF-167,
metabat2500.096,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,,
metabat2500.100,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__SZUA-254;g__;s__,Bacteria,Bacteroidota,UBA10030,UBA10030,SZUA-254,,
metabat2500.102,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__QHCC01;s__,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Jatrophihabitantaceae,QHCC01,
metabat2500.105,d__Bacteria;p__Planctomycetota;c__MHYJ01;o__MHYJ01;f__;g__;s__,Bacteria,Planctomycetota,MHYJ01,MHYJ01,,,
metabat2500.107,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__,Bacteria,Proteobacteria,Alphaproteobacteria,UBA1301,UBA1301,UBA6038,
metabat2500.117,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__;f__;g__;s__,Bacteria,Chloroflexota,Chloroflexia,,,,
metabat2500.120,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,
metabat2500.133,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__;g__;s__,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,,,
metabat2500.140,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8621;s__,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA8621,
metabat2500.141,d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__SG8-24;g__;s__,Bacteria,Patescibacteria,ABY1,SG8-24,SG8-24,,
metabat2500.153,d__Bacteria;p__Chloroflexota;c__Ellin6529;o__P2-11E;f__P2-11E;g__3-1-20CM-2-70-9;s__,Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,3-1-20CM-2-70-9,
metabat2500.155,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UTBCD1;s__,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,
metabat2500.160,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__;g__;s__,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,,,
