col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
tlg0627.tlg038,,,,,,De superfoetatione; Oeuvres complètes d'Hippocrate,Other,Other,De superfetatione,,,Gynaecology and embryology
tlg0627.tlg039,,,,,,De exsectione foetus; Oeuvres complètes d'Hippocrate,Other,Other,De exsectione foetus,,,Gynaecology and embryology
tlg0627.tlg040,,,,,,De anatomia; Oeuvres complètes d'Hippocrate,Surgical,Other,De anatome,,,Anatomy and physiology
tlg0627.tlg041,,,,,,De dentitione; Oeuvres complètes d'Hippocrate,Other,Other,De dentitione,,,Guidance and ideals
tlg0627.tlg042,,,,,,De glandulis; Oeuvres complètes d'Hippocrate,Other,Other,De glandulis,,,Anatomy and physiology
tlg0627.tlg043,0.0,0.0,0.0,0.0,,De carnibus; Oeuvres complètes d'Hippocrate,Dietetics,Other,De carnibus,,,Scientific principles
tlg0627.tlg045,,,,,,De corde; Oeuvres complètes d'Hippocrate,Later,Other,De corde,,,Anatomy and physiology
tlg0627.tlg046,,,,,,De alimento ; Hippocrates Collected Works I,Other,Other,De alimento,,,Guidance and ideals
tlg0627.tlg047,,,,,,De visu; Oeuvres complètes d'Hippocrate,Other,Other,De visu,,,Surgery
tlg0627.tlg048,,,,,,De natura ossium; Oeuvres complètes d'Hippocrate,Surgical,Other,De ossium natura,,,Anatomy and physiology
tlg0627.tlg049,,,,,,De medico; Oeuvres complètes d'Hippocrate,Later,Other,De medico,,,Guidance and ideals
tlg0627.tlg050,,,,,,De habitu decenti; Oeuvres complètes d'Hippocrate,Later,Other,De decente habitu,,,Guidance and ideals
tlg0627.tlg051,2.0,2.0,0.0,2.0,,Precepts ; Hippocrates Collected Works I,Aphorisms,Other,Praeceptiones,,,Guidance and ideals
tlg0627.tlg052,,,,,,De crisibus; Oeuvres complètes d'Hippocrate,Other,Other,De judicationibus,,,Cases and signs
tlg0627.tlg053,,,,,,De diebus criticis; Oeuvres complètes d'Hippocrate,Other,Other,De diebus judicatoriis,,,Cases and signs
tlg0627.tlg055,,,,,,"Epistulae, Decretum, Orationes; Oeuvres complètes d'Hippocrate",Later,Other,Epistulae,,,Guidance and ideals
