col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
59|PAC|Pacific|110||,,,,,,,,,,,,,,
60|PAC|Pacific|123||,,,,,,,,,,,,,,
61|PAC|Pacific|134||,,,,,,,,,,,,,,
62|PAC|Pacific|138||,,,,,,,,,,,,,,
63|PAC|Pacific|166||,,,,,,,,,,,,,,
64|PAC|Pacific|174||,,,,,,,,,,,,,,
65|PAC|Pacific|197||,,,,,,,,,,,,,,
66|PAC|Pacific|297||,,,,,,,,,,,,,,
67|PAC|Pacific|515||,,,,,,,,,,,,,,
68|PR|Puerto Rico|43||,,,,,,,,,,,,,,
69|PR|Puerto Rico|202||,,,,,,,,,,,,,,
70|QC|Quebec|1||,,,,,,,,,,,,,,
71|RI|Rhode Island|291||,,,,,,,,,,,,,,
72|SV|Sacramento Valley|291||,,,,,,,,,,,,,,
73|SDG|San Diego|291||,,,,,,,,,,,,,,
74|SF|San Francisco|291||,,,,,,,,,,,,,,
75|SJV|San Joaquin Valley|291||,,,,,,,,,,,,,,
76|SB|Santa Barbara|291||,,,,,,,,,,,,,,
77|SCV|Santa Clara Valley|291||,,,,,,,,,,,,,,
78|SK|Saskatchewan|1||,,,,,,,,,,,,,,
79|SC|South Carolina|291||,,,,,,,,,,,,,,
80|SD|South Dakota|291||,,,,,,,,,,,,,,
81|STX|South Texas|291||,,,,,,,,,,,,,,
82|SFL|Southern Florida|291||,,,,,,,,,,,,,,
83|SNJ|Southern New Jersey|291||,,,,,,,,,,,,,,
84|TN|Tennessee|291||,,,,,,,,,,,,,,
85|VI|US Virgin Islands|105||,,,,,,,,,,,,,,
86|VI|US Virgin Islands|182||,,,,,,,,,,,,,,
87|VI|US Virgin Islands|285||,,,,,,,,,,,,,,
88|UT|Utah|291||,,,,,,,,,,,,,,
89|VT|Vermont|291||,,,,,,,,,,,,,,
90|VA|Virginia|291||,,,,,,,,,,,,,,
91|WCF|West Central Florida|291||,,,,,,,,,,,,,,
92|WTX|West Texas|291||,,,,,,,,,,,,,,
93|WV|West Virginia|291||,,,,,,,,,,,,,,
94|WMA|Western Massachusetts|291||,,,,,,,,,,,,,,
95|WNY|Western New York|291||,,,,,,,,,,,,,,
96|WPA|Western Pennsylvania|291||,,,,,,,,,,,,,,
97|WWA|Western Washington|291||,,,,,,,,,,,,,,
98|WI|Wisconsin|291||,,,,,,,,,,,,,,
99|WY|Wyoming|291||,,,,,,,,,,,,,,
