col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51
GA,12,1,2,5,6,4,6,3,4,1,0,12,3,5,3,3,3,2,3,6,3,8,4,4,2,2,5,1,5,3,7,5,4,6,5,3,3,6,4,7,1,4,1,3,5,2,6,6,4,3,4
HI,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
IA,12,3,2,4,5,2,6,4,5,4,3,12,0,3,1,2,2,2,3,6,4,8,2,1,1,3,2,3,2,1,7,5,3,4,5,3,2,4,4,7,4,1,2,3,3,3,6,4,1,3,2
ID,12,5,4,2,2,2,8,6,7,6,5,12,3,0,4,5,3,4,5,8,6,10,5,3,3,5,1,5,2,2,9,7,3,1,7,5,3,1,6,9,6,2,4,4,1,5,8,1,4,5,1
IL,12,3,2,4,5,3,5,3,4,4,3,12,1,4,0,1,2,1,3,5,3,7,2,2,1,3,3,3,3,2,6,4,3,5,4,2,2,5,3,6,4,2,2,3,4,2,5,5,1,2,3
IN,12,3,3,5,6,4,4,3,3,4,3,12,2,5,1,0,3,1,4,4,3,6,1,3,2,3,4,3,4,3,5,3,4,6,3,1,3,6,2,5,4,3,2,4,5,2,4,6,2,2,4
KS,12,3,2,3,4,1,6,4,5,4,3,12,2,3,2,3,0,2,3,6,4,8,4,3,1,3,3,3,3,1,7,5,2,3,5,3,1,4,4,7,4,2,2,2,2,3,6,4,3,3,2
KY,12,2,2,4,5,3,4,2,3,3,2,12,2,4,1,1,2,0,3,4,2,6,2,3,1,2,4,2,4,2,5,3,3,5,3,1,2,5,2,5,3,3,1,3,4,1,4,5,2,1,3
LA,12,2,1,3,4,3,7,4,5,3,3,12,3,5,3,4,3,3,0,7,4,9,5,4,2,1,5,3,5,3,8,6,2,4,6,4,2,5,5,8,4,4,2,1,4,3,7,6,4,4,4
MA,12,6,6,8,9,7,1,4,3,7,6,12,6,8,5,4,6,4,7,0,3,2,4,6,5,6,8,5,7,6,1,2,7,9,1,3,6,9,2,1,6,7,5,7,8,4,1,9,5,3,7
MD,12,3,3,6,7,5,3,1,1,4,3,12,4,6,3,3,4,2,4,3,0,5,3,5,3,3,6,2,6,4,4,2,5,7,2,2,4,7,1,4,3,5,2,4,6,1,3,7,4,1,5
ME,12,8,8,10,11,9,3,6,5,9,8,12,8,10,7,6,8,6,9,2,5,0,6,8,7,8,10,7,9,8,1,4,9,11,3,5,8,11,4,3,8,9,7,9,10,6,2,11,7,5,9
MI,12,4,4,6,7,4,4,4,3,5,4,12,2,5,2,1,4,2,5,4,3,6,0,2,3,4,4,4,3,3,5,3,5,6,3,1,4,6,2,5,5,3,3,5,5,3,4,6,1,2,4
MN,12,4,3,4,5,3,6,5,5,5,4,12,1,3,2,3,3,3,4,6,5,8,2,0,2,4,2,4,1,2,7,5,4,4,5,3,3,4,4,7,5,1,3,4,3,4,6,4,1,4,2
MO,12,2,1,3,4,2,5,3,4,3,2,12,1,3,1,2,1,1,2,5,3,7,3,2,0,2,3,2,3,1,6,4,2,4,4,2,1,4,3,6,3,2,1,2,3,2,5,4,2,2,2
MS,12,1,1,4,5,3,6,3,4,2,2,12,3,5,3,3,3,2,1,6,3,8,4,4,2,0,5,2,5,3,7,5,3,5,5,3,2,6,4,7,3,4,1,2,4,2,6,6,4,3,4
MT,12,5,4,3,3,2,8,6,7,6,5,12,2,1,3,4,3,4,5,8,6,10,4,2,3,5,0,5,1,2,9,7,3,2,7,5,3,2,6,9,6,1,4,4,2,5,8,2,3,5,1
NC,12,2,2,5,6,4,5,2,3,2,1,12,3,5,3,3,3,2,3,5,2,7,4,4,2,2,5,0,5,3,6,4,4,6,4,3,3,6,3,6,1,4,1,3,5,1,5,6,4,2,4
ND,12,5,4,4,4,3,7,6,6,6,5,12,2,2,3,4,3,4,5,7,6,9,3,1,3,5,1,5,0,2,8,6,4,3,6,4,4,3,5,8,6,1,4,5,3,5,7,3,2,5,2
NE,12,3,2,3,4,1,6,4,5,4,3,12,1,2,2,3,1,2,3,6,4,8,3,2,1,3,2,3,2,0,7,5,2,3,5,3,2,3,4,7,4,1,2,3,2,3,6,3,2,3,1
NH,12,7,7,9,10,8,2,5,4,8,7,12,7,9,6,5,7,5,8,1,4,1,5,7,6,7,9,6,8,7,0,3,8,10,2,4,7,10,3,2,7,8,6,8,9,5,1,10,6,4,8
NJ,12,5,5,7,8,6,2,3,1,6,5,12,5,7,4,3,5,3,6,2,2,4,3,5,4,5,7,4,6,5,3,0,6,8,1,2,5,8,1,3,5,6,4,6,7,3,2,8,4,2,6
NM,12,4,2,1,2,1,7,5,6,5,4,12,3,3,3,4,2,3,2,7,5,9,5,4,2,3,3,4,4,2,8,6,0,2,6,4,1,3,5,8,5,3,3,1,2,4,7,4,4,4,2
NV,12,6,4,1,1,2,9,7,8,7,6,12,4,1,5,6,3,5,4,9,7,11,6,4,4,5,2,6,3,3,10,8,2,0,8,6,3,1,7,10,7,3,5,3,1,6,9,2,5,6,2
NY,12,5,5,7,8,6,1,3,2,6,5,12,5,7,4,3,5,3,6,1,2,3,3,5,4,5,7,4,6,5,2,1,6,8,0,2,5,8,1,2,5,6,4,6,7,3,1,8,4,2,6
OH,12,3,3,5,6,4,3,3,2,4,3,12,3,5,2,1,3,1,4,3,2,5,1,3,2,3,5,3,4,3,4,2,4,6,2,0,3,6,1,4,4,4,2,4,5,2,3,6,2,1,4
OK,12,3,1,2,3,1,6,4,5,4,3,12,2,3,2,3,1,2,2,6,4,8,4,3,1,2,3,3,4,2,7,5,1,3,5,3,0,4,4,7,4,3,2,1,2,3,6,4,3,3,2
OR,12,6,5,2,1,3,9,7,8,7,6,12,4,1,5,6,4,5,5,9,7,11,6,4,4,6,2,6,3,3,10,8,3,1,8,6,4,0,7,10,7,3,5,4,2,6,9,1,5,6,2
PA,12,4,4,6,7,5,2,2,1,5,4,12,4,6,3,2,4,2,5,2,1,4,2,4,3,4,6,3,5,4,3,1,5,7,1,1,4,7,0,3,4,5,3,5,6,2,2,7,3,1,5
RI,12,7,7,9,10,8,1,5,4,8,7,12,7,9,6,5,7,5,8,1,4,3,5,7,6,7,9,6,8,7,2,3,8,10,2,4,7,10,3,0,7,8,6,8,9,5,2,10,6,4,8
SC,12,2,3,6,7,5,6,3,4,2,1,12,4,6,4,4,4,3,4,6,3,8,5,5,3,3,6,1,6,4,7,5,5,7,5,4,4,7,4,7,0,5,2,4,6,2,6,7,5,3,5
SD,12,4,3,3,4,2,7,5,6,5,4,12,1,2,2,3,2,3,4,7,5,9,3,1,2,4,1,4,1,1,8,6,3,3,6,4,3,3,5,8,5,0,3,4,2,4,7,3,2,4,1
TN,12,1,1,4,5,3,5,2,3,2,1,12,2,4,2,2,2,1,2,5,2,7,3,3,1,1,4,1,4,2,6,4,3,5,4,2,2,5,3,6,2,3,0,2,4,1,5,5,3,2,3
TX,12,3,1,2,3,2,7,4,5,4,3,12,3,4,3,4,2,3,1,7,4,9,5,4,2,2,4,3,5,3,8,6,1,3,6,4,1,4,5,8,4,4,2,0,3,3,7,5,4,4,3
UT,12,5,3,1,2,1,8,6,7,6,5,12,3,1,4,5,2,4,4,8,6,10,5,3,3,4,2,5,3,2,9,7,2,1,7,5,2,2,6,9,6,2,4,3,0,5,8,2,4,5,1
VA,12,2,2,5,6,4,4,1,2,3,2,12,3,5,2,2,3,1,3,4,1,6,3,4,2,2,5,1,5,3,5,3,4,6,3,2,3,6,2,5,2,4,1,3,5,0,4,6,3,1,4
VT,12,6,6,8,9,7,2,4,3,7,6,12,6,8,5,4,6,4,7,1,3,2,4,6,5,6,8,5,7,6,1,2,7,9,1,3,6,9,2,2,6,7,5,7,8,4,0,9,5,3,7
WA,12,6,5,3,2,3,9,7,8,7,6,12,4,1,5,6,4,5,6,9,7,11,6,4,4,6,2,6,3,3,10,8,4,2,8,6,4,1,7,10,7,3,5,5,2,6,9,0,5,6,2
WI,12,4,3,5,6,3,5,4,4,5,4,12,1,4,1,2,3,2,4,5,4,7,1,1,2,4,3,4,2,2,6,4,4,5,4,2,3,5,3,6,5,2,3,4,4,3,5,5,0,3,3
WV,12,3,3,5,6,4,3,2,2,4,3,12,3,5,2,2,3,1,4,3,1,5,2,4,2,3,5,2,5,3,4,2,4,6,2,1,3,6,1,4,3,4,2,4,5,1,3,6,3,0,4
WY,12,4,3,2,3,1,7,5,6,5,4,12,2,1,3,4,2,3,4,7,5,9,4,2,2,4,1,4,2,1,8,6,2,2,6,4,2,2,5,8,5,1,3,3,1,4,7,2,3,4,0
