col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
stair,!Building/modern:stair,shadow,shadow,,,,,,,,3.0,element=shadow,,,,,,,construction:7,,,tool:2,,,,,moveLevel=!Building/modern:stairDown,destroy,,,
sshrine,!Building/a:shrine,shadow,shadow,,,,,,10.0,2.0,4.0,element=shadow,townLevel=>2,,,townNear,,,construction:3,stone:3,,tool:1,-1.0,,produce=turn;religion:20,,heal,destroy,evolve,,
,2nd level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market,!Building/a:market,earth;fire,earth;fire,,,,,,,2.0,5.0,element=earth;fire,townLevel=>2,research=market,,townNear,,,construction:8,food:5,stone:2,tool:5,-2.0,,,,,destroy,trade,sendRes,
house,!Building/b:house,earth;fire,earth;fire,,,,,,,,5.0,element=earth;fire,,,,townNear,!Building/b:housewinter,,construction:12,,brick:1,tool:1,20.0,,,,,destroy,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
athenaeum,!Building/tower:athenaeum,earth;fire,earth;fire,,,,,,,2.0,7.0,element=earth;fire,gameOption=research:true,,,townNear,,,construction:6,,,tool:3,-1.0,,produce=turn;research:3,,featurePlayer=research:true,destroy,,,
,earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mine,!Building/Animation/mine:mine_0,earth;fire,earth;fire,,,,,,,,4.0,element=earth;fire,,,terrainCategory=mountain;hill,,,,construction:5,,,tool:2,-1.0,,craft=mine,,train=geologist,destroy,,,
forge,!Building/t:forge,earth;fire,earth;fire,,,,,,,2.0,6.0,element=earth;fire,,research=goldore;ironore,,townNear,,,construction:4,coal:4,,tool:3,-2.0,,craft=forge,,,destroy,,,
toolshop,!Building/Animation/toolshop:toolshop_0,earth;fire,earth;fire,,,,,,,2.0,5.0,element=earth;fire,,research=coppertool;irontool,,townNear,,,construction:6,,,tool:1,-1.0,,craft=toolshop,,,destroy,,,
armoury,!Building/t:armoury,earth;fire,earth;fire,,,,,,,3.0,11.0,element=earth;fire,,research=armoury,,townNear,!Building/t:armourywinter,,construction:5,,brick:4,tool:4,-3.0,,craft=armoury,,train=efighter,destroy,,,
mint,!Building/Animation/mint:mint_0,earth,earth,,,,,,,,7.0,element=earth,townLevel=>3,research=mint,,townNear,,,construction:6,,brick:2,tool:3,-2.0,,produce=turn;goldignot:-1;coal:-2;gold:8,,,destroy,,,
ehall,!Building/d:ehall,earth,earth,,,,,,,6.0,12.0,element=earth,townLevel=>2,research=ehall,,upgradeField=shall2;lhall2,,,construction:24,,,tool:6,0.0,,townEvolve,,train=sworker;sexplorer,,,,occupy=150
temple,!Building/a:temple,earth,earth,,,,,,15.0,3.0,6.0,element=earth,townLevel=>3,,,townNear,,,construction:4,stone:4,brick:4,tool:4,-3.0,,produce=turn;religion:40,,heal,destroy,evolve,,
claypit,!Building/e:claypit,earth,earth,,,,,,,,3.0,element=earth,,research=claypit,terrain=deep,,,,construction:1,stone:2,,tool:1,-1.0,,produce=turn;clay:1,,,destroy,,,
pottery,!Building/t:pottery,earth,earth,,,,,,,,4.0,element=earth,townLevel=>2,research=pottery,,townNear,,,construction:7,,,,-1.0,,produce=turn;dirt:-1;clay:-1;pottery:1,,,destroy,,,
brickworks,!Building/d:brickworks,earth,earth,,,,,,,,6.0,element=earth,townLevel=>2,research=brickworks,,townNear,,,construction:5,stone:1,clay:5,tool:2,-2.0,,produce=turn;sand:-1;clay:-1;brick:2,daytime=night,,destroy,,,
earthWall,!Building/earthWall:earthWall_14,earth,earth,,,,,30.0,,2.0,6.0,element=earth,townLevel=>2,research=earthWall,,,,wall,construction:5,,,,,,,,upgrade=earthWallGate,destroy,,,
earthWallGate,!Building/earthWallGate:earthWallGate_14,earth,earth,,,,,20.0,,2.0,6.0,element=earth,townLevel=>3,research=earthWall,,,,wall,construction:7,,,tool:1,-1.0,moveCost=-25,,,upgrade=earthWall,destroy,,,
rootplantation,!Building/farm:rootplantation,earth,earth,,,,,,,,3.0,element=earth,,,terrain=deepGrass,building=>1:sfarm,,,construction:9,,dirt:8,tool:2,,,produce=turn;dirt:-1;carrot:12,,,destroy,,,
dirt2,!Building/c:sdirt,earth,earth,,,,,,,,4.0,element=earth,,,,,,,construction:7,,,tool:3,-1.0,,produce=turn;dirt:3,,,destroy,,,
way,!Improvements/way:way_14,earth;fire,earth;fire,,,,,,,,3.0,element=earth;fire,,research=way,,,,,,stone:1,dirt:2,,,,improvement=way:kill,,,destroy,,,
emagicschool,!Building/r:emagicschool,earth,earth;spellLearn,,,,,,,2.0,8.0,element=earth,townLevel=>3,research=emagicschool,,townNear,,,construction:10,,,tool:2,-1.0,,produce=turn;research:2,,train=emage,destroy,,,
equarters,!Building/r:equarters,earth,earth,,,,,,,3.0,5.0,element=earth,townLevel=>3,research=equarters,,townNear,,,construction:8,,,tool:3,-1.0,,,,train=sexplorer;settler;efighter;geologist,destroy,,,
,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charcoalhut,!Building/ro:charcoalhut,fire,fire,,,,,,,,,element=fire,,,,disabled,,,fuel:10,,,,,,produce=turn;wood:-2;charcoal:1,,,destroy,,,
tracks,logo,fire,fire,,,,,,,,,element=fire,,,,disabled,,,,,,,,,,,,destroy,,,
well,logo,fire,fire,,,,,,,,,element=fire,,,,,,,,,,,,,,,,,,,
fhall,logo,fire,fire,,,,,,,,,element=fire,,,,,,,,,,,,,,,,,,,occupy=150
altar,logo,fire,fire,,,,,,,,,element=fire,,,,,,,,,,,,,,,,,,,
,,fire,fire,,,,,,,,,element=fire,,,,,,,,,,,,,,,,,,,
,,fire,fire,,,,,,,,,element=fire,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chest,!Building/chests_8:chests_8_1,,,,,,,,,0.0,,disabled,,,,,,,,,,,,,chestOpen,,,,,,
