col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40
,E436-98154,6341341183,ROUND,1.01,E,SI2,EX,EX,VG,NON,,6.39,6.46,4.0,62.3,57,None,GIA,MED to STK,0%,Not brown,,,Shivam Jewels,-40.84%,3797,3759.61,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5dd58e00-6b36-4207-adfe-ba9b661be73c.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6341341183.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
,LD19033821,6322290303,ROUND,0.5,H,VS2,F,VG,VG,NON,,4.84,4.79,3.26,67.8,61,NON,GIA,MED to VTK,100%,Not brown,Not green,Not milky,Laxmi,-50.37%,799,1598.5,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MDMzODIx,128.0,https://nivoda-images.s3.eu-west-2.amazonaws.com/af48f800-7afd-41c3-8ca7-3430324ef36c.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19033821.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,,,
,260660,3335853057,ROUND,0.6,H,VS1,EX,EX,EX,NON,,5.41,5.38,3.37,62.5,57,NON,GIA,MED to STK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-16.71%,1639,2731.92,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5,,,
,301109,5343553290,ROUND,0.51,I,SI1,VG,EX,EX,NON,,5.04,5.0,3.23,64.2,58,NON,GIA,STK to THK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-33.40%,879,1723.84,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5,,,
,253689,2347806803,ROUND,0.56,F,VS1,EX,EX,EX,FNT,,5.25,5.23,3.28,62.5,57,NON,GIA,MED to STK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-30.15%,1484,2649.21,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5,,,
,G431-136359,7348994893,EMERALD,0.6,H,VS1,-,EX,EX,FNT,,5.52,3.97,2.68,67.5,63,None,GIA,THK to VTK,100%,Not brown,,,Shivam Jewels,-47.00%,730,1216.0,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/c44b1339-0947-4564-9e2b-d45bce27a954.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7348994893.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
,G427-137420,6352066112,ROUND,0.53,H,SI2,EX,EX,EX,NON,,5.14,5.17,3.23,62.7,58,None,GIA,MED to STK,95%,,,,Shivam Jewels,-44.78%,703,1326.66,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/4725620d-8e93-4195-939e-c2e5eea2d1ce.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352066112.pdf,,,,HK,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
,G420-133476,7342696540,ROUND,0.44,E,VVS1,EX,EX,EX,FNT,,4.89,4.91,2.98,60.8,60,None,GIA,MED to STK,100%,Not brown,,,Shivam Jewels,-42.12%,870,1978.23,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7342696540.pdf,,,,HK,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
,G424-133359,5343695984,ROUND,0.4,D,SI1,EX,EX,EX,MED,Blue,4.7,4.72,2.94,62.4,57,None,GIA,MED to STK,100%,Not brown,,,Shivam Jewels,-41.52%,568,1420.05,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/5343695984.pdf,,,,IN,N,30e7f681-ab85-4b0e-b046-c4b9abd2ef1e,,,
,LD19091598,6331716764,ROUND,0.2,D,IF,EX,EX,VG,NON,,3.77,3.74,2.31,61.5,56,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,17.00%,334,1670.95,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/a5bf8318-918e-4f36-985f-d835d05b193d.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19091598.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b,,,
