col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
11,+,-,-,-,-,-,<E>,-,obtenir,+,-,-,-,<E>,-,-,+,+,+,-,de,+,-,-,-,-,pour,-,+,+,-,-,-,+,-,-,-,-,+,-,+,+,-,Max a obtenu de Luc de l'argent pour démarrer le projet
12,+,-,-,-,-,-,<E>,-,parier,+,-,+,+,<E>,-,-,+,+,+,-,à,+,+,-,-,+,sur,+,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,Max a parié un repas à Luc(E+sur ce)qu'Eva ne viendrait pas
13,+,-,-,-,-,-,<E>,-,parier,+,-,+,+,<E>,-,-,+,+,+,+,avec,+,+,+,+,+,sur,+,-,-,-,-,-,+,-,+,-,-,+,-,+,+,+,Max a parié un repas avec Luc(E+sur ce)qu'Eva ne viendrait pas
14,~,~,~,~,~,~,<E>,-,payer,+,-,~,~,<E>,~,~,~,~,~,~,à,~,~,~,~,~,pour,~,~,~,~,-,~,~,~,~,~,~,~,~,~,~,~,Max paye un salaire à Léa pour la transporter
15,+,-,-,-,-,-,<E>,-,prétexter,+,-,-,-,de,-,-,+,+,-,-,auprès de,+,+,-,-,-,pour,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,Max a prétexté auprès de Luc d'un malaise pour ne pas venir
16,~,~,~,~,~,~,se,+,prévaloir,-,+,~,~,de,~,~,~,~,~,~,auprès de,~,~,~,~,~,pour,~,~,~,~,-,~,~,~,~,~,~,~,~,~,~,~,Max se prévaut auprès des autorités de sa nationalité pour ne pas payer d'impôts
17,+,-,-,-,-,-,<E>,-,recevoir,+,-,-,+,<E>,-,-,+,+,+,-,de,+,-,-,-,-,pour,-,+,+,-,-,-,+,-,-,-,-,+,-,+,+,-,Max a reçu de l'argent du gouvernement pour travailler
18,+,+,+,+,-,-,<E>,-,recevoir,+,-,-,-,de,+,-,-,-,-,-,comme,-,-,+,-,-,<E>,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,+,Max a reçu de Luc comme garantie qu'il aurait une prime
19,+,-,-,-,-,-,<E>,-,rendre,+,-,-,-,en,-,-,+,-,-,-,Loc,-,-,+,+,-,<E>,+,-,-,-,-,-,+,+,-,-,-,+,+,-,+,+,Paul a rendu cette expression en anglais dans son texte
20,+,-,-,-,-,-,<E>,-,retraduire,+,-,+,-,de,-,-,+,-,-,-,à,-,-,+,-,+,<E>,+,-,+,-,-,-,+,+,-,-,-,+,+,+,+,-,Max a retraduit ce texte du turc à l'anglais
21,+,-,-,-,-,-,<E>,-,retraduire,+,-,+,-,de,-,-,+,-,-,+,en,-,-,+,-,+,<E>,+,-,+,-,-,-,+,+,-,-,-,+,+,+,+,+,Max a retraduit ce texte du turc en anglais
22,-,+,+,+,-,-,<E>,-,servir,+,-,-,-,à,+,+,-,-,-,-,de,-,-,+,+,+,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,Qu'Ida soit partie sert de prétexte à Max pour la congédier
23,+,-,-,-,-,-,<E>,-,signaler,+,-,-,~,à,+,+,+,-,-,-,par,-,-,+,+,+,<E>,+,-,+,-,-,-,+,+,-,+,+,+,+,-,+,+,On signale le danger aux passants par le feu
24,+,-,-,-,-,-,<E>,-,soudoyer,+,-,-,+,<E>,+,+,-,-,+,-,par,-,-,+,-,-,pour,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,-,Max a soudoyé Luc pour lui faire laver la vaisselle
25,+,-,-,-,-,-,<E>,-,traduire,+,-,+,-,de,-,-,+,-,-,-,à,-,-,+,-,+,<E>,+,-,+,-,-,-,+,+,-,-,-,+,+,+,+,-,Max a traduit ce texte de l'anglais au turc
26,+,-,-,-,-,-,<E>,-,traduire,+,-,+,-,de,-,-,+,-,-,+,en,-,-,+,-,+,<E>,+,-,+,-,-,-,+,+,-,-,-,+,+,+,+,+,Max a traduit ce texte d'anglais en turc
