col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63
SAO142,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,G,.,.,.,.,.,.,2,0
SAO162,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,T,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0
SAO197,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,T,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
SAO137,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,C,.,.,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,C,.,C,.,.,.,.,.,.,.,1,0
SAO181,.,A,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,T,G,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,1,0
SAO36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,T,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,1,0
SAO158,.,.,G,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,G,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,1,0
SAO120,.,.,.,.,.,.,C,.,.,.,.,A,.,.,.,.,.,.,.,.,T,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,A,T,.,.,.,.,G,T,.,.,.,.,C,.,.,.,.,.,T,.,2,0
SAO195,.,.,G,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,T,.,C,.,.,.,T,.,.,.,.,T,.,.,C,.,G,.,.,.,.,A,T,.,.,.,.,G,T,.,.,.,.,C,.,.,.,.,.,.,.,1,0
SAO182,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,T,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,T,.,T,.,.,.,.,C,.,.,.,.,.,T,.,1,0
MAL 6,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,G,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,A,.,.,.,.,T,.,.,.,.,C,.,.,.,.,.,T,.,0,6
MAL 73,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,C,.,.,.,C,.,.,.,.,G,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,.,C,.,.,.,.,.,T,.,0,2
MAL 59,.,.,.,.,.,.,C,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,G,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,T,.,.,.,.,C,.,.,.,.,T,T,.,0,1
MAL 13,.,.,.,.,.,.,.,.,.,.,.,A,.,G,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,G,T,.,.,.,.,C,.,.,.,.,.,T,.,0,1
SAO129,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,T,.,.,T,.,.,.,C,.,.,.,.,.,.,.,1,0
MAL 4,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,0,2
MAL 43,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,C,.,.,.,C,.,.,.,.,.,.,T,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,0,1
MAL 10,.,.,.,.,C,.,.,.,.,.,.,A,T,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,G,.,.,.,.,.,.,T,.,.,.,0,6
MAL 77,.,.,.,.,C,.,.,.,.,.,.,A,T,.,.,.,.,.,C,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,G,.,.,.,.,.,.,T,.,.,.,0,1
MAL 51,.,.,.,.,.,.,.,.,A,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,C,.,.,.,T,.,.,.,0,1
SAO148,.,.,.,.,.,.,.,.,.,.,.,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
SAO126,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,G,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,1,0
SAO128,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,4,0
SAO134,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,C,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,1,2
MAL 3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
SAO68,.,.,.,G,.,.,C,.,.,.,.,.,.,.,.,.,G,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,2,0
SAO122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,3,2
SAO193,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,1,0
MAL 19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,C,.,T,.,.,.,.,.,0,7
