col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
MUTANT,29|2343ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,30|2340ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,31|2492ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,32|2454ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,33|2518ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,34|2479ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,35|2452ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,36|2704ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,37|2648ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,38|2585ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,39|2675ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,40|2564ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,41|2622ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,42|2557ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,43|2624ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,44|2697ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,45|2701ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,46|2686ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,47|2696ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,48|2777ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,49|2787ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,50|2886ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,51|2800ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,52|2804ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,53|2791ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,54|2770ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,55|2748ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,56|2719ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,57|2736ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,58|2654ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,59|2708ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,60|2426ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,61|1685ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,63|2882ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,62|2976ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,65|3153ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,64|3373ms|1|1|1|1|1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,66|3262ms|-2|-2|-2|-2|-2|-2|-2|-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,67|3214ms|-2|-2|-2|-2|-2|-2|-2|-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,68|3369ms|-2|-2|-2|-2|-2|-2|-2|-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,69|3299ms|-2|-2|-2|-2|-2|-2|-2|-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTANT,70|2113ms|-2|-2|-2|-2|-2|-2|-2|-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
