Name,Place,Date of Newspaper,Notes
"Conger, Arthur; Moses Conger; and John Conger (brothers)","Hinesburgh, VT",25 Mar 1813,"Heads of families, leaving fatherless children"
"Conger, Mrs.","Hinesburgh, VT",25 Mar 1813,Wife of Samuel
"Converse, Asa",,27 Feb 1812,"62y, died on the 19th"
"Coon, Capt. William",,24 Dec 1812,"Died on the 21st, left wife and small children"
"Corbin, Joseph","Late of Vergennes, VT",3 Sep 1813,Died Wed.
"Crofoot, Thomas","Bennington, VT",18 Feb 1813,88y
"Delameter, Phebe",Champlain?,21 Jan 1813,18y
"Dewey, Thomas",Died at Milton,7 Jan 1813,"52y, died on the 2nd"
"Dick, Samuel, Esq.","Salem, NJ?",18 Feb 1813,"72y, formerly mbr. provincial congress"
"Dorwin, widow","Hinesburgh, VT",25 Mar 1813,Widow of Thomas
"Dunning, Mr. & wife",Plattsburg?,21 Jan 1813,Buried in same grave
"Durcey, Mr.","Hinesburgh, VT",25 Mar 1813,45y
"Dutcher, James C., A.B.","Died at St. Albans, VT",6 May 1813,"21y, died on the 1st?, left wife, parents, siblings"
"Eastman, child",Salem,7 Jan 1813,"2y, s/o Peter, died on the 3rd"
"Eaton, Ebner","Of Underhill, died at Govenear (Gouverneur)",6 May 1813,"62y, performing journey at Sackets Harbor in service of the U.S."
"Fargo, Aaron","Died at Huntington, VT",24 Dec 1812,83y
"Farrand, Samuel and wife","Hinesburgh, VT",25 Mar 1813,
"Garrard, Mr.","Smythtown, L.I.?",18 Feb 1813,"106y, died on the 17th"
"Gilbert, Ebenezer","Of Enosburg, VT; died at Swanton, VT",4 Feb 1813,"Died 25 January of liver disease, sophomore class at Univ. VT at Burlington; notice to papers in CT"
"Gouge, Thomas","Middletown, CT",18 Feb 1813,81y?
"Gould, Henry Jr.",Rutland?,18 Feb 1813,"23y?, died on Friday the 5th"
"Hack, Mr.","Brandon, VT",18 Feb 1813,50y
"Harney, Louis","Champlain, NY",18 Feb 1813,"103y, died on the 16th, had 24 children by 1 wife"
"Hart, John",,31 Dec 1812,"19y, died the 29th, U.S. service, parents lived in the South"
"Hayes, Harriot Louisa","Died at St. Albans, VT",5 Nov 1812,"21y, former preceptres of the Academy, lately preceptres at St. Albans Academy"
"Hixon, Mrs. Johanna","Newington, VT",18 Feb 1813,105y
"Hodges, James","Peru, VT",18 Feb 1813,"32y, died on the 4th"
"Hoit? Holt?, Timothy","Died at St. Albans, VT",21 May 1812,"19y, died on the 7th, s/o Jonathan, Esq.; mbr sophomore class at Middlebury College"
"Holbut?, Salley","Hinesburgh, VT",25 Mar 1813,d/o Isaac
"Holister, Besty Ann","Hinesburgh, VT",25 Mar 1813,d/o Stephen
"Holt, John",Greenfield,24 Dec 1812,"47y, died on the 15th"
"Honeywood, John, Esq.",Washington Co.,3 Sep 1798,Died Sat.
"Hoose?, Barnabus",Salem?,7 Jan 1813,"46y, died on the 4th"
"Hosford, Aaron","Poultney, VT",18 Feb 1813,Died recently
"Houghton, Mrs. Carolina",Champlain?,21 Jan 1813,25y
"Howe, John, Esq.",Plattsburg?,21 Jan 1813,"68y, died the 5th"
"Hyde, Ashael","Died at Georgia, VT",31 Dec 1812,Died the 25th
"Hyde, Henry","Poultney, VT",18 Feb 1813,"66y, died on the 30th, taken sick on same day as wife, interred in same grave"
"Hyde, Mrs. Sherina","Poultney, VT",18 Feb 1813,"57y, wife of Henry, died on the 28th"
Irish? Master King,"Poultney, VT",18 Feb 1813,"15y, died on the 1st"
"Jackson, Anton?",,4 Feb 1813,"23y, died on the 2nd"
"Jewel, Mrs. Elizabeth","Of Richmond, VT",12 Nov 1812,"65y, drowned crossing the Onion River in Bolton"
"Johnson, Averis","Died at Essex, VT",12 Mar 1812,"17y, died Sunday, along with Lorena Atherton"
"Johnson, Daniel",Champlain?,21 Jan 1813,54y
"Jourdon, Darius","Castleton, VT",18 Feb 1813,20y?
"Joy, child",Salem?,18 Feb 1813,Child of Majerry Joy
"Kellogg, child",Salem,7 Jan 1813,"13y, s/o Noadiah, died on the 1st"
"Kinyon, Mrs.","Hinesburgh, VT",25 Mar 1813,75y
"Knights, child",Rutland?,18 Feb 1813,"6y, child of Ephraim, died on the 5th"
"Knights, child",Rutland?,18 Feb 1813,"1y, child of Ephraim, died on the 7th"
"Lane, Jenny",Champlain?,21 Jan 1813,Wife of John
"Lansing, John",Watervliet,18 Feb 1813,96y
"Love, child","Hinesburgh, VT",25 Mar 1813,s/o Alexander
"Lyman, child",Salem?,18 Feb 1813,Child of E. Lyman
"Lyman, Ebenezer",Salem,18 Mar 1813,"63y, died Sunday the 7th; Ebenezer Jr. died the 13th age 33y, wife Anne died the 14th age 62y; вЂњseized with the alarming epidemicвЂќ"
"Manning, Maria",Chazy?,21 Jan 1813,"d/o John, Esq. of Hemmingford, LC (lower Canada)"
"Mansfield, Mrs.",Milton,4 Feb 1813,"Died on the 29th, wife of A?isa?"
"Marsh, Polly",Salem,11 Mar 1813,"Wife of Nathan, died Tues."
"Marvin, Jared & wife",Champlain?,21 Jan 1813,
"Mason, Anson",,24 Dec 1812,Died on the 19th
"McDonalds, Master Morris","Brandon, VT",18 Feb 1813,"15y, died on the 27th"
"McDonalds, Mrs. Mary","Brandon, VT",18 Feb 1813,"57y, died on the 22nd"
"McEuene?, George, Esq.","Hinesburgh, VT",25 Mar 1813,"58y, died a few weeks ago"
"Miles, Mrs.","Hinesburgh, VT",25 Mar 1813,Wife of John
"Miller, ___",Died at Wilton,31 Dec 1812,"Died the 24th, child of Elisha, Esq."
"Miner, Luther","Died at Shelburne, VT",2 July 1813,"28y, died on Tues of a lingering illness of 8 months"
"Morgan, child","Brandon, VT",18 Feb 1813,"3y, died on the 16th"
"Morgan, child","Brandon, VT",18 Feb 1813,Died on the 29th
"Morgan, Mr.",Salem,18 Feb 1813,"Died last week, late from Plattsburgh"
"Moses, Fanne","Hinesburgh, VT",25 Mar 1813,d/o Jonathan
"Moulton, Mrs. Jane","Castleton, VT",18 Feb 1813,"32y, wife of Samuel, sister to Hon. Samuel Sh_?"
"Newell, Deacon Samuel","Died at Champlain, NY",21 Jan 1813,"46y, died a few weeks ago?"
"Newell, Mrs.","Died at Charlotte, VT",31 Dec 1812,Wife of Capt. Nathaniel
"Noble, Julia","Died at St. Albans, VT",23 July 1812,"19y?, died on the 15th"
"Noyes, Sarah (widow)","Bradford, VT",18 Feb 1813,80y
"Ormsby, ___",Salem,31 Dec 1812,Died the 24th
"Parsons, Ludlum, Esq.","Castleton, VT",18 Feb 1813,60y
"Peck, Frances C.",Salem,25 Mar 1813,"3y,5m, only d/o Dr. John"
"Peck, Mrs. Mary Ann","Hinesburgh, VT",25 Mar 1813,80y
"Peters, Mrs.",Plattsburg?,21 Jan 1813,Wife of David
"Poor, Hannah; and mother Elizabeth Poor","Rutland, VT",18 Feb 1813,"?y, died on the 30th, d/o William; also WilliamвЂ™s wife Elizabeth died on the 3rd, age 47y"
"Pratt, Mrs. Pheebe",Troy,20 Aug 1798,"55y, wife of Peter, died Tues., sermon by Rev. Jonas Coe"
"Read, Mrs.","Died at Shelburne, VT",31 Dec 1812,"Died the 28th, wife of Joshua"
"Reed, Elisha",Salem,3 Sep 1813,"45y, died Mon."
"Sanders, Eliza C.",Salem,31 Dec 1812,"2y,4m, died the 22nd, youngest child of Rev. Daniel C., D.D., Pres of Univ. of VT"
"Smith, Hon. Noah",Died at Milton,31 Dec 1812,Died the 23rd
"Smith, Mrs.",Plattsburg,18 Feb 1813,"Died on the 6th, wife of James"
"Smith, Samuel","Died at Essex, VT",3 Sep 1813,"53y, died on the 2nd"
"Smyth, Floyd","Smythtown, L.I.",18 Feb 1813,"100y, died on the 15th"
"Soule, John",Champlain?,21 Jan 1813,38y
"Spalding, John","Hinesburgh, VT",25 Mar 1813,s/o Josiah
"Sparhawk, Mrs. Sally","Died at Richmond, VT",31 Dec 1812,"20y, died the 6th"
"Stames, Mrs. Judah","Hinesburgh, VT",25 Mar 1813,Wife of Peter
"Stearns, Pierce",Died at Wilton,31 Dec 1812,Died the 25th
"Steele, Elijah",Albany,18 Feb 1813,77y
"Thurber, John",Champlain?,21 Jan 1813,48y
"Tilliston, Ed. H.",New York City,18 Feb 1813,Midshipman
"Toby, Capt. Sylvanus",Salem,31 Dec 1812,Died the 24th
"Tracy, Lucius","Brandon, VT",18 Feb 1813,"23y, died on the 10th"
"Van de Vin??, Mrs. Marcia Catherine",New York City,18 Feb 1813,"23y, wife of Lt. Van de Vin?, d/o Capt. Samuel Kellogg of Williamstown, MA"
"Van Hook, Arondt",,24 Sep 1798,"49y, died Mon. of fever & painful illness, dated 13 Sep."
"Vaughan, Mrs. Silvina",Plattsburg?,21 Jan 1813,Wife of Benjamin
"Walker, Capt. William",VT? Or Salem,14 Jan 1813,"Died Thurs the 31st, 25th Regt Infantry, funeral at house of Maj. Johnson in Burlington"
"Walworth, Mrs. Sarah",Plattsburg,18 Feb 1813,"Died on the 8th, wife of Capt. John of U.S. Infantry, d/o Col. Simonds?"
"Ward, Calvin",Rutland?,18 Feb 1813,"Died on the 6th, s/o Jabez"
"Warrener, Ebenezer","Springfield, VT",18 Feb 1813,93y
"Wattles, Nathaniel, Esq.",Albany,8 Jan 1798,"Died Tues. of paralytic stroke, buried at New Presbyterian Church burying ground, mbr of Delaware Co. assembly, mbr Masonic lodge"
"Webster, Zephaniah; plus wife Huldah and child Zephaniah",,9 Oct 1798,"Printer, died 21 Sept"
"Whitmore, child",Salem?,18 Feb 1813,Child of John P. Whitmore
"Willard, child",Salem?,18 Feb 1813,Child of D. Willard
"Willet, Polly",Chazy?,21 Jan 1813,Left several small children
