Date,Comments,Name,,Vote
"Jan 4, 2012","I've had to pause at two different parts, and I'm still only just about at the end at 54th minute. Only thing to say is WOW. Just Wow. Um. Wow.Uhhh....""Whoa."" Princess, you are now a Queen/King. The realest moments are the hottest when you heard about getting two cocks and could barely muster ""Two...cocks?"" At other times (and I say this with no offense and in a positive way) absolute drivel was coming out of your mouth in fragments. Epic jibberish that Billy Madison would bow his cap to. lol.",ahyeah,,Great! (5)
"Jan 4, 2012",WOW!,looniearndt23426,,Great! (5)
"Jan 4, 2012","Foot worship? Really? Got a one track mind there... Donna is amazing, as always, and having the other girls there really added to the fun. You have now set the bar very high, and I hope that the folks at the Armory are up to the challenge.",DaunBurnel,,Great! (5)
"Jan 4, 2012","Anyone that wanted something else, or thought this was lacking, must have died some time ago. This was fantastic!! When Donna is starring in a film, it is guarenteed outstanding. I think I will have to watch this about 20 times so I can decide my favorite part. It's a tough job but I'm up to it (pun intended).",Bamaking,,Great! (5)
"Jan 4, 2012",in the interview at the end she is in shock. that face got beat too hard its swelling up. probably looked like prizefighter the next day.,zambot3,,Good (4)
"Jan 4, 2012",Outstanding shoot! Kudos to all and especially Princess Donna.,richa333,,Great! (5)
"Jan 4, 2012",one of the Best scene ever!!,oppa8899,,Great! (5)
"Jan 5, 2012",I liked the scene. No doubt. But I prefer PD as a mistress. If only another slave-girl could have endured what PD did here....I love PD to suffer things for sure...but I would love that to be just a part of her mistress role. Brilliant scene anyway,sisla76,,Good (4)
"Jan 5, 2012","this is the holy mother of all gangbangs! they need to make a new rating for this ""Princess Donna"" words can not describe this shoot! I bow down to the princess of porn.",littlebratt33,,Great! (5)
"Jan 5, 2012","PRINCESS DONA always sets the standards when she is in the shoot and she did with this one, It was almost to realistic you had to remind your self were it was being filmed and that MATT was there and everyone was looking out for each other and they are all profesinals and very good at what they do,PRINCESS DONA was fantastic and has shown us that she is a very sppecial young lady many thanks to all that made it happen jh/uk.",R1YAM,,Great! (5)
"Jan 5, 2012",This was a great scene. Good to see that Princess Donna take as good as she gives.,racerx20,,Great! (5)
"Jan 5, 2012","awesome, Princess Donna, you are the most incredible role player. I'd love to see you gangbanged by eight dildo toting gals next",sinc11,,Great! (5)
"Jan 5, 2012",Very intense scene with hard face slapping!!!,hfd54hg165e,,Great! (5)
"Jan 5, 2012",Awesome show!! Is this what happens to every girl who drinks Old Milwaukee beer? LOL Just kidding. Thanks to all the folks at Kink.com who made this show possible. I loved the takedown the best.,assfix,,Great! (5)
"Jan 5, 2012",This is why i dont leave this sight. The best yet.,loveroflife2,,Great! (5)
"Jan 5, 2012","Words can't adequately describe how great this production is; but they are all. I've. Got. When someone as sexy as Iona is more of a side dish than a main course, it's a great production. James Deen is amazing at somehow keeping tension and focus going among all the other talented guys. Not sure if this would work, but after seeing Nacho Vidal on S&S (Another amazing shoot!) I wonder how his super-aggressive style would work when paired with James's almost playful approach to topping. Can't wait for next week!",alludar,,Great! (5)
"Jan 5, 2012","Uh. Well. Really what can you say except for ""thank you Donna"" for putting yourself out there like that for us. It was crazy good.",loon,,Great! (5)
"Jan 5, 2012","I joined just for this scene and wasn't disappointed. I LOVED the unrelenting violent and frenzied sex and how Princess Donna was brutally manhandled and beaten and used as a ""fuck thing"". Face slapping is a favorite too so this update was extra special. Princess Donna - thank you so much! It may be asking too much but I hope this scene sets a benchmark for future updates!",minbari1,,Great! (5)
"Jan 5, 2012","That's what i call ROUGH SEX. PRINCESS DONNA, Fantastic shoot,great, great performances. I have never doubt that you are brave to face this challenge. It is hotter and sexiest than i have dreamed. A master piece or the best gang bang ever seen. Thank you so much PRINCESS DONNA and thanks to all the crew. special thanks to RAIN and IONA.",spider59,,Great! (5)
"Jan 5, 2012","Wow. That was so hot. That's the best shoot since Elise Graves. By the way, (in my opinion) the upside down, full throatfucking on the chair was what I've been waiting for - It would be cool to get some underneath shots of her upside-down face and eyes while she's having a cock fucking her throat. Congrats Donna!",Justinianus565,,Great! (5)
"Jan 5, 2012",Thank you Princess. You're Gorgeous!,davrom96,,Great! (5)
"Jan 5, 2012",I cannot WAIT to watch this one! This is the gold standard we've all been wishing for since the very beginning. Thanks Donna!,bee_hill,,Great! (5)
"Jan 5, 2012",holy shmokes. i've been corrupted to my very core.,mike1151,,Great! (5)
"Jan 5, 2012",OH MY HOLY FUCKIN SHIT ... PRINCESS DONNA you are AMAZING.... seeing u tied up would have been an extreme turn on for me and would have really pushed you and i know you could have taken it.... You r my Favorite as a sub and mistress and greatest turn on and always will be... GODDESS DONNA is more apropriate...,fish74,,Great! (5)
"Jan 6, 2012",Girl takes a hell of a beating Fucking A,snatchhunter,,Great! (5)
"Jan 6, 2012",Amazing! What a trooper Princess Donna is! Unbelievably hot...,lotusdrops,,Great! (5)
"Jan 6, 2012",That was just amazing and Donna you set the bar 100 times higher than anyone ever thought. Rain and Gracie your efforts added to the shoot. Thanks everyone and I am betting no one can top that shoot???,richm1957,,Great! (5)
"Jan 6, 2012",OMG! Saying Amazing isn't doing this justice!! Great! Stupendous! Fantastic! Stupendous! Great job! Thank you for this one!,lonewolf82007,,Great! (5)
"Jan 6, 2012","Have to agree with someone else who said poor Donna looked pretty rough at the end. She could barely speak. Hope she rested up afterwards. I sometimes wish I could sit down and talk with her and some of the other girls on here to see what they really think about doing these videos and bdsm in general. I can't say I've ever been in a situation like this (and it is a wonder she wasn't gang raped in real life) but I do have some extreme fantasies myself as a woman. I gotta say though, I'm not sure I could ever handle anything this rough. It was pretty out there. Still, in a weird way I see it as something to aspire to. But maybe the sex and submission shoots would be more my pace right now in real life, lol! Anyway, great job Princess, but I gotta give the video itself just a 'good' rating as this was a bit over the top. Hey, I'm not dumb. I know most of your subscribers are guys. Still, there are some of us girls out there who do have gangbang or other bdsm fantasies. I guess I'd like to see more shoots with good stories catering to us where the action isn't quite so extreme. I may not be explaining myself very well. Nothing in and of itself in this shoot was too extreme, I guess, but taken all together it seemed a bit much. Lots of choking, face slapping, being tossed around hard, etc--too over the top when it was all put together. Then again, I know that is Donna's style moreso than anyone else on here (except maybe Lorelei). Ok, I'll quit rambling now. I think the scene messed with my head a bit too much.",kinkysubslut,,Good (4)
"Jan 6, 2012",Speechless.,siya1369,,Great! (5)
"Jan 6, 2012",Awesome,simplyq51,,Great! (5)
"Jan 6, 2012",Donna you are the dirtiest slut ever!!! Great show!!!,sotomoto64,,Great! (5)
"Jan 6, 2012",Big respect to the uncrowned Queen of BDSM. Great performance by Princess Donna again as in all of the shoots she does for you as always.,menips,,Great! (5)
"Jan 6, 2012","did u not have a mersee sign or word ,,,or did u not bother to use it... wow great fuck down",Albertaman,,Great! (5)
"Jan 6, 2012",Princess Pain knows how to take as well as dish out. most real attitude out there. much props to the Princess,strangeheadz,,Great! (5)
"Jan 6, 2012",An inspiration. I really have to 2+ this year,3cockguy,,Great! (5)
"Jan 6, 2012",I am impressed shitless! Another milestone!,Katrin_Horn,,Great! (5)
"Jan 6, 2012","I've a feeling chills all along this shoot intensive,phenomenal!Thank you Princess.XXXXXXXXXXXXXXXXXXXXXX",woolfdenice,,Great! (5)
"Jan 7, 2012",really hot. slapping. atp. atm. love the dp moaning wailing. so submissive. I want to see a lot more of Princess Donna like this ! I'm going to be hard all year now !,BONNIEDP,,Great! (5)
"Jan 7, 2012","Whole lotta love for DONNA! Great++5* is not enough! Manny of us dream about Donna in kinky gangbang Manny of us ask kink.com for Donna in gangbang kink in comments Manny of us write for it at kinky Santa Klaus And Donna did it! Rough as possible, most impressive is how Princess donna take part of her long time experience with those reliables partners to push herself closer to her limits. (Look for small stop and start signs from Donna during hotest moments). For shure customer ask for more...??? With the success of this session and the number of new or renewed membership it drags to Kink.com the site can pay for Donna's upper-course in double anal and double vaginal...clamp games and other but its more an ""Armory style""..... Even if kink is the style put in the ""glamour"" part of pictures some classical ""full-exposed"" model front and back, wide open,with a clear background just something like an agency pornstar book... And a chalenge for all of us: run the pornstars website with a shop section offering ""custom video"": give her a link to Donna's bound gangbang and ask for the same show; then report us the start list for girl ready to try it...",phane951,,Great! (5)
"Jan 7, 2012","Great shoot, nothing much to add. One small issue though and I might be out numbered... but much less of the eye cum stuff would be great. Insta-boner killer.",fishguy,,Great! (5)
"Jan 7, 2012","I agree with fishguy. The eye thing may be submissive, butisn't at all sexy. Otherwise great sex!. The addition of the 2 other girls was a bit distracting. How do a bunch of guys crash a party and take advantage of the hostess, then when ththey take her inside, there's 2 girls already being fucked? Loved the face slapping! Go Donna!",heavyhand,,Great! (5)
"Jan 7, 2012","Give credit to the guys who challenged Princess to the max. That made her rebellion all the hotter, because she was asking for MORE INTENSITY! Cumming in the eyes is a Japanese bukake thing and a turn-on. The Princess is the Queen, setting the standard for other subs!!!",drummer5,,Great! (5)
"Jan 7, 2012","I am at a complete loss for words. I never would have thought I would find a video shoot of this content and intensity so erotic. Then again, we had the worlds hottest adult film star, the worlds most talented director, surrounded by the best talent in the industry. OK, that explains it. Most sincere thanks to all involved. bkmax052",bkmax052,,Great! (5)
"Jan 7, 2012","Incredible, amazing... just wow. My dom bought me a membership on this site for Christmas and this video does not disappoint. Even from a girly point of view it was incredibly. I love you Princess Donna!! xoxoxo",PleaseFillMyAssMister,,Great! (5)
"Jan 8, 2012",c'est Г©norme !!!!,Ph33Dp,,Great! (5)
"Jan 8, 2012","That's really, really the best ! Great job Donna ! Thanx to everybody beeing involved making this great film, and thanx to the house of course. It's a wonderful family of kinky people! P.",SIRPE,,Great! (5)
"Jan 9, 2012","just one step more, schave er head!",ledresseur,,Great! (5)
"Jan 9, 2012","I was breathless at the end. I had to stop several times to breathe. Beautiful work, in fact the best!",justhiny,,Great! (5)
"Jan 9, 2012","awesome scene. having 8 guys and the fisting were great. also the set up was the best, great abduction. only bad things i can say is no double anal and the like the girl inverter better",atlass420,,Great! (5)
"Jan 10, 2012",awesome performance by Princess Donna. She gives everything to her role and really gets into it to make it as realistic as possible. A fantastic role model to all others. Fantastic stuff!,rudifahrer,,Great! (5)
"Jan 10, 2012","a very good destruction! just one regret, next time make her full nude: schave her head!",ledresseur,,Great! (5)
"Jan 10, 2012","""make me"" Then pow pow/ slap slap.. Goddamn woman!! Epic!!",iwantjamesdeen,,Great! (5)
"Jan 10, 2012","Absolutely fantastic scene - you have here clearly got past a certain limit in intensity and violence. Great to see Karlo Karrera and Christian Wilde being part of that scene. It is a pity though that Christian stays a little aside from the rest of the gang. Don't be shy, you are as fantastic as them - even more sometimes.",claude40,,Great! (5)
"Jan 10, 2012","The best rapefantasy i ever seen. Love the hard and intence faceslappin. Only distaction,the two other sluts",lenjan,,Great! (5)
"Jan 13, 2012",awesome!!!!!!!!!!!!!!!!,lsea,,Great! (5)
"Jan 14, 2012",Princess Donna that was damn fine piece of work.,sgd8202,,Great! (5)
"Jan 15, 2012","Donna, you are simply awesome. My panties are drenched...",wetvenus,,Great! (5)
"Jan 15, 2012",Why do these women only exist in these sites I want to experience this to for the first tiime how do I find one in my area or gett involved in your site exp. Im in phx az ericvirak@yahoo.com,ericedv,,Great! (5)
"Jan 17, 2012",I'm a gay guy who used to subscribe to Bound Gods and out of out of curiosity found myself viewing some trailers on this site. Fuck me!! I thought Bound Gods had some good stuff but after watching this I'm now hooked and have subscribed. Great looking guys and girls and some seriously hot stuff that anyone can get off to. It makes the gay stuff look tame! Truly incredible.,johnnyb40,,Great! (5)
"Jan 17, 2012",OUTFUCKINGSTANDING!!!!! I dropped my membership a couple of months ago because I thought it had gotten to tame but when I saw the trailer for this scene I had to resubscribe.PD you have just delivered one of the best if not THE BEST performances in the history of porn!! The intensity of the shoot was unbelievable and I truly thank you for taking one for the team.LOVED the faceslapping!! If the rest of the updates are as half as good as this one then I'll be a member for life. Again THANK YOU!!,jailbird73,,Great! (5)
"Jan 19, 2012",been watching gangbangs for years...this is by far the best EVER i have seen....,abhikm,,Great! (5)
"Jan 23, 2012",this video was epic princess Donna Dolore you were near perfection i now have to recreate a similar scene with my submissive pet i may bring in her friends as fluffers as well JUST FUCKING EPIC,wolfmaster86,,Great! (5)
"Jan 26, 2012",Not keen on the face slapping. Everything else was excellent!,dkidd,,Great! (5)
"Jan 26, 2012","Donna you made me proud!! You a hard core gang bang bitch now honey, yeaah!!!",gangbangbitch,,Great! (5)
"Jan 27, 2012",Cum in eyes ! Stop that imediately !,trodou,,Great! (5)
"Jan 27, 2012",Princess Donna you are Simply Amazing!!,spider1971,,Great! (5)
"Jan 28, 2012","Slapping face, pulling around by grabbing her hair, fucking all her dirty holes, using her like a big piece of sexflesh - and all that with the incredibly beautiful Princess Donna - I am overwehelmed. Every time when I switch one of the downloaded videos on, I only need several seconds to have a stiff one - and not many seconds later I shoot a huge load! Thank you, Donna. You don't know me, but I am a German man adoring you!",Bukkakefan01,,Great! (5)
"Jan 31, 2012","I have never, repeat NEVER, witnessed that level of brutality in a fantasy forced-sex scenario. I'm at a loss as to how Princess Donna - or anyone for that matter - could possibly have endured it. I noticed her using the safe sign with her right hand several times during the chair scene when she was clearly unable to breathe and wonder whether this might not just have been too extreme, even for consensual participants. At the end she appeared distressed, notwithstanding her comments. All in all way too heavy for my taste.",DoctorDan,,Poor (1)
"Feb 2, 2012","DoctorDan, Thank you for expressing your concern for my well being. However, like I said in the end interview, I had the time of my life. Thanks xo Donna",princessdonna,,Great! (5)
"Feb 2, 2012","Princess Donna ,you rock",firehosefreddie,,Great! (5)
"Feb 2, 2012",Princess Donna - you are the Rafael Nadal of porn and have taken things to a whole new level. Legendary shoot. RESPECT.,bigbadbootydaddy,,Great! (5)
"Feb 3, 2012",Princess Donna needs to swallow the cum in her next scene,rimmeyd,,Great! (5)
"Feb 9, 2012","One of my *many* kinks (lucky me :) - is beautiful women who enjoy crossing the sexual boundaries - playing arousing games to ecstatic extremes - mind and body totally immersed in the experience. Male-female partnership can make the worst fantasy scenario glamorous - that's why its erotic to me - because I know its been set up so - Hollywood handsome hung men plus gorgeous girls - I can relax and sink into the dark side of erotica with intense pleasure - yet still feel comfortable that I'm the chivalrous hero in rl. Thank you Princess Donna! Brilliant set, wonderful courage to play the game. Love you and the Freedom Frontier you've created here.",CyPh1,,Great! (5)
"Feb 10, 2012","Indeed one of the best ones in this series! More like this, please, more brutal!!!!!!",dom4slut9,,Great! (5)
"Feb 13, 2012",Yowsuh!,Skydawg,,Great! (5)
"Feb 14, 2012",I don't know If I'm gonna watch porn again. This Gang Bang flipped a switch. I am into cute love story porn from the 70's now.,kris1983,,Great! (5)
"Feb 15, 2012",Can you say perfect for my eyes! What turns me on is grunting because I've done it myself with a partner. All the way through just grunting so into it makes want to get it that hard. If anyone can bring it like that I'm game. But this Donna is so truly hot it made me wet and actually want to touch myself. It had a little bit of everything and I enjoyed it so much but that was the best of the best!!!,sharlenesueparkman,,Great! (5)
"Feb 15, 2012",Freaking amazing. Definition of hardcore; Princess Donna.,perv69,,Great! (5)
"Feb 18, 2012",No ONE is better than Princess Donna...love you girl,mistresslela,,Great! (5)
"Feb 19, 2012",What i love about this one is it actually looks like a real gang bang. Awesome job!,phaz,,Great! (5)
"Feb 19, 2012","She did really good, but it was a little too hardcore for my liking. I felt bad for her when they came her eyes. I hope she went home & took a long hot bath after that. Good job Donna.",rockyhorrorpictureshow,,Good (4)
"Feb 23, 2012","WOW!!!! I'm not done yet I lost it about minute 24 when she squirted all over the place, damn that was hot, tied up facefucked and squirting. Thanks again, this is the best site I have ever joined.",satyr1968,,Great! (5)
"Feb 24, 2012",oh my goodnessssss WOW amazing scene ever!!!! i love you princess Donna,muttcha,,Great! (5)
"Feb 24, 2012",Truly incredible.,ironman92,,Great! (5)
"Feb 26, 2012","Princess Donna this was . . .in the strict terms of a gangbang, I can't imagine anything going farther and not being a crime. I'm awesomely impressed...I think. This is a level of commitment that's rather stunning. At the same time I'm a bit disturbed that only one other person mentioned that this was rather brutal. Don't get me wrong, within certain lines I full on believe consenting adults can do whatever the hell they want. It's more so the perception of it I guess. You get 20 people in a room and ask anything you'd get like 18 opinions. Without fail, everyone here gave a great with only one other raising the fair suggestion that this was a bit . . .rough. There has to be a demarcation point between .... I guess I'm asking where's the line? Not saying this was it; again the consenting adults thing, but wow.",bnewbie,,Great! (5)
"Feb 26, 2012","I know what it is! With the different sites, we get accustomed to the personalities you guys put forth. In some sense it makes us feel we know you all on some level; particularly when people reoccur. For myself, I like it when a DOM plays the sub every so often. It's bad ass when one is put through their paces, but the familiarity, accurate or not, breeds a certain level of concern. As a gangbang, this was amazing. As a person watching it... a bit concerned. I guess it was the character break when you called James by his name. I imagine you all know each other though and he wouldn't knowingly injure you. Sorry for the second reply. Crossed my mind after the fact.",bnewbie,,Great! (5)
"Feb 26, 2012",about time!! My wifes life fantacy!! She wants to join this site to participate live!! How does one go about it??? From Australia??,fredanddragon,,Great! (5)
"Feb 27, 2012","Best gangbang ever done ! And nothing will ever be as hard as this was ! But Tell me donna, is it only me ? But you and your girls seems a little sad at then end we kinda feel a strange vibe ... were you feeling good after it ? I guess its a normal reaction ... Love you ! xxx",Hellavenger,,Great! (5)
"Feb 29, 2012","OMG. wow, princess donna u are a maniac. i love it. i just wish i coulda have participated in one of the best gangbangs i have seen. you r amazing and i want to thank you for what you do and keep up the great work. mike",mikeyjmikey,,Great! (5)
"Mar 1, 2012",very nice but i can not donwload how must i do ?,alixnox,,Great! (5)
"Mar 1, 2012",Wow that is good stuff,ffats,,Great! (5)
"Mar 6, 2012",WOW. Princess Donna you are amazing. Not so sure I could go to the limits you have but damn you make a girl want to try! Thanks for the wonderful video!,subgirl2abuse,,Great! (5)
"Mar 7, 2012",Princess your are the best. I enjoy to see film with you very hard I saw often you in public disgrace. Very excinting keep goinng i am waiting fot a new gang kiss you i love you,alixnox,,Great! (5)
"Mar 11, 2012","some guys too much into choking than fucking, too much into slapping just to do it, not as punishment, but just to be doing it. I like forced performance better. This scene way too rough, no matter how much she got paid. Want my money back. I need to back down to four stars instead of five star shows. You guys play way to rough for me, though I like it pretty rough.",Yobster,,Below average (2)
"Mar 12, 2012","Super, i am wainting a new gang whith princess donna she is fantastic realy sexy and a good slut Alix from Belgium kiss for you Donna wpf2@hotmail.com",alixnox,,Great! (5)
"Mar 14, 2012","the action in my opinion move to o fast to focus ones attention and hence ones eyes upon any consistent energy flow, The actors were terrific and so on , my greatest critique is as a piece of mastabatory fantsy i ,personally prefer slowed action sustained energy and less of a frenetic pace.",drtony,,Fair (3)
"Mar 14, 2012","for those curious to know how much I got paid to do this shoot, the answer is NOTHING! I did it for FREE because getting fucked like that was payment enough for me! :)",princessdonna,,Great! (5)
"Mar 19, 2012",i love it. i think the best part of it is when she fights back. shes trying to get them to play more rough. she likes it to hurt. i came within minutes and im a lady. :],punkrawkchicka,,Great! (5)
"Mar 21, 2012",wow wow,antbank01,,Great! (5)
"Mar 22, 2012","Donna is without compare with this shoot. I cannot imagine anyone doing a better role play, this shoot is worth the price of membership by itself.Thank you Donna and all the KINK staff.This shoot sets the standard,which makes it tough on the other fine shoots.",flowerto,,Great! (5)
"Apr 2, 2012",Amazing!Mind- blowing. I could barely see 25 minutes of the movie and I came twice!! Great movie- really hard to find this quality out there.. Princess Donna- well done.. ;),victoriaperga,,Great! (5)
"Apr 3, 2012",In ancient history Genghis Khan would after invading countries set about impregnating the female population personally. Genetic tests prove this to be so. Princess you and the girls and boys went some way of replicating these historical scenes. We think you are all so fantastic!!,Bristol40,,Great! (5)
"Apr 6, 2012",Impresive.,monalizamo,,Great! (5)
"Apr 8, 2012","Great, but some of the hardcore scenes should be left to the pros. Amateurs may hurt each-other way too much. As Rain said mind-blowing. I stand in awe.",tyu689jkl,,Great! (5)
"Apr 15, 2012","You're so hot, Princess Donna!",eloque,,Great! (5)
"Apr 21, 2012",best,pathosandethos,,Great! (5)
"May 8, 2012",excelent!,Micro333,,Great! (5)
"May 11, 2012","just watching the trailer for this shoot made me subscribe and i was in no way dissapointed. this was the best shoot ive ever seen and it will take alot to beat it, but im sure that kink and princess donna can come up with something rougher and sexier, i dont think we saw the princess pushed to her limits, i cant wait to see whats next",dumbass154,,Great! (5)
"May 11, 2012","Princess, i would love to see you leading a gang of guys in abusing a girl who offended you but then the guys turn on you and abuse you both, could this ever happen? is there another model like you who can take that much abuse?",dumbass154,,Great! (5)
"May 18, 2012",full on!,freeborn2,,Great! (5)
"May 30, 2012","Uhhh...WOW! That's all...hard to think straight. Wow. Princess Donna, you are like the Superhero of Kink. Never have I seen a woman portray such strength and endurance while looking so fucking sexy. Why the hell is there no higher rating than weak-ass ""Great""? You are ""God Mode"" level. Respect and lust, all coming your way, Mighty Goddess.",Reddwarf12,,Great! (5)
"Jun 1, 2012","Honestly Great does not do this justice! Princess Donna you are Amazing! As a woman myself who love rough sex, all I can say is you are my idol! I had to rejoin this site just to see the video! I don't know how anyone could eve top this! I hope you do another one soon!",ScorpionSlut,,Great! (5)
"Jun 3, 2012",love this update because the princess is realy a great bdsm-wommen like her body like her intense work at kink and love the thousends sides of a realy goddess,winfried666,,Great! (5)
"Jun 3, 2012",Long live Princess Donna! Long live the Princess!,kake310,,Great! (5)
"Jun 16, 2012",Just the perfect scene to my eyes--beautiful woman getting pounded mercilessly. Princess Donna is beautiful and the anal and dp pounding she takes is just unbelievable. Thanks to all for producing one of the best mind blowing scenes!,vinpin08,,Great! (5)
"Jun 25, 2012","Princess Donna, I have been looking at you online for some time now and feel it appropriate to thank you for the pleasure that you have given me over the years. As a southerner where courtesy matters, it seems appropriate to thank you for the pleasure you have brought to me and to all who have watched you. Princess, I try not to spent too much time or much money on porn sites, yet time and again I find most often that when I do spend money here it is most frequently on a shoot that you are in. There are hundreds of beautiful and luscious young women on the Kink sites, each of whose bodies would be a delight to use. Yet the truth is that most of them are completely interchangeable and of no more than simply a body. Very few call strongly in any was or evoke any real interest or passion. Once you have watched them in a scene and moved on to the next body in the next scene, they are eminently forgettable. Yet that is not the case with you. What is it about a face or a person that calls so strongly to us? While I hardly can answer that in any definitive way it seems clear that two things area obvious. First is a sense of a strong personality, a powerful presence; a person of character, with a clear sense of who they are and their worth. It is what makes you watch one actor or dancer whenever they appear on stage or in a film no matter how many others are present. If I may quote to you a small part from a poem of mine from several years ago, perhaps this best explains my thoughts. When ancient Warriors Returned from Battle It was not some fearful Timid begging girl, Some palace slave, Broken and crying That they wished to drag Naked and crying In chains behind their Chariot. No, it was a Queen, Haughty and Tearful with Anger, Proud and defiant of her fate, Her exposed breasts thrust forward, Her head high, Wearing the ropes that bind her As if they were queenly garments Chosen with care to best Proclaim her Beauty. It is such a captive Queen, A fierce and prized Jewel Dazzling to the Eye, Beyond compare or Price That would best proclaim For all to see, The Power of the Warrior Whose chains she wore. It is such a Queen Dangerous with Lust That would fill the gazing eyes With envy for the Warrior Who held her captive. Surely Princess Donna that is you. Whether you are acting as a Dominant Mistress or are being enslaved, raped and abused, that is you. Your power and your presence always proclaim you as a force to be dealt with in whatever scene you are in or whatever role you are playing. You are the focus of our attention whenever you are on camera no matter in what role. In a scene with others, it is difficult to pay attention to anyone except you. The second thing that calls strongly is a face. Not some flawlessly beautiful yet bland face, but rather one that has both character, some sense of a unique and strong individuality and some honest and open vulnerability. What do I most want to SEE as you are being raped and tortured? Your face. The pain in it, the height of passion and desire it is capable of expressing, the tears and innocence as you beg whatever master is abusing you to please only give you more. The Innocence. What a strange word to use here, and yet that is exactly the right word. When you are helpless before others, your face is completely open and without guile. You do not hide your pain or your pleasure, or your desire, but rather let it take you completely. Your tears and your screams are completely unguarded and unrestrained. Nothing is more moving. What beauty! There is nothing more beautiful than your exhausted, tear-streaked face, especially when it is covered in Cum. Again thank you. As always I wait to see on screen again.",silktiedancer,,Great! (5)
"Jun 26, 2012","Amazing, mere words in ANY human language can't describe what a great gangbang slut Princess Donna is. She definately takes it as well as she dishes it out.",seeker61,,Great! (5)
"Jul 2, 2012","A work of art, a very well thought out shoot, with extras like the Cecil B De Mille of porn. The psychological element of there being two other women already held is a really horny idea which reinforces the idea that Donna doesn't stand a chance and Donna putting in a performance the equal of a prize fighter; what a woman.",CockandMe,,Great! (5)
"Jul 4, 2012",Amazing!!!,Wautschi,,Great! (5)
