Rk,Gm#,Date,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
103,103,"Monday, Jul 29",@,NYM,MIA,W,6,5,,47-56,4,12.5,Aardsma,Ramos,Parnell,3:26,N,"19,343",+
104,104,"Tuesday, Jul 30",@,NYM,MIA,W,4,2,10,48-56,4,12.5,Atchison,Cishek,Parnell,3:10,N,"23,408",++
105,105,"Wednesday, Jul 31",@,NYM,MIA,L,2,3,,48-57,4,13.5,Alvarez,Mejia,Dunn,2:50,N,"18,714",-
106,106,"Thursday, Aug 1",@,NYM,MIA,L,0,3,,48-58,4,14.5,Koehler,Harvey,Cishek,3:07,D,"25,916",--
107,107,"Friday, Aug 2",,NYM,KCR,W-wo,4,2,11,49-58,3,14.5,Torres,Mendoza,,4:07,N,"31,032",+
108,108,"Saturday, Aug 3",,NYM,KCR,L,3,4,12,49-59,3,15.5,Herrera,Aardsma,Holland,3:46,D,"25,095",-
109,109,"Sunday, Aug 4",,NYM,KCR,L,2,6,,49-60,3,16.5,Santana,Wheeler,,3:18,D,"25,658",--
110,110,"Tuesday, Aug 6",,NYM,COL,W,3,2,,50-60,3,17.0,Atchison,Lopez,Hawkins,3:19,N,"27,198",+
111,111,"Wednesday, Aug 7",,NYM,COL,W,5,0,,51-60,3,17.0,Harvey,Chacin,,2:20,N,"27,581",++
112,112,"Thursday, Aug 8",,NYM,COL,W,2,1,,52-60,3,16.5,Gee,Manship,Hawkins,2:44,D,"26,618",+++
113,113,"Friday, Aug 9",@,NYM,ARI,L-wo,4,5,,52-61,3,17.5,Ziegler,Atchison,,2:55,N,"25,187",-
114,114,"Saturday, Aug 10",@,NYM,ARI,W,4,1,,53-61,3,16.5,Wheeler,McCarthy,Hawkins,3:01,N,"42,450",+
115,115,"Sunday, Aug 11",@,NYM,ARI,W,9,5,,54-61,3,16.5,Niese,Spruill,,3:08,D,"28,260",++
116,116,"Monday, Aug 12",@,NYM,LAD,L,2,4,,54-62,3,16.5,Nolasco,Mejia,Jansen,2:49,N,"42,915",-
117,117,"Tuesday, Aug 13",@,NYM,LAD,L,2,4,,54-63,3,17.5,Ryu,Harvey,Jansen,2:39,N,"46,335",--
118,118,"Wednesday, Aug 14",@,NYM,LAD,L-wo,4,5,12,54-64,3,18.5,Rodriguez,Feliciano,,4:11,N,"44,091",---
119,119,"Thursday, Aug 15",@,NYM,SDP,W,4,1,,55-64,3,18.0,Atchison,Gregerson,Germen,3:04,N,"21,812",+
120,120,"Friday, Aug 16",@,NYM,SDP,W,5,2,,56-64,3,18.0,Niese,Kennedy,Hawkins,3:13,N,"25,604",++
121,121,"Saturday, Aug 17",@,NYM,SDP,L,2,8,,56-65,3,18.0,Volquez,Aardsma,,3:36,N,"36,974",-
122,122,"Sunday, Aug 18",@,NYM,SDP,L-wo,3,4,,56-66,3,19.0,Street,Feliciano,,2:49,D,"24,704",--
123,123,"Monday, Aug 19",@,NYM,MIN,W,6,1,,57-66,3,18.5,Gee,Gibson,,2:53,D,"30,913",+
124,124,"Tuesday, Aug 20",,NYM,ATL,W,5,3,,58-66,3,17.5,Wheeler,Beachy,Hawkins,3:05,N,"25,863",++
125,125,"Wednesday, Aug 21",,NYM,ATL,L,1,4,10,58-67,3,18.5,Avilan,Atchison,Kimbrel,3:05,D,"22,935",-
126,126,"Friday, Aug 23",,NYM,DET,L,1,6,,58-68,3,18.0,Fister,Matsuzaka,,2:57,N,"37,023",--
127,127,"Saturday, Aug 24",,NYM,DET,L,0,3,,58-69,3,18.0,Scherzer,Harvey,Benoit,3:10,D,"35,636",---
128,128,"Sunday, Aug 25",,NYM,DET,L,3,11,,58-70,3,19.0,Porcello,Gee,,3:16,D,"32,084",----
129,129,"Monday, Aug 26",,NYM,PHI,L,1,2,,58-71,4,19.5,Lee,Wheeler,Papelbon,2:53,N,"25,784",-----
130,130,"Tuesday, Aug 27",,NYM,PHI,W,5,0,,59-71,3,19.5,Niese,Kendrick,,2:19,N,"25,700",+
131,131,"Wednesday, Aug 28",,NYM,PHI,L,2,6,,59-72,4,20.5,Hamels,Matsuzaka,,3:32,N,"24,447",-
132,132,"Thursday, Aug 29",,NYM,PHI,W,11,3,,60-72,3,20.5,Torres,Martin,,3:12,D,"22,008",+
133,133,"Friday, Aug 30",@,NYM,WSN,W,3,2,,61-72,3,20.5,Gee,Zimmermann,Hawkins,2:25,N,"35,008",++
134,134,"Saturday, Aug 31",@,NYM,WSN,W,11,3,,62-72,3,20.5,Wheeler,Haren,,3:11,N,"34,481",+++
135,135,"Sunday, Sep 1",@,NYM,WSN,L,5,6,,62-73,3,20.5,Davis,Germen,Soriano,3:09,N,"28,995",-
136,136,"Monday, Sep 2",@,NYM,ATL,L,5,13,,62-74,3,21.5,Maholm,Matsuzaka,,3:41,D,"26,530",--
137,137,"Tuesday, Sep 3",@,NYM,ATL,L,1,3,,62-75,3,22.5,Medlen,Torres,Kimbrel,2:42,N,"21,221",---
138,138,"Wednesday, Sep 4",@,NYM,ATL,W,5,2,,63-75,3,21.5,Gee,Loe,Hawkins,3:01,D,"22,946",+
139,139,"Friday, Sep 6",@,NYM,CLE,L,1,8,,63-76,3,21.5,Kazmir,Wheeler,,2:58,N,"15,962",-
140,140,"Saturday, Sep 7",@,NYM,CLE,L,4,9,,63-77,4,21.5,Kluber,Niese,,2:56,N,"21,453",--
141,141,"Sunday, Sep 8",@,NYM,CLE,W,2,1,,64-77,4,20.5,Francisco,Perez,Hawkins,3:43,D,"13,317",+
142,142,"Monday, Sep 9",,NYM,WSN,L,0,9,,64-78,4,21.5,Gonzalez,Torres,,2:47,N,"20,174",-
143,143,"Tuesday, Sep 10",,NYM,WSN,L,3,6,,64-79,4,22.5,Zimmermann,Gee,Soriano,3:02,N,"20,307",--
144,144,"Wednesday, Sep 11",,NYM,WSN,L,0,3,,64-80,4,22.5,Haren,Wheeler,Soriano,2:49,N,"20,151",---
145,145,"Thursday, Sep 12",,NYM,WSN,L,2,7,,64-81,4,23.5,Roark,Harang,,2:56,D,"20,484",----
146,146,"Friday, Sep 13",,NYM,MIA,W,4,3,,65-81,4,22.5,Niese,Hand,Hawkins,2:30,N,"20,562",+
147,147,"Saturday, Sep 14 (1)",,NYM,MIA,L,0,3,,65-82,4,23.0,Alvarez,Torres,Cishek,2:53,D,0,-
148,148,"Saturday, Sep 14 (2)",,NYM,MIA,W,3,1,,66-82,4,23.0,Matsuzaka,Turner,Hawkins,2:47,N,"25,175",+
149,149,"Sunday, Sep 15",,NYM,MIA,W-wo,1,0,12,67-82,4,22.0,Black,Phillips,,3:37,D,"25,165",++
150,150,"Tuesday, Sep 17",,NYM,SFG,L,5,8,,67-83,4,21.5,Petit,Henn,,3:55,N,"24,343",-
Rk,Gm#,Date,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
151,151,"Wednesday, Sep 18",,NYM,SFG,W-wo,5,4,,68-83,4,21.5,Black,Romo,,3:11,N,"23,698",+
152,152,"Thursday, Sep 19",,NYM,SFG,L,1,2,,68-84,4,22.0,Bumgarner,Niese,Lopez,2:37,D,"22,897",-
153,153,"Friday, Sep 20",@,NYM,PHI,W,6,4,,69-84,4,22.0,Matsuzaka,Hamels,Hawkins,3:00,N,"33,117",+
154,154,"Saturday, Sep 21",@,NYM,PHI,W,5,4,7,70-84,4,21.0,Gee,Cloyd,,2:00,N,"36,650",++
155,155,"Sunday, Sep 22",@,NYM,PHI,W,4,3,,71-84,3,21.0,Torres,Lee,Hawkins,2:56,D,"44,398",+++
156,156,"Monday, Sep 23",@,NYM,CIN,L-wo,2,3,10,71-85,3,21.0,Parra,Burke,,3:42,N,"21,269",-
157,157,"Tuesday, Sep 24",@,NYM,CIN,W,4,2,,72-85,3,21.0,Niese,Leake,Black,3:01,N,"28,887",+
158,158,"Wednesday, Sep 25",@,NYM,CIN,W,1,0,,73-85,3,20.0,Matsuzaka,Latos,Hawkins,2:51,D,"26,223",++
159,159,"Thursday, Sep 26",,NYM,MIL,L,2,4,,73-86,3,21.0,Figaro,Gee,Henderson,3:04,N,"21,350",-
160,160,"Friday, Sep 27",,NYM,MIL,L,2,4,,73-87,3,22.0,Gallardo,Torres,Henderson,2:40,N,"25,276",--
161,161,"Saturday, Sep 28",,NYM,MIL,L,2,4,10,73-88,3,22.0,Hand,Atchison,Figaro,3:57,D,"29,326",---
162,162,"Sunday, Sep 29",,NYM,MIL,W,3,2,,74-88,3,22.0,Black,Kintzler,Francisco,2:23,D,"41,891",+
Rk,Gm#,Date,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
