Ticket,Summary,Component,Status,Resolution,Version,Type,Priority,Owner,Modified
#766,Pferdeversicherung,component2,new,None,1.0,task,trivial,somebody,08/20/10
#767,live chat,component2,new,None,1.0,task,trivial,somebody,08/20/10
#768,sex chat,component2,new,None,1.0,task,trivial,somebody,08/20/10
#769,Pferdeversicherung,component2,new,None,1.0,task,trivial,somebody,08/20/10
#770,Pferdeversicherung,component2,new,None,1.0,task,trivial,somebody,08/20/10
#771,Singel,component2,new,None,1.0,task,trivial,somebody,08/20/10
#772,Singelboerse,component2,new,None,1.0,task,trivial,somebody,08/20/10
#773,Singel,component2,new,None,1.0,task,trivial,somebody,08/20/10
#774,Spermasaft,component2,new,None,1.0,task,trivial,somebody,08/24/10
#775,Fickbilder,component2,new,None,1.0,task,trivial,somebody,08/24/10
#776,scat,component2,new,None,1.0,task,trivial,somebody,08/24/10
#777,Shit Bilder,component2,new,None,1.0,task,trivial,somebody,08/24/10
#778,cam2cam chat,component2,new,None,1.0,task,trivial,somebody,08/25/10
#779,Pferdeversicherung,component2,new,None,1.0,task,trivial,somebody,08/26/10
#780,Fickvideos,component2,new,None,1.0,task,trivial,somebody,08/26/10
#781,Fickvideos,component2,new,None,1.0,task,trivial,somebody,08/26/10
#782,Spermasaft,component2,new,None,1.0,task,trivial,somebody,08/27/10
#783,claripro free trial,component2,new,None,1.0,task,trivial,somebody,08/29/10
#784,claripro free trial,component2,new,None,1.0,task,trivial,somebody,08/29/10
#785,claripro free trial,component2,new,None,1.0,task,trivial,somebody,08/29/10
#786,claripro free trial,component2,new,None,1.0,task,trivial,somebody,08/29/10
#787,claripro free trial,component2,new,None,1.0,task,trivial,somebody,08/29/10
#788,claripro,component2,new,None,1.0,task,trivial,somebody,08/29/10
#789,claripro free trial,component2,new,None,1.0,task,trivial,somebody,08/29/10
