Date,Title/Description,Category,Type
02/14/2012,"Meeting Agenda - Revised - February 14, 2012",Commission - Agendas,pdf
06/14/2011,"Meeting Agenda - Revised - June 14, 2011",Commission - Agendas,pdf
03/27/2012,"Meeting Agenda - Revised - March 27, 2012",Commission - Agendas,pdf
09/13/2011,"Meeting Agenda - Revised - September 13, 2011",Commission - Agendas,pdf
09/11/2012,"Meeting Agenda - September 11, 2012",Commission - Agendas,pdf
09/11/2014,"Meeting Agenda - September 11, 2014",Commission - Agendas,pdf
09/12/2013,"Meeting Agenda - September 12, 2013",Commission - Agendas,pdf
09/13/2011,"Meeting Agenda - September 13, 2011",Commission - Agendas,pdf
09/14/2010,"Meeting Agenda - September 14, 2010",Commission - Agendas,pdf
09/21/2010,"Meeting Agenda - September 21, 2010",Commission - Agendas,pdf
09/25/2012,"Meeting Agenda - September 25, 2012",Commission - Agendas,pdf
09/25/2014,"Meeting Agenda - September 25, 2014",Commission - Agendas,pdf
09/26/2013,"Meeting Agenda - September 26, 2013",Commission - Agendas,pdf
09/27/2011,"Meeting Agenda - September 27, 2011",Commission - Agendas,pdf
09/28/2010,"Meeting Agenda - September 28, 2010",Commission - Agendas,pdf
09/07/2010,"Meeting Agenda - September 7, 2010",Commission - Agendas,pdf
03/08/2011,"Meeting Agenda - Updated - March 8, 2011",Commission - Agendas,pdf
01/23/2014,Commission District Map,Commission - Districts Map,pdf
,Jefferson County Commission Districts Map,Commission - Districts Map,pdf
04/10/2012,"Meeting Minutes - April 10, 2012",Commission - Minutes,pdf
04/10/2014,"Meeting Minutes - April 10, 2014",Commission - Minutes,pdf
04/11/2013,"Meeting Minutes - April 11, 2013",Commission - Minutes,pdf
04/12/2011,"Meeting Minutes - April 12, 2011",Commission - Minutes,pdf
04/23/2015,"Meeting Minutes - April 23, 2015",Commission - Minutes,pdf
04/24/2012,"Meeting Minutes - April 24, 2012",Commission - Minutes,pdf
04/24/2014,"Meeting Minutes - April 24, 2014",Commission - Minutes,pdf
04/25/2013,"Meeting Minutes - April 25, 2013",Commission - Minutes,pdf
04/26/2011,"Meeting Minutes - April 26, 2011",Commission - Minutes,pdf
04/09/2015,"Meeting Minutes - April 9, 2015",Commission - Minutes,pdf
08/10/2010,"Meeting Minutes - August 10, 2010",Commission - Minutes,pdf
08/14/2012,"Meeting Minutes - August 14, 2012",Commission - Minutes,pdf
08/14/2014,"Meeting Minutes - August 14, 2014",Commission - Minutes,pdf
08/15/2013,"Meeting Minutes - August 15, 2013",Commission - Minutes,pdf
08/17/2010,"Meeting Minutes - August 17, 2010",Commission - Minutes,pdf
08/23/2011,"Meeting Minutes - August 23, 2011",Commission - Minutes,pdf
08/24/2010,"Meeting Minutes - August 24, 2010",Commission - Minutes,pdf
08/28/2014,"Meeting Minutes - August 28, 2014",Commission - Minutes,pdf
08/28/2012,"Meeting Minutes - August 28,2012",Commission - Minutes,pdf
08/29/2013,"Meeting Minutes - August 29, 2013",Commission - Minutes,pdf
08/03/2010,"Meeting Minutes - August 3, 2010",Commission - Minutes,pdf
08/30/2011,"Meeting Minutes - August 30, 2011",Commission - Minutes,pdf
08/31/2010,"Meeting Minutes - August 31, 2010",Commission - Minutes,pdf
08/04/2011,"Meeting Minutes - August 4, 2011",Commission - Minutes,pdf
12/10/2012,"Meeting Minutes - December 10, 2012",Commission - Minutes,pdf
12/13/2011,"Meeting Minutes - December 13, 2011",Commission - Minutes,pdf
12/14/2010,"Meeting Minutes - December 14, 2010",Commission - Minutes,pdf
12/18/2014,"Meeting Minutes - December 18, 2014",Commission - Minutes,pdf
12/19/2013,"Meeting Minutes - December 19, 2013",Commission - Minutes,pdf
12/20/2012,"Meeting Minutes - December 20, 2012",Commission - Minutes,pdf
12/28/2010,"Meeting Minutes - December 28, 2010",Commission - Minutes,pdf
12/04/2013,"Meeting Minutes - December 4, 2013",Commission - Minutes,pdf
12/04/2014,"Meeting Minutes - December 4, 2014",Commission - Minutes,pdf
02/13/2014,"Meeting Minutes - February 13, 2014",Commission - Minutes,pdf
02/14/2012,"Meeting Minutes - February 14, 2012",Commission - Minutes,pdf
02/14/2013,"Meeting Minutes - February 14, 2013",Commission - Minutes,pdf
02/19/2015,"Meeting Minutes - February 19, 2015",Commission - Minutes,pdf
02/22/2011,"Meeting Minutes - February 22, 2011",Commission - Minutes,pdf
02/27/2014,"Meeting Minutes - February 27, 2014",Commission - Minutes,pdf
02/28/2012,"Meeting Minutes - February 28, 2012",Commission - Minutes,pdf
02/28/2013,"Meeting Minutes - February 28, 2013",Commission - Minutes,pdf
02/05/2015,"Meeting Minutes - February 5, 2015",Commission - Minutes,pdf
02/08/2011,"Meeting Minutes - February 8, 2011",Commission - Minutes,pdf
01/10/2012,"Meeting Minutes - January 10, 2012",Commission - Minutes,pdf
01/11/2011,"Meeting Minutes - January 11, 2011",Commission - Minutes,pdf
01/17/2013,"Meeting Minutes - January 17, 2013",Commission - Minutes,pdf
01/22/2015,"Meeting Minutes - January 22, 2015",Commission - Minutes,pdf
01/24/2012,"Meeting Minutes - January 24, 2012",Commission - Minutes,pdf
01/25/2011,"Meeting Minutes - January 25, 2011",Commission - Minutes,pdf
01/31/2013,"Meeting Minutes - January 31, 2013",Commission - Minutes,pdf
01/31/2014,"Meeting Minutes - January 31, 2014",Commission - Minutes,pdf
01/08/2015,"Meeting Minutes - January 8, 2015",Commission - Minutes,pdf
01/09/2014,"Meeting Minutes - January 9, 2014",Commission - Minutes,pdf
07/10/2014,"Meeting Minutes - July 10, 2014",Commission - Minutes,pdf
07/11/2013,"Meeting Minutes - July 11, 2013",Commission - Minutes,pdf
07/12/2011,"Meeting Minutes - July 12, 2011",Commission - Minutes,pdf
07/17/2012,"Meeting Minutes - July 17, 2012",Commission - Minutes,pdf
07/20/2010,"Meeting Minutes - July 20, 2010",Commission - Minutes,pdf
07/21/2011,"Meeting Minutes - July 21, 2011",Commission - Minutes,pdf
07/24/2014,"Meeting Minutes - July 24, 2014",Commission - Minutes,pdf
07/25/2013,"Meeting Minutes - July 25, 2013",Commission - Minutes,pdf
07/26/2011,"Meeting Minutes - July 26, 2011",Commission - Minutes,pdf
07/27/2010,"Meeting Minutes - July 27, 2010",Commission - Minutes,pdf
07/31/2012,"Meeting Minutes - July 31, 2012",Commission - Minutes,pdf
07/06/2010,"Meeting Minutes - July 6, 2010",Commission - Minutes,pdf
06/11/2014,"Meeting Minutes - June 11, 2014",Commission - Minutes,pdf
06/12/2012,"Meeting Minutes - June 12, 2012",Commission - Minutes,pdf
06/13/2013,"Meeting Minutes - June 13, 2013",Commission - Minutes,pdf
06/14/2011,"Meeting Minutes - June 14, 2011",Commission - Minutes,pdf
06/15/2010,"Meeting Minutes - June 15, 2010",Commission - Minutes,pdf
06/18/2015,"Meeting Minutes - June 18, 2015",Commission - Minutes,pdf
06/22/2010,"Meeting Minutes - June 22, 2010",Commission - Minutes,pdf
06/26/2012,"Meeting Minutes - June 26, 2012",Commission - Minutes,pdf
06/26/2014,"Meeting Minutes - June 26, 2014",Commission - Minutes,pdf
06/27/2013,"Meeting Minutes - June 27, 2013",Commission - Minutes,pdf
06/28/2011,"Meeting Minutes - June 28, 2011",Commission - Minutes,pdf
06/04/2015,"Meeting Minutes - June 4, 2015",Commission - Minutes,pdf
03/13/2012,"Meeting Minutes - March 13, 2012",Commission - Minutes,pdf
03/13/2014,"Meeting Minutes - March 13, 2014",Commission - Minutes,pdf
03/14/2013,"Meeting Minutes - March 14, 2013",Commission - Minutes,pdf
03/19/2015,"Meeting Minutes - March 19,2015",Commission - Minutes,pdf
03/22/2011,"Meeting Minutes - March 22, 2011",Commission - Minutes,pdf
03/27/2014,"Meeting Minutes - March 27, 2014",Commission - Minutes,pdf
03/28/2013,"Meeting Minutes - March 28, 2013",Commission - Minutes,pdf
03/05/2015,"Meeting Minutes - March 5, 2015",Commission - Minutes,pdf
03/08/2011,"Meeting Minutes - March 8, 2011",Commission - Minutes,pdf
05/10/2011,"Meeting Minutes - May 10, 2011",Commission - Minutes,pdf
05/14/2012,"Meeting Minutes - May 14, 2012",Commission - Minutes,pdf
05/16/2013,"Meeting Minutes - May 16, 2013",Commission - Minutes,pdf
05/21/2015,"Meeting Minutes - May 21, 2015",Commission - Minutes,pdf
05/22/2012,"Meeting Minutes - May 22, 2012",Commission - Minutes,pdf
05/22/2014,"Meeting Minutes - May 22, 2014",Commission - Minutes,pdf
05/24/2011,"Meeting Minutes - May 24, 2011",Commission - Minutes,pdf
05/30/2013,"Meeting Minutes - May 30, 2013",Commission - Minutes,pdf
05/07/2015,"Meeting Minutes - May 7, 2015",Commission - Minutes,pdf
05/08/2014,"Meeting Minutes - May 8, 2014",Commission - Minutes,pdf
11/10/2010,"Meeting Minutes - November 10, 2010",Commission - Minutes,pdf
11/12/2014,"Meeting Minutes - November 12, 2014",Commission - Minutes,pdf
11/14/2012,"Meeting Minutes - November 14, 2012",Commission - Minutes,pdf
11/02/2010,"Meeting Minutes - November 2, 2010",Commission - Minutes,pdf
11/20/2014,"Meeting Minutes - November 20, 2014",Commission - Minutes,pdf
11/22/2011,"Meeting Minutes - November 22, 2011",Commission - Minutes,pdf
11/23/2010,"Meeting Minutes - November 23, 2010",Commission - Minutes,pdf
11/26/2013,"Meeting Minutes - November 26, 2013",Commission - Minutes,pdf
11/27/2012,"Meeting Minutes - November 27, 2012",Commission - Minutes,pdf
11/06/2013,"Meeting Minutes - November 6, 2013",Commission - Minutes,pdf
11/08/2011,"Meeting Minutes - November 8, 2011",Commission - Minutes,pdf
10/09/2012,"Meeting Minutes - October 09, 2012",Commission - Minutes,pdf
10/10/2013,"Meeting Minutes - October 10, 2013",Commission - Minutes,pdf
10/12/2010,"Meeting Minutes - October 12, 2010",Commission - Minutes,pdf
10/19/2010,"Meeting Minutes - October 19, 2010",Commission - Minutes,pdf
10/21/2013,"Meeting Minutes - October 21, 2013",Commission - Minutes,pdf
10/23/2012,"Meeting Minutes - October 23, 2012",Commission - Minutes,pdf
10/26/2010,"Meeting Minutes - October 26, 2010",Commission - Minutes,pdf
10/29/2014,"Meeting Minutes - October 29, 2014",Commission - Minutes,pdf
10/05/2010,"Meeting Minutes - October 5, 2010",Commission - Minutes,pdf
10/09/2014,"Meeting Minutes - October 9, 2014",Commission - Minutes,pdf
09/11/2012,"Meeting Minutes - September 11, 2012",Commission - Minutes,pdf
09/12/2013,"Meeting Minutes - September 12, 2013",Commission - Minutes,pdf
09/13/2011,"Meeting Minutes - September 13, 2011",Commission - Minutes,pdf
09/14/2010,"Meeting Minutes - September 14, 2010",Commission - Minutes,pdf
09/21/2010,"Meeting Minutes - September 21, 2010",Commission - Minutes,pdf
09/25/2012,"Meeting Minutes - September 25, 2012",Commission - Minutes,pdf
09/25/2014,"Meeting Minutes - September 25, 2014",Commission - Minutes,pdf
09/26/2013,"Meeting Minutes - September 26, 2013",Commission - Minutes,pdf
09/27/2011,"Meeting Minutes - September 27, 2011",Commission - Minutes,pdf
09/28/2010,"Meeting Minutes - September 28, 2010",Commission - Minutes,pdf
09/07/2010,"Meeting Minutes - September 7, 2010",Commission - Minutes,pdf
04/28/2011,"Meeting Minutes - Special Session - April 28, 2011",Commission - Minutes,pdf
05/04/2011,"Meeting Minutes - Special Session - May 4, 2011",Commission - Minutes,pdf
09/11/2014,"Meeting Minutes- September 11, 2014",Commission - Minutes,pdf
11/18/2014,"2014-11-18 Administrative, Public Works and Infrastructure Agenda",Committees - Administrative Public Works and Infrastructure,pdf
12/02/2014,"2014-12-02 Administrative, Public Works and Infrastructure Agenda",Committees - Administrative Public Works and Infrastructure,pdf
12/16/2014,"2014-12-16 Administrative, Public Works and Infrastructure Agenda",Committees - Administrative Public Works and Infrastructure,pdf
01/06/2015,"2015-01-06 Administrative, Public Works and Infrastructure Agenda",Committees - Administrative Public Works and Infrastructure,pdf
12/06/2011,2011-12-06 Administrative Services Agenda,Committees - Administrative Services,pdf
12/20/2011,2011-12-20 Administrative Services Agenda,Committees - Administrative Services,pdf
01/18/2012,2012-01-18 Administrative Services Agenda,Committees - Administrative Services,pdf
02/07/2012,2012-02-07 Administrative Services Agenda,Committees - Administrative Services,pdf
02/22/2012,2012-02-22 Administrative Services Agenda,Committees - Administrative Services,pdf
03/06/2012,2012-03-06 Administrative Services Agenda,Committees - Administrative Services,pdf
03/20/2012,2012-03-20 Administrative Services Agenda,Committees - Administrative Services,pdf
04/03/2012,2012-04-03 Administrative Services Agenda,Committees - Administrative Services,pdf
04/17/2012,2012-04-17 Administrative Services Agenda,Committees - Administrative Services,pdf
05/04/2012,2012-05-04 Administrative Services Agenda,Committees - Administrative Services,pdf
05/17/2012,2012-05-17 Administrative Services Agenda,Committees - Administrative Services,pdf
06/05/2012,2012-06-05 Administrative Services Agenda,Committees - Administrative Services,pdf
06/19/2012,2012-06-19 Administrative Services Agenda,Committees - Administrative Services,pdf
07/10/2012,2012-07-10 Administrative Services Agenda,Committees - Administrative Services,pdf
07/24/2012,2012-07-24 Administrative Services Agenda,Committees - Administrative Services,pdf
08/07/2012,2012-08-07 Administrative Services Agenda,Committees - Administrative Services,pdf
08/21/2012,2012-08-21 Administrative Services Agenda,Committees - Administrative Services,pdf
08/27/2012,2012-08-27 Administrative Services Agenda,Committees - Administrative Services,pdf
09/05/2012,2012-09-05 Administrative Services Agenda,Committees - Administrative Services,pdf
09/18/2012,2012-09-18 Administrative Services Agenda,Committees - Administrative Services,pdf
10/02/2012,2012-10-02 Administrative Services Agenda - Draft,Committees - Administrative Services,pdf
10/16/2012,2012-10-16 Administrative Services Agenda,Committees - Administrative Services,pdf
11/21/2012,2012-11-21 Administrative Services Agenda,Committees - Administrative Services,pdf
12/05/2012,2012-12-05 Administrative Services Agenda,Committees - Administrative Services,pdf
12/10/2012,2012-12-10 Administrative Services Agenda,Committees - Administrative Services,pdf
12/18/2012,2012-12-18 Administrative Services Agenda,Committees - Administrative Services,pdf
01/15/2013,2013-01-15 Administrative Services Agenda,Committees - Administrative Services,pdf
01/30/2013,2013-01-30 Administrative Services Agenda,Committees - Administrative Services,pdf
02/12/2013,2013-02-12 Administrative Services Agenda,Committees - Administrative Services,pdf
02/26/2013,2013-02-26 Administrative Services Agenda,Committees - Administrative Services,pdf
03/11/2013,2013-03-11 Administrative Services Agenda,Committees - Administrative Services,pdf
03/26/2013,2013-03-26 Administrative Services Agenda,Committees - Administrative Services,pdf
04/09/2013,2013-04-09 Administrative Services Agenda,Committees - Administrative Services,pdf
04/23/2013,2013-04-23 Administrative Services Agenda,Committees - Administrative Services,pdf
05/14/2013,2013-05-14 Adminstrative Services Agenda,Committees - Administrative Services,pdf
05/29/2013,2013-05-29 Administrative Services Agenda,Committees - Administrative Services,pdf
06/11/2013,2013-06-11 Administrative Services Agenda,Committees - Administrative Services,pdf
06/25/2013,2013-06-25 Administrative Services Agenda,Committees - Administrative Services,pdf
07/09/2013,2013-07-09 Administrative Services Agenda,Committees - Administrative Services,pdf
08/13/2013,2013-08-13 Administrative Services Agenda,Committees - Administrative Services,pdf
08/27/2013,2013-08-27 Administrative Services Agenda,Committees - Administrative Services,pdf
09/10/2013,2013-09-10 Administrative Services Agenda,Committees - Administrative Services,pdf
09/17/2013,2013-09-17 Administrative Services Agenda,Committees - Administrative Services,pdf
09/24/2013,2013-09-24 Administrative Services Agenda,Committees - Administrative Services,pdf
10/08/2013,2013-10-08 Administrative Services Agenda,Committees - Administrative Services,pdf
10/21/2013,2013-10-21 Administrative Services Agenda,Committees - Administrative Services,pdf
11/06/2013,2013-11-06 Administrative Services Agenda,Committees - Administrative Services,pdf
12/04/2013,2013-12-04 Administrative Services Agenda,Committees - Administrative Services,pdf
12/17/2013,2013-12-17 Administrative Services Agenda,Committees - Administrative Services,pdf
10/07/2014,2014/10/07 Administrative Services Agenda,Committees - Administrative Services,pdf
01/30/2014,2014-01-07 Administrative Services Agenda,Committees - Administrative Services,pdf
01/28/2014,2014-01-28 Administrative Services Agenda,Committees - Administrative Services,pdf
02/24/2014,2014-02-25 Administrative Services Agenda,Committees - Administrative Services,pdf
03/07/2014,2014-03-11 Administrative Services Agenda,Committees - Administrative Services,pdf
03/25/2014,2014-03-25 Administrative Services Agenda,Committees - Administrative Services,pdf
04/08/2014,2014-04-08 Administrative Services Agenda,Committees - Administrative Services,pdf
04/22/2014,2014-04-22 Administrative Services Agenda,Committees - Administrative Services,pdf
