Clip Type,Clip Name,Viewing Progress,Run Length
Preview,Beckett Calls Castle Cocky,,79 sec
Preview,Castle Is Rethinking Being a P.I.,,68 sec
Clip,Sneak Peek: Castle Witnesses a Murder,,2 min 1 sec
Preview,Castle Disarms a 110 Pound Woman,,96 sec
Preview,Everyone Is Getting Satisfied Today,,85 sec
Preview,The Telenovela Mesmerizes Esposito,,62 sec
Preview,Castle Asks for a Favor in Bed,,45 sec
Clip,Beckett Talks Dirty,,70 sec
Preview,Beckett Is Proud of Her P.I.,,94 sec
Preview,Castle Is One Savvy P.I.,,80 sec
Preview,Drinking Wine and Breaking Rules,,2 min 18 sec
Preview,The Morning After Caskett's Wild Night,,74 sec
Preview,Caskett's Work Chemistry Is Dangerous,,42 sec
Clip,Castle Has This Covered,,102 sec
Preview,"Christmas Means a Lot to Beckett, Too",,78 sec
Preview,Castle's Family Christmas Tradition,,53 sec
Preview,Castle Cares About Christmas,,85 sec
Preview,Ryan and Esposito Take Down Santa,,43 sec
Preview,Javi and Lanie Break up for Good,,76 sec
Preview,Castle's Punishment and Beckett's Poem,,120 sec
Preview,Lanie and Espo Get Fake Engaged,,107 sec
Preview,Castle Does a Blood Oath With the Mob,,3 min 2 sec
Preview,Ryan Saves Javi and LanieвЂ™s Awkward,,100 sec
Clip,Castle Introduces His Wife,,73 sec
Preview,Castle's Comment Bothered Beckett,,41 sec
Preview,It's Ryan Time,,86 sec
Preview,The Indestructibles Execute Their Plan,,2 min 59 sec
Preview,Kate Says Goodbye to Her Apartment,,45 sec
Clip,The Indestructibles,,46 sec
Preview,Everyone Welcomes Espo Back,,46 sec
Preview,Javi Said Lanie's Name,,79 sec
Preview,Espo's Ready for More With Lanie,,53 sec
Preview,Christmas Hookup?,,66 sec
Preview,Lanie Has Easy Access to Sharp Objects,,35 sec
Preview,Crime Scene Etiquette,,47 sec
Preview,Esplanie Wedding Date Awkwardness,,74 sec
Clip,Sneak Peek: This Feels Different,,68 sec
Preview,Castle Faces Off Against the Killer,,97 sec
Preview,Castle Gets in a Bar Fight,,107 sec
Preview,Castle and Beckett Share Their News,,99 sec
Clip,Hidden Treasure,,66 sec
Clip,Sneak Peek: Honeymoon or Not?,,66 sec
Preview,Castle's Alternate Universe Family,,108 sec
Preview,Castle and Beckett's Wedding Ceremony,,3 min 46 sec
Preview,Castle Takes a Bullet for Kate,,113 sec
Preview,Castle and Beckett Kiss,,67 sec
Preview,Castle Tells Kate He Loves Her,,90 sec
Clip,"Sneak Peek: Kate, It Was You!",,73 sec
Preview,Beckett Wants Castle,,107 sec
Preview,Ryan's Got a Blog,,58 sec
Preview,This Is Why I Hate Social Media!,,68 sec
Clip,Beckett's in Trouble!,,38 sec
Clip,He's Taunting Us,,64 sec
Clip,Official Raging Heat Webmercial,,64 sec
Preview,Sally Pulls a Fast One On P.I. Castle,,2 min 23 sec
Preview,Ben Lee Avenges His Love's Death,,4 min 32 sec
Preview,Zombie Castle Takes Down the Killer,,101 sec
Preview,Live Vlog of Madison's Murder,,49 sec
Clip,Sneak Peek: Castle Shoots a Commercial,,94 sec
Preview,Castle Gives a Heartfelt Goodbye,,85 sec
Preview,Fairy Castle Has a Special Tea Party,,2 min 42 sec
Preview,Castle Orders Alexis to Be a Kid,,110 sec
Clip,Sneak Peek: Can Castle Handle It?,,59 sec
Clip,Sneak Peek: Mr. Castle Wet His Pants!,,91 sec
Preview,Ryan Isn't Cheating On Jenny,,89 sec
Preview,"The Scary, Nerdy, Sexy Bedroom Scene",,2 min 2 sec
Preview,Beckett Slips Into Something Special,,54 sec
Clip,The Invisible Man Is Real!,,110 sec
Preview,We Should Get Married Tomorrow,,2 min 36 sec
Preview,Kate Watches Castle's Goodbye Video,,82 sec
Preview,Castle Goes to Montreal,,2 min 19 sec
Clip,Want to Get It On?,,89 sec
Clip,Sneak Peek: Reward for Information,,110 sec
Clip,Sneak Peek: Castle Kisses the Chief,,77 sec
Preview,Beckett Takes Castle Back for Answers,,2 min 18 sec
Preview,Castle's Alive,,85 sec
Preview,How Did Beckett Survive?,,2 min 16 sec
Clip,Extended Sneak Peek: Premiere Opening,,3 min 19 sec
Clip,Premiere Sneak Peek: Wait for Backup!,,99 sec
Clip,Sneak Peek: Beckett Goes to the Crash,,111 sec
Preview,Eric Vaughn (Ioan Gruffudd) Woos Beckett,,84 sec
Preview,Castle Has a New Inspiration,,67 sec
Preview,Castle Hears Something New,,54 sec
Preview,Caskett Is a Great Love Story,,66 sec
Preview,Martha Gives Kate Something Blue,,2 min 14 sec
Preview,The Shocking Final Moment of Season 6,,64 sec
Preview,Castle Calls from His Book Tour,,30 sec
Preview,Beckett Remembers a Clue,,90 sec
Preview,Beckett Arrests Senator Bracken,,2 min 37 sec
Preview,Castle Reveals His Best Man Pick,,98 sec
Preview,Beckett and Castle Play Strip Poker,,64 sec
Preview,Castle and Team Go Disco Dancing,,113 sec
Preview,The Precinct Play Their '70s Parts,,2 min 36 sec
Preview,Caskett Narrows Down Their Guest List,,95 sec
Preview,Captain Gates Opens up to Beckett,,81 sec
Preview,Beckett Is Afraid of Becoming Boring,,2 min 8 sec
Preview,Castle Gets Attacked by Ninjas!,,62 sec
Preview,The Green Dragon Faces Off,,2 min 38 sec
Preview,Beckett Realizes Things Just Got Even,,106 sec
Preview,Beckett Leaves a Love Letter to Castle,,70 sec
Preview,Beckett Is Waterboarded,,93 sec
Preview,Beckett Asks Alexis to Move Home,,2 min 28 sec
Preview,Caskett Dances at Prom,,2 min 24 sec
Preview,Castle and Beckett Talk Wedding Music,,62 sec
Preview,Beckett Models a Wedding Dress,,2 min 55 sec
Preview,Beckett Reveals Why She Hesitated,,2 min 15 sec
Preview,Beckett Announces the Engagement,,72 sec
Preview,Alexis Ties up Some Loose Ends,,104 sec
Preview,Castle Reflects About His Father,,2 min 24 sec
Preview,Castle Treats His Dad's Bullet Wound,,2 min 34 sec
Preview,Caskett's New Thanksgiving Tradition,,61 sec
Preview,Castle and Beckett Babysit an Infant,,2 min 44 sec
Preview,Lanie Gives Esposito Her Statement,,104 sec
Preview,Caskett Gets an Eerie 3XK Message,,103 sec
Preview,Ryan and Espo Get in a Shootout,,91 sec
Preview,Castle Makes a Change for Beckett,,76 sec
Preview,Beckett Feels On the Outside,,71 sec
Preview,Castle and Alexis Work Together,,97 sec
Preview,Castle Sword Fights,,2 min 51 sec
Preview,Alexis Is Mad at Castle About Pi,,2 min 1 sec
Preview,Castle Tells Alexis Pi Needs to Go,,2 min 1 sec
Preview,Castle and Beckett Discuss Alexis,,93 sec
Preview,Castle's Bedroom Has No Privacy,,2 min 10 sec
Preview,Beckett and Castle Are Back,,98 sec
Preview,Beckett Gets Castle to Continue a Case,,75 sec
Preview,Beckett Gets Bad News,,2 min 33 sec
Preview,Castle Secretly Says Goodbye,,2 min 4 sec
Preview,Castle Wakes in the Hospital,,2 min 8 sec
Preview,Beckett Gives Castle Terrible News,,104 sec
Preview,Castle and Beckett Get Engaged,,112 sec
Preview,"Becoming ""Caskett""",,3 min 28 sec
Clip,Why am I the bad guy?,,89 sec
Clip,Kate gets it.,,67 sec
Clip,That's like throwing gasoline on fireworks.,,44 sec
Preview,A Very Castle Christmas,,116 sec
Clip,Nebula 9 outfit,,60 sec
Clip,Dad? What are you doing here?,,30 sec
Clip,A More Helpful Note,,70 sec
Clip,Mothers Know These Things,,50 sec
Clip,BeckettвЂ™s Phone,,59 sec
Clip,ItвЂ™s really a good book,,30 sec
Clip,Whose Junk is This?,,80 sec
Preview,Essential: The First Morning After,,2 min 17 sec
Preview,Sneak Peek: You got an extra piece?,,89 sec
Preview,Sneak Peek: Need to talk to you about the case,,89 sec
Preview,Sneak Peek: I need to ID him,,50 sec
Preview,More Than a Partner!,,119 sec
Clip,My vest says writer on it,,62 sec
Clip,I was hoping I could ride along with you.,,66 sec
Clip,We're gonna lay some ground rules,,83 sec
Clip,There's always poison,,53 sec
Clip,So - he's naked,,42 sec
Clip,How can she already have a boyfriend?,,92 sec
Clip,Sneak Peek: You're a writer not a cop,,18 sec
Clip,Dead body in the oven,,55 sec
Clip,Didn't have the heart,,31 sec
Clip,Castle - what are you doing here?,,45 sec
Clip,You need to go home - now,,41 sec
Clip,You can't charm your way.,,67 sec
Clip,I'm your plucky sidekick.,,58 sec
Clip,You're off this case.,,40 sec
Clip,Who hired Coonan to kill my mom?,,55 sec
Clip,CSL BadCoffee SP.DV25,,85 sec
Clip,CSL312 CL1.DV25,,49 sec
Clip,CSL312 CL4.DV25,,42 sec
Clip,CSL312 CL3.DV25,,75 sec
Clip,CSL312 CL5.DV25,,47 sec
Clip,Exposure to Zero Atmosphere,,72 sec
Clip,No such thing as Alien Abductions,,67 sec
Clip,Logical explanation?,,46 sec
Clip,Underground Renaissance man.,,63 sec
Clip,He wasn't just shot.,,63 sec
Clip,The triple killer is back,,45 sec
Clip,Not my type,,84 sec
Clip,CSL305 CL2.DV25,,56 sec
Clip,CSL305 CL3.DV25,,48 sec
Clip,Steampunk Club,,112 sec
Clip,CSL Treasures SP.DV25,,82 sec
Clip,Psychic predicted her own murder,,54 sec
Clip,Cops didn't want to admit,,43 sec
Clip,Don't you guys have work to do?,,77 sec
Clip,It's not what it looks like,,71 sec
Clip,You are aware you are under arrest,,52 sec
Clip,Sneak Peek: Under arrest,,76 sec
Clip,Go Behind the Scenes with the Cast,,2 min 32 sec
Clip,CSL224 CL2.DV25,,49 sec
Clip,CSL224 CL3.DV25,,50 sec
Clip,CSL223 CL3.DV25,,35 sec
Clip,CSL223 CL1.DV25,,56 sec
Clip,CSL222 CL3.DV25,,26 sec
Clip,CSL Date SP.DV25,,92 sec
Clip,CSL221 CL3.DV25,,37 sec
Clip,CSL221 CL4.DV25,,78 sec
Clip,CSL220 CL2.DV25,,38 sec
Clip,CSL220 CL1.DV25,,30 sec
Clip,CSL219 CL5.DV25,,45 sec
Clip,CSL219 CL4.DV25,,41 sec
Clip,CSL218 CL1.DV25,,35 sec
Clip,Sleeping together,,70 sec
Clip,"Yeah, I read all about you in Cosmo",,60 sec
Clip,CSL216 CL1.DV25,,39 sec
Clip,CSL216 CL4.DV25,,50 sec
Clip,Us Castles are Mostly Con Artists,,31 sec
Clip,Sneak Peek: 'You Hate Me',,42 sec
Clip,Sneak Peek: I Missed You,,43 sec
Clip,Sneak Peek: How long has it been?,,37 sec
Clip,Sneak Peek: It's Funny,,49 sec
Clip,Sneak Peek: Wouldn't Get Caught Dead,,39 sec
Clip,Sneak Peek: It's Funny You Call Him,,49 sec
Clip,CSL202 CL2.DV25,,36 sec
Clip,CSL202 CL1.DV25,,31 sec
Clip,CSL202 CL5.DV25,,28 sec
Clip,CSL202 CL3.DV25,,35 sec
Clip,CSL202 CL4.DV25,,29 sec
Clip,CSL203 SP1.DV25,,97 sec
Clip,Hulu Exclusive: Castle,,116 sec
Interview,090909 fancast castle interview b 4X3 008,,85 sec
Clip,CSL DontMove SP.DV25 640x4,,2 min 8 sec
Clip,CSL Paparazzi SC.DV25 640x,,118 sec
Clip,fancast castle andrewmarlowe interview,,109 sec
Clip,fancast castle fillionkatic interview,,2 min 40 sec
