Rank,Name,Score
74,mustangkid67,"4,398 points"
75,jetxx,"4,394 points"
76,blueheaven79,"4,393 points"
77,Veeba,"4,392 points"
78,Chude2,"4,390 points"
79,jetxx,"4,390 points"
80,TREBOL,"4,389 points"
81,MARTIKAYE,"4,388 points"
82,wasamata,"4,385 points"
83,steer240,"4,383 points"
84,mustangkid67,"4,383 points"
85,Crabbler,"4,379 points"
86,Bhawk1357,"4,376 points"
87,jeanne917,"4,376 points"
88,daisyaday,"4,375 points"
89,mistydolphin,"4,374 points"
90,mtstud54,"4,373 points"
91,kirkub,"4,372 points"
92,jetxx,"4,370 points"
93,jetxx,"4,369 points"
94,Bhawk1357,"4,367 points"
95,jetxx,"4,361 points"
96,mustangkid67,"4,360 points"
97,jetxx,"4,360 points"
98,66witches,"4,359 points"
99,mvp1965,"4,359 points"
100,steer240,"4,357 points"
101,Wutrain,"4,357 points"
102,kirkub,"4,356 points"
103,TREBOL,"4,355 points"
104,Veeba,"4,355 points"
105,blueheaven79,"4,355 points"
106,mistydolphin,"4,354 points"
107,mustangkid67,"4,354 points"
108,mistydolphin,"4,353 points"
109,scorpio46,"4,353 points"
110,kirkub,"4,352 points"
111,mistydolphin,"4,350 points"
112,steer240,"4,349 points"
113,mistydolphin,"4,349 points"
114,wasamata,"4,348 points"
115,Reiuxkat,"4,347 points"
116,Bhawk1357,"4,347 points"
117,1sja,"4,347 points"
118,blueheaven79,"4,347 points"
119,steer240,"4,346 points"
120,mistydolphin,"4,346 points"
121,mistydolphin,"4,346 points"
122,1sja,"4,346 points"
123,Honeybee95,"4,345 points"
124,kirkub,"4,344 points"
125,trustintuna,"4,343 points"
126,Seventhirty2,"4,342 points"
127,mistydolphin,"4,340 points"
128,mustangkid67,"4,340 points"
129,dmartin571,"4,337 points"
130,Chude2,"4,336 points"
131,kmd888,"4,335 points"
132,Chude2,"4,334 points"
133,adzmom,"4,334 points"
134,Bhawk1357,"4,334 points"
135,Winekitty07,"4,331 points"
136,mush22,"4,331 points"
137,mtstud54,"4,330 points"
138,Lostdiver,"4,329 points"
139,mtstud54,"4,329 points"
140,mistydolphin,"4,328 points"
141,Honeybee95,"4,328 points"
142,Veeba,"4,328 points"
143,mustangkid67,"4,327 points"
144,jeanne917,"4,326 points"
145,mtstud54,"4,326 points"
146,scorpio46,"4,325 points"
147,mistydolphin,"4,323 points"
148,Luv2Laf,"4,323 points"
149,Seventhirty2,"4,322 points"
150,MARTIKAYE,"4,322 points"
151,1sja,"4,321 points"
152,Reiuxkat,"4,317 points"
153,Bhawk1357,"4,317 points"
154,Lostdiver,"4,316 points"
155,Reiuxkat,"4,314 points"
156,mustangkid67,"4,314 points"
157,mustangkid67,"4,314 points"
158,farley49,"4,314 points"
159,Luv2Laf,"4,313 points"
160,swissone,"4,310 points"
161,Reiuxkat,"4,310 points"
162,Bhawk1357,"4,310 points"
163,Luv2Laf,"4,310 points"
164,Veeba,"4,309 points"
165,kjerstis,"4,309 points"
166,blueheaven79,"4,308 points"
167,mtstud54,"4,307 points"
168,Chude2,"4,307 points"
169,3Grandones,"4,307 points"
170,trustintuna,"4,307 points"
171,bobber99,"4,306 points"
172,Alotchka,"4,305 points"
173,mistydolphin,"4,304 points"
174,mustangkid67,"4,304 points"
175,mustangkid67,"4,303 points"
176,wasamata,"4,302 points"
177,momsdiamonds,"4,302 points"
178,Bhawk1357,"4,301 points"
179,scorpio46,"4,301 points"
180,farley49,"4,301 points"
181,Crabbler,"4,300 points"
182,mistydolphin,"4,300 points"
183,Winekitty07,"4,299 points"
184,Veeba,"4,299 points"
185,jetxx,"4,299 points"
186,daisyaday,"4,299 points"
187,namreknat,"4,299 points"
188,marquiscwix1,"4,298 points"
189,JMarMcD,"4,298 points"
190,1sja,"4,297 points"
191,Bhawk1357,"4,297 points"
192,Winekitty07,"4,297 points"
193,Veeba,"4,296 points"
194,Reiuxkat,"4,295 points"
195,scorpio46,"4,295 points"
196,Veeba,"4,295 points"
197,Reiuxkat,"4,294 points"
198,Lostdiver,"4,294 points"
199,Honeybee95,"4,293 points"
200,Veeba,"4,293 points"
201,1mistydolphin,"4,293 points"
202,1sja,"4,293 points"
203,Wutrain,"4,293 points"
204,mistydolphin,"4,292 points"
205,mustangkid67,"4,292 points"
206,trustintuna,"4,292 points"
207,Luv2Laf,"4,292 points"
208,kmd888,"4,292 points"
209,kmd888,"4,292 points"
210,scorpio46,"4,291 points"
211,Reiuxkat,"4,291 points"
212,jetxx,"4,291 points"
213,jetxx,"4,291 points"
214,jeanne917,"4,291 points"
215,steer240,"4,290 points"
216,mistydolphin,"4,290 points"
217,Honeybee95,"4,290 points"
218,1sja,"4,290 points"
219,1sja,"4,290 points"
220,scorpio46,"4,289 points"
221,Veeba,"4,289 points"
222,JMarMcD,"4,289 points"
223,Reiuxkat,"4,289 points"
224,scorpio46,"4,289 points"
225,mvp1965,"4,289 points"
226,scorpio46,"4,288 points"
227,farley49,"4,288 points"
228,daisyaday,"4,288 points"
229,Veeba,"4,287 points"
230,tk72,"4,287 points"
231,Luv2Laf,"4,287 points"
232,Seventhirty2,"4,286 points"
233,jeanne917,"4,286 points"
234,mistydolphin,"4,286 points"
235,Chude2,"4,285 points"
236,dmartin571,"4,285 points"
237,Reiuxkat,"4,284 points"
238,Veeba,"4,284 points"
239,mustangkid67,"4,284 points"
240,Honeybee95,"4,283 points"
241,daisyaday,"4,282 points"
242,Bhawk1357,"4,281 points"
243,Winekitty07,"4,281 points"
244,1mistydolphin,"4,281 points"
245,jeanne917,"4,281 points"
246,csdesq,"4,281 points"
247,mustangkid67,"4,280 points"
248,steer240,"4,279 points"
249,Veeba,"4,279 points"
250,coastalhoosier,"4,279 points"
251,Veeba,"4,277 points"
252,adzmom,"4,277 points"
253,mtstud54,"4,277 points"
254,doublehelix23,"4,277 points"
255,jetxx,"4,276 points"
256,kirkub,"4,275 points"
257,farley49,"4,275 points"
258,Luv2Laf,"4,275 points"
259,marmozet13,"4,275 points"
260,mistydolphin,"4,274 points"
261,mustangkid67,"4,274 points"
262,kirkub,"4,274 points"
263,1sja,"4,274 points"
264,mustangkid67,"4,274 points"
265,1sja,"4,274 points"
266,mustangkid67,"4,274 points"
267,bjperkins,"4,274 points"
268,TREBOL,"4,273 points"
269,1sja,"4,273 points"
270,Seventhirty2,"4,271 points"
271,TREBOL,"4,271 points"
272,jetxx,"4,271 points"
273,blueheaven79,"4,271 points"
274,Bhawk1357,"4,270 points"
275,jetxx,"4,270 points"
276,Lostdiver,"4,270 points"
277,farley49,"4,270 points"
278,marquiscwix1,"4,269 points"
279,kirkub,"4,269 points"
280,Chude2,"4,268 points"
281,mistydolphin,"4,268 points"
282,scorpio46,"4,267 points"
283,MOLLYMOO,"4,267 points"
284,lynnble,"4,267 points"
285,jcherring,"4,266 points"
286,BHawk1357,"4,266 points"
287,coastalhoosier,"4,266 points"
288,Reiuxkat,"4,265 points"
289,mtstud54,"4,265 points"
290,1sja,"4,264 points"
291,1sja,"4,262 points"
292,jeanne917,"4,262 points"
293,mustangkid67,"4,262 points"
294,1sja,"4,262 points"
295,kmd888,"4,262 points"
296,blueheaven79,"4,262 points"
297,Chude2,"4,261 points"
298,BHawk1357,"4,261 points"
299,Honeybee95,"4,260 points"
300,Veeba,"4,260 points"
301,Veeba,"4,259 points"
302,flsnorter1,"4,259 points"
303,kmd888,"4,259 points"
304,mtstud54,"4,259 points"
305,Seventhirty2,"4,258 points"
306,Bhawk1357,"4,258 points"
307,kmd888,"4,258 points"
308,1sja,"4,257 points"
309,mustangkid67,"4,257 points"
310,steer240,"4,256 points"
311,Bhawk1357,"4,256 points"
312,trustintuna,"4,256 points"
313,TREBOL,"4,255 points"
314,MARTIKAYE,"4,255 points"
315,1sja,"4,254 points"
316,kirkub,"4,254 points"
317,n4ceraa,"4,254 points"
318,1sja,"4,253 points"
319,blueheaven79,"4,253 points"
320,adzmom,"4,253 points"
321,1sja,"4,253 points"
322,mistydolphin,"4,252 points"
323,1sja,"4,251 points"
324,scorpio46,"4,250 points"
325,mistydolphin,"4,250 points"
326,QuackersII,"4,250 points"
327,Bhawk1357,"4,250 points"
328,jeanne917,"4,249 points"
329,steer240,"4,248 points"
330,mtstud54,"4,248 points"
331,CarlitoBKK,"4,247 points"
332,Bhawk1357,"4,247 points"
333,TREBOL,"4,247 points"
334,kmd888,"4,247 points"
335,mtstud54,"4,247 points"
336,Reiuxkat,"4,246 points"
337,Winekitty07,"4,246 points"
338,carosul,"4,246 points"
339,trustintuna,"4,246 points"
340,farley49,"4,246 points"
341,kirkub,"4,246 points"
342,Bhawk1357,"4,246 points"
343,jetxx,"4,246 points"
344,jetxx,"4,245 points"
345,1sja,"4,245 points"
346,Winekitty07,"4,243 points"
347,Veeba,"4,243 points"
348,Veeba,"4,242 points"
349,1sja,"4,242 points"
350,mistydolphin,"4,241 points"
351,Honeybee95,"4,241 points"
352,indigo369,"4,241 points"
353,swissone,"4,240 points"
354,Luv2Laf,"4,240 points"
355,tiger82743,"4,238 points"
356,Winekitty07,"4,238 points"
357,Crabbler,"4,238 points"
358,TREBOL,"4,238 points"
359,Luv2Laf,"4,238 points"
360,tiger82743,"4,238 points"
361,jetxx,"4,237 points"
362,Chude2,"4,236 points"
363,mustangkid67,"4,236 points"
364,kmd888,"4,236 points"
365,mustangkid67,"4,236 points"
366,wasamata,"4,236 points"
367,mustangkid67,"4,236 points"
368,BHawk1357,"4,236 points"
369,1sja,"4,235 points"
370,Veeba,"4,233 points"
371,Reiuxkat,"4,232 points"
372,Bhawk1357,"4,232 points"
373,kmd888,"4,232 points"
374,1sja,"4,231 points"
375,marquiscwix1,"4,230 points"
376,windytoo,"4,230 points"
377,jetxx,"4,229 points"
378,Veeba,"4,229 points"
379,bjperkins,"4,229 points"
380,Chude2,"4,228 points"
381,1sja,"4,228 points"
382,bjperkins,"4,228 points"
383,Velcro1,"4,226 points"
384,kirkub,"4,226 points"
385,JMarMcD,"4,226 points"
386,1sja,"4,226 points"
387,TREBOL,"4,226 points"
388,steer240,"4,225 points"
389,jcherring,"4,225 points"
390,QuackersII,"4,225 points"
391,blueheaven79,"4,224 points"
392,trustintuna,"4,224 points"
393,kirkub,"4,224 points"
394,Chude2,"4,223 points"
395,tiger82743,"4,223 points"
396,Puzlar,"4,222 points"
397,Luv2Laf,"4,222 points"
398,Seventhirty2,"4,221 points"
399,mustangkid67,"4,221 points"
400,mtstud54,"4,221 points"
401,Crabbler,"4,220 points"
402,adzmom,"4,220 points"
403,66witches,"4,219 points"
404,Reiuxkat,"4,219 points"
405,mustangkid67,"4,219 points"
406,jetxx,"4,219 points"
407,dmartin571,"4,218 points"
408,mistydolphin,"4,217 points"
409,mustangkid67,"4,217 points"
410,mustangkid67,"4,217 points"
411,Daizy19,"4,216 points"
412,indigo369,"4,216 points"
413,Veeba,"4,216 points"
414,Seventhirty2,"4,215 points"
415,kirkub,"4,215 points"
416,jetxx,"4,214 points"
417,Veeba,"4,214 points"
418,Crabbler,"4,213 points"
419,Seventhirty2,"4,213 points"
420,bozo13a,"4,213 points"
421,flsnorter1,"4,212 points"
422,wasamata,"4,212 points"
423,Crabbler,"4,212 points"
424,MARTIKAYE,"4,211 points"
425,Bhawk1357,"4,211 points"
426,trustintuna,"4,211 points"
427,123raym,"4,211 points"
428,Honeybee95,"4,210 points"
429,n4ceraa,"4,210 points"
430,steer240,"4,210 points"
431,kirkub,"4,210 points"
432,kirkub,"4,210 points"
433,kchumerbird,"4,210 points"
434,Bhawk1357,"4,209 points"
435,jeanne917,"4,209 points"
436,bjperkins,"4,209 points"
437,marquiscwix1,"4,208 points"
438,jcherring,"4,208 points"
439,Reiuxkat,"4,208 points"
440,Alotchka,"4,207 points"
441,trustintuna,"4,207 points"
442,kirkub,"4,207 points"
443,9dollface,"4,207 points"
444,Winekitty07,"4,207 points"
445,1sja,"4,205 points"
446,wasamata,"4,205 points"
447,Crabbler,"4,205 points"
448,Reiuxkat,"4,204 points"
449,farley49,"4,204 points"
450,Crabbler,"4,204 points"
451,1sja,"4,203 points"
452,3Grandones,"4,203 points"
453,kirkub,"4,203 points"
454,mistydolphin,"4,202 points"
455,scorpio46,"4,202 points"
456,mistydolphin,"4,202 points"
457,bjperkins,"4,202 points"
458,jetxx,"4,201 points"
459,trustintuna,"4,201 points"
460,n4ceraa,"4,201 points"
461,TREBOL,"4,200 points"
462,1sja,"4,200 points"
463,mistydolphin,"4,200 points"
464,scorpio46,"4,200 points"
465,MARTIKAYE,"4,200 points"
466,mustangkid67,"4,200 points"
467,bjperkins,"4,200 points"
468,Grizzlyboar,"4,200 points"
469,Luv2Laf,"4,200 points"
470,BHawk1357,"4,200 points"
471,n4ceraa,"4,199 points"
472,1sja,"4,199 points"
473,trustintuna,"4,199 points"
474,namreknat,"4,199 points"
475,carosul,"4,197 points"
476,mtstud54,"4,197 points"
477,Crabbler,"4,197 points"
478,Chude2,"4,196 points"
479,1mistydolphin,"4,196 points"
480,mtstud54,"4,196 points"
481,farley49,"4,196 points"
482,CarlitoBKK,"4,195 points"
483,Veeba,"4,195 points"
484,swissone,"4,195 points"
485,flsnorter1,"4,194 points"
486,Seventhirty2,"4,194 points"
487,jetxx,"4,194 points"
488,dishman1963,"4,193 points"
489,n4ceraa,"4,193 points"
490,Crabbler,"4,192 points"
491,MARTIKAYE,"4,191 points"
492,steer240,"4,191 points"
493,mistydolphin,"4,191 points"
494,bjperkins,"4,191 points"
495,1sja,"4,190 points"
496,jetxx,"4,189 points"
497,mistydolphin,"4,189 points"
498,Veeba,"4,189 points"
499,trustintuna,"4,189 points"
500,bigalp45,"4,188 points"
