CATEGORY,BRAND,DESCRIPTION,FORMAT,ITEM#
,BakeMark,"FILLING, RASPBERRY PASTRY",13.6 KG,20530
,BakeMark,"FILLING, RASPBERRY TRES",8 KG,21119
,BakeMark,"FILLING, RED RASP DONUT",12 KG,20350
,BakeMark,"FILLING, RITZ MINCEMEAT",12 KG,20516
,BakeMark,"FILLING, RITZ MINCEMEAT",15 KG,20665
,Henry & Henry,"FILLING, SNOW PUFF (COCONUT)",40 LB,55017
,Henry & Henry,"FILLING, SPUN GOLD LEMON",38 LB,16996
,BakeMark,"FILLING, STRAWB/RHUBARB",12 KG,21109
,BakeMark,"FILLING, STRAWBERRY",12 KG,21283
,BakeMark,"FILLING, STRAWBERRY",7 KG,21292
,BakeMark,"FILLING, STRAWBERRY CHEF",12 KG,21289
,BakeMark,"FILLING, STRAWBERRY DONUT",12 KG,20690
,BakeMark,"FILLING, STRAWBERRY PASTRY",15 KG,20692
,Henry & Henry,"FILLING, STRAWBERY REDIPAK",12 / 2 LB,4152
,BakeMark,"FILLING, STRAWBERRY TOPPER",12 KG,22808
,BakeMark,"FILLING, STRAWBERRY/RHUBARB",12 KG,20540
,Henry & Henry,"FILLING, TROPICAL LIME",20 LB,27566
,BakeMark,"FILLING, TRIPLEBERRY TRES",12 KG,21113
,BakeMark,"FILLING, VENETIAN CRГ€ME",12 KG,20695
,Westco,"FILLING, WILD MAINE BLUEBERRY",38 KG,60242
,Caravan,POPPY BUTTER,50 LB,88013
,Caravan,POPPY BUTTER,22 LB,88014
,Caravan,PRUNE LEKVAR,50 LB,88011
,Caravan,PRUNE LEKVAR,20 LB,88012
,Caravan,PUF-N-PIE CRГ€ME FILLING,40 LB,88062
Jam,BakeMark,"JAM, APPLE/RASPBERRY",14 KG,20947
,BakeMark,"JAM, APPLE/STRAW OVEN",14 KG,20002
,Henry & Henry,"JAM, RASPBERRY EUROPEAN",20 LB,60440
,BakeMark,"JAM, RASPBERRY JAM WITH PECTIN",13.6 KG,21278
Spread,BakeMark,"SPREAD, APPLE/STRAWBERRY",12 KG,20005
,BakeMark,"SPREAD, APPLE/RASP",14 KG,19996
,BakeMark,"SPREAD, RASP JELLY",15 KG,20677
